"第一章 只有手段，没有目的","CHAPTER I    All Means and No End"
"他说：","He says:"
"“这一切太危险。我的朋友会认不出我，我可能做得太过火，成为游手好闲的挥霍者。”","“All this is very dangerous. My friends won’t recognize me. I may go too far. I may become an idler and a spendthrift.”"
"不必惧怕。","Have no fear."
"第三章 生活的风险","CHAPTER III The Risks of Life"
"一","1.0"
"由于命运安排的一次偶然，下面我要写到的这两位截然不同的平凡人，分别叫做阿尔法先生和欧米加先生。由于脾性不同，他们天差地别，是两个极端。","By one of those coincidences for which destiny is sometimes responsible, the two very opposite plain men whom I am going to write about were most happily named Mr. Alpha and Mr. Omega; for, owing to a difference of temperament, they stood far apart, at the extreme ends of the scale."
"当然，年轻时他们的差别还不明显；这类差别在年轻时很少会完全显现。差别第一次激烈地体现出来是在一天晚上，阿尔法先生想去剧院，而欧米加先生不愿意去。这时他们两人都是年轻的已婚人士，两对夫妇同住在一套公寓里。而且两人的事业发展得都不错，也就是说，他俩熨得平整的裤子口袋里都有几个叮当响的闲钱。","In youth, of course, the differences between them were not fully apparent; such differences seldom are fully apparent in youth. It first made itself felt in a dramatic way, on the evening when Mr. Alpha wanted to go to the theatre and Mr. Omega didn’t. At this period they were both young and both married, and the two couples shared a flat together. Also, they were both getting on very well in their careers, by which is meant that they both had spare cash to rattle in the pockets of their admirably creased trousers."
"“今晚和我们一起去看戏好吗，欧米加？”阿尔法先生问。","“Come to the theatre with us tonight, Omega?” said Mr. Alpha."
"“我们不去了。”欧米加先生说。","“I don’t think we will,” said Mr. Omega."
"“但我们很想让你们去。”阿尔法先生坚持道。","“But we particularly want you to,” insisted Mr. Alpha."
"“恐怕不行。”欧米加先生说。","“Well, it can’t be done,” said Mr. Omega."
"“你们另外有约了？”","“Got another engagement?”"
"“没有。”","“No.”"
"“那为什么不去？你不会说你缺钱吧？”","“Then why won’t you come? You don’t mean to tell me you’re hard up?”"
"“我的确缺钱。”欧米加先生说。","“Yes, I do,” said Mr. Omega."
"“你可真该感到羞愧。你最近把钱都花到哪儿去了？”","“Then you ought to be ashamed of yourself. What have you been doing with your money lately?”"
"“我刚办了一份儿比较大额的人身保险，保险费让我的经济有点紧张。昨天刚付了第一笔保险金。我捉襟见肘了。”","“I’ve taken out a biggish life assurance policy, and the premiums will be a strain. I paid the first yesterday. I’m bled white.”"
"“我的老天！”阿尔法先生惊呼，耸了耸肩膀。","“Holy Moses!” exclaimed Mr. Alpha, shrugging his shoulders."
"不久后公寓就开始招租。“我的老天！”这声惊呼如果以适当而友好的语调发出，本身也许无碍，不会伤及友谊。不幸的是阿尔法先生用了种讽刺的语调，暗示欧米加先生是个道学先生、自取烦恼的老年人、守财奴、扫兴的人，也就是说很不够男人。","The flat was shortly afterwards to let. The exclamation “Holy Moses!” may be in itself quite harmless, and innocuous to friendship, if it is pronounced in the right, friendly tone. Unfortunately Mr. Alpha used it with a sarcastic inflection, implying that he regarded Mr. Omega as a prig, a fussy old person, a miser, a spoil-sport, and, indeed, something less than a man."
"“你只能活这一辈子啊，”阿尔法先生说。","“You can only live your life once,” said Mr. Alpha."
"此后他们的人生轨迹就分道扬镳了。那是1893年。","And they curved gradually apart. This was in 1893."
"二","2.0"
"将近二十年后——也就是在那之后不久——我在一个周六看到了阿尔法先生吃午餐。别以为阿尔法先生会在一间寒酸的小阁楼里进周六午餐，四周满是破败、失意的氛围。人生的成功很少取决于谨小慎微，而是取决于勇气、主动性和个人能力，当然也不是和运气完全无关。","Nearly twenty years later—that is to say, not long since—I had a glimpse of Mr. Alpha at a Saturday lunch. Do not imagine that Mr. Alpha’s Saturday lunch took place in a miserable garret, amid every circumstance of failure and shame. Success in life has very little to do with prudence. It has a great deal to do with courage, initiative, and individual force, and also it is not unconnected with sheer luck."
"阿尔法先生是个成功人士，我和他在一所宽敞、舒适的大房子里共同享用了这顿午餐。房子周围环绕着花园、温室、车库、马厩等房子所需要的一切附加设施。阿尔法先生是一个快活的好心人，非常精明，也很多产。我说他多产是因为他有五个子女。他与妻子和五个孩子一起享受着这顿午餐，心情非常愉快。和他们相处是件开心的事儿。","Mr. Alpha had succeeded in life, and the lunch at which I assisted took place in a remarkably spacious and comfortable house surrounded by gardens, greenhouses, garages, stables, and all the minions necessary to the upkeep thereof. Mr. Alpha was a jolly, a kind-hearted, an immensely clever, and a prolific man. I call him prolific because he had five children. There he was, with his wife and the five children; and they were all enjoying the lunch and themselves to an extraordinary degree. It was a delight to be with them."
"和那些聪明、脾气好、活泼又有足够的钱来满足自己欲望的人相处起来绝对是件愉快的事。你几乎可以听见金子的叮当声，而这声音听起来很悦耳。最小的女孩子在漂亮的新钱包里也有钱，可以随意花，因为阿尔法先生从不吝啬，他天性慷慨，希望人人都快乐。实际上，他堪称一位不寻常的父亲，同时又不是无条件地默许和纵容。比如说，他最小的孩子，一个女孩，在那顿午餐时提起了音乐这个话题。她十四岁了，在学校的音乐考试中展露出从父亲那里继承来的聪明。她对自己的音乐事业情绪高涨。“我能不能开始系统地学音乐呢，爸爸？”她问道，带着那个年纪所能有的郑重。","It is necessarily a delight to be with people who are intelligent, sympathetic and lively, and who have ample money to satisfy their desires. Somehow you can hear the gold chinking, and the sound is good to the human ear. Even the youngest girl had money in her nice new purse, to do with it as she liked. For Mr. Alpha never stinted. He was generous by instinct, and he wanted everybody to be happy. In fact, he had turned out quite an unusual father. At the same time he fell short of being an absolute angel of acquiescence and compliance. For instance, his youngest child, a girl, broached the subject of music at that very lunch. She was fourteen, and had shown some of her father’s cleverness at a school musical examination. She was rather uplifted about her music. “Can’t I take it up seriously, dad?” she said, with the extreme gravity of her years."
"“当然了，”他说，“你弹得越好我们就越高兴。你不觉得我们在忍受你钢琴练习的折磨之后，应该有所回报了吗？”","“Of course,” said he. “The better you play, the more we shall all be pleased. Don’t you think we deserve some reward for all we’ve suffered under your piano-practising?”"
"她脸红了。","She blushed."
"“我是说系统地好好学。”她坚持道。","“But I mean seriously,” she insisted."
"“好了，乖孩子。”他说，“你不会是以为自己可以成为一个出名的钢琴家吧？一场演奏会挣三百镑什么的？”她正坐在他身边，所以他宠溺地捏了捏她可爱的耳朵。","“Well, my pet,” said he, “you don’t reckon you could be a star pianist, do you? Three hundred pounds a concert, and so on?” And, as she was sitting next to him, he affectionately pinched her delicious ear."
"“没有，”她承认，“但我可以教钢琴。我应该会喜欢教课。”","“No,” she admitted. “But I could teach. I should like to teach.”"
"“教课！”他用变了调的声音重复道，“教课！我的天，你要教课干什么？我可不想看到自己的女儿当老师。”","“Teach!” He repeated the word in a changed tone. “Teach! What in Heaven’s name should you want to teach for? I don’t quite see a daughter of mine teaching.”"
"这个话题到此为止了。","No more was said on the subject."
"这位年轻女士和我的私交好到可以倾吐心事。","The young woman and I are on rather confidential terms."
"“真丢脸，不是吗？”她事后对我感叹说。","“It is a shame, isn’t it?” she said to me afterwards, with feeling."
"“没别的办法了吗？”我问。","“Nothing to be done?” I inquired."
"“没有。”她说，“我开口前就知道不行。爸爸根本不愿听到我说要自力更生。”","“Nothing,” said she. “I knew there wasn’t before I started. The dad would never hear of me earning my own living.”"
"两个大些的女孩是一对双胞胎，对音乐没兴趣；她们除了家庭生活和社交活动，对什么都不感兴趣。她们的日子过得很奢华，而越奢华，阿尔法先生对她们天堂般的生活越感到满意。他真是一位不可多得的父亲。孩子们自己也这么承认，他们很有判断力。二儿子希望成为一名画家。很多父亲会这么说：“我可不想听到关于画画的一派胡言。有正经事情在那儿，你给我去做正经事。”但阿尔法先生不是这样。他对二儿子这么说：“有个儿子能成为画家我很高兴。放手去做吧，别担心，也别急。你努力闯荡的这几年我会给你足够的钱维生。你不会和其他新手一样，除了自己的事业你什么都不要担心。你只要等着就行，不用上赶着找画商，舒舒服服地等着画商来找你吧。”","The two elder girls—twins—had no leaning towards music, and no leaning towards anything save family affection and social engagements. They had a grand time, and the grander the time they had the keener was the delight of Mr. Alpha in their paradisaical existence. Truly he was a pearl among fathers. The children themselves admitted it, and children can judge. The second son wished to be a painter. Manya father would have said, “I shall stand none of this nonsense about painting. The business is there, and into the business you’ll go.” But not Mr. Alpha. What Mr. Alpha said to his second son amounted to this: “I shall be charmed for a son of mine to be a painter. Go ahead. Don’t worry. Don’t hurry. I will give you an ample allowance to keep you a float through the years of struggle. You shall not be like other beginners. You shall have nothing to think of but your profession. You shall be in a position to wait. Instead of you running after the dealers, you shall comfortably bide your time until the dealers run after you.”"
"这位十八岁的年轻人早熟又奢侈。","This young man of eighteen was precocious and extravagant."
"“我说，妈妈，”他隔着面前的干酪问，“你能借给我十镑吗？”阿尔法先生突然插话：","“I say, mater,” he said, over the cheese, “can you lend me ten pounds?”Mr. Alpha broke in sharply:"
"“你问你妈妈要钱做什么？你知道我不喜欢你这样。我也不允许你欠债。”","“What are you worrying your mother about money for? You know I won’t have it. And I won’t have you getting into debt either.”"
"“那么，爸爸，你能买我一幅画吗？”","“Well, dad, will you buy a picture from me?”"
"“给你妈妈好好画一幅素描吧，我会花十镑来买。”","“Do me a good sketch of your mother, and I’ll give you ten pounds for it.”"
"“能不能先付钱？”","“Cash in advance?”"
"“好，只要你保证。但说好了，不能欠债。”","“Yes—on your promise. But understand, no debts.”"
"大儿子还算有出息，正在做正经工作。不过他也没太上心，只是定时去办公室。他将成为合伙人，最终这事业会传给他。但他才不会为生意皱一下眉头，因为阿尔法先生随时会负起一切责任，照管一切。他有足够的脑力和精力，甚至还有余力，的确，足够应付家事。阿尔法太太一想到丈夫能为自己解决一切问题，夜里总是能睡得安稳。他做什么都比她有效率得多，不论是和厨子或工匠打交道，还是决定花床里花的造型。","The eldest son, fitly enough, was in the business. Not, however, too much in the business. He put in time at the office regularly. He was going to be a partner, and the business would ultimately descend to him. But the business wrinkled not his brow. Mr. Alpha was quite ready to assume every responsibility and care. He had brains and energy enough, and something considerable over. Enough over, indeed, to run the house and grounds. Mrs. Alpha could always sleep soundly at night secure in the thought that her husband would smooth away every difficulty for her. He could do all things so much more efficiently than she could, were it tackling a cook or a tradesman, or deciding about the pattern of flowers in a gardenbed."
"午餐结束时，那位一直在沉思的画家，突然举起杯子。","At the finish of the luncheon the painter, who had been meditative, suddenly raised his glass."
"“女士们，先生们，”他郑重地宣布，“我祝父亲身体健康。”","“Ladies and gentlemen,” he announced, with solemnity, “I beg to move that father be and hereby is a brick.”"
"“我也是。”大儿子说。","“Carried nem. con.,” said the eldest son."
"“干杯！”两个活泼的双胞胎说。","“Loud cheers!” said the more pert of the twins."
"阿尔法先生陶醉在他的家和家庭生活中。","And Mr. Alpha was enchanted with his home and his home-life."
"三","3.0"
"阿尔法给我留下了很多印象，这些印象一直影响着我对这位出色、成功又讨人喜欢的先生的态度，而这次午餐是一系列事件中最新的一件，影响也最深远。我走回了家，路程大概是三英里，然后又在书房里的旧地毯上踱了三英里，最后我终于抑制不住自己的情绪，于是坐下给我的朋友阿尔法写了一封信。信是这样的：","That luncheon was the latest and the most profound of a long series of impressions which had been influencing my mental attitude towards the excellent, the successful, the entirely agreeable Mr. Alpha. I walked home, a distance of some three miles, and then I walked another three miles or so on the worn carpet of my study, and at last the cup of my feelings began to run over, and I sat down and wrote a letter to my friend Alpha. The letter was thus couched:"
"“亲爱的阿尔法：","“My Dear Alpha,"
"“很久以来我一直想告诉你一些事，现在我决定遵从自己的愿望。有两种告知你的方式：我可以用迂回的方式，用拐弯抹角又温和的语句，通过暗示和精心措辞提供建议，建立一个甜蜜客气的表象；我也可以直言不讳。也许后一种方法是最好的。","“I have long wanted to tell you something, and now I have decided to give vent to my desire. There are two ways of telling you. I might take the circuitous route by roundabout and gentle phrases, through hints and delicately undulating suggestions, and beneath the soft shadow of flattering cajoleries. Or I might dash straight ahead. The latter is the best, perhaps."
"“你是个恶棍，我亲爱的阿尔法。我用最友好也最残忍的方式来告诉你。你不仅是一个恶棍，而且是最危险的那一类——微笑的、好心肠的恶棍。"," “You are a scoundrel, my dear Alpha. I say it in the friendliest and most brutal manner. And you are not merely a scoundrel—you are the most dangerous sort of scoundrel—the smiling, benevolent scoundrel."
"“你很清楚，你的家庭，你家里所有的一切，都正处在悬崖边上，随时都有可能被山崩推入永久的毁灭，而你却表现得好像你的家庭是建在一片宽广、安全的平原上，一切想象得到的危险都伤害不到它。当然这里我是在打比方。你家庭所处的地方不是真的悬崖边缘，而是比喻中的悬崖，但悬崖所象征的危险却是实实在在的。","“You know quite well that your house, with all that therein is, stands on the edge of a precipice, and that at any moment a landslip might topple it over into everlasting ruin. And yet you behave as though your house was planted in the midst of a vast and secure plain, sheltered from every imaginable havoc. I speak metaphorically, of course. It is not a material precipice that your house stands on the edge of; it is a metaphorical precipice. But the perils symbolized by that precipice are real enough."
"“比如说，现实中一个司机的动作稍有偏差，就能把你从无与伦比的阿尔法变成一条死亡记录。就在这一刻，可能一个真实存在的细菌正在不辞劳苦地使你猝死。又或者另一个真实的细菌已经决定让你无助地死去，连躺都来不及。","“It is, for example, a real chauffeur whose real wrist may by a single false movement transform you from the incomparable Alpha into an item in the books of the registrar of deaths. It is a real microbe who may at this very instant be industriously planning your swift destruction. And it is another real microbe who may have already made up his or her mind that you shall finish your days helpless and incapable on the flat of your back."
"“假设你已经死了，会发生些什么呢？你会留下债务，因为尽管你有偿还能力，但这偿还能力仅仅是建立在你挣钱的能力上，死亡会让你马上变得没有偿还能力。你属于那种大胆、欢快、挣多少花多少的人。的确，你顺应潮流地参加了保险，但保险的金额微不足道，能带来的收益不到你现在收入的百分之一。当然你还有生意，但没了你，你的生意就会一钱不值。你本身就是自己的生意，但一旦没了你，剩下的残渣就不值一提。如果你把它交给儿子，他不到一年就会因无知和笨拙把它败光；你像让少女保留童贞一样保留他的不谙世事。你说是不想累着他，但根本不是这样。你仅仅是因为过于珍惜权威和自己不可或缺的感觉。你热切地希望人人都依靠你……","“Suppose you to be dead—what would happen? You would leave debts, for, although you are solvent, you are only solvent because you have the knack of always putting your hand on money, and death would automatically make you insolvent. You are one of those brave, jolly fellows who live up to their income. It is true that, in deference to fashion, you are now insured, but for a trifling and inadequate sum which would not yield the hundredth part of your present income. It is true that there is your business. But your business would be naught without you. You are your business. Remove yourself from it, and the residue is negligible. Your son, left alone with it, would wreck it in a year through simple ignorance and clumsiness; for you have kept him in his inexperience like a maiden in her maidenhood. You say that you desired to spare him. Nothing of the kind. You were merely jealous, of your authority, and your indispensability. You desired fervently that all and everybody should depend on yourself…"
"“想象一下三年后，你死了，被埋葬在冰冷的黑暗中。葬礼已经结束，朋友也已散去，但你的家人还活着。灾难没有毁灭你的家庭，它甚至还和以往一样有活力，悼念还没结束时他们就需要和以前一样吃喝。透过草皮看看吧，看见那个玩剃刀的孩子了吗？那是你的大儿子在执掌你的生意。看见另一个孩子以铅笔为武器对抗一只狼了吗？那是你二儿子。他们都是男孩子，必须像男子汉一样面对命运。但看见那四个砍掉了手、被扔在妖孽横生的沙漠中的人了吗？她们是你的妻女。是你把她们的手砍掉了，是你好心地劝哄着她们砍掉的。这就是为什么你是个恶棍……","“Conceive that three years have passed and that you are in fact dead. You are buried; you are lying away over there in the cold dark. The funeral is done. The friends are gone. But your family is just as alive as ever. Disaster has not killed it, nor even diminished its vitality. It wants just as much to eat and drink as it did before sorrow passed over it. Look through the sod. Do you see that child there playing with a razor? It is your eldest son at grips with your business. Do you see that other youngster striving against a wolf with a lead pencil for weapon? It is your second son. Well, they are males, these two, and must manfully expect what they get. But do you see these four creatures with their hands cut off, thrust out into the infested desert? They are your wife and your daughters. You cut their hands off. You did it so kindly and persuasively. And that chiefly is why you are a scoundrel…"
"“你按照一个错误的、可憎的教条教育了这些女人，你让她们相信，并强迫她们按这个信条行动：金钱是神奇的东西，她们对金钱有神奇的力量。她们只需要按一个按钮，或是用某种可爱的语调说话，钱就会像摩西的岩石流出水一样源源流出。而且目前对她们来说，金钱的确就是这样很方便地得来的。","“You educated all these women in a false and abominable doctrine. You made them believe, and you forced them to act up to the belief, that money was a magic thing, and that they had a magic power over it. All they had to do was to press a certain button, or to employ a certain pretty tone, and money would flow forth like water from the rock of Moses1. And so far as they were concerned money actually did behave in this convenient fashion."
"“但一直以来你都在用诡计欺骗她们，就好像邪教的牧师欺骗他们的信徒……更糟的是，你教给她们金钱只有一种用途——用来花。你也许可以凭运气留给妻子一笔钱，但她只会花销。她听说过投资这回事，于是也试着投资。可是，上帝保佑你，你从没对她讲过一个关于投资的字，结果金钱只会魔术般地从她手里消失，就像以前魔术般来到她手里一样。","“But all the time you were deceiving them by a conjuring-trick, just as priests of strange cults deceive their votaries… And further, you taught them that money had but one use—to be spent. You may—though by a fluke—have left a quantity of money to your widow, but her sole skill is to spend it. She has heard that there is such a thing as investing money. She tries to invest it. But, bless you, you never said a word to her about that, and the money vanishes now as magically as it once magically appeared in her lap."
"“是的，是你让这四个女人的生活根本离不了金钱、奢华、仆人和懒散，否则就不能忍受。更糟的是，你强迫她们一旦没有了钱就根本活不下去，更不要谈生活得如何了。她们要么在痛苦中死去——和你一起度过奢华生活之后！——要么就必须顺从地以卖笑为生。（因为你把她们的手砍掉了。）她们必须靠乞讨获得饱暖，而乞讨的方式不止一种。","“Yes, you compelled all these four women to live so that money and luxury and servants and idleness were absolutely essential to them if their existence was to be tolerable. And what is worse, you compelled them to live so that, deprived of magic money, they were incapable of existing at all, tolerably or intolerably. Either they must expire in misery—after their splendid career with you!—or they must earn existence by smiles and acquiescences and caresses. (For you cut their hands off.) They must beg for their food and raiment. There are different ways of begging."
"“但你抗议说，你所做的一切都是出于好意，因为你想让她们过得幸福。我的好人阿尔法，一个男人辩护说为了一个女人好而砍去她的手是很荒谬的！人天性多疑，容易往坏处想，这样的辩解很难让人信服。我是个容易轻信的人，但就连我也不能接受这个理由。而且我要说，如果你真的是出于好意这样做，那么真可惜你不是个天生残酷的人。残酷反而会更好些。你不允许小女儿去学维生的技能是出于好意吗？你阻挠她的天性，让她可能一生都充满悔恨是出于好意吗？不是。在讨论你儿子的问题时，我已经说了一个真正的原因。另一个原因是你为身边有这些纯粹的装饰品和可爱的小生灵而感到骄傲，你不愿意看到他们对其他事情的兴趣超过对你的兴趣，不愿意他们在完善你的事业、证明你世俗的成功这个功能外还有其他功能。如果女儿要弹钢琴，那她就要为完善你的家庭和满足你的乐趣与虚荣而弹，而不能有别的目的。你如愿以偿了，然后无耻地对风险视而不见。","“But you protest that you did it out of kindness, and because you wanted them to have a real good time. My good Alpha, it is absurd for a man to argue that he cut off a woman’s hands out of kindness. Human beings are so incredulous, so apt to think evil, that such arguments somehow fail to carry conviction. I am fairly credulous myself, but even I decline to accept the plea. And I say that if your conduct was meant kindly, it is a pity that you weren’t born cruel. Cruelty would have been better. Was it out of kindness that you refused to allow your youngest to acquire the skill to earn her own living? Was it out of kindness that you thwarted her instinct and filled her soul with regret that may be eternal? It was not. I have already indicated, in speaking of your son, one of the real reasons. Another was that you took pride in having these purely ornamental and loving creatures about you, and you would not suffer them to have an interest stronger than their interest in you, or a function other than the function of completing your career and illustrating your success in the world. If the girl was to play the piano, she was to play it in order to perfect your home and minister to your pleasure and your vanity, and for naught else. You got what you wanted, and you infamously shut your eyes to the risks."
"“我听到你抗议说，你没有对风险视而不见，因为风险总是存在，所以不可能完全预防它们。","“I hear you expostulate that you didn’t shut your eyes to the risks, and that there will always be risks, and that it is impossible to provide fully against all of them."
"“这话不错，或不算太错，但这样摆出事实只能是欲盖弥彰。哦，阿尔法！风险是生活不可避免的一部分，它们是生活的美好滋味和必要负担的一部分，没了危机感生活将平淡无味。但是你给你的妻女以错觉，将她们放到了一个没有风险的神奇世界。你故意将她们生活中最重要的因素——真正的责任——给剥夺了。你让她们在有正常价值观的人眼中显得荒谬可笑。你慢慢地剥夺了她们的自尊。如果你不是那么以自我为中心，她们可能会过得更开心，就算在你活着时也一样。如果你允许或促使妻子去体会财产的重任，去理解并分担你经营大笔生意的忧心，她会更加幸福。如果你的女儿们在几年里每天都能被强迫离开你设计的神奇世界，在现实生活中过几个小时，学习现实世界的地理、风俗、获得衣食和尊重的条件与能力，她们会更加幸福。你也会随之更加幸福，你这笨蛋！你让女儿们去豪华旅行，却不让她们来到真实的世界中。","“Which is true, or half true, and the truth or half-truth of the statement only renders your case the blacker, O Alpha! Risks are an inevitable part of life. They are part of the fine savour and burden of life, and without the sense of them life is flat and tasteless. And yet you feigned to your women that risk was eliminated from the magic world in which you had put them. You deliberately deprived them of the most valuable factor in existence—genuine responsibility. You made them ridiculous in the esteem of all persons with a just perception of values. You slowly bled them of their self-respect. Had you been less egotistic, they might have been happier, even during your lifetime. Your wife would have been happier had she been permitted or compelled to feel the weight of the estate and to share understanding the anxieties of your wonderful business. Your girls would have been happier had they been cast forcibly out of the magic world into the real world for a few hours everyday during a few years in order to learn its geography, and its customs, and the terms on which food and raiment and respect can be obtained in it, and the ability to obtain them. And so would you have been happier, fool! You sent your girls on the grand tour, but you didn’t send them into the real world."
"“阿尔法，砍掉别人手的人是坏蛋，砍掉女人手的人是恶棍。没人有理由这么做，根本没有。这样的人越好心就越是办坏事。我重申，你是最坏的那类恶棍。你的家人为你哀悼时，每人都说你是天使一样的父亲。但你仍然是个恶棍，每个家人的心里都知道，也承认，这着实让人沮丧。和你一样的人还有很多，阿尔法。对，甚至在英格兰就有成千上万和你一样的人……","“Alpha, the man who cuts off another man’s hands is a ruffian. The man who cuts off a woman’s hands is a scoundrel. There is no excuse for him—none whatever. And the kinder he is the worse he is. I repeat that you are the worst sort of scoundrel. Your family mourns you, and every member of it says what an angel of a father you were. But you were a scoundrel all the same. And at heart every member of the family knows it and admits it. Which is rather distressing. And there are thousands just like you, Alpha. Yes, even in England there are tens of thousands just like you..."
"“但你还没死。我只是让你想象一下你死了。","“But you aren’t dead yet. I was only asking you to conceive that you were."
"“相信我，亲爱的阿尔法。","“Believe me, my dear Alpha,"
"“爱你的”","“Yours affectionately.”"
"这可能是一封言辞激烈的长信。你问阿尔法收到信时情绪怎样，事实上，他根本没收到这封信。","A long and violent epistle perhaps. You inquire in what spirit Alphareceived it. The truth is, he never did receive it."
"四","4.0"
"你会很自然地以为在这封信到达之前，阿尔法已经因为中风、双侧肺炎、中弹、车祸或者诸如此类的不幸事件而倒下了。我预见到的那些可怕的事情也确实发生了，这就再次证明了我是一个多么明智的朋友，我哀悼时也有理由自我赞赏一番。但情况不是这样的。阿尔法没有倒下，他舒适宜人的房屋也没有坠入比喻中的悬崖。按照惩恶扬善的规则，他理应倒下，这是他活该，也可以给其他人一个警告——但他没有。不仅仅是坏人，那些没有远见、粗心大意的人也通常会像月桂树一样繁茂，而且会继续过得欣欣向荣，用最成功的方式挑战智慧和正义。这的确让贤哲人士和睿智的建议者生活得极其艰难且不愉快。","You naturally assume that before the letter could reach him Alpha had been mortally struck down by apoplexy, double pneumonia, bullet, automobile, or some such enemy of joy, and that all the dreadful things which I had foreseen might happen did in fact happen, thus proving once more what a very wise friend I was, and filling me with justifiable pride in my grief. But it was not so. Alpha was not struck down, nor did his agreeable house topple over the metaphorical precipice. According to poetical justice he ought to have been struck down, just to serve him right, and as a warning to others—only he was not. Not merely the wicked, but the improvident and the negligent, often flourish like the green bay tree, and they keep on flourishing, and setting wisdom and righteousness at defiance in the most successful manner. Which, indeed, makes the life of a philosopher and sagacious adviser extremely difficult and ungrateful."
"阿尔法没有收到信是因为我根本没把信寄出。有些信是为了倾吐而写，而不是为了寄出。这封信就是其中之一。发这样一封信并不合适。此外，不同于友谊带来的乐趣，友谊的职责决定了交谈是比写信更好、更勇敢也更稳妥的方式。当两位近在咫尺的友人要通过信件来解决一个严重分歧时，他们的友谊将岌岌可危；而且如果其中一人像我一样站在道德高处，那危险会更为严重。信件会越来越长，越来越无礼，而友谊留存下来的可能性也迅速变小。把没有勇气说出来的话用信表达出来通常是（尽管没那么绝对）一个很低劣的行径。","Alpha never received my letter because I never sent it. There are letters which one writes, not to send, but to ease one’s mind. This letter was one of them. It would not have been proper to dispatch such a letter. Moreover, in the duties of friendship, as distinguished from the pleasures of friendship, speech is better, bolder, surer than writing. When two friends within hailing distance of each other get to exchanging epistles in order to settle a serious difference of opinion, the peril to their friendship is indeed grave; and the peril is intensified when one of them has adopted a superior moral attitude—as I had. The letters grow longer and longer, ruder and ruder, and the probability of the friendship surviving grows ever rapidly less and less. It is—usually, though not always—a mean act to write what you have not the pluck to say."
"所以我只把信保留下来作为一个样本，说明我在坦诚的朋友这一重要角色中能做什么（如果我选择这么做）。","So I just kept the letter as a specimen of what I could do—if I chose—in the high role of candid friend."
"我告诉自己，一有愉快的场合，我就会暗示阿尔法先生如此这般，这样那样……","I said to myself that I would take the first favourable occasion to hint to Mr. Alpha how profoundly, etc., etc."
"这场合比我担心的时间来得要早。阿尔法先生病倒了，这场病尽管算不上吓人，但也足够严重了。一开始是大肠炎，后来转成盲肠炎，于是做了手术。阿尔法很快就下床了，心情也不错，不过我在俱乐部再次遇到他时他还有点虚弱。他坐在俱乐部里一扇巨大凸窗旁边的扶手椅上，兴致勃勃地观察着街上的各色景致。这幅场景几乎堪称完美。我在窗户另一端的扶手椅上坐下。从他无忧无虑的表情上我马上看出，疾病并没有带给他什么教训，于是我决定尽力用自己拙劣的谈话技巧与劝辞给他指明一个道理。","The occasion arrived sooner than I had feared. Alpha had an illness. It was not alarming, and yet it was sufficiently formidable. It began with colitis, and ended with appendicitis and an operation. Soon after Alphahad risen from his bed and was cheerfully but somewhat feebly about again I met him at a club. He was sitting in an arm-chair in one of the huge bay-windows of the club, and gazing with bright interest upon the varied spectacle of the street. The occasion was almost ideal. I took the other arm-chair in the semicircle of the window. I saw at once by his careless demeanour that his illness had taught him nothing, and I determined with all my notorious tact and persuasiveness to point amoral for him."
"正当我清清嗓子要开始时，他胳膊肘一扭，带着善意却讽刺的微笑大声说道：","And just as I was clearing my throat to begin he exclaimed, with a jerk of the elbow and a benevolently satiric smile:"
"“看见那女孩儿了吗？”","“See that girl?”"
"一个衣着朴素的女孩拿着小提琴盒穿过我们窗前的街道。","A plainly-dressed young woman carrying a violin case crossed the street in front of our window."
"“看见了，”我说，“她怎么了？”","“I see her,” said I. “What about her?”"
"“那是欧米加的二女儿。”","“That’s Omega’s second daughter.”"
"“哦，欧米加，”我低声说。“好久没见到他了，他在做什么呢？你近来见过他吗？”","“Oh, Omega,” I murmured. “Haven’t seen him for ages. What’s he doing with himself? Do you ever meet him nowadays?”"
"阿尔法说：","Said Mr. Alpha:"
"“我碰巧和他吃过一次饭，主要是为了生意，就在我生病的前几天。真是个相当奇怪的家伙，这个欧米加，相当奇怪。”","“I happened to dine with him—it was chiefly on business—a couple of days before I fell ill. Remarkably strange cove, Omega—remarkably strange.”"
"“为什么？怎么奇怪？这家伙的二女儿又怎么了？”","“Why? How? And what’s the matter with the cove’s second daughter, anyway?”"
"“这个，”阿尔法说，“他们都是一样的家伙——他，他二女儿和他其余的家人。很有意思，你应该会对这件事感兴趣，欧米加有种疯病。”","“Well,” said Alpha, “it’s all of a piece—him and his second daughter and the rest of the family. Funny case. It ought to interest you. Omega’s got a mania.”"
"“什么疯病？”","“What mania?”"
"“不太好说，可以叫做未雨绸缪疯病。”","“Not too easy to describe. Call it the precaution mania.”"
"“未雨绸缪疯病？什么东西？”","“The precaution mania? What’s that?”"
"“我来告诉你。”","“I’ll tell you.”"
"他随之告诉了我。","And he told me."
"五","5.0"
"“很奇怪，”阿尔法说，“我得盲肠炎的时候本应该在欧米加家。欧米加对盲肠炎很在行。”","“Odd thing,” said Alpha, “that I should have been at Omega’s just as I was sickening for appendicitis. He’s great on appendicitis, is Omega.”"
"“他得过吗？”","“Has he had it?”"
