"雷神桥谜案[^1]","The Problem of Thor Bridge"
"探监的手续仍然没有办妥，当晚我们只好住在了温切斯特。还好，次日早上我们就得到了入狱探视这位年青女士的许可，陪我们去的则是受托为她辩护的律师界新秀乔伊斯·卡明斯先生。根据之前的所有传闻，我早已知道这次要见的是一位美丽女子，即便如此，邓巴小姐仍然给我留下了永生难忘的印象。怪不得，就连那个专横跋扈的富豪都会在邓巴小姐身上看到一种比自己还要强大的东西，看到一种可以约束他、指引他的东西。只需要看看她那张轮廓分明、坚定却不失敏感的脸庞，谁都会觉得，即便她会有鲁莽行事的时候，固有的高贵品格仍然能保证她始终把自身的力量用到善的方向。她肤色微黑，身材颀长，仪态优雅，气势逼人，可她乌黑的眼睛却带着一种哀恳无助的神情，仿佛是一只明知罗网逼近却无法找到出路的猎物。到这会儿，她意识到我那位大名鼎鼎的朋友已经赶来相救，苍白的双颊便泛上了一丝血色，投向我们的目光里也亮起了一点希望的火花。","We were compelled to spend the night at Winchester, as the formalities had not yet been completed, but next morning, in the company of Mr. Joyce Cummings, the rising barrister who was entrusted with the defence, we were allowed to see the young lady in her cell. I had expected from all that we had heard to see a beautiful woman, but I can never forget the effect which Miss Dunbar produced upon me. It was no wonder that even the masterful millionaire had found in her something more powerful than himself—something which could control and guide him. One felt, too, as one looked at the strong, clear-cut, and yet sensitive face, that even should she be capable of some impetuous deed, none the less there was an innate nobility of character which would make her influence always for the good. She was a brunette, tall, with a noble figure and commanding presence, but her dark eyes had in them the appealing, helpless expression of the hunted creature who feels the nets around it, but can see no way out from the toils. Now, as she realized the presence and the help of my famous friend, there came a touch of colour in her wan cheeks and a light of hope began to glimmer in the glance which she turned upon us."
"“尼尔·吉布森先生已经把我和他之间的一些事情告诉了您，对吗？”她惴惴不安地低声问道。","“Perhaps Mr. Neil Gibson has told you something of what occurred between us?” she asked in a low, agitated voice."
"“是的。”福尔摩斯回答道，“您不需要讲述那些让您难堪的事情。见到您之后，我觉得吉布森先生没说假话，您对他的影响力是真的，你们俩之间关系清白也是真的。可是，您为什么不把全部的情况讲给地方法庭听呢？”","“Yes,” Holmes answered, “you need not pain yourself by entering into that part of the story. After seeing you, I am prepared to accept Mr. Gibson’s statement both as to the influence which you had over him and as to the innocence of your relations with him. But why was the whole situation not brought out in court?”"
"“当时我觉得，如此荒谬的指控肯定是难以为继。所以我就想，如果我们等等的话，整件事情一定会自动澄清，用不着我们谈论那些涉及家庭私隐的难堪细节。可是，现在我已经知道，事情不但没有澄清，反倒是愈演愈烈。”","“It seemed to me incredible that such a charge could be sustained. Ithought that if we waited the whole thing must clear itself up without our being compelled to enter into painful details of the inner life of the family. But I understand that far from clearing it has become even more serious.”"
"“亲爱的小姐啊，”福尔摩斯语调恳切地高声说道，“您可千万不要抱这样的幻想。这位卡明斯先生可以明明白白地告诉您，桌上所有的牌都对您不利，咱们只有全力以赴才能摆脱困境。我要是硬说您面临的危险不算太大，那就是一种残忍的欺骗。所以呢，您一定要尽力帮助我查明真相。”","“My dear young lady,” cried Holmes earnestly, “I beg you to have no illusions upon the point. Mr. Cummings here would assure you that all the cards are at present against us, and that we must do everything that is possible if we are to win clear. It would be a cruel deception to pretend that you are not in very great danger. Give me all the help you can, then, to get at the truth.”"
"“我绝不隐瞒任何事情。”","“I will conceal nothing.”"
"“那好，说说您和吉布森太太的确切关系吧。”","“Tell us, then, of your true relations with Mr. Gibson’s wife.”"
"“她恨我，福尔摩斯先生，用尽了她全部的热带烈性来恨我。她这个人做什么事情都是毫无保留，她对她丈夫有多爱，对我也就有多恨。她多半是误会了我和她丈夫的关系。我不想说什么对她不公道的话，可她那种身体层面的爱情实在是太过强烈，因此就理解不了我和她丈夫之间这种精神层面乃至宗教层面的纽带，同时也无法想象，我之所以留在她家，仅仅是想把她丈夫的力量引上为善之途。现在我知道自己想错了，什么事情也不能成为我留下的理由，因为我已经变成了他人不幸的根源，话又说回来，可以肯定的是，那种不幸并不会随着我的离去而消失。”","“She hated me, Mr. Holmes. She hated me with all the fervour of her tropical nature. She was a woman who would do nothing by halves, and the measure of her love for her husband was the measure also of her hatred for me. It is probable that she misunderstood our relations. I would not wish to wrong her, but she loved so vividly in a physical sense that she could hardly understand the mental, and even spiritual, tie which held her husband to me, or imagine that it was only my desire to influence his power to good ends which kept me under his roof. I can see now that I was wrong. Nothing could justify me in remaining where I was a cause of unhappiness, and yet it is certain that the unhappiness would have remained even if I had left the house.”"
"“好了，邓巴小姐，”福尔摩斯说道，“麻烦您把当天晚上的事情原原本本地讲出来吧。”","“Now, Miss Dunbar,” said Holmes, “I beg you to tell us exactly what occurred that evening.”"
"“我可以把我知道的情况和盘托出，福尔摩斯先生，可我什么也证明不了，有一些细节——而且是至关紧要的细节——不光是超出了我自己所能解释的范围，在我看来还是根本无法解释的事情。”","“I can tell you the truth so far as I know it, Mr. Holmes, but I am in a position to prove nothing, and there are points—the most vital points—which I can neither explain nor can I imagine any explanation.”"
"“只要您提供事实，别的人兴许可以提供解释。”","“If you will find the facts, perhaps others may find the explanation.”"
"“好吧，当晚我之所以会去雷神桥，是因为我早上收到了吉布森太太的条子。条子就放在孩子课室的桌子上，兴许是她亲手放的。她恳求我晚餐之后到雷神桥去见她，说是有要事相告，还叫我把答复放在花园里的日晷上，因为她不希望别人知道这件事情。我不明白她为什么要做得这么隐秘，可我还是按她说的方法给出了答复，同意去见她。她要求我销毁她的条子，我就把条子扔进了课室的壁炉。她非常害怕她丈夫，因为她丈夫对她非常冷酷，我还经常为这件事情谴责她的丈夫呢。所以我只能推测，她之所以这么做，原因是她不想让丈夫知道我俩见面的事情。”","“With regard, then, to my presence at Thor Bridge that night, I received a note from Mrs. Gibson in the morning. It lay on the table of the schoolroom, and it may have been left there by her own hand. It implored me to see her there after dinner, said she had something important to say to me, and asked me to leave an answer on the sundial in the garden, as she desired no one to be in our confidence. I saw no reason for such secrecy, but I did as she asked, accepting the appointment. She asked me to destroy her note and I burned it in the schoolroom grate. She was very much afraid of her husband, who treated her with a harshness for which I frequently reproached him, and I could only imagine that she acted in this way because she did not wish him to know of our interview.”"
"“可她自己不是小心翼翼地保存着您的答复吗？”","“Yet she kept your reply very carefully?”"
"“是啊。听说她死的时候都还把条子捏在手里，我真是吃了一惊。”","“Yes. I was surprised to hear that she had it in her hand when she died.”"
"“好吧，后来又怎么样呢？”","“Well, what happened then?”"
"“我如约前往见面地点。我走到桥头的时候，她已经在那里等着了。直到那一刻，我才真正认识到这个可怜的妇人恨我恨到了什么程度。她简直是一个疯婆子——现在想来，我觉得她就是一个疯婆子，只不过她拥有疯子往往会有的那种高超的欺骗本领，疯得不露痕迹。她心里装着如此狂暴的仇恨，但却还是可以行若无事地跟我天天见面，不是疯子又是什么呢？我不想重复她当时说的那些话，总而言之，她把满腔的疯狂怒火都变成了无比激烈、无比可怕的言语。我甚至没有回答——我没法回答。她那副样子真让人看不下去，于是我捂着耳朵逃离了那里。我跑开的时候，她仍然站在桥头，仍然在冲我尖声怒骂。”","“I went down as I had promised. When I reached the bridge she was waiting for me. Never did I realize till that moment how this poor creature hated me. She was like a mad woman— indeed, I think she *was* a mad woman, subtly mad with the deep power of deception which insane people may have. How else could she have met me with unconcern every day and yet had so raging a hatred of me in her heart? I will not say what she said. She poured her whole wild fury out in burning and horrible words. I did not even answer—I could not. It was dreadful to see her. I put my hands to my ears and rushed away. When I left her she was standing, still shrieking out her curses at me, in the mouth of the bridge.”"
"“是在他们发现尸体的那个地方吗？”","“Where she was afterwards found?”"
"“离那个地方只有几码[^14]的距离。”","“Within a few yards from the spot.”"
"“可是，既然她的死亡是您刚走不久的事情，您难道没有听见枪声吗？”","“And yet, presuming that she met her death shortly after you left her, you heard no shot?”"
"“没有，我什么也没听见。不过，说真的，福尔摩斯先生，她这次可怕的爆发弄得我烦乱极了，所以我一心只想赶回自己的房间去图个清静，根本留意不到别的事情。”","“No, I heard nothing. But, indeed, Mr. Holmes, I was so agitated and horrified by this terrible outbreak that I rushed to get back to the peace of my own room, and I was incapable of noticing anything which happened.”"
"“按您的说法，您立刻回房去了。第二天早上之前，您还出过门吗？”","“You say that you returned to your room. Did you leave it again before next morning.”"
"“是的，有人来报告这个可怜妇人的死讯，我就跟其他人一起跑了出去。”","“Yes, when the alarm came that the poor creature had met her death I ran out with the others.”"
"“当时您看到吉布森先生了吗？”","“Did you see Mr. Gibson?”"
"“看到了，他刚刚从桥那边回来，那时他已经派了人去请医生和警察。”","“Yes, he had just returned from the bridge when I saw him. He had sent for the doctor and the police.”"
"“按您的感觉，当时他显得慌乱吗？”","“Did he seem to you much perturbed?”"
"“吉布森先生是一个非常坚强、非常内敛的人，我觉得他从来都不会把心里的感觉摆在脸上。可我对他非常了解，所以就看得出来，他确实深受打击。”","“Mr. Gibson is a very strong, self-contained man. I do not think that he would ever show his emotions on the surface. But I, who knew him so well, could see that he was deeply concerned.”"
"“好了，咱们这就来谈谈最重要的那个问题，也就是他们在您的房间里找到的那把手枪。您以前见过那把枪吗？”","“Then we come to the all-important point. This pistol that was found in your room. Had you ever seen it before?”"
"“从来没见过，我可以发誓。”","“Never, I swear it.”"
"“枪是什么时候找到的呢？”","“When was it found?” "
"“第二天早上，警察就是在那个时候来搜查的。”","“Next morning, when the police made their search.”"
"“是在您的衣物当中找到的吗？”","“Among your clothes?” "
"“是的，在我衣橱的底板上，埋在我那些裙子下面。”","“Yes, on the floor of my wardrobe under mydresses.” "
"“您估计得出枪在您的衣橱里藏了多久吗？”","“You could not guess how long it had been there?” "
"“头天早上还不在我的衣橱里。”","“It had not been there the morning before.” "
"“您怎么知道呢？”","“How do you know?” "
"“头天早上我收拾过衣橱。”","“Because I tidied out the wardrobe.” "
"“这么说的话，事情就没有什么疑问了。也就是说，有人溜进了您的房间，把枪放在那里嫁祸于您。”","“That is final. Then someone came into your room and placed the pistol there in order to inculpate you.”"
"“只能这么解释。”","“It must have been so.”"
"“什么时候放的呢？”","“And when?”"
"“只能是在吃饭时间，要不就是我在课室里教孩子的时候。”","“It could only have been at meal-time, or else at the hours when I would be in the schoolroom with the children.”"
"“也就是您收到条子的时候吗？”","“As you were when you got the note?”"
"“是的，从收到条子的时候开始，再加上接下来的一整个上午。”","“Yes, from that time onward for the whole morning.”"
"“谢谢您，邓巴小姐。还有什么能帮助我查案的情况吗？”","“Thank you, Miss Dunbar. Is there any other point which could help me in the investigation?”"
"“我想不到别的了。”","“I can think of none.”"
"“桥栏的扶手上有一块猛烈撞击的痕迹，一块非常新的凿痕，就在正对尸体的地方。这件事情您有什么解释吗？”","“There was some sign of violence on the stonework of the bridge—a perfectly fresh chip just opposite the body. Could you suggest any possible explanation of that?”"
"“应该只是一种巧合吧。”","“Surely it must be a mere coincidence.”"
"“奇怪啊，邓巴小姐，奇怪极了。凿痕为什么偏偏出现在惨案发生的时候，为什么偏偏出现在惨案发生的地点呢？”","“Curious, Miss Dunbar, very curious. Why should it appear at the very time of the tragedy, and why at the very place?”"
"“可它能是什么东西造成的呢？只有非常猛烈的撞击才能留下这种痕迹啊。”","“But what could have caused it? Only great violence could have such an effect.”"
"福尔摩斯没有回答。他那张热切的苍白脸庞突然带上了一种专注悠远的神情，根据我的经验，这样的神情往往出现在他将自己的天才发挥到了极致的时刻。他脑子里那个千钧一发的时刻表现得如此明显，以至于律师、囚犯和我一时间都不敢出声，只能坐在那里，全神贯注地盯着他看。突然之间，他从椅子上一跃而起，跃跃欲试，火急火燎，整个人都颤抖起来。","Holmes did not answer. His pale, eager face had suddenly assumed that tense, faraway expression which I had learned to associate with the supreme manifestations of his genius. So evident was the crisis in his mind that none of us dared to speak, and we sat, barrister, prisoner, and myself, watching him in a concentrated and absorbed silence. Suddenly he sprang from his chair, vibrating with nervous energy and the pressing need for action."
"“快，华生，快！”他大叫起来。","“Come, Watson, come!” he cried."
"“怎么啦，福尔摩斯先生？”","“What is it, Mr. Holmes?”"
"“没怎么，亲爱的小姐。卡明斯先生，我会捎信给您的。仰赖正义之神的帮助，我会让您赢下一件必将轰动全国的案子。邓巴小姐，明天之前我就会给您消息，与此同时，您尽管收下我的保证：乌云正在消散，而我深信不疑，真相的曙光终将到来。”","“Never mind, my dear lady. You will hear from me, Mr. Cummings. With the help of the god of justice I will give you a case which will make England ring. You will get news by tomorrow, Miss Dunbar, and meanwhile take my assurance that the clouds are lifting and that I have every hope that the light of truth is breaking through.”"
"温切斯特和雷神府邸之间的距离并不算远，可我心情急迫，自然是觉得长路迢迢。福尔摩斯呢，显然是觉得这段旅程漫长无尽，因为他焦躁得根本就坐不住，一会儿在车厢里走来走去，一会儿又用修长灵敏的手指使劲儿地敲打身边的坐垫。不过，快到终点的时候，他突然坐到了我的对面——我俩包下了一个头等车厢——两只手分别搭在我的两个膝盖上，直视着我的眼睛，眼神之中带着格外强烈的恶作剧意味，正是他顽童性情萌发之时的典型表现。","It was not a long journey from Winchester to Thor Place, but it was long to me in my impatience, while for Holmes it was evident that it seemed endless; for, in his nervous restlessness, he could not sit still, but paced the carriage or drummed with his long, sensitive fingers upon the cushions beside him. Suddenly, however, as we neared our destination he seated himself opposite to me—we had a first-class carriage to ourselves—and laying a hand upon each of my knees he looked into my eyes with the peculiarly mischievous gaze which was characteristic of his more imp-like moods."
"“华生啊。”他说道，“我似乎记得，跟我出来兜风的时候，你总是带着武器的。”","“Watson,” said he, “I have some recollection that you go armed upon these excursions of ours.”"
"我带武器也是为了他好。专心研究问题的时候，他总是完全不顾自己的安全，这样一来，我的左轮手枪就不止一次地扮演了患难知交的角色。眼下他说到了武器的事情，我便提醒他不要忘了这个事实。","It was as well for him that I did so, for he took little care for his own safety when his mind was once absorbed by a problem, so that more than once my revolver had been a good friend in need. I reminded him of the fact."
"“是，是，我对这些事情确实有点儿心不在焉。不说这个，你那把左轮手枪在身上吗？”","“Yes, yes, I am a little absent-minded in such matters. But have you your revolver on you?”"
"我从屁股兜里把枪掏了出来。这把枪枪身很短，便于携带，但却是一件非常趁手的小小武器。他拉开保险扣，抖出子弹，仔细地看了起来。","I produced it from my hip-pocket, a short, handy, but very serviceable little weapon. He undid the catch, shook out the cartridges, and examined it with care."
"“挺沉的，沉得出奇。”他说道。","“It’s heavy—remarkably heavy,” said he."
"“是啊，这把枪做得非常结实。”","“Yes, it is a solid bit of work.”"
"他看着枪想了片刻。","He mused over it for a minute."
"“你知道吗，华生。”他说道，“据我看，你这把枪将会跟咱们手头的谜案产生十分紧密的联系。”","“Do you know, Watson,” said he, “I believe your revolver is going to have a very intimate connection with the mystery which we are investigating.”"
"“福尔摩斯老兄，你这是开玩笑吧。”","“My dear Holmes, you are joking.”"
"“不，华生，一点儿也不开玩笑。咱们得做一个实验，实验成功的话，案子就会水落石出。还有啊，实验的成败全得看这把小小武器的表现。好啦，一颗子弹留下，其余五颗装回去，再扣上保险扣。行了！这一来，枪的重量就会增加，实验的结果也会更加准确。”","“No, Watson, I am very serious. There is a test before us. If the test comes off all will be clear. And the test will depend upon the conduct of this little weapon. One cartridge out. Now we will replace the other five and put on the safety-catch. So! That increases the weight and makes it a better reproduction.”"
"我完全不知道他打的是什么主意，他也不作进一步的解释，只是坐在那里沉思默想，直到火车开进那个汉普郡小站为止。接下来，我们雇来一辆行将散架的轻便马车，一刻钟之后就赶到了那位故作神秘的警长朋友家里。","I had no glimmer of what was in his mind, nor did he enlighten me, but sat lost in thought until we pulled up in the little Hampshire station. We secured a ramshackle trap, and in a quarter of an hour were at the house of our confidential friend, the sergeant."
"“有线索啦，福尔摩斯先生？什么线索呢？”","“A clue, Mr. Holmes? What is it?”"
"“全都得看华生医生那把左轮手枪的表现。”福尔摩斯说道。“喏，枪就在这儿。好了，警官，您能给我十码绳子吗？”","“It all depends upon the behaviour of Dr. Watson’s revolver,” said my friend. “Here it is. Now, officer, can you give me ten yards of string?”"
"村里的商店供应了一团十分结实的绳子。","The village shop provided a ball of stout twine."
"“依我看，咱们这就算是万事俱备啦。”福尔摩斯说道。“好了，劳驾你们跟我一起上路吧，这应该是咱们这次旅程的最后一段了。”","“I think that this is all we will need,” said Holmes. “Now, if you please, we will get off on what I hope is the last stage of our journey.”"
"斜晖映照之下，连绵起伏的汉普郡荒野呈现出一派令人赞叹的秋日美景。警长拖着步子走在我俩身边，一次又一次地投来了挑剔和狐疑的目光，显然是对我朋友的神志产生了极大的怀疑。走近犯罪现场的时候，我发现我朋友虽然保持着惯常的镇静模样，实际上却已经心急如焚。","The sun was setting and turning the rolling Hampshire moor into a wonderful autumnal panorama. The sergeant, with many critical and incredulous glances, which showed his deep doubts of the sanity of my companion, lurched along beside us. As we approached the scene of the crime I could see that my friend under all his habitual coolness was in truth deeply agitated."
"“是啊。”他回答的是我的目光，“华生，你是见过我失手的。我对这些事情的直觉非常好，可我有时也会上直觉的当。在温切斯特那间牢房里的时候，我突然有了一种直觉，当时还觉得它准保没错，可是，活跃的头脑也有一个坏处，总能让你想到一些其他的解释，让你怀疑自个儿的判断靠不住。然而——然而——呃，华生，没办法，只能一试。”","“Yes,” he said in answer to my remark, “you have seen me miss my mark before, Watson. I have all instinct for such things, and yet it has sometimes played me false. It seemed a certainty when first it flashed across my mind in the cell at Winchester, but one drawback of an active mind is that one can always conceive alternative explanations which would make our scent a false one. And yet—and yet—Well, Watson, we can but try.”"
"前行过程之中，他把绳子的一端牢牢地绑在了左轮手枪的枪把上。到这会儿，我们已经来到了惨案现场。在警长的指引之下，他仔仔细细地标出了尸体原先所在的精确位置。接下来，他在周围的石南和蕨类植物丛中搜寻了一番，终于找来了一块相当不小的石头。他把绳子的另一端绑在石头上，又把石头从桥栏扶手上方往苇塘里放，一直放到了贴近水面的地方。这之后，他站在了刚刚标出的那个不祥位置，跟桥边稍微隔着一点儿距离，手里仍然拿着我那把左轮手枪，拴在枪上的绳子已经被绳子另一端的沉重石头绷得紧紧的了。","As he walked he had firmly tied one end of the string to the handle of the revolver. We had now reached the scene of the tragedy. With great care he marked out under the guidance of the policeman the exact spot where the body had been stretched. He then hunted among the heather and the ferns until he found a considerable stone. This he secured to the other end of his line of string, and he hung it over the parapet of the bridge so that it swung clear above the water. He then stood on the fatal spot, some distance from the edge of the bridge, with my revolver in his hand, the string being taut between the weapon and the heavy stone on the farther side."
"“来吧！”他大喊一声。","“Now for it!” he cried."
"话音未落，他已经把手枪举到头上，跟着就松了手。转眼之间，手枪在石头重量的作用之下飞快地冲向桥边，“啪”的一声击中桥栏的扶手，跟着就越过栏杆，沉到了水里。手枪刚刚消失，福尔摩斯已经迫不及待地跪在了栏杆旁边，随即欢呼一声，显然是看到了预期的效果。","At the words he raised the pistol to his head, and then let go his grip. In an instant it had been whisked away by the weight of the stone, had struck with a sharp crack against the parapet, and had vanished over the side into the water. It had hardly gone before Holmes was kneeling beside the stonework, and a joyous cry showed that he had found what he expected."
"“还有比这更准确的演示吗？”他高声说道。“瞧啊，华生，问题已经被你的左轮手枪解决啦！”说话的时候，他一直用手指着刚刚出现在石砌扶手下缘的一块凿痕，凿痕的大小和形状都跟先前那块凿痕一模一样。","“Was there ever a more exact demonstration?” he cried. “See, Watson, your revolver has solved the problem!” As he spoke he pointed to a second chip of the exact size and shape of the first which had appeared on the under edge of the stone balustrade."
"“我们会在村里的旅馆住一宿。”他站起身来，冲着大惊失色的警长说道。“当然喽，您可以去弄一套抓钩，不费多少力气就可以把我朋友的手枪捞起来。除此之外，您还会在他的手枪旁边找到另一把左轮手枪，上面也连着绳子和重物，全都是那个报复心强的女人留下的工具，用途是掩盖自己的罪行[^15]，同时把谋杀的罪名扣在一个无辜者的身上。麻烦您通知吉布森先生，我明天早上会去找他，以便为邓巴小姐洗雪冤情。”","“We’ll stay at the inn tonight,” he continued as he rose and faced the astonished sergeant. “You will, of course, get a grappling-hook and you will easily restore my friend’s revolver. You will also find beside it the revolver, string and weight with which this vindictive woman attempted to disguise her own crime and to fasten a charge of murder upon an innocent victim. You can let Mr. Gibson know that I will see him in the morning, when steps can be taken for Miss Dunbar’s vindication.”"
"当天入夜时分，我俩坐在本村的旅馆里抽烟斗，福尔摩斯简单地回顾了一下之前的事情。","Late that evening, as we sat together smoking our pipes in the village inn, Holmes gave me a brief review of what had passed."
"“依我看，华生。”他说道，“你要是把雷神桥的谜案写成了故事，恐怕也不能为我或许拥有的那点儿声誉锦上添花。这次我反应迟钝，揉合想象与现实的能力也有所欠缺，而那正是我这个行当必不可少的基本素质。说老实话，光是石头栏杆上的那块凿痕就足以揭示真正的答案，我没能更快地解决问题，完全是我自己的责任。","“I fear, Watson,” said he, “that you will not improve any reputation which I may have acquired by adding the case of the Thor Bridge mystery to your annals. I have been sluggish in mind and wanting in that mixture of imagination and reality which is the basis of my art. I confess that the chip in the stonework was a sufficient clue to suggest the true solution, and that I blame myself for not having attained it sooner."
"“不容否认的是，这个不幸女人的心机确实是渊深叵测，要识破她的阴谋并不是一件非常简单的事情。依我看，关于扭曲爱情的可怕力量，咱们的办案生涯当中还从来不曾有过比这件案子更为离奇的例证。看样子，不管邓巴小姐的情敌身份是不是只有精神层面的意义，在她眼里都是同样地不可饶恕。她丈夫用冷酷的态度和无情的话语来拒斥她那种过于直露的爱意，而她显然是把所有的委屈都算成了这位无辜女士的罪过。她的第一个决断是结束自己的生命，第二个决断则是采用一种特定的自戕方式，借此为她的目标安排一种比猝然死亡还要可怕得多的命运。","“It must be admitted that the workings of this unhappy woman’s mind were deep and subtle, so that it was no very simple matter to unravel her plot. I do not think that in our adventures we have ever come across a stranger example of what perverted love can bring about. Whether Miss Dunbar was her rival in a physical or in a merely mental sense seems to have been equally unforgivable in her eyes. No doubt she blamed this innocent lady for all those harsh dealings and unkind words with which her husband tried to repel her too demonstrative affection. Her first resolution was to end her own life. Her second was to do it in such a way as to involve her victim in a fate which was worse far than any sudden death could be."
"“咱们可以清清楚楚地看到她实施计划的各个步骤，这些步骤都体现着一颗老谋深算的头脑。她通过非常聪明的手法从邓巴小姐那里骗来了一张条子，好让人以为犯罪地点出自邓巴小姐的安排。她急于让人发现条子，到死都把它捏在手里，这样的做法多少有点儿过犹不及。单凭这一点，我就应该更早地看出其中有诈。","“We can follow the various steps quite clearly, and they show a remarkable subtlety of mind. A note was extracted very cleverly from Miss Dunbar which would make it appear that she had chosen the scene of the crime. In her anxiety that it should be discovered she somewhat overdid it by holding it in her hand to the last. This alone should have excited my suspicions earlier than it did."
"“这之后，她拿上她丈夫的一把左轮手枪——你也看见了，她家的宅子堪称是一座武库——把枪留在手边备用。同一天上午，她将一把同样的手枪藏进了邓巴小姐的衣橱，藏之前还用它放了一枪。放枪的事情她可以在树林里做，很容易就可以瞒过别人的耳目。然后呢，她去了雷神桥，预先安排好了这种隐匿武器的精妙方法。邓巴小姐到场之后，她借着最后的一口气发泄出了满心的仇恨，等邓巴小姐跑到听不见枪声的地方之后，她便将可怕的最后一步付诸实施。到这会儿，所有的环节都已就位，事件的链条也已经构筑完整。记者们兴许会追问，干吗不一上来就去苇塘里打捞证据，不过，事后聪明可没有什么了不起，何况苇塘那么大，如果没有预先判定打捞的目标和位置的话，打捞证据再怎么说也不是一件容易的事情。好啦，华生，这次咱们帮到的是一个不一般的女人，再加上一个强有力的男人。如果事态按照眼前的趋势发展，他俩将来走到了一起的话，金融世界兴许会发现，尼尔·吉布森先生还是从那座教授人生课程的苦难课堂里学到了一点儿东西的。”","“Then she took one of her husband’s revolvers—there was, as you saw, an arsenal in the house—and kept it for her own use. A similar one she concealed that morning in Miss Dunbar’s wardrobe after discharging one barrel, which she could easily do in the woods without attracting attention. She then went down to the bridge where she had contrived this exceedingly ingenious method for getting rid of her weapon. When Miss Dunbar appeared she used her last breath in pouring out her hatred, and then, when she was out of hearing, carried out her terrible purpose. Every link is now in its place and the chain is complete. The papers may ask why the mere was not dragged in the first instance, but it is easy to be wise after the event, and in any case the expanse of a reed-filled lake is no easy matter to drag unless you have a clear perception of what you are looking for and where. Well, Watson, we have helped a remarkable woman, and also a formidable man. Should they in the future join their forces, as seems not unlikely, the financial world may find that Mr. Neil Gibson has learned something in that schoolroom of sorrow where our earthly lessons are taught.”"
