"第一章 王子和贫儿的诞生","Chapter I  The Birth of the Prince and the Pauper"
"“早上十点，或十点过几分，新年的第一天，最明显的——”","“At ten in the morning, or some minutes later, the first day of the New Year, most illustrious—”"
"“放了这个囚犯——这是国王的命令！”","“Let the prisoner go free—it is the King’s will!”"
"这不像一国之君说的话一出口，他又红了脸。他尽力遮掩自己冒失的言行，接着说道：","Another blush followed this unregal outburst, and he covered his indecorum as well as he could by adding—"
"“这么空洞、轻率的证据就判他绞刑，让我很恼怒！”","“It enrageth me that a man should be hanged upon such idle, hare-brained evidence!”"
"众人中传出来低低的敬佩之声。不是敬佩汤姆颁布的这个命令，因为不管是同意还是敬佩，很少有人认为释放一个判决的囚犯是合适或适宜的。不，他们钦佩的是汤姆表现出来的机智和精神。有些低语是这么说的：","A low buzz of admiration swept through the assemblage.It was not admiration of the decree that had been delivered by Tom, for the propriety or expediency of pardoning a convicted poisoner was a thing which few there would have felt justified in either admitting or admiring—no, the admiration was for the intelligence and spirit which Tom had displayed.Some of the low-voiced remarks were to this effect—"
"“这不是疯国王——他的智慧是健全的。”","“This is no mad king—he hath his wits sound.”"
"“他多么稳妥地处理了他的问题，果断直接地处理这件事情，多么像以前那个正常的他！”","“How sanely he put his questions—how like his former natural self was this abrupt imperious disposal of the matter!”"
"“感谢上帝，他的病好了！这不是弱者，而是国王。他表现得像他的父亲了。”","“God be thanked, his infirmity is spent!This is no weakling, but a king.He hath borne himself like to his own father.”"
"空气里充满了赞许，汤姆当然也感觉到了一点儿。于是，他变得十分放松，处理起事情来也令人满意。","The air being filled with applause, Tom’s ear necessarily caught a little of it.The effect which this had upon him was to put him greatly at his ease, and also to charge his system with very gratifying sensations."
"但是，他作为少年固有的好奇心很快战胜了这些愉快的想法和感觉，他很想知道这个女人和小女孩犯了什么死罪。所以，遵照他的命令，两个吓坏了的、哭哭啼啼的人被带到了他面前。","However, his juvenile curiosity soon rose superior to these pleasant thoughts and feelings; he was eager to know what sort of deadly mischief the woman and the little girl could have been about; so, by his command, the two terrified and sobbing creatures were brought before him."
"“他们犯了什么罪？”他问警官。","“What is it that these have done?” he inquired of the sheriff."
"“启禀陛下，他们被控犯了邪恶的罪行，证据确凿。因此，根据法律，法官判决她们绞刑。她们把自己出卖给了魔鬼，这就是她们的罪行。”","“Please your Majesty, a black crime is charged upon them, and clearly proven; wherefore the judges have decreed, according to the law, that they be hanged.They sold themselves to the devil—such is their crime.”"
"汤姆不寒而栗。他被教导过要憎恨做这种邪恶的事情的人。不过，他不准备为此而牺牲满足自己好奇心的乐趣，所以他问道：","Tom shuddered.He had been taught to abhor people who did this wicked thing.Still, he was not going to deny himself the pleasure of feeding his curiosity for all that; so he asked—"
"“犯罪地点是哪儿？时间呢？”","“Where was this done?—and when?”"
"“十二月的一个午夜，在一座荒废的教堂里，陛下。”","“On a midnight in December, in a ruined church, your Majesty.”"
"汤姆又打了个冷战。","Tom shuddered again."
"“当时谁在场？”","“Who was there present?”"
"“只有这两个人，陛下——和那个魔鬼。”","“Only these two, your grace—and THAT OTHER.”"
"“她们招认了吗？”","“Have these confessed?”"
"“没有，没有招，陛下，她们就是不承认。”","“Nay, not so, sire—they do deny it.”"
"“那么，请问怎么知道这件事的？”","“Then prithee, how was it known?”"
"“有个目击证人确实看到她们朝那个方向走去，好心的陛下，这引起了人们的怀疑，而之后可怕的结果也确证了这一点。特别是，证据证明她们通过由此得来的魔法召来暴风雨，将这一带摧残得一片荒芜。超过四十个证人为这场暴风雨作了证。其实，上千人可以来作证，因为所有人都遭了灾害，都有理由记得它。”","“Certain witness did see them wending thither, good your Majesty; this bred the suspicion, and dire effects have since confirmed and justified it.In particular, it is in evidence that through the wicked power so obtained, they did invoke and bring about a storm that wasted all the region round about.Above forty witnesses have proved the storm; and sooth one might have had a thousand, for all had reason to remember it, sith all had suffered by it.”"
"“这确实是件严重的事情。”汤姆脑子里想了一下这件邪恶卑劣的事情，接着说道：","“Certes this is a serious matter.”Tom turned this dark piece of scoundrelism over in his mind a while, then asked—"
"“这女人也遭受了暴风雨的灾难吧？”","“Suffered the woman also by the storm?”"
"众人中，几位元老对这个机智的问题点头赞赏。可是，警官没有看出问题所在，只是直接回答道：","Several old heads among the assemblage nodded their recognition of the wisdom of this question.The sheriff, however, saw nothing consequential in the inquiry; he answered, with simple directness—"
"“的确如此，陛下，人们都说她自作自受。她的住处给毁了，她自己和孩子都无家可归。”","“Indeed did she, your Majesty, and most righteously, as all aver.Her habitation was swept away, and herself and child left shelterless.”"
"“我觉得，这个给她自己造成如此大的灾难的魔法，真是买贵了。如果付了钱，哪怕只是一个法寻，她就上了当。如果她为此出卖了自己的灵魂，出卖了她孩子的灵魂，这说明她疯了。如果她疯了，她就不知道自己在做什么，所以不算犯罪。”","“Methinks the power to do herself so ill a turn was dearly bought.She had been cheated, had she paid but a farthing for it; that she paid her soul, and her child’s, argueth that she is mad; if she is mad she knoweth not what she doth, therefore sinneth not.”"
"元老们再次点头赞许汤姆的机智，有个人低语道：“据说国王自己疯了，那么这种疯病可以提高人的心智。我见过这种情况，如果这是仁慈的上帝的旨意，他们不得不发疯。”","The elderly heads nodded recognition of Tom’s wisdom once more, and one individual murmured, “An’ the King be mad himself, according to report, then is it a madness of a sort that would improve the sanity of some I wot of, if by the gentle providence of God they could but catch it.”"
"“这孩子几岁了？”汤姆问道。","“What age hath the child?” asked Tom."
"“九岁，陛下。”","“Nine years, please your Majesty.”"
"“根据英国律法，儿童可以结成契约，把自己卖了吗，法官？”汤姆转向一位颇有学识的法官，问道。","“By the law of England may a child enter into covenant and sell itself, my lord?” asked Tom, turning to a learned judge."
"“法律禁止儿童制造或参与任何重要的事情，好心的陛下，因为儿童的智力尚未健全，无法应付年长者健全的智力和害人的诡计。如果魔鬼愿意，它可以买儿童，儿童会同意，可成年的英国人就不会，在后者这样的情况下，契约是无效的。”","“The law doth not permit a child to make or meddle in any weighty matter, good my liege, holding that its callow wit unfitteth it to cope with the riper wit and evil schemings of them that are its elders.The DEVIL may buy a child, if he so choose, and the child agree thereto, but not an Englishman—in this latter case the contract would be null and void.”"
"“英国法律剥夺英国人为魔鬼效劳的权利，这似乎是粗鲁的非基督的事情，是不合理的条例！”汤姆喊道，流露出真实的激动。","“It seemeth a rude unchristian thing, and ill contrived, that English law denieth privileges to Englishmen to waste them on the devil!” cried Tom, with honest heat."
"对此事的新奇的看法让许多人笑了，也被很多人记在脑中，好到宫廷里去传说，证明汤姆很有独创性，也说明他的精神状态有所好转。","This novel view of the matter excited many smiles, and was stored away in many heads to be repeated about the Court as evidence of Tom’s originality as well as progress toward mental health."
"年长的犯人已经停止了抽泣，她仔细听着汤姆的话，饶有兴趣，心里有了希望。汤姆注意到了，也对她危险而孤立的境地非常同情。不一会儿，他问道：","The elder culprit had ceased from sobbing, and was hanging upon Tom’s words with an excited interest and a growing hope.Tom noticed this, and it strongly inclined his sympathies toward her in her perilous and unfriended situation.Presently he asked—"
"“她们如何施法召来暴风雨的？”","“How wrought they to bring the storm?”"
"“通过脱下她们的长筒袜，陛下。”","“BY PULLING OFF THEIR STOCKINGS, sire.”"
"听到这话，汤姆吃了一惊，他的兴趣也随之高涨。他急切地说：","This astonished Tom, and also fired his curiosity to fever heat.He said, eagerly—"
"“太奇妙了！这么做总是能造成这样可怕的后果吗？”","“It is wonderful!Hath it always this dread effect?”"
"“无一例外，陛下。至少，如果这女人想要这样的结果，并默默或出声念需要的咒语，就会这样。”汤姆转向这个女人，带着冲动的热情说道：“展示你的魔法吧——我想看到一场暴风雨！”迷信的众人突然面色苍白，都暗暗地想逃离这里。这些汤姆都没注意到，除了提出的暴风雨灾难，他对一切都不感兴趣。看到女人脸上迷惑和惊讶的神色，他兴奋地加了一句：","“Always, my liege—at least if the woman desire it, and utter the needful words, either in her mind or with her tongue.”Tom turned to the woman, and said with impetuous zeal—“Exert thy power—I would see a storm!”There was a sudden paling of cheeks in the superstitious assemblage, and a general, though unexpressed, desire to get out of the place—all of which was lost upon Tom, who was dead to everything but the proposed cataclysm.Seeing a puzzled and astonished look in the woman’s face, he added, excitedly—"
"“别害怕，你不会有事的。而且，你将被无罪释放，没人会伤害你。展示你的魔法吧。”","“Never fear—thou shalt be blameless.More—thou shalt go free—none shall touch thee.Exert thy power.”"
"“噢，国王陛下，我没有魔法，我是被冤枉的。”","“Oh, my lord the King, I have it not—I have been falsely accused.”"
"“你还是害怕。放心，你不会受到惩罚的。召来一场暴风雨，多小都没关系，我并不要很大或是有伤害性的暴风雨，而其实更喜欢小一些的。按我说的做，就可以免你死罪，你和你的孩子将被释放，得到国王的赦免，在这个国度里没人会再伤害你们或对你们怀有恶意。","“Thy fears stay thee.Be of good heart, thou shalt suffer no harm.Make a storm—it mattereth not how small a one—I require nought great or harmful, but indeed prefer the opposite—do this and thy life is spared—thou shalt go out free, with thy child, bearing the King’s pardon, and safe from hurt or malice from any in the realm.”"
"女人俯伏在地，泪流满面地否认说她没有创造奇迹的能力，否则，如果遵照国王的命令就能得到如此珍贵的恩泽的话，她会很高兴去挽救孩子一人的性命，不惜丢掉自己的性命。","The woman prostrated herself, and protested, with tears, that she had no power to do the miracle; else she would gladly win her child’s life alone, and be content to lose her own, if by obedience to the King’s command so precious a grace might be acquired."
"汤姆催促这女人，而她仍然坚持自己的说法。最后，他说道：","Tom urged—the woman still adhered to her declarations.Finally he said—"
"“我觉得这个女人说的是实话。如果换成我的母亲拥有魔鬼的法力的话，她肯定立即唤来了暴风雨，将整片大地毁于一旦，假如她因此可以换回我那即将失去的性命的话。其他的母亲也是一样的，这就是证据。你们自由了，女士，你和你的孩子都自由了，因为我认为你们无罪。现在你们已经被赦免，没什么可害怕的了。脱掉你们的长袜吧，给我唤来一场暴风雨，你将得到财富！”","“I think the woman hath said true.An’ MY mother were in her place and gifted with the devil’s functions, she had not stayed a moment to call her storms and lay the whole land in ruins, if the saving of my forfeit life were the price she got!It is argument that other mothers are made in like mould.Thou art free, goodwife—thou and thy child—for I do think thee innocent.Now thou’st nought to fear, being pardoned—pull off thy stockings!—an’ thou canst make me a storm, thou shalt be rich!”"
"得救的她大声地连连道谢，并准备遵守国王的命令。这时候，汤姆十分期待地看着，也有点担心，而大臣们这时也露出了明显的不适和不安的表情。女人脱掉了自己的袜子，也脱掉了小女孩的袜子，显然她想尽力召来一场地震以报答国王的恩泽，但却以失败和失望而告终。汤姆叹了口气，说道：","The redeemed creature was loud in her gratitude, and proceeded to obey, whilst Tom looked on with eager expectancy, a little marred by apprehension; the courtiers at the same time manifesting decided discomfort and uneasiness.The woman stripped her own feet and her little girl’s also, and plainly did her best to reward the King’s generosity with an earthquake, but it was all a failure and a disappointment.Tom sighed, and said—"
"“好了，善良的灵魂，别再自寻烦恼，你们已经失去了魔法。安心地回去吧。如果什么时候恢复了魔法，别忘了我，为我召来一场暴风雨。”","“There, good soul, trouble thyself no further, thy power is departed out of thee.Go thy way in peace; and if it return to thee at any time, forget me not, but fetch me a storm.”"
"第十六章 国宴","Chapter XVI  The State Dinner"
"晚宴时间快到了。但奇怪的是，汤姆想到此事时，竟然只有一点点的不自在，而几乎没有害怕。经历了早上的事情，他已经很好地建立了信心。经过四天,可怜的小家伙已经很适应他奇异的处境了。即便给一个成熟的人一整个月的时间，恐怕都不能像他这样适应。一个孩子适应环境的能力在这里展露无遗。","The dinner hour drew near—yet strangely enough, the thought brought but slight discomfort to Tom, and hardly any terror.The morning’s experiences had wonderfully built up his confidence; the poor little ash-cat was already more wonted to his strange garret, after four days’ habit, than a mature person could have become in a full month.A child’s facility in accommodating itself to circumstances was never more strikingly illustrated."
"趁汤姆正在为这次庄严的场合做准备，我们先享受下一睹为快的特权，到辉煌的盛宴厅里去看看那里的情况。这是个宽敞的殿堂，内有镀金的台柱和壁柱，墙壁和天花板上都雕刻了图案。门旁站着高大的守卫，他们穿着华丽、别致的服装，拿着戟，像雕塑一样纹丝不动。围绕大厅一周的高高的廊子里是乐队和一群拥挤的男女市民，他们都穿着亮闪闪的衣服。在殿堂中心处一座高起来的平台上摆着汤姆的桌子。现在，请古老的史官来说：","Let us privileged ones hurry to the great banqueting-room and have a glance at matters there whilst Tom is being made ready for the imposing occasion.It is a spacious apartment, with gilded pillars and pilasters, and pictured walls and ceilings.At the door stand tall guards, as rigid as statues, dressed in rich and picturesque costumes, and bearing halberds.In a high gallery which runs all around the place is a band of musicians and a packed company of citizens of both sexes, in brilliant attire.In the centre of the room, upon a raised platform, is Tom’s table.Now let the ancient chronicler speak:"
"“一位绅士拿着一根棒，另有一位拿着一块桌布，二人一起走进了大厅。他们以最高的敬意跪拜了三回，随后第二个人铺好桌布，二人再次跪拜之后，退了下去。接着，有另外两人走进来，其中一人又是手持一根棒，另一人拿着一个小盐瓶、一个盘子，还有面包。然后，他们像其他人一样跪拜，将拿来的东西摆在桌子上，也照着第一组进来的人的方式行了礼，然后退了出去。最后，进来了两位穿着华丽的贵族，一位拿着品尝刀，以最优雅的方式跪拜三次后，走到桌旁，用面包和盐擦拭桌子。那十分敬畏的神态，就像国王在场一样。”","“A gentleman enters the room bearing a rod, and along with him another bearing a tablecloth, which, after they have both kneeled three times with the utmost veneration, he spreads upon the table, and after kneeling again they both retire; then come two others, one with the rod again, the other with a salt-cellar, a plate, and bread; then they have kneeled as the others had done, and placed what was brought upon the table, they too retire with the same ceremonies performed by the first; at last come two nobles, richly clothed, one bearing a tasting-knife, who, after prostrating themselves three times in the most graceful manner, approach and rub the table with bread and salt, with as much awe as if the King had been present.”"
"庄严的准备工作就这样结束了。现在，回声荡漾的走廊深处突然传来了号角声和模糊的喊声：“国王驾到！伟大的国王陛下驾到！”喊声不时地重复，越来越近，不一会儿，几乎来到了眼前。卫队的声音隆隆鸣响，一个喊声响起：“国王驾到！”此时，光辉闪耀的盛装队伍出现在眼前，从门鱼贯而入，行进缓慢而有节奏。还是让史官来说吧：","So end the solemn preliminaries.Now, far down the echoing corridors we hear a bugle-blast, and the indistinct cry, “Place for the King!Way for the King’s most excellent majesty!”These sounds are momently repeated—they grow nearer and nearer—and presently, almost in our faces, the martial note peals and the cry rings out, “Way for the King!”At this instant the shining pageant appears, and files in at the door, with a measured march.Let the chronicler speak again:—"
"“先进来的是绅士、男爵、伯爵、勋章骑士，他们都穿着华丽的衣服，没有戴帽子。接着进来的是大法官，他走在两个人中间。那两个人一个拿着国王节杖，另一个拿着国剑，国剑红色的剑鞘上镶嵌着金鸢尾，剑尖朝上。接着走来的是国王本人。他一出现，十二支喇叭和许多鼓齐奏欢迎之声，同时，廊子里所有人都原地站了起来，喊道：‘上帝保佑国王！’他身后跟随着他的贵族们，左右有仪仗队护驾，他的五十位贵族侍卫拿着镀金的战斧。”","“First come Gentlemen, Barons, Earls, Knights of the Garter, all richly dressed and bareheaded; next comes the Chancellor, between two, one of which carries the royal sceptre, the other the Sword of State in a red scabbard, studded with golden fleurs-de-lis, the point upwards; next comes the King himself—whom, upon his appearing, twelve trumpets and many drums salute with a great burst of welcome, whilst all in the galleries rise in their places, crying ‘God save the King!’After him come nobles attached to his person, and on his right and left march his guard of honour, his fifty Gentlemen Pensioners, with gilt battle-axes.”"
"一切进行得顺利而愉悦。汤姆的脉搏跳得很快，他的眼睛里闪烁着欢喜的光芒。他举止温文尔雅，恰到好处。他更加从容了，因为他没有考虑如何去做，他的思想被周围欢乐的景象和声音所吸引和占据了。而且，穿上漂亮合身的衣服，谁都不可能没有一点风度，况且他已经有点适应了，尤其是此刻他并没有注意到这些。汤姆记起了自己得到的指导，他轻轻点了点装饰着羽毛的头，回应对他的问候，并彬彬有礼地说：“谢谢你们，我善良的臣民。”","This was all fine and pleasant.Tom’s pulse beat high, and a glad light was in his eye.He bore himself right gracefully, and all the more so because he was not thinking of how he was doing it, his mind being charmed and occupied with the blithe sights and sounds about him—and besides, nobody can be very ungraceful in nicely-fitting beautiful clothes after he has grown a little used to them—especially if he is for the moment unconscious of them.Tom remembered his instructions, and acknowledged his greeting with a slight inclination of his plumed head, and a courteous “I thank ye, my good people.”"
"他坐在桌旁，没有摘下自己的帽子。他对此并无丝毫尴尬，因为戴着帽子吃饭是国王和坎蒂家唯一共有的习惯，双方对它的熟悉程度都不逊色。盛宴开始了，场景如画，人们头上仍旧没有戴帽子。","He seated himself at table, without removing his cap; and did it without the least embarrassment; for to eat with one’s cap on was the one solitary royal custom upon which the kings and the Cantys met upon common ground, neither party having any advantage over the other in the matter of old familiarity with it.The pageant broke up and grouped itself picturesquely, and remained bareheaded."
"随着欢快的音乐声，皇家卫队走了进来，他们是“英国最高大、最强壮的人们，他们是照着这个标准仔细挑选来的”。不过，我们还是让史官来说说：","Now to the sound of gay music the Yeomen of the Guard entered,—“the tallest and mightiest men in England, they being carefully selected in this regard”—but we will let the chronicler tell about it:—"
"“王室卫士走进来了，头上没有戴帽子，穿着猩红的服装，背上绣着金色的玫瑰。他们来来去去，每次都端上来一道菜肴，菜肴盛在盘中。一位绅士按着顺序一一接过菜肴，摆在桌子上。这时，品菜官让每位守卫吃一口自己端上来的菜，以防菜有毒。”","“The Yeomen of the Guard entered, bareheaded, clothed in scarlet, with golden roses upon their backs; and these went and came, bringing in each turn a course of dishes, served in plate.These dishes were received by a gentleman in the same order they were brought, and placed upon the table, while the taster gave to each guard a mouthful to eat of the particular dish he had brought, for fear of any poison.”"
"汤姆吃得很好，尽管他知道上百只眼睛盯着他一口一口地吃，而且大家对看他吃饭饶有兴趣，就好像他吃的是一颗致命的炸弹，将会把他炸得满地都是碎片。他留心不让自己着急，同样留心不去亲自动手做什么，而是等着某位官员跪下来替他来完成。直到宴会结束，他都没有出错——真是一次完美、珍贵的胜利。","Tom made a good dinner, notwithstanding he was conscious that hundreds of eyes followed each morsel to his mouth and watched him eat it with an interest which could not have been more intense if it had been a deadly explosive and was expected to blow him up and scatter him all about the place.He was careful not to hurry, and equally careful not to do anything whatever for himself, but wait till the proper official knelt down and did it for him.He got through without a mistake—flawless and precious triumph."
"宴会终于结束了，他在光鲜亮丽的游行队伍中离去，耳边一片愉悦的嘈杂声，有轰鸣的号角声，翻滚起伏的鼓声,还有雷鸣般的欢呼声。他觉得，如果公共宴会最坏就是这样子，那他一天愿意忍受多次这样的考验，如果由此他能够逃离更难应付的皇家事务要求。","When the meal was over at last and he marched away in the midst of his bright pageant, with the happy noises in his ears of blaring bugles, rolling drums, and thundering acclamations, he felt that if he had seen the worst of dining in public it was an ordeal which he would be glad to endure several times a day if by that means he could but buy himself free from some of the more formidable requirements of his royal office."
"第十七章 佛佛一世","Chapter XVII  Foo-foo the First"
"迈尔斯·亨登急匆匆地走向萨瑟克那一侧的桥头，仔细地搜寻他要找的人，希望并盼望着马上追上他们。可是，他对此失望了。通过寻问，他朝萨瑟克的方向追了他们一段路，然后就没了任何踪迹，他不知下一步怎么办。不过，接下来几天，他还是尽自己所能继续寻找。黄昏，他双腿疲惫不堪，饿得半死，可他的期望却依然没有实现。于是，他在塔巴尔德旅馆吃过晚餐就睡了觉，打算第二天起个早，把这个城镇搜个遍。他躺着，想啊，计划啊，不一会儿，他开始这样推论：如果有机会的话，这个男孩会逃离那恶棍，他那所谓的父亲。他会回到伦敦，去他原来经常光顾的地方吗？不，他不会这么做，他要避免再被逮住。那么，他会怎么做？他在世界上从来没有过一个朋友，或一个保护人，直到遇到迈尔斯·亨登，他自然会努力再去找那个朋友，只要他能不再到伦敦，不再去冒险就行。他会赶往亨登庄园，这才是他会做的事情，因为他知道亨登是在回家的路途中，他可能有希望在那儿找到他。是的，亨登把事情想得很清楚了：他不能再在萨瑟克浪费时间，而要立刻动身，穿过肯特，朝修道士小岛去，在森林里搜寻，边走边问。现在让我们回来讲消失的小国王。","Miles Hendon hurried along toward the Southwark end of the bridge, keeping a sharp look-out for the persons he sought, and hoping and expecting to overtake them presently.He was disappointed in this, however.By asking questions, he was enabled to track them part of the way through Southwark; then all traces ceased, and he was perplexed as to how to proceed.Still, he continued his efforts as best he could during the rest of the day.Nightfall found him leg-weary, half-famished, and his desire as far from accomplishment as ever; so he supped at the Tabard Inn and went to bed, resolved to make an early start in the morning, and give the town an exhaustive search.As he lay thinking and planning, he presently began to reason thus: The boy would escape from the ruffian, his reputed father, if possible; would he go back to London and seek his former haunts?No, he would not do that, he would avoid recapture.What, then, would he do?Never having had a friend in the world, or a protector, until he met Miles Hendon, he would naturally try to find that friend again, provided the effort did not require him to go toward London and danger.He would strike for Hendon Hall that is what he would do, for he knew Hendon was homeward bound and there he might expect to find him.Yes, the case was plain to Hendon—he must lose no more time in Southwark, but move at once through Kent, toward Monk’s Holm, searching the wood and inquiring as he went.Let us return to the vanished little King now."
"伦敦桥上那家旅馆的服务生看到恶棍要与那个年轻人和国王会合。确切地说，他没有与他们会合，而是紧随其后，跟着他们的脚步。他没说话。他的左胳膊吊着，左眼睛上戴了一大块绿眼罩，脚有点跛，用橡树枝当拐棍。年轻人领着国王穿过萨瑟克弯弯曲曲的路，渐渐走到了远处的大路上。国王现在不耐烦了，说他要在这儿停下，亨登应该来找他，而不应该是他去找亨登。他不能容忍这样的傲慢，他就要停在这儿。年轻人说：","The ruffian whom the waiter at the inn on the bridge saw ‘about to join’ the youth and the King did not exactly join them, but fell in close behind them and followed their steps.He said nothing.His left arm was in a sling, and he wore a large green patch over his left eye; he limped slightly, and used an oaken staff as a support.The youth led the King a crooked course through Southwark, and by-and-by struck into the high road beyond.The King was irritated, now, and said he would stop here—it was Hendon’s place to come to him, not his to go to Hendon.He would not endure such insolence; he would stop where he was.The youth said—"
"“你朋友在远处树林里躺着，受伤了，你要在这里逗留吗？那就这样好了。”","“Thou’lt tarry here, and thy friend lying wounded in the wood yonder?So be it, then.”"
"国王的态度立刻变了。他大声喊道：","The King’s manner changed at once.He cried out—"
"“受伤了？是谁胆敢伤他？不过先不管这个，走吧，走吧！快点，小子！你鞋子灌铅了吗？他受伤了，是吗？即便是公爵的儿子做的，他现在也会后悔的！”","“Wounded?And who hath dared to do it?But that is apart; lead on, lead on!Faster, sirrah!Art shod with lead?Wounded, is he?Now though the doer of it be a duke’s son he shall rue it!”"
"离树林还有一段不短的距离，他们却很快就走到了。年轻人向四周看了看，发现一根大树枝插在地上，上面系着一小块破布。他领路走进树林里，一边留意相似的大树枝，发现每隔一段就有一个，显然它们是指引他到目的地的标志。渐渐地，他们到了一块空旷地，那里有农舍里烧剩的灰烬，旁边是一个快要坍塌的畜棚。哪儿都没有生命的迹象，只有极端的寂静。年轻人走进畜棚，国王急切地紧随其后。那里没人！国王惊讶而怀疑地望了年轻人一眼，问道：","It was some distance to the wood, but the space was speedily traversed.The youth looked about him, discovered a bough sticking in the ground, with a small bit of rag tied to it, then led the way into the forest, watching for similar boughs and finding them at intervals; they were evidently guides to the point he was aiming at.By-and-by an open place was reached, where were the charred remains of a farm-house, and near them a barn which was falling to ruin and decay.There was no sign of life anywhere, and utter silence prevailed.The youth entered the barn, the King following eagerly upon his heels.No one there!The King shot a surprised and suspicious glance at the youth, and asked—"
"“他在哪儿？”","“Where is he?”"
"他的回答是一阵嘲弄的笑声。国王立刻大怒。他抓起一根短木头，正要攻击年轻人，这时，又一阵嘲弄的笑声传进他耳朵里。笑声来自一直远远地跟着他们的那个跛脚的恶棍。国王转过身，生气地说道：","A mocking laugh was his answer.The King was in a rage in a moment; he seized a billet of wood and was in the act of charging upon the youth when another mocking laugh fell upon his ear.It was from the lame ruffian who had been following at a distance.The King turned and said angrily—"
"“你是谁？你来这儿做什么？”","“Who art thou?What is thy business here?”"
"“别说蠢话了，”那男人说，“你闭嘴。我虽乔装打扮，可也没打扮得你都可以假装不认识你父亲了。”","“Leave thy foolery,” said the man, “and quiet thyself.My disguise is none so good that thou canst pretend thou knowest not thy father through it.”"
"“你不是我父亲。我不认识你。我是国王。如果你把我的仆人藏起来了，给我把他找来，否则你就要为你所做的付出痛苦的代价。”","“Thou art not my father.I know thee not.I am the King.If thou hast hid my servant, find him for me, or thou shalt sup sorrow for what thou hast done.”"
"约翰·坎蒂用严厉、缓慢而克制的声音回答道：","John Canty replied, in a stern and measured voice—"
"“你真是疯了。我不想打你，但是如果你招惹我，我肯定会打你。你啰嗦这些，在这儿倒不碍事，没人会听你那些蠢话。不过，你最好学着小心说话，这样，我们到了新住处，也不会有什么祸事。我杀了人，不能再呆在家里。你也不能，因为我需要你的帮助。我隐姓埋名是有明智的理由的。我叫霍布斯——约翰·霍布斯。你叫杰克，你要好好记住。那么，现在，说话。你的母亲在哪儿？你的姐姐们在哪儿？她们没有到约定的地方来，你知道她们去哪儿了吗？”","“It is plain thou art mad, and I am loath to punish thee; but if thou provoke me, I must.Thy prating doth no harm here, where there are no ears that need to mind thy follies; yet it is well to practise thy tongue to wary speech, that it may do no hurt when our quarters change.I have done a murder, and may not tarry at home—neither shalt thou, seeing I need thy service.My name is changed, for wise reasons; it is Hobbs—John Hobbs; thine is Jack—charge thy memory accordingly.Now, then, speak.Where is thy mother?Where are thy sisters?They came not to the place appointed—knowest thou whither they went?”"
"国王愠怒地答道：","The King answered sullenly—"
"“别问我这些不着边际的事。我母亲去世了，我姐姐们在皇宫里。”","“Trouble me not with these riddles.My mother is dead; my sisters are in the palace.”"
"一旁的青年突然嘲弄地笑了起来。国王本来想去打他，但现在自称霍布斯的坎蒂制止了他，说：","The youth near by burst into a derisive laugh, and the King would have assaulted him, but Canty—or Hobbs, as he now called himself—prevented him, and said—"
"“别笑了，雨果，别烦他。他脑袋糊涂了，你这样让他更烦躁。杰克，坐下来，安静点，你很快就有东西吃了。”","“Peace, Hugo, vex him not; his mind is astray, and thy ways fret him.Sit thee down, Jack, and quiet thyself; thou shalt have a morsel to eat, anon.”"
"霍布斯和雨果开始小声交谈起来。国王走开，尽量远远地躲开他讨厌的同伴。暮色中，他退到畜棚的另一头，他发现地上铺了一英尺深的稻草。他躺在上面，抓了些稻草当毯子盖在身上，很快陷入了沉思。他有很多伤心事，但是有一件事最让他伤心，让他几乎忘了其它小事，那就是他失去了父亲。对于世界上其他人来说，亨利八世这个名字带来的是不寒而栗，它代表的是巨魔，他的鼻孔呼出的是毁灭，他的手制造的是惩罚和死亡。但是，对于这个男孩来说，这个名字带来的只有愉快的感觉，它唤起的那个人是满脸的温柔和慈爱。他想起了很多父亲和他度过的爱意融融的时光，于是情不自禁地陷入这些思绪当中。他泪流不止，证明了他内心的悲伤是多么沉重和真实。下午过去了，这孩子因烦恼而疲乏，渐渐地沉静下来，进入了疗伤的睡梦中。","Hobbs and Hugo fell to talking together, in low voices, and the King removed himself as far as he could from their disagreeable company.He withdrew into the twilight of the farther end of the barn, where he found the earthen floor bedded a foot deep with straw.He lay down here, drew straw over himself in lieu of blankets, and was soon absorbed in thinking.He had many griefs, but the minor ones were swept almost into forgetfulness by the supreme one, the loss of his father.To the rest of the world the name of Henry VIII. brought a shiver, and suggested an ogre whose nostrils breathed destruction and whose hand dealt scourgings and death; but to this boy the name brought only sensations of pleasure; the figure it invoked wore a countenance that was all gentleness and affection.He called to mind a long succession of loving passages between his father and himself, and dwelt fondly upon them, his unstinted tears attesting how deep and real was the grief that possessed his heart.As the afternoon wasted away, the lad, wearied with his troubles, sank gradually into a tranquil and healing slumber."
