"第一章 波尼族印第安人的狩猎场","CHAPTER I. THE PAWNEE HUNTING-GROUNDS."
"在过去的两三天里，自从在渡河时我们的随从们显露了一手印第安人的绝活后，他们在巡逻骑兵的中地位便因此而有所提高。现在我发现，托尼什在一些新招募的、没有来过荒原的、毫无经验的新手中俨然是一个神明。他周围总是围着一群人，听他讲述关于波尼人的夸张故事，好像他和他们有过吓人的交锋似的。其实，他的讲述令听众们产生了一种可怕的印象——他们正在闯入这些敌人的领地。根据他的讲述，白人的步枪永远没法和波尼人的弓和箭相匹敌。步枪的子弹一旦射出，重新装弹费时费力，而与此同时敌人可以不断地开弓放箭。而且，根据托尼什所说，波尼人能够在三百码远的地方准确命中目标，并把他的箭利利索索地射入野牛体内。他甚至还知道一支波尼人的箭射穿了一头野牛后又射伤另一头。然后是波尼人躲避敌人射击的方式：他们会把一条腿搭在马鞍上，身子则蜷缩在马的另一侧，并从马脖子底下射箭，而此时马正在全速奔跑。","During the last two or three days, since their wild Indian achievement in navigating the river, our retainers had risen in consequence among the rangers; and now I found Tonish making himself a complete oracle among some of the raw and inexperienced recruits, who had never been in the wilderness.He had continually a knot hanging about him, and listening to his extravagant tales about the Pawnees, with whom he pretended to have had fearful encounters.His representations, in fact, were calculated to inspire his hearers with an awful idea of the foe into whose lands they were intruding.According to his accounts, the rifle of the white man was no match for the bow and arrow of the Pawnee.When the rifle was once discharged, it took time and trouble to load it again, and in the meantime the enemy could keep on launching his shafts as fast as he could draw his bow.Then the Pawnee, according to Tonish, could shoot, with unerring aim, three hundred yards, and send his arrow clean through and through a buffalo; nay, he had known a Pawnee shaft pass through one buffalo and wound another.And then the way the Pawnees sheltered themselves from the shots of their enemy: they would hang with one leg over the saddle, crouching their bodies along the opposite side of their horse, and would shoot their arrows from under his neck, while at full speed!"
"如果托尼什可信的话，那么在印第安部落这块有争议的土地上，每一步都是危险的。看不见的波尼人潜藏在灌木丛和峡谷中。他们将侦察兵和哨兵安排在能俯瞰整个大草原的山的顶部，在那儿，他们匍匐于高高的草丛中，只是偶尔抬起头观察一下山下排成一长溜的作战部队或狩猎队的行动。到晚上，他们会埋伏在营地周围，匍匐穿过草地，并模仿狼的动作，以欺骗岗哨上的卫兵，等爬得足够近之后，他们便迅疾地一箭射穿他的心脏，然后悄无声息地撤退。在讲故事的时候，托尼什总是不时地向贝蒂求证他所说的是事实，而贝蒂唯一的回答便是点点头或者耸耸肩。贝蒂一方面厌恶他的同伴这种不着边际的乱侃，另一方面也瞧不起那些对他所熟悉的东西一无所知的年轻巡逻骑兵们。","If Tonish was to be believed, there was peril at every step in these debatable grounds of the Indian tribes.Pawnees lurked unseen among the thickets and ravines.They had their scouts and sentinels on the summit of the mounds which command a view over the prairies, where they lay crouched in the tall grass; only now and then raising their heads to watch the movements of any war or hunting party that might be passing in lengthened line below, At night, they would lurk round an encampment; crawling through the grass, and imitating the movements of a wolf, so as to deceive the sentinel on the outpost, until, having arrived sufficiently near, they would speed an arrow through his heart, and retreat undiscovered.In telling his stories, Tonish would appeal from time to time to Beatte, for the truth of what he said; the only reply would be a nod or shrug of the shoulders; the latter being divided in mind between a distaste for the gasconading spirit of his comrade, and a sovereign contempt for the inexperience of the young rangers in all that he considered true knowledge."
"第十六章 一个病号营地","CHAPTER XVI. A SICK CAMP."
"——行军——跛脚马——老瑞安和落伍者——变天的征兆和心情的变化","—THE MARCH.—THE DISABLED HORSE.—OLD RYAN AND THE STRAGGLERS.—SYMPTOMS OF CHANGE OF WEATHER, AND CHANGE OF HUMORS."
"40834.0——我们准备在往常那个时间出发，不过有人给队长捎来口信说有三个巡逻骑兵感染了麻疹，不能继续前进了，另外还有一个骑兵失踪了。失踪的是一个边陲上的老居民，名叫索耶。他虽然在边陲居住了好些年，但却还是没有经验。前一天他出去打猎，可能在大草原上迷了路。因此，一支由十个人组成的护卫队留下来照顾病人，等待落伍者。如果这些病号在两三天内恢复得足够好，那么他们将会重新加入大部队，否则就会被护送回驻地。离开病号营地后，我们沿着几条小溪的源头向西前进。这里所有的小溪都穿过山谷，一路蜿蜒奔向雷德福克河。这片土地地势较高，起伏不平，在西部被称为“绵延起伏”。这里土壤贫瘠，还夹杂着在这片地区比较少见的砂岩，一些粗糙的星毛栎和马利兰栎的树林错落其间。","OCTOBER 18TH.—We prepared to march at the usual hour, but word was brought to the Captain that three of the rangers, who had been attacked with the measles, were unable to proceed, and that another one was missing.The last was an old frontiersman, by the name of Sawyer, who had gained years without experience; and having sallied forth to hunt, on the preceding day, had probably lost his way on the prairies.A guard of ten men was, therefore, left to take care of the sick, and wait for the straggler.If the former recovered sufficiently in the course of two or three days, they were to rejoin the main body, otherwise to be escorted back to the garrison.Taking our leave of the sick camp, we shaped our course westward, along the heads of small streams, all wandering, in deep ravines, towards the Red Fork.The land was high and undulating, or “rolling,” as it is termed in the West; with a poor hungry soil mingled with the sandstone, which is unusual in this part of the country, and checkered with harsh forests of post-oak and black-jack."
"上午的行程中，我接受到了一个重要教训，明白了在大草原上一定要小心自己的马匹。我骑的那匹马在行动上超过了队伍中的大多数马匹，它非常勇敢，精神抖擞。在穿越深沟时，它就像一只猫那样蹿上陡峭的堤岸，并且总是从那些狭窄的水流上一跃而过。之前，我并没有意识到放纵它这种费力行为的轻率之处，直到骑着它跨越一条小溪时，我才感到身下突然踉跄起来。它一跛一跛地向前走了一小段距离，但很快就完全跛了，因为它扭伤了肩膀。接下来该做什么呢？它不可能跟上大部队，但又非常宝贵，不能丢在大草原上。唯一的选择便是把它送回去，加入病号营地病弱者的行列，与他们共命运。然而，尽管我提供了丰厚的奖励，似乎没有人愿意把它带回去。也许是托尼什关于波尼人的故事散布了一种对潜伏着的敌人和大草原上正在逼近的危险的忧虑，也许是他们害怕迷路或走失。最终，两个年轻人走上前来，同意结伴前去。这样安排，等到晚上时，他们可以轮流着一个人警戒，而另一个人睡觉。","In the course of the morning, I received a lesson on the importance of being chary of one’s steed on the prairies.The one I rode surpassed in action most horses of the troop, and was of great mettle and a generous spirit.In crossing the deep ravines, he would scramble up the steep banks like a cat, and was always for leaping the narrow runs of water.I was not aware of the imprudence of indulging him in such exertions, until, in leaping him across a small brook, I felt him immediately falter beneath me.He limped forward a short distance, but soon fell stark lame, having sprained his shoulder.What was to be done?He could not keep up with the troop, and was too valuable to be abandoned on the prairie.The only alternative was to send him back to join the invalids in the sick camp, and to share their fortunes.Nobody, however, seemed disposed to lead him back, although I offered a liberal reward.Either the stories of Tonish about the Pawnees had spread an apprehension of lurking foes, and imminent perils on the prairies; or there was a fear of missing the trail and getting, lost.At length two young men stepped forward and agreed to go in company, so that, should they be benighted on the prairies, there might be one to watch while the other slept."
"于是，我把这匹马交托给了他们照顾。当它一瘸一拐地离开时，我满心后悔地目送着它，恨不得把我浑身的力气和敏捷都传递给它。","The horse was accordingly consigned to their care, and I looked after him with a rueful eye, as he limped off, for it seemed as if, with him, all strength and buoyancy had departed from me."
"我环顾四周，想找一匹坐骑来顶替它。我的目光落在了在事务所时转给托尼什的那匹高大的灰马上。然而，我刚一暗示他下马骑一匹后备的小马，这个小无赖就大喊大叫地抗议起来，同时还捶胸顿足，气喘吁吁的，急于要发泄那一肚子的委屈。我意识到让他下马将会削弱他的精神头，极大冲击他的虚荣心。我不忍心伤害这样一个人，或摧毁这个可怜的小无赖那短暂的虚荣心，于是我继续让他骑着他那匹高大的灰马，而心甘情愿地把我的马鞍放到了那匹疲惫的小马上。","I looked round for a steed to supply his place, and fixed my eyes upon the gallant gray which I had transferred at the Agency to Tonish.The moment, however, that I hinted about his dismounting and taking up with the supernumerary pony, the little varlet broke out into vociferous remonstrances and lamentations, gasping and almost strangling, in his eagerness to give vent to them.I saw that to unhorse him would be to prostrate his spirit and cut his vanity to the quick.I had not the heart to inflict such a wound, or to bring down the poor devil from his transient vainglory; so I left him in possession of his gallant gray; and contented myself with shifting my saddle to the jaded pony."
"现在我可以体会到骑手在大草原上所面临的颠覆性转折了。我意识到了一个骑手的坐骑是如何完完全全地影响他的精神的。之前，我一直随心所欲地离开大部队，飞奔着追逐任何我感兴趣或好奇的目标。现在，我沦落到骑跨在这个疲惫的动物上，这也注定我要耐心而又缓慢地跟在队伍首领的后面。最重要的是，我意识到在这种一个人的生命很可能取决于他的马的力量、速度和充沛精力的长途跋涉中，让顺服的动物消耗不必要的力量是很不明智的。","I was now sensible of the complete reverse to which a horseman is exposed on the prairies.I felt how completely the spirit of the rider depended upon his steed.I had hitherto been able to make excursions at will from the line, and to gallop in pursuit of any object of interest or curiosity.I was now reduced to the tone of the jaded animal I bestrode, and doomed to plod on patiently and slowly after my file leader.Above all, I was made conscious how unwise it is, on expeditions of the kind, where a man’s life may depend upon the strength, and speed, and freshness of his horse, to task the generous animal by any unnecessary exertion of his powers."
"我注意到，大草原上谨慎而又有经验的猎手和旅行者，在行进时总是节约用马，除非是在紧急情况下，否则绝不让它奔跑。在长途旅行中，边陲居民和印第安人一天的行程通常很少超过十五英里，一般是十到十二英里。他们从不随意放纵坐骑飞奔。然而，与我一起旅行的人当中，许多年轻人都没有经验，还因为发现自己处在一个猎物丰富的地区而兴奋不已。让他们对长途行军保持清醒的头脑、约束他们保持队形是不可能的事。我们穿越丛林和山谷的途中，不时地会有被惊动的鹿左右逃窜，这时，子弹便会飕飕地跟在它们后面。年轻的猎手们还会纵马追赶过去。有一次，他们猛追一群自认为是熊的动物，直到发现原来是一群黑色的狼结伴偷偷潜行，他们才马上停了下来。","I have observed that the wary and experienced huntsman and traveller of the prairies is always sparing of his horse, when on a journey; never, except in emergency, putting him off of a walk.The regular journeyings of frontiersmen and Indians, when on a long march seldom exceed above fifteen miles a day, and are generally about ten or twelve, and they never indulge in capricious galloping.Many of those, however, with whom I was travelling were young and inexperienced, and full of excitement at finding themselves in a country abounding with game.It was impossible to retain them in the sobriety of a march, or to keep them to the line.As we broke our way through the coverts and ravines, and the deer started up and scampered off to the right and left, the rifle balls would whiz after them, and our young hunters dash off in pursuit.At one time they made a grand burst after what they supposed to be a gang of bears, but soon pulled up on discovering them to be black wolves, prowling in company."
"大约前进了十二英里之后，刚过正午，我们便在一条弯弯曲曲穿越深谷的小溪旁安营扎寨了。下午，营地的内斯特——老瑞安出现了，后面跟着他的一小伙儿落伍者。他受到了热烈的欢迎，这也显示出了他在山林同胞中所享有的声望。这个小队带来了鹿肉，老猎手把一块硕大的腰腿肉作为礼物放在了队长的篝火旁。","After a march of about twelve miles we encamped, a little after mid-day, on the borders of a brook which loitered through a deep ravine.In the course of the afternoon old Ryan, the Nestor of the camp, made his appearance, followed by his little band of stragglers.He was greeted with joyful acclamations, which showed the estimation in which he was held by his brother woodmen.The little band came laden with venison; a fine haunch of which the veteran hunter laid, as a present, by the Captain’s fire."
"我们的贝蒂和托尼什都在下午的早些时候出发打猎去了。傍晚时分，贝蒂骑着马驮着一头壮实的雄鹿回来了。他像往常一样默默地把它卸下来，然后便去卸马鞍，松开马。托尼什两手空空地回来了，但却带上了更多的荣耀。尽管很不幸的是，所有受伤的鹿都从他身边逃跑了，但他确实射出了致命的几枪。","Our men, Beatte and Tonish, both sallied forth, early in the afternoon, to hunt.Towards evening the former returned, with a fine buck across his horse.He laid it down, as usual, in silence, and proceeded to unsaddle and turn his horse loose.Tonish came back without any game, but with much more glory; having made several capital shots, though unluckily the wounded deer had all escaped him."
"营地里有大量的肉，除了其他的猎物外，还有三头被猎杀的麋鹿。谨慎而老练的山林人都在忙着把肉切成条，以备不时之需。而缺乏经验的人则沉迷于当下的丰盛，而不在乎明天会如何。","There was an abundant supply of meat in the camp; for, besides other game, three elk had been killed.The wary and veteran woodmen were all busy jerking meat, against a time of scarcity; the less experienced revelled in present abundance, leaving the morrow to provide for itself."
"第二天早上（10月19日），我成功地用我的那匹小马和一笔数目可观的钱换得了一匹强壮而又活跃的马。发现自己再一次像模像样地骑着马，我感到非常满足。不过，我发现在队伍中挑选一匹好马还是不算困难的，因为巡逻骑兵们都有“交换”的倾向，他们称之为“交易”，这在西方十分盛行。在我们的远足过程中，几乎所有的马儿、步枪、牛角制火药筒或毯子都更换过几次主人。一个狂热的“交易者”吹嘘说，他曾经通过不断讨价还价把一匹劣等马换成了一匹好马，同时还往自己口袋里赚了一百美元。","On the following morning (October 19th), I succeeded in changing my pony and a reasonable sum of money for a strong and active horse.It was a great satisfaction to find myself once more tolerably well mounted.I perceived, however, that there would be little difficulty in making a selection from among the troop, for the rangers had all that propensity for “swapping,” or, as they term it, “trading,” which pervades the West.In the course of our expedition, there was scarcely a horse, rifle, powder-horn, or blanket that did not change owners several times; and one keen “trader” boasted of having, by dint of frequent bargains, changed a bad horse into a good one, and put a hundred dollars in his pocket."
"早上天色阴沉，天气有些闷热，远处还隐隐传来隆隆的雷声。天气的变化影响了队伍的士气。营地异常地庄重、宁静，没有了以前破晓时分熟悉的农家庭院里各种动物咯咯叫的喧哗，也没有了平日整理行装时遍布营地的哄堂大笑和大声的玩笑声。可能会不时地听到几句哼唱的歌谣、一阵低低的笑声，或者一声孤独的口哨。但总体来说，营地的每一个人都非常安静，或专注于自己的各项职责，或做着出发的准备。","The morning was lowering and sultry, with low muttering of distant thunder.The change of weather had its effect upon the spirits of the troop.The camp was unusually sober and quiet; there was none of the accustomed farmyard melody of crowing and cackling at daybreak; none of the bursts of merriment, the loud jokes and banterings, that had commonly prevailed during the bustle of equipment.Now and then might be heard a short strain of a song, a faint laugh, or a solitary whistle; but, in general, every one went silently and doggedly about the duties of the camp, or the preparations for departure."
"该装马鞍上马时，有人报告说有五匹马失踪了。尽管在营地周围一段距离内的树林和灌木丛都搜索了一遍，但还是没能找到它们。几个巡逻骑兵被派出去到这个区域四周更远的地方去寻找它们。同时，雷声隆隆，之后我们便经历了一场阵雨。马儿们，和它们的骑手一样，都受到了天气变化的影响。它们四散地站在营地周围，有些已经上了马鞍和笼头，其余的还什么也没上，但都精神萎靡，睡眼朦胧，低垂着脑袋，一只后腿微微弯曲，把重心放在蹄尖上好休息一下，而且全身都被雨水打湿了，同时还冒着丝丝水汽。人们也都无精打采地等待着那些出去寻找马的同伴们归来，他们不时用焦急的眼光打量天空中飘浮着的、预示暴风雨将要来临的乌云。阴暗的天气让人产生沮丧的想法。有些人害怕我们被某个印第安团伙跟踪了，认为是他们在夜间偷走了那些马。然而，最普遍的忧虑是，它们沿着脚印回到我们上一个营地去了，或者沿着直线前往吉布森要塞了。在这方面，据说马儿们的直觉跟鸽子相似。它们将会穿过自己从未走过的荒原，沿着直线跑回家。","When the time arrived to saddle and mount, five horses were reported as missing; although all the woods and thickets had been beaten up for some distance round the camp.Several rangers were dispatched to “skir” the country round in quest of them.In the meantime, the thunder continued to growl, and we had a passing shower.The horses, like their riders, were affected by the change of weather.They stood here and there about the camp, some saddled and bridled, others loose, but all spiritless and dozing, with stooping head, one hind leg partly drawn up so as to rest on the point of the hoof, and the whole hide reeking with the rain, and sending up wreaths of vapor.The men, too, waited in listless groups the return of their comrades who had gone in quest of the horses; now and then turning up an anxious eye to the drifting clouds, which boded an approaching storm.Gloomy weather inspires gloomy thoughts.Some expressed fears that we were dogged by some party of Indians, who had stolen the horses in the night.The most prevalent apprehension, however, was that they had returned on their traces to our last encampment, or had started off on a direct line for Fort Gibson.In this respect, the instinct of horses is said to resemble that of the pigeon.They will strike for home by a direct course, passing through tracts of wilderness which they have never before traversed."
"我们的行程推迟了。到上午将尽时，一个中尉和卫兵获命等待巡逻骑兵归来，而我们则启程出发，不过我们大大缩短了行程。我想，这在很大程度上是为了安抚队伍中的一些人，他们隐约担忧万一遇到了波尼人，我们的人手可能会不够。","After delaying until the morning was somewhat advanced, a lieutenant with a guard was appointed to await the return of the rangers, and we set off on our day’s journey, considerably reduced in numbers; much, as I thought, to the discomposure of some of the troop, who intimated that we might prove too weak-handed, in case of an encounter with the Pawnees."
"第十七章 大草原上的暴风雨","CHAPTER XVII. THUNDER-STORM ON THE PRAIRIES."
"——暴雨中安营扎寨——夜景——印第安故事——一匹受惊的马","—THE STORM ENCAMPMENT.—NIGHT SCENE.—INDIAN STORIES.—A FRIGHTENED HORSE."
"我们这半天的行程是：往西南走了一段距离，穿过先前提到过的被称为“星毛栎”和“马利兰栎”的枝叶蔓生的低矮树林。这些“栎木荒地”土质疏松，有时只比流沙好一点儿。在雨天，马蹄在这种路上总会从一边滑到另一边，不时还会陷入腐烂湿软的草皮之中，一直没到距毛处。由于连绵不断的雷阵雨，我们陷入了目前的困境，默默地拖着步子缓缓前进。几只鹿因我们的到来而受到了惊吓，飞快地穿过林间空地逃开了，不过这时没有人像之前那样离开队伍去追它们了。有一次，我们看到了野牛的尸骨和牛角，还有一次，我们发现了野牛的脚印，最多是三天前留下的。周围大草原上的这些大型猎物的踪迹，大大重振了猎手们的士气，不过那也只是转瞬即逝而已。","Our march for a part of the day; lay a little to the south of west, through straggling forests of the kind of low scrubbed trees already mentioned, called “post-oaks” and “black-jacks.”The soil of these “oak barrens” is loose and unsound; being little better at times than a mere quicksand, in which, in rainy weather, the horse’s hoof slips from side to side, and now and then sinks in a rotten, spongy turf, to the fetlock.Such was the case at present in consequence of successive thunder-showers, through which we draggled along in dogged silence.Several deer were roused by our approach, and scudded across the forest glades; but no one, as formerly, broke the line of march to pursue them.At one time, we passed the bones and horns of a buffalo, and at another time a buffalo track, not above three days old.These signs of the vicinity of this grand game of the prairies, had a reviving effect on the spirits of our huntsmen; but it was of transient duration."
"当横跨一个几乎被最近的阵雨浇成湿滑沼泽地的中等大小的草原时，我们又遭遇了一场狂风暴雨。雨点劈头盖脸地砸下来，地面上腾起片片蒸汽。周围突然被一片阴暗所包围，更衬托出闪电的刺眼夺目。而雷似乎就在我们头顶轰鸣，回荡在草原上星罗棋布的及林立于草原四周的果园和丛林之中。人和动物遭到这突如其来的暴雨的袭击，浑身上下被浇了个透，都完全不知所措了。有些马吓坏了，几乎难以控制。我们散乱的队伍看起来就像是一支在暴风雨中颠簸飘摇的舰队，任凭狂风巨浪的吹打。","In crossing a prairie of moderate extent, rendered little better than a slippery bog by the recent showers, we were overtaken by a violent thunder-gust.The rain came rattling upon us in torrents, and spattered up like steam along the ground; the whole landscape was suddenly wrapped in gloom that gave a vivid effect to the intense sheets of lightning, while the thunder seemed to burst over our very heads, and was reverberated by the groves and forests that checkered and skirted the prairie.Man and beast were so pelted, drenched, and confounded, that the line was thrown in complete confusion; some of the horses were so frightened as to be almost unmanageable, and our scattered cavalcade looked like a tempest-tossed fleet, driven hither and thither, at the mercy of wind and wave."
"最终，两点半时，我们停了下来，聚集起我们的人马，在一片开阔而茂盛的树林中安营扎寨。这儿一边挨着大草原，另一边挨着一条小溪。森林中马上响起了斧子的砍伐声和树木的轰然倒地声。很快，巨大的火堆熊熊燃烧起来。人们把毯子铺在火堆前，做成帐篷的样子，很快又用树皮和兽皮搭起了窝棚。每一堆火周围都紧紧围着一群人烤火取暖或准备可口的晚餐。有些巡逻骑兵在拆卸和擦拭他们被雨淋湿的步枪。而被卸下马鞍和行李的马则在潮湿的草地上踱步。","At length, at half-past two o’clock, we came to a halt, and gathering together our forces, encamped in an open and lofty grove, with a prairie on one side and a stream on the other.The forest immediately rang with the sound of the axe, and the crash of falling trees.Huge fires were soon blazing; blankets were stretched before them, by way of tents; booths were hastily reared of bark and skins; every fire had its group drawn close round it, drying and warming themselves, or preparing a comforting meal.Some of the rangers were discharging and cleaning their rifles, which had been exposed to the rain; while the horses, relieved from their saddles and burdens, rolled in the wet grass."
"直至深夜，阵雨还是时断时续。天黑之前，我们的马儿们都被集中起来，拴在营地的边缘哨岗以内的地方，以免被印第安人偷去。印第安人往往利用风雨交加的夜晚进行掠夺和袭击。随着夜色加深，巨大的火苗变得更加耀眼，映红了大片高高悬挂于枝头的树叶，在火光的映衬下，树林的其余部分变得更加阴森。每一堆火四周都有一群小精灵围着，被拴着的马影影绰绰，看起来像鬼魂一般，其间偶尔有一匹灰色的马在光影下显出明亮的轮廓。","The showers continued from time to time, until late in the evening.Before dark, our horses were gathered in and tethered about the skirts of the camp, within the outposts, through fear of Indian prowlers, who are apt to take advantage of stormy nights for their depredations and assaults.As the night thickened, the huge fires became more and more luminous; lighting up masses of the overhanging foliage, and leaving other parts of the grove in deep gloom.Every fire had its goblin group around it, while the tethered horses were dimly seen, like spectres, among the thickets; excepting that here and there a gray one stood out in bright relief."
"因此，被断断续续的火焰映红的树林就像是一个巨大的、被深不见底的无尽黑暗所包围的、枝叶繁茂的圆顶。但不时会有两三道闪电接二连三地划破天空，冷不防地照亮广袤的山乡原野。在那儿，田野、森林和奔流的溪水突然映入眼帘，然而这一切只能持续短暂的几秒钟，还没等你留神看，就又立即消失在黑暗之中了。","The grove, thus fitfully lighted up by the ruddy glare of the fires, resembled a vast leafy dome, walled in by opaque darkness; but every now and then two or three quivering flashes of lightning in quick succession, would suddenly reveal a vast champaign country, where fields and forests, and running streams, would start, as it were, into existence for a few brief seconds, and, before the eye could ascertain them, vanish again into gloom."
"大草原上的暴风雨，就像海上的暴风雨一样，通过对无尽的荒野咆哮、怒吼而获得一种崇高威严的地位。这些可怕的自然现象成为可怜的野蛮人迷信的对象，这毫不令人惊奇。他们认为雷鸣是大神发怒的声音。我们的混血儿们在火堆旁闲聊时，我了解到了他们的印第安朋友对这个话题持有的一些观念。他们宣称，有时熄灭的雷电会被大草原上的猎手捡到。他们会拿它做箭或长矛的头，任何有这样装备的战士都是不可战胜的。然而，如果在作战期间遇到雷暴雨，那他就很可能会被雷带走，并从此杳无音信。","A thunder-storm on a prairie, as upon the ocean, derives grandeur and sublimity from the wild and boundless waste over which it rages and bellows.It is not surprising that these awful phenomena of nature should be objects of superstitious reverence to the poor savages, and that they should consider the thunder the angry voice of the Great Spirit.As our half-breeds sat gossiping round the fire, I drew from them some of the notions entertained on the subject by their Indian friends.The latter declare that extinguished thunderbolts are sometimes picked up by hunters on the prairies, who use them for the heads of arrows and lances, and that any warrior thus armed is invincible.Should a thunder-storm occur, however, during battle, he is liable to be carried away by the thunder, and never heard of more."
"一个在大草原上打猎的孔扎部落的战士就曾遭遇了暴风雨，他被雷击倒在地，不省人事。醒来后，他看到雷躺在地上，旁边站着一匹马。他抓起雷，然后跳上了马背，但等他发现他跨上的是闪电时，为时已晚。一瞬间，他被抛到草原、森林、溪流和沙漠之外，直到毫无知觉地落在落基山脉脚下。醒来之后，他用了好几个月的时间才回到自己人中间。","A warrior of the Konza tribe, hunting on a prairie, was overtaken by a storm, and struck down senseless by the thunder.On recovering, he beheld the thunderbolt lying on the ground, and a horse standing beside it.Snatching up the bolt, he sprang upon the horse, but found, too late, that he was astride of the lightning.In an instant he was whisked away over prairies and forests, and streams and deserts, until he was flung senseless at the foot of the Rocky Mountains; whence, on recovering, it took him several months to return to his own people."
"这个故事使我想起了一个旅行者讲述的关于一个武士之死的印第安传说：一个武士看到雷躺在地上，它的两旁各有一只缝制精美的莫卡辛鞋。他以为自己找到了奖励品，便穿上了这双莫卡辛鞋，但它们却把他带到了冥界，他再也没有从那里回来。","This story reminded me of an Indian tradition, related by a traveller, of the fate of a warrior who saw the thunder lying upon the ground, with a beautifully wrought moccason on each side of it.Thinking he had found a prize, he put on the moccasons; but they bore him away to the land of spirits, whence he never returned."
"这些原本都是些简单朴素的故事，但从这些半野蛮的叙述者口中讲出来，却带有一种原始而浪漫的情趣，尤其是在风雨交加的夜晚，大家围坐在猎人的篝火旁，一边是森林，而另一边是荒原时，更不用说是在意外事件或是野蛮的敌人可能正潜伏在周围的黑夜。","These are simple and artless tales, but they had a wild and romantic interest heard from the lips of half-savage narrators, round a hunter’s fire, on a stormy night, with a forest on one side, and a howling waste on the other; and where, peradventure, savage foes might be lurking in the outer darkness."
"我们的交谈被一声巨大的响雷打断了，紧接着传来了一匹马受惊后飞奔到旷野的声音。每一个人都安静地听着。一段时间内，马蹄声清晰可辨，然后渐渐微弱下去，直到消失在远方。","Our conversation was interrupted by a loud clap of thunder, followed immediately by the sound of a horse galloping off madly into the waste.Every one listened in mute silence.The hoofs resounded vigorously for a time, but grew fainter and fainter, until they died away in remote distance."
"一切安静下来之后，听众们开始猜测是什么引起了这匹马的突然奔跑。有些人认为是马被雷声吓着了，而其他人认为是潜伏的印第安人骑着它飞奔而去了。这点遭到了质疑，因为印第安人盗马的惯用方式是：先悄悄接近马，解开它的绳索，慢慢骑上它，然后尽可能轻手轻脚地赶它离开它的同伴，而不发出任何会惊动营地的异常声响。","When the sound was no longer to be heard, the listeners turned to conjecture what could have caused this sudden scamper.Some thought the horse had been startled by the thunder; others, that some lurking Indian had galloped off with him.To this it was objected, that the usual mode with the Indians is to steal quietly upon the horse, take off his fetters, mount him gently, and walk him off as silently as possible, leading off others, without any unusual stir or noise to disturb the camp."
"印第安人惯用的另一种方法是：潜伏在夜晚吃草的马群中间，悄悄骑上一匹马，然后突然间全速离去。对马群来说，再没有比惊慌更容易传染的了。有时，一匹马以这种方式突然跑掉，会惊动整个马群，然后它们会跟着这匹带头的马，仓皇而逃。","On the other hand, it was stated as a common practice with the Indians, to creep among a troop of horses when grazing at night, mount one quietly, and then start off suddenly at full speed.Nothing is so contagious among horses as a panic; one sudden break-away of this kind, will sometimes alarm the whole troop, and they will set off, helter-skelter, after the leader."
"每一个将自己的马放在营地边缘吃草的人都紧张不安起来，生怕自己的马会逃跑。但是事实如何要到早上才能确定。那些把马拴住的人就感觉安全多了。然而，马儿们在夜间被这样拴着，限制在一个很小的范围内，会很容易使它们在长途旅行中精力和体力有所下降。而且，队伍中有许多马已经显露出旅途劳顿的疲惫了。","Every one who had a horse grazing on the skirts of the camp was uneasy, lest his should be the fugitive; but it was impossible to ascertain the fact until morning.Those who had tethered their horses felt more secure; though horses thus tied up, and limited to a short range at night, are apt to falloff in flesh and strength during a long march; and many of the horses of the troop already gave signs of being wayworn."
"郁闷杂乱的夜晚过去之后，我们迎来了一个明亮而又晴朗的清晨，灿烂的阳光仿佛是变魔术般，改变了整个景象。之前阴沉的荒原变成了一片明亮美丽的旷野，上面点缀着静穆的树林和巨大的橡树丛，有的橡树则兀立于如茵的草地上，像是特地为装饰和遮阴而栽种的。而我们的马四散在橡树下吃草，使整个地方看起来就像是一个壮观的公园。我们几乎没有意识到自己是在远离人类居所的荒野之中。我们孤零零的营地面目野蛮：简陋的帐篷是用兽皮和毛毯搭成的，蓝色的炊烟不时从树林中袅袅升起。","After a gloomy and unruly night, the morning dawned bright and clear, and a glorious sunrise transformed the whole landscape, as if by magic.The late dreary wilderness brightened into a fine open country, with stately groves, and clumps of oaks of a gigantic size, some of which stood singly, as if planted for ornament and shade, in the midst of rich meadows; while our horses, scattered about, and grazing under them, gave to the whole the air of a noble park.It was difficult to realize the fact that we were so far in the wilds beyond the residence of man.Our encampment, alone, had a savage appearance; with its rude tents of skins and blankets, and its columns of blue smoke rising among the trees."
"早上第一件事就是巡视我们的马儿们。有一些马溜达到了很远的地方，但幸运的是，所有的马都被找到了，甚至连夜里发出哒哒马蹄声、引起大家不安的那匹也找到了。它停在距离营地大约一英里的地方，在一条小溪旁静静地吃着草。大约八点半时，出发的号角响了起来。由于我们越往前走，遭到印第安人骚扰的危险就越大，所以我们的队伍也排得前所未有的紧凑。每一个人都各自的编队位置，除非有特许，否则任何人不准为追逐猎物而离开队伍。驮马被安置在队伍的中间，由一个强壮的卫兵殿后。","The first care in the morning, was to look after our horses.Some of them had wandered to a distance, but all were fortunately found; even the one whose clattering hoofs had caused such uneasiness in the night.He had come to a halt about a mile from the camp, and was found quietly grazing near a brook.The bugle sounded for departure about half past eight.As we were in greater risk of Indian molestation the farther we advanced our line was formed with more precision than heretofore.Every one had his station assigned him, and was forbidden to leave it in pursuit of game, without special permission.The pack-horses were placed in the centre of the line, and a strong guard in the rear."
