"第一章 木屋","Chapter I The Chalet"
"中校先是看了看莫黛斯特，她的脸上已找不到哪怕一丝的惊愕了，然后，又向卡那利投去不解的目光。","The colonel looked at Canalis with a curious eye, after first watching Modeste, whose face no longer expressed the slightest astonishment."
"“对于有着高贵荣誉的人来说，”他慢慢地说道，“用财富来补救时间和命运的摧残，复兴古老的名门望族，是一种对财富的高贵使用。”","“For persons of high honor,” he said slowly, “it is a noble employment of wealth to repair the ravages of time and destiny, and restore the old historic families.”"
"“是的，爸爸。”莫黛斯特严肃地说道。","“Yes, papa,” said Modeste, gravely."
"中校和蔼可亲地邀请公爵和卡那利穿着马服跟他共进晚餐，他答应他们自己也不更衣。莫黛斯特回到房里梳妆打扮时，看了看早晨被她鄙视了一番的那根宝石马鞭。","The colonel invited the duke and Canalis to dine with him sociably in their riding-dress, promising them to make no change himself.When Modeste went to her room to make her toilette, she looked at the jewelled whip she had disdained in the morning."
"“如今做这样的东西，要多么地精雕细琢啊！”她对已经成为她的贴身女仆的弗朗索瓦丝·科歇说道。","“What workmanship they put into such things nowadays!” she said to Francoise Cochet, who had become her waiting-maid."
"“小姐，那个可怜的的年轻人，都发烧了——”","“That poor young man, mademoiselle, who has got a fever—”"
"“谁告诉你的？”","“Who told you that?”"
"“比查先生。他今天下午过来，让我跟您说，他希望您注意到他已经兑现了那天对您许下的诺言。”","“Monsieur Butscha.He came here this afternoon and asked me to say to you that he hoped you would notice he had kept his word on the appointed day.”"
"穿着高贵而朴素的莫黛斯特下楼来到了客厅里。","Modeste came down into the salon dressed with royal simplicity."
"“我亲爱的父亲，”她挽着中校的胳膊，大声说道，“请去慰问一下德拉布里埃先生的健康状况，并把他的礼物带回去。您可以说，我那点微薄的财产和淳朴的品味，不容许我佩戴这些只适合王后或者交际花们的饰品。再说，我只能接受我的新郎的礼物。请求他保管好这条马鞭，直到您知道自己是不是有足够的钱把它买回来。”","“My dear father,” she said aloud, taking the colonel by the arm, “please go and ask after Monsieur de La Briere’s health, and take him back his present.You can say that my small means, as well as my natural tastes, forbid my wearing ornaments which are only fit for queens or courtesans.Besides, I can only accept gifts from a bridegroom.Beg him to keep the whip until you know whether you are rich enough to buy it back.”"
"“我的小姑娘变理智了。”中校轻吻他女儿的额头，说道。","“My little girl has plenty of good sense,” said the colonel, kissing his daughter on the forehead."
"卡那利趁公爵和米尼翁夫人谈话之际，跑到了平台上，莫黛斯特出于好奇，也跟着去了。诗人还以为她是因为想做德卡那利夫人才跟去的呢。他深刻意识到刚刚那种士兵们称之为“向后转”的行为很无礼，可根据野心勃勃之人的法则，每个处于他这种境地的人都会如此无情地变卦的。于是现在，当不幸的莫黛斯特走近他时，他便试图为他的行为找一些貌似可信的理由。","Canalis took advantage of a conversation which began between the duke and Madame Mignon to escape to the terrace, where Modeste joined him, influenced by curiosity, though the poet believed her desire to become Madame de Canalis had brought her there.Rather alarmed at the indecency with which he had just executed what soldiers call a “volte-face,” and which, according to the laws of ambition, every man in his position would have executed quite as brutally, he now endeavored, as the unfortunate Modeste approached him, to find plausible excuses for his conduct."
"“亲爱的莫黛斯特，”他用一种哄骗的语气开了口，“我不知道这样说会不会令您不高兴，站在我们彼此的立场上想一想，您对德埃鲁维尔公爵的答复，对一个爱着您的人来说，是多么让人痛苦——对一个心灵脆弱、敏感，并对真正的情感艳羡不已的诗人尤其如此。您最初的卖弄风情，您预先策划好的种种反复无常，就是为了研究我们的性格，如果我连这都看不出来，我就真是个差劲的外交官了——”","“Dear Modeste,” he began, in a coaxing tone, “considering the terms on which we stand to each other, shall I displease you if I say that your replies to the Duc d’Herouville were very painful to a man in love,—above all, to a poet whose soul is feminine, nervous, full of the jealousies of true passion.I should make a poor diplomatist indeed if I had not perceived that your first coquetries, your little premeditated inconsistencies, were only assumed for the purpose of studying our characters—”"
"莫黛斯特像一只野生动物一样，快速、机灵，而又有些娇媚地抬起头来，这种动物般的本能竟产生了如此神奇的风度。","Modeste raised her head with the rapid, intelligent, half-coquettish motion of a wild animal, in whom instinct produces such miracles of grace."
"“——因此，我回到家，将它们思考一遍之后，就再没被它们所误导了。我只是惊讶，您的聪明跟您的性格和面容是如此和谐一致。您别紧张，我从未怀疑过您假装的表里不一会掩盖那天使般的坦率。不，您的思想，您所受的教育，丝毫都没有减少我们对一个妻子所要求的宝贵的天真无邪。您确实适合做一位诗人、一位外交官、一位思想家、一个注定要历尽生活沉浮之人的妻子，而我对您的钦佩，恰恰和我对您的依恋是同样多。我现在恳求您——如果您昨天接受了一位男子对您的爱，而不是耍他，他的虚荣会变成自豪，他的缺点会在您神圣的影响下变成优点——我恳求您，不要激起他身上那种会发展成恶习的激情。嫉妒在我的心灵里是一种有毒元素，而您已经向我显示出它的力量。它是可怕的，它会毁坏一切——哦！我不是说奥赛罗式的嫉妒。”他注意到了莫黛斯特的手势，便接着说道，“不，不，我的思想是我自己的，我对此一直深信不疑。您知道我对您的爱，以及这份爱带给我的幸福——尽管这幸福只有一点点。”（他伤心地摇了摇头。）“在所有的国度里，人们都把爱情比作孩子，因为它幻想着这个世界是属于自己的，并只能这样幻想。然而，大自然却亲自给这种情感设定了限制。它是个死婴。一个温柔、母性的心灵猜透并抚慰了我内心压抑的痛苦——因为一位感觉到并知道自己已经经历过爱情之欢的女人，在为他人疗伤时，会变得如天使一般。公爵夫人从未让我在感情方面遭受过痛苦。十年来，没有一个字，没有一个眼神，让我受伤！跟一般人相比，我更看重言语、思想和眼神。如果一个眼神对我来说是一笔无价之宝，那么最细微的怀疑都是致命的毒药，它会立即发作，我的爱也就死了。与大部分人相反，我不认为爱情的欢乐在于忐忑、期望和等待——我觉得爱情只能存在于完美的、婴孩般的、无穷的安全之中。女人乐于用她们的风情万种让我们经历一番痛苦的历练，那是一种我不会屈从的卑微的幸福：对我来说，爱情要么是天堂，要么是地狱。如果它是地狱的话，我丝毫都不会接受。对天堂那蔚蓝的天空，我内心感觉到深深的眷恋。在未来的生活里，我能够毫无保留地献身，没有秘密，也没有怀疑或者欺骗，而我要求对方也如此。也许，我的这些疑虑冒犯了您。但是，请记住，我只是在谈论我自己——”","“—and therefore when I returned home and thought them over, they never misled me.I only marvelled at a cleverness so in harmony with your character and your countenance.Do not be uneasy, I never doubted that your assumed duplicity covered an angelic candor.No, your mind, your education, have in no way lessened the precious innocence which we demand in a wife.You are indeed a wife for a poet, a diplomatist, a thinker, a man destined to endure the chances and changes of life; and my admiration is equalled only by the attachment I feel to you.I now entreat you—if yesterday you were not playing a little comedy when you accepted the love of a man whose vanity will change to pride if you accept him, one whose defects will become virtues under your divine influence—I entreat you do not excite a passion which, in him, amounts to vice.Jealousy is a noxious element in my soul, and you have revealed to me its strength; it is awful, it destroys everything—Oh! I do not mean the jealousy of an Othello,” he continued, noticing Modeste’s gesture.“No, no; my thoughts were of myself: I have been so indulged on that point.You know the affection to which I owe all the happiness I have ever enjoyed,—very little at the best” (he sadly shook his head).“Love is symbolized among all nations as a child, because it fancies the world belongs to it, and it cannot conceive otherwise.Well, Nature herself set the limit to that sentiment.It was still-born.A tender, maternal soul guessed and calmed the painful constriction of my heart,—for a woman who feels, who knows, that she is past the joys of love becomes angelic in her treatment of others.The duchess has never made me suffer in my sensibilities.For ten years not a word, not a look, that could wound me!I attach more value to words, to thoughts, to looks, than ordinary men.If a look is to me a treasure beyond all price, the slightest doubt is deadly poison; it acts instantaneously, my love dies.I believe—contrary to the mass of men, who delight in trembling, hoping, expecting—that love can only exist in perfect, infantile, and infinite security.The exquisite purgatory, where women delight to send us by their coquetry, is a base happiness to which I will not submit: to me, love is either heaven or hell.If it is hell, I will have none of it.I feel an affinity with the azure skies of Paradise within my soul.I can give myself without reserve, without secrets, doubts or deceptions, in the life to come; and I demand reciprocity.Perhaps I offend you by these doubts.Remember, however, that I am only talking of myself—”"
"“——冒犯得不轻，但不算太过。”莫黛斯特说道。这番话以德肖利厄公爵夫人为匕首，冒犯了她自尊的每一个角落。“我已经习惯于佩服您了，我亲爱的诗人。”","“—a good deal, but never too much,” said Modeste, offended in every hole and corner of her pride by this discourse, in which the Duchesse de Chaulieu served as a dagger.“I am so accustomed to admire you, my dear poet.”"
"“那好，我给了您狗一样的忠诚，您也能答应给我么？难道这不是很美的事吗？难道这不正是您所渴望的吗？”","“Well, then, can you promise me the same canine fidelity which I offer to you?Is it not beautiful?Is it not just what you have longed for?”"
"“但是，我亲爱的的诗人，您为什么不娶一个又聋又哑，而且还有点傻的女人呢？我别无他求，只希望能让我的丈夫高兴。但您威胁要从一位少女身上夺走您如此善良地为她安排的那种幸福；您是在强拉硬拽地带走每一个手势、每一个词语、每一个眼神；您剪掉鸟儿的翅膀，然后又希望它围着您盘旋。我知道人们指责诗人们反复无常——唉！这非常不公正，”看到卡那利做了一个否认的动作，她便补充道，“这个所谓的缺点，正是由于诗人非凡的头脑考虑到了凡人想不到的东西。然而，我不认为一个天才能编造出这种自相矛盾的境况，还称之为创造生活。您要求这种不可能的事，无非是为了将我置于不义之地而取乐——就像神话故事中的巫师一样，让受迫害的少女干活，直到善良的精灵来解救她。”","“But why, dear poet, do you not marry a deaf-mute, and one who is also something of an idiot?I ask nothing better than to please my husband.But you threaten to take away from a girl the very happiness you so kindly arrange for her; you are tearing away every gesture, every word, every look; you cut the wings of your bird, and then expect it to hover about you.I know poets are accused of inconsistency—oh! very unjustly,” she added, as Canalis made a gesture of denial; “that alleged defect which comes from the brilliant activity of their minds which commonplace people cannot take into account.I do not believe, however, that a man of genius can invent such irreconcilable conditions and call his invention life.You are requiring the impossible solely for the pleasure of putting me in the wrong,—like the enchanters in fairy-tales, who set tasks to persecuted young girls whom the good fairies come and deliver.”"
"“在这种情况下，善良的精灵就是真正的爱情，”卡那利简慢地说道。他意识到了他精心策划的作为决裂的借口，已经被这个由比查一手栽培的敏锐而精明的姑娘看透了。","“In this case the good fairy would be true love,” said Canalis in a curt tone, aware that his elaborate excuse for a rupture was seen through by the keen and delicate mind which Butscha had piloted so well."
"“我亲爱的诗人，您让我想起了那些还不愿意说出自己儿子的娶亲礼金，就去调查一个姑娘的嫁妆的父亲。您还不知道是否有那么一点点权利对我挑剔，您就这样做了。爱情不是通过像您这样干巴巴的讨价还价得来的。相反，可怜的公爵像我的托比大叔一样任我摆布，唯一的不同就是我还不是瓦德曼寡妇——虽然此刻我许多诗意的幻想已经破灭了。啊，是的，我们这样的少女是不会相信任何扰乱我们幻想世界的事物的！之前就有人提醒过我这一切了。我亲爱的诗人，您是在试图激起一场有失您身份的争吵。我再也认不出昨日的梅尔基奥尔了。”","“My dear poet, you remind me of those fathers who inquire into a girl’s ‘dot’ before they are willing to name that of their son.You are quarrelling with me without knowing whether you have the slightest right to do so.Love is not gained by such dry arguments as yours.The poor duke on the contrary abandons himself to it like my Uncle Toby; with this difference, that I am not the Widow Wadman,—though widow indeed of many illusions as to poetry at the present moment.Ah, yes, we young girls will not believe in anything that disturbs our world of fancy!I was warned of all this beforehand.My dear poet, you are attempting to get up a quarrel which is unworthy of you.I no longer recognize the Melchior of yesterday.”"
"“因为梅尔基奥尔已经在您的身上发现了一种野心勃勃的情绪，它——”","“Because Melchior has discovered a spirit of ambition in you which—”"
"莫黛斯特用一种盛气凌人的眼神将他从头到脚打量了一遍。","Modeste looked at him from head to foot with an imperial eye."
"“但我还是会和昨日的梅尔基奥尔一样，当上法兰西的贵族和大使。”卡那利补充道。","“But I shall be peer of France and ambassador as well as he,” added Canalis."
"“您是把我当成了市井女子了，”她边说边开始登上门廊的台阶，但她马上又转过身，补充道，“这种想法就跟把我当成傻子一样无礼。您翻脸不认人，是因为您听了勒阿弗尔人散布的那些可笑的流言，那些话我的女仆弗朗索瓦丝都已经告诉我了。”","“Do you take me for a bourgeois,” she said, beginning to mount the steps of the portico; but she instantly turned back and added,“That is less impertinent than to take me for a fool.The change in your conduct comes from certain silly rumors which you have heard in Havre, and which my maid Francoise has repeated to me.”"
"“啊，莫黛斯特，您怎么能这样想呢？”卡那利摆出一副演戏的姿态，说道，“您认为我只是为了您的财产而娶您的吗？”","“Ah, Modeste, how can you think it?” said Canalis, striking a dramatic attitude.“Do you think me capable of marrying you only for your money?”"
"“您在塞纳河边对我说过那番富有教育意义的话之后，我要是还能错解您的意思，那我也太好骗了。”她说道，用她的蔑视彻底击败了他。","“If I do you that wrong after your edifying remarks on the banks of the Seine can you easily undeceive me,” she said, annihilating him with her scorn."
"“啊！”诗人一边跟着她走进屋里，一边暗自思忖，“我的小姑娘，如果你认为我就要落入那个圈套了，那你就是小看我的老道了。天哪，天哪，这个狡猾的小东西还真是小题大做，我对她的敬重可是跟对婆罗洲国王的一样。但她批评我这种卑劣的情感，也给了我一个决裂的好理由。难道她不狡猾吗？拉布里埃要受罪喽——那个傻瓜！五年之后，看到他们在一起，那可是一个很好的笑话。”","“Ah!” thought the poet, as he followed her into the house, “if you think, my little girl, that I’m to be caught in that net, you take me to be younger than I am.Dear, dear, what a fuss about an artful little thing whose esteem I value about as much as that of the king of Borneo.But she has given me a good reason for the rupture by accusing me of such unworthy sentiments.Isn’t she sly?La Briere will get a burden on his back—idiot that he is!And five years hence it will be a good joke to see them together.”"
"这次争吵让莫黛斯特和卡那利之间冷淡了下来，那天晚上在场的所有人都看出来了。诗人借口说拉布里埃生病了，早早就离开了，把地盘留给了马厩大总管。大约十一点的时候，比查来接拉图奈尔夫人回家，他在莫黛斯特的耳边小声说道，“我说对了吧？”","The coldness which this altercation produced between Modeste and Canalis was visible to all eyes that evening.The poet went off early, on the ground of La Briere’s illness, leaving the field to the grand equerry.About eleven o’clock Butscha, who had come to walk home with Madame Latournelle, whispered in Modeste’s ear, “Was I right?”"
"“唉，说对了。”她说。","“Alas, yes,” she said."
"“但我希望您把门半开着，以便他能回头，您知道我们这样约定过的。”","“But I hope you have left the door half open, so that he can come back; we agreed upon that, you know.”"
"“我已完全被愤怒所左右，”莫黛斯特说，“这种卑鄙的行为让我怒火中烧，而且我已经告诉了他我对他的看法。”","“Anger got the better of me,” said Modeste.“Such meanness sent the blood to my head and I told him what I thought of him.”"
"“哦，那再好不过了。当你们两个都很气愤，不能彼此客气地讲话时，我再让他疯狂地爱上您，而且是十分诚恳的，这样，您自己就会被搞糊涂了。”","“Well, so much the better.When you are both so angry that you can’t speak civilly to each other I engage to make him desperately in love and so pressing that you will be deceived yourself.”"
"“好了，好了，比查，他是一位伟大的诗人，他是一位贵族，他是一个聪明人。”","“Come, come, Butscha; he is a great poet; he is a gentleman; he is a man of intellect.”"
"“您父亲的八百万对他来说，要比那些都重要。”","“Your father’s eight millions are more to him than all that.”"
"“八百万！”莫黛斯特惊呼道。","“Eight millions!” exclaimed Modeste."
"“我的东家卖掉了他的事务所，正要去普罗旺斯处理您父亲的经纪人建议的那桩土地买卖。买下拉巴斯蒂地产的总价是四百万，您的父亲已经同意了。您会有两百万的嫁妆，另外还有一百万用于在巴黎安家，买公馆和置办家具。现在，您算算吧。”","“My master, who has sold his practice, is going to Provence to attend to the purchase of lands which your father’s agent has suggested to him.The sum that is to be paid for the estate of La Bastie is four millions; your father has agreed to it.You are to have a ‘dot’ of two millions and another million for an establishment in Paris, a hotel and furniture.Now, count up.”"
"“啊！那样我就能做德埃鲁维尔公爵夫人了！”莫黛斯特看了比查一眼，叫道。","“Ah! then I can be Duchesse d’Herouville!” cried Modeste, glancing at Butscha."
"“要不是那个小丑卡那利，您就已经收下那个人的马鞭，认为是我送的了。”小矮人说道，间接为拉布里埃辩解。","“If it hadn’t been for that comedian of a Canalis you would have kept HIS whip, thinking it came from me,” said the dwarf, indirectly pleading La Briere’s cause."
"“比查先生，我想问，我嫁人是不是为了让你高兴啊？”莫黛斯特笑着说。","“Monsieur Butscha, may I ask if I am to marry to please you?” said Modeste, laughing."
"“那个优秀的小伙子跟我一样爱您——您也爱过他八天啊，”比查反驳道，“而且他很有良心。”","“That fine fellow loves you as well as I do,—and you loved him for eight days,” retorted Butscha; “and HE has got a heart.”"
"“请问，他能与一位在国王手下任职的人相比吗？国王手下的官职只有六种：国王神甫、首相、御前侍从长、太傅、王室总管、海军总司令——而且他们不再任命王室总管了。”","“Can he compete, pray, with an office under the Crown?There are but six, grand almoner, chancellor, grand chamberlain, grand master, high constable, grand admiral,—but they don’t appoint high constables any longer.”"
"“小姐，再过六个月，由许多狡黠的比查组成的大量民众，就会让所有的那些尊贵头衔灰飞烟灭。再说，如今什么是贵族的标志呢？在法兰西，真正的贵族都不到一千个了。德埃鲁维尔家族是诺曼底罗贝尔时期一个法警的后裔。跟那个愁眉苦脸的老姑姑在一起，您要忍受很多烦恼的。您看——您如此渴望得到公爵夫人的头衔——您已经有伯爵头衔了，而教皇肯定会像看重那些商人一样看重您的，他会赐给您一块名字以‘ia’或者‘agno’结尾的公爵领地。不要为了一个国王手下的官职而丢掉了您的幸福。”","“In six months, mademoiselle, the masses—who are made up of wicked Butschas—could send all those grand dignities to the winds.Besides, what signifies nobility in these days?There are not a thousand real noblemen in France.The d’Herouvilles are descended from a tipstaff in the time of Robert of Normandy.You will have to put up with many a vexation from the old aunt with the furrowed face.Look here,—as you are so anxious for the title of duchess,—you belong to the Comtat, and the Pope will certainly think as much of you as he does of all those merchants down there; he’ll sell you a duchy with some name ending in ‘ia’ or ‘agno.’Don’t play away your happiness for an office under the Crown.”"
"第二十五章 一封老练的来信","CHAPTER XXV A DIPLOMATIC LETTER"
"诗人那天晚上思来想去，考虑的完全是实际问题。他打心眼儿里觉得，没有什么比结了婚而没钱这种境况更糟糕的了。他的虚荣，他想胜过公爵的欲望，以及他相信米尼翁有数百万财产，这一切让他身处险境，想到这里，他还在浑身发抖。更糟糕的是，他已经两个星期没给公爵夫人写信了，而在巴黎，他们一周就要写上四五封信。他开始问自己，公爵夫人会对他呆在勒阿弗尔作何感想。","The poet’s reflections during the night were thoroughly matter of fact.He sincerely saw nothing worse in life than the situation of a married man without money.Still trembling at the danger he had been led into by his vanity, his desire to get the better of the duke, and his belief in the Mignon millions, he began to ask himself what the duchess must be thinking of his stay in Havre, aggravated by the fact that he had not written to her for fourteen days, whereas in Paris they exchanged four or five letters a week."
"“那个可怜的女人还在努力让我被任命为荣誉军团指挥官和巴登宫廷的大使呢！”他叫道。","“And that poor woman is working hard to get me appointed commander of the Legion and ambassador to the Court of Baden!” he cried."
"因此，对未来的一种清楚的直觉，使得诗人像个投机倒把者一样，立即作出了决定，坐下来写了下面这封信：","Thereupon, with that promptitude of decision which results—in poets as well as in speculators—from a lively intuition of the future, he sat down and composed the following letter:—"
"致德肖利厄公爵夫人：","To Madame la Duchesse de Chaulieu:"
"我亲爱的埃莱奥诺尔——没有收到我的来信，你一定颇感意外吧。不过，我呆在这个地方，不完全是由于我的健康的缘故。我一直在帮我们年轻的朋友拉布里埃的忙。这个可怜的小伙子，他爱上了一个叫莫黛斯特·德拉巴斯蒂的小姐，她是一个面色苍白、地位低微、身材单薄的小姑娘。顺便说一下，她有喜爱文学的癖好，还称自己为诗人，以此来为她种种无聊的任性妄为和想入非非申辩。你是知道埃内斯特的——他太容易上钩了，所以我也就不放心丢下他一个人。德拉巴斯蒂小姐想对你的梅尔基奥尔卖弄风情，而且一心要成为你的情敌。但她双臂干瘦，而且跟大部分少女一样，胸部不丰满；还有，她的头发就跟德罗什菲德夫人的一样，暗淡无光泽；她的眼睛很小、阴暗无神，还很多疑。我制止了——可能过于粗暴地——这位不知自重的小姐的卖弄风情。不过，正是爱情，我对你的爱情，要求我那样做。世上所有的女人，跟我有什么关系呢——跟你相比，她们算得上什么呢？","My dear Eleonore,—You have doubtless been surprised at not hearing from me; but the stay I am making in this place is not altogether on account of my health.I have been trying to do a good turn to our little friend La Briere.The poor fellow has fallen in love with a certain Mademoiselle Modeste de La Bastie, a rather pale, insignificant, and thread-papery little thing, who, by the way, has the vice of liking literature, and calls herself a poet to excuse the caprices and humors of a rather sullen nature.You know Ernest,—he is so easy to catch that I have been afraid to leave him to himself.Mademoiselle de La Bastie was inclined to coquet with your Melchior, and was only too ready to become your rival, though her arms are thin, and she has no more bust than most girls; moreover, her hair is as dead and colorless as that of Madame de Rochefide, and her eyes small, gray, and very suspicious.I put a stop—perhaps rather brutally—to the attentions of Mademoiselle Immodeste; but love, such as mine for you, demanded it.What care I for all the women on earth,—compared to you, what are they?"
"和我呆在一起打发时光，也就是围在这位女嗣身边的那些人，都是十足的小市民样，几乎让我作呕。可怜可怜我吧，想想看！我晚上都跟公证人、公证人夫人、账房管家和外省的放债人呆在一起——啊！这跟我在格勒内勒街的夜晚真是天壤之别。她的父亲刚从中国回来，他所谓的财产，把那个不知疲倦的追求者马厩大总管引到勒阿弗尔来了。大总管垂涎她那几百万财产，据说是为了排干他的沼泽地。国王还不知道，他给公爵的那些荒地是个多么要命的礼物。公爵阁下还没有发现这位小姐只有一笔小小的财产，还嫉妒我，而拉布里埃在我这个瞎子般的朋友的掩护下，正悄悄向他的偶像逼近。","The people with whom I pass my time, and who form the circle round the heiress, are so thoroughly bourgeois that they almost turn my stomach.Pity me; imagine!I pass my evenings with notaries, notaresses, cashiers, provincial money-lenders—ah! what a change from my evenings in the rue de Grenelle.The alleged fortune of the father, lately returned from China, has brought to Havre that indefatigable suitor, the grand equerry, hungry after the millions, which he wants, they say, to drain his marshes.The king does not know what a fatal present he made the duke in those waste lands.His Grace, who has not yet found out that the lady had only a small fortune, is jealous of me; for La Briere is quietly making progress with his idol under cover of his friend, who serves as a blind."
"尽管浪漫多情的埃内斯特已为她神魂颠倒，但我这个诗人却主要考虑实质的东西，而且我已经在做一些打探，结果证明我们的朋友前途暗淡。如果我的天使愿意赦免我们一些的小罪过，她就会把银行家蒙日诺请来，用她特有的巧妙手段去盘问他，看莫黛斯特的父亲到底有多少财产。米尼翁先生原来是皇家卫队的骑兵中校，他在过去七年里都是蒙日诺银号的客户。据说，他会给他女儿二十万法郎做嫁妆，但在代表埃内斯特出价之前，我迫切地想了解事情的真相。这件事一办好，我马上就回巴黎去。我知道一个办法，能让事情都有利于我们年轻的情人——只要过继他岳父的头衔即可，而且，我想，由于埃内斯特的竭诚服务，还有你、我，以及公爵给他的帮助，没有谁能比他更顺理成章地得到这一恩赐。凭埃内斯特的兴趣爱好，他自然会在我去巴登之后接替我的职位，领一年两万五千法郎的薪俸。一个终身职衔和一个老婆——这个倒霉的家伙会在巴黎生活得很开心的！","Notwithstanding Ernest’s romantic ecstasies, I myself, a poet, think chiefly of the essential thing, and I have been making some inquiries which darken the prospects of our friend.If my angel would like absolution for some of our little sins, she will try to find out the facts of the case by sending for Mongenod, the banker, and questioning him, with the dexterity that characterizes her, as to the father’s fortune?Monsieur Mignon, formerly colonel of cavalry in the Imperial guard, has been for the last seven years a correspondent of the Mongenods.It is said that he gives his daughter a “dot” of two hundred thousand francs, and before I make the offer on Ernest’s behalf I am anxious to get the rights of the story.As soon as the affair is arranged I shall return to Paris.I know a way to settle everything to the advantage of our young lover,—simply by the transmission of the father-inlaw’s title, and no one, I think, can more readily obtain that favor than Ernest, both on account of his own services and the influence which you and I and the duke can exert for him.With his tastes, Ernest, who of course will step into my office when I go to Baden, will be perfectly happy in Paris with twenty-five thousand francs a year, a permanent place, and a wife—luckless fellow!"
"啊，最最亲爱的，我多么想念格勒内勒大街啊！我离开半个月了！分离没有扼杀我的爱，而是带回了初恋时的全部热情，而且你也许比我更清楚，让我的爱情永不停止的原因是什么——就是进了坟墓，我的骨头还是会爱你的！啊！我无法忍受这种分别。要是我被迫再在这儿呆十天，那我就会回巴黎一次，呆上短短的几个小时。","Ah, dearest, how I long for the rue de Grenelle!Fifteen days of absence! when they do not kill love, they revive all the ardor of its earlier days, and you know, better than I, perhaps, the reasons that make my love eternal,—my bones will love thee in the grave!Ah! I cannot bear this separation.If I am forced to stay here another ten days, I shall make a flying visit of a few hours to Paris."
"公爵为我谋到我们想要的东西了吗？而你，我最最亲爱的人儿，你明年会喝到巴登的山泉水吗？这位“忧郁美男子”的喁喁私语，跟我们爱情的欢声笑语——如此真实，十年不变！——相比，让我对婚姻产生了一种极大的蔑视。我从来都没有如此近距离接触过这类事情。啊，最最亲爱的！世人称之为“失足”的东西，会比法律更紧密地将两个人连在一起——不是吗？","Has the duke obtained for me the thing we wanted; and shall you, my dearest life, be ordered to drink the Baden waters next year?The billing and cooing of the “handsome disconsolate,” compared with the accents of our happy love—so true and changeless for now ten years!—have given me a great contempt for marriage.I had never seen the thing so near.Ah, dearest! what the world calls a “false step” brings two beings nearer together than the law—does it not?"
"后面两页的中心思想是对往事的追忆和强烈的愿望，有点过于亲密，就不好公开了。","The concluding idea served as a text for two pages of reminiscences and aspirations a little too confidential for publication."
"就在卡那利将这封信投进邮筒的前一天晚上，比查，也就是假冒的让·雅克曼，收到了他的假表妹菲罗塞娜的信。这样，他的回信就比诗人的信早了十二个小时寄出。公爵夫人半个月来极为不安，又被梅尔基奥尔的杳无音信伤透了心，于是她命菲罗塞娜写一封信给她表哥，信的内容由她亲自口述。而比查的回信过于直白，伤到了她五十岁人的自尊心。她一读完信，就派人请来银行家蒙日诺，并细致询问了米尼翁先生的确切财产。爱莱奥诺尔发现自己因为几百万而被人背叛、抛弃，气愤、仇恨，以及冷酷的报复情绪突然发作。菲罗塞娜敲了敲那间奢华卧房的门，走进去时发现她的女主人泪眼婆娑——这是她服侍女主人十五年来从未有过的情况。她站在那里，目瞪口呆。","The evening before the day on which Canalis put the above epistle into the post, Butscha, under the name of Jean Jacmin, had received a letter from his fictitious cousin, Philoxene, and had mailed his answer, which thus preceded the letter of the poet by about twelve hours.Terribly anxious for the last two weeks, and wounded by Melchior’s silence, the duchess herself dictated Philoxene’s letter to her cousin, and the moment she had read the answer, rather too explicit for her quinquagenary vanity, she sent for the banker and made close inquiries as to the exact fortune of Monsieur Mignon.Finding herself betrayed and abandoned for the millions, Eleonore gave way to a paroxysm of anger, hatred, and cold vindictiveness.Philoxene knocked at the door of the sumptuous room, and entering found her mistress with her eyes full of tears,—so unprecedented a phenomenon in the fifteen years she had waited upon her that the woman stopped short stupefied."
"“十分钟就把十年的幸福给毁了。”她听公爵夫人说道。","“We expiate the happiness of ten years in ten minutes,” she heard the duchess say."
"“夫人，一封勒阿弗尔来的信。”","“A letter from Havre, madame.”"
"埃莱奥诺尔读着诗人的信，都没有注意到菲罗塞娜在场。菲罗塞娜见公爵夫人读着读着，脸上又恢复了平静，便感到更为惊讶了。递一根手杖粗细的棍子给一个将要被淹死的人，他就会将其视为一条平安大道。埃莱奥诺尔读过那四页爱情与交易、谎言与真相相互交织的信之后，幸福的她相信卡那利是真心诚意的。就在早些时候，她还让丈夫去阻止对梅尔基奥尔的任命，趁时间还来得及。现在，她又被一种近乎伟大的宽宏大量精神左右了。","Eleonore read the poet’s prose without noticing the presence of Philoxene, whose amazement became still greater when she saw the dawn of fresh serenity on the duchess’s face as she read further and further into the letter.Hold out a pole no thicker than a walking-stick to a drowning man, and he will think it a high-road of safety.The happy Eleonore believed in Canalis’s good faith when she had read through the four pages in which love and business, falsehood and truth, jostled each other.She who, a few moments earlier, had sent for her husband to prevent Melchior’s appointment while there was still time, was now seized with a spirit of generosity that amounted almost to the sublime."
"“可怜的小伙子！”她心想，“他一点儿不老实的想法都没有，他还是跟第一天那样爱我，他告诉了我全部情况——菲罗塞娜！”她注意到女仆正站在她附近假装收拾梳妆台，便叫道。","“Poor fellow!” she thought; “he has not had one faithless thought; he loves me as he did on the first day; he tells me all—Philoxene!” she cried, noticing her maid, who was standing near and pretending to arrange the toilet-table."
"“公爵夫人有何吩咐？”","“Madame la duchesse?”"
"“把镜子给我，孩子！”","“A mirror, child!”"
