"第一章","Chapter 1"
"当她把钱包给我的时候，她看着我，我觉得她的这番话还有更深一层的意思。她说话时态度傲慢，但是并没有不高兴。","As she looked at me in giving me the purse, I hoped there was an inner meaning in her words.She said them slightingly, but not with displeasure."
"“必须得派人去找来马车，埃斯特拉。你想在这里休息一下吗？”","“A carriage will have to be sent for, Estella.Will you rest here a little?”"
"“好吧，我在这里休息一会儿，喝点茶，这段时间你要陪着我。”","“Yes, I am to rest here a little, and I am to drink some tea, and you are to take care of me the while.”"
"她伸出胳膊挽住我的手臂，仿佛她必须这么做似的。有一个伙计一直盯着马车看，就像他一辈子从来没有见过这种东西一样，我让这个伙计带我们到一个单独的会客室里去。听到这话，他抽出一条餐巾，它就像是一个神奇的线索，少了这个，他就不知道该怎么上楼。他把我们领进这家旅馆的一个黑洞洞的屋子里，屋里有一面缩小镜（考虑到屋子的大小，这面镜子显得非常多余）、一个鱼酱汁调味瓶和一双不知道是谁的木套鞋。由于我拒绝呆在这个地方，他把我们带进了另外一个房间，里面有一张容得下三十人用餐的餐桌，在壁炉里那一蒲式耳煤灰的下面有一页被烧焦了的习字簿纸张。这个伙计看了看已经熄灭的炉火，摇了摇头，然后来听我点餐。结果我仅是告诉他“给这位小姐沏一点茶”，他就这样垂头丧气地被我打发出了房间。","She drew her arm through mine, as if it must be done, and I requested a waiter who had been staring at the coach like a man who had never seen such a thing in his life, to show us a private sitting-room.Upon that, he pulled out a napkin, as if it were a magic clue without which he couldn’t find the way up-stairs, and led us to the black hole of the establishment: fitted up with a diminishing mirror (quite a superfluous article considering the hole’s proportions), an anchovy sauce-cruet, and somebody’s pattens.On my objecting to this retreat, he took us into another room with a dinner-table for thirty, and in the grate a scorched leaf of a copy-book under a bushel of coal-dust.Having looked at this extinct conflagration and shaken his head, he took my order: which, proving to be merely “Some tea for the lady,” sent him out of the room in a very low state of mind."
"当时我闻到这个房间里的空气散发着一股强烈的马厩和马肉汤的混合气味，即使到现在，我仍然记得那股气味。这不禁让人猜想是不是马车部的生意不好，所以有事业心的老板就把马匹宰杀烹煮了，送到小吃部出售。但是，这个房间对我来说是无价之宝，因为埃斯特拉在这房间里。我心想，只要是和她在一起，我一辈子呆在这里都会很幸福。（事实上，当时我在那里一点都不幸福，而且我也很清楚这一点。）","I was, and I am, sensible that the air of this chamber, in its strong combination of stable with soup-stock, might have led one to infer that the coaching department was not doing well, and that the enterprising proprietor was boiling down the horses for the refreshment department.Yet the room was all in all to me, Estella being in it.I thought that with her I could have been happy there for life.(I was not at all happy there at the time, observe, and I knew it well.)"
"“你要去里士满的什么地方呢？”我问埃斯特拉。","“Where are you going to, at Richmond?” I asked Estella. "
"“我要去那里，”她说，“花一大笔钱和一位夫人住在一起。这个人有能力——不，是她有能力——带我出入上流社会，让我认识上流人士，也向上流人士介绍我，让他们认识我。”","“I am going to live,” said she, “at a great expense, with a lady there, who has the power—or says she has—of taking me about, and introducing me, and showing people to me and showing me to people.”"
"“我想你会很高兴经历不同的事情、获得人们的赞赏吧？”","“I suppose you will be glad of variety and admiration?”"
"“对，我想是的。”","“Yes, I suppose so.”"
"她的回答非常漫不经心，所以我说：“你说起你自己的事情就像在说别人的事情一样。”","She answered so carelessly, that I said, “You speak of yourself as if you were some one else.”"
"“你从哪里得知我是如何谈及其他人的？　得啦，得啦，”埃斯特拉很可爱地笑着说道，“你可千万别指望我听你的教训，我必须按我自己的方式讲话。你和鄱凯特先生相处得很愉快吧？”","“Where did you learn how I speak of others?Come, come,” said Estella, smiling delightfully, “you must not expect me to go to school to you; I must talk in my own way.How do you thrive with Mr. Pocket?”"
"“我在那里过得很愉快，至少——”我觉得我似乎要错失一个机会了。","“I live quite pleasantly there; at least—”It appeared to me that I was losing a chance."
"“至少？”埃斯特拉重复道。","“At least?” repeated Estella. "
"“你不在我身边时，我在哪里觉得都一样。”","“As pleasantly as I could anywhere, away from you.”"
"“你这个傻小子，”埃斯特拉非常沉着地说道，“你怎么能这样胡说八道呢？我相信，你的朋友马修先生比他所有的家人都更受人敬重吧？”","“You silly boy,” said Estella, quite composedly, “how can you talk such nonsense?Your friend Mr. Matthew, I believe, is superior to the rest of his family?”"
"“的确更受人敬重。他不与任何人为敌——”","“Very superior indeed.He is nobody’s enemy—”"
"“还要算上他自己，”埃斯丝特拉打断了我的话，“因为我讨厌那种自寻烦恼的人。不过我听说，他真的是公正无私，不会小气妒忌，不会心怀怨恨，是这样的吗？”","“Don’t add but his own,” interposed Estella, “for I hate that class of man.But he really is disinterested, and above small jealousy and spite, I have heard?”"
"“我肯定我也很有把握这样说。”","“I am sure I have every reason to say so.”"
"“对于他的家人，你可没有把握这样说了，”埃斯特拉说着朝我点了点头，她脸上的表情既严肃又有些嘲讽的意味，“因为他们围在郝维仙小姐跟前，打你的小报告，说你的坏话。他们监视你，曲解你，写信举报你（有时候是匿名的），你就是他们生命中用来折磨和消遣的对象。你自己几乎意识不到那些人对你持有多大的敌意。”","“You have not every reason to say so of the rest of his people,” said Estella, nodding at me with an expression of face that was at once grave and rallying, “for they beset Miss Havisham with reports and insinuations to your disadvantage.They watch you, misrepresent you, write letters about you (anonymous sometimes), and you are the torment and the occupation of their lives.You can scarcely realize to yourself the hatred those people feel for you.”"
"“我觉得他们没有对我造成什么伤害吧？”","“They do me no harm, I hope?”"
"埃斯特拉没有回答，反而笑了起来。这让我感到很奇怪，我非常困惑地看着她。当她笑够了——她不是懒洋洋地笑了笑，而是真的很开心——我羞怯地对她说：","Instead of answering, Estella burst out laughing.This was very singular to me, and I looked at her in considerable perplexity.When she left off—and she had not laughed languidly, but with real enjoyment—I said, in my diffident way with her:"
"“我希望我可以这样认为，如果他们伤害了我，你不会幸灾乐祸。”","“I hope I may suppose that you would not be amused if they did me any harm.”"
"“不会的，不会的，这一点你可以放心。”埃斯特拉说，“你可以肯定的是，我之所以笑是因为他们失败了。噢，那些围着郝维仙小姐的人啊，他们自作自受！”她又开始笑，即使现在她把原因告诉我了，我还是觉得她的笑很奇怪，我不怀疑她的笑是发自内心的，但似乎对于这个场合来说笑得太过分了。我想肯定还有什么事情我不知道，她看出了我的心思，于是回答了我的疑问。","“No, no you may be sure of that,” said Estella.“You may be certain that I laugh because they fail.Oh, those people with Miss Havisham, and the tortures they undergo!”She laughed again, and even now when she had told me why, her laughter was very singular to me, for I could not doubt its being genuine, and yet it seemed too much for the occasion.I thought there must really be something more here than I knew; she saw the thought in my mind, and answered it."
"“即使对你而言也很难。”埃斯特拉说道，“很难了解当我看到那些人受挫的时候我有多高兴，当他们出丑的时候我有多开心。因为你不是那个从婴儿时起就在那所奇怪的房子里被带大的人——而我是。你并没有在看似是同情怜悯，实际上却不是温柔慰藉的面具之下，被压迫着，毫无反抗之力——而我经历过这些。你并没有逐渐睁大你那圆圆的、稚嫩的眼睛，发现那个女骗子的真面目，那个女骗子只有在深夜醒来的时候才敢细数一下自己内心还留有多少宁静。——而我却经历过这些。”","“It is not easy for even you.” said Estella, “to know what satisfaction it gives me to see those people thwarted, or what an enjoyable sense of the ridiculous I have when they are made ridiculous.For you were not brought up in that strange house from a mere baby.—I was.You had not your little wits sharpened by their intriguing against you, suppressed and defenseless, under the mask of sympathy and pity and what not that is soft and soothing.—I had.You did not gradually open your round childish eyes wider and wider to the discovery of that impostor of a woman who calculates her stores of peace of mind for when she wakes up in the night.—I did.”"
"此时，对埃斯特拉来说，这些并不好笑了，而且她是从内心深处唤起这些往事的。尽管我得到了一大笔遗产，但我并不是造成她现在这副表情的原因。","It was no laughing matter with Estella now, nor was she summoning these remembrances from any shallow place.I would not have been the cause of that look of hers, for all my expectations in a heap."
"“我可以告诉你两件事，”埃斯特拉说，“首先，尽管俗话说水滴石穿，但你尽管放心，这些人不管是在大事还是小事上，永远无法——一百年都无法——损害你和郝维仙小姐之间的关系。第二，我感谢你，正是因为你，他们才如此地奔波忙碌，不怀好意，到头来却是徒劳一场，为此我要与你握手致敬。”","“Two things I can tell you,” said Estella.“First, notwithstanding the proverb that constant dropping will wear away a stone, you may set your mind at rest that these people never will—never would, in hundred years—impair your ground with Miss Havisham, in any particular, great or small.Second, I am beholden to you as the cause of their being so busy and so mean in vain, and there is my hand upon it.”"
"当她顽皮地把手向我伸过来时——因为她低落的情绪转瞬即逝——我握着她的手，送到唇边，亲吻了一下。“你这个可恶的小子，”埃斯特拉说道，“你永远都不听警告吧？还是你现在吻我的手跟之前我让你吻我脸颊时是一个意思？”","As she gave it me playfully—for her darker mood had been but momentary—I held it and put it to my lips.“You ridiculous boy,” said Estella, “will you never take warning?Or do you kiss my hand in the same spirit in which I once let you kiss my cheek?”"
"“那次是什么意思？”我说。","“What spirit was that?” said I. "
"“我必须得想一下，那次是一种对马屁精和密谋者的藐视。”","“I must think a moment A spirit of contempt for the fawners and plotters.”"
"“如果我说‘是的’，那我可以再吻一下脸颊吗？”","“If I say yes, may I kiss the cheek again?”"
"“你应该在吻我的手之前问这个问题的。不过，如果你高兴的话，可以。”","“You should have asked before you touched the hand.But, yes, if you like.”"
"我俯下身去，她面容平静，就像一尊雕像。“好了，”我的嘴唇刚一碰到埃斯特拉的脸颊，她就躲闪开了，同时说道，“现在你要保证我能喝上点茶，然后你要把我送到里士满。”","I leaned down, and her calm face was like a statue’s.“Now,” said Estella, gliding away the instant I touched her cheek, “you are to take care that I have some tea, and you are to take me to Richmond.”"
"她又恢复到这种语气，仿佛我们之间的交往都是被强迫的，而我们俩也仅仅是傀儡一样。这让我很痛苦，不过我们之间往来的所有事情都让我很痛苦。不管她对我的语气是怎样的，我都无法信以为真，也无法抱有希望，然而尽管没有信任，没有希望，我仍然继续下去。为什么要一千次地重复呢？事情一直都是如此。","Her reverting to this tone as if our association were forced upon us and we were mere puppets, gave me pain; but everything in our intercourse did give me pain.Whatever her tone with me happened to be, I could put no trust in it, and build no hope on it; and yet I went on against trust and against hope.Why repeat it a thousand times?So it always was."
"我打铃招呼上茶，于是那个带着那条神奇线索一样餐巾的伙计又出现了，他来来回回送来大约五十件饮茶的附属品，但却没看到茶的踪影。这些附属品包括一个茶盘、茶杯、茶托、碟子、刀叉（包括切肉用的刀叉）、各式各样的调羹、盐瓶、一个嵌在坚硬的铁盖之下，因此被保护得好好的、松软的小松饼。一点点松软的黄油躺在一大团荷兰芹上，很像躺在芦苇中的摩西，一条顶部洒满粉状材料的白面包，两个带有厨房火炉铁烙印记的三角形面包，最后是一把圆鼓鼓的家用茶壶：那个伙计拿着这些东西踉踉跄跄地进来了，脸上一副不堪重负、受苦受难的样子。送来这些东西之后，他离开了很长一段时间，最后终于拿着一个外表看起来很珍贵的盒子回来了，盒子里面装着像小树枝一样的茶叶。我把茶叶泡在热水里，然后用尽所有的器具，提取出一杯我也不知道是什么茶，递给了埃斯特拉。","I rang for the tea, and the waiter, reappearing with his magic clue, brought in by degrees some fifty adjuncts to that refreshment but of tea not a glimpse.A teaboard, cups and saucers, plates, knives and forks (including carvers), spoons (various), saltcellars, a meek little muffin confined with the utmost precaution under a strong iron cover, Moses in the bullrushes typified by a soft bit of butter in a quantity of parsley, a pale loaf with a powdered head, two proof impressions of the bars of the kitchen fire-place on triangular bits of bread, and ultimately a fat family urn: which the waiter staggered in with, expressing in his countenance burden and suffering.After a prolonged absence at this stage of the entertainment, he at length came back with a casket of precious appearance containing twigs.These I steeped in hot water, and so from the whole of these appliances extracted one cup of I don’t know what, for Estella."
"最后我们付了账，对那个伙计、马夫，还有女仆一一打赏——总之，旅馆上上下下都得到了小费，以致于他们反倒向我们投来鄙视和怨恨的目光。埃斯特拉的钱包变得轻多了——之后我们就坐上马车离开了。马车拐进了齐普塞德，叮叮当当地在纽盖特大街上行驶，不一会儿我们就来到了那让我感到羞耻的高墙之下。","The bill paid, and the waiter remembered, and the ostler not forgotten, and the chambermaid taken into consideration—in a word, the whole house bribed into a state of contempt and animosity, and Estella’s purse much lightened—we got into our post-coach and drove away.Turning into Cheapside and rattling up Newgate-street, we were soon under the walls of which I was so ashamed."
"“这是什么地方？”埃斯特拉问我。","“What place is that?” Estella asked me. "
"我先是假装无知，装成一开始没认出来，然后才告诉了她。她探出头去看了看，然后又把头缩回来，小声说道：“一群坏蛋！”无论如何，我都不会坦白告诉她说我来过这里。","I made a foolish pretence of not at first recognizing it, and then told her.As she looked at it, and drew in her head again, murmuring “Wretches!”I would not have confessed to my visit for any consideration."
"“贾格尔斯先生，”我利索地把话题转到了其他人的身上，说道，“他比伦敦任何人都更加熟知这个鬼地方的秘密，因此他很有名气。”","“Mr. Jaggers,” said I, by way of putting it neatly on somebody else, “has the reputation of being more in the secrets of that dismal place than any man in London.”"
"“我想，他对所有地方的秘密都掌握得比别人多。”埃斯特拉低声说道。","“He is more in the secrets of every place, I think,” said Estella, in a low voice."
"“我猜，你已经习惯经常见到他了吧？”","“You have been accustomed to see him often, I suppose?”"
"“从我记事时起，我就习惯了不时见到他。但是我现在就和我刚刚学会说话那时一样不了解他。你自己和他来往得怎么样？你和他相处得好吗？”","“I have been accustomed to see him at uncertain intervals, ever since I can remember.But I know him no better now, than I did before I could speak plainly.What is your own experience of him?Do you advance with him?”"
"“一旦习惯了他那种疑神疑鬼的行为举止之后，”我说道，“我就跟他相处得挺好的了。”","“Once habituated to his distrustful manner,” said I, “I have done very well.”"
"“你们俩关系很亲近吗？”","“Are you intimate?”"
"“我曾在他的私人住宅里和他吃过饭。”","“I have dined with him at his private house.”"
"“我猜想，”埃斯特拉停顿了一下又接着说道，“那一定是个古怪的地方。”","“I fancy,” said Estella, shrinking “that must be a curious place.”"
"“是个古怪的地方。”","“It is a curious place.”"
"我本应该谨慎地谈论我的监护人，即使是和她谈也不能太随意，但是要不是当时我们突然被煤气灯刺眼的光亮照得睁不开眼的话，我一定会继续那个话题，仔细描述一下那次在杰勒德街吃饭的情形。在这光亮持续的那段时间里，仿佛我之前那种不可名状的感觉又被照亮、被唤醒了。我们驶出这片光亮之后，有那么一小会儿，我仍然是恍恍惚惚的，仿佛我刚刚是置身于闪电中一样。","I should have been chary of discussing my guardian too freely even with her; but I should have gone on with the subject so far as to describe the dinner in Gerrard-street, if we had not then come into a sudden glare of gas.It seemed, while it lasted, to be all alight and alive with that inexplicable feeling I had had before; and when we were out of it, I was as much dazed for a few moments as if I had been in Lightning."
"于是我们又谈起了其他的话题，主要是关于我们马车正在驶过的这条路，谈谈路的这边是伦敦的哪些地方，路的那边又是伦敦的哪些地方。她告诉我说，对她而言，这个大城市几乎是完全陌生的，因为在她去法国之前她从来没有离开过郝维仙小姐居住的那片地区，而那时候往返法国时她也仅仅是经过伦敦而已。我问她，呆在这里的这段时间，我的监护人是否也监管着她。听了我的话，她斩钉截铁地说道：“但愿上帝不要让他来监管我！”然后没有再说别的了。","So, we fell into other talk, and it was principally about the way by which we were travelling, and about what parts of London lay on this side of it, and what on that.The great city was almost new to her, she told me, for she had never left Miss Havisham’s neighborhood until she had gone to France, and she had merely passed through London then in going and returning.I asked her if my guardian had any charge of her while she remained here?To that she emphatically said “God forbid!” and no more."
"我不可避免地发现她想要吸引我的注意，她成功地做到了。不过这项任务本来就不难，即使困难，她也早已经俘获了我的心了。然而这并没有让我更加开心，因为即使她不是出于别人精心安排我们俩在一起才这样做的，我也已经感觉到她之所以把我的心捧在手里是因为她故意选择这样做，而不是因为碾碎这颗心、抛弃这颗心会博得她任何一丝的柔情。","It was impossible for me to avoid seeing that she cared to attract me; that she made herself winning; and would have won me even if the task had needed pains.Yet this made me none the happier, for, even if she had not taken that tone of our being disposed of by others, I should have felt that she held my heart in her hand because she willfully chose to do it, and not because it would have wrung any tenderness in her, to crush it and throw it away."
"当我们经过哈默史密斯时，我指给她看马修·鄱凯特先生的住处。我跟她说这里离里士满不远，我希望我能不时地去看看她。","When we passed through Hammersmith, I showed her where Mr. Matthew Pocket lived, and said it was no great way from Richmond, and that I hoped I should see her sometimes."
"“哦，当然了，你要来看我，只要你觉得时间合适，就来看看我，我会跟那家人说起你的，实际上，我已经跟他们说起过你了。”","“Oh yes, you are to see me; you are to come when you think proper; you are to be mentioned to the family; indeed you are already mentioned.”"
"我问她，马上要接纳她的这个家庭是不是个人口很多的大家庭。","I inquired was it a large household she was going to be a member of?"
"“不是，只有两个人，一位母亲和她的女儿。那位母亲是一位有一定社会地位的贵妇人，不过这并不影响她增加她的收入。”","“No; there are only two; mother and daughter.The mother is a lady of some station, though not averse to increasing her income.”"
"“我想郝维仙小姐一定无法忍受这么快又和你分开了。”","“I wonder Miss Havisham could part with you again so soon.”"
"“这是郝维仙小姐为我做的众多安排之一，皮普，”埃斯特拉说着叹了口气，仿佛她已经疲倦了似的，“我将要时常给她写信，定期回去看她，向她报告我的情况——不仅是我，还有那些珠宝——因为现在它们几乎都是我的了。”","“It is a part of Miss Havisham’s plans for me, Pip,” said Estella, with a sigh, as if she were tired; “I am to write to her constantly and see her regularly and report how I go on—I and the jewels—for they are nearly all mine now.”"
"这是她第一次叫我的名字。当然，她是有意这样做的，她知道我对此会非常珍视的。","It was the first time she had ever called me by my name.Of course she did so, purposely, and knew that I should treasure it up."
"我们很快就来到里士满，到达了我们的目的地，那是一幢位于绿地旁边的房屋，呆板而又古老。以前这里曾经是宫廷所在地，每逢朝觐之日，这里便聚集了身着盛装、面施粉黛、衣缀挂饰的宫女和身穿锦绣大衣、腿上卷起长袜、袖口装饰着花边、手中紧握利剑的勇士们。房前的几株古树仍然被修整得整整齐齐，就像那些缀着圆环的盛装、带着波纹的假发以及僵硬的衣摆一样刻板、一样不自然。不过它们离自己在亡魂队伍中所分配到的席位已经不远了，它们不久就会加入到那个队伍，从此归于沉寂。","We came to Richmond all too soon, and our destination there, was a house by the Green; a staid old house, where hoops and powder and patches, embroidered coats rolled stockings ruffles and swords, had had their court days many a time.Some ancient trees before the house were still cut into fashions as formal and unnatural as the hoops and wigs and stiff skirts; but their own allotted places in the great procession of the dead were not far off, and they would soon drop into them and go the silent way of the rest."
"门铃发出一种苍老的响声——我敢说，当时这个门铃经常向房屋通报：身着绿色盛装的王妃驾到；手持镶嵌钻石宝剑的骑士驾到；脚蹬一双有红鞋跟、镶着蓝宝石的鞋子的夫人驾到——这响声在月光下听起来很庄重，随后两个身穿樱桃色衣服的侍女匆忙出来迎接埃斯特拉。很快，她的行李箱都被搬进了门，她向我伸出手来，笑了笑，说了声晚安，然后也进门去了。而我仍然站在那里，看着那幢房子，心想如果我能和她一起住在那里，我会有多幸福啊，同时我也明白，和她在一起我永远都不会幸福，我永远都只有痛苦。","A bell with an old voice—which I dare say in its time had often said to the house, Here is the green farthingale, Here is the diamondhilted sword, Here are the shoes with red heels and the blue solitaire,—sounded gravely in the moonlight, and two cherrycolored maids came fluttering out to receive Estella.The doorway soon absorbed her boxes, and she gave me her hand and a smile, and said good night, and was absorbed likewise.And still I stood looking at the house, thinking how happy I should be if I lived there with her, and knowing that I never was happy with her, but always miserable."
"我坐上了那辆要把我带回到哈默史密斯的马车，上车时，我的心很痛，而等到下车时，我的心却更痛了。在我们家门口，我看到了刚刚参加完一个小型舞会的小简·鄱凯特，她由她的小情人护送着回到家，我很羡慕她的小情人，尽管他还要受到弗洛普森的管束。","I got into the carriage to be taken back to Hammersmith, and I got in with a bad heart-ache, and I got out with a worse heart-ache.At our own door, I found little Jane Pocket coming home from a little party escorted by her little lover; and I envied her little lover, in spite of his being subject to Flopson."
"鄱凯特先生外出讲学去了，因为他是一个在家庭理财方面非常优秀的讲师。他所写的关于孩童和仆人管理的著作被认为是和这些主题相关的、最优秀的教科书。不过，鄱凯特太太在家，她遇到了一点麻烦，因为米勒斯不辞而别（她有个亲戚在步兵团），所以为了让宝宝安静下来，她拿来一个针盒子给宝宝把玩。结果很多针都不见了，丢失的那些针对一个这样年龄的病人来说，不管是外用还是当成补药一样吞下去，都是绰绰有余的。","Mr. Pocket was out lecturing; for, he was a most delightful lecturer on domestic economy, and his treatises on the management of children and servants were considered the very best text-books on those themes.But, Mrs. Pocket was at home, and was in a little difficulty, on account of the baby’s having been accommodated with a needle-case to keep him quiet during the unaccountable absence (with a relative in the Foot Guards) of Millers.And more needles were missing, than it could be regarded as quite wholesome for a patient of such tender years either to apply externally or to take as a tonic."
"鄱凯特先生因为他能给出非常优秀、实际的建议，能提出清晰合理的观点，并拥有非常明智的头脑而十分出名，而这名声并非言过其实。现在在我心痛之时，我想向他倾诉我的心事。但是我抬起头正好看到鄱凯特太太坐在那里读她的贵族谱，她已经把宝宝放到了床上，断定床才是解决问题的最好办法。我心想——好吧——算了，我不说了。","Mr. Pocket being justly celebrated for giving most excellent practical advice, and for having a clear and sound perception of things and a highly judicious mind, I had some notion in my heartache of begging him to accept my confidence.But, happening to look up at Mrs. Pocket as she sat reading her book of dignities after prescribing Bed as a sovereign remedy for baby, I thought—Well—No, I wouldn’t."
"第三十四章","Chapter 34"
"随着我逐渐适应我所继承的大笔遗产，我也不知不觉地开始注意到这大笔遗产对我，以及对我周围人的影响。它们对我自身性格产生了影响，虽然我尽可能地假装没有意识到，但我非常清楚，这种影响并非都是有益的。我对乔的所作所为让我长期处于一种不安的状态。一想到比迪，我的良心就根本无法安宁下来。有时当我在深夜里醒来——就像卡米拉那样——感到精神疲惫，我常常想，如果我从来没有和郝维仙小姐见过面，也许我会过得更好，更幸福，也许我早已长大成人，心满意足地呆在那个实在的老铁匠铺里，成为乔的合伙人。有多少个晚上，当我独自坐在那里看着炉火，心里就在想，毕竟这世间再也没有像铁匠铺里那样的炉火了，也再也没有像家中那样的灶火了。","As I had grown accustomed to my expectations, I had insensibly begun to notice their effect upon myself and those around me.Their influence on my own character, I disguised from my recognition as much as possible, but I knew very well that it was not all good.I lived in a state of chronic uneasiness respecting my behavior to Joe.My conscience was not by any means comfortable about Biddy.When I woke up in the night—like Camilla—I used to think, with a weariness on my spirits, that I should have been happier and better if I had never seen Miss Havisham’s face, and had risen to manhood content to be partners with Joe in the honest old forge.Many a time of an evening, when I sat alone looking at the fire, I thought, after all, there was no fire like the forge fire and the kitchen fire at home."
"但是，我所有的焦躁不安、心烦意乱都与埃斯特拉分不开，因此我真的陷入到了困惑当中：这些不安与烦恼有多少其实都是我自己造成的啊。也就是说，假设我没有继承遗产，但仍然满心想着埃斯特拉，我还是无法满意地对自己说我会比现在好到哪里去。另外，我也不会满意我的地位给他人带来的影响。我感知到——尽管非常模糊，但也许那就足够了——我的地位对任何人都是无益的，尤其是对赫伯特来说，毫无益处。我花钱大手大脚的习惯影响了他随和的性格，让他花费他负担不起的钱，腐蚀了他单纯、朴素的生活，让焦躁与悔恨扰乱了他内心的平静。我无意识中让鄱凯特家族的其他亲属们使出那些蹩脚的手段，对此我一点都不感到自责，因为小气本来就是他们的天性，即使这种天性没有被我唤醒，也会被其他任何一个人激发。但是赫伯特的情况非常不一样，每当我想到自己曾经给他带来的坏影响，心里就非常愧疚，我在他几乎没有家具的房间里塞满了不搭调的软垫家具，还安排了一个穿金色背心的复仇鬼供他差遣。","Yet Estella was so inseparable from all my restlessness and disquiet of mind, that I really fell into confusion as to the limits of my own part in its production.That is to say, supposing I had had no expectations, and yet had had Estella to think of, I could not make out to my satisfaction that I should have done much better.Now, concerning the influence of my position on others, I was in no such difficulty, and so I perceived—though dimly enough perhaps—that it was not beneficial to anybody, and, above all, that it was not beneficial to Herbert.My lavish habits led his easy nature into expenses that he could not afford, corrupted the simplicity of his life, and disturbed his peace with anxieties and regrets.I was not at all remorseful for having unwittingly set those other branches of the Pocket family to the poor arts they practiced: because such littlenesses were their natural bent, and would have been evoked by anybody else, if I had left them slumbering.But Herbert’s was a very different case, and it often caused me a twinge to think that I had done him evil service in crowding his sparely-furnished chambers with incongruous upholstery work, and placing the canary-breasted Avenger at his disposal."
"所以，随着享受小安逸不可避免地变成贪图大乐，我如今开始背负大量的债务。我一开始干什么，他也必然会效仿，所以他很快也债务缠身。遵循斯塔特普的建议，我们两个经过推选加入了一个名为“林中鸟”的俱乐部。我从来没有猜出这个团体设立的宗旨是什么，成员们所做的无非是每两个星期聚在一起奢侈地大吃一顿，饭后使出浑身解数来争论不休，还让六个侍者醉倒在楼梯上。我知道这些聚会永远都要达到这种程度才算是令人满意，才算是圆满结束，但我和赫伯特除了聚会一开始提到的那句祝酒词之外，别的一无所知。那句祝酒词是这样说的：“先生们，愿‘林中鸟’俱乐部的成员之间永远保有像现在这样的美好情谊。”","So now, as an infallible way of making little ease great ease, I began to contract a quantity of debt.I could hardly begin but Herbert must begin too, so he soon followed.At Startop’s suggestion, we put ourselves down for election into a club called The Finches of the Grove: the object of which institution I have never divined, if it were not that the members should dine expensively once a fortnight, to quarrel among themselves as much as possible after dinner, and to cause six waiters to get drunk on the stairs.I Know that these gratifying social ends were so invariably accomplished, that Herbert and I understood nothing else to be referred to in the first standing toast of the society: which ran “Gentlemen, may the present promotion of good feeling ever reign predominant among the Finches of the Grove.”"
"林中鸟会员们花起钱来简直是荒唐（我们聚餐所在的饭店是科芬园饭店），我有幸加入林中鸟俱乐部之后见到的第一位会员竟是本特利·德鲁莫尔。当时他正驾驶着自己的马车在镇上乱窜，给街角的不少灯柱子带来了很大的破坏。有时候，他会从车箱帘子后面一头栽下来。我有一次就看见他在“林中鸟”俱乐部门口以这种偶然的方式从马车上滚落下来——就像煤块一样。但是在这里我没有太大的期望，因为我不是一个会员，根据这个团体的神圣章程，我必须到成年才能成为一名会员。","The Finches spent their money foolishly (the Hotel we dined at was in Covent-garden), and the first Finch I saw, when I had the honor of joining the Grove, was Bentley Drummle: at that time floundering about town in a cab of his own, and doing a great deal of damage to the posts at the street corners.Occasionally, he shot himself out of his equipage head-foremost over the apron; and I saw him on one occasion deliver himself at the door of the Grove in this unintentional way—like coals.But here I anticipate a little for I was not a Finch, and could not be, according to the sacred laws of the society, until I came of age."
"我对自己的财力很有信心，所以我愿意承担赫伯特的花费，但是赫伯特自尊心很强，我无法向他提出这样的建议。于是，他处处犯难，然后继续四处寻找解决办法。当我们逐渐养成了相伴熬夜的习惯时，我注意到早餐时他用沮丧的眼神观望四周；将近中午时，他看起来有了些希望；吃晚饭的时候他又低落了；晚饭之后，他似乎是清清楚楚地看到了远方的财富；接近午夜时分，他似乎马上就能得到那笔财富了；大约凌晨两点的时候，他又再度陷入深深的沮丧之中，口口声声说要买上一把来复枪到美洲去，靠训猎水牛来发财。","In my confidence in my own resources, I would willingly have taken Herbert’s expenses on myself; but Herbert was proud, and I could make no such proposal to him.So, he got into difficulties in every direction, and continued to look about him.When we gradually fell into keeping late hours and late company, I noticed that he looked about him with a desponding eye at breakfast-time; that he began to look about him more hopefully about mid-day; that he drooped when he came into dinner; that he seemed to descry Capital in the distance rather clearly, after dinner; that he all but realized Capital towards midnight; and that at about two o’clock in the morning, he became so deeply despondent again as to talk of buying a rifle and going to America, with a general purpose of compelling buffaloes to make his fortune."
