"第一章 矛盾的信件","CHAPTER I CONTRADICTORY LETTERS"
"“好了，杰克，”西蒙·福特说道，“究竟是不是鬼火，我们会努力找到它的，你必须帮助我们。”","“Well, Jack,” said Simon Ford, “Will-o’-the-Wisp or not, we shall try to find it, and you must help us.”"
"“如果您不小心的话，您会陷入困境的，福特先生！”杰克·瑞安回答道。","“You’ll get into a scrap if you don’t take care, Mr. Ford!” responded Jack Ryan."
"“我们会处理好的，杰克！”","“We’ll see about that, Jack!”"
"我们可以很容易想象到新阿伯福伊尔这片领地是如何很快地被福特一家熟悉，特别是被哈里所熟悉的。他知晓这里所有最为隐秘的复杂细节。他甚至能说出煤矿的哪一处对应着地上的哪一处。他知道在这个煤层上是克莱德湾，它延伸到洛蒙德湖和卡特琳湖。那些柱子支撑着格兰扁山脉的一个支脉。这个洞穴在邓巴顿被用作地下室。巴勒赫铁路从这片大水塘上方经过。这里是苏格兰海岸的终点。那是大海的起点，在春分和秋分的大风时节能清晰地听见海水的翻腾声。哈里在这些天然地下墓穴里是一名一流的向导，那些阿尔卑斯山的向导白天在雪山上所做的一切，他凭借惊人的直觉在这黑暗的煤矿里也能做到。","We may easily imagine how soon this domain of New Aberfoyle became familiar to all the members of the Ford family, but more particularly to Harry.He learnt to know all its most secret ins and outs.He could even say what point of the surface corresponded with what point of the mine.He knew that above this seam lay the Firth of Clyde, that there extended Loch Lomond and Loch Katrine.Those columns supported a spur of the Grampian mountains.This vault served as a basement to Dumbarton.Above this large pond passed the Balloch railway.Here ended the Scottish coast.There began the sea, the tumult of which could be distinctly heard during the equinoctial gales.Harry would have been a first-rate guide to these natural catacombs, and all that Alpine guides do on their snowy peaks in daylight he could have done in the dark mine by the wonderful power of instinct."
"他喜欢新阿伯福伊尔。许多次，他把灯卡在他的帽子上，深入到煤矿的最深处。他熟练操纵着独木舟去勘探矿里的水塘。他甚至去打猎，因为许多飞鸟被引到了地下——针尾鸭、沙锥鸟、鸭子，它们以在深水里成群游荡的鱼为生。哈里的眼睛似乎是为黑暗而生，就像水手的眼睛是为距离而生一样。然而，哈里所做的这一切都是被一种强大的动力所驱使着，即找到那个神秘的生灵。严格说来，它的介入救了他和他朋友们的性命。他会成功吗？如果预感可信的话，他肯定会成功；如果从他仍收效甚微的调查结果来判断，则肯定不会成功。","He loved New Aberfoyle.Many times, with his lamp stuck in his hat, did he penetrate its furthest depths.He explored its ponds in a skillfully-managed canoe.He even went shooting, for numerous birds had been introduced into the crypt—pintails, snipes, ducks, who fed on the fish which swarmed in the deep waters.Harry’s eyes seemed made for the dark, just as a sailor’s are made for distances.But all this while Harry felt irresistibly animated by the hope of finding the mysterious being whose intervention, Strictly speaking, had saved himself and his friends.Would he succeed?He certainly would, if presentiments were to be trusted; but certainly not, if he judged by the success which had as yet attended his researches."
"那些在发现新阿伯福伊尔之前针对老工头一家发动的袭击，再没发生过。","The attacks directed against the family of the old overman, before the discovery of New Aberfoyle, had not been renewed."
"第十一章　命悬一线","CHAPTER XI HANGING BY A THREAD"
"尽管福特一家这样过着幸福美满的生活，但不难看出，生性严肃的哈里变得越来越沉默寡言了。即使杰克·瑞安动用他所有的风趣幽默以及极富感染力的嬉戏方式，哈里也未能高兴起来。","Although in this way the Ford family led a happy and contented life, yet it was easy to see that Harry, naturally of a grave disposition, Became more and more quiet and reserved.Even Jack Ryan, with all his good humor and usually infectious merriment, failed to rouse him to gayety of manner."
"一个星期天——那是在六月——两个朋友一起在马尔科姆湖湖边散步。煤城歇工了。上面的世界正是暴风雨天气。滂沱的雨水倾泻而下，沉闷的蒸汽笼罩着大地，空气几乎令人窒息。","One Sunday—it was in the month of June—the two friends were walking together on the shores of Loch Malcolm.Coal Town rested from labor.In the world above, stormy weather prevailed.Violent rains fell, and dull sultry vapors brooded over the earth; the atmosphere was most oppressive."
"地下的煤城极其平静，无风无雨。气温温和宜人，没有狂风暴雨的迹象。从斯特林前来的旅行者络绎不绝，他们想来享受煤矿幽深处平静而新鲜的空气，这有什么奇怪的呢？","Down in Coal Town there was perfect calm; no wind, no rain.A soft and pleasant temperature existed instead of the strife of the elements which raged without.What wonder then, that excursionists from Stirling came in considerable numbers to enjoy the calm fresh air in the recesses of the mine?"
"电盘发出的明亮光线可能会令大不列颠的太阳嫉妒。太阳本该光芒四射，然而却常被雾遮盖着。杰克·瑞安一直谈论着从他们身边经过的嘈杂拥挤的游客，但是哈里根本没有注意他在说些什么。","The electric discs shed a brilliancy of light which the British sun, oftener obscured by fogs than it ought to be, might well envy.Jack Ryan kept talking of these visitors, who passed them in noisy crowds, but Harry paid very little attention to what he said."
"“我说，瞧瞧，哈里！”杰克叫喊道，“瞧，有这么多人来参观我们这里！高兴点，老朋友！为这个好地方更自豪些吧。如果你看起来这么闷闷不乐，你会令这些外面来的人们以为你嫉妒他们在地上的生活。”","“I say, do look, Harry!” cried Jack.“See what numbers of people come to visit us!Cheer up, old fellow!Do the honors of the place a little better.If you look so glum, you’ll make all these outside folks think you envy their life above-ground.”"
"“别管我，杰克，”哈里回答道，“你的欢乐足以代表我们俩的欢乐，我确信，那足够了。”","“Never mind me, Jack,” answered Harry.“You are jolly enough for two, I’m sure; that’s enough.”"
"“如果说我没有感觉到你的忧郁正蔓延到我全身，那我就被绞死好了！”杰克嚷道，“告诉你，我的眼睛正变得黯淡无光，嘴唇紧绷在一起，笑声卡在喉咙里，我忘记了我所有的歌。说吧，伙计，你怎么了？”","“I’ll be hanged if I don't feel your melancholy creeping over me though!” exclaimed Jack.“I declare my eyes are getting quite dull, my lips are drawn together, my laugh sticks in my throat; I’m forgetting all my songs.Come, man, what’s the matter with you?”"
"“你很清楚的，杰克。”","“You know well enough, Jack.”"
"“什么？那件旧事？”","“What? the old story?”"
"“是的，还是那些念头总缠扰着我。”","“Yes, the same thoughts haunt me.”"
"“啊，可怜的朋友！”杰克耸耸肩说道，“要是你像我一样，将所有的怪事算到煤矿里的那些小妖怪头上，你心里会更轻松些的。”","“Ah, poor fellow!” said Jack, shrugging his shoulders.“If you would only do like me, and set all the queer things down to the account of the goblins of the mine, you would be easier in your mind.”"
"“但是，杰克，你很清楚这些小妖怪仅仅存在于你的想象中。自从工程恢复后，一个小妖怪都没见到过。”","“But, Jack, you know very well that these goblins exist only in your imagination, and that, since the works here have been reopened, not a single one has been seen.”"
"“的确那样，哈里。但就算没有见到精灵，我们也没看到能让这些奇怪的事情水落石出的任何其他人。","“That’s true, Harry; but if no spirits have been seen, neither has anyone else to whom you could attribute the extraordinary doings we want to account for.”"
"“我会找出他们的。”","“I shall discover them.”"
"“噢，哈里！哈里！要抓住新阿伯福伊尔的精灵们可不容易啊！”","“Ah, Harry!Harry!It’s not so easy to catch the spirits of New Aberfoyle!”"
"“我会找到你所说的那些精灵。”哈里用一种坚定不移的语气说道。","“I shall find out the spirits as you call them,” said Harry, In a tone of firm conviction."
"“你认为你有能力惩治它们吗？”“既要惩治他们也要奖赏他们。记住，一只手将我们困在那条通道里，另一只手则解救了我们！我不会这么快忘记的。”","“Do you expect to be able to punish them?”“Both punish and reward.Remember, if one hand shut us up in that passage, another hand delivered us!I shall not soon forget that.”"
"“但是，哈里，你如何确信这两只手不会是属于同一个人呢？”","“But, Harry, how can we be sure that these two hands do not belong to the same body?”"
"“是什么让你产生这种想法的呢，杰克？”哈里问道。","“What can put such a notion in your head, Jack?” asked Harry."
"“嗯，我不知道。生活在这些洞里的生物，哈里，难道你不明白吗？他们不可能和我们一样，明白吗？”","“Well, I don’t know.Creatures that live in these holes, Harry, don’t you see? they can’t be made like us, eh?”"
"“但是他们确实和我们一样，杰克。”","“But they are just like us, Jack.”"
"“噢，不！别那么说，哈里！“也许，某个疯子设法来过这儿一次。”","“Oh, no! don’t say that, Harry!Perhaps some madman managed to get in for a time.”"
"“一个疯子！疯子不会有这样环环相扣的计划，也不会在毁掉梯子后不停地伤害我们。”","“A madman!No madman would have formed such connected plans, or done such continued mischief as befell us after the breaking of the ladders.”"
"“好吧，但不管怎样，在最近三年里，他没有伤害过你，哈里，或是你身边的任何人。”","“Well, but anyhow he has done no harm for the last three years, either to you, Harry, or any of your people.”"
"“没关系，杰克，”哈里回答道，“我相信这个心怀恶意的生灵，无论是谁，绝没有放弃他的恶意。我很难解释是什么让我坚信这些。但不管怎么样，为了新的工程，我必须要知道他是谁以及他从哪儿来。”","“No matter, Jack,” replied Harry; “I am persuaded that this malignant being, whoever he is, has by no means given up his evil intentions.I can hardly say on what I found my convictions.But at any rate, for the sake of the new works, I must and will know who he is and whence he comes.”"
"“你是说为了新的工程？”杰克非常惊讶地问道。","“For the sake of the new works did you say?” asked Jack, considerably surprised."
"“我是这么说的，杰克，”哈里回答道，“我可能弄错了。但是，在我看来，所发生的一切证明在这个煤矿里有人想与我们背道而驰。这个问题我考虑了很久，我几乎可以确信。想想这一连串无法解释的状况竟如此不可思议地联系在一起。一开始，那封与我父亲的信相矛盾的匿名信马上可证明某个人已经察觉到我们的计划，并试图阻碍计划的完成。斯塔尔先生前来多查特矿井看我们。他和我一走进矿井，一块巨大的石头就朝我们扔来，并且，亚罗井的梯子也被毁掉了，切断了通道。我们开始勘探。一项可以证明新矿脉存在的实验由于裂缝被堵上而无法进行。尽管如此，我们仍进行了检测，发现了矿脉。我们按原路返回时，遇到了一股巨大的气流，我们的灯摔坏了，我们彻底陷入黑暗中。尽管如此，我们沿着黑暗的通道前行，到达入口处时才发现入口被堵住了。就在那儿，我们被困住了。现在，杰克，从所有这些事情中，你难道看不出一个邪恶的意图吗？啊，是的，相信我，某个至今仍然隐形的生灵隐藏在煤矿里，但并不是你所坚持认为的超自然生灵。出于某种只有他本人知道的原因，他竭力阻止我们进入煤矿。我说的是“过去在那儿”吗？我内心确定他仍然在那儿，并可能为我们策划着某个可怕的灾难。即使冒着生命危险，杰克，我也一定要找出他。”","“I said so, Jack,” returned Harry.“I may be mistaken, but, to me, all that has happened proves the existence of an interest in this mine in strong opposition to ours.Many a time have I considered the matter; I feel almost sure of it.Just consider the whole series of inexplicable circumstances, so singularly linked together.To begin with, the anonymous letter, contradictory to that of my father, at once proves that some man had become aware of our projects, and wished to prevent their accomplishment.Mr. Starr comes to see us at the Dochart pit.No sooner does he enter it with me than an immense stone is cast upon us, and communication is interrupted by the breaking of the ladders in the Yarrow shaft.We commence exploring.An experiment, by which the existence of a new vein would be proved, is rendered impossible by stoppage of fissures.Notwithstanding this, the examination is carried out, the vein discovered.We return as we came, a prodigious gust of air meets us, our lamp is broken, utter darkness surrounds us.Nevertheless, we make our way along the gloomy passage until, on reaching the entrance, we find it blocked up.There we were—imprisoned.Now, Jack, don’t you see in all these things a malicious intention?Ah, yes, believe me, some being hitherto invisible, but not supernatural, as you will persist in thinking, was concealed in the mine.For some reason, known only to himself, he strove to keep us out of it.WAS there, did I say?I feel an inward conviction that he is there still, and probably prepares some terrible disaster for us.Even at the risk of my life, Jack, I am resolved to discover him.”"
"哈里说话时口吻极为认真，深深地震撼了他的同伴。“好吧，哈里，”他说道，“如果非得要我同意你的一些观点的话，难道你不承认那些给你送去面包和水的某个妖精或棕仙，是一个——”","Harry spoke with an earnestness which strongly impressed his companion.“Well, Harry,” said he, “if I am forced to agree with you in certain points, won’t you admit that some kind fairy or brownie, by bringing bread and water to you, was the means of—” "
"“杰克，我的朋友，”哈里打断他的话，“我相信煤矿里存在着一个你坚持称它是精灵的好人，就像我们提到的那个坏蛋一样，肯定是存在的，而我打算在煤矿的尽头找到他们。”","“Jack, my friend,” interrupted Harry, “it is my belief that the friendly person, whom you will persist in calling a spirit, exists in the mine as certainly as the criminal we speak of, and I mean to seek them both in the most distant recesses of the mine.”"
"“但是，”杰克问道，“你有任何可能的线索去进行搜寻吗？”","“But,” inquired Jack, “have you any possible clew to guide your search?”"
"“我可能有吧。听我说！新阿伯福伊尔往西五英里处，有块支撑着本洛蒙德山峰的坚固岩石，岩石下有一个天然的井，它垂直下到矿脉深处。一星期前我弄清了这个井的深度。在探测矿井时，当我俯下身往下放铅垂线时，似乎感觉到里面的空气被搅动了，就像被巨大的翅膀拍击过一样。”","“Perhaps I have.Listen to me!Five miles west of New Aberfoyle, under the solid rock which supports Ben Lomond, there exists a natural shaft which descends perpendicularly into the vein beneath.A week ago I went to ascertain the depth of this shaft.While sounding it, and bending over the opening as my plumb-line went down, it seemed to me that the air within was agitated, as though beaten by huge wings.”"
"“肯定是某种鸟在下面的水平巷道里迷路了。”杰克回答道。","“Some bird must have got lost among the lower galleries,” replied Jack."
"“但那还没完，杰克。今天早上我回到那个地方，很专注地听了听，我想我察觉到了某种类似呻吟的声音。”","“But that is not all, Jack.This very morning I went back to the place, and, listening attentively, I thought I could detect a sound like a sort of groaning.”"
"“呻吟！”杰克叫道，“那肯定是瞎扯，那是一股气流——除非确定是某个幽灵——”","“Groaning!” cried Jack, “that must be nonsense; it was a current of air—unless indeed some ghost—” "
"“我明天就会知道那是什么了。”哈里说道。","“I shall know to-morrow what it was,” said Harry."
"“明天？”杰克看着他的朋友问道。","“To-morrow?” answered Jack, looking at his friend."
"“是的，明天我会下到那个深井里去。”","“Yes; to-morrow I am going down into that abyss.”"
"“哈里！那将是上苍的诱惑。”","“Harry! that will be a tempting of Providence.”"
"“不，杰克，上苍会在我努力的过程中帮助我的。明天，你和我们几个同伴随我一起去那个井。我会在我身上系一根长绳子，你们可以用绳子把我放下去，并在我发出信号后把我拉上来。我可以信赖你吧，杰克？”","“No, Jack, Providence will aid me in the attempt.Tomorrow, you and some of our comrades will go with me to that shaft.I will fasten myself to a long rope, by which you can let me down, and draw me up at a given signal.I may depend upon you, Jack?”"
"“好吧，哈里，”杰克摇着头说道，“我会按你的想法去做，但同时我要告诉你，你的确错了。”","“Well, Harry,” said Jack, shaking his head, “I will do as you wish me; but I tell you all the same, you are very wrong.”"
"“不冒险就不会有所得。”哈里用一种坚定的口吻说道，“那么，明早六点。别惊动别人，再见了！”","“Nothing venture nothing win,” said Harry, in a tone of decision.“To-morrow morning, then, at six o’clock.Be silent, and farewell!”"
"必须承认杰克·瑞安的担忧并不是毫无根据的。如果要寻找的敌人就隐藏在他即将要下去的矿井底部，哈里将会置身于极度的危险之中。尽管这种可能性似乎并不大。","It must be admitted that Jack Ryan’s fears were far from groundless.Harry would expose himself to very great danger, supposing the enemy he sought for lay concealed at the bottom of the pit into which he was going to descend.It did not seem likely that such was the case, however."
"“究竟为什么，”杰克．瑞安反复说道，“他要不厌其烦地弄清这些事情？这些事情用煤矿里超自然力的介入就非常容易而简单地解释清楚。”","“Why in the world,” repeated Jack Ryan, “should he take all this trouble to account for a set of facts so very easily and simply explained by the supernatural intervention of the spirits of the mine?”"
"但是，尽管他反对这样的安排，第二天早上，杰克·瑞安和他队里的三名矿工还是跟着哈里到达了那个可疑的井口。哈里对詹姆斯·斯塔尔和老工头都没提过他的打算。杰克十分谨慎，什么也没有说。","But, notwithstanding his objections to the scheme, Jack Ryan and three miners of his gang arrived next morning with Harry at the mouth of the opening of the suspicious shaft.Harry had not mentioned his intentions either to James Starr or to the old overman.Jack had been discreet enough to say nothing."
"哈里在自己身上系了一根长约两百英尺的绳子。这根绳子并不是特别粗，但非常结实——足够承受他的重量。他的朋友们将要把他下放到深坑里，他拉拉绳子便是把他拉回去的信号。","Harry had provided himself with a rope about 200 feet long.It was not particularly thick, but very strong—sufficiently so to sustain his weight.His friends were to let him down into the gulf, and his pulling the cord was to be the signal to withdraw him."
"通向这个矿井或水井的开口宽十二英尺。一根梁就像一座桥那样横在那里，这样搭在梁上的绳子就能悬吊在洞口中央，并可避免哈里在下沉的过程中撞到四壁。","The opening into this shaft or well was twelve feet wide.A beam was thrown across like a bridge, so that the cord passing over it should hang down the center of the opening, and save Harry from striking against the sides in his descent."
"他准备好了。","He was ready."
"“你仍然决定要去勘探这个深井吗？”杰克·瑞安低声说道。","“Are you still determined to explore this abyss?” whispered Jack Ryan."
"“是的，我决定了，杰克。”","“Yes, I am, Jack.”"
"绳子绕在哈里的大腿上和胳膊下，以避免他摇晃。他就被这样支撑着，并且能自由地使用他的双手。他的腰带上挂着一盏安全灯和一把装在皮套里的锋利大刀。","The cord was fastened round Harry’s thighs and under his arms, to keep him from rocking.Thus supported, he was free to use both his hands.A safety-lamp hung at his belt, also a large, strong knife in a leather sheath."
"哈里往前走到梁的中间，梁上绕着绳子。随后，他的朋友们开始放他下去，他缓缓地下沉到矿井里。由于绳子的缘故，他一圈圈地轻轻晃动，他的灯光依次落在了整面侧壁上，这使他能仔细地检查。这些岩壁由矿井的煤构成，很光滑，以至于人无法在上面攀爬。","Harry advanced to the middle of the beam, around which the cord was passed.Then his friends began to let him down, and he slowly sank into the pit.As the rope caused him to swing gently round and round, the light of his lamp fell in turns on all points of the side walls, so that he was able to examine them carefully.These walls consisted of pit coal, and so smooth that it would be impossible to ascend them."
"哈里估算他正以每秒一英尺的速度下滑，因此他有时间来留意他的四周，并准备应对任何事件。","Harry calculated that he was going down at the rate of about a foot per second, so that he had time to look about him, and be ready for any event."
"两分钟内——也就是说，当他下滑到一百二十英尺深处时，没有任何意外发生。","During two minutes—that is to say, to the depth of about 120 feet, the descent continued without any incident."
"没有从矿井侧壁上凿出来的侧水平巷道，岩壁逐渐变窄，成了漏斗状。但哈里开始感觉到一股较新鲜的空气从下面升上来，他由此断定，矿井底部与煤矿最低处的某条水平巷道相通。","No lateral gallery opened from the side walls of the pit, which was gradually narrowing into the shape of a funnel.But Harry began to feel a fresher air rising from beneath, whence he concluded that the bottom of the pit communicated with a gallery of some description in the lowest part of the mine."
"绳子继续向下放。四周一片漆黑和死寂。如果有任何活着的生灵在这个幽深而神秘的深井里寻求庇护，那么无论是离开还是呆在这里，他的任何活动都不会丝毫暴露他的存在。","The cord continued to unwind.Darkness and silence were complete.If any living being whatever had sought refuge in the deep and mysterious abyss, he had either left it, or, if there, by no movement did he in the slightest way betray his presence."
"哈里越往下去越觉得可疑，现在他抽出刀握在右手里。在一百八十英尺深的地方，他的脚触碰到了底部，绳子也松了，没有再往下沉。","Harry, becoming more suspicious the lower he got, now drew his knife and held it in his right hand.At a depth of 180 feet, his feet touched the lower point and the cord slackened and unwound no further."
"哈里更为顺畅地呼吸了片刻。他曾担心的一点是，在他下滑过程中，绳子会在他上方被剪断。但是，他没有在井壁上看到任何可能隐藏在井壁后的人影。","Harry breathed more freely for a moment.One of the fears he entertained had been that, during his descent, the cord might be cut above him, but he had seen no projection from the walls behind which anyone could have been concealed."
"深井的底部很干燥。哈里把灯从他腰带上取下来，绕这个地方走了一圈，意识到他的猜测是正确的。","The bottom of the abyss was quite dry.Harry, taking the lamp from his belt, walked round the place, and perceived he had been right in his conjectures."
"一条极其狭窄的通道从旁边通向矿井外。他不得不弯下腰来往里看，并只能顺着通道爬进去。但因为他想看看通道通往哪个方向，是否通向另一个深渊，于是他趴在地上开始用手和膝盖往前爬。","An extremely narrow passage led aside out of the pit.He had to stoop to look into it, and only by creeping could it be followed; but as he wanted to see in which direction it led, and whether another abyss opened from it, he lay down on the ground and began to enter it on hands and knees."
"很快，一个障碍物阻挡了他的前进。他摸了摸，猜想是一具人的身体躺在通道中。一阵惊恐突然袭来，使他立刻退了退，但他又一次前行，并更小心地摸索着。","An obstacle speedily arrested his progress.He fancied he could perceive by touching it, that a human body lay across the passage.A sudden thrill of horror and surprise made him hastily draw back, but he again advanced and felt more carefully."
"他的感觉没有欺骗他，的确有一个人躺在那儿。尽管四肢冰凉，但他很快弄清那个人身上仍有生命的热度。哈里没花多少时间来进行判断便把那个人从井底深处拖了出来。他抓起他的灯，把灯光投向他发现的东西上，立刻惊叫道，“哎呀，是个孩子！”","His senses had not deceived him; a body did indeed lie there; and he soon ascertained that, although icy cold at the extremities, there was some vital heat remaining.In less time than it takes to tell it, Harry had drawn the body from the recess to the bottom of the shaft, and, seizing his lamp, he cast its lights on what he had found, exclaiming immediately, “Why, it is a child!”"
"孩子仍有呼吸，但非常微弱，以至于哈里认为他的呼吸会随时停止。片刻都不能耽搁，他必须把这个可怜的小家伙带出矿井，并尽快带他回到他母亲身边。他急忙把绳子系在他的腰上，卡住灯，用他的左臂把那个孩子紧紧地抱在他的胸前，并腾出他的右手来握住刀。他发出之前说好的信号，拉了拉绳子。","The child still breathed, but so very feebly that Harry expected it to cease every instant.Not a moment was to be lost; he must carry this poor little creature out of the pit, and take it home to his mother as quickly as he could.He eagerly fastened the cord round his waist, stuck on his lamp, Clasped the child to his breast with his left arm, and, keeping his right hand free to hold the knife, he gave the signal agreed on, to have the rope pulled up."
"绳子马上收紧，他开始往上升。哈里加倍小心地留意着四周，因为现在处在危险中的并不只是他自己。","It tightened at once; he began the ascent.Harry looked around him with redoubled care, for more than his own life was now in danger."
"上升的途中只花了几分钟时间，一切顺利，似乎没遭到任何事故的威胁。这时他突然听到从下面传来一阵极大的气流声。往下看时，他在黑暗中隐约觉察到有一个大大的物体在上升，并超过了他；那个物体一边往上升一边攻击他。","For a few minutes all went well, no accident seemed to threaten him, when suddenly he heard the sound of a great rush of air from beneath; and, looking down, he could dimly perceive through the gloom a broad mass arising until it passed him, striking him as it went by."
"这是一只巨大的鸟——他没见过的种类。它凭借有力的翅膀往上飞，随后停下，盘旋着，猛地向下冲向哈里，而哈里只能挥动着手里的刀。他尽力保护着自己和那个孩子，但是这只凶猛的鸟似乎总是朝他一人进攻。由于害怕绳子会被弄断，哈里不能随意攻击它。哈里一边持续着战斗，一边竭尽全力大叫着，希望他的朋友们可以听见。","It was an enormous bird—of what sort he could not see; it flew upwards on mighty wings, then paused, hovered, and dashed fiercely down upon Harry, who could only wield his knife in one hand.He defended himself and the child as well as he could, but the ferocious bird seemed to aim all its blows at him alone.Afraid of cutting the cord, he could not strike it as he wished, and the struggle was prolonged, while Harry shouted with all his might in hopes of making his comrades hear."
"他很快知道他们听见了，因为他们向上拉绳子的速度更快了；距上面还有大约八十英尺的。那只鸟停止了直接攻击，但却冲向绳子，并附在他够不到的地方猛啄绳子，竭力要啄断它。这使哈里的处境更加恐怖和危险了。","He soon knew they did, for they pulled the rope up faster; a distance of about eighty feet remained to be got over.The bird ceased its direct attack, but increased the horror and danger of his situation by rushing at the cord, clinging to it just out of his reach, and endeavoring, by pecking furiously, to cut it."
"哈里感受到极度的恐惧。绳子中的一股断了，他们下沉了一些。","Harry felt overcome with terrible dread.One strand of the rope gave way, and it made them sink a little."
"一声绝望的尖叫从他嘴里发出。","A shriek of despair escaped his lips."
"第二股也断开了，现在两个人的重量暂时悬吊在半根绳子上。","A second strand was divided, and the double burden now hung suspended by only half the cord."
"哈里扔掉他的刀，在绳子断掉的瞬间用超常的力量成功地用右手抓住了被鸟喙啄断的绳子的上半截。但是，尽管他用力抓着绳子，他仍能感觉到绳子从他指间一点一点地往下滑。","Harry dropped his knife, and by a superhuman effort succeeded, at the moment the rope was giving way, in catching hold of it with his right hand above the cut made by the beak of the bird.But, powerfully as he held it in his iron grasp, he could feel it gradually slipping through his fingers."
"他本可以用他的双手来抓住绳子，但那样他左臂里的孩子就会丧命。他有过这个想法，但他立刻打消了，尽管他清楚自己不可能坚持到被拖到地上的时候。他闭了一会儿眼睛，以为他们即将掉回到深井里。","He might have caught it, and held on with both hands by sacrificing the life of the child he supported in his left arm.The idea crossed him, but was banished in an instant, although he believed himself quite unable to hold out until drawn to the surface.For a second he closed his eyes, believing they were about to plunge back into the abyss."
"他再一次往上看，大鸟消失了。他的手握着断开的绳子的最末端——正当他抽搐的手快要没力时，他被同伴们抓住了，和那个孩子一起被放在了地上。","He looked up once more; the huge bird had disappeared; his hand was at the very extremity of the broken rope—when, just as his convulsive grasp was failing, he was seized by the men, and with the child was placed on the level ground."
"可怕的紧张焦虑消除了，哈里反应了过来，接着昏倒在他朋友们的怀中。","The fearful strain of anxiety removed, a reaction took place, and Harry fell fainting into the arms of his friends."
"第十二章 被收养的内尔","CHAPTER XII NELL ADOPTED"
"两小时之后，还没清醒的哈里和仍然虚弱的孩子被杰克·瑞安和他的同伴们带回了村舍。当老工头听他们讲述冒险经历时，马奇精心照料着儿子和被他从煤矿里救回来的那个可怜人，尽力满足他们的需求。","A couple of hours later, Harry still unconscious, and the child in a very feeble state, were brought to the cottage by Jack Ryan and his companions.The old overman listened to the account of their adventures, while Madge attended with the utmost care to the wants of her son, and of the poor creature whom he had rescued from the pit."
"哈里以为她只是一个孩子，但她却是一个十五六岁的少女。","Harry imagined her a mere child, but she was a maiden of the age of fifteen or sixteen years."
"她用茫然而好奇的眼神盯着他们。她那因苦难而消瘦的脸、可能因从未见过阳光而苍白的脸色，以及那虚弱纤细的身材，立即使她显得与众不同而引人注意。杰克·瑞安声称，在他看来这个女孩就像是一个极其有趣的幽灵。","She gazed at them with vague and wondering eyes; and the thin face, drawn by suffering, the pallid complexion, which light could never have tinged, and the fragile, slender figure, gave her an appearance at once singular and attractive.Jack Ryan declared that she seemed to him to be an uncommonly interesting kind of ghost."
"一定是由于她一直都生活在一种异常奇怪的环境中，所以她似乎根本不属于人类。她的面容有一种不寻常的特征，她那几乎不能忍受村舍灯光的眼睛困惑地打量着四周。在她眼里似乎一切都是新奇的。","It must have been due to the strange and peculiar circumstances under which her life hitherto had been led, that she scarcely seemed to belong to the human race.Her countenance was of a very uncommon cast, and her eyes, hardly able to bear the lamp-light in the cottage, glanced around in a confused and puzzled way, as if all were new to them."
"这个奇特的人躺在马奇的床上，像从一次长长的睡眠中苏醒过来一样。这时，这个苏格兰老妇人开始问她一些问题。","As this singular being reclined on Madge’s bed and awoke to consciousness, as from a long sleep, the old Scotchwoman began to question her a little."
"“他们怎么称呼你，亲爱的？”她说。","“What do they call you, my dear?” said she."
"“内尔。”女孩回答道。","“Nell.” replied the girl."
"“你觉得哪儿不舒服吗，内尔？”","“Do you feel anything the matter with you, Nell?”"
"“我饿了。我一直没吃东西，自从——自从——”。","“I am hungry.I have eaten nothing since—since—”."
"内尔说了这几句话，像一个不善言辞的人。这几句话是盖尔语，西蒙和他的家人经常讲这种语言。马奇立即给她拿来一些食物；她显然饿极了。人们无从得知她在矿井里呆了多久。","Nell uttered these few words like one unused to speak much.They were in the Gaelic language, which was often spoken by Simon and his family.Madge immediately brought her some food; she was evidently famished.It was impossible to say how long she might have been in that pit."
"“你在那下面呆了多少天，亲爱的？”马奇询问道。","“How many days had you been down there, dearie?” inquired Madge."
"内尔没有回答，她似乎不理解这个问题。","Nell made no answer; she seemed not to understand the question."
"“你认为有多少天啊？”","“How many days, do you think?”"
"“天？”内尔重复道，似乎这个词对她没有任何意义。她摇摇头表明她根本不理解。","“Days?” repeated Nell, as though the word had no meaning for her, and she shook her head to signify entire want of comprehension."
"马奇握着她的手，亲切地抚摸着。“你多大了，我的姑娘？”她问道，朝内尔和蔼地笑着。","Madge took her hand, and stroked it caressingly.“How old are you, my lassie?” she asked, smiling kindly at her."
"内尔又摇了摇头。","Nell shook her head again."
"“是啊，是啊，”马奇继续问道，“多少岁了？”","“Yes, yes,” continued Madge, “how many years old?”"
"“岁？”内尔回答道。她似乎像不理解“天”一样也不理解这个词！西蒙、哈里、杰克和其他人在一旁看着，表情里夹杂着同情、好奇和怜悯。这个可怜人身穿一件粗糙的劣质毛纺衣，她的境况似乎令他们伤感。","“Years?” replied Nell.She seemed to understand that word no better than days!Simon, Harry, Jack, and the rest, looked on with an air of mingled compassion, wonder, and sympathy.The state of this poor thing, clothed in a miserable garment of coarse woolen stuff, seemed to impress them painfully."
