"意外","The Unexpected"
"他们把丹宁的手松开一些，使他能在文件上签字。接着，沉默又笼罩了整个屋子。汉斯很不安分，伊迪丝也觉得不舒服。丹宁仰面躺着，直勾勾地盯着裂缝给苔藓填满的屋顶。","Dennin’s hands were released long enough for him to sign the document.Then a silence fell in the room.Hans was restless, and Edith felt uncomfortable.Dennin lay on his back, staring straight up at the moss-chinked roof."
"“现在我要向上帝赎罪了。”他喃喃自语道。接着，他转过头去对着伊迪丝。“给我念一段《圣经》吧，”他说；接着，他又像开玩笑似的加了一句：“或许这样我就能忘了这铺有多难受。”","“An’ now I’ll do me duty to God,” he murmured.He turned his head toward Edith.“Read to me,” he said, “from the book;” then added, with a glint of playfulness, “Mayhap ’twill help me to forget the bunk.”"
"行刑的这一天，天气晴朗，寒气逼人。温度计直指向零下二十五度，寒风凛冽，穿透衣服，直刺进皮肉、骨头。这么多周过去了，今天丹宁第一次站了起来。他的肌肉已经很久没有活动了，他也很久没有保持直立姿态了，以致于他差点站不起来了。","The day of the execution broke clear and cold.The thermometer was down to twenty-five below zero, and a chill wind was blowing which drove the frost through clothes and flesh to the bones.For the first time in many weeks Dennin stood upon his feet.His muscles had remained inactive so long, and he was so out of practice in maintaining an erect position, that he could scarcely stand."
"他前后摇晃着，蹒跚前行，用捆着的双手抓住伊迪丝，以免跌倒。","He reeled back and forth, staggered, and clutched hold of Edith with his bound hands for support."
"“真的，我有点头晕呢。”他无力地笑了笑。","“Sure, an’ it’s dizzy I am,” he laughed weakly."
"过了一会儿他又说：“挺高兴的，事情总算过去了。我知道，那张该死的床迟早会把我弄死的。”","A moment later he said, “An’ it’s glad I am that it’s over with.That damn bunk would iv been the death iv me, I know.”"
"当伊迪丝给他扣上帽子，想把帽沿拉下来遮住他的耳朵时，他笑了，说：","When Edith put his fur cap on his head and proceeded to pull the flaps down over his ears, he laughed and said:"
"“你这是要想干什么呢？”","“What are you doin’ that for?”"
"“外面很冷。”她答道。","“It’s freezing cold outside”, she answered."
"“十分钟以后，可怜的迈克尔·丹宁就是冻坏了一只耳朵，又有什么关系呢？”他问道。","“An’ in tin minutes’ time what’ll matter a frozen ear or so to poor Michael Dennin?” he asked."
"她本来做好了心理准备，要挺过最后这场考验，但丹宁的话打乱了她的镇静。迄今为止，一切都像是梦中的幻影，而他说的残酷的实话令她大为吃惊，她睁大眼睛，看着即将发生的现实。她的悲痛没能瞒过爱尔兰人的眼睛。","She had nerved herself for the last culminating ordeal, and his remark was like a blow to her self-possession.So far, everything had seemed phantom-like, as in a dream, but the brutal truth of what he had said shocked her eyes wide open to the reality of what was taking place.Nor was her distress unnoticed by the Irishman."
"“对不起，我不该胡诌两句来让你难过，”他懊悔地说，“我不是故意的。今天对迈克尔·丹宁来说，是个伟大的日子，他真是兴高采烈啊。”","“I’m sorry to be troublin’ you with me foolish spache,” he said regretfully.“I mint nothin’ by it.’Tis a great day for Michael Dennin, an’ he’s as gay as a lark.”"
"他吹起了欢快的口哨，可是很快就变成了悲惨的调子，一会儿就停了。","He broke out in a merry whistle, which quickly became lugubrious and ceased."
"“我倒是希望能有一位牧师，”他若有所求地说，不过很快又加了一句：“不过，迈克尔·丹宁都是走南闯北的老手了，上路前没有这么奢侈的待遇，倒也无所谓。”","“I’m wishin’ there was a priest,” he said wistfully; then added swiftly, “But Michael Dennin’s too old a campaigner to miss the luxuries when he hits the trail.”"
"他已经非常虚弱了，也长时间没有走路了，当门打开，他跨出去的时候，风差点把他掀翻。伊迪丝和汉斯一边一个架着他走出来，他就跟他们讲着笑话，好让他们心情好些；只有说到怎样将他那份金子寄给他远在爱尔兰的母亲时，他才突然停止了说笑。","He was so very weak and unused to walking that when the door opened and he passed outside, the wind nearly carried him off his feet.Edith and Hans walked on either side of him and supported him, the while he cracked jokes and tried to keep them cheerful, breaking off, once, long enough to arrange the forwarding of his share of the gold to his mother in Ireland."
"他们爬上一座小山丘，来到林间一处空旷的地方。雪地里立着一只圆桶，桶的四周严肃地站着一圈人，他们是尼古克、哈迪克万和当地所有的印第安人，连孩子和狗都带来了；他们要来看看白人的法律是怎么运作的。旁边还有汉斯烧融了冻土挖出的墓穴。","They climbed a slight hill and came out into an open space among the trees.Here, circled solemnly about a barrel that stood on end in the snow, were Negook and Hadikwan, and all the Siwashes down to the babies and the dogs, come to see the way of the white man’s law.Near by was an open grave which Hans had burned into the frozen earth."
"丹宁很老练地看了看准备好的东西；他看到了墓穴、圆桶，注意到了绳子的粗细和搭绳子的树枝的粗细。","Dennin cast a practical eye over the preparations, noting the grave, the barrel, the thickness of the rope, and the diameter of the limb over which the rope was passed."
"“汉斯，要是由我来给你准备这些东西，我没法办得比你更好了。”","“Sure, an’ I couldn’t iv done better meself, Hans, if it’d been for you.”"
"说了这句俏皮话，他自己哈哈大笑起来，但是汉斯板着一张阴沉吓人的脸，似乎只有世界末日的号角声才能化开。汉斯也觉得很难受。他现在明白了，要把一个同伴送去另一个世界是一件多么艰巨的任务。伊迪丝倒是早就明白了，但即使明白了，这件任务也没有轻松半分。现在她非常怀疑自己能不能撑到任务结束。她感到有一种不可遏制的冲动，想要尖叫、狂喊，想要瘫倒在雪地里，用双手蒙住眼睛，转身乱跑进森林里，只要能离开，跑去哪里都行。她能够挺起胸膛，继续做她必须完成的事，完全是凭借着灵魂的至高力量。在这个过程中，她感激丹宁，因为他帮助她度过了这一切。","He laughed loudly at his own sally, but Hans’s face was frozen into a sullen ghastliness that nothing less than the trump of doom could have broken.Also, Hans was feeling very sick.He had not realized the enormousness of the task of putting a fellow-man out of the world.Edith, on the other hand, had realized; but the realization did not make the task any easier.She was filled with doubt as to whether she could hold herself together long enough to finish it.She felt incessant impulses to scream, to shriek, to collapse into the snow, to put her hands over her eyes and turn and run blindly away, into the forest, anywhere, away.It was only by a supreme effort of soul that she was able to keep upright and go on and do what she had to do.And in the midst of it all she was grateful to Dennin for the way he helped her."
"“搭把手。”丹宁对汉斯说；靠着汉斯的帮助，他总算踩上了圆桶。","“Lind me a hand,” he said to Hans, with whose assistance he managed to mount the barrel."
"他弯下腰去，好让伊迪丝把绳子套在他的脖子上。接着他又站直了，而汉斯拉紧了他头顶上套在树枝上的绳子。","He bent over so that Edith could adjust the rope about his neck.Then he stood upright while Hans drew the rope taut across the overhead branch."
"“迈克尔·丹宁，你还有什么要说的吗？”尽管声音颤抖，伊迪丝还是清楚地问出了这句话。","“Michael Dennin, have you anything to say?”Edith asked in a clear voice that shook in spite of her."
"丹宁两脚在圆桶上挪了挪，有点局促地看着下面，好像第一次发表演讲似的，然后清了清嗓子。","Dennin shuffled his feet on the barrel, looked down bashfully like a man making his maiden speech, and cleared his throat."
"“很高兴一切就要过去了，”他说，“你们始终把我当成基督徒来看待，我衷心感谢你们对我的好意。”","“I’m glad it’s over with,” he said.“You’ve treated me like a Christian, an’ I’m thankin’ you hearty for your kindness.”"
"“愿上帝收留你这个悔过的罪人。”伊迪丝说。","“Then may God receive you, a repentant sinner,” she said."
"“嗯，”他答道，他那低沉的嗓音回应着她尖细的声音，“愿上帝收留我这个悔过的罪人。”","“Ay,” he answered, his deep voice as a response to her thin one, “may God receive me, a repentant sinner.”"
"“别了，迈克尔。”她喊道，声音充满了绝望。","“Good-by, Michael,” she cried, and her voice sounded desperate."
"她使出全身的力量去推那个圆桶，但是怎么都推不倒。","She threw her weight against the barrel, but it did not overturn."
"“汉斯，快！帮我一下！”她无力地喊道。","“Hans!Quick!Help me!” she cried faintly."
"她觉得她把最后一丝力气都使出来了，但是那个木桶纹丝不动。汉斯连忙跑过去，把桶一下子就从迈克尔·丹宁脚下推开了。","She could feel her last strength going, and the barrel resisted her.Hans hurried to her, and the barrel went out from under Michael Dennin."
"她背过身去，拿指头堵住耳朵。接着，她笑了起来，尖利、刺耳，像金属的声音；汉斯吓了一跳，虽然他经历了整个惨剧，但是都没有受过如此的惊吓。伊迪丝·纳尔逊终于崩溃了。即使在她歇斯底里发泄的时候，她也知道自己垮了；她很高兴，在那么紧张的状态下苦撑过来了，直到所有事情就圆满完成。她摇摇晃晃地走向汉斯。","She turned her back, thrusting her fingers into her ears.Then she began to laugh, harshly, sharply, metallically; and Hans was shocked as he had not been shocked through the whole tragedy.Edith Nelson’s break-down had come.Even in her hysteria she knew it, and she was glad that she had been able to hold up under the strain until everything had been accomplished.She reeled toward Hans."
"“扶我到屋里去，汉斯。”她勉强说出几个字来。","“Take me to the cabin, Hans,” she managed to articulate."
"“让我休息一下，”她又说，“休息一下，好好休息一下，休息一下。”","“And let me rest,” she added.“Just let me rest, and rest, and rest.”"
"汉斯的臂膀搂着她，支撑着她，引导着她虚弱的脚步，她就这样从雪地上走回去了。而那些印第安人还留在原地，神色严峻地看着白人的法律怎样迫使一个人吊在半空晃来晃去。","With Hans’s arm around her, supporting her weight and directing her helpless steps, she went off across the snow.But the Indians remained solemnly to watch the working of the white man’s law that compelled a man to dance upon the air."
