"眼镜","The Spectacles"
"计划好了一切，我立即离开了，前去寻找塔尔博特。但是在路上，我不由自主地走进了一家旅店，只是为了仔细看看这个袖珍画像，我是用眼镜观察的，它给了我很大的帮助。这真是一张美得无与伦比的脸庞！那双闪闪发光的大眼睛！——那傲然的希腊式鼻子！——那头乌黑浓密的卷发！“啊！”我得意洋洋地自言自语道，“这确实是我爱人，这画面真是栩栩如生！”我翻到背面，发现了这几个字——“欧仁妮·拉朗德——二十七岁零七个月”。","Having planned all this, I immediately took leave, and went in search of Talbot, but, on the way, I could not refrain from stepping into a hotel, for the purpose of inspecting the miniature; and this I did by the powerful aid of the glasses.The countenance was a surpassingly beautiful one!Those large luminous eyes!—that proud Grecian nose!—those dark luxuriant curls!—“Ah!” said I, exultingly to myself, “this is indeed the speaking image of my beloved!”I turned the reverse, and discovered the words—“Eugenie Lalande—aged twenty-seven years and seven months.”"
"我在塔尔博特家找到了他，立刻告诉了他我的好运。他自然显得非常吃惊，却还是由衷地祝福了我，而且愿意尽他所能提供一切帮助。总之，我们的一切都是严格按原计划进行的。凌晨两点，婚礼后的十分钟，我已经和拉朗德夫人——应该说是辛普森夫人——坐上了马车，疾速地驰出了小镇，向东北偏北的方向驶去。","I found Talbot at home, and proceeded at once to acquaint him with my good fortune.He professed excessive astonishment, of course, but congratulated me most cordially, and proffered every assistance in his power.In a word, we carried out our arrangement to the letter, and, at two in the morning, just ten minutes after the ceremony, I found myself in a close carriage with Madame Lalande—with Mrs. Simpson, I should say—and driving at a great rate out of town, in a direction Northeast by North, half-North."
"塔尔博特已经为我们安排好了，因为我们整晚都不会歇着，我们第一站先停在C村，一个离城市二十英里的村庄。我们会在那里吃早饭，稍作休息，然后继续赶路。因此，马车在四点整停在了主客栈的门口。我扶下了我的爱妻，然后立刻点了早餐。同时，我们被带到了一个小客厅里坐了下来。","It had been determined for us by Talbot, that, as we were to be up all night, we should make our first stop at C—, a village about twenty miles from the city, and there get an early breakfast and some repose, before proceeding upon our route.At four precisely, therefore, the carriage drew up at the door of the principal inn.I handed my adored wife out, and ordered breakfast forthwith.In the meantime we were shown into a small parlor, and sat down."
"天就要亮了，却还没有大亮。我着迷地盯着坐在我身边的这个天使，突然产生了一个奇怪的想法：自从我认识著名、美丽的拉朗德夫人以来，这还是我第一次在大白天近距离欣赏她的美貌。","It was now nearly if not altogether daylight; and, as I gazed, enraptured, at the angel by my side, the singular idea came, all at once, into my head, that this was really the very first moment since my acquaintance with the celebrated loveliness of Madame Lalande, that I had enjoyed a near inspection of that loveliness by daylight at all."
"“我的朋友，”她拉着我的手，打断了我的思绪，说道，“好了，我亲爱的朋友，因为我们已经融为一体——因为我已经答应了你强烈的请求，履行了我的诺言——我想你不会忘记你要给我的那一点恩惠——你打算履行的小承诺。啊！让我想想！让我仔细想想！是的，我能很容易地想起你昨晚对欧仁妮作出美丽的承诺时所说的原话。听着！你是这样说的：‘好的！——我欣然同意！为了你，我愿牺牲一切。今晚我就戴上这只亲爱的眼镜，先作为单片眼镜，戴在我的心口。但在黎明时分请允许我很高兴地称你为妻子，那时我将把它戴在我的——戴在我的鼻子上——从此以后一直戴着它，就像你所希望的那样，虽然不那么浪漫，不那么时尚，却很实用。这是你说的原话，我亲爱的丈夫，不是吗？”","“And now, mon ami,” said she, taking my hand, and so interrupting this train of reflection, “and now, mon cher ami, since we are indissolubly one—since I have yielded to your passionate entreaties, and performed my portion of our agreement—I presume you have not forgotten that you also have a little favor to bestow—a little promise which it is your intention to keep.Ah! let me see!Let me remember!Yes; full easily do I call to mind the precise words of the dear promise you made to Eugenie last night.Listen!You spoke thus: ‘It is done!—it is most cheerfully agreed!I sacrifice every feeling for your sake.To-night I wear this dear eye-glass as an eye-glass, and upon my heart; but with the earliest dawn of that morning which gives me the privilege of calling you wife, I will place it upon my—upon my nose,—and there wear it ever afterward, in the less romantic, and less fashionable, but certainly in the more serviceable, form which you desire.’These were the exact words, my beloved husband, were they not?”"
"“是的，”我说，“你记忆力超群。而且我保证，我美丽的欧仁妮，我绝不是不守承诺的人，不会连这点小小的承诺都逃避。看！看啊！它变得——有点——不是吗？”说到这里，我已经把它摆弄成普通眼镜的样子，小心翼翼地戴到了合适的位置上。这时，辛普森夫人整了整帽子，正合拢双臂，笔直地坐在椅子上。她的坐姿有些僵直、呆板，事实上还有些不太雅观。","“They were,” I said; “you have an excellent memory; and assuredly, my beautiful Eugenie, there is no disposition on my part to evade the performance of the trivial promise they imply.See!Behold! they are becoming—rather—are they not?”And here, having arranged the glasses in the ordinary form of spectacles, I applied them gingerly in their proper position; while Madame Simpson, adjusting her cap, and folding her arms, sat bolt upright in her chair, in a somewhat stiff and prim, and indeed, in a somewhat undignified position."
"“我的天哪！”几乎在镜框落在我鼻梁上的一刹那，我就尖叫出来，“天哪！——为什么，这眼镜是怎么了？”我赶紧把它摘下来，拿一块丝绸手帕擦了擦，重新调整了一遍。","“Goodness gracious me!” I exclaimed, almost at the very instant that the rim of the spectacles had settled upon my nose—“My goodness gracious me!—why, what can be the matter with these glasses?” and taking them quickly off, I wiped them carefully with a silk handkerchief, and adjusted them again."
"但是，如果第一次看让我感到吃惊，那么第二次看时，我的吃惊上升到了震惊。这种震惊是如此强烈——无以复加——简直可以说是恐怖。看在一切丑陋事物的份上，这是什么意思？我能相信自己的眼睛吗？——我能吗？——这是个问题。那是——那是——那是胭脂吗？欧仁妮·拉朗德脸上的那些东西是——是——是皱纹吗？天哪！朱庇特，大大小小、男男女女的神啊！她的牙齿那是怎么——怎么——怎么——怎么了？我重重地把眼镜摔到了地上，一跃而起，笔直地站到房子中间，两手叉腰，对辛普森夫人冷笑着，气得勃然大怒。但与此同时，由于惊恐和愤怒，我一个字也说不出来。","But if, in the first instance, there had occurred something which occasioned me surprise, in the second, this surprise became elevated into astonishment; and this astonishment was profound—was extreme—indeed I may say it was horrific.What, in the name of everything hideous, did this mean?Could I believe my eyes?—could I?—that was the question.Was that—was that—was that rouge?And were those—and were those—were those wrinkles, upon the visage of Eugenie Lalande?And oh!Jupiter, and every one of the gods and goddesses, little and big! what—what—what—what had become of her teeth?I dashed the spectacles violently to the ground, and, leaping to my feet, stood erect in the middle of the floor, confronting Mrs. Simpson, with my arms set a-kimbo, and grinning and foaming, but, at the same time, utterly speechless with terror and with rage."
"我之前说过欧仁妮·拉朗德夫人——也就是辛普森夫人——英语说得和写得都不好，也正因如此，她平时总是很得体地不说英语。但是愤怒会让一个女士走极端。在目前的情况下，这愤怒使辛普森夫人做出了极端的事情，她试图用一种她自己都听不懂的语言和我交谈。","Now I have already said that Madame Eugenie Lalande—that is to say, Simpson—spoke the English language but very little better than she wrote it, and for this reason she very properly never attempted to speak it upon ordinary occasions.But rage will carry a lady to any extreme; and in the present care it carried Mrs. Simpson to the very extraordinary extreme of attempting to hold a conversation in a tongue that she did not altogether understand."
"“啊，先生，”她明显很吃惊，打量了我一番后，她说，“啊，先生？——怎么了？——出什么事了？难道你在跳圣人的舞蹈？如果你不喜欢我，为什么要盲目地和我结婚呢？”","“Vell, Monsieur,” said she, after surveying me, in great apparent astonishment, for some moments—“Vell, Monsieur?—and vat den?—vat de matter now?Is it de dance of de Saint itusse dat you ave?If not like me, vat for vy buy de pig in the poke?”"
"“你真卑鄙！”我喘着气说，“你——你——你这恶毒的老巫婆！”","“You wretch!” said I, catching my breath—“you—you—you villainous old hag!”"
"“啊？——老？——我可不老！我才刚到八十二岁。”","“Ag?—ole?—me not so ver ole, after all!Me not one single day more dan de eighty-doo.”"
"“八十二！”我尖叫道，踉踉跄跄地扶住了墙，“你这八千两百岁的老狒狒！那个袖珍画像上说你才二十七岁零七个月啊！”","“Eighty-two!” I ejaculated, staggering to the wall—“eighty-two hundred thousand baboons!The miniature said twenty-seven years and seven months!”"
"“的确！——确实如此！——非常准确！但是那是五十五年前的肖像。当我和我的第二任丈夫拉朗德先生结婚时，我让人画了那张肖像，送给我和第一任丈夫穆瓦萨尔先生所生的女儿。”","“To be sure!—dat is so!—ver true! but den de portraite has been take for dese fifty-five year.Ven I go marry my segonde usbande, Monsieur Lalande, at dat time I had de portraite take for my daughter by my first usbande, Monsieur Moissart!”"
"“穆瓦萨尔！”我说道。","“Moissart!” said I. "
"“是的，穆瓦萨尔，”她说道，模仿我的发音，但是说实话，说得不太好，“怎么了？你知道穆瓦萨尔什么？”","“Yes, Moissart,” said she, mimicking my pronunciation, which, to speak the truth, was none of the best,—“and vat den?Vat you know about de Moissart?”"
"“没什么，你这老怪物！——我对他一无所知，它只是很久以前我一个祖辈的姓氏。”","“Nothing, you old fright!—I know nothing about him at all; only I had an ancestor of that name, once upon a time.”"
"“那个姓氏！你对那个姓氏有什么要说的吗？这是一个很好的姓氏，瓦萨尔也一样——那也是一个很好的姓氏。我的女儿，穆瓦萨尔小姐，嫁给了瓦萨尔先生——两个姓氏都很体面。”","“Dat name! and vat you ave for say to dat name?’Tis ver goot name; and so is Voissart—dat is ver goot name too.My daughter, Mademoiselle Moissart, she marry von Monsieur Voissart,—and de name is bot ver respectaable name.”"
"“穆瓦萨尔？”我惊叫道，“还有瓦萨尔！为什么，你什么意思？”","“Moissart?” I exclaimed, “and Voissart!Why, what is it you mean?”"
"“我什么意思？——我是说穆瓦萨尔和瓦萨尔，如果要把这件事说清楚，我还要说说克鲁瓦萨尔和弗鲁瓦萨尔。我女儿的女儿，瓦萨尔小姐嫁给了克鲁瓦萨尔先生，然后我女儿的外孙女，克鲁瓦萨尔小姐嫁给了弗鲁瓦萨尔先生。我想你会说那个姓氏并不十分体面——”","“Vat I mean?—I mean Moissart and Voissart; and for de matter of dat, I mean Croissart and Froisart, too, if I only tink proper to mean it.My daughter’s daughter, Mademoiselle Voissart, she marry von Monsieur Croissart, and den again, my daughter’s grande daughter, Mademoiselle Croissart, she marry von Monsieur Froissart; and I suppose you say dat dat is not von ver respectaable name.—”"
"“弗鲁瓦萨尔！”我说道，开始感到有些头晕，“为什么，难道你确定是在说穆瓦萨尔、瓦萨尔、克鲁瓦萨尔和弗鲁瓦萨尔吗？”","“Froissart!” said I, beginning to faint, “why, surely you don’t say Moissart, and Voissart, and Croissart, and Froissart?”"
"“是的，”她回答道，完全靠在了椅子上，把两腿伸得老长，“是的，我说的就是穆瓦萨尔、瓦萨尔、克鲁瓦萨尔和弗鲁瓦萨尔。但是弗鲁瓦萨尔先生正是你们称为傻瓜的那一类人——像你一样是个大傻瓜——因为他离开美丽的法国来到了这个愚蠢的美国，之后生了一个非常非常愚蠢的儿子，这都是我听说的，但是我从未有幸和他见面——我的同伴，斯特凡妮·拉朗德夫人也没见过他。他的名字叫拿破仑·波拿巴·弗鲁瓦萨尔，我想你会说这也不是一个非常体面的名字。”","“Yes,” she replied, leaning fully back in her chair, and stretching out her lower limbs at great length; “yes, Moissart, and Voissart, and Croissart, and Froissart.But Monsieur Froissart, he vas von ver big vat you call fool—he vas von ver great big donce like yourself—for he lef la belle France for come to dis stupide Amerique—and ven he get here he went and ave von ver stupide, von ver, ver stupide sonn, so I hear, dough I not yet av ad de plaisir to meet vid him—neither me nor my companion, de Madame Stephanie Lalande.He is name de Napoleon Bonaparte Froissart, and I suppose you say dat dat, too, is not von ver respectable name.”"
"不管是这段话的长度还是其内容都激起了辛普森夫人极大的激情。费力说完这些，她像是中了魔法似的笨重地从椅子上站了起来，站起来时一整块裙撑全掉在了地上。一站起来，她便用力嚼着口香糖，挥舞着她的手臂，卷起了她的袖子，在我面前挥动着她的拳头，最后把帽子从头上扯下来。她大叫了一声，把和帽子一起扯下来的很漂亮、很值钱的乌黑、浓密的假发用力地摔到了地上，然后踩着跳起了方丹戈舞，完全陷入了绝对的狂喜和愤怒的痛苦中。","Either the length or the nature of this speech, had the effect of working up Mrs. Simpson into a very extraordinary passion indeed; and as she made an end of it, with great labor, she lumped up from her chair like somebody bewitched, dropping upon the floor an entire universe of bustle as she lumped.Once upon her feet, she gnashed her gums, brandished her arms, rolled up her sleeves, shook her fist in my face, and concluded the performance by tearing the cap from her head, and with it an immense wig of the most valuable and beautiful black hair, the whole of which she dashed upon the ground with a yell, and there trammpled and danced a fandango upon it, in an absolute ecstasy and agony of rage."
"同时，我一屁股坐在了她腾空的椅子上。“穆瓦萨尔和瓦萨尔！”我沉思地重复道，这时她跳起了舞步，两脚脚跟相互敲击起来。“还有克鲁瓦萨尔和弗鲁瓦萨尔！”这时她又跳了一步——“穆瓦萨尔、瓦萨尔、克鲁瓦萨尔，还有拿破仑·波拿马·弗鲁瓦萨尔！——为什么，你这不可理喻的老妖怪，那是我——是我——你听到了吗？那是我”——说到这里，我扯着嗓子尖叫道：“那是我——我——我！我就是拿破仑·波拿马·弗鲁瓦萨尔！如果我没有娶我的外高祖母，我想我永远都不会明白！”","Meantime I sank aghast into the chair which she had vacated.“Moissart and Voissart!” I repeated, thoughtfully, as she cut one of her pigeon-wings, and “Croissart and Froissart!” as she completed another—“Moissart and Voissart and Croissart and Napoleon Bonaparte Froissart!—why, you ineffable old serpent, that’s me—that’s me—d’ye hear? that’s me”—here I screamed at the top of my voice—“that’s me-e-e! I am Napoleon Bonaparte Froissart! and if I havn’t married my great, great, grandmother, I wish I may be everlastingly confounded!”"
"欧仁妮·拉朗德夫人，也就是辛普森夫人——以前是穆瓦萨尔夫人——其实是我的外高祖母。她年轻的时候很漂亮，即使到了八十二岁，依然保持着少女时候的挺拔的身材、雕塑般轮廓清晰的头部、炯炯有神的大眼睛，和希腊式的鼻子。借助于这些珍珠粉、胭脂、假发、假牙和撑腰垫，再加上巴黎最高超的女裁缝的手艺，作为法国首都昔日的美人之一，她成功地维系了自己的尊名。在这方面她确实可以和著名的尼农·德兰克劳斯相媲美。","Madame Eugenie Lalande, quasi Simpson—formerly Moissart—was, in sober fact, my great, great, grandmother.In her youth she had been beautiful, and even at eighty-two, retained the majestic height, the sculptural contour of head, the fine eyes and the Grecian nose of her girlhood.By the aid of these, of pearl-powder, of rouge, of false hair, false teeth, and false tournure, as well as of the most skilful modistes of Paris, she contrived to hold a respectable footing among the beauties en peu passees of the French metropolis.In this respect, indeed, she might have been regarded as little less than the equal of the celebrated Ninon De L’Enclos."
"她非常富有，第二任丈夫走后她成了寡妇，没有孩子，于是她想到了在美国的我，为了让我成为她的继承人，她来到了美国，陪她一起来的是她第二任丈夫的一个非常漂亮的远房亲戚——斯特凡妮·拉朗德夫人。","She was immensely wealthy, and being left, for the second time, a widow without children, she bethought herself of my existence in America, and for the purpose of making me her heir, paid a visit to the United States, in company with a distant and exceedingly lovely relative of her second husband’s—a Madame Stephanie Lalande."
"在剧院里，我对外高祖母的注视，引起了她的注意。她通过眼镜仔细打量我一番后，惊讶地发现我很像她的家人。这激起了她的兴趣，而她又知道她要找的继承人正是在这座城市里，于是便向周围的人打听了我的情况。陪伴她的那位绅士认识我，告诉了她我是谁。如此获得的信息诱使她重新仔细审视了我一番。而这番审视鼓励我做出了以上详细叙述过的那些荒唐举动。她还礼鞠了一躬，是因为她以为我碰巧发现了她的身份。而我却被自己的近视和她化妆艺术所蒙蔽，对这位陌生女士的年龄和魅力产生了错觉，于是便热情地向塔尔博特询问她是谁。当然，他断定我是指那位年轻的女士，所以他肯定地告诉我说，她是“著名的寡妇，拉朗德夫人”。","At the opera, my great, great, grandmother’s attention was arrested by my notice; and, upon surveying me through her eye-glass, she was struck with a certain family resemblance to herself.Thus interested, and knowing that the heir she sought was actually in the city, she made inquiries of her party respecting me.The gentleman who attended her knew my person, and told her who I was.The information thus obtained induced her to renew her scrutiny; and this scrutiny it was which so emboldened me that I behaved in the absurd manner already detailed.She returned my bow, however, under the impression that, by some odd accident, I had discovered her identity.When, deceived by my weakness of vision, and the arts of the toilet, in respect to the age and charms of the strange lady, I demanded so enthusiastically of Talbot who she was, he concluded that I meant the younger beauty, as a matter of course, and so informed me, with perfect truth, that she was “the celebrated widow, Madame Lalande.”"
"第二天早上，我的外高祖母在大街上遇到塔尔博特。他是她在巴黎的老相识。他们的谈话很自然地提到了我。然后，塔尔博特向她解释了我的近视，虽然这一缺点已是臭名昭著，但我对此却一无所知。我这位好心的、年迈的亲戚很恼怒，因为她误以为我识破了她的身份，不知道我只是在剧院里向一个素不相识的老妇人公然示爱，让自己丑态百出。为了惩罚我轻率的举动，她和塔尔博特策划了这场阴谋。他故意不见我，就是不想帮我引见。我在大街上打听“美丽的寡妇，拉朗德夫人”，人们都以为我是指那位年轻的女士。当然，我在离开塔尔博特的寓所后不久后与遇见的那三位绅士的谈话就很容易解释了，也难怪他们会提到尼农·德兰克劳斯。我没有机会在白天近观拉朗德夫人。而且，在音乐晚会上，我愚蠢地拒绝戴眼镜，也没能看出她的年龄。请“拉朗德夫人”去唱歌的人叫的其实是那位年轻的女士。应声站起来的也正是那位女士。为了进一步欺骗我，我的外高祖母也同时站了起来，陪她走到了主客厅的钢琴旁边。如果当时我决定陪她过去，她就会建议我说坐着不动才为得体。但是当时我很谨慎，她就没有这么说的必要了。她的歌声让我爱慕，让我确信我的爱人很年轻，而这歌曲实际上是斯特凡妮·拉朗德夫人唱的。送我眼镜是为了让骗局更真实——使骗局更有讽刺性。送我眼镜也为她提供了机会来就做作大发感慨，好专门对我进行训导。老妇人戴的那副眼镜已经换成了一副更适合我这个年龄戴的，说这些几乎是多余的。这副眼镜确实非常适合我。","In the street, next morning, my great, great, grandmother encountered Talbot, an old Parisian acquaintance; and the conversation, very naturally turned upon myself.My deficiencies of vision were then explained; for these were notorious, although I was entirely ignorant of their notoriety, and my good old relative discovered, much to her chagrin, that she had been deceived in supposing me aware of her identity, and that I had been merely making a fool of myself in making open love, in a theatre, to an old woman unknown.By way of punishing me for this imprudence, she concocted with Talbot a plot.He purposely kept out of my way to avoid giving me the introduction.My street inquiries about “the lovely widow, Madame Lalande,” were supposed to refer to the younger lady, of course, and thus the conversation with the three gentlemen whom I encountered shortly after leaving Talbot’s hotel will be easily explained, as also their allusion to Ninon De L’Enclos.I had no opportunity of seeing Madame Lalande closely during daylight; and, at her musical soiree, my silly weakness in refusing the aid of glasses effectually prevented me from making a discovery of her age.When “Madame Lalande” was called upon to sing, the younger lady was intended; and it was she who arose to obey the call; my great, great, grandmother, to further the deception, arising at the same moment and accompanying her to the piano in the main drawing-room.Had I decided upon escorting her thither, it had been her design to suggest the propriety of my remaining where I was; but my own prudential views rendered this unnecessary.The songs which I so much admired, and which so confirmed my impression of the youth of my mistress, were executed by Madame Stephanie Lalande.The eyeglass was presented by way of adding a reproof to the hoax—a sting to the epigram of the deception.Its presentation afforded an opportunity for the lecture upon affectation with which I was so especially edified.It is almost superfluous to add that the glasses of the instrument, as worn by the old lady, had been exchanged by her for a pair better adapted to my years.They suited me, in fact, to a T."
"那个假装为我们举行婚礼的牧师，实际上是塔尔博特的一个好朋友，而不是牧师。不过，他是个很优秀的车夫。他脱下教士袍，穿上厚大衣，赶着这辆载着一对“幸福夫妇”的马车出了城。塔尔博特就坐在他旁边。这两个坏蛋就这样看到了事情的结果。他们通过旅馆的后客厅那半开的窗户，一边看着这场闹剧的结果，一边幸灾乐祸地笑着。我想我会被逼得叫他们出来决斗。","The clergyman, who merely pretended to tie the fatal knot, was a boon companion of Talbot’s , and no priest.He was an excellent “whip,” however; and having doffed his cassock to put on a great-coat, he drove the hack which conveyed the “happy couple” out of town.Talbot took a seat at his side.The two scoundrels were thus “in at the death”, and through a half-open window of the back parlor of the inn, amused themselves in grinning at the denouement of the drama.I believe I shall be forced to call them both out."
"不过，我没有成为我的外高祖母的丈夫，这种想法让我轻松了很多——但是我是拉朗德夫人的丈夫——斯特凡妮·拉朗德夫人的丈夫——我好心的、年迈的亲戚除了把我定为她死后唯一的继承人外——如果真有那么一天的话——她还费劲心机地为我做了媒。总之：我从此不再写情书了，而且也决不会不戴眼镜就去见人了。","Nevertheless, I am not the husband of my great, great, grandmother; and this is a reflection which affords me infinite relief,—but I am the husband of Madame Lalande—of Madame Stephanie Lalande—with whom my good old relative, besides making me her sole heir when she dies—if she ever does—has been at the trouble of concocting me a match.In conclusion: I am done forever with billets doux and am never to be met without SPECTACLES."
