"北方的奥德赛","An Odyssey of the North"
"“等到涨潮的时候，那伙漂泊在海上的人就在海水较深的地方抛下了锚，接着便来到我们中间。他们拿来一些礼物，态度也很友好；所以我就给他们腾了些地方，而且像对待其他客人一样，也很大方地送了他们一些礼物；因为这是我成亲的日子，何况我还是阿卡屯的酋长。那个头发像海狮鬃毛一样的男人也来了，他长得又高又壮，让人觉得他的脚一踩下去，地面都会颤抖一样。他双臂交叉放在胸前，总是直勾勾地盯着昂加看，就这样，一直到太阳下山、星星出现的时候。然后他才回到自己的船上。之后，我就拉着昂加，把她带到我家。大家在我家里又唱又笑，女人们开着玩笑，就像女人们平常在婚礼上那样。但是我们并不在意。最后，大家留下我们两个人，各自回家了。","“When the tide rose, the sea wanderers kedged the schooner to deep water, and then came among us.They bore presents and were friendly; so I made room for them, and out of the largeness of my heart gave them tokens such as I gave all the guests; for it was my wedding day, and I was head man in Akatan.And he with the mane of the sea lion was there, so tall and strong that one looked to see the earth shake with the fall of his feet.He looked much and straight at Unga, with his arms folded, so, and stayed till the sun went away and the stars came out.Then he went down to his ship.After that I took Unga by the hand and led her to my own house.And there was singing and great laughter, and the women said sly things, after the manner of women at such times.But we did not care.Then the people left us alone and went home."
"“喧闹的声音还没有消失，那群海上漂泊的人的首领就走进门来。他手里拿着几个黑瓶子，我们一起喝着瓶子里的东西，喝得很尽兴。你要知道，我那时不过是个小伙子，又一直生活在世界的尽头。因此，我的血液热得像火，我的心轻飘飘的，就像是从浪头飞到峭壁上的泡沫一样。昂加安静地坐在角落里一堆皮子上，她大睁着眼睛，仿佛有些害怕。那个头发像海豹鬃毛的家伙，就一直直勾勾地盯着她看，看了好久。后来他的人进来了，带着一捆捆的货物，他把这些货物堆到我跟前，这些都是阿卡屯没有的东西。货物有大小不一的枪支，有火药、子弹和炮弹，有亮闪闪的斧子、钢刀和灵巧的工具，还有很多我从来没看到过的古里古怪的东西。当时，他用手势告诉我，这些东西都归我了，我觉得他这么慷慨，真是个伟大的人；但是他又告诉我，得让昂加上他的船，和他一起离开。你明白吗？——让昂加上他的船跟他走。我祖宗的血液突然间变得滚烫，我拿起长矛，想把他的身体刺穿。但是瓶子里的烈酒已经让我胳膊上失去了力气，他揪住我的脖子，就这样，把我的头往房子里的墙上撞去。我被撞得毫无力气，就像一个刚出生的孩子，两条腿都站不稳了。当他把昂加往门口拽的时候，昂加尖叫着，同时用手乱抓房子里的东西，弄得那些东西在我们周围倒了一地。后来，他用他那粗壮的胳膊把昂加抱了起来，她撕扯着他的黄头发，但是他却像一只在发情期的大雄海豹一样放声大笑。","“The last noise had not died away, when the chief of the sea wanderers came in by the door.And he had with him black bottles, from which we drank and made merry.You see, I was only a stripling, and had lived all my days on the edge of the world.So my blood became as fire, and my heart as light as the froth that flies from the surf to the cliff.Unga sat silent among the skins in the corner, her eyes wide, for she seemed to fear.And he with the mane of the sea lion looked upon her straight and long.Then his men came in with bundles of goods, and he piled before me wealth such as was not in all Akatan.There were guns, both large and small, and powder and shot and shell, and bright axes and knives of steel, and cunning tools, and strange things the like of which I had never seen.When he showed me by sign that it was all mine, I thought him a great man to be so free; but, he showed me also that Unga was to go away with him in his ship.Do you understand?—that Unga was to go away with him in his ship.The blood of my fathers flamed hot on the sudden, and I made to drive him through with my spear.But the spirit of the bottles had stolen the life from my arm, and he took me by the neck, so, and knocked my head against the wall of the house.And I was made weak like a newborn child, and my legs would no more stand under me.Unga screamed, and she laid hold of the things of the house with her hands, till they fell all about us as he dragged her to the door.Then he took her in his great arms, and when she tore at his yellow hair laughed with a sound like that of the big bull seal in the rut."
"“我爬到沙滩上把我的族人叫出来；但是他们都怕那伙人。只有雅希—奴希是个堂堂正正的男子汉，但是那伙人拿桨打他的头，直打得他脸朝下伏在沙滩上，不能动弹为止。然后，他们便扬起帆，唱着歌，借着风势把船开走了。","“I crawled to the beach and called upon my people; but they were afraid.Only Yash-Noosh was a man, and they struck him on the head with an oar, till he lay with his face in the sand anddid not move.And they raised the sails to the sound of their songs, and the ship went away on the wind."
"“大家都说，这样也好，这样阿卡屯就不会再有打仗流血的事了；但是我一句话都没说，一直等到月圆的那天，我把鱼和油放到皮舟上，往东边走了。我看见许多岛和许多人，我这个在世界尽头生活的人，到这一刻才知道世界居然这么大。我用手势跟他们交谈；但是他们根本没看见过什么双桅船，也没有看见过那个头发像海豹鬃毛的家伙，他们始终指着东面。我在各种奇怪的地方睡觉，吃了各类罕见的食物，看见了各种陌生的面孔。许多人都笑话我，以为我脑子有毛病；但是有时候，一些年纪大的人会让我对着阳光，为我祈福；还有一些年轻女人，在她们询问我那只外来的船、昂加和那些海上来的人时，她们的眼里透着温柔。","“The people said it was good, for there would be no more war of the bloods in Akatan; but I said never a word, waiting till the time of the full moon, when I put fish and oil in my kayak, and went away to the east.I saw many islands and many people, and I, who had lived on the edge, saw that the world was very large.I talked by signs; but they had not seen a schooner nor a man with the mane of a sea lion, and they pointed always to the east.And I slept in queer places, and ate odd things, and met strange faces.Many laughed, for they thought me light of head; but sometimes old men turned my face to the light and blessed me, and the eyes of the young women grew soft as they asked me of the strange ship, and Unga, and the men of the sea."
"“就这样，我越过波涛汹涌的大海，顶着狂风暴雨，来到了乌纳拉斯卡。那里有两艘双桅船，但是没有一艘是我要找的。所以，我继续往东走，我眼前的世界也变得越来越大。但是不管在乌纳莫克岛、科迪亚克岛，还是在阿托格纳岛，都没有一点儿关于那艘船的消息。一天，我到了一个有很多岩石的地方，那里的人们在山里挖了很多大洞。那里有一艘双桅帆船，但不是我要找的那艘，那些人把他们挖出来的石块往船上搬。我觉得这种事情像小孩子的把戏，因为这世上到处都是岩石；但是他们给我吃的，还硬让我干活。等到船吃水深的时候，船长给了我些钱，让我离开；我问他要去哪里，他指着南方。我打着手势说，我想跟他一起走；他先笑了笑，后来，因为船上缺人手，他就让我呆在船上帮忙干活。于是，我就学着他们的腔调说话，帮忙拽锚索，在突然刮起大风的时候收起绷紧的帆，而且还轮班掌舵。但是这也不奇怪，因为我的祖先本来就和这些海上的人是一个血统。","“And in this manner, through rough seas and great storms, came to Unalaska.There were two schooners there, but neither was the one I sought.So I passed on to the east, with the world growing ever larger, and in the Island of Unamok there was no word of the ship, nor in Kadiak, nor in Atognak.And so I came one day to a rocky land, where men dug great holes in the mountain.And there was a schooner, but not my schooner, and men loaded upon it the rocks which they dug.This thought childish, for all the world was made of rocks; but they gave me food and set me to work.When the schooner was deep in the water, the captain gave me money and told me to go; but I asked which way he went, and he pointed south.I made signs that I would go with him; and he laughed at first, but then, being short of men, took me to help work the ship.So I came to talk after their manner, and to heave on ropes, and to reef the stiff sails in sudden squalls, and to take my turn at the wheel.But it was not strange, for the blood of my fathers was the blood of the men of the sea."
"“我原本以为，只要我在他那一族人里，很容易就能找到他；一天，我们看到了陆地，我们的船经过海峡，驶入港口，我原来以为，这里的双桅船可能也就我的手指头那么多。但是顺着码头接连几英里都停着这样的船，像很多小鱼挤在一起似的；当我到那些船上打听那个头发像海豹鬃毛的家伙的时候，他们都笑了，用各种不同的语言来回答我。我这才知道，他们来自世界的各个角落。","“I had thought it an easy task to find him I sought, once I got among his own people; and when we raised the land one day, and passed between a gateway of the sea to a port, I looked for perhaps as many schooners as there were fingers to my hands.But the ships lay against the wharves for miles, packed like so many little fish; and when I went among them to ask for a man with the mane of a sea lion, they laughed, and answered me in the tongues of many peoples.And I found that they hailed from the uttermost parts of the earth."
"“于是我进入市区，看着每一个行人的脸。但是他们就像游到岸上的密密麻麻的鳕鱼，不计其数。喧闹声不断袭来，弄得我什么都听不见，那乱糟糟的场面弄得我晕头转向。于是，我继续往前走，走过了那些阳光下歌声飘荡的地方；走过了平原上堆满了丰收的庄稼的地方；还走过了很多大城市，在那里，男人过着女人般的日子，他们嘴里全是假话，因为只想着金子，他们的心都是黑的。但是这个时候，我的族人却在阿卡屯狩猎打鱼，快乐逍遥，以为这世界只是一个小天地。","“And I went into the city to look upon the face of every man.But they were like the cod when they run thick on the banks, and I could not count them.And the noise smote upon me till I could not hear, and my head was dizzy with much movement.So I went on and on, through the lands which sang in the warm sunshine; where the harvests lay rich on the plains; and where great cities were fat with men that lived like women, with false words in their mouths and their hearts black with the lust of gold.And all the while my people of Akatan hunted and fished, and were happy in the thought that the world was small."
"“可是，那次昂加捕鱼回家时看我的眼神总是跟着我，我知道，总有一天我会找到她的。以前，她经常在暮色中到静谧的小路上散步，有的时候还惹得我从那被晨露沾湿的茂密的田野里穿过去追她，她的眼里有默许的意思，只有昂加这样的女人才会有这样的眼神。","“But the look in the eyes of Unga coming home from the fishing was with me always, and I knew I would find her when the time was met.She walked down quiet lanes in the dusk of the evening, or led me chases across the thick fields wet with the morning dew, and there was a promise in her eyes such as only the woman Unga could give."
"“所以我一路游荡，走过了上千座城市。有些人很友好，还给我食物，有些人则嘲笑我，甚至还有人咒骂我；但是我咬紧牙关，仍然行走在陌生的路上，看着各种陌生的景象。有的时候，我，一个酋长，还是酋长的儿子，竟然给人家当苦工——给那些言语粗鲁、铁石心肠的人当苦工，他们从同胞的汗水和悲苦中捞取金子。然而，我还是打听不到任何消息，直到我像一个归巢的海豹似的再次回到海上。但是这次是在另一个港口，在另外一个位于北方的国家。在那里，我听说了一些关于那个黄头发的海上流浪汉的不太具体的传言，我了解到他是个猎捕海豹的，那时候他正在海上行驶。","“So I wandered through a thousand cities.Some were gentle and gave me food, and others laughed, and still others cursed; but I kept my tongue between my teeth, and went strange ways and saw strange sights.Sometimes, I, who was a chief and the son of a chief, toiled for men,—men rough of speech and hard as iron, who wrung gold from the sweat and sorrow of their fellow men.Yet no word did I get of my quest, till came back to the sea like a homing seal to the rookeries.But this was at another port, in another country which lay to the north.And there heard dim tales of the yellow-haired sea wanderer, and I learned that he was a hunter of seals, and that even then he was abroad on the ocean."
"“所以，我就和几个懒散的西瓦希人一起坐上一艘猎捕海豹的双桅船，顺着他那条没有任何痕迹的路线去了北方，当时那里恰是猎捕海豹的旺季。我们在海上呆了几个月，疲惫不堪，我们谈论了很多有关船队的事，还听说了不少有关那个家伙的野蛮行为；但是却一次也没有在海上碰见他。我们接着往北走，一直到了普里比洛夫群岛，我们在沙滩上杀死了成群的海豹，然后把还留有余温的海豹尸体搬到船上，直到船上的排水口淌出来的都是油和血，甲板上站不住人为止。然后便有一艘轮船来追我们，还向我们开炮。但是我们扬起帆，大海冲刷着甲板，将它们洗得干干净净，而我们也在大雾中迷了路。","“So I shipped on a seal schooner with the lazy Siwashes, and followed his trackless trail to the north where the hunt was then warm.And we were away weary months, and spoke many of the fleet, and heard much of the wild doings of him I sought; but never once did we raise him above the sea.We went north, even to the Pribyloffs, and killed the seals in herds on the beach, and brought their warm bodies aboard till our scuppers ran grease and blood and no man could stand upon the deck.Then were we chased by a ship of slow steam, which fired upon us with great guns.But we put on sail till the sea was over our decks and washed them clean, and lost ourselves in a fog."
"“听说，当时，就在我们被吓得心惊肉跳，迅速逃跑的时候，那个黄头发的海上流浪汉恰好来到了普里比洛夫群岛，在岛的左边有一家工厂，他一边叫手下的人扣住公司的员工，一边叫其他的人从工厂里搬出一万张生皮装到船上。我说过，这些事听别人讲的，不过我相信是真的；因为虽然在海上航行的时候没有见过他，但是北方的海上却传遍了他肆意妄为的行为，以至于在那里有属地的三个国家都派船来逮他。我还听到了一些关于昂加的消息，因为船长们都对她赞赏有加，她一直跟那个人在一起。听他们说，她已经学会了过他那种人的日子，还很开心。但是我比谁都了解——我明白她的心是向着阿卡屯那片黄色沙滩上她自己的族人的。","“It is said, at this time, while we fled with fear at our hearts, that the yellow-haired sea wanderer put into the Pribyloffs, right to the factory, and while the part of his men held the servants of the company, the rest loaded ten thousand green skins from the salt-houses.I say it is said, but I believe; for in the voyages made on the coast with never a meeting, the northern seas rang with his wildness and daring, till the three nations which have lands there sought him with their ships.And I heard of Unga, for the captains sang loud in her praise, and she was always with him.She had learned the ways of his people, they said, and was happy.But I knew better,—knew that her heart harked back to her own people by the yellow beach of Akatan."
"“就这样，很久以后，我又回到了那个在海峡附近的港口。刚到那里，我就听人说他已经跨过大洋，到俄罗斯海南面那一带暖和地方的东海岸捕海豹去了。而我，此时已经成了一个水手，和他那一类的人一起坐上船，跟在他后面去捕海豹。那片新的地带没有几艘船；但是整个春天，我们都守在海豹群的附近，把它们赶向北方。后来，母海豹们怀孕了，都游到了俄国的领海区域，我们的人就开始抱怨，感到害怕了。因为那里总是有大雾，坐小船的人每天都有几个消失不见的。他们不愿意干了，所以船长不得不沿着来时的路线返航。但是我知道那个黄头发的海上流浪汉是不会怕的，他会一直守在海豹群附近，甚至会追到俄罗斯群岛，那里可是很少有人去的。于是我就在漆黑的夜晚，趁着放哨的人在船头甲板上打瞌睡的工夫，乘着一只小艇，一个人朝着那个暖和的长岛划去。我一路往南划，遇见江户湾附近的人，他们可是既野蛮又无所畏惧的家伙。吉原的姑娘们都很娇小，皮肤光亮得像钢一样，长得很好看；但是我不能停下来，因为我知道昂加正在北方海豹栖息地附近的海上漂泊。","“So, after a long time, I went back to the port which is by a gateway of the sea, and there I learned that he had gone across the girth of the great ocean to hunt for the seal to the east of the warm land which runs south from the Russian Seas.And I, who was become a sailorman, shipped with men of his own race, and went after him in the hunt of the seal.And there were few ships off that new land; but we hung on the flank of the seal pack and harried it north through all the spring of the year.And when the cows were heavy with pup and crossed the Russian line, our men grumbled and were afraid.For there was much fog, and every day men were lost in the boats.They would not work, so the captain turned the ship back toward the way it came.But I knew the yellow-haired sea wanderer was unafraid, and would hang by the pack, even to the Russian Isles, where few men go.So I took a boat, in the black of night, when the lookout dozed on the fok’slehead, and went alone to the warm, long land.And I journeyed south to meet the men by Yeddo Bay, who are wild and unafraid.And the Yoshiwara girls were small, and bright like steel, and good to look upon; but I could not stop, for I knew that Unga rolled on the tossing floor by the rookeries of the north."
"“江户湾的人来自世界上的各个角落，他们不信神，也没有家，他们的船上都挂着日本国旗。我跟随着他们一起去了富饶的科珀岛，在那里我们的船舱堆满了皮子。一直到我们打算离开，在那片平静的海面上，我们斗没有遇见过一个人。然后，有一天，一股大风吹开了浓浓的雾气，有一艘双桅帆船急匆匆地朝我们驶来，后面紧紧跟着一艘烟囱里冒着浓烟的俄国军舰。我们借着风势飞速逃跑，而那艘双桅帆船却紧紧逼近，我们每前行两英尺，它就追上来三英尺。在船尾站着的那个人就是那个头发像海狮鬃毛的家伙，他正按住栏杆，压着帆，信心满满地笑着。昂加也在那里——我一下子就认出她了——但是大炮从海面上飞过来的时候，他就把她送到舱里去了。我刚才讲过，我们的船行驶两英尺，他们就追上来三英尺，直到它被浪一颠，我们才看见那绿色的舵——我们已经在俄国人炮弹的射程里了，我一边掌好舵轮，一边诅咒。因为我们都知道，他是故意要跑到我们前头，这样，他就能趁我们被逮住时跑掉。他们把我们的桅杆给炸飞了，我们就像受了伤的海鸥似的被扯进风里；但是他却一直往前驶去，驶出了水平线——他和昂加。","“The men by Yeddo Bay had met from the ends of the earth, and had neither gods nor homes, sailing under the flag of the Japanese.And with them I went to the rich beaches of Copper Island, where our salt-piles became high with skins.And in that silent sea we saw no man till we were ready to come away.Then, one day, the fog lifted on the edge of a heavy wind, and there jammed down upon us a schooner, with close in her wake the cloudy funnels of a Russian man-of-war.We fled away on the beam of the wind, with the schooner jamming still closer and plunging ahead three feet to our two.And upon her poop was the man with the mane of the sea lion, pressing the rails under with the canvas and laughing in his strength of life.And Unga was there,—I knew her on the moment,—but he sent her below when the cannons began to talk across the sea.As I say, with three feet to our two, till we saw the rudder lift green at every jump,—and I swinging on to the wheel and cursing, with my back to the Russian shot.For we knew he had it in mind to run before us, that he might get away while we were caught.And they knocked our masts out of us till we dragged into the wind like a wounded gull; but he went on over the edge of the sky-line,—he and Unga."
"“我们能怎么办呢？刚剥下的海豹皮就是证据。所以，他们把我们带到一个俄国港口，然后又带到一个人迹罕至的地方，在那里他们逼着我们在矿里挖盐。有的人死了，还有——还有一些人保住了命。”","“What could we?The fresh hides spoke for themselves.So they took us to a Russian port, and after that to a lone country, where they set us to work in the mines to dig salt.And some died, and—and some did not die.”"
"纳斯撩开他肩上的毯子，露出粗糙变形的皮肤，上面有明显的被鞭子抽打过的一道道伤痕。普林斯赶紧给他盖好，因为那情景让人看着真不是滋味。","Naass swept the blanket from his shoulders, disclosing the gnarled and twisted flesh, marked with the unmistakable striations of the knout.Prince hastily covered him, for it was not nice to look upon."
"“我们在那里过得很煎熬；有的时候，也有人往南边逃跑，但是每次都被抓回来。所以，等到我们这些来自江户湾的人在夜晚行动起来，抢了警卫的枪以后，我们就往北方逃去。那一带地域辽阔，有湿乎乎的平原，还有大片的树林。严寒的时节到来了，地上有很厚的雪，没有人认得路。我们在没有边际的树林里走了好几个月，疲惫不堪——那样的日子，我如今已经不记得了，因为那里几乎没有什么吃的东西，我们经常是躺着等死。不过，最终我们还是来到了寒冷的海边，但是只剩下三个人看到了大海。一个是来自江户的船长，这一带陆地的地形都在他脑子里，他还知道人们可以从冰面上的某个地方由一个大陆到另一个大陆去。他带着我们——我不知道路有这么长——最后只剩下我们两个人。等我们到了那个从冰上过海的地方，我们碰见五个陌生人，他们是当地人，他们有狗和皮子，而我们一贫如洗。我们在雪里跟他们打了起来，最后他们被干掉了，船长也死了，狗和皮子就都是我的了。然后，我就走上了那片冰面，冰面裂开了，我曾经一度在海上漂流，直到西面来的一阵大风把我吹到了岸上。那以后，我又走过了戈洛文湾、帕斯提里克，以及那个神父那里。然后便是往南，再往南，到了我第一次去过的那个暖洋洋的、满是阳光的地方。","“We were there a weary time; and sometimes men got away to the south, but they always came back.So, when we who hailed from Yeddo Bay rose in the night and took the guns from the guards, we went to the north.And the land was very large, with plains, soggy with water, and great forests.And the cold came, with much snow on the ground, and no man knew the way.Weary months we journeyed through the endless forest,—I do not remember, now, for there was little food and often we lay down to die.But at last we came to the cold sea, and but three were left to look upon it.One had shipped from Yeddo as captain, and he knew in his head the lay of the great lands, and of the place where men may cross from one to the other on the ice.And he led us,—I do not know, it was so long,—till there were but two.When we came to that place we found five of the strange people which live in that country, and they had dogs and skins, and we were very poor.We fought in the snow till they died, and the captain died, and the dogs and skins were mine.Then I crossed on the ice, which was broken, and once drifted till a gale from the west put me upon the shore.And after that, Golovin Bay, Pastilik, and the priest.Then south, south, to the warm sunlands where first I wandered."
"“但是，从海里已经捞不到多少东西了，出去捕海豹利小险大。船队也很散，船长和水手都不知道我要找的那个人的消息。所以我就离开了永不宁静的大海，在树林、房子和大山永远静止不动的陆地上穿梭。我走了很远，也学会了很多，甚至还学会了看书写字。我觉得这样也不错，因为我想，昂加肯定也学会了这些事情，也许哪一天，到那天——我们——不用说你们也懂的，到了那一天。","“But the sea was no longer fruitful, and those who went upon it after the seal went to little profit and great risk.The fleets scattered, and the captains and the men had no word of those I sought.So I turned away from the ocean which never rests, and went among the lands, where the trees, the houses, and the mountains sit always in one place and do not move.I journeyed far, and came to learn many things, even to the way of reading and writing from books.It was well I should do this, for it came upon me that Unga must know these things, and that some day, when the time was met—we—you understand, when the time was met."
"“所以我到处漂泊，像那些只能迎风起航却没有舵的小渔船一样。但是我的眼睛和耳朵时刻都在注意看，留心听。我经常和那些走过很多地方的人打交道，因为我知道他们只要见过我要找的那两个人，就肯定不会忘记。最后，我遇见一个刚从大山里出来的人，他有几块矿石，里面嵌着很多跟豆子差不多大的金沙。他听说过他们，并且见过他们，还认识他们。他说，他们很有钱，就住在他们从地里挖金子的那个地方。","“So I drifted, like those little fish which raise a sail to the wind, but cannot steer.But my eyes and my ears were open always, and went among men who traveled much, for I knew they had but to see those sought, to remember.At last there came a man, fresh from the mountains, with pieces of rock in which the free gold stood to the size of peas, and he had heard, he had met, he knew them.They were rich, he said, and lived in the place where they drew the gold from the ground."
"“那是个人迹罕至的地方，还非常远；但是我总算到了那个藏在群山间的宿营地，那里的人没日没夜地干活，根本看不到太阳。我从那些人的谈话中听出来，时机还不成熟。他已经离开了——他们已经离开了——去英国了，听说，他们是想找几个有钱人来开公司。我看见了他们住的房子，就像古代国家里的宫殿一样。夜晚，我从窗子爬了进去，想看看他是怎么对她的。我从一个房间走进另一个房间，我觉得国王和王后过的就是这样的日子，美妙极了。他们都说他对她像对王后一样，很多人都纳闷她是什么民族的人；因为她的血管里流着不一样的血，她跟阿卡屯的女人不一样，没有人知道她是什么人。对，她是位王后；但是我是酋长，还是酋长的儿子，我为她付出了难以估价的皮子、船和珠子。","“It was in a wild country, and very far away; but in time came to the camp, hidden between the mountains, where men worked night and day, out of the sight of the sun.Yet the time was not come. Listened to the talk of the people.He had gone away,—they had gone away,—to England, it was said, in the matter of bringing men with much money together to form companies.I saw the house they had lived in; more like a palace, such as one sees in the old countries.In the nighttime I crept in through a window that I might see in what manner he treated her.I went from room to room, and in such way thought kings and queens must live, it was all so very good.And they all said he treated her like a queen, and many marveled as to what breed of woman she was; for there was other blood in her veins, and she was different from the women of Akatan, and no one knew her for what she was.Ay, she was a queen; but I was a chief, and the son of a chief, and had paid for her an untold price of skin and boat and bead."
"“但是，何必要说这么多呢？我是一个水手，我知道船在海上航行的路线。我跟着他们去了英国，接着又去了别的国家。有的时候，我从人们嘴里听到关于他们的一些情况，有的时候，我还会从报纸上读到关于他们的消息；然而我没有一次能见到他们，因为他们有很多钱，所以走得很快，而我只是一个穷人。后来，他们也遇上麻烦了，有一天，他们的财产像一缕轻烟一样没了踪影。那个时候，报纸上全刊登着这件事情；但是之后就没有消息了，我知道他们肯定又返回那个从土地里可以挖出更多金子的地方了。“如今，他们既然没钱了，也就被世人抛弃了；我从一个宿营地游荡到另一个宿营地，甚至还到了北方的库特奈地区，并在那里打听到一点儿过时的消息。他们去过那里，但是已经离开了，有人说往这边走了，有人说往那边走了，还有人说他们去了育空河。就这样，我先往这边走，再往那边走，总是从一个地方到另一个地方，一直走到我对这个广阔无边的世界感到厌烦了似的。但是，我在库特奈地区曾经跟一个西北地区的土人一块赶路，那条路很长也很不好走，他忍受不了饥饿的痛苦，觉得还是死了最好。他曾顺着一条没人知道的路，翻过大山，到了育空河一带。那时，他知道自己大限将至，就给了我一张地图，还告诉了我一个秘密的地方，他对天发誓，说那里有很多金子。","“But why so many words?I was a sailorman, and knew the way of the ships on the seas.I followed to England, and then to other countries.Sometimes I heard of them by word of mouth, sometimes I read of them in the papers; yet never once could I come by them, for they had much money, and traveled fast, while I was a poor man.Then came trouble upon them, and their wealth slipped away, one day, like a curl of smoke.The papers were full of it at the time; but after that nothing was said, and I knew they had gone back where more gold could be got from the ground.“They had dropped out of the world, being now poor; and so wandered from camp to camp, even north to the Kootenay Country, where picked up the cold scent.They had come and gone, some said this way, and some that, and still others that they had gone to the Country of the Yukon.And I went this way, and I went that, ever journeying from place to place, till it seemed I must grow weary of the world which was so large.But in the Kootenay I traveled a bad trail, and a long trail, with a ‘breed’ of the Northwest, who saw fit to die when the famine pinched.He had been to the Yukon by an unknown way over the mountains, and when he knew his time was near gave me the map and the secret of a place where he swore by his gods there was much gold."
"“那以后，所有的人都向北方涌去。我是个穷光蛋，只好把自己卖给其他人赶狗。剩下的你们就知道了。我在道森遇上了他们两个。她没认出我来，因为那时我还年轻，而她的日子又过得那么富有，所以她也没有闲暇记着我这个为她付出那么多代价的人。","“After that all the world began to flock into the north.I was a poor man; I sold myself to be a driver of dogs.The rest you know. I met him and her in Dawson.She did not know me, for I was only a stripling, and her life had been large, so she had no time to remember the one who had paid for her an untold price."
"“可不是吗？你帮我提前逃脱了苦役。我想返回去，按照我自己的方式去办事；因为我已经等了很久，如今既然他已经在我手里了，我就不必急在一时了。我说过的，这件事我想用自己的方法去办；因为我回想了自己这一辈子，包括所有我看到的和经历过的事情，还想起了在俄罗斯海边漫无边际的树林里所经受的饥寒交迫。你们都知道，我领着他——他和昂加——往东走，很多人去那里，但是回来的并不多。我把他们带到受人诅咒的地方，那里遍地白骨和带不走的黄金。","“So?You bought me from my term of service.I went back to bring things about in my own way; for I had waited long, and now that had my hand upon him was in no hurry.As I say, I had it in mind to do my own way; for I read back in my life, through all I had seen and suffered, and remembered the cold and hunger of the endless forest by the Russian Seas.As you know, I led him into the east,—him and Unga,—into the east where many have gone and few returned.I led them to the spot where the bones and the curses of men lie with the gold which they may not have."
"“路很长，路上的雪都没人踩过。我们有很多狗，它们吃得也多；我们的雪橇不能把开春之前所需要的东西都带上。我们必须在河水融化之前返回。所以，我们就沿途藏了一些食物，这样雪橇的负担就轻一些，而回来的时候我们又不会被饿死。有三个人在麦克奎森住着，我们在他们附近搭建了一个藏食物的棚子，到了马育，我们又搭了一个，那个地方有十二个佩利人在狩猎宿营，他们是穿过南边的分水岭到那里的。在那之后，我们再往东边走，就看不到人了；只有安睡的河流、纹丝不动的树林和北方万籁俱寂的雪原。我说过，那条路很长，雪也没有人踩过。有的时候，我们劳累了一整天，也不过行进八到十英里路，到了晚上，我们睡得像死人一样沉。他们连做梦都不会想到我就是纳斯，阿卡屯的酋长，想要复仇的人。","“The way was long and the trail unpacked.Our dogs were many and ate much; nor could our sleds carry till the break of spring.We must come back before the river ran free.So here and there we cached grub, that our sleds might be lightened and there be no chance of famine on the back trip.At the McQuestion there were three men, and near them we built a cache, as also did we at the Mayo, where was a hunting-camp of a dozen Pellys which had crossed the divide from the south.After that, as we went on into the east, we saw no men; only the sleeping river, the moveless forest, and the White Silence of the North.As say, the way was long and the trail unpacked.Sometimes, in a day’s toil, we made no more than eight miles, or ten, and at night we slept like dead men.And never once did they dream that I was Naass, head man of Akatan, the righter of wrongs."
"“这个时候，我们搭的棚子比过去小了，到了晚上，我便轻而易举地沿着来时的路回去，把食物转移到别的地方，让人以为是黑獾偷走了食物。另外，还有那种容易掉进水里的地方，因为水流湍急，冰只结在表面，下面的那层很容易受河水冲刷。在这样一个地方，我赶的雪橇连狗一起掉下去了；这对于他和昂加来说是很不幸的事，但是之后再没有发生过这样的事。那架雪橇上有很多食物，狗也是最壮实的。但是因为身体强壮，他反而大笑起来，给剩下的狗很少的食物，后来我们就割断缰绳，把它们一个一个喂给它们的同伴。他说，这样的话，我们回去的时候负担就少了，我们可以沿途从这个棚子吃到那个棚子，就不需要狗跟雪橇了；这倒不假，因为我们的食物确实不多了，等到那个晚上，我们到了那个布满黄金和白骨、受人诅咒的地方，剩下的最后一条狗也死在挽具里了。","“We now made smaller caches, and in the nighttime it was a small matter to go back on the trail we had broken, and change them in such way that one might deem the wolverines the thieves.Again, there be places where there is a fall to the river, and the water is unruly, and the ice makes above and is eaten away beneath.In such a spot the sled I drove broke through, and the dogs; and to him and Unga it was ill luck, but no more.And there was much grub on that sled, and the dogs the strongest.But he laughed, for he was strong of life, and gave the dogs that were left little grub till we cut them from the harnesses, one by one, and fed them to their mates.We would go home light, he said, traveling and eating from cache to cache, with neither dogs nor sleds; which was true, for our grub was very short, and the last dog died in the traces the night we came to the gold and the bones and the curses of men."
