"英格兰，我的英格兰","England, My England"
"“我叫乔伊斯。”小孩清楚地说道。","‘My name is Joyce,’ said the child distinctly."
"“哦，是嘛！”他回答说，“哦，是嘛！嗯，我觉得那也是个好名字。乔伊斯，啊？——乔伊斯小姐大概多大了？她会告诉我吗？”","‘Oh, really!’ he replied.‘Oh, really!Well, that’s a fine name too, in my opinion.Joyce, eh?—And how old might Miss Joyce be?Can she tell me that?’"
"“我六岁了。”小孩有点被逗乐了，非常有优越感地说。","‘I’m six,’ said the child, slightly amused and very condescending."
"“六岁！那样啊。你能数到六了，是吧？嗯，那才是个聪明的小姑娘，聪明的小姑娘。我保证，要是她必须要喝一勺药，她都不会嘟囔一声。不像某些小姑娘。如何？啊？”","‘Six!There now.Add up and count as far as six, can you?Well, that’s a clever little girl, a clever little girl.And if she has to drink a spoonful of medicine, she won’t make a murmur, I’ll be bound.Not like some little girls.What? Eh?’"
"“如果妈妈要我喝，我会的。”乔伊斯说。","‘I take it if mother wishes me to,’ said Joyce."
"“啊，那样啊！那才像样！那才是我想从一位因为膝盖受伤而躺在床上的小女士那里听到的话。那才像样——”","‘Ah, there now!That’s the style!That’s what I like to hear from a little lady in bed because she’s cut her knee.That’s the style—’"
"这个让人舒服而又喋喋不休的医生处理好膝盖的伤口，然后打上绷带，并建议让小女士卧床休息，吃清淡的食物。他认为一两个星期后就会痊愈。幸好——没有伤及骨头或韧带。只是割破了皮肉。他一两天后会再来。","The comfortable and prolix doctor dressed and bandaged the knee and recommended bed and a light diet for the little lady.He thought a week or a fortnight would put it right.No bones or ligatures damaged—fortunately.Only a flesh cut.He would come again in a day or two."
"于是，乔伊斯放心地躺在床上，还把她所有的玩具都搬到了楼上。她父亲经常陪她玩。第三天，医生来了。他对膝盖的情况相当满意。它正在愈合。它正在愈合——是的——是的。继续让小孩躺在床上。一两天后他会再来。威妮弗雷德有些许不安。从表面看，伤口似乎在愈合，但小孩感觉太痛了。情况看起来不大对劲。她把这一想法给埃格伯特说了。","So Joyce was reassured and stayed in bed and had all her toys up.Her father often played with her.The doctor came the third day.He was fairly pleased with the knee.It was healing.It was healing—yes—yes.Let the child continue in bed.He came again after a day or two.Winifred was a trifle uneasy.The wound seemed to be healing on the top, but it hurt the child too much.It didn’t look quite right.She said so to Egbert."
"“埃格伯特，我肯定乔伊斯的膝盖没有在彻底地愈合。”","‘Egbert, I’m sure Joyce’s knee isn’t healing properly.’"
"“我认为它在。”他说，“我认为它愈合得很好。”","‘I think it is,’ he said.‘I think it’s all right.’"
"“我想请温医生再来一次——我感到不满意。”","‘I’d rather Doctor Wing came again—I don’t feel satisfied.’"
"“你难道不是在试图把事情想象得比实际更糟吗？”","‘Aren’t you trying to imagine it worse than it really is?’"
"“当然，你可以这样说。但我现在要给温医生写一张明信片。”","‘You would say so, of course.But I shall write a post-card to Doctor Wing now.’"
"医生第二天来了。他检查了膝盖。是的，有炎症。是的，可能有一点脓毒——可能有。可能有。孩子有发烧吗？","The doctor came next day.He examined the knee.Yes, there was inflammation.Yes, there might be a little septic poisoning—there might.There might.Was the child feverish?"
"这样两星期过去了，孩子真发烧了，膝盖的炎症更厉害了，变得更糟，而且很痛，很痛。孩子晚上会哭闹，她母亲不得不整夜陪在她身边。埃格伯特仍然坚持认为这没事，真的——它会过去的。但他内心却很焦急。","So a fortnight passed by, and the child was feverish, and the knee was more inflamed and grew worse and was painful, painful.She cried in the night, and her mother had to sit up with her.Egbert still insisted it was nothing, really—it would pass.But in his heart he was anxious."
"威妮弗雷德又给她父亲写信了。星期六，这位老人来了。一看到这个穿着灰色西服的矮壮身影，威妮弗雷德全身便笼罩在一种巨大的渴望中。","Winifred wrote again to her father.On Saturday the elderly man appeared.And no sooner did Winifred see the thick, rather short figure in its grey suit than a great yearning came over her."
"“父亲，我对乔伊斯的情况不满意。我对温医生不满意。”","‘Father, I’m not satisfied with Joyce.I’m not satisfied with Doctor Wing.’"
"“嗯，威妮，亲爱的，如果你不满意，我们就必须找更好的医生，就是这样。”","‘Well, Winnie, dear, if you’re not satisfied we must have further advice, that is all.’"
"这个结实、有力的老人走上楼，他的声音响彻整个屋子，好像刺穿了屋子里紧张的气氛。","The sturdy, powerful, elderly man went upstairs, his voice sounding rather grating through the house, as if it cut upon the tense atmosphere."
"“你怎么样，乔伊斯，宝贝？”他对孩子说，“膝盖痛吗？你感到痛吗，亲爱的？”","‘How are you, Joyce, darling?’ he said to the child.‘Does your knee hurt you?Does it hurt you, dear?’"
"“有时痛。”孩子有点惧怕他，对他很冷淡。","‘It does sometimes.’The child was shy of him, cold towards him."
"“噢，亲爱的，我很难过。我希望你尽量忍着，不要太麻烦你母亲。”","‘Well, dear, I’m sorry for that.I hope you try to bear it, and not trouble mother too much.’"
"没有回答。他看了看膝盖。膝盖又红又僵。","There was no answer.He looked at the knee.It was red and stiff."
"“当然，”他说，“我认为我们必须另找一位医生咨询一下。”如果我们打算这么做，最好马上就做。埃格伯特，你可否骑车到宾厄姆去请韦恩医生来？我发现他在治疗威妮的母亲时很让人满意。","‘Of course,’ he said, ‘I think we must have another doctor’s opinion.And if we’re going to have it, we had better have it at once.Egbert, do you think you might cycle in to Bingham for Doctor Wayne?I found him very satisfactory for Winnie’s mother.’"
"“如果您认为有必要的话，我可以去。”埃格伯特说。","‘I can go if you think it necessary,’ said Egbert."
"“我当然认为有必要。即使没什么事，那我们也可以心安。我当然认为有必要。可能的话，我希望韦恩医生今天晚上就来。”","‘Certainly I think it necessary.Even if there if nothing, we can have peace of mind.Certainly I think it necessary.I should like Doctor Wayne to come this evening if possible.’"
"于是，埃格伯特骑着自行车迎风出发了，就像一个替人跑腿的男孩，留下他岳父去当威妮弗雷德的精神支柱。","So Egbert set off on his bicycle through the wind, like a boy sent on an errand, leaving his father-in-law a pillar of assurance, with Winifred."
"韦恩医生来了，看起来很严肃。是的，膝盖的确在向不好的方向发展。孩子可能终生腿瘸。","Doctor Wayne came, and looked grave.Yes, the knee was certainly taking the wrong way.The child might be lame for life."
"激动、恐惧和愤怒开始在每个人心中燃起。第二天，韦恩医生又来进行了一次正规的检查。是的，膝盖的确已经向坏的方向发展。应该对它进行X光检查。这非常重要。","Up went the fire and fear and anger in every heart.Doctor Wayne came again the next day for a proper examination.And, yes, the knee had really taken bad ways.It should be X-rayed.It was very important."
"戈弗雷•马歇尔和医生在小径上走过来走过去，旁边停着一辆汽车。他们走过来又走过去，进行着商谈。他一生中经历过好多次这样的商谈。","Godfrey Marshall walked up and down the lane with the doctor, beside the standing motor-car: up and down, up and down in one of those consultations of which he had had so many in his life."
"最后，他走进屋里，来到威妮弗雷德面前。","As a result he came indoors to Winifred."
"“嗯，威妮，亲爱的，最好的办法是把乔伊斯带到伦敦去，她会在那里的一个私人疗养院得到正规的治疗。当然，这个膝盖已经由于治疗不佳而恶化了。而且显而易见的是，孩子甚至很可能会失去她的这条腿。你怎么想的，亲爱的？你同意我们把她带到城里，让她得到最好的照料吗？”","‘Well, Winnie, dear, the best thing to do is to take Joyce up to London, to a nursing home where she can have proper treatment.Of course this knee has been allowed to go wrong.And apparently there is a risk that the child may even lose her leg.What do you think, dear?You agree to our taking her up to town and putting her under the best care?’"
"“哦，父亲，你知道我愿意为她做任何事情。”","‘Oh, father, you know I would do anything on earth for her.’"
"“我知道你会，威妮宝贝。遗憾的是已经造成了这不幸的延误。我无法想象温医生都做了些什么。很明显，孩子有失去一条腿的危险。那好，如果你把一切都收拾妥当，明天我们就带她去城里。我将预订丹利疗养院的大救护车，让它十点钟到这里来。埃格伯特，你可以马上去给杰克逊医生发封电报吗？这是一家小型私人疗养院，专门针对小孩和外科病例，离贝克大街不远。我相信乔伊斯会在那里康复的。”","‘I know you would, Winnie darling.The pity is that there has been this unfortunate delay already.I can’t think what Doctor Wing was doing.Apparently the child is in danger of losing her leg.Well then, if you will have everything ready, we will take her up to town tomorrow.I will order the large car from Denley’s to be here at ten.Egbert, will you take a telegram at once to Doctor Jackson?It is a small nursing home for children and for surgical cases, not far from Baker Street.I’m sure Joyce will be all right there.’"
"“噢，父亲，我不能亲自护理她么！”","‘Oh, father, can’t I nurse her myself!’"
"“嗳，宝贝，如果要得到正规的治疗，她最好呆在疗养院里。应该接受X光治疗、电疗，等等需要的治疗。”","‘Well, darling, if she is to have proper treatment, she had best be in a home.The X-ray treatment, and the electric treatment, and whatever is necessary.’"
"“这样会花上一大笔的——”威妮弗雷德说。","‘It will cost a great deal—’ said Winifred."
"“如果孩子的腿——甚至她的生命都有了危险，我们就不能考虑费用问题了。谈费用没用。”老人很不耐烦地说。","‘We can’t think of cost, if the child’s leg is in danger—or even her life.No use speaking of cost,’ said the elder man impatiently."
"事情就这样定了。可怜的乔伊斯，四肢伸展地躺在密闭的大汽车的床上——母亲坐在她头这一边；蓄着短灰胡子、戴着常礼帽的外公坐在她脚这一边，他深感责任在身，心情久久难以平复——他们慢慢地驶离克罗坎，也把埃格伯特留在了身后。他站在那里，光着头，有点被羞辱的感觉。他要去关好房屋，然后第二天带着家里其他人乘火车去城里。","And so it was.Poor Joyce, stretched out on a bed in the big closed motor-car—the mother sitting by her head, the grandfather in his short grey beard and a bowler hat, sitting by her feet, thick, and implacable in his responsibility—they rolled slowly away from Crockham, and from Egbert who stood there bareheaded and a little ignominious, left behind.He was to shut up the house and bring the rest of the family back to town, by train, the next day."
"接下来是一段黑暗而痛苦的日子。这可怜的孩子。这个可怜的、可怜的孩子，在那家疗养院里，受了怎样的痛苦，受了多么久的折磨啊。正是这痛苦的六个星期，永远地改变了威妮弗雷德的灵魂。她坐在床边，看着这个可怜的、饱受折磨的小孩。孩子不仅被膝盖的病痛折磨，更惨的是被这些可怕、但也许必要的现代治疗手段折磨。此时，她感到她的心死了，正在胸中变凉。她的小乔伊斯，她的脆弱、勇敢、美好的小乔伊斯，瘦弱、娇小而又苍白，犹如一朵白色的花！啊，她，威妮弗雷德，怎么敢这么恶毒，这么恶毒，这么不小心，这么纵欲。","Followed a dark and bitter time.The poor child.The poor, poor child, how she suffered, an agony and a long crucifixion in that nursing home.It was a bitter six weeks which changed the soul of Winifred for ever.As she sat by the bed of her poor, tortured little child, tortured with the agony of the knee, and the still worse agony of these diabolic, but perhaps necessary modern treatments, she felt her heart killed and going cold in her breast.Her little Joyce, her frail, brave, wonderful, little Joyce, frail and small and pale as a white flower!Ah, how had she, Winifred, dared to be so wicked, so wicked, so careless, so sensual."
"“让我的心死去吧！让我女人的凡心死去吧！救世主，让我的心死去吧。救救我的孩子。让我的心死去吧，离开这个世界和这个肉体。噢，摧毁我如此任意妄为的心吧。让我高傲的心死去吧。让我的心死去吧。”","‘Let my heart die!Let my woman’s heart of flesh die!Saviour, let my heart die.And save my child.Let my heart die from the world and from the flesh.Oh, destroy my heart that is so wayward.Let my heart of pride die.Let my heart die.’"
"她在孩子的床边这样祈祷着。就像圣母胸前被插上了七把剑，她的高傲和激情之心在她胸中慢慢死去，不停地流着血。它流着血慢慢地死去。为了寻求安慰，她转向教会，转向耶稣，转向圣母，但最主要的是转向那个伟大而不朽的机构，罗马天主教。她退缩到教会的庇护之下。她是一位三个孩子的母亲。但她的灵魂死了，她的高傲、激情和欲望之心已流血而死。她的灵魂属于她的教会，她的身体属于她作为一个母亲的责任。","So she prayed beside the bed of her child.And like the Mother with the seven swords in her breast, slowly her heart of pride and passion died in her breast, bleeding away.Slowly it died, bleeding away, and she turned to the Church for comfort, to Jesus, to the Mother of God, but most of all, to that great and enduring institution, the Roman Catholic Church.She withdrew into the shadow of the Church.She was a mother with three children.But in her soul she died, her heart of pride and passion and desire bled to death, her soul belonged to her church, her body belonged to her duty as a mother."
"她作为一个妻子的责任不在其中。作为一个妻子，她没有责任感，只有对这个男人的某种愤恨。她已经跟这个男人一起，体会了那种肉体的快感和愉悦。她简直就是“痛苦之母”。对这个男人，她像坟墓一样关闭了。","Her duty as a wife did not enter.As a wife she had no sense of duty: only a certain bitterness towards the man with whom she had known such sensuality and distraction.She was purely the @Mater Dolorata@.To the man she was closed as a tomb."
"埃格伯特过来看孩子。但威妮弗雷德似乎总是坐在那里，像是他男权和父权的坟墓。可怜的威妮弗雷德：她仍然年轻，仍然壮实、红润、漂亮，像田野里鲜艳、顽强的花朵一样。奇怪——她那红润、健康的脸庞，如此忧郁；她的壮实、充满活力的身体，如此平静。她简直是一个修女！但她永远不会那样。然而随着一声缓慢、响亮的铿锵声，她的灵魂之门已经在他面前关上了，永远地把他关在了门外。她没有必要去女修道院。她的意志已经做到了这一点。","Egbert came to see his child.But Winifred seemed to be always seated there, like the tomb of his manhood and his fatherhood.Poor Winifred: she was still young, still strong and ruddy and beautiful like a ruddy hard flower of the field.Strange—her ruddy, healthy face, so sombre, and her strong, heavy, full-blooded body, so still.She, a nun!Never.And yet the gates of her heart and soul had shut in his face with a slow, resonant clang, shutting him out for ever.There was no need for her to go into a convent.Her will had done it."
"在这年轻的母亲和年轻的父亲之间，躺着这个瘸腿的孩子，像枕头上的一团浅色的丝绵，映出一张苍白的、饱受病痛折磨的小脸。他无法忍受这情景。他真的无法忍受这情景。他转过身去。他无能为力，只能转过身去。他转过身去，漫无目的地四处走动。他仍然有魅力、讨人喜欢。只是他眉间有了一道皱纹，似乎那里被一把小斧头砍了一刀：刚好砍了进去，在那里留下了永久的印记。","And between this young mother and this young father lay the crippled child, like a bit of pale silk floss on the pillow, and a little white pain-quenched face.He could not bear it.He just could not bear it.He turned aside.There was nothing to do but to turn aside.He turned aside, and went hither and thither, desultory.He was still attractive and desirable.But there was a little frown between his brow as if he had been cleft there with a hatchet: cleft right in, for ever, and that was the stigma."
"孩子的腿保住了，但膝盖被牢牢地固定起来了。目前的担心是小腿会不会萎缩，或者停止生长。必须对它进行长期的按摩和治疗，每天都要治疗，即使孩子不在疗养院时也要这样做。全部费用都是由这位外公承担的。","The child’s leg was saved: but the knee was locked stiff.The fear now was lest the lower leg should wither, or cease to grow.There must be long-continued massage and treatment, daily treatment, even when the child left the nursing home.And the whole of the expense was borne by the grandfather."
"现在，埃格伯特没有真正的家了。威妮弗雷德跟孩子和保姆一起，长期住在伦敦的小公寓里。他不能住那里：他会克制不了自己。小木屋关起来了——或是借给了朋友。他有时去他的花园干活，使那地方保持井然有序。然后，晚上，四周房子都空荡荡的，房间全都空荡荡的，他感到他的心变坏了。挫败感和无能感，像一条缓慢、迟钝的蛇，正慢慢地咬穿他的心。无能、无能：沼泽地般可怕的毒液流过他的血管，把他杀死。","Egbert now had no real home.Winifred with the children and nurse was tied to the little flat in London.He could not live there: he could not contain himself.The cottage was shut-up—or lent to friends.He went down sometimes to work in his garden and keep the place in order.Then with the empty house around him at night, all the empty rooms, he felt his heart go wicked.The sense of frustration and futility, like some slow, torpid snake, slowly bit right through his heart.Futility, futility: the horrible marsh-poison went through his veins and killed him."
"在寂静的白天，当他在花园里干活时，他会试图去听声音。没有声音。没有威妮弗雷德从黑暗的小屋里传来的声音，没有孩子们从空气中、从公地上、从近处传来的说话声。没有一点声音，除了古老而黑暗的沼泽地散发出的毒气以外，什么都没有。于是，他白天断断续续地干些活，到了晚上，就生一堆火，然后一个人做些吃的。","As he worked in the garden in the silence of day he would listen for a sound.No sound.No sound of Winifred from the dark inside of the cottage: no sound of children’s voices from the air, from the common, from the near distance.No sound, nothing but the old dark marsh-venomous atmosphere of the place.So he worked spasmodically through the day, and at night made a fire and cooked some food alone."
"他独自一人。他自己打扫小屋，整理床铺。但针线活他是不做的。当他干活时，他衬衫的肩膀处裂口了，露出了里面白皙的皮肤。他会感觉到空气和雨点打在他裸露的皮肉上。他会再次眺望整块公地。那里，一簇簇黑压压的荆豆正在枯萎、结籽，而一丛丛石南花正在变成粉红色，像零星的祭血。","He was alone.He himself cleaned the cottage and made his bed.But his mending he did not do.His shirts were slit on the shoulders, when he had been working, and the white flesh showed through.He would feel the air and the spots of rain on his exposed flesh.And he would look again across the common, where the dark, tufted gorse was dying to seed, and the bits of cat-heather were coming pink in tufts, like a sprinkling of sacrificial blood."
"他回想起这地方那蛮荒而古老的精神：对古老众神和那些早已逝去的激情的渴望——对嘶嘶作响着从他面前闪过的冷血的蛇的激情，神秘的血祭，所有那些属于这里的原始居民、却早已丧失的炙热激情——这些激情在罗马人到来之前很久便开始在空气中萦绕，一直流传至今。空气中萦绕着一种逝去的、隐秘的激情。还有那躲在暗处的蛇。","His heart went back to the savage old spirit of the place: the desire for old gods, old, lost passions, the passion of the cold-blooded, darting snakes that hissed and shot away from him, the mystery of blood-sacrifices, all the lost, intense sensations of the primeval people of the place, whose passions seethed in the air still, from those long days before the Romans came.The seethe of a lost, dark passion in the air.The presence of unseen snakes."
"他的脸上出现了一种怪异、困惑、半是邪恶的表情。他不会在小屋里呆太长时间。突然，他会觉得必须要蹬上他的自行车，去——随便什么地方。随便什么地方，离开这里就好。他会在原来的家里和母亲呆上几天。他母亲非常爱他，像任何母亲一样为他难过。但是那困惑、半是邪恶的微笑浮现在他脸上，他就突然转意，离开了母亲的牵挂，跟离开一切别的事物一样。","A queer, baffled, half-wicked look came on his face.He could not stay long at the cottage.Suddenly he must swing on to his bicycle and go—anywhere.Anywhere, away from the place.He would stay a few days with his mother in the old home.His mother adored him and grieved as a mother would.But the little, baffled, half-wicked smile curled on his face, and he swung away from his mother’s solicitude as from everything else."
"他总是在走动——从一个地方到另一个地方，从一个朋友到另一个朋友，总是转离别人的同情。只要同情像一只温柔的手那般伸出来要触碰他，他就会马上转向离开，像一条无毒蛇一样从突然转向、转向、转向，离开一只伸出的手。他必须离开。他会定期回到威妮弗雷德身边。","Always moving on—from place to place, friend to friend: and always swinging away from sympathy.As soon as sympathy, like a soft hand, was reached out to touch him, away he swerved, instinctively, as a harmless snake swerves and swerves and swerves away from an outstretched hand.Away he must go.And periodically he went back to Winifred."
"现在，对她来说，他很可怕，像一种诱惑。她全身心都扑在孩子和教会上。乔伊斯又可以站起来了；但是，哎！她瘸了，腿靠有铁支架撑着，还拄着一根小拐杖。奇怪的是她怎么长成了一个身材高挑、面色暗淡、个性野蛮的小家伙。很奇怪，疼痛没有让她变得温柔、听话，反而使这孩子养成了一种狂野、近乎暴怒的脾气。她七岁了，体态修长、皮肤白皙、身材瘦削，但绝不屈服。她浅黄色头发的颜色正在变深。她还要面对长期的痛苦，而且在她孩子的意识里，她知道要忍受腿瘸的缺陷。","He was terrible to her now, like a temptation.She had devoted herself to her children and her church.Joyce was once more on her feet; but, alas! lame, with iron supports to her leg, and a little crutch.It was strange how she had grown into a long, pallid, wild little thing.Strange that the pain had not made her soft and docile, but had brought out a wild, almost maenad temper in the child.She was seven, and long and white and thin, but by no means subdued.Her blonde hair was darkening.She still had long sufferings to face, and, in her own childish consciousness, the stigma of her lameness to bear."
"她忍受了这一点。她拥有几乎近乎狂暴的勇气，仿佛是一件细长、崭新的武器，充满了生气。她感谢母亲对她的所有关爱。她会永远站她母亲一边。但她偶尔也会发现父亲好脾气背后的绝望。","And she bore it.An almost maenad courage seemed to possess her, as if she were a long, thin, young weapon of life.She acknowledged all her mother’s care.She would stand by her mother for ever.But some of her father’s fine-tempered desperation flashed in her."
"当埃格伯特看到他的小女儿可怕地跛着脚走路的时候——不光是跛着脚，简直是在跛着脚、傻里傻气地踉跄，他的心就会再次因为懊恼而变得坚硬，就像回了火的钢一样。他和他的小女儿之间有一种默契：不是我们所谓的爱，而是一种血缘关系，就像士兵和武器之间的关系那样。他对待她的方式带着一丝讥讽的意味，与威妮弗雷德的深沉、直白的牵挂和照顾形成了鲜明的对照。孩子回了他一个带着一丝讥讽和轻率的微笑，这种奇怪的无礼行为反而让威妮弗雷德显得更忧郁、更诚挚了。","When Egbert saw his little girl limping horribly—not only limping but lurching horribly in crippled, childish way, his heart again hardened with chagrin, like steel that is tempered again.There was a tacit understanding between him and his little girl: not what we would call love, but a weapon-like kinship.There was a tiny touch of irony in his manner towards her, contrasting sharply with Winifred’s heavy, unleavened solicitude and care.The child flickered back to him with an answering little smile of irony and recklessness: an odd flippancy which made Winifred only the more sombre and earnest."
"马歇尔一家为孩子想尽了办法，操尽了心，寻求各种方法来挽救她的腿，让她能自由活动。他们不遗余力，不惜金钱，不惜一切意志力量。凭着他们全部的稳健、强大的意志力，他们决意要让乔伊斯保全她的活动的自由，找回她野性、自由的优雅。即使找回这种优雅要花很长时间，也在所不惜。","The Marshalls took endless thought and trouble for the child, searching out every means to save her limb and her active freedom.They spared no effort and no money, they spared no strength of will.With all their slow, heavy power of will they willed that Joyce should save her liberty of movement, should win back her wild, free grace.Even if it took a long time to recover, it should be recovered."
"情况就是如此。乔伊斯忍受了一星期又一星期、一月又一月严酷而痛苦的治疗。她感谢这些为她付出的可敬的努力。但她那像火焰般不顾一切的精神是她父亲给的。是他给了她所有的魅力。他和她就像某个被禁的秘密社团的成员，互相了解，但不一定能认出对方。他们，作为父亲和孩子，有着共同的知识，相同的生活秘密。但是，孩子体面地呆在母亲的阵营里，而父亲却像以实玛利一样在外面游荡，只是有时来到家里的营火边坐上一两个小时，或一两个晚上，像以实玛利一样奇怪地沉默和紧张。模仿着他在沉默中听到的零星话语，完全抛弃了家庭的传统。","So the situation stood.And Joyce submitted, week after week, month after month to the tyranny and pain of the treatment.She acknowledged the honourable effort on her behalf.But her flamy reckless spirit was her father’s.It was he who had all the glamour for her.He and she were like members of some forbidden secret society who know one another but may not recognize one another.Knowledge they had in common, the same secret of life, the father and the child.But the child stayed in the camp of her mother, honourably, and the father wandered outside like Ishmael, only coming sometimes to sit in the home for an hour or two, an evening or two beside the camp fire, like Ishmael, in a curious silence and tension, with the mocking answer of the desert speaking out of his silence, and annulling the whole convention of the domestic home."
"他的出现对威妮弗雷德而言仿佛是极大的痛苦。她祈祷让他离开。他眉宇间的那条小缝，那似附身在他脸上的隐约的、邪恶的微笑，特别是那胜利者的孤独感，都展示着以实玛利的品性。还有他挺拔、柔韧的身躯，就像一个符号。他站立的样子，那么安静，那么有诱惑力，像一个笔直、顺从的生命符号。那生气勃勃的身体面对着她沮丧的灵魂时，对她来说是一种折磨。他像一个顺从的、活生生的偶像，在她眼前晃动，她觉得如果她看了他，她就要倒霉了。","His presence was almost an anguish to Winifred.She prayed against it.That little cleft between his brow, that flickering, wicked, little smile that seemed to haunt his face, and above all, the triumphant loneliness, the Ishmael quality.And then the erectness of his supple body, like a symbol.The very way he stood, so quiet, so insidious, like an erect, supple symbol of life, the living body, confronting her downcast soul, was torture to her.He was like a supple living idol moving before her eyes, and she felt if she watched him she was damned."
"他来了，并且在她的小家里过得舒适、自在。当他在那里，以他自己的方式悄然走动时，她感到她为了生活而选择的整个伟大的舍弃法则仿佛都失效了。正是他的存在让她生活的法则不再有效。他替代了什么呢？啊，她硬起心肠回避这个问题。","And he came and made himself at home in her little home.When he was there, moving in his own quiet way, she felt as if the whole great law of sacrifice, by which she had elected to live, were annulled.He annulled by his very presence the laws of her life.And what did he substitute?Ah, against that question she hardened herself in recoil."
"她只得任由他在跟前四处走——穿着衬衫，用他那嘶哑的男高音跟孩子们讲话，这对她来说太糟糕了。安纳贝尔非常喜欢他，他也会逗这个小女孩玩。那个小不点，巴巴拉，则对他半信半疑。她生来就对他很陌生。但是，即使是保姆看见他那从衬衫裂口处露出的肩膀上的白皙肌肤时，都认为是一种羞耻。","It was awful to her to have to have him about—moving about in his shirt-sleeves, speaking in his tenor, throaty voice to the children.Annabel simply adored him, and he teased the little girl.The baby, Barbara, was not sure of him.She had been born a stranger to him.But even the nurse, when she saw his white shoulder of flesh through the slits of his torn shirt, thought it a shame."
"威妮弗雷德认为那不过是他对付她的又一件武器。","Winifred felt it was only another weapon of his against her."
"“你还有别的衬衫——为什么你要穿这件都破了的旧衣服，埃格伯特？”她说。","‘You have other shirts—why do you wear that old one that is all torn, Egbert?’ she said."
"“我干脆把它穿烂得了。”他机巧地说。","‘I may as well wear it out,’ he said subtly."
"他知道她是不会主动为他补衣服的。她不会补衣服。不，她也不愿意补。难道她没有自己的神要供奉吗？她会背叛他们，去信奉他的巴力和亚斯他录吗？（注：“巴力”和“亚斯他录”为《旧约》中的异邦邪神）对她来说，他剑拔弩张的存在太可怕了。那似乎废除了她和她的信仰，就像另一种启示。他像一个被召来与她作对的闪闪发亮的偶像，一个也许会取胜的、活生生的偶像。","He knew she would not offer to mend it for him.She could not.And no, she would not.Had she not her own gods to honour?And could she betray them, submitting to his Baal and Ashtaroth?And it was terrible to her, his unsheathed presence, that seemed to annul her and her faith, like another revelation.Like a gleaming idol evoked against her, a vivid life-idol that might triumph."
"他来了，又走了——她坚持着。接着，大战爆发了。他不是一个自甘堕落的男人。他不能放任自己。他有着纯正的英国血统，就算别人以性命相要挟，要他作恶，他也不会作恶。","He came and he went—and she persisted.And then the great war broke out.He was a man who could not go to the dogs.He could not dissipate himself.He was pure-bred in his Englishness, and even when he would have killed to be vicious, he could not."
"所以，当战争爆发时，他整个本能就是反对它：反对战争。他没有一丁点要征服外国人或出力杀死他们的想法。他没有“英帝国”的概念，《统治不列颠》（注：《统治不列颠》是一首英国爱国歌曲，歌颂英国海军在海洋上的统治力）对他来说只是一个笑话。他有着纯正的英国血统，来自优良的种族。而当他真正成为自己时，他也不会由于他的英国血统而更具有侵略性，就像一朵玫瑰不会因为它的带刺而具有攻击性一样。","So when the war broke out his whole instinct was against it: against war.He had not the faintest desire to overcome any foreigners or to help in their death.He had no conception of Imperial England, and Rule Britannia was just a joke to him.He was a pure-blooded Englishman, perfect in his race, and when he was truly himself he could no more have been aggressive on the score of his Englishness than a rose can be aggressive on the score of its rosiness."
"不，他不想去贬低德国而抬高英国。对他来说，德国人和英国人之间的区别不是好与坏的区别。而是蓝色的水中花和红色或白色的林间花之间的区别：仅仅是不同而已。就像野猪和野熊之间的不同。一个人是好还是坏取决于他的本性，而不是他的国籍。","No, he had no desire to defy Germany and to exalt England.The distinction between German and English was not for him the distinction between good and bad.It was the distinction between blue water-flowers and red or white bush-blossoms: just difference.The difference between the wild boar and the wild bear.And a man was good or bad according to his nature, not according to his nationality."
"埃格伯特有着良好的教养，这来自他天生的同情心。要去憎恨一整个民族，是完全不合他本性的。某些人他不喜欢，另一些人他喜欢，而对于大多数人，他则一无所知。某些行为他不喜欢，某些行为在他看来似乎很自然，而对于大多数行为，他则没有什么特别的感觉。","Egbert was well-bred, and this was part of his natural understanding.It was merely unnatural to him to hate a nation @en bloc@.Certain individuals he disliked, and others he liked, and the mass he knew nothing about.Certain deeds he disliked, certain deeds seemed natural to him, and about most deeds he had no particular feeling."
"然而，他却有着一种最深刻的、来自纯正血统的本性。他不可避免地拒绝接纳大众强加给他的感觉。他的感觉是他自己的，他的同情是他自己的，而且他永远不愿背弃它们。难道仅仅因为那些乌合之众期望他这么做，一个人就应该放弃他的真知和自我吗？","He had, however, the one deepest pure-bred instinct.He recoiled inevitably from having his feelings dictated to him by the mass feeling.His feelings were his own, his understanding was his own, and he would never go back on either, willingly.Shall a man become inferior to his own true knowledge and self, just because the mob expects it of him?"
"埃格伯特敏锐地感受到了，而且毫无疑问，他岳父也感受到了，不过是以一种粗鄙、更具战斗性的方式。尽管这两个男人有很多不同，他们却是两个真正的英国人，他们有着几乎完全相同的本性。","What Egbert felt subtly and without question, his father-in-law felt also in a rough, more combative way.Different as the two men were, they were two real Englishmen, and their instincts were almost the same."
"戈弗雷•马歇尔认真思考着世界上的事。这些事中包括德国的军事入侵，英国关于自由和“和平征服”的非军事观点——即工业主义。即使在军国主义和工业主义之间进行选择也是一个罪恶的选择，这位老人肯定他必然选择后者。他灵魂因为对权力的直觉而敏锐。","And Godfrey Marshall had the world to reckon with.There was German military aggression, and the English non-military idea of liberty and the ‘conquests of peace’—meaning industrialism.Even if the choice between militarism and industrialism were a choice of evils, the elderly man asserted his choice of the latter, perforce.He whose soul was quick with the instinct of power."
