"千块皮","Allerleirauh"
"“那很合我心意。”老三回答说，于是他便带上了帽子，把桌布留给了烧炭工。然而，还没走远，他便拍了拍他的背囊，士兵们又替他取回了桌布。他心里想：“这真是锦上添花，我觉得我的好运还会源源不断的。”他的想法果然很快应验了。赶了整整一天的路，他遇到了第三个烧炭工，与之前一样，烧炭工邀请他吃没有放油的土豆。但他依然和烧炭工一起享用了桌布上的美食。烧炭工非常喜欢这块桌布，便提出要用一个号角与他交换，这个号角的用途和帽子大不一样。只要有人一吹号角，所有的城墙和堡垒都会倒塌，而城镇和村庄也会化成一片废墟。毫无疑问，老三用桌布换下了号角，可是不一会，他便又命令士兵们把它拿了回来。于是到了最后，背囊、帽子和号角这三件宝物都成了他的囊中之物。“是时候了，”他说，“我已经是个成功的人了，我要回去看看我的哥哥们过得怎么样了。”","“That suits me very well,” he answered, took the hat, put it on, and left his table-cloth behind him.Hardly, however, had he walked away than he tapped on his knapsack, and his soldiers had to fetch the cloth back again.“One thing comes on the top of another,” thought he, “and I feel as if my luck had not yet come to an end.”Neither had his thoughts deceived him.After he had walked on for the whole of one day, he came to a third charcoal-burner, who like the previous ones, invited him to potatoes without dripping.But he let him also dine with him from his wishing-cloth, and the charcoal-burner liked it so well, that at last he offered him a horn for it, which had very different properties from those of the hat.When any one blew it all the walls and fortifications fell down, and all towns and villages became ruins.He certainly gave the charcoal-burner the cloth for it, but he afterwards sent his soldiers to demand it back again, so that at length he had the knapsack, hat and horn, all three.“Now,” said he, “I am a made man, and it is time for me to go home and see how my brothers are getting on.”"
"回到家时，他发现两个哥哥已经用那些金子和银子盖起了气派的房子，过着舒适富裕的生活。当他走过去看他们时，因为衣衫褴褛，又戴着破破烂烂的帽子，身上还背着陈旧的背囊，他的哥哥都不愿承认他是自己的弟弟。他们嘲笑他道：“你居然说自己是我们的弟弟，他可是对金子和银子都嗤之以鼻，一心渴望更好的东西。他一定会像趾高气昂的国王那样，乘着马车，一身华丽地回到这里，怎么会和乞丐一样呢。”说着便把他赶出了家门。老三勃然大怒，他不停地拍打他的背囊，直到一百五十个全副武装的士兵排列在他面前。他命令士兵们将哥哥的屋子团团围住，其中两个人手拿榛树棍，狠狠抽打着他那傲慢无礼的哥哥，直到他们认出他为止。这阵剧烈的骚乱很快引来了周围的人们，他们想把那两个可怜的家伙救出来，可是面对那些士兵却又都无能为力了。终于，消息传到了国王耳朵里，国王听后勃然大怒，马上命令一名上尉带着他的部队前往，把破坏宁静的闹事者驱逐出小镇。但是这个背着背囊的年轻人很快召集了更多的士兵，击败了上尉和他的部队，上尉和他的部队被打得落花流水，只好撤退。国王说道：“这个流浪汉太不守纪律了。”第二天便派出了更为强大的部队去对付老三，但这支部队更惨，收效甚微。老三召集了更多的士兵来进行还击，为了让战争尽快结束，他把脑袋上的帽子转了两转，于是那些大炮开始猛烈地攻击，打得国王的军队抱头鼠窜。他接着说：“除非国王把公主嫁给我，并让我代表他统治国家，不然我绝对不会讲和。”他派人把这番话传达给国王，国王听后，便对公主说：“这着实是个棘手的问题，但除了满足他的要求，我还能做什么呢？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　如果想要和平并保住我头上的王冠，只能把你献出去了。”","When he reached home, his brothers had built themselves a handsome house with their silver and gold, and were living in clover.He went to see them, but as he came in a ragged coat, with his shabby hat on his head, and his old knapsack on his back, they would not acknowledge him as their brother.They mocked and said, “Thou givest out that thou art our brother who despised silver and gold, and craved for something still better for himself.He will come in his carriage in full splendour like a mighty king, not like a beggar,” and they drove him out of doors.Then he fell into a rage, and tapped his knapsack until a hundred and fifty men stood before him armed from head to foot.He commanded them to surround his brothers’ house, and two of them were to take hazel-sticks with them, and beat the two insolent men until they knew who he was.A violent disturbance arose, people ran together, and wanted to lend the two some help in their need, but against the soldiers they could do nothing.News of this at length came to the King, who was very angry, and ordered a captain to march out with his troop, and drive this disturber of the peace out of the town; but the man with the knapsack soon got a greater body of men together, who repulsed the captain and his men, so that they were forced to retire with bloody noses.The King said, “This vagabond is not brought to order yet,” and next day sent a still larger troop against him, but they could do even less.The youth set still more men against them, and in order to be done the sooner, he turned his hat twice round on his head, and heavy guns began to play, and the king’s men were beaten and put to flight.“And now,” said he, “I will not make peace until the King gives me his daughter to wife, and I govern the whole kingdom in his name.”He caused this to be announced to the King, and the latter said to his daughter, “Necessity is a hard nut to crack, what remains to me but to do what he desires?If I want peace and to keep the crown on my head, I must give thee away.”"
"就这样，老三和公主举行了婚礼，但公主却很是苦恼，他的丈夫不仅是个普通人，还戴着破帽、背着旧背囊。她特别想摆脱这个人，日日夜夜都寻思着怎样才能赶走他。她突然想到：“他奇异的魔力莫非就藏在他的背囊里？”于是她开始假意讨好他，等到他心一软，便说：“要是你能把这个丑陋的背囊放在一边多好，它让你显得太难看了，我不禁为你感到羞愧呢。”“亲爱的，”她丈夫说道，“这个背囊可是我最珍贵的宝贝，只要我有了它，世上就没有什么能让我惧怕的了。”接着他便把背囊的神奇魔力透露给了公主。公主投入他的怀抱，装出要吻他的样子，但却敏捷地从他肩上取下了背囊逃跑了。当她跑到没人的地方后，她立刻拍了拍背囊，指挥那些士兵把他们从前的主人捉起来，并把他赶出皇宫。士兵们奉命而去，这个不忠诚的妻子又派了更多的人去，要把他赶出这个国家。要是没有头上的帽子，他肯定就完蛋了。他的双手刚刚获得自由，他便立马把帽子转动了两圈。瞬间，炮声隆隆，炸毁了所有的一切，公主被迫前来求饶。公主的恳求是那样情真意切，并且发誓一定改过，他被说服了，答应和她讲和。公主装出一副友好的样子，表现得好像非常爱他，不多久便把他愚弄了。他又向他的妻子吐露了秘密，即使有人拿走了他的背囊，只要他那破旧的帽子还在，就没人能对付他。得知了这一切，公主便趁他睡着时，偷走了他的帽子，并把它扔到了大街上。可是号角还在他身上，一怒之下，他使劲全身力气吹响了号角。转眼之间，城墙、堡垒、城市和村庄都纷纷倒下，而国王和公主都被压死了。要是他没有放下号角，再多吹那么一小会，所有的一切都会变成废墟，再也看不到两块能叠在一起的石块了。从此以后，再也没有人与他对着干了，他便成为了统治整个国家的国王。","So the wedding was celebrated, but the King’s daughter was vexed that her husband should be a common man, who wore a shabby hat, and put on an old knapsack.She wished much to get rid of him, and night and day studied how she could accomplished this.Then she thought to herself, “Is it possible that his wonderful powers lie in the knapsack?” and she dissembled and caressed him, and when his heart was softened, she said, “If thou wouldst but lay aside that ugly knapsack, it makes disfigures thee so, that I can’t help being ashamed of thee.”“Dear child,” said he, “this knapsack is my greatest treasure; as long as I have it, there is no power on earth that I am afraid of.”And he revealed to her the wonderful virtue with which it was endowed.Then she threw herself in his arms as if she were going to kiss him, but dexterously took the knapsack off his shoulders, and ran away with it.As soon as she was alone she tapped it, and commanded the warriors to seize their former master, and take him out of the royal palace.They obeyed, and the false wife sent still more men after him, who were to drive him quite out of the country.Then he would have been ruined if he had not had the little hat.But his hands were scarcely at liberty before he turned it twice.Immediately the cannon began to thunder, and struck down everything, and the King’s daughter herself was forced to come and beg for mercy.As she entreated in such moving terms, and promised amendment, he allowed himself to be persuaded and granted her peace.She behaved in a friendly manner to him, and acted as if she loved him very much, and after some time managed so to befool him, that he confided to her that even if someone got the knapsack into his power, he could do nothing against him so long as the old hat was still his.When she knew the secret, she waited until he was asleep, and then she took the hat away from him, and had it thrown out into the street.But the horn still remained to him, and in great anger he blew it with all his strength.Instantly all walls, fortifications, towns, and villages, toppled down, and crushed the King and his daughter to death.And had he not put down the horn and had blown just a little longer, everything would have been in ruins, and not one stone would have been left standing on another.Then no one opposed him any longer, and he made himself King of the whole country."
"矮人的礼物","The Little Folks’ Presents"
"裁缝和金匠结伴一同旅行。一天傍晚，当太阳落山之后，他们听到从远处传来了阵阵音乐，并且越来越清晰。这乐声听上去有些奇特，但却格外悠扬愉悦，让他们忘记了一路的疲倦，快速地向前走去。走着走着，他们来到了一座小山丘前，这时，月亮已经高高升起。在那里，他们看到了一群小矮人，男男女女手拉着手，兴高采烈地围成一圈，旋转着跳舞。","A tailor and a goldsmith were travelling together, and one evening when the sun had sunk behind the mountains, they heard the sound of distant music, which became more and more distinct.It sounded strange, but so pleasant that they forgot all their weariness and stepped quickly onwards.The moon had already arisen when they reached a hill on which they saw a crowd of little men and women, who had taken each other’s hands, and were whirling round in the dance with the greatest pleasure and delight."
"矮人们伴着音乐唱歌。这悦耳的旋律正是两位旅行者听到过的。在他们中间坐着一位老人，个子比其他人都要高些。他穿着一件色彩斑斓的大衣，铁灰色的胡子长长地垂到了胸前。两个旅行者万分惊奇，一动不动地站在那儿看着矮人们跳舞。老人向他们示意，让他们进去，于是矮人们热情地打开了圆圈，为他们让路。金匠是一个驼背，正如所有的驼背一样，胆子够大，就走了进去。而裁缝，一开始有些害怕，踌躇着不敢上前，但当他看到所有人都非常欢乐时，便也鼓起勇气跟了进去。矮人们很快又围起了一个圈，载歌载舞，热情奔放。然而老人却从腰带上取下一把大刀开始磨，直到把它磨得足够锋利，接着他转过头来看着两位陌生人。两个人吓坏了，可还没来得及想要怎么办，说时迟那时快，金匠已经被老人一把抓住，他的头发和胡子都被剃光了，而裁缝也没能幸免。但是他们的恐惧很快就烟消云散了，在剃完他们的毛发后，老人友好地拍了拍他们的肩膀，仿佛在说，他们表现得很好，服服帖帖，没有反抗。接着，老人用手指了指身边的一堆煤，向两个旅行者做了手势，示意他们在口袋里装满煤。虽然不知道这些煤对他们有什么用，两人还是都照着老人的话做了，随后他们便继续赶路，想要找个地方过夜。他们走进山谷时，邻近修道院的钟声正好敲响了十二下，歌声停止了。顷刻间，一切都消失不见了，只剩下那座小山丘，在月光下独自耸立。","They sang to it most charmingly, and that was the music which the travellers had heard.In the midst of them sat an old man who was rather taller than the rest.He wore a parti-coloured coat, and his iron-grey beard hung down over his breast.The two remained standing full of astonishment, and watched the dance.The old man made a sign that they should enter, and the little folks willingly opened their circle.The goldsmith, who had a hump, and like all hunchbacks was brave enough, stepped in; the tailor felt a little afraid at first, and held back, but when he saw how merrily all was going, he plucked up his courage, and followed.The circle closed again directly, and the little folks went on singing and dancing with the wildest leaps.The old man, however, took a large knife which hung to his girdle, whetted it, and when it was sufficiently sharpened, he looked round at the strangers.They were terrified, but they had not much time for reflection, for the old man seized the goldsmith and with the greatest speed, shaved the hair of his head clean off, and then the same thing happened to the tailor.But their fear left them when, after he had finished his work, the old man clapped them both on the shoulder in a friendly manner, as much as to say, they had behaved well to let all that be done to them willingly, and without any struggle.He pointed with his finger to a heap of coals which lay at one side, and signified to the travellers by his gestures that they were to fill their pockets with them.Both of them obeyed, although they did not know of what use the coals would be to them, and then they went on their way to seek a shelter for the night.When they had got into the valley, the clock of the neighbouring monastery struck twelve, and the song ceased.In a moment all had vanished, and the hill lay in solitude in the moonlight."
"两个旅行者找到了一家小旅店，盖着衣服躺在草铺上，然而由于实在是疲惫不堪，他们忘了把口袋里的煤先取出来再躺下。压在他们四肢上沉重的分量使他们醒得比平时都早。他们摸了摸自己的口袋，发现里面装的不是煤而是纯金，这让他们简直不敢相信自己的眼睛。同样令他们高兴的是，他们的头发和胡子都长出来了，而且和从前一样浓密。","The two travellers found an inn, and covered themselves up on their straw-beds with their coats, but in their weariness forgot to take the coals out of them before doing so.A heavy weight on their limbs awakened them earlier than usual.They felt in the pockets, and could not believe their eyes when they saw that they were not filled with coals, but with pure gold; happily, too, the hair of their heads and beards was there again as thick as ever."
"现在，他们已经是两个有钱人了，而金匠生性贪婪，他把口袋装得更满，足足是裁缝的两倍。一个贪婪的人，即使拥有许多，也还想要更多。于是金匠便向裁缝提议再呆一天，等到晚上再出去一次，这样他们就能从山上的老人那儿得到更多的财宝。裁缝拒绝了，他说：“我有的已经够多了，我心满意足了。现在我可以做师傅了，还能和我亲爱的东西（他如此称呼他的爱人）结婚，我真是个幸福的男人。”但是为了不让金匠扫兴，他还是多呆了一天。晚上，为了能贮藏大量的金子，金匠在肩上又多背了两个口袋，接着便向小山丘进发。和前一晚一样，他又看到了又唱又跳的小矮人们，老人依然剃光了他的头发和胡子，示意他把煤带走。金匠没有半点迟疑，尽可能多地往袋子里塞着煤，然后欣喜若狂地回去，用他的大衣把自己盖上。“即使金子非常重，”他说，“我也心甘情愿地忍受。”最后他进入了甜甜的梦乡，期盼着早上醒来时，自己能变成一个大富翁。","They had now become rich folks, but the goldsmith, who, in accordance with his greedy disposition, had filled his pockets better, was as rich again as the tailor.A greedy man, even if he has much, still wishes to have more, so the goldsmith proposed to the tailor that they should wait another day, and go out again in the evening in order to bring back still greater treasures from the old man on the hill.The tailor refused, and said, “I have enough and am content; now I shall be a master, and marry my dear object (for so he called his sweetheart), and I am a happy man.”But he stayed another day to please him.In the evening the goldsmith hung a couple of bags over his shoulders that he might be able to stow away a great deal, and took the road to the hill.He found, as on the night before, the little folks at their singing and dancing, and the old man again shaved him clean, and signed to him to take some coal away with him.He was not slow about sticking as much into his bags as would go, went back quite delighted, and covered himself over with his coat.“Even if the gold does weigh heavily,” said he, “I will gladly bear that,” and at last he fell asleep with the sweet anticipation of waking in the morning an enormously rich man."
"当他睁开眼睛时，便迫不及待地去检查自己的袋子。但令他惊讶的是，无论他掏多少次，口袋里除了黑黑的煤块外，什么也没有。“我前天晚上得到的金子一定还在。”他边思索，边走过去，把金子取出来，可让他震惊的是，那些金子也一样再次变成了煤。他用满是煤灰、黑乎乎的手重重地拍打自己的脑袋，这才发现整个脑袋都是光秃秃的，以前长着胡子的地方也是光秃秃的。但是他的不幸还远远不止这些。他第一次注意到，除了驼背外，自己的胸前也隆起了一个同样大小的包。此时，他意识到了这是在惩罚自己贪得无厌，便开始放声大哭起来。善良的裁缝被金匠的哭声吵醒了，他竭力安慰着倒霉的同伴，说道：“你一直是我旅途中的伙伴，你就留在我的身边，一同分享我的财富吧。”裁缝遵守自己的诺言，而可怜的金匠却必须终身背着两个驼峰，还要用帽子来遮盖自己那光秃秃的脑袋。","When he opened his eyes, he got up in haste to examine his pockets, but how amazed he was when he drew nothing out of them but black coals, and that howsoever often he put his hands in them.“The gold I got the night before is still there for me,” thought he, and went and brought it out, but how shocked he was when he saw that it likewise had again turned into coal.He smote his forehead with his dusty black hand, and then he felt that his whole head was bald and smooth, as was also the place where his beard should have been.But his misfortunes were not yet over; he now remarked for the first time that in addition to the hump on his back, a second, just as large, had grown in front on his breast.Then he recognized the punishment of his greediness, and began to weep aloud.The good tailor, who was wakened by this, comforted the unhappy fellow as well as he could, and said, “Thou hast been my comrade in my travelling time; thou shalt stay with me and share in my wealth.”He kept his word, but the poor goldsmith was obliged to carry the two humps as long as he lived, and to cover his bald head with a cap."
"布拉克尔家的女儿","The Maid of Brakel"
"一次，布拉克尔家的一个女孩来到希内恩堡脚下的圣安妮小教堂。由于她希望能有一个丈夫，又以为四下里没有人，于是便唱道：","A girl from Brakel once went to St. Anne’s Chapel at the foot of the Hinnenberg, and as she wanted to have a husband, and thought there was no one else in the chapel, she sang,"
"“哦，神圣的圣安妮！赶快保佑我有个丈夫吧。您非常了解他，他就住在苏特美门外，有着一头金黄的头发，您非常了解他。”","“Oh, holy Saint Anne!Help me soon to a man.Thou know’st him right well, By Suttmer gate does he dwell, His hair it is golden, Thou know’st him right well.”"
"不过，有一位执事正站在祭坛后，听到了她的祷告，便用粗哑的嗓音说道：“你不会得到他！你不会得到他！”这个女孩还以为此话出自站在母亲安妮身边的小玛丽，她气得喊了起来：“哎呦哟，你这自负的小丫头，快住嘴，让你妈说！” ","The clerk, however, was standing behind the altar and heard that, so he cried in a very gruff voice, “Thou shalt not have him!Thou shalt not have him!”The maiden thought that the child Mary who stood by her mother Anne had called out that to her, and was angry, and cried, “Fiddle de dee, conceited thing, hold your tongue, and let your mother speak!”"
"钉子","The Nail"
"有位商人在一次交易会上生意很好，把所有的货物都卖完了，钱袋里装满了金币银币。于是他打算往家走了，想在傍晚前赶回家里。他把钱装进行李箱里，绑在马背上，骑着马就走了。","A merchant had done good business at the fair; he had sold his wares, and lined his money-bags with gold and silver.Then he wanted to travel homewards, and be in his own house before nightfall.So he packed his trunk with the money on his horse, and rode away."
"中午的时候，他在一个小镇上休息，正当他要继续赶路时，马童把马拉了出来，说：“先生，您需要一颗钉子，马左后蹄上的蹄铁上少了颗钉子。”“少就少吧，”商人回答，“那蹄铁肯定能坚持得住六英里路，我得赶紧走了。”","At noon he rested in a town, and when he wanted to go farther the stable-boy brought out his horse and said, “A nail is wanting, sir, in the shoe of its left hind foot.”“Let it be wanting,” answered the merchant; “the shoe will certainly stay on for the six miles I have still to go.I am in a hurry.”"
"下午，当他再次下马休息，让马童喂马时，马童走进房间对他说：“先生，马左后蹄上的蹄铁丢了。要我把马拉到铁匠那儿去吗？”“丢就丢吧，”商人回答，“只剩几英里路了，马可以顶得住，我着急赶路呢。”","In the afternoon, when he once more alighted and had his horse fed, the stable-boy went into the room to him and said, “Sir, a shoe is missing from your horse’s left hind foot.Shall I take him to the blacksmith?”“Let it still be wanting,” answered the man; “the horse can very well hold out for the couple of miles which remain.I am in haste.”"
"他又继续前行，但没过多久，马就开始一瘸一拐了。这样没走多久，马开始磕磕绊绊起来，没过一会儿，马跌倒在地，折断了腿。商人没办法只好把马留在原地，卸下行李箱扛在自己背上，走着回去了。直到深夜，他才走回了家。“都怪那倒霉的钉子，”他自言自语道，“惹出这么多麻烦。”","He rode forth, but before long the horse began to limp.It had not limped long before it began to stumble, and it had not stumbled long before it fell down and broke its leg.The merchant was forced to leave the horse where it was, and unbuckle the trunk, take it on his back, and go home on foot.And there he did not arrive until quite late at night.“And that unlucky nail,” said he to himself, “has caused all this disaster.”"
"真是欲速则不达啊。","Hasten slowly."
"七个斯瓦比亚人","The Seven Swabians"
"从前，有七个斯瓦比亚人生活在一起。他们是：老大马斯特·舒尔茨、老二雅克利、老三马利、老四耶格利、老五米夏尔、老六汉斯、老七法伊特利。他们七个都立志要到世界各地去探险，成就一番伟业。但是，为了行路安全，他们手里得有武器，他们认为最好带上一根又长又结实的长矛。矛造好后，他们七人一起抬着这个长矛；最英勇无畏的老大马斯特·舒尔茨走在最前面，其余的人站成一排跟在后面，法伊特利走在最后。七月的一天，正值割晒牧草的时节，他们已经走了很长一段路了，但依然离准备过夜的村庄很远。天色渐渐暗了下来，他们走在一片草地上，一只大甲虫或是黄蜂突然从后面的灌木丛中向他们嗡嗡地袭来，极具威胁性。马斯特·舒尔茨吓得差点儿丢掉了手中的长矛，全身直冒冷汗。“听！听！”他对着他的伙伴们大叫道，“天啊！我听到一阵鼓声。”站在他身后抬着矛的雅克利闻到了某种气味，说道：“肯定发生什么事了，因为我闻到了一股火药和火柴的味道。”一听到这些话，马斯特·舒尔茨调头就跑，一转眼就跨过了树篱，但他正好跳到了刚晒完草被扔在一边的耙子的齿上。耙子柄打在他的脸上，给了他狠狠一击。“哦，天啊！哦，天啊！”马斯特·舒尔茨大叫了起来。“我愿意当俘虏，我投降！我投降！”其余六个也全跳了起来，一个比一个大声地叫道：“你投降，我也投降！你投降，我也投降！”过了很长一段时间，没有敌人将他们捆绑带走，他们才意识到自己搞错了。为了不让这个事情泄露出去，让别人觉得他们很蠢、很荒诞，他们相互发誓死守秘密，直到其中一个人不小心说漏了嘴为止。于是，他们继续前行。他们侥幸逃脱的第二次危险比这次要险恶得多。几天以后，他们沿路走进了一片休耕地，一只兔子正蹲坐在太阳下睡觉。它的耳朵高高竖起，玻璃球般的眼睛睁得大大的。看到这只恐怖的野兽，他们都害怕极了，便一起商量着怎样做才能让危险降至最低。因为，如果逃跑的话，他们认为那只怪物会紧追上来把他们囫囵吞掉。于是，他们说：“我们必须进行殊死一搏。敢于冒险就算成功一半了。”于是七个人一起抬起长矛，马斯特·舒尔茨在前，法伊特利在后。马斯特·舒尔茨总是将矛往后缩，但后面的法伊特利却变得异常勇敢，总想往前冲，还大叫着：","Seven Swabians were once together.The first was Master Schulz; the second, Jackli; the third, Marli; the fourth, Jergli; the fifth, Michal; the sixth, Hans; the seventh, Veitli: all seven had made up their minds to travel about the world to seek adventures, and perform great deeds.But in order that they might go in security and with arms in their hands, they thought it would be advisable that they should have one solitary, but very strong, and very long spear made for them.This spear all seven of them took in their hands at once; in front walked the boldest and bravest, and that was Master Schulz; all the others followed in a row, and Veitli was the last.Then it came to pass one day in the hay-making month (July), when they had walked a long distance, and still had a long way to go before they reached the village where they were to pass the night, that as they were in a meadow in the twilight a great beetle or hornet flew by them from behind a bush, and hummed in a menacing manner.Master Schulz was so terrified that he all but dropped the spear, and a cold perspiration broke out over his whole body.“Hark! hark!” cried he to his comrades, “Good heavens! I hear a drum.”Jackli, who was behind him holding the spear, and who perceived some kind of a smell, said, “Something is most certainly going on, for I taste powder and matches.”At these words Master Schulz began to take to flight, and in a trice jumped over a hedge, but as he just happened to jump on to the teeth of a rake which had been left lying there after the hay-making, the handle of it struck against his face and gave him a tremendous blow.“Oh dear! Oh dear!” screamed Master Schulz.“Take me prisoner; I surrender! I surrender!”The other six all leapt over, one on the top of the other, crying, “If you surrender, I surrender too!If you surrender, I surrender too!”At length, as no enemy was there to bind and take them away, they saw that they had been mistaken, and in order that the story might not be known, and they be treated as fools and ridiculed, they all swore to each other to hold their peace about it until one of them accidentally spoke of it.Then they journeyed onwards.The second danger which they survived cannot be compared with the first.Some days afterwards, their path led them through a fallow-field where a hare was sitting sleeping in the sun.Her ears were standing straight up, and her great glassy eyes were wide open.All of them were alarmed at the sight of the horrible wild beast, and they consulted together as to what it would be the least dangerous to do.For if they were to run away, they knew that the monster would pursue and swallow them whole.So they said, “We must go through a great and dangerous struggle.Boldly ventured, is half won,” and all seven grasped the spear, Master Schulz in front, and Veitli behind.Master Schulz was always trying to keep the spear back, but Veitli had become quite brave while behind, and wanted to dash forward and cried,"
"“冲啊，以全体斯瓦比亚人的名义，否则我会诅咒你们变成跛子。”","“Strike home, in every Swabian’s name, or else I wish ye may be lame.”"
"但汉斯清楚怎么应对，说道：","But Hans knew how to meet this, and said,"
"“你光打雷不下雨，老是穷嚷嚷，一动真格的，你就落后。”　","“Thunder and lightning, it’s fine to prate, but for dragon-hunting thou’rt aye too late.”"
"米夏尔叫到：","Michal cried,"
"“千真万确，分毫不差，他就是个不折不扣的魔鬼。”","“Nothing is wanting, not even a hair, be sure the Devil himself is there.”"
"然后，轮到耶格利说话了：","Then it was Jergli’s turn to speak,"
"“就算他不是魔鬼，也至少是魔鬼的儿子，或是魔鬼同父异母的兄弟。”","“If it be not, it’s at least his mother, or else it’s the Devil’s own step-brother.”"
"突然，马利灵机一动，对法伊特利说：","And now Marli had a bright thought, and said to Veitli,"
"“往前冲，法伊特利，往前冲，往前冲，我在后面会握住长矛的。”","“Advance, Veitli, advance, advance, and I behind will hold the lance.”"
"但法伊特利并没有听马利的话，于是耶格利接着说：","Veitli, however, did not attend to that, and Jackli said,"
"“舒尔茨应该站在最前面，除了他之外，没有人配得上这样的荣誉。”","“Tis Schulz’s place the first to be, no one deserves that honor but he.”"
"于是，舒尔茨鼓足勇气，神情凝重地说：","Then Master Schulz plucked up his courage, and said, gravely,"
"“那就让我们勇敢地向前冲，开始战斗吧，这样才能展现出我们的勇猛和威力。”","“Then let us boldly advance to the fight, and thus we shall show our valour and might.”"
"于是，他们一起向恶魔发起了进攻。马斯特·舒尔茨在胸前画了十字架以祈求上帝的帮助，但是这一切似乎都无济于事。他一边向敌人靠近，一边痛苦万分地尖叫着：“哎哟！哎哟！啊！啊！啊！”叫声惊动了野兔，它吓了一大跳，飞快逃跑了。看到野兔飞速逃离了战场，马斯特·舒尔茨高兴地大叫了起来：","Hereupon they all together set on the dragon.Master Schulz crossed himself and prayed for God’s assistance, but as all this was of no avail, and he was getting nearer and nearer to the enemy, he screamed “Oho! oho! ho! ho! ho!” in the greatest anguish.This awakened the hare, which in great alarm darted swiftly away.When Master Schulz saw her thus flying from the field of battle, he cried in his joy."
"“快，法伊特利，快，看那里，那里，那怪兽只不过是只野兔！”","“Quick, Veitli, quick, look there, look there, the monster’s nothing but a hare!”"
"但随后，这几个斯瓦比亚人还继续寻找新的冒险。他们到了摩泽尔河，那是一条幽静的、布满青苔的深河，河上几乎没有桥，因此在很多地方，人们都需要乘船过河。由于七个斯瓦比亚人并不知道这些，便问正在河对岸干活的人怎样才能过河。因为两岸距离太远，他们又听不懂彼此的语言，河对岸的那个人无法理解他们到底需要什么，那个人用特里尔附近的语言问道：“什么？什么？”","But the Swabian allies went in search of further adventures, and came to the Moselle, a mossy, quiet, deep river, over which there are few bridges, and which in many places people have to cross in boats.As the seven Swabians did not know this, they called to a man who was working on the opposite side of the river, to know how people contrived to get across.The distance and their way of speaking made the man unable to understand what they wanted, and he said “What? what?” in the way people speak in the neighborhood of Treves."
"马斯特·舒尔茨还以为他在说：“趟过来，趟水过来。”因为他排在最前头，所以他第一个踏入了摩泽尔河。不一会儿，他就陷入烂泥里了，河里的大浪击打着他，但他的帽子被风吹到了对岸，一只青蛙蹲在帽子旁边“呱呱呱”地叫着。河岸这边的六个人听到这叫声，便说：“哎哟，朋友们，马斯特·舒尔茨正在叫我们呢，如果他能趟过去，我们为什么不能呢？”于是，他们六人一起慌忙地跳进了水中，结果全都被淹死了。就这样，一只青蛙要了六条人命，这几个斯瓦比亚人没有一个活着回家的。","Master Schulz thought he was saying, “Wade, wade through the water,” and as he was the first, began to set out and went into the moselle.It was not long before he sank in the mud and the deep waves which drove against him, but his hat was blown on the opposite shore by the wind, and a frog sat down beside it, and croaked “Wat, wat, wat.”The other six on the opposite side heard that, and said, “Oho, comrades, Master Schulz is calling us; if he can wade across, why cannot we?”So they all jumped into the water together in a great hurry, and were drowned, and thus one frog took the lives of all six of them, and not one of the Swabian allies ever reached home again."
"能歌善舞的百灵鸟","The Singing, Springing Lark"
