"Indian Summer of A Forsyte","老福赛特的印第安之夏  "
"There, accompanied by the dog Balthasar, he examined the plants narrowly and succeeded in finding at least two dozen berries which were really ripe.","小狗巴尔萨泽陪着他，一株草莓一株草莓地仔细察看，终于找到两三打熟透了的草莓。"
"Stooping was not good for him, and he became very dizzy and red in the forehead.","一直弯着腰对他的身体无益，他感到头晕目眩，前额也泛红。"
"Having placed the strawberries in a dish on the dining-table, he washed his hands and bathed his forehead with eau de Cologne.","他把草莓摆到盘里，搁在餐桌上，然后洗了洗手，在额头上抹了点儿古龙水。"
"There, before the mirror, it occurred to him that he was thinner.","站在镜子前，他发现自己变瘦了。"
"What a ‘threadpaper’ he had been when he was young!","他年轻的时候就瘦得像根竹竿似的。"
"It was nice to be slim—he could not bear a fat chap; and yet perhaps his cheeks were too thin!","瘦一点儿是好的——他向来受不了胖子；不过他的面颊似乎也太瘦了！"
"She was to arrive by train at half-past twelve and walk up, entering from the road past Drage’s farm at the far end of the coppice.","艾琳的火车十二点半到站，她要经过小灌木林尽头的德雷奇农场，沿着那条路走上来。"
"And, having looked into June’s room to see that there was hot water ready, he set forth to meet her, leisurely, for his heart was beating.","他往琼的房间里看了看，看到热水已经备好，就出发去接她了。他走得不紧不慢，因为他心跳得厉害。"
"The air smelled sweet, larks sang, and the Grand Stand at Epsom was visible.","空气里飘荡着清香，云雀也放声歌唱，埃普索姆赛马场的大看台一目了然。"
"A perfect day!","真是完美的一天！"
"On just such a one, no doubt, six years ago, Soames had brought young Bosinney down with him to look at the site before they began to build.","毫无疑问，六年前也是这样的一天，在他们开始建房子之前，索姆斯曾带着小波辛尼一道来这里选址。"
"It was Bosinney who had pitched on the exact spot for the house—as June had often told him.","房子的具体位置是波辛尼选的——琼常常跟他说起这个。"
"In these days he was thinking much about that young fellow, as if his spirit were really haunting the field of his last work, on the chance of seeing—her.","这些日子他总是想起那个小伙子，仿佛他的灵魂依然在他最后一件作品附近游荡，期望有机会能够看见——她。"
"Bosinney—the one man who had possessed her heart, to whom she had given her whole self with rapture!","波辛尼——那唯一一个占据了她的心的人，她疯狂地将自己毫无保留地献予的人！"
"At his age one could not, of course, imagine such things, but there stirred in him a queer vague aching—as it were the ghost of an impersonal jealousy; and a feeling, too, more generous, of pity for that love so early lost.","当然，像他这样年纪的人是没法想象这种事的，但是他心里却涌起一种奇怪又模糊的痛苦——隐约的不带一丝个人感情的嫉妒。此外还有一种比较宽厚的怜悯之情，遗憾这段爱情这么快就结束了。"
"All over in a few poor months!","短短几个月就都结束了！"
"Well, well!","唉，唉！"
"He looked at his watch before entering the coppice—only a quarter past, twenty-five minutes to wait!","走进小树林前他看了看表——才十二点一刻，还要再等二十五分钟！"
"And then, turning the corner of the path, he saw her exactly where he had seen her the first time, on the log; and realised that she must have come by the earlier train to sit there alone for a couple of hours at least.","然后，转过小路，他就看见她了，恰好是第一次看到她的地方，她坐在那根原木上。他意识到她一定是坐上一班火车来的，想先来这里独自坐一会儿，至少已经坐了两个小时了。"
"Two hours of her society missed!","错过了可以和她相处的两个小时！"
"What memory could make that log so dear to her?","是什么样的回忆让她如此留恋这根原木？"
"His face showed what he was thinking, for she said at once:","他的表情表露出他的心思，她马上说："
"“Forgive me, Uncle Jolyon; it was here that I first knew.”","“非常抱歉，乔利恩伯伯。我是在这里认识——”"
"“Yes, yes; there it is for you whenever you like.","“哦，哦。你想来的时候随时都可以来。"
"You’re looking a little Londony; you’re giving too many lessons.”","你看上去有点儿疲倦，教课太多了吧。”"
"That she should have to give lessons worried him.","她不得不教课，这让他有点儿担心。"
"Lessons to a parcel of young girls thumping out scales with their thick fingers.","给一群小女孩上课，教她们用胖乎乎的手指敲出不同的音阶。"
"“Where do you go to give them?” he asked.","“你去哪儿教课？”他问道。"
"“They’re mostly Jewish families, luckily.”","“大部分都是犹太家庭，还好。”"
"Old Jolyon stared; to all Forsytes Jews seem strange and doubtful.","老乔利恩睁大了眼睛，在所有福赛特家的人看来，犹太人都是陌生且令人生疑的。"
"“They love music, and they’re very kind.”","“他们都喜欢音乐，人也挺好。”"
"“They had better be, by George!”","“希望他们确实如此！”"
"He took her arm—his side always hurt him a little going uphill—and said:","他挽住她的手臂——上坡时他的左肋总是有点儿疼——他说："
"“Did you ever see anything like those buttercups?","“你见过这样的黄毛茛么？"
"They came like that in a night.”","它们一夜间就开成这样了。”"
"Her eyes seemed really to fly over the field, like bees after the flowers and the honey.","她的目光似乎真的飘过田野，就像蜜蜂追着鲜花与花蜜。"
"“I wanted you to see them—wouldn’t let them turn the cows in yet.”","“我想让你也看看这些花，所以还没有让他们把牛放出来。”"
"Then, remembering that she had come to talk about Bosinney, he pointed to the clock-tower over the stables:","他又想起她过来是为了说说波辛尼的事，于是指着马厩那边的钟塔说："
"“I expect he wouldn’t have let me put that there—had no notion of time, if I remember.”","“我想他肯定不会让我在那儿建钟塔——他没有一点儿时间观念，如果我没记错的话。”"
"But, pressing his arm to her, she talked of flowers instead, and he knew it was done that he might not feel she came because of her dead lover.","她把他的手臂挽得更紧一些，却转而谈起花来。他很清楚，她这样做是为了不让他觉得，她自己来这里就是为了她那逝去的情人。"
"“The best flower I can show you,” he said, with a sort of triumph, “is my little sweet.","“我能给你看的最美的花儿，”他略带得意地说，“就是我的小甜心。"
"She’ll be back from Church directly.","她马上就要从教堂回来了。"
"There’s something about her which reminds me a little of you,” and it did not seem to him peculiar that he had put it thus, instead of saying: “There’s something about you which reminds me a little of her.”","我觉得她某些地方有点儿像你。”他本应该说，“我觉得你某些地方有点儿像她。”但他并没觉得这样反过来说有什么奇怪的。"
"Ah! And here she was!","啊！她回来了！"
"Holly, followed closely by her elderly French governess, whose digestion had been ruined twenty-two years ago in the siege of Strasbourg, came rushing towards them from under the oak tree.","霍利从橡树下跑过来，后面紧跟着她上了年纪的法国女教师，二十二年前斯特拉斯堡被围的时候，她的胃就出了问题。"
"She stopped about a dozen yards away, to pat Balthasar and pretend that this was all she had in her mind.","她在大约十二码远的地方停了下来，轻拍着巴尔萨泽，假装她想的就这一件事。"
"Old Jolyon, who knew better, said:","她的心思老乔利恩再明白不过了，他于是说："
"“Well, my darling, here’s the lady in grey I promised you.”","“来，亲爱的，这就是我答应过给你介绍的那位灰衣服女士。”"
"Holly raised herself and looked up.","霍利直起身子，抬头看她。"
"He watched the two of them with a twinkle, Irene smiling, Holly beginning with grave inquiry, passing into a shy smile too, and then to something deeper.","他看着她们俩，眼睛闪着光。艾琳笑着，霍利刚开始一本正经地问好，接着也露出了羞涩的微笑，然后笑意越来越浓。"
"She had a sense of beauty, that child—knew what was what!","她知道什么是美，这孩子——眼光很好！"
"He enjoyed the sight of the kiss between them.","他很享受地看着她们互相亲吻。"
"“Mrs. Heron, Mam’zelle Beauce.","“这位是希伦太太，这位是博斯小姐。"
"Well, Mam’zelle—good sermon?”","博斯小姐——今天的布道不错吧？”"
"For, now that he had not much more time before him, the only part of the service connected with this world absorbed what interest in church remained to him.","他现在剩下的时间不多了，对教堂仅剩的兴趣就是唯一与这个世界有联系的布道仪式了。"
"Mam’zelle Beauce stretched out a spidery hand clad in a black kid glove—she had been in the best families—and the rather sad eyes of her lean yellowish face seemed to ask: “Are you well-brrred?”","博斯小姐伸出戴着黑色羊羔皮手套的细长的手——她在一些最优越的家庭呆过——她那暗黄瘦削的脸上，一双充满悲伤的眼睛似乎在问：“你受过好的教育吗？”"
"Whenever Holly or Jolly did anything unpleasing to her—a not uncommon occurrence—she would say to them: “The little Tayleurs never did that—they were such well-brrred little children.”","不管霍利或者乔利做了什么让她不开心的事情——这是常事——她都会对他们说：“泰罗尔家的孩子们从来不会这样做——他们都是非常有教养的小孩。”"
"Jolly hated the little Tayleurs; Holly wondered dreadfully how it was she fell so short of them.","乔利讨厌泰罗尔家的小孩；霍利怎么也搞不懂自己为什么总比不上他们。"
"‘A thin rum little soul,’ old Jolyon thought her—Mam’zelle Beauce.","“瘦小古怪的人儿。”老乔利恩这样评价她——博斯小姐。"
"Luncheon was a successful meal, the mushrooms which he himself had picked in the mushroom house, his chosen strawberries, and another bottle of the Steinberg cabinet filled him with a certain aromatic spirituality, and a conviction that he would have a touch of eczema to-morrow.","午餐很成功，蘑菇是老乔利恩自己在蘑菇棚里摘的，草莓也是他亲自挑的，而又一瓶施泰因贝格秘制酒，让他腹中芳香，心神荡漾，也让他觉得明天定要犯湿疹了。"
"After lunch they sat under the oak tree drinking Turkish coffee.","午饭后，他们坐在橡树下喝土耳其咖啡。"
"It was no matter of grief to him when Mademoiselle Beauce withdrew to write her Sunday letter to her sister, whose future had been endangered in the past by swallowing a pin—an event held up daily in warning to the children to eat slowly and digest what they had eaten.","博斯小姐先告辞了，老乔利恩一点儿不觉得遗憾。她每周日都要给姐姐写信。她的姐姐曾经吞下一枚大头针，那之后的日子就变得艰难起来。博塞小姐每天都会拿这件事当例子，告诫孩子们吃饭要细嚼慢咽，以助于消化。"
"At the foot of the bank, on a carriage rug, Holly and the dog Balthasar teased and loved each other, and in the shade old Jolyon with his legs crossed and his cigar luxuriously savoured, gazed at Irene sitting in the swing.","斜坡下面的车毯上，霍利和小狗巴尔萨泽在亲热地嬉戏。树阴下，老乔利恩翘着腿，纵情品味着雪茄，注视着坐在秋千上的艾琳。"
"A light, vaguely swaying, grey figure with a fleck of sunlight here and there upon it, lips just opened, eyes dark and soft under lids a little drooped.","轻盈的灰色身影在微微晃动，阳光点点落在她身上，嘴唇微张，稍稍下垂的眼睑下是一双温柔的深色眼睛。"
"She looked content; surely it did her good to come and see him!","她看起来很满足；来看他确实让她觉得很好！"
"The selfishness of age had not set its proper grip on him, for he could still feel pleasure in the pleasure of others, realising that what he wanted, though much, was not quite all that mattered.","年老带来的自私还没完全将他控制，他还能为别人的快乐而快乐，他意识到尽管他想要的东西很多，但并不都是最重要的。"
"“It’s quiet here,” he said; “you mustn’t come down if you find it dull.","“这儿很安静，”他说，“你要是觉得无趣，也不必非要下来。"
"But it’s a pleasure to see you.","不过能看到你我很高兴。"
"My little sweet is the only face which gives me any pleasure, except yours.”","我的小甜心是唯一让我感到开心的脸蛋，你的也是。”"
"From her smile he knew that she was not beyond liking to be appreciated, and this reassured him.","从她的笑容，他看得出她与常人无异，也喜欢被赞赏，这就让他放心了。"
"“That’s not humbug,” he said.","“这不是哄你，”他说，"
"“I never told a woman I admired her when I didn’t.","“我从不对我不喜欢的女人说喜欢。"
"In fact I don’t know when I’ve told a woman I admired her, except my wife in the old days; and wives are funny.”","其实，我都不记得什么时候跟女人说过我喜欢她了，以前会对我妻子说，不过当妻子的都很有趣。”"
"He was silent, but resumed abruptly:","他停了下来，又突然说："
"“She used to expect me to say it more often than I felt it, and there we were.”","“她总想让我多说，我不想说的时候还让我说，我们也就那样了。”"
"Her face looked mysteriously troubled, and, afraid that he had said something painful, he hurried on: “When my little sweet marries, I hope she’ll find someone who knows what women feel.","她一脸困惑，觉得他的话难以理解；他害怕自己说了一些让她痛苦的东西，急忙又说：“我的小甜心结婚时，我希望她能找到一个懂得女人心思的人。"
"I shan’t be here to see it, but there’s too much topsy-turvydom in marriage; I don’t want her to pitch up against that.”","我是看不到那一天了，但是婚姻中实在有太多颠三倒四的东西，我不想她遇到那些。”"
"And, aware that he had made bad worse, he added: “That dog will scratch.”","意识到自己越说越糟糕，他忙岔开了：“这狗要挠痒痒了。”"
"A silence followed.","接着是一阵沉默。"
"Of what was she thinking, this pretty creature whose life was spoiled; who had done with love, and yet was made for love?","她在想什么？这个尤物，她的生活被毁了，她的爱情已经结束，可她又是为爱而生。"
"Some day when he was gone, perhaps, she would find another mate—not so disorderly as that young fellow who had got himself run over.","等他不在了，或许某天她会找到另一个伴侣——不像那个年轻人一样乱糟糟的，让他自己被车碾过。"
"Ah! but her husband?","啊，那她的丈夫呢？"
"“Does Soames never trouble you?” he asked.","“索姆斯没有再纠缠你吗？”他问。"
"She shook her head.","她摇了摇头。"
"Her face had closed up suddenly.","脸顿时沉了下来。"
"For all her softness there was something irreconcilable about her.","尽管她很温顺，在有些问题上却绝不退让。"
"And a glimpse of light on the inexorable nature of sex antipathies strayed into a brain which, belonging to early Victorian civilisation—so much older than this of his old age—had never thought about such primitive things.","这让老乔利恩第一次意识到了两性间的憎恶是如此决绝。他那维多利亚时代早期的头脑——比现在的时代还要古老得多——以前从没考虑过这些原始的问题。"
"“That’s a comfort,” he said.","“那还不错。”他说，"
"“You can see the Grand Stand to-day.","“今天你可以望见大看台。"
"Shall we take a turn round?”","我们去转转吧？”"
"Through the flower and fruit garden, against whose high outer walls peach trees and nectarines were trained to the sun, through the stables, the vinery, the mushroom house, the asparagus beds, the rosery, the summer-house, he conducted her—even into the kitchen garden to see the tiny green peas which Holly loved to scoop out of their pods with her finger, and lick up from the palm of her little brown hand.","他带她穿过种着鲜花和水果的园子，桃树和油桃树的树枝为了阳光探出了园子高高的围墙；他们穿过马厩、葡萄园、蘑菇棚、芦笋田、玫瑰园和凉亭，还去了菜园看细小的青豌豆；霍利喜欢用手指把豆荚里的豆子抠出来，然后放在棕色的小手心中舔。"
"Many delightful things he showed her, while Holly and the dog Balthasar danced ahead, or came to them at intervals for attention.","他带她看了很多令人愉快的东西，霍利和小狗巴尔萨泽则在前面蹦蹦跳跳，不时跑过来吸引他们的注意。"
"It was one of the happiest afternoons he had ever spent, but it tired him and he was glad to sit down in the music room and let her give him tea.","这是他度过的最开心的一个下午，但也让他感到疲惫，于是回到音乐室后，他开心地坐下来，让她给他倒杯茶。"
"A special little friend of Holly’s had come in—a fair child with short hair like a boy’s.","霍利一个特别要好的小朋友进来了——一个皮肤白皙的小女孩，留着男孩子一样的短发。"
"And the two sported in the distance, under the stairs, on the stairs, and up in the gallery.","两个孩子在远处游戏，有时在楼梯下，有时在楼梯上，有时又跑到了楼上的走廊里。"
"Old Jolyon begged for Chopin.","老乔利恩让艾琳弹肖邦的曲子。"
"She played studies, mazurkas, waltzes, till the two children, creeping near, stood at the foot of the piano their dark and golden heads bent forward, listening.","她弹了练习曲，玛祖卡和华尔兹。她弹到后来，两个孩子悄悄走了过来，站在钢琴旁，向前伸着她们黑发和金发的小脑袋，仔细听着。"
"Old Jolyon watched.","老乔利恩在一旁看着。"
"“Let’s see you dance, you two!”","“跳个舞吧，你们俩！”"
"Shyly, with a false start, they began.","她们害羞地跳了起来，开头的步子就迈错了。"
"Bobbing and circling, earnest, not very adroit, they went past and past his chair to the strains of that waltz.","她们舞动着、旋转着，虽然不太灵巧但很认真，跟着华尔兹的旋律，一次次地经过他的椅子。"
"He watched them and the face of her who was playing turned smiling towards those little dancers thinking:","他看着她们，还有艾琳的脸；她正在弹琴，朝着小舞者们微笑。他心想："
"‘Sweetest picture I’ve seen for ages.’","“多少年没见到如此美妙的画面了。”"
"A voice said:","一个法国声音叫道："
"“Hollee!","“霍利！"
"Mais enfin—qu’est-ce que tu fais la—danser, le dimanche!","你们在那儿干嘛？跳舞？今天可是周日！"
"Viens, donc!”","过来！”"
"But the children came close to old Jolyon, knowing that he would save them, and gazed into a face which was decidedly ‘caught out.’","可孩子们都凑到老乔利恩身边，知道他会护着她们，看着他故意做出一副“被逮到了”的表情。"
"“Better the day, better the deed, Mam’zelle.","“良辰做美事，小姐。"
"It’s all my doing.","是我让她们跳的。"
"Trot along, chicks, and have your tea.”","去吧，小家伙们，去喝茶吧。”"
"And, when they were gone, followed by the dog Balthasar, who took every meal, he looked at Irene with a twinkle and said:","她们出去了，小狗巴尔萨泽也跟了过去，它可一顿都不落下。他目光闪闪地看着艾琳，说："
"“Well, there we are!","“就剩我们了！"
"Aren’t they sweet?","看她们多可爱！"
"Have you any little ones among your pupils?”","你的学生中有没有这样的小家伙？”"
"“Yes, three—two of them darlings.”","“嗯，有两三个很招人喜欢。”"
"“Pretty?”","“漂亮吗？”"
"“Lovely!”","“可爱得很！”"
"Old Jolyon sighed; he had an insatiable appetite for the very young.","老乔利恩叹了口气，他永远看不厌小孩子。"
"“My little sweet,” he said, “is devoted to music; she’ll be a musician some day.","“我的小甜心，”他说，“特别喜欢音乐，总有一天会成为音乐家。"
"You wouldn’t give me your opinion of her playing, I suppose?”","我想你不会介意听听她弹得怎么样吧？” "
"“Of course I will.”","“当然不。”"
"“You wouldn’t like—” but he stifled the words “to give her lessons.”","“那你愿不愿意——”他没说出下面的“给她上课”。"
"The idea that she gave lessons was unpleasant to him; yet it would mean that he would see her regularly.","他不太喜欢让她教课这个念头，但这意味着他可以经常看到她。"
"She left the piano and came over to his chair.","她离开钢琴，来到他椅子旁。"
"“I would like, very much; but there is—June.","“我愿意，非常愿意，可问题是——琼。"
"When are they coming back?”","他们什么时候回来？”"
"Old Jolyon frowned.","老乔利恩皱起了眉头："
"“Not till the middle of next month.","“下月中旬才回来。"
"What does that matter?”","那又怎样？”"
"“You said June had forgiven me; but she could never forget, Uncle Jolyon.”","“您说琼已经原谅我了；可她永远不会忘记，乔利恩伯伯。”"
"Forget! She must forget, if he wanted her to.","忘记！她必须忘记，如果他要她这么做的话。"
"But as if answering, Irene shook her head.","可艾琳像是在回答似的摇了摇头。"
"“You know she couldn’t; one doesn’t forget.”","“您知道她不会；人是不会忘记的。”"
"Always that wretched past!","总是那段讨厌的过去！"
"And he said with a sort of vexed finality:","他有些恼怒地下了结论："
"“Well, we shall see.”","“好吧，以后再说吧。”"
"He talked to her an hour or more, of the children, and a hundred little things, till the carriage came round to take her home.","他和她又谈了一个多小时，谈孩子们，还有很多琐事，直到马车来接她回家。"
"And when she had gone he went back to his chair, and sat there smoothing his face and chin, dreaming over the day.","她离开后，他回到自己的椅子，坐在那里摩挲着脸和下巴，回味着这一天。"
"That evening after dinner he went to his study and took a sheet of paper.","那天晚饭后，他去了书房，拿出一张纸。"
"He stayed for some minutes without writing, then rose and stood under the masterpiece ‘Dutch Fishing Boats at Sunset.’","他坐了几分钟，什么也没写，接着起身，在名画《日暮时分的荷兰渔船》下站着。"
"He was not thinking of that picture, but of his life.","他想的不是这幅画，而是自己的人生。"
"He was going to leave her something in his Will; nothing could so have stirred the stilly deeps of thought and memory.","他要在遗嘱中给她留下些东西，没有哪件事能像这个念头一样深深搅动他思绪与记忆深处的宁静。"
"He was going to leave her a portion of his wealth, of his aspirations, deeds, qualities, work—all that had made that wealth; going to leave her, too, a part of all he had missed in life, by his sane and steady pursuit of wealth.","他要给她留一些财产，一些自己的抱负、作为、品质和工作——所有帮他获得那些财产的东西。他还要给她留一点儿所有那些他在生命中错过了的东西，由于自己理性而执著地追寻财富而错过的东西。"
"All! What had he missed?","所有那些！他都错过了什么？"
"‘Dutch Fishing Boats’ responded blankly; he crossed to the French window, and drawing the curtain aside, opened it.","《荷兰渔船》沉默不语，他走到落地窗前，拉开窗帘，打开窗子。"
"A wind had got up, and one of last year’s oak leaves which had somehow survived the gardener’s brooms, was dragging itself with a tiny clicking rustle along the stone terrace in the twilight.","起风了，暮色中，一片去年不知如何逃过园丁扫把的橡树叶，在石铺的露台上被风刮着走，发出簌簌的声响。"
"Except for that it was very quiet out there, and he could smell the heliotrope watered not long since.","除此之外，周围一片寂静，他甚至能闻到天芥菜刚刚浇过水的气息。"
"A bat went by.","一只蝙蝠飞过。"
"A bird uttered its last ‘cheep.’ And right above the oak tree the first star shone.","一只鸟“啾啾”地叫了最后一声。就在橡树顶，第一颗星星亮了起来。"
"Faust in the opera had bartered his soul for some fresh years of youth.","歌剧中，浮士德用自己的灵魂换来了几年青春。"
"Morbid notion!","多么病态的念头！"
"No such bargain was possible, that was real tragedy!","根本不可能有这种交易，这才是真正的悲剧！"
"No making oneself new again for love or life or anything.","人无法让自己再年轻一次，去享受爱情、生活，或者别的。"
"Nothing left to do but enjoy beauty from afar off while you could, and leave it something in your Will.","能做的只有在尚在人世的时候远远地欣赏一下美人，然后在遗嘱中为她留下点什么。"
"But how much?","可是留多少？"
"And, as if he could not make that calculation looking out into the mild freedom of the country night, he turned back and went up to the chimney-piece.","乡村柔和的夜晚让人觉得轻松自在；就像望着夜色无法计算一样，他转过身来，走到壁炉旁。"
"There were his pet bronzes—a Cleopatra with the asp at her breast; a Socrates; a greyhound playing with her puppy; a strong man reining in some horses.","那里有他喜爱的铜像——胸前绕着毒蛇的克莱奥帕特拉、苏格拉底、正和幼犬玩耍的灵缇犬，还有一个驾着几匹马的壮汉。"
"‘They last!’ he thought, and a pang went through his heart.","“它们不会死！”他想着，心中一痛。"
"They had a thousand years of life before them!","它们还能活几千年！"
"‘How much?’ Well! enough at all events to save her getting old before her time, to keep the lines out of her face as long as possible, and grey from soiling that bright hair.","“留多少？”至少要够她生活，使她不会韶华早逝，尽量不让皱纹早早就爬上她的脸，也不让银丝玷污她的秀发。"
"He might live another five years.","他可能还能活五年。"
"She would be well over thirty by then.","那时她就30多岁了。"
"‘How much?’","“留多少？”"
"She had none of his blood in her!","她和他没有血缘关系！"
"In loyalty to the tenor of his life for forty years and more, ever since he married and founded that mysterious thing, a family, came this warning thought—None of his blood, no right to anything!","自他结婚并建立那个神秘的事物——家，已有四十多年。这些年来，他一直遵循生活的准则，现在这一准则发出了警告——和他没有血缘关系的，无权继承任何东西！"
"It was a luxury then, this notion.","那这个想法就是一种奢侈。"
"An extravagance, a petting of an old man’s whim, one of those things done in dotage.","它是一种挥霍，是对老年人突发奇想的放纵，是年老昏聩才会做的事情。"
"His real future was vested in those who had his blood, in whom he would live on when he was gone.","他真正的未来寄托于身体里流淌着自己血液的后代，他死后，生命将在他们身上延续。"
"He turned away from the bronzes and stood looking at the old leather chair in which he had sat and smoked so many hundreds of cigars.","他从铜像转过身，站在那里望着那张旧皮椅，他曾坐在那里抽了几百只雪茄。"
"And suddenly he seemed to see her sitting there in her grey dress, fragrant, soft, dark-eyed, graceful, looking up at him.","突然间，他仿佛看到她就坐在那里，穿着灰色裙子，散发着淡淡香气，温柔而又高雅，正抬起头用那双深色眼睛望着他。"
"Why! She cared nothing for him, really; all she cared for was that lost lover of hers.","为什么要给！她根本不在乎他，不是吗？她挂念的只是死去的情人。"
"But she was there, whether she would or no, giving him pleasure with her beauty and grace.","可是不管她愿不愿意，她就在那里，用自己的美丽和优雅使他开心。"
"One had no right to inflict an old man’s company, no right to ask her down to play to him and let him look at her—for no reward!","人没有权利硬让她陪着一个老人，没有权利要求她坐下来为他弹琴，允许他欣赏她，却不给她任何回报！"
"Pleasure must be paid for in this world.","这个世界没有免费的快乐可得。"
"‘How much?’ After all, there was plenty; his son and his three grandchildren would never miss that little lump.","“留多少？”不管怎么说，他有很多钱；他的儿子和三个孙儿永远不会介意少了这一小部分。"
"He had made it himself, nearly every penny; he could leave it where he liked, allow himself this little pleasure.","所有的钱都是他自己挣的，几乎每一分都是。他想给谁就给谁，应该满足自己的这点儿愿望。"
"He went back to the bureau.","他回到桌前。"
"‘Well, I’m going to,’ he thought, ‘let them think what they like.","“我要给，”他想，“随他们怎么想。”"
"I’m going to!’ And he sat down.","“我要给！”他坐了下来。"
"‘How much?’","“给多少？”"
"Ten thousand, twenty thousand—how much?","一万，两万——给多少？"
"If only with his money he could buy one year, one month of youth.","要是他能用这些钱，换回一年、哪怕一个月的青春，该多好。"
"And startled by that thought, he wrote quickly:","他为自己这个想法吃了一惊，于是快速写道："
"‘DEAR HERRING,—Draw me a codicil to this effect: “I leave to my niece Irene Forsyte, born Irene Heron, by which name she now goes, fifteen thousand pounds free of legacy duty.” ‘Yours faithfully, ‘JOLYON FORSYTE.’","“希林先生：请为我添加一条遗嘱：‘留给我侄媳艾琳·福赛特，闺名艾琳·希伦，即她目前使用的名字，一万五千镑遗产，不含遗产税。’您忠实的‘乔利恩·福赛特’。”"
"When he had sealed and stamped the envelope, he went back to the window and drew in a long breath.","他把信口封好，贴上邮票，然后走回窗前，长长地舒了口气。"
"It was dark, but many stars shone now.","天已经黑了，但夜空中已繁星点点。"

"IV","4.0"
"He woke at half-past two, an hour which long experience had taught him brings panic intensity to all awkward thoughts.","夜里两点半他就醒了。长久以来的经验告诉他，这个时间醒来，会让他各种奇怪的想法尤为强烈，让他恐慌。"
"Experience had also taught him that a further waking at the proper hour of eight showed the folly of such panic.","过去的经验还告诉他，当早上八点他再次醒来时，会觉得夜半的恐慌是那么愚蠢。"
"On this particular morning the thought which gathered rapid momentum was that if he became ill, at his age not improbable, he would not see her.","这个特别的夜里，一个让他越发担忧的想法是，要是他病倒了，就不能见到她了，而在他这个年纪病倒并非不可能。"
"From this it was but a step to realisation that he would be cut off, too, when his son and June returned from Spain.","从这一点，他很容易就又想到，等儿子和琼从西班牙回来，他也同样不能和她见面了。"
"How could he justify desire for the company of one who had stolen—early morning does not mince words—June’s lover?","这样深的夜里，何不坦诚一点儿：那个女人抢走了琼的爱人，而他居然渴望她的陪伴，他能如何为自己辩解？"
"That lover was dead; but June was a stubborn little thing; warm-hearted, but stubborn as wood, and—quite true—not one who forgot!","那个情人已经死了，但琼是个固执的丫头，热心肠，但固执得像块石头，而且——确实——是不太会忘记的！"
"By the middle of next month they would be back.","下个月中旬，他们就要回来了。"
"He had barely five weeks left to enjoy the new interest which had come into what remained of his life.","他只剩不到五个星期的时间来享受这点儿他余生里的新乐趣了。"
"Darkness showed up to him absurdly clear the nature of his feeling.","黑暗反而更让他看清了自己这种感觉的本质。"
"Admiration for beauty—a craving to see that which delighted his eyes.","那是对美的倾慕——渴望看到悦目的东西。"
"Preposterous, at his age!","可是他这把年纪了，真是荒唐！"
"And yet—what other reason was there for asking June to undergo such painful reminder, and how prevent his son and his son’s wife from thinking him very queer?","可是除此之外，他又有什么理由能要求琼承受这痛苦的回忆，不让儿子儿媳把他当成个怪老头呢？"
"He would be reduced to sneaking up to London, which tired him; and the least indisposition would cut him off even from that.","他可能得偷偷溜去伦敦见她，可这会让他太劳累；若是得了一点儿小病，就连这样也不可能了。"
"He lay with eyes open, setting his jaw against the prospect, and calling himself an old fool, while his heart beat loudly, and then seemed to stop beating altogether.","他躺在那里，眼睛睁着，牙关紧咬着想到这一前景，骂自己是老糊涂了，他的心脏剧烈地跳着，一会儿仿佛又一下子停止了跳动。"
"He had seen the dawn lighting the window chinks, heard the birds chirp and twitter, and the cocks crow, before he fell asleep again, and awoke tired but sane.","他看到晨曦照进窗子的缝隙，听到鸟叽叽喳喳、公鸡打鸣，才又睡着了；再醒来时感觉疲惫但清醒。"
"Five weeks before he need bother, at his age an eternity!","至少这五个星期他不必担忧；在他这个年纪，五个星期抵得上永远！"
"But that early morning panic had left its mark, had slightly fevered the will of one who had always had his own way.","不过，深夜醒来时的恐慌还是留下了痕迹，让他这个行事一向随心所欲的人意愿更坚定了些。"
"He would see her as often as he wished!","他要见她，想见几次就见几次！"
"Why not go up to town and make that codicil at his solicitor’s instead of writing about it; she might like to go to the opera!","为什么不直接去城里找他的律师添加遗嘱而要写信呢？她可能会想看歌剧！"
"But, by train, for he would not have that fat chap Beacon grinning behind his back.","但是要坐火车去，他可不想让比肯那个胖家伙背着他窃笑。"
"Servants were such fools; and, as likely as not, they had known all the past history of Irene and young Bosinney—servants knew everything, and suspected the rest.","佣人们都是些这样的傻瓜，而且说不定他们已经对艾琳和波辛尼的那段旧事一清二楚——佣人们什么都知道，不知道的他们也会乱猜。"
"He wrote to her that morning:","那天早上他给她写了张便条："
"“MY DEAR IRENE,—I have to be up in town to-morrow.","“亲爱的艾琳：明天我会进城去。"
"If you would like to have a look in at the opera, come and dine with me quietly ....”","你要是想去看场歌剧，可以悄悄地出来和我一起吃顿晚饭……”"
"But where?","但去哪里吃呢？"
"It was decades since he had dined anywhere in London save at his Club or at a private house.","这几十年来，除了在他自己的俱乐部或者私人住所，他没在伦敦别的地方吃过饭。"
"Ah! that new-fangled place close to Covent Garden....","对了！可以去科文特加登附近那家新潮的饭店……"
