"Lizzie Leigh","莉齐·利"
"And now, will you look at the little clothes that came with her—bless her!”","现在，你要不要看看和她一起送来的这些小孩衣服——上帝保佑她！”"
"But Mrs. Leigh had fainted.","可是利太太已经晕了过去。"
"The strange joy and shame, and gushing love for the little child, had overpowered her; it was some time before Susan could bring her round.","这种怪异的喜悦和羞愧，以及对这个孩子喷薄欲出的爱意，已经压倒了她；过了一段时间，苏珊才把她唤醒过来。"
"There she was all trembling, sick with impatience to look at the little frocks.","她浑身发抖，心急火燎，迫不及待地要看那些小孩子的衣服。"
"Among them was a slip of paper which Susan had forgotten to name, that had been pinned to the bundle.","衣服里有一张纸条钉在包裹上，苏珊给孩子起名的时候把这张纸条给忘记了。"
"On it was scrawled in a round stiff hand—","纸条上以僵硬的巨大手写体潦草地写着——"
"“Call her Anne.","“她的名字是安妮。"
"She does not cry much, and takes a deal of notice.","她不怎么爱哭，很喜欢观察。"
"God bless you and forgive me.”","愿上帝保佑你，原谅我。”"
"The writing was no clue at all; the name “Anne,” common though it was, seemed something to build upon.","文字里没有一点儿线索，“安妮”这个名字虽然普通，但似乎是建立在某些东西上面。"
"But Mrs. Leigh recognised one of the frocks instantly, as being made out of a part of a gown that she and her daughter had bought together in Rochdale.","不过利太太马上就认出了其中的一件罩袍，是从她和女儿一起在罗奇达尔买的一件礼服的一部分改做而来。"
"She stood up, and stretched out her hands in the attitude of blessing over Susan’s bent head.","她站了起来，伸出双手放在苏珊低垂下来的头上为她祈福。"
"“God bless you, and show you His mercy in your need, as you have shown it to this little child.”","“上帝保佑你，他会在你需要的时候向你展示他的仁慈，正如你向这个孩子展示的那样。”"
"She took the little creature in her arms, and smoothed away her sad looks to a smile, and kissed it fondly, saying over and over again, “Nanny, Nanny, my little Nanny.”","她把这个小家伙抱在怀里，脸上的悲伤表情逐渐消散，取而代之的是一个笑脸，她温柔地亲吻着这个小家伙，一遍又一遍地喊着，“南妮，南妮，我的小南妮。”"
"At last the child was soothed, and looked in her face and smiled back again.","终于小家伙被哄得安静了下来，盯着她的脸看，冲着她笑。"
"“It has her eyes,” said she to Susan.","“她的眼睛很像她。”利太太对苏珊说。"
"“I never saw her to the best of my knowledge.","“我可以肯定我根本没看到过她。"
"I think it must be hers by the frock.","我是从这件罩袍想到孩子肯定是她的。"
"But where can she be?”","但是现在她能在哪儿呢？”"
"“God knows,” said Mrs. Leigh; “I dare not think she’s dead.","“天晓得啊，”利太太说，“我不敢想象她已经死了。"
"I’m sure she isn’t.”","我肯定她没有死。”"
"“No; she’s not dead.","“不。她没有死。"
"Every now and then a little packet is thrust in under our door, with, may be, two half-crowns in it; once it was half-a-sovereign.","“时不时会有一个小包裹塞到我们家门下面，里面可能会有两枚半克朗的硬币，有一次里面居然有半英镑的硬币。"
"Altogether I’ve got seven-and-thirty shillings wrapped up for Nanny.","我总共收到了三十七先令包着留给南妮的钱。"
"I never touch it, but I’ve often thought the poor mother feels near to God when she brings this money.","我从来没有动过这些钱，但是我经常想，当她送这些钱来的时候，这个可怜的母亲会感到上帝就在她身边。"
"Father wanted to set the policeman to watch, but I said No; for I was afraid if she was watched she might not come, and it seemed such a holy thing to be checking her in, I could not find in my heart to do it.”","父亲想安排警察来盯着，我说不要，因为我担心如果她发现了可能就不来了，知道她来过看起来是一件神圣的事情，我不忍心去破坏它。"
"“Oh, if we could but find her!","“哦，要是我们能够找到她多好！"
"I’d take her in my arms, and we’d just lie down and die together.”","我会把她抱在怀里，我们会一起躺下，死在一起。”"
"“Nay, don’t speak so!” said Susan, gently; “for all that’s come and gone, she may turn right at last.","“不，别这么说！”苏珊温和地说道，“经历了这么多的风风雨雨，她会变好的。"
"Mary Magdalen did, you know.”","抹大拉的玛利亚就做到了，你是知道的。”"
"“Eh! but I were nearer right about thee than Will.","“嗯！我对你的判断比威尔更准确。"
"He thought you would never look on him again if you knew about Lizzie.","他以为如果你知道了莉齐的事情你就不会再理他了。"
"But thou’rt not a Pharisee.”","但是你并不是一个伪善者。”"
"“I’m sorry he thought I could be so hard,” said Susan in a low voice, and colouring up.","“我很遗憾他认为我会那么冷酷。”苏珊红着脸，低声说道。"
"Then Mrs. Leigh was alarmed, and, in her motherly anxiety, she began to fear lest she had injured Will in Susan’s estimation.","这时利太太有点儿惊慌了，在她那慈母的焦虑中，她开始担心自己会损害了威尔在苏珊心目中的地位。"
"“You see Will thinks so much of you—gold would not be good enough for you to walk on, in his eye.","“你知道威尔是多么在乎你——在他眼里，让你脚踏黄金走路都是不够的。"
"He said you’d never look at him as he was, let alone his being brother to my poor wench.","他说你之前都不肯看他一眼，更别提他还是我那可怜女儿的哥哥。"
"He loves you so, it makes him think meanly on everything belonging to himself, as not fit to come near ye; but he’s a good lad, and a good son.","他是那么爱你，这让他把自己的一切都想得很卑贱，根本不配靠近你，但他是个好小伙子，也是个好儿子。"
"Thou’lt be a happy woman if thou’lt have him, so don’t let my words go against him—don’t!”","有了他你会成为一个幸福女人的，因此别让我的话影响到他——别！”"
"But Susan hung her head, and made no answer.","但是苏珊只是垂着头，没有任何反应。"
"She had not known until now that Will thought so earnestly and seriously about her; and even now she felt afraid that Mrs. Leigh’s words promised her too much happiness, and that they could not be true.","她直到现在才知道威尔是那么热烈那么认真地想念着她；她现在甚至开始害怕利太太的这些话给她承诺了太多的幸福，到头来却不是真的。"
"At any rate, the instinct of modesty made her shrink from saying anything which might seem like a confession of her own feelings to a third person.","无论如何，羞涩的本能让她退缩了，不愿说出任何听起来像是她对别人感情告白的话来。"
"Accordingly she turned the conversation on the child.","于是她把话题引向了孩子。"
"“I am sure he could not help loving Nanny,” said she.","“我肯定他会忍不住爱上南妮的，”她说道，"
"“There never was such a good little darling; don’t you think she’d win his heart if he knew she was his niece, and perhaps bring him to think kindly on his sister?”","“从未见过像她这样可爱的小宝贝，难道你不觉得如果他知道她是他的外甥女，她会赢得他的心，并且可能会让他对妹妹的态度好一些？”"
"“I dunnot know,” said Mrs. Leigh, shaking her head.","“我不知道，”利太太说道，摇了摇头，"
"“He has a turn in his eye like his father, that makes me—He’s right down good though.","“他眼神中有一点儿气质很像他的父亲，那让我——尽管他是一个绝对的好人。"
"But you see, I’ve never been a good one at managing folk; one severe look turns me sick, and then I say just the wrong thing, I’m so fluttered.","你看到了，我一点儿都不善于驾驭别人，一个严厉的眼神会让我心烦意乱，接下来就会说错话，我就是太紧张了。"
"Now I should like nothing better than to take Nancy home with me, but Tom knows nothing but that his sister is dead, and I’ve not the knack of speaking rightly to Will.","现在我只想把南妮带回家去，但是汤姆还对此一无所知，他只知道他的姐姐已经死了，并且我对如何跟威尔恰当地讲述这件事还没有一点儿头绪。"
"I dare not do it, and that’s the truth.","我不敢那样做，这是事实。"
"But you mun not think badly of Will.","但是你一定不要把威尔往坏处想。"
"He’s so good hissel, that he can’t understand how any one can do wrong; and, above all, I’m sure he loves you dearly.”","他自身太正直了，无法理解怎么会有人做坏事，并且，最重要的是，我肯定他非常爱你。”"
"“I don’t think I could part with Nancy,” said Susan, anxious to stop this revelation of Will’s attachment to herself.","“我想我舍不得与南希分开，”苏珊说道，急于阻止这披露威尔对她爱慕之情的话语，"
"“He’ll come round to her soon; he can’t fail; and I’ll keep a sharp look-out after the poor mother, and try and catch her the next time she comes with her little parcels of money.”","“他很快就会来这儿见到她的，他一定会来，我会特别留意她可怜的母亲，争取在她下次过来送钱时抓住她。”"
"“Ay, lass; we mun get hold of her; my Lizzie.","“好的，姑娘，我们一定要抓紧她，我的莉齐。"
"I love thee dearly for thy kindness to her child: but, if thou canst catch her for me, I’ll pray for thee when I’m too near my death to speak words; and, while I live, I’ll serve thee next to her—she mun come first, thou know’st.","你对她的孩子这么好，我会非常爱你的：即使你没能抓住她，我也会在无法语言表达的弥留之际为你祈祷的；并且，在我活着的时候，我会对待你仅次于我的女儿的——她必须要在你之前，你知道的。"
"God bless thee, lass.","上帝保佑你，姑娘。"
"My heart is lighter by a deal than it was when I comed in.","与刚进来时相比，我现在心情轻松多了。"
"Them lads will be looking for me home, and I mun go, and leave this little sweet one” (kissing it).","小伙子们会期待我回家的，我必须走了，必须离开这个小可爱。”（她亲了亲小孩）"
"“If I can take courage, I’ll tell Will all that has come and gone between us two.","“如果我能鼓起勇气，我会告诉威尔我们之间事情的来龙去脉。"
"He may come and see thee, mayn’t he?”","他可以过来看你，对吗？”"
"“Father will be very glad to see him, I’m sure,” replied Susan.","“父亲会非常高兴见到他的，我确信。”苏珊答道。"
"The way in which this was spoken satisfied Mrs. Leigh’s anxious heart that she had done Will no harm by what she had said; and, with many a kiss to the little one, and one more fervent tearful blessing on Susan, she went homewards.","苏珊回答的方式消除了利太太心中的焦虑，她说的这些话并没有给威尔带来危害；然后，在亲了小家伙很多次，又热泪盈眶地为苏珊祈福后，她才朝回家的方向走去。"

"CHAPTER III.","第三章"
"That night Mrs. Leigh stopped at home—that only night for many months.","那天晚上利太太没有出去——好几个月来的唯一一个晚上。"
"Even Tom, the scholar, looked up from his books in amazement; but then he remembered that Will had not been well, and that his mother’s attention having been called to the circumstance, it was only natural she should stay to watch him.","甚至连汤姆这个学者，都诧异地从看着的书本中抬起头来；但是接着他想到威尔最近身体一直不太好，母亲的注意力已经被吸引到这件事情上了，因此她留下来照看他再自然不过了。"
"And no watching could be more tender, or more complete.","没有比这更温柔、更无微不至的照看了。"
"Her loving eyes seemed never averted from his face—his grave, sad, careworn face.","她慈爱的目光似乎从未从他的脸庞上移开过——他那凝重、伤心、憔悴的脸庞。"
"When Tom went to bed the mother left her seat, and going up to Will, where he sat looking at the fire, but not seeing it, she kissed his forehead, and said—“Will! lad, I’ve been to see Susan Palmer!”","当汤姆睡觉以后，这位母亲离开座位，走到威尔跟前，他坐在那里眼睛盯着炉火，眼神却不知道在何处，她亲了下他的前额，说道：“威尔！我的孩子，我去看过苏珊·帕尔默了！”"
"She felt the start under her hand which was placed on his shoulder, but he was silent for a minute or two.","她放在他肩膀的手感觉到了他身体的震颤，但是他沉默了有一两分钟。"
"Then he said,—","然后他说道："
"“What took you there, mother?”","“你去那儿干什么，妈妈？”"
"“Why, my lad, it was likely I should wish to see one you cared for; I did not put myself forward.","“唉，我的孩子，我想去看看你喜欢的人是很正常的，我并不是要多管闲事。"
"I put on my Sunday clothes, and tried to behave as yo’d ha’ liked me.","我穿上了我最好的衣服，尽量按照你希望的方式来表现自己。"
"At least, I remember trying at first; but after, I forgot all.”","至少，我记得一开始是努力了，但是后来，我就全忘记了。”"
"She rather wished that he would question her as to what made her forget all.","她有点儿期望他会问她，是什么让她全忘了。"
"But he only said—","但他只是这样说："
"“How was she looking, mother?”","“妈妈，她看起来怎么样？”"
"“Well, thou seest I never set eyes on her before; but she’s a good, gentle-looking creature; and I love her dearly, as I’ve reason to.”","“哦，你知道我以前从未见过她；但是她很好，看起来很温和；我很喜欢她，我有理由喜欢她。”"
"Will looked up with momentary surprise, for his mother was too shy to be usually taken with strangers.","有那么一瞬间，威尔抬起头吃惊地望着她，因为他母亲一向很害羞，不会那么快喜欢上陌生人的。"
"But, after all, it was naturally in this case, for who could look at Susan without loving her?","但这次的情况也算自然了，毕竟，有谁能见了苏珊不喜欢呢？"
"So still he did not ask any questions, and his poor mother had to take courage, and try again to introduce the subject near to her heart.","因此，他仍然没有提出任何问题，他那可怜的母亲不得不鼓起勇气，再一次努力引导话题向她的内心靠拢。"
"But how?","但是怎么做呢？"
"“Will!” said she (jerking it out in sudden despair of her own powers to lead to what she wanted to say), “I telled her all.”","“威尔！”她说道（对自己引导话题能力的突然绝望让她脱口而出），“我把一切都告诉她了。”"
"“Mother! you’ve ruined me,” said he, standing up, and standing opposite to her with a stern white look of affright on his face.","“妈妈！你毁了我。”他说道，站起身来，站在她对面，苍白严肃的脸上写满了恐惧的神色。"
"“No! my own dear lad; dunnot look so scared; I have not ruined you!” she exclaimed, placing her two hands on his shoulders, and looking fondly into his face.","“不！我亲爱的孩子；别看起来那么害怕；我没有毁掉你！”她大声叫嚷着，双手放在他的肩膀上，温柔地盯着他的面庞，"
"“She’s not one to harden her heart against a mother’s sorrow.","“她不会对一个母亲的悲伤硬起心肠来的。"
"My own lad, she’s too good for that.","我的孩子，她太善良了。"
"She’s not one to judge and scorn the sinner.","她也不会随便评判和蔑视犯错的罪人。"
"She’s too deep read in her New Testament for that.","她深谙新约中的教义。"
"Take courage, Will; and thou mayst, for I watched her well, though it is not for one woman to let out another’s secret.","拿出你的勇气，威尔，你可以的，我留意观察过她了，尽管我不该泄露一个女人的秘密。"
"Sit thee down, lad, for thou look’st very white.”","你坐下，孩子，你的脸色看起来很苍白。”"
"He sat down.","他坐下了。"
"His mother drew a stool towards him, and sat at his feet.","母亲拉过来一条凳子，坐在他的脚边。"
"“Did you tell her about Lizzie, then?” asked he, hoarse and low.","“那么，你告诉她莉齐的事了吗？”他问道，声音嘶哑低沉。"
"“I did; I telled her all! and she fell a-crying over my deep sorrow, and the poor wench’s sin.","“我告诉她了，我全部都告诉她了！她为我那深深的悲伤，和我那可怜孩子的罪孽而流泪。"
"And then a light comed into her face, trembling and quivering with some new glad thought; and what dost thou think it was, Will, lad?","接下来，她的脸上又有了光彩，因为一些令人欣慰的想法而发抖、震颤；威尔，孩子，你知道那是什么想法吗？"
"Nay, I’ll not misdoubt but that thy heart will give thanks as mine did, afore God and His angels, for her great goodness.","不，我丝毫不怀疑你的内心将会和我一样，在上帝以及他的天使面前，感激她那伟大的美德。"
"That little Nanny is not her niece, she’s our Lizzie’s own child, my little grandchild.”","那个小南妮并不是她的外甥女，而是我们莉齐的孩子，我的小外孙女。”"
"She could no longer restrain her tears; and they fell hot and fast, but still she looked into his face.","她再也无法抑制，热泪潸然而下，但是她仍然盯着他的面孔。"
"“Did she know it was Lizzie’s child?","“她知道那是莉齐的孩子吗？"
"I do not comprehend,” said he, flushing red.","我想不通。”他说道，脸色涨红。"
"“She knows now: she did not at first, but took the little helpless creature in, out of her own pitiful, loving heart, guessing only that it was the child of shame; and she’s worked for it, and kept it, and tended it ever sin’ it were a mere baby, and loves it fondly.","“她现在知道了：一开始她并不知情，但是出于慈悲和同情，她把这个无助的孩子带了回去，猜测她肯定是一个私生女；从她还只是个婴儿开始，她就为她而工作，抚养她，照顾她，而且非常喜爱她。"
"Will! won’t you love it?” asked she, beseechingly.","威尔！你会爱她吗？”她乞求地问道。"
"He was silent for an instant; then he said, “Mother, I’ll try.","他沉默了有一瞬间，然后说道：“妈妈，我会努力的。"
"Give me time, for all these things startle me.","给我时间，这一切让我感到震惊。"
"To think of Susan having to do with such a child!”","想想苏珊和这样一个孩子的关系！”"
"“Ay, Will! and to think, as may be, yet of Susan having to do with the child’s mother!","“可以，威尔！你也可以想想苏珊和这个孩子的母亲的关系！"
"For she is tender and pitiful, and speaks hopefully of my lost one, and will try and find her for me, when she comes, as she does sometimes, to thrust money under the door, for her baby.","她是那么温柔和善良，当提到我那丢失的孩子，她也是满怀希望，并且会尽量在她过来时帮我找到她，因为她有时会过来在门下塞些钱给孩子。"
"Think of that, Will.","想想这些，威尔。"
"Here’s Susan, good and pure as the angels in heaven, yet, like them, full of hope and mercy, and one who, like them, will rejoice over her as repents.","这就是苏珊，善良，纯洁，有如天使下凡，和他们一样，充满了希望和仁慈，和他们一样，会为你妹妹的忏悔感到由衷的高兴。"
"Will, my lad, I’m not afeard of you now; and I must speak, and you must listen.","威尔，我的孩子，我现在不害怕你了；我必须得说，你也必须得听。"
"I am your mother, and I dare to command you, because I know I am in the right, and that God is on my side.","我是你的母亲，我敢这样命令你，因为我知道我是正确的，上帝也站在我这边。"
"If He should lead the poor wandering lassie to Susan’s door, and she comes back, crying and sorryful, led by that good angel to us once more, thou shalt never say a casting-up word to her about her sin, but be tender and helpful towards one ‘who was lost and is found;’ so may God’s blessing rest on thee, and so mayst thou lead Susan home as thy wife.”","如果上帝指引那可怜的流浪女来到苏珊的门前，由那个好心的天使再把她领回到我们身边，你不许对她的过错说一句攻击性的语言，要对这‘失而复得’的人温柔一点儿，尽量帮助她；这样上帝才会保佑你，你才可以把苏珊娶回来当妻子。”"
"She stood no longer as the meek, imploring, gentle mother, but firm and dignified, as if the interpreter of God’s will.","她不再是那个懦弱、哀求、温顺的母亲，而是变得坚定、端庄，仿佛是上帝旨意的阐释者。"
"Her manner was so unusual and solemn, that it overcame all Will’s pride and stubbornness.","她的举止是那么反常和庄严，压过了威尔所有的傲慢和固执。"
"He rose softly while she was speaking, and bent his head, as if in reverence at her words, and the solemn injunction which they conveyed.","他在她说话的时候轻轻地站了起来，低下头，好像在向她所说的话以及它们所传达的庄严嘱托致敬。"
"When she had spoken, he said, in so subdued a voice that she was almost surprised at the sound, “Mother, I will.”","在她说完后，他说道：“妈妈，我会的。”他的声音是那么顺从，让她几乎感到有点儿震惊。"
"“I may be dead and gone; but, all the same, thou wilt take home the wandering sinner, and heal up her sorrows, and lead her to her Father’s house.","“即使我离开了人世，你依然要把那个迷途的罪人带回家，抚慰她内心的创伤，引导她回到她父亲的家中。"
"My lad!","我的孩子！"
"I can speak no more; I’m turned very faint.”","我不能再说了，我现在很虚弱。”"
"He placed her in a chair; he ran for water.","他扶她坐在椅子上，跑去给她倒水。"
"She opened her eyes, and smiled.","她睁开双眼，面带微笑。"
"“God bless you, Will.","“上帝保佑你，威尔。"
"Oh!","哦！"
"I am so happy.","我真高兴。"
"It seems as if she were found; my heart is so filled with gladness.”","仿佛她已经被找回来了，我的心中充满了喜悦。”"
"That night Mr. Palmer stayed out late and long.","那天晚上帕尔默先生在外面呆到很晚。"
"Susan was afraid that he was at his old haunts and habits—getting tipsy at some public-house; and this thought oppressed her, even though she had so much to make her happy in the consciousness that Will loved her.","苏珊担心他去了以前经常出入的地方——在某个酒馆里酩酊大醉；这种想法折磨着她，尽管知道威尔爱着她让她不知道有多高兴。"
"She sat up long, and then she went to bed, leaving all arranged as well as she could for her father’s return.","她熬了很久才去睡觉，尽可能把一切安排妥当，等着父亲回来。"
"She looked at the little rosy, sleeping girl who was her bed-fellow, with redoubled tenderness, and with many a prayerful thought.","她望着脸色红润，正在酣睡的小女孩，她的床伴，不禁又多了一份温柔和许多虔诚的思潮。"
"The little arms entwined her neck as she lay down, for Nanny was a light sleeper, and was conscious that she, who was loved with all the power of that sweet, childish heart, was near her, and by her, although she was too sleepy to utter any of her half-formed words.","当苏珊躺下时，那双小手臂就缠绕着她的脖颈，南妮的睡觉很轻，因此当苏珊（她用甜美、幼小的心灵中所有力量去爱着的苏珊）靠近她，在她身边躺下时，她是有感觉的，即便已经困得无法发出任何牙牙学语的声音。"
"And, by-and-by, she heard her father come home, stumbling uncertain, trying first the windows, and next the door fastenings, with many a loud incoherent murmur.","不久，苏珊听到了父亲回来的声音，跌跌撞撞，乱摸一通，先是窗户，接着是门闩，断断续续不停地大声咕哝着什么。"
"The little innocent twined around her seemed all the sweeter and more lovely, when she thought sadly of her erring father.","她伤心地想着她那犯错的父亲，觉得缠绕在她脖颈上的这个小天真越发温柔，越发可爱。"
"And presently he called aloud for a light.","不久他又嚷嚷着要灯火。"
"She had left matches and all arranged as usual on the dresser; but, fearful of some accident from fire, in his unusually intoxicated state, she now got up softly, and putting on a cloak, went down to his assistance.","像往常一样，她把火柴摆好放在餐具柜上了，可是害怕他这样酩酊大醉的样子会闹出什么火灾，她很快轻轻地起了床，披上一件斗篷，下楼来帮忙。"
"Alas! the little arms that were unclosed from her soft neck belonged to a light, easily awakened sleeper.","唉！从她那柔软的脖颈上解下来的那双小手臂的主人是一个睡觉很轻，很容易就惊醒的人。"
"Nanny missed her darling Susy; and terrified at being left alone, in the vast mysterious darkness, which had no bounds and seemed infinite, she slipped out of bed, and tottered, in her little nightgown, towards the door.","南妮想念着她亲爱的苏西，一个人被扔在这广袤诡秘、无边无际的黑暗中，她吓坏了，溜下床，穿着小睡袍，脚步蹒跚地向门口走去。"
"There was a light below, and there was Susy and safety!","楼下有一抹灯光，苏西就在楼下，那里很安全！"
"So she went onwards two steps towards the steep, abrupt stairs; and then, dazzled by sleepiness, she stood, she wavered, she fell!","于是她向前朝着陡峭突兀的楼梯走了两步，她睡眼惺忪地停了下来，摇摇晃晃，摔了下去！"
"Down on her head on the stone floor she fell!","她头朝下摔在了石头铺的地面上！"
"Susan flew to her, and spoke all soft, entreating, loving words; but her white lids covered up the blue violets of eyes, and there was no murmur came out of the pale lips.","苏珊飞奔向她，说出了所有温柔、恳求、关爱的话语；但是苍白的眼睑遮住了那双紫罗兰色的双眼，再也没有呢喃声从那苍白的嘴唇下发出来。"
"The warm tears that rained down did not awaken her; she lay stiff, and weary with her short life, on Susan’s knee.","如雨水般洒落的温热泪水也唤不醒她，仿佛厌倦了她那短暂的一生，她僵直地躺在苏珊的膝盖上。"
"Susan went sick with terror.","苏珊因为恐惧而变得心慌意乱。"
"She carried her upstairs, and laid her tenderly in bed; she dressed herself most hastily, with her trembling fingers.","她把她抱上楼去，轻轻地把她放在床上，颤抖着双手匆忙地穿上衣服。"
"Her father was asleep on the settle downstairs; and useless, and worse than useless, if awake.","她的父亲在楼下的长椅上睡着了，一点儿用都没有，如果他醒着，会更加有害无益。"
"But Susan flew out of the door, and down the quiet resounding street, towards the nearest doctor’s house.","苏珊飞奔出门，沿着死寂的街道，朝着就近的大夫家跑去。"
"Quickly she went, but as quickly a shadow followed, as if impelled by some sudden terror.","她跑得很快，但是后面的一个身影跟得也很快，仿佛被什么突袭的恐惧驱赶着一般。"
"Susan rang wildly at the night-bell—the shadow crouched near.","苏珊疯狂地按着夜间门铃——后面的身影尾随而至。"
"The doctor looked out from an upstairs window.","医生从楼上的窗户往外看。"
"“A little child has fallen downstairs, at No.9 Crown Street, and is very ill—dying, I’m afraid.","“一个小孩从楼上摔下来了，在克罗街9号，她病得很厉害——恐怕快不行了。"
"Please, for God’s sake, sir, come directly.","求求你，看在上帝的份上，先生，马上来吧。"
"No.9 Crown Street.”","克罗街9号。”"
"“I’ll be there directly,” said he, and shut the window.","“我马上就过去。”他说道，关上了窗户。"
"“For that God you have just spoken about—for His sake—tell me, are you Susan Palmer?","“像你刚才说的那样——看在上帝的份上——告诉我，你是苏珊·帕尔默吗？”"
"Is it my child that lies a-dying?” said the shadow, springing forwards, and clutching poor Susan’s arm.","是我的孩子快要不行了吗？”后面的身影说道，冲上前来，紧紧抓住了可怜的苏珊的手臂。"
"“It is a little child of two years old.","“是个两岁的孩子。"
"I do not know whose it is; I love it as my own.","我不知道是谁的孩子，我爱她就像我自己的孩子。"
"Come with me, whoever you are; come with me.”","跟我一起来，不管你是谁，跟我一起来吧。”"
"The two sped along the silent streets—as silent as the night were they.","两人疾步行走在寂静的街道上——和这夜晚一样寂静。"
"They entered the house; Susan snatched up the light, and carried it upstairs.","她们进了房子，苏珊把灯点亮，向楼上走去。"
"The other followed.","另一个人紧跟着。"
"She stood with wild, glaring eyes by the bedside, never looking at Susan, but hungrily gazing at the little, white, still child.","她站在床边，双眼露出疯狂、炽热的目光，她根本没有看苏珊，而是贪婪地凝视着那个瘦小、苍白、安静的孩子。"
"She stooped down, and put her hand tight on her own heart, as if to still its beating, and bent her ear to the pale lips.","她俯下身，一只手紧紧地捂住自己的胸口，似乎要终止心脏的跳动，然后把耳朵俯在那苍白的嘴唇上聆听。"
"Whatever the result was, she did not speak; but threw off the bed-clothes wherewith Susan had tenderly covered up the little creature, and felt its left side.","无论结果怎样，她一句话都没有说；她扯掉了苏珊轻轻盖在小家伙身上的被褥，感受她的心跳。"
"Then she threw up her arms, with a cry of wild despair.","然后她张开双臂，发出疯狂绝望的哭声。"
"“She is dead! she is dead!”","“她死了！她死了！”"
"She looked so fierce, so mad, so haggard, that, for an instant, Susan was terrified; the next, the holy God had put courage into her heart, and her pure arms were round that guilty, wretched creature, and her tears were falling fast and warm upon her breast.","她看上去是那么凶猛，那么疯狂，那么憔悴，以至于有那么一瞬间，苏珊被吓到了；但很快，神圣的上帝又让她鼓起了勇气，她用双臂紧紧抱着那个内疚、可怜的人，热泪滚滚而下，温暖着她的胸膛。"
"But she was thrown off with violence.","但是她被用力甩开了。"
"“You killed her—you slighted her—you let her fall down those stairs! you killed her!”","“是你杀了她——你没看好她——你让她从楼梯上摔了下来！是你杀了她！”"
"Susan cleared off the thick mist before her, and, gazing at the mother with her clear, sweet angel eyes, said, mournfully—“I would have laid down my own life for her.”","苏珊擦去了眼前厚厚的一层水雾，用她那清澈、温柔如天使般的双眼望着这个母亲，伤心地说道：“我宁愿舍弃自己的生命来换回她的。”"
"“Oh, the murder is on my soul!” exclaimed the wild, bereaved mother, with the fierce impetuosity of one who has none to love her, and to be beloved, regard to whom might teach self-restraint.","“哦，我的心也死了！”这个疯狂的失去孩子的母亲嚷道，失去了爱她和她爱的人，她的情绪极度暴躁，几乎无法控制。"
"“Hush!” said Susan, her finger on her lips.","“嘘！”苏珊轻声说道，手指放在嘴唇上。"
"“Here is the doctor.","“医生来了。"
"God may suffer her to live.”","愿上帝让她活下去。”"
"The poor mother turned sharp round.","可怜的母亲突然转过头来。"
"The doctor mounted the stair.","医生走上楼来。"
"Ah! that mother was right; the little child was really dead and gone.","唉！孩子的母亲是对的，小孩已经不在人世了。"
"And when he confirmed her judgment, the mother fell down in a fit.","得知她的判断被确认属实，这位母亲昏倒在了地上。"
"Susan, with her deep grief, had to forget herself, and forget her darling (her charge for years), and question the doctor what she must do with the poor wretch, who lay on the floor in such extreme of misery.","苏珊，带着一颗沉痛的心，不得不忘掉自己，忘掉她的宝贝（她照顾了多年的宝贝），她向医生询问需要为这个躺在地上，陷入极度悲伤的可怜人做点儿什么。"
"“She is the mother!” said she.","“她是孩子的母亲！”她说道。"
"“Why did she not take better care of her child?” asked he, almost angrily.","“为什么她没有好好照顾自己的孩子？”他近乎生气地问道。"
"But Susan only said, “The little child slept with me; and it was I that left her.”","可是苏珊仅仅回答说：“孩子是和我睡在一起的，是我离开了她。”"
"“I will go back and make up a composing draught; and while I am away you must get her to bed.”","“我会回来给她配一些药水，我不在时你一定要把她弄到床上去。”"
"Susan took out some of her own clothes, and softly undressed the stiff, powerless form.","苏珊找出几件她自己的衣服，轻轻地把衣服从那僵硬无力的身体上换掉。"
"There was no other bed in the house but the one in which her father slept.","除了楼下她父亲睡觉的地方以外，房子里再没有其他的床了。"
"So she tenderly lifted the body of her darling; and was going to take it downstairs, but the mother opened her eyes, and seeing what she was about, she said—“I am not worthy to touch her, I am so wicked.","因此她轻柔地抱起了她的宝贝，准备把她带到楼下去，但是孩子的母亲这时睁开了双眼，看到这些，她说道：“我不配碰她，我太可恶了。"
"I have spoken to you as I never should have spoken; but I think you are very good.","我永远都不该像刚才那样对你说话，但是我想你是一个非常好的人。"
"May I have my own child to lie in my arms for a little while?”","我可以把我的孩子抱在怀里一会儿吗？”"
"Her voice was so strange a contrast to what it had been before she had gone into the fit, that Susan hardly recognised it: it was now so unspeakably soft, so irresistibly pleading; the features too had lost their fierce expression, and were almost as placid as death.","她的声音和昏倒之前有着天壤之别，苏珊几乎没有听出来：此刻是说不出的温柔，如此令人难以抗拒的恳求；她的面容也没有了之前的狂暴表情，现在几乎是平静得如死人一般。"
"Susan could not speak, but she carried the little child, and laid it in its mother’s arms; then, as she looked at them, something overpowered her, and she knelt down, crying aloud—“Oh, my God, my God, have mercy on her, and forgive and comfort her.”","苏珊说不出话来，但她还是把孩子抱过来，放到她母亲的怀里；然后，当她望着她们时，她再也控制不住，跪了下来，大声哭起来：“哦，上帝，我的上帝，宽恕她吧，请原谅她，给她安慰。”"
"But the mother kept smiling, and stroking the little face, murmuring soft, tender words, as if it were alive.","但是孩子的母亲却一直在微笑，抚摸着孩子的小脸，低声发出轻柔、温和的话语，好像孩子还活着一样。"
