"zh","en"
"不过，他那浓密细软的灰白头发，像把软刷似的竖立在他的脑瓜上，出奇地具有男子气概。","But his thick, fine white hair, which stood up on his head like a soft brush, was curiously virile."
"他那双小得离奇的手，肤色同样是略微暗淡的浆糊色，却有着他们家族特有的肥胖而柔和的男子气。","And his curious small hands, of the same soft dull paste, had a peculiar, fat, soft masculine breeding of their own."
"他那双暗棕色的眼睛在白刷子般的睫毛下面闪烁着巨蛇那样的狡猾目光。","And his dull brown eye could glint with the subtlety of serpents, under the white brush of eyelash."
"他疲惫了，但并未被击败。","He was tired, but he was not defeated."
"他奋斗、胜利、失败，然后再奋斗，而且总是处于不利地位。","He had fought, and won, and lost, and was fighting again, always at a disadvantage."
"他属于那种被击败之后接受失败，但又凭借狡诈卷土重来的那一类人。","He belonged to a defeated race which accepts defeat, but which gets its own back by cunning."
"他是儿子们的父亲，是一家之主，是一个可以被击败但不可以被摧毁的家族的长辈之一。","He was the father of sons, the head of a family, one of the heads of a defeated but indestructible tribe."
"他并不是孤身一人，因此你不能伤害他一根毫毛。","He was not alone, and so you could not lay your finger on him."
"他的所有意识都是家长式的，宗族式的。","His whole consciousness was patriarchal and tribal."
"而且不知怎地，他虽然谦卑，却是不可摧毁的。","And somehow, he was humble, but he was indestructible."
"用餐时，他坐在那里，几乎被人遗忘了，他态度谦卑，但谦卑之中又透着自负。","At dinner he sat half-effaced, humble, yet with the conceit of the humble."
"他的举止十分得体，很有法国人的气派。","His manners were perfectly good, rather French."
"弗吉尼娅用法语同他闲聊，他则以那种独特的林荫大道般的冷静应答着，那是他说法语时能表现出来的唯一的举止态度。","Virginia chattered to him in French, and he replied with that peculiar nonchalance of the boulevards, which was the only manner he could command when speaking French."
"博多恩太太能听懂，但她是那种被人们称为蹩脚语言学家的人，她想说什么话的时候，都用英语。","Mrs Bodoin understood, but she was what one would call a heavy-footed linguist, so when she said anything, it was intensely in English."
"于是那位土耳其软糖用他那笨拙的英语慌忙地回答着。","And the Turkish Delight replied in his clumsy English, hastily."
"说法语并不是他的错。","It was not his fault that French was being spoken."
"那是弗吉尼娅的错。","It was Virginia’s."
"和博多恩太太相处时，他显得很温和谦卑。","He was very humble, conciliatory, with Mrs Bodoin."
"但有时他用一种令人厌恶的眼神迅速地朝她一瞥，仿佛在说：是的！","But he cast at her sometimes that rapid glint of a reptilian glance as if to say: Yes!"
"我看到你了！","I see you!"
"你是个漂亮的女人。","You are a handsome figure."
"你几乎就像一件艺术珍品那样完美无缺。——他用他那鉴赏家、古董商的眼光鉴定着她。","As an objet de vertu you are almost perfect.—Thus his connoisseur’s, antique-dealer’s eye would appraise her."
"但随后，他那浓密的白眉毛似乎又补充说：可是，天宇之下，作为女人，你算什么？","But then his thick white eyebrows would seem to add: But what, under holy Heaven, are you as a woman?"
"你既不是妻子，也不是母亲，又不是情妇，你毫无女性的气息，你比一个土耳其士兵或一个英国官员还要可怕。","You are neither wife nor mother nor mistress, you have no perfume of sex, you are more dreadful than a Turkish soldier or an English official."
"世界上没有哪个男人会拥抱你。","No man on earth could embrace you."
"你是个食尸鬼，你是个来自地狱的诡异妖怪！——随后他会暗暗地念叨神的名字来庇佑自己。","You are a ghoul, you are a strange genie from the underworld!—And he would secretly invoke the holy names, to shield him."
"可是他爱上了弗吉尼娅。","Yet he was in love with Virginia."
"首先，他喜欢她身上的孩子气，似乎她就是一个掉落在阴沟里的女孩，一个流浪儿，她那褐色眼睛虽然暗淡无光，但却令人着魔，她一直在等着有人来把她救起。","He saw, first and foremost, the child in her, as if she were a lost child in the gutter, a waif with a faint, fascinating cast in her brown eyes, waiting till someone would pick her up."
"一个没有父亲的流浪儿！","A fatherless waif!"
"然而他是一个家族的父亲，一直都是个父亲。","And he was tribal father, father through all the ages."
"另一方面，他了解她在处理事务时那种独特无私的聪慧。","Then, on the other hand, he knew her peculiar disinterested cleverness in affairs."
"同样让他神魂颠倒的是她那种与众不同的、对生意有着超凡远见的智慧，而这种智慧完全不带私人情感，完全可以被人感知到。","That, too, fascinated him: that odd, almost second-sight cleverness about business, and entirely impersonal, entirely in the air."
"这在他看来非常不可思议。","It seemed to him very strange."
"但这对他的计划有巨大的帮助。","But it would be an immense help to him in his schemes."
"他并没有真正地了解英国人。","He did not really understand the English."
"他和他们交往时感到茫然困惑。","He was at sea with them."
"可与她在一起时，他对一切都有了头绪。","But with her, he would have a clue to everything."
"因为她在这些英国人中间，在这些英国官员中间的确是个挺了不起的人物。","For she was, finally, quite a somebody among these English, these English officials."
"他差不多六十岁了。","He was about sixty."
"他的家族在东方打下了根基，他的孙辈们也渐渐长大成人了。","His family was established, in the East, his grandsons were growing up."
"对他来说，在伦敦住上几年很有必要。","It was necessary for him to live in London, for some years."
"这个姑娘会有用处的。","This girl would be useful."
"除了她将会从她母亲那儿继承的财产以外，她压根儿没钱。","She had no money, save what she would inherit from her mother."
"可他愿意冒险：她将会成为他生意上的一笔投资。","But he would risk that: she would be an investment in his business."
"还有这套寓所。","And then the apartment."
"他非常喜欢这套寓所。","He liked the apartment extremely."
"他意识到了那欧布松地毯的独特品质，其上的百合花与天鹅，真的对他起了作用。","He recognized the cachet, and the lilies and swans of the Aubusson carpet really did something to him."
"弗吉尼娅对他说：母亲把这套寓所给我了。——因此他觉得他的投资稳妥了。还有，弗吉尼娅几乎是个处女，很有可能就是个处女，而且在像他自己这样父亲般的东方男性看来，完全是个处女了。","Virginia said to him: Mother gave me the apartment.—So he looked on that as safe.And finally, Virginia was almost a virgin, probably quite a virgin, and, as far as the paternal oriental male like himself was concerned, entirely virgin."
"他对英国人之间那种可笑幼稚的性行为知之甚少，那与他那种持久的为了自己肉体享受的男性情欲如此不同。","He had a very small idea of the silly puppy-sexuality of the English, so different from the prolonged male voluptuousness of his own pleasures."
"最后，他感到了肉体上的孤独，感到自己渐渐老了、疲惫了。","And last of all, he was physically lonely, getting old, and tired."
"当然，弗吉尼娅不知道她为何喜欢和阿诺德在一起。","Virginia of course did not know why she liked being with Arnault."
"当话题涉及到生活和生计时，她的聪慧就笨拙得令人吃惊。","Her cleverness was amazingly stupid when it came to life, to living."
"她说他“与众不同”。","She said he was “quaint”."
"她说他讲法语时那种林荫大道般的冷静“很逗人”。","She said his nonchalant French of the boulevards was “amusing”."
"她认为他在商业上的狡猾“很迷人”，还认为他浓密的白睫毛下那双呆滞无神的黑眼睛在“威严地”闪烁着。","She found his business cunning “intriguing”, and the glint in his dark glazed eyes, under the white, thick lashes, “sheiky”."
"她经常和他见面，在他住的旅馆里同他一起喝茶，而且有一天跟他一起驾车去了海边。","She saw him quite often, had tea with him in his hotel, and motored with him one day down to the sea."
"当他静静地把她的手握在自己柔和的手中时，他的触摸是如此亲切、如此充满占有欲，他向她倾斜的身子是如此的陌生却又十分自信，以致于尽管她恐惧得发抖，可也无法抗拒。——“你这么瘦，可爱的小瘦东西，你需要歇息，心绪宁静地等着花蕾绽放，可怜的小花蕾，变胖点吧！”他用法语说道。","When he took her hand in his own soft still hands, there was something so caressing, so possessive in his touch, so strange and positive in his leaning towards her, that though she trembled with fear, she was helpless.—“But you are so thin, dear little thin thing, you need repose, repose, for the blossom to open, poor little blossom, to become a little fat!” he said in his French."
"她颤抖着，可是无法抗拒。","She quivered, and was helpless."
"这的确古怪离奇！","It certainly was quaint!"
"他是如此地奇特、自信，他似乎拥有一切力量。","He was so strange and positive, he seemed to have all the power."
"当他意识到她会屈服于他的力量时，他便掌控了整个局面，不再犹豫也不再谦卑了。","The moment he realized that she would succumb into his power, he took full charge of the situation, he lost all his hesitation and his humility."
"他不只是想和她做爱：出于他这些各种各样的原因，他还想要娶她。","He did not want just to make love to her: he wanted to marry her, for all his multifarious reasons."
"而且他必须要让自己成为她的主宰。","And he must make himself master of her."
"他把她的手放到他的唇上，亲吻着她那瘦小的手，他似乎要把她的生命融入到自己的生命中。","He put her hand to his lips, and seemed to draw her life to his in kissing her thin hand."
"“这可怜的孩子累了，她需要歇息，她需要抚爱和呵护。”他用法语说道。","“The poor child is tired, she needs repose, she needs to be caressed and cared for,” he said in his French."
"然后他向她靠得更近了。","And he drew nearer to her."
"她抬起头，畏惧地看着他那白色睫毛下闪亮却疲倦的黑眼睛。","She looked up in dread at his glinting, tired dark eyes under the white lashes."
"但他使出他的全部热情，也深情地凝视着她，猜想她一定会屈服。","But he used all his will, looking back at her heavily and calculating that she must submit."
"他把身体靠得离她很近，然后把一只手温柔地放在她脸上，让她的脸倚在自己的胸前，同时用另一只手安抚地抚摸着她的手臂：“可爱的小东西！","And he brought his body quite near to her, and put his hand softly on her face, and made her lay her face against his breast, as he soothingly stroked her arm with his other hand, “Dear little thing!"
"可爱的小东西哟！","dear little thing!"
"阿诺德是这般深情地爱着她哟！","Arnault loves her so dearly!"
"阿诺德爱她！","Arnault loves her!"
"或许她会嫁给她的阿诺德。","Perhaps she will marry her Arnault."
"亲爱的小姑娘，阿诺德将在她的生活中铺满鲜花，并且要让她的生活充满甜蜜的芳香和满足。”","Dear little girl, Arnault will put flowers in her life, and make her life perfumed with sweetness and content.”"
"她倚在他的胸前，任他抚摸着自己。","She leaned against his breast and let him caress her."
"有一瞬间她想到了自己的母亲，半是心酸半是怀恨。","She gave a fleeting, half poignant, half vindictive thought to her mother."
"接着她感觉到命运，命运之神即将到来。","Then she felt in the air the sense of destiny, destiny."
"哦，太好了，不用再挣扎了。","Oh so nice, not to have to struggle."
"任凭命运之神来做决定吧。","To give way to destiny."
"“她愿意嫁给她的老阿诺德吗？嗯？","“Will she marry her old Arnault?Eh?"
"她愿意嫁给他吗？”他用一种抚慰、柔情却又强迫的口吻问道。","Will she marry him?” he asked in a soothing, caressing voice, at the same time compulsive."
"她仰起头看着他：眉毛浓密却已灰白，黑眼睛疲惫而闪闪发光。","She lifted her head and looked at him: the thick white brows, the glinting, tired dark eyes."
"多么奇特而滑稽啊！","How queer and comic!"
"让他掌控着，这太滑稽了！","How comic to be in his power!"
"他看上去有些困惑。","And he was looking a little baffled."
"“我应该吗？”她说着，顽皮地咧着嘴笑了笑。","“Shall I?” she said, with her mischievous twist of a grin."
"“是的！”他睁着他那老练沉静的双眼说，","“Mais oui!” he said, with all the sang froid of his old eyes."
"“是的！","“Mais oui!"
"我会让你满意的，你会看到这一点的。”","Je te contenterai, tu le verras.”"
"“你会让我满意！”她看到他这副信誓旦旦的样子，感到很有趣，于是笑了笑说：","“Tu me contenteras!” she said, with a flickering smile of real amusement at his assurance."
"“你真的会让我心满意足？”","“Will you really content me?”"
"“那当然！","“But surely!"
"我向你保证。","I assure it you."
"那你愿意嫁给我吗？”","And you will marry me?”"
"“你必须告诉母亲。”她说着，又淘气地依偎在他的西装背心上，此时此刻他身上的那种男性的骄傲充盈着他的全身。","“You must tell mother,” she said, and hid wickedly against his waistcoat again, while the male pride triumphed in him."
"博多恩太太不知道弗吉尼娅同土耳其软糖关系亲密：她从不打探女儿的行踪。","Mrs Bodoin had no idea that Virginia was intimate with the Turkish Delight: she did not inquire into her daughter’s movements."
"在这次有名的晚宴上，她平静中略带着些冷漠，但非常冷静沉着。","During the famous dinner, she was calm and a little aloof, but entirely self-possessed."
"用过咖啡之后，弗吉尼娅就离开了，只留下她和土耳其软糖在一起，她没有做出任何尝试来发起谈话，只是瞥了瞥这个身穿得体晚礼服的矮胖男人，心想他这样的胖子怎么符合《巴格达之贼》中头戴土耳其毡帽、身穿宽大穆斯林马裤的集市商贩形象。","When, after coffee, Virginia left her alone with the Turkish Delight, she made no effort at conversation, only glanced at the rather short, stout man in correct dinner-jacket, and thought how his sort of fatness called for a fez and the full muslin breeches of a bazaar merchant in The Thief of Baghdad."
"“你果真喜欢抽水烟袋吗？”她慢吞吞地拉长调子问他。","“Do you really prefer to smoke a hookah?” she asked him, with a slow drawl."
"“请问，水烟袋是什么？”","“What is a hookah, please?”"
"“水烟的一种。","“One of those water-pipes."
"在东方，你们所有人不都抽这个吗？”","Don’t you all smoke them, in the East?”"
"他看起来一脸茫然、谦卑温顺，接着便缄默不语了。","He only looked mystified and humble, and silence resumed."
"她根本不知道他沉静的心中在酝酿着什么。","She little knew what was simmering inside his stillness."
"“夫人，”他说，“我想恳求您一件事儿。”","“Madame,” he said, “I want to ask you something.”"
"“是吗？","“You do?"
"那干吗不说呢？”传来她那略带忧郁的慢吞吞的调子。","Then why not ask it?” came her slightly melancholy drawl."
"“好吧！","“Yes!"
"是这样的。","It is this."
"我希望我能有幸娶到您的女儿。","I wish I may have the honour to marry your daughter."
"她是情愿的。”","She is willing.”"
"接下来那一刻是完全的沉默。","There was a moment’s blank pause."
"随后博多恩太太异常严肃地向他倾过身子。","Then Mrs Bodoin leaned towards him from her distance, with curious portentousness."
"“你刚刚说什么？”她问，","“What was that you said?” she asked."
"“再说一遍！”","“Repeat it!”"
"“我希望我能有幸娶到您的女儿。","“I wish I may have the honour to marry your daughter."
"她愿意接受我。”","She is willing to take me.”"
"他目光呆滞的黑眼睛看了看她，然后又闪开了。","His dark, glazed eyes looked at her, then glanced away again."
"她仍向前探着身子，目不转睛地凝视着他，好像被施了魔法，变成了石头一样。","Still leaning forward, she gazed fixedly on him, as if spellbound, turned to stone."
"她佩戴着粉红的宝石饰品，但他判断那是很普通的人造宝石。","She was wearing pink topaz ornaments, but he judged they were paste, moderately good."
"“我是不是听见你说她愿意接受你？”那缓慢、阴郁而冷淡声音说道。","“Did I hear you say she is willing to take you?” came the slow, melancholy, remote voice."
"“夫人，我想是这样的。”他说着，鞠了一躬。","“Madame, I think so,” he said, with a bow."
"“我想，我们得等她来了再说。”她说着，回过身去。","“I think we’ll wait till she comes,” she said, leaning back."
"一阵沉默。","There was silence."
"她凝视着天花板。","She stared at the ceiling."
"他则仔细地环顾着房间，看了看了家具和镶饰着象牙的橱柜中摆放的瓷器。","He looked closely round the room, at the furniture, at the china in the ivory-inlaid cabinet."
"“我可以赠给弗吉尼娅小姐五千英镑，夫人。”传来了他的声音，","“I can settle five thousand pounds on Mademoiselle Virginia, Madame,” came his voice."
"“她会把这座公寓和公寓里的家具纳入婚姻授产协议，我猜得对吗？”","“Am I correct to assume that she will bring this apartment and its appointments into the marriage settlement?”"
"一阵完全的沉默。","Absolute silence."
"他如同在月球上一般。","He might as well have been on the moon."
"可他是一个定力很好的人。","But he was a good sitter."
"他就那样坐着，直到弗吉尼娅进来。","He just sat until Virginia came in."
"博多恩太太仍然凝视着天花板。","Mrs Bodoin was still staring at the ceiling."
"她的心像被刀完全彻底地刺穿了一样的痛苦。","The iron had entered her soul finally and fully."
"弗吉尼娅瞥了她一眼，却说：","Virginia glanced at her, but said:"
"“阿诺德，喝杯威士忌苏打酒好吗？”","“Have a whisky-and-soda, Arnault?”"
"他起身走向酒瓶，然后站在她旁边：一个相当粗壮矮胖的男人，一头白发，因心存忧虑而沉默不语。","He rose and came towards the decanters, and stood beside her: a rather squat, stout man with white head, silent with misgiving."
"传来一阵虹吸管的嘶嘶声，然后他们又回到各自的椅子上。","There was the fizz of the syphon: then they came to their chairs."
"“阿诺德已经和您说过了吧，妈妈？”弗吉尼娅说道。","“Arnault has spoken to you, Mother?” said Virginia."
"博多恩太太直挺挺地坐了起来，两只猫头鹰般的大眼睛凶狠地瞪着弗吉尼娅。","Mrs Bodoin sat up straight, and gazed at Virginia with big, owlish eyes, haggard."
"弗吉尼娅很海派，但却感到一丝兴奋。","Virginia was terrified, yet a little thrilled."
"她母亲被击垮了。","Her mother was beaten."
"“是真的吗，弗吉尼娅？你愿意嫁给这个——东方绅士，是吗？”博多恩太太缓慢地问道。","“Is it true, Virginia, that you are willing to marry this—oriental gentleman?” asked Mrs Bodoin slowly."
"“是的，妈妈，一点儿没错。”弗吉尼娅用温和而带着调侃的声音说道。","“Yes, Mother, quite true,” said Virginia, in her teasing soft voice."
"博多恩太太一脸严肃，愕然不知所措。","Mrs Bodoin looked owlish and dazed."
"“我是否可以不和这事有任何关系？或者说不与你未来的丈夫有任何关系——我指的是不和他有任何生意上的交易？”她迷惑地问道，声音缓慢而清晰。","“May I be excused from having any part in it, or from having anything to do with your future husband—I mean having any business to transact with him?” she asked dazedly, in her slow, distinct voice."
"“噢，当然！”惊恐之下的弗吉尼娅古怪地笑着说道。","“Why, of course!” said Virginia, frightened, smiling oddly."
"接着又是一阵沉默。","There was a pause."
"随后感觉苍老而憔悴的博多恩太太再一次振作起来。","Then Mrs Bodoin, feeling old and haggard, pulled herself together again."
"“我是否可以理解为你未来的丈夫想占有这套公寓？”她说道。","“Am I to understand that your future husband would like to possess this apartment?” came her voice."
"突然，弗吉尼娅邪恶地笑了笑。","Virginia smiled quickly and crookedly."
"阿诺德只是屁股被钉住了似的坐着、听着。","Arnault just sat, planted on his posterior, and heard."
"她信赖他。","She reposed on him."
"“咳——也许吧！”弗吉尼娅说，","“Well—perhaps!” said Virginia."
"“也许他想确认一下我拥有这套公寓。”","“Perhaps he would like to know that I possessed it.”"
"她看着他。","She looked at him."
"阿诺德郑重地点点头。","Arnault nodded gravely."
"“那么你想占有它吗？”传来博多恩太太缓慢的声音，","“And do you wish to possess it?” came Mrs Bodoin’s slow voice."
"“和你丈夫一起占有它，这是不是你的意图？”","“If it your intention to inhabit it, with your husband?”"
"她拉长声音，一字一顿地说道。","She put eternities into her long, stressed words."
"“是的，我想是的。”弗吉尼娅说，","“Yes, I think it is,” said Virginia."
"“你知道你曾经说过这公寓是我的，妈妈。”","“You know you said the apartment was mine, Mother.”"
"“好吧！","“Very well!"
"它应该是你的。","It shall be so."
"如果你在我的书桌上留下书面要求，我会让我的律师来找这位——东方绅士。","I shall send my lawyer to this—oriental gentleman, if you will leave written instructions on my writing-table."
"我能问问你们考虑什么时候——结婚？”","May I ask when you think of getting—married?”"
"“你打算什么时候，阿诺德？”弗吉尼娅说。","“When do you think, Arnault?” said Virginia."
"“两周以后，可以吗？”他说着坐直了身子，拳头放在膝盖上。","“Shall it be, in two weeks?” he said, sitting erect, with his fists on his knees."
"“大概两周之后，妈妈。”弗吉尼娅说。","“In about a fortnight, Mother,” said Virginia."
"“我听到了！","“I have heard!"
"两周以后！","In two weeks!"
"好吧！","Very well!"
"两个星期之后，所有东西都任你支配。","In two weeks everything shall be at your disposal."
"那么现在，失陪了。”","And now, please excuse me.”"
"她站起身，照例微微地鞠了一躬，平静而缓慢地走出了房间。","She rose, made a slight general bow, and moved calmly and dimly from the room."
"她不能高声叫喊，也不能把那个黎凡特人逐出家门，这真是要了她的命。","It was killing her, that she could not shriek aloud and beat that Levantine out of the house."
"可是她不能这样。","But she couldn’t."
"她努力地控制住了自己。","She had imposed the restraint on herself."
"阿诺德站着，两眼放光，环视着房间。","Arnault stood and looked with glistening eyes round the room."
"它就要变成他的了。","It would be his."
"当他的儿子们来到英国时，他将在这里接待他们。","When his sons came to England, here he would receive them."
"他看着弗吉尼娅。","He looked at Virginia."
"她现在也是面色苍白又憔悴。","She too was white and haggard, now."
"然后她从他身边躲开了，好像充满了憎恶似的。","And she hung away from him, as if in resentment."
"她憎恶将自己的母亲打败。","She resented the defeat of her mother."
"她现在仍然可以永远地抛弃他，再回到母亲的身边。","She was still capable of dismissing him for ever, and going back to her mother."
"“你母亲是个了不起的女人。”他说着便走向弗吉尼娅，握住她的手，","“Your mother is a wonderful lady,” he said, going to Virginia and taking her hand."
"“可是她是不幸的，没有丈夫来保护她。","“But she has no husband to shelter her, she is unfortunate."
"她将会孤苦零丁，对此我感到很难过。","I am sorry she will be alone."
"若是她愿意同我们一起住在这里，我会很高兴的。”","I should be happy if she would like to stay here with us.”"
"这狡猾的老狐狸知道自己在做什么。","The sly old fox knew what he was about."
"“恐怕那个是没有希望的。”弗吉尼娅用她先前的那种嘲弄的语气说道。","“I’m afraid there’s no hope of that,” said Virginia, with a return to her old irony."
"她坐在沙发上，而他则像父亲般温柔地爱抚着她，这极不协调的场景就发生在她母亲的客厅里，这让她感到好笑。","She sat on the couch, and he caressed her softly and paternally, and the very incongruity of it, there in her mother’s drawing-room, amused her."
"他看到客厅里的东西既美观又值钱，并且现在这些都是他的了，为此，他热血沸腾，充满激情地爱抚着身边这个瘦小的姑娘，因为，她代表着周围这些贵重的东西并让它们为他所拥有。","And because he saw that the things in the drawing-room were handsome and valuable, and now they were his, his blood flushed and he caressed the thin girl at his side with passion, because she represented these valuable surroundings, and brought them to his possession."
"他说：“和我在一起，你将过得很惬意，很满足，哦，我会让你心满意足的，绝不会像你母亲那样。","And he said: “And with me you will be very comfortable, very content, oh, I shall make you content, not like Madame your mother."
"你会丰满起来，像玫瑰一样绽放。","And you will get fatter, and bloom like the rose."
"我会让你像玫瑰一样绽放。","I shall make you bloom like the rose."
"我们定在下星期，怎么样？","And shall we say next week, hein?"
"下星期，下周三，咱们结婚，怎么样？","Shall it be next week, next Wednesday, that we marry?"
"星期三是个好日子。","Wednesday is a good day."
"那天可以吗？”","Shall it be then?”"
"“很好！”弗吉尼娅说，又一次的爱抚使她感受到命运奢华的安排，命数已定，之后的一生中都不用再努力了。","“Very well!” said Virginia, caressed again into a luxurious sense of destiny, reposing on fate, having to make no effort, no more effort, all her life."
"博多恩太太第二天就搬进了一家旅馆，而且必定是趁弗吉尼娅不在的时候才回到公寓去整理行装，解救自己和她目前拥有的那些私人物品。","Mrs Bodoin moved into an hotel next day, and came into the apartment to pack up and extricate herself and her immediate personal belongings only when Virginia was necessarily absent."
"她和她女儿只在必要时才通过书信联系。","She and her daughter communicated by letter, as far as was necessary."
"然后接下来的五天时间里，博多恩太太头脑清醒。所有该处理的事情都处理了，她所有的行李箱都搬走了。","And in five days’ time Mrs Bodoin was clear.All business that could be settled was settled, all her trunks were removed."
"她有五个行李箱，那就是她的所有家当了。","She had five trunks, and that was all."
"财产被剥夺，也无家可归，她不得不动身去巴黎度过她的余生了。","Denuded and outcast, she would depart to Paris, to live out the rest of her days."
"最后一天，她在客厅里等着，一直等到弗吉尼娅回家。","The last day, she waited in the drawing-room till Virginia should come home."
"她坐在那里，戴着帽子，穿着出行服装，就像一个陌生人。","She sat there in her hat and street things, like a stranger."
"“我只是等着和你说声再见。”她说，","“I just waited to say good-bye,” she said."
"“我明天上午就动身去巴黎。","“I leave in the morning for Paris."
"这是我的地址。","This is my address."
"我想一切事情都已经处理好了，如果还有没办妥的，通知我，我会安排的。","I think everything is settled; if not, let me know and I’ll attend to it."
"好吧，再见了！——我希望你过得非常幸福！”","Well, good-bye!—and I hope you’ll be very happy!”"
"她带着恶意地吐出最后几个字，这让开始失去方向的弗吉尼娅恢复了理智。","She dragged out the last words sinisterly; which restored Virginia, who was beginning to lose her head."
"“噢，我想我会的。”弗吉尼娅说着，嘴角露出了扭曲的笑容。","“Why, I think I may be,” said Virginia, with the twist of a smile."
"“我不该感到惊讶。”博多恩太太尖刻而阴沉地说，","“I shouldn’t wonder,” said Mrs Bodoin pointedly and grimly."
"“我想那位亚美尼亚老爷爷非常清楚他在做什么。","“I think the Armenian grandpapa knows very well what he’s about."
"归根结底，你只是个妾而已。”","You’re just the harem type, after all.”"
"这些话缓缓说出，字字掷地有声，充满强烈的鄙视！","The words came slowly, dropping, each with a plop! Of deep contempt."
"“我想我是！","“I suppose I am!"
"非常有趣！”弗吉尼娅说。","Rather fun!” said Virginia."
"“可我想知道我是从哪儿学会这一点的？","“But I wonder where I got it?"
"不会是从你那儿，妈妈——”她拉长调子戏谑地说道。","Not from you, Mother—” she drawled mischievously."
"“我想不是。”","“I should say not.”"
"“可能女儿们就像梦一样，都是朝相反的方向发展。”弗吉尼娅带着恶意若有所思地说道，","“Perhaps daughters go by contraries, like dreams,” mused Virginia wickedly."
"“所有的小妾都与你无关，所以可能都只能我来当了。”","“All the harem was left out of you, so perhaps it all had to be put back into me.”"
"博多恩太太瞥了她一眼。","Mrs Bodoin flashed a look at her."
"“你让我非常同情！”她说。","“You have all my pity!” she said."
"“谢谢你，亲爱的。","“Thank you, dear."
"你却只得到我一丁点儿的同情。”","You have just a bit of mine.”"
