"书名白猿（约翰·高尔斯华绥《现代喜剧》三部曲之一）短简介迈克尔和弗勒，一个是贵族子弟，一个是名门望族的大小姐，他们的婚姻表面上令人称羡，实际却是暗潮汹涌。小说中的那幅中国名画《白猿》恰好是外表光鲜、内在腐朽的上层社会的写照——他们目光贪婪、恐惧，不顾一切地想把一切都攥在手中。长简介约翰·高尔斯华绥的长篇小说《白猿》是《现代喜剧》三部曲的第一部。小说通过对比两对身处不同的社会阶层的夫妻，揭示了在特定社会背景下，上流社会的腐朽虚荣和贫民阶级的痛苦和无奈。迈克尔和弗勒，贵族子弟和名门望族的联姻，表面上丰衣足食、令人称羡，实际却是貌合神离、同床异梦；托尼和维多琳一贫如洗、相濡以沫，却只能牺牲自己换取两人安稳度日的梦想，而那梦想也像蓝色蝴蝶，可望而不可即……小说中的那幅画《白猿》恰好是外表光鲜、内在腐朽的上层社会的写照——他们目光贪婪、恐惧，不顾一切地想把一切都攥在手中。关键字白猿；约翰·高尔斯华绥；外研社编译组；长篇；讽刺；小说；资产阶级作者（英）约翰·高尔斯华绥作者简介约翰·高尔斯华绥（1867-1933），英国小说家、剧作家，生于伦敦，曾在牛津大学读法律，后放弃律师工作从事文学创作。1906年出版长篇小说《有产业的人》，获得广泛好评，他也因此而被公认为英国第一流作家。高尔斯华绥最为人称道的是他的三个三部曲：《福尔赛世家》、《现代喜剧》和《尾声》，其中以《福尔赛世家》最为知名，他也凭此于1932年获得诺贝尔文学奖。书评他的作品语言简练、形象生动、讽刺辛辣。    在一个渐渐走向腐朽的社会，人人都贪婪、虚荣，不顾一切地想把一切都攥在手中。"
"The White Monkey","白猿"
"I’ll see him to-night, and let you know what I can wangle.”","我今晚见见他，然后告诉您我能想出些什么办法。”"
"Soames nodded.","索姆斯点点头。"
"‘Good Gad!’ he thought; ‘what jargon!...’","“天啊！”他想，“多难的事情啊！……”"
"The interview served Michael the good turn of taking his thoughts off himself.","这次会面帮了迈克尔一个大忙，使他不再想着自己的事情。"
"Temperamentally he sided already with the young man Butterfield; and, lighting a cigarette, he went into the card-room.","在情感上他已经站到了那个年轻人巴特菲尔德一边，于是他点上一支烟，走进了棋牌室。"
"Sitting on the high fender, he was impressed—the room was square, and within it were three square card tables, set askew to the walls, with three triangles of card players.","坐在高高的火炉围栏上，他注意到——房间是正方形的，里面摆着三张正方形的牌桌，靠着墙斜着摆放，三个打牌的人围成三个三角形。"
"‘If only,’ thought Michael, ‘the fourth player sat under the table, the pattern would be complete.","“要是，”迈克尔想，“第四个打牌的人坐在桌子底下，这个图案就完整了。"
"It’s having the odd player loose that spoils the cubes.’","正是因为多出了一个打牌人，才破坏了那些立方体。”"
"And with something of a thrill he saw that Elderson was a fourth player!","他看到埃尔德森就是第四个打牌的人，感觉有些兴奋！"
"Sharp and impassive, he was engaged in applying a knife to the end of a cigar.","他正在用一把小刀削掉雪茄的头，表情既精明又冷漠。"
"Gosh! what sealed books faces were!","天啊！人们的脸真的像天书一样啊！"
"Each with pages and pages of private thoughts, interests, schemes, fancies, passions, hopes and fears; and down came death—splosh!—and a creature wiped out, like a fly on a wall, and nobody any more could see its little close mechanism working away for its own ends, in its own privacy and its own importance; nobody any more could speculate on whether it was a clean or a dirty little bit of work.","每个人都有许多页的私密的想法、利益、阴谋、幻想、激情、希望和恐惧。等到死亡降临——哗——于是一个人被消灭了，就像墙上的苍蝇，再也没有人能看到它那细小而紧密的结构，隐秘而又郑重地工作到它生命的尽头，再也没有人能推断出这小小的工作究竟是干净的还是肮脏的。"
"Hard to tell!","很难说！"
"They ran in all shapes!","他们是各色人等一应俱全！"
"Elderson, for instance—was he a nasty mess, or just a lamb of God who didn’t look it?","例如，埃尔德森——他是一个下流险恶的混蛋呢，还是上帝的羔羊呢——只是样子看起来不太像而已？"
"‘Somehow,’ thought Michael, ‘I feel he’s a womaniser.","“不知为何，”迈克尔想，“我觉得他是一个玩弄女人的男人。"
"Now why?’","这是为什么呢？”"
"He spread his hands out behind him to the fire, rubbing them together like a fly that has been in treacle.","他把手伸到背后去烤火，像只落在蜜糖上的苍蝇一样，搓着双手。"
"If one couldn’t tell what was passing in the mind of one’s own wife in one’s own house, how on earth could one tell anything from the face of a stranger, and he one of the closest bits of mechanism in the world—an English gentleman of business!","如果一个人连自己家中的妻子在想什么都不知道，他怎么能从一个陌生人的脸上看出些什么呢，而且这个人又是世界上最严密的机械装置之一——一个做生意的英国绅士！"
"If only life were like ‘The Idiot’ or ‘The Brothers Karamazov,’ and everybody went about turning out their inmost hearts at the tops of their voices!","要是生活像《白痴》或者《卡拉马佐夫兄弟》里写的那样，每一个人都把自己内心深处的想法大声地喊出来，那该多好啊！"
"If only club card rooms had a dash of epilepsy in their composition!","要是俱乐部棋牌室里的人都有一点儿癫痫病，那该多好啊！"
"But—nothing!","但是——没有！"
"Nothing!","什么也没有！"
"The world was full of wonderful secrets which everybody kept to themselves without captions or close-ups to give them away!","这个世界满是令人惊奇的秘密，每一个人都保守着这些秘密，没有字幕或特写镜头可以泄露这些秘密！"
"A footman came in, looked at the fire, stood a moment expressionless as a stork, waiting for an order to ping out, staccato, through the hum, turned and went away.","一个侍者走进来，看着炉火，面无表情地站了一会儿，就像一只等待命令起飞的鹳鸟突然停了下来，在一片嗡嗡声中又转身离开了。"
"Mechanism!","机械装置！"
"Everywhere—mechanism!","到处都是——机械装置！"
"Devices for getting away from life so complete that there seemed no life to get away from.","用于逃离生活的装置是如此完备，以至于似乎没有什么要逃离的生活了。"
"‘It’s all,’ he thought, ‘awfully like a man sending a registered letter to himself.","“这非常像，”他想，“一个人给自己寄了一封挂号信。"
"And perhaps it’s just as well.","或许就是这么一回事。"
"Is ‘life’ a good thing—is it?","‘生活’是美好的吗——是吗？"
"Do I want to see ‘life’ raw again?’","我想看到‘生活’再次回到原始状态吗？”"
"Elderson was seated now, and Michael had a perfect view of the back of his head.","埃尔德森现在坐了下来，迈克尔可以非常清楚地看到他的后脑勺。"
"It disclosed nothing.","什么也看不出来。"
"‘I’m no sleuth,’ he thought; ‘there ought to be something in the way he doesn’t part his hair behind.’","“我不是个侦探，”他想，“他不把后脑勺上的头发分开是有一定的道理的。”"
"And, getting off the fender, he went home.","于是，他从火炉围栏上下来，回家去了。"
"At dinner he caught one of his own looks at Fleur and didn’t like it.","吃晚饭的时候，他看了弗勒一眼，觉得很不舒服。"
"Sleuth!","侦探！"
"And yet how not try to know what were the real thoughts and feelings of one who held his heart, like an accordion, and made it squeak and groan at pleasure!","然而对于一个像控制手风琴一样控制了他的心，可以随心所欲地使它发出尖叫声和呻吟声的人，如何才能做到不想知道她的真实想法和感情呢！"
"“I saw the model you sent Aubrey yesterday,” she said.","“我昨天看见你送给奥布里的那个模特了，”她说，"
"“She didn’t say anything about the clothes, but she looked ever so!","“她没有提衣服的事情，但是从她的表情可以看得出来！"
"What a face, Michael!","多漂亮的脸啊，迈克尔！"
"Where did you come across her?”","你是在哪儿发现她的？”"
"Through Michael sped the thought: ‘Could I make her jealous?’","迈克尔的脑子里闪过一个念头：“我能不能让她妒忌一下呢？”"
"And he was shocked at it.","他对这个念头感到震惊。"
"A low-down thought—mean and ornery!","一个低级的念头——卑鄙下流！"
"“She blew in,” he said.","“她自己突然出现的，”他说，"
"“Wife of a little packer we had who took to snooping—er—books.","“她是我们那儿以前的一个小包装工的妻子，他偷了——呃——书。"
"He sells balloons now; they want money badly.”","他现在在卖气球，他们非常需要钱。”"
"“I see.","“我明白了。"
"Did you know that Aubrey’s going to paint her in the nude?”","你知不知道奥布里打算给她画裸体像？”"
"“Phew!","“唷！"
"No!","不知道！"
"I thought she’d look good on a wrapper.","我本以为把她画在封面上应该看起来不错。"
"I say!","啊呀！"
"Ought I to stop that?”","我是不是应该阻止她那样做？”"
"Fleur smiled.","弗勒笑了。"
"“It’s more money and her look-out.","“那样可以挣更多的钱，而且那是她的事。"
"It doesn’t matter to you, does it?”","这与你无关，不是吗？”"
"Again that thought; again the recoil from it!","那个念头又冒了出来，然后又缩了回去！"
"“Only,” he said, “that her husband is a decent little snipe for a snooper, and I don’t want to be more sorry for him.”","“只是，”他说，“虽然她的丈夫偷了东西，但是他是一个正派的小人物。我不希望他更加难过。”"
"“She won’t tell him, of course.”","“她当然不会告诉他的。”"
"She said it so naturally, so simply, that the words disclosed a whole attitude of mind.","她这句话说得这么自然，这么坦率，完全暴露了她的思想态度。"
"One didn’t tell one’s mate what would tease the poor brute!","一个人是不会跟自己可怜的配偶说些可能惹怒他们的事情的！"
"He saw by the flutter of her white eyelids that she also realised the give-away.","他看到她那白皙的眼皮颤动了一下，就明白她也意识到自己说漏了嘴。"
"Should he follow it up, tell her what June Forsyte had told him—have it all out—all out?","他要不要追究下去，把琼·福赛特对他说的话告诉她——向她摊牌——摊牌？"
"But with what purpose—to what end?","但是这样做的目的是什么呢——会有什么结果呢？"
"Would it change things, make her love him?","这样做会改变情况，让她爱上他吗？"
"Would it do anything but harass her a little more; and give him the sense that he had lost his wicket trying to drive her to the pavilion?","这样做是不是只会使她更加烦恼，并且让他感到自己是偷鸡不成反蚀一把米呢？"
"No!","不行！"
"Better adopt the principle of secrecy she had unwittingly declared her own, bite on it, and grin.","最好还是采取那个使她不知不觉地自我暴露的秘密原则，坚持这个原则，并强颜欢笑。"
"He muttered:","他喃喃地说："
"“I’m afraid he’ll find her rather thin.”","“我怕他会发现她太瘦了。”"
"Her eyes were bright and steady; and again he was worried by that low-down thought: ‘Could he make her—?’","她的眼睛明亮而坚定。他又被那个低级的念头所困扰：“我能不能让她——？”"
"“I’ve only seen her once,” he added, “and then she was dressed.”","“我只见过她一次，”他补充道，“那时她是穿着衣服的。”"
"“I’m not jealous, Michael.”","“我不会妒忌的，迈克尔。”"
"‘No,’ he thought, ‘I wish to heaven you were!’","“不，”他想，“我多么希望你会妒忌啊！”"
"The words: “A young man called Butterfill to see you, sir,” were like the turning of a key in a cell door.","“一个名叫巴特菲的年轻人想要见您，先生。”这句话就像一把在牢门上转动的钥匙。"
"In the hall the young man “called Butterfill” was engaged in staring at Ting-a-ling.","在大厅里，那个“名叫巴特菲”的年轻人正在盯着小叮铃看。"
"‘Judging by his eyes,’ thought Michael, ‘he’s more of a dog than that little Djinn!’","“从他的眼睛来判断，”迈克尔想，“他比那个小精灵更像一只狗！”"
"“Come up to my study,” he said, “it’s cold down here.","“上楼到我的书房来吧，”他说，“楼下太冷了。"
"My father-inlaw tells me you want a job.”","我的岳父告诉我你想要一份工作。”"
"“Yes, sir,” said the young man, following up the stairs.","“是的，先生。”年轻人说着，跟着他上了楼。"
"“Take a pew,” said Michael; “and a cigarette.","“请坐，”迈克尔说，“抽支烟。"
"Now then!","好啦！"
"I know all about the turmoil.","那个乱子我全都知道了。"
"From your moustache, you were in the war, I suppose, like me?","从你的小胡子来看，我想，你和我一样，参过战吧？"
"As between fellow-sufferers: Is your story O. K.?”","作为两个战友之间的谈话，请你告诉我：你所说的事情是真的吗？”"
"“God’s truth, sir; I only wish it wasn’t.","“千真万确，先生，我现在只希望它不是真的。"
"I’d nothing to gain and everything to lose.","我什么也没有得到，反而失去了一切。"
"I’d have done better to hold my tongue.","我真应该管住自己的嘴。"
"It’s his word against mine, and here I am in the street.","只因我的话和他的话相反，我就流落街头了。"
"That was my first job since the war, so I can whistle for a reference.”","那是我在战后的第一份工作，所以我要得到介绍信只能是妄想。”"
"“Wife and two children, I think?”","“我想你有妻子和两个孩子吧？”"
"“Yes, and I’ve put them in the cart for the sake of my conscience!","“是的，为了我的良心，我使他们陷入了困境！"
"It’s the last time I’ll do that, I know.","我知道，这是我最后一次做这种事了。"
"What did it matter to me, whether the Society was cheated?","公司是否受骗和我有什么关系？"
"My wife’s quite right, I was a fool, sir.”","我的妻子说得对，我是一个傻瓜，先生。”"
"“Probably,” said Michael.","“也许吧，”迈克尔说，"
"“Do you know anything about books?”","“你了解关于书的事情吗？”"
"“Yes, sir; I’m a good book-keeper.”","“是的，先生，我是一个优秀的图书管理员。”"
"“Holy Moses!","“老天爷！"
"OUR job is getting rid of them.","我们的工作是把书卖掉。"
"My firm are publishers.","我的公司是出版社。"
"We were thinking of putting on an extra traveller.","我们正在考虑增加一个额外的旅行推销员。"
"Is your tongue persuasive?”","你说的话有说服力吗？”"
"The young man smiled wanly.","年轻人无力地笑了笑。"
"“I don’t know, sir.”","“我不知道，先生。”"
"“Well, look here,” said Michael, carried away by the look in his eyes, “it’s all a question of a certain patter.","“哦，听着，”迈克尔说，他被年轻人的眼神所感动，“这完全是能说会道的问题。"
"But, of course, that’s got to be learned.","但是，当然了，这需要学习。"
"I gather that you’re not a reader.”","我猜你不怎么看书吧。”"
"“Well, sir, not a great reader.”","“嗯，先生，不怎么看。”"
"“That, perhaps, is fortunate.","“那也许倒是件好事。"
"What you would have to do is to impress on the poor brutes who sell books that every one of the books on your list—say about thirty-five—is necessary in large numbers to his business.","你要做的就是让那些卖书的可怜虫们深深地感觉到你书目上的每本书——比如说大约35本——对他们的书店而言，都有必要大量进货。"
"It’s lucky you’ve just chucked your conscience, because, as a matter of fact most of them won’t be.","很幸运你刚刚抛弃了你的良心，因为，事实上大部分书是没什么必要的。"
"I’m afraid there’s nowhere you could go to to get lessons in persuasion, but you can imagine the sort of thing, and if you like to come here for an hour or two this week, I’ll put you wise about our authors, and ready you up to go before Peter.”","我担心没有什么地方可以让你学习说服别人，但是你可以想象一下这类事情，而且如果你这周能到这里来一两个小时，我将让你了解一下我们的几名作者，并让你做好准备去见彼得。”"
"“Before Peter, sir?”","“见彼得，先生？”"
"“The Johnny with the keys; luckily it’s Mr. Winter, not Mr. Danby; I believe I could get him to let you in for a month’s trial.”","“掌管大权的家伙，幸好他是温特先生，不是丹比先生。我相信我可以让他试用你一个月。”"
"“Sir, I’ll try my very best.","“先生，我会全力以赴的。"
"My wife knows about books, she could help me a lot.","我的妻子了解书，她可以给我很多帮助。"
"I can’t tell you what I think of your kindness.","我无法用言语表达对您的仁慈的感谢。"
"The fact is, being out of a job has put the wind up me properly.","事实是，失去了工作让我感到非常紧张不安。"
"I’ve not been able to save with two children; it’s like the end of the world.”","我有两个孩子，根本没有办法省下钱来，就像是世界末日一样。”"
"“Right-o, then!","“好了！"
"Come here tomorrow evening at nine, and I’ll stuff you.","明天晚上9点到这儿来，我会教你的。"
"I believe you’ve got the face for the job, if you can get the patter.","我相信如果你做到能说会道，你这张脸很适合这份工作。"
"Only one book in twenty is a necessity really, the rest are luxuries.","20本书里面只有一本是真正必要的，其他的都是奢侈品。"
"Your stunt will be to make them believe the nineteen are necessaries, and the twentieth a luxury that they need.","你的绝招就是要让他们相信这19本书是必要的，而第二十本书是他们需要的一件奢侈品。"
"It’s like food or clothes, or anything else in civilisation.”","书就像是食物或衣服，或者文明世界中的任何其他的东西。”"
"“Yes, sir, I quite understand.”","“是的，先生，我非常明白。”"
"“All right, then.","“那么，很好。"
"Good-night, and good luck!”","晚安，祝你好运！”"
"Michael stood up and held out his hand.","迈克尔站起来，伸出手。"
"The young man took it with a queer reverential little bow.","年轻人握着他的手，古怪而尊敬地鞠了一小躬。"
"A minute later he was out in the street; and Michael in the hall was thinking: ‘Pity is tripe!","一分钟以后，他已经走在了街上。迈克尔在大厅里想着：“怜悯就是扯淡！"
"Clean forgot I was a sleuth!’","把我是侦探这件事忘得干干净净吧！”"

"Chapter X","第十章"
"Face","脸"
"When Michael rose from the refectory table, Fleur had risen, too.","当迈克尔从细长的餐桌旁站起来时，弗勒也跟着站了起来。"
"Two days and more since she left Wilfrid’s rooms, and she had not recovered zest.","离开威尔弗里德的公寓两天多了，她一直都无精打采。"
"The rifling of the oyster Life, the garlanding of London’s rarer flowers which kept colour in her cheeks, seemed stale, unprofitable.","打破牡蛎式的封闭生活，佩戴伦敦的奇花异草编织的花冠来保持气色红润，这些似乎都已变得乏味无益。"
"Those three hours, when from shock off Cork Street she came straight to shocks in her own drawing-room, had dislocated her so that she had settled to nothing since.","那三个小时，从科克大街到自家客厅所经历的一系列惊吓，都令她心惊肉跳，以致到现在还不能平静。"
"The wound re-opened by Holly had nearly healed again.","被霍莉重新揭开的疮疤已差不多愈合了。"
"Dead lion beside live donkey cuts but dim figure.","死在活驴身旁的狮子给人留下了丝毫没有威严的可悲印象。"
"But she could not get hold again of—what?","但她不可能再获得——什么呢？"
"That was the trouble: What?","问题就在这里：是什么呢？"
"For two whole days she had been trying.","足足两天的时间里，她一直在思索着这个问题。"
"Michael was still strange, Wilfrid still lost, Jon still buried alive, and nothing seemed novel under the sun.","迈克尔依然是那么陌生，威尔弗里德依然还是失去了，乔恩依然不能去想，天底下似乎没有一件新奇的事情。"
"The only object that gave her satisfaction during those two dreary, disillusioned days was the new white monkey.","在那郁闷、心灰意冷的两天里，唯一使她感到满足的就是那幅新送来的白猿了。"
"The more she looked at it, the more Chinese it seemed.","她越端详这幅画，这幅画就越显示出中国的风格。"
"It summed up the satirical truth of which she was perhaps subconscious, that all her little modern veerings and flutterings and rushings after the future showed that she believed in nothing but the past.","这幅画概括了也许在她下意识中也认可的具有讽刺意味的事实——除了过去，其他皆不可信——她对于未来所表现出的具有现代特点的小犹豫、不安分以及仓促行事都说明了这一点。"
"The age had overdone it and must go back to ancestry for faith.","这个时代已经过于浮夸，必须回到祖先那里去重寻信仰了。"
"Like a little bright fish out of a warm bay, making a splash in chill, strange waters, Fleur felt a subtle nostalgia.","此时，弗勒心头涌起一丝怀旧情绪，就像一条来自温暖海湾的活泼小鱼，在寒冷陌生的水域溅起水花。"
"In her Spanish room, alone with her own feelings, she stared at the porcelain fruits. They glowed, cold, uneatable!","她在西班牙式的房间里，端详着瓷水果，独自想着心事。那些果子色彩鲜艳、冰冷，不可食用。"
"She took one up.","她拿起一个。"
"Meant for a passion fruit?","把它看成激情的果实吗？"
"Alas!","啊！"
"Poor passion!","可怜的激情！"
"She dropped it with a dull clink on to the pyramid, and shuddered a little.","她把它扔回去，瓷果子落在果堆上，发出沉闷的碰撞声，这不禁使她为之一震。"
"Had she blinded Michael with her kisses?","她的吻已经蒙蔽了迈克尔吗？"
"Blinded him to—what?","蒙蔽他——什么呢？"
"To her incapacity for passion?","让他相信她已经没有激情了？"
"‘But I’m not incapable,’ she thought; ‘I’m not.","“但是我不是没有激情啊，”她想，“不是啊。"
"Some day I’ll show him; I’ll show them all.’","总有一天我让他看看，让所有人都看看。”"
"She looked up at ‘the Goya’ hanging opposite.","她抬眼看了看挂在对面的那幅戈雅的画。"
"What gripping determination in the painting—what intensity of life in the black eyes of a rather raddled dame!","画作体现了多么强的坚定决心——浓妆艳抹的贵妇，黑黑的眼眸闪烁着生活的激情！"
"SHE would know what she wanted, and get it, too!","她肯定知道自己想要什么，而且一定要得到它！"
"No compromise and uncertainty there—no capering round life, wondering what it meant, and whether it was worth while, nothing but hard living for the sake of living!","没有一丝妥协和犹豫——不游戏人生，猜测生活的意义；不论是否值得，只有为了生活而努力活着！"
"Fleur put her hands where her flesh ended, and her dress began.","弗勒把手放在裸露的那部分肉体上。"
"Wasn’t she as warm and firm—yes, and ten times as pretty, as that fine and evil-looking Spanish dame, with the black eyes and the wonderful lace?","与那有着一双黑眼眸，穿着镶满蕾丝的服饰，面容姣好而又面带邪念的西班牙女郎相比，难道她不是同样温情和坚定吗——而且比她漂亮十倍？"
"And, turning her back on the picture, she went into the hall.","是的，她转过身背对着那幅画，向门厅走去。"
"Michael’s voice and another’s!","迈克尔和另一个人的声音！"
"They were coming down!","他们正从楼上下来！"
"She slipped across into the drawing-room and took up the manuscript of a book of poems, on which she was to give Michael her opinion.","她悄悄穿过门厅，溜进客厅，拿起一本诗集原稿。她要把对这本书的意见告诉迈克尔。"
"She sat, not reading, wondering if he were coming in.","她坐在那里，并没有阅读稿子，而是猜想着迈克尔是否会进来。"
"She heard the front door close.","她听见关大门的声音。"
"No!","不会进来了！"
"He had gone out!","他已经出去了！"
"A relief, yet chilling!","一阵轻松，但又有些心寒！"
"Michael not warm and cheerful in the house—if it were to go on, it would be wearing.","迈克尔在这里感觉不到温暖和愉快——如果长此下去，一定会令人厌烦的。"
"She curled herself up and tried to read.","她蜷起身子，试图读上一点儿。"
"Dreary poems—free verse, blank, introspective, all about the author’s inside!","枯燥的诗歌——自由体、无韵、内心自省，都是描写作者内心世界的！"
"No lift, no lilt!","没有激情，没有韵律！"
"Duds!","毫无新意！"
"She seemed to have read them a dozen times before.","她似乎已经读过十几遍了。"
"She lay quite still—listening to the click and flutter of the burning logs!","她安静地躺在那里——倾听着燃烧的干柴发出的噼啪声！"
"If the light were out she might go to sleep.","要是没有灯光，她会睡着的。"
"She turned it off, and came back to the settee.","她关了灯，又回到那张长靠椅上。"
"She could see herself sitting there, a picture in the firelight; see how lonely she looked, pretty, pathetic, with everything she wished for, and—nothing!","她可以看到自己独自坐在那里的身影，犹如火光中的一幅画。她是那么孤单、漂亮、哀婉动人，拥有她想要的一切，但又——一无所有！"
"Her lip curled.","她撅起了嘴。"
"She could even see her own spoiled-child ingratitude.","她甚至可以看到自己好像被宠坏了的孩子一样忘恩负义。"
"And what was worse, she could see herself seeing it—a triple-distilled modern, so subtly arranged in life-tight compartments that she could not be submerged.","而且更加糟糕的是，她亲眼目睹这一切——一个经过反复修炼的时髦人物，却被如此巧妙地安排在犹如密闭的船舱一般的生活中，让她无法沉沦。"
"If only something would blow in out of the unkempt cold, out of the waste and wilderness of a London whose flowers she plucked.","如果伦敦——这个让她享受了荣华富贵的地方，有一种力量能够一扫凛冽的寒冷，除掉垃圾和荒野，那该多好啊。"
"The firelight—soft, uncertain—searched out spots and corners of her Chinese room, as on a stage in one of those scenes, seductive and mysterious, where one waited, to the sound of tambourines, for the next moment of the plot.","柔和、摇曳的火光照到了这间中国式的房间的一个角落，好像舞台上上演的一幕幕充满诱惑与神秘的戏剧，观众在铃鼓声中期待着剧情的发展。"
"She reached out and took a cigarette.","她伸手拿了一支香烟。"
"She could see herself lighting it, blowing out the smoke—her own half-curled fingers, her parted lips, her white rounded arm.","她可以看到自己点燃了香烟，喷出烟来——她那弯曲的手指、张开的双唇和白皙圆润的手臂。"
"She was decorative!","她就是一个装饰品！"
"Well, and wasn’t that all that mattered?","哦，难道一切问题的关键就在这里？"
"To be decorative, and make little decorations; to be pretty in a world that wasn’t pretty!","装饰，但无需装潢，要在一个不美的世界里依然保持美丽！"
"In ‘Copper Coin’ there was a poem of a flicker-lit room, and a spoiled Columbine before the fire, and a Harlequin hovering without, like ‘the spectre of the rose.’","《铜币》里有一首诗，叙述的是一间火光闪烁的房间里，一个被人宠坏了的科伦芭茵站在壁炉前，而门外徘徊着一个丑角，就像一个“玫瑰之魔”一样。"
"And suddenly, without warning, Fleur’s heart ached.","突然间，没有任何征兆，弗勒的心隐隐作痛。"
"It ached definitely, rather horribly, and, slipping down on to the floor before the fire, she snuggled her face against Ting-a-ling.","确实是心痛，很痛，她慢慢倒在壁炉前的地板上，用侧脸贴着小叮铃。"
"The Chinese dog raised his head—his black eyes lurid in the glow.","这只中国狗抬起头来——一双黑色的眼睛在火光中显得鲜红。"
"He licked her cheek, and turned his nose away.","它舔舔她的脸，然后把鼻子转过去。"
"Huf!","嘿！"
"Powder!","香粉的味道！"
"But Fleur lay like the dead.","但弗勒躺在那里，没了声息。"
"And she saw herself lying—the curve of her hip, the chestnut glow in her short hair; she heard the steady beat of her heart.","同时她看见自己躺在那里——那臀部的线条，还有闪着光泽的栗色短发。她听到自己的心跳声。"
"Get up!","起来！"
"Go out!","出去！"
"Do something!","干点儿事情！"
"But what—what was worth doing?","但是什么——什么值得去做呢？"
"What had any meaning in it?","什么事情有意义呢？"
"She saw herself doing—extravagant things; nursing sick women; tending pale babies; making a speech in Parliament; riding a steeplechase; hoeing turnips in knickerbockers—decorative.","她看到自己在做些怪诞的事情——护理生病的妇女；照料虚弱的婴儿；在议会里发表演讲；参加障碍赛马；穿着灯笼裤挖萝卜——成为装饰品。"
"And she lay perfectly still, bound by the filaments of her self-vision.","于是她安静地躺着，被自己看到的幻影束缚着。"
"So long as she saw herself she would do nothing—she knew it—for nothing would be worth doing!","只要她能看到自己，她就不会做任何事情——她清楚这一点——因为没有一件事值得去做！"
"And it seemed to her, lying there so still, that not to see herself would be worse than anything.","她静静地躺在那里，似乎对于她来讲，最糟糕的事情莫过于不去看自己。"
"And she felt that to feel this was to acknowledge herself caged for ever.","而且她意识到，体会着这种感觉就意味着承认自己将永远被囚禁在牢笼里。"
"Ting-a-ling growled, turning his nose towards the windows.","小叮铃咆哮起来，朝着窗口咆哮。"
"“In here,” he seemed to say, “we are cosy; we think of the past.","它似乎说：“我们在这里很舒服，我们怀念过去。"
"We have no use for anything outside.","我们不需要外面的任何东西。"
"Kindly go away—whoever it is out there!”","请走开吧——不论外面是谁！”"
"And again he growled—a low, continuous sound.","接着它又咆哮起来——不断地低声咆哮着。"
"“What is it, Ting?”","“怎么了，叮铃？”"
"Ting-a-ling rose on his fore-legs, with muzzle pointed at the window.","小叮铃的脸正对着窗户，前腿立起来。"
"“Do you want your walk?”","“你想要出去遛遛吗？”"
"“No,” said the growl.","“不。”它咆哮道。"
"Fleur picked him up.","弗勒把它抱起来。"
"“Don’t be so silly!”","“别傻叫！”"
"And she went to the window.","说着朝窗户走去。"
"The curtains were closely drawn; rich, Chinese, lined, they excluded the night.","窗帘拉得严严实实。这中国式窗帘很华美，还带着里衬，把夜色挡在窗外。"
"Fleur made a chink with one hand, and started back.","弗勒用一只手把窗帘拉开一条缝，大吃一惊，不由得往后退了一步。"
"Against the pane was a face, the forehead pressed against the glass, the eyes closed, as if it had been there a long time.","贴在玻璃上的是一张脸——前额紧贴着玻璃，双眼紧闭，似乎已经在那里很长时间了。"
"In the dark it seemed featureless, vaguely pale.","黑暗中，它显得面目模糊、苍白。"
"She felt the dog’s body stiffen under her arm—she felt his silence.","她感到小叮铃的身体在她的胳膊下变得僵硬了——她感到了小叮铃的沉默。"
"Her heart pumped.","她的心猛烈地跳着。"
"It was ghastly—face without body.","太可怕了——没有躯体的脸。"
"Suddenly the forehead was withdrawn, the eyes opened.","突然那前额缩了回去，睁开了双眼。"
"She saw—the face of Wilfrid.","她看清楚了——那是威尔弗里德的脸。"
"Could he see in-see her peering out from the darkened room?","他能看见里面——看见她从黑暗的屋里朝外张望吗？"
"Quivering all over, she let the curtains fall to.","她浑身颤抖，松手把窗帘合上。"
"Beckon?","打招呼？"
"Let him in?","请他进来？"
"Go out to him?","出去见他？"
"Wave him away?","还是挥手让他离开？"
"Her heart beat furiously.","她的心狂跳不止。"
"How long had he been out there—like a ghost?","他在窗外呆了多久——像个幽灵一样？"
"What did he want of her?","他对她有什么企图？"
"She dropped Ting-a-ling with a flump, and pressed her hands to her forehead, trying to clear confusion from her brain.","她砰地扔下小叮铃，双手按住前额，想要把这一切混乱全部忘记。"
"And suddenly she stepped forward and flung the curtains apart.","突然，她走上前，一把拉开窗帘。"
"No face!","没有脸！"
"Nothing!","什么都没有！"
"He was gone!","他走了！"
"The dark, draughty square—not a soul in it!","那狂风大作、黑漆漆的大街上——一个人影也没有！"
"Had he ever been—or was the face her fancy?","他到底来过没有——或者说她看到的那张脸只是幻觉？"
"But Ting-a-ling!","但是小叮铃看到了！"
"Dogs had no fancies.","狗不可能有幻觉啊。"
"He had gone back to the fire and settled down again.","它已经回到壁炉前，安静地趴在那里。"
"‘It’s not my fault,’ she thought passionately.","“这不是我的错，”她情绪激动地想着，"
"‘It’s not!","“不是！"
"I didn’t want him to love me.","我没有要他爱我。"
"I only wanted his—his—!’","我只是想要他的——他的——！”"
"Again she sank down before the fire.","她又倒在了壁炉前的地板上，"
"“Oh!","“哦！"
"Ting, have a feeling heart!”","叮铃，发发慈悲！”"
