"书名牧羊人之所见：四个月夜的故事（哈代经典短篇小说）短简介圣诞节本是万人欢庆的节日，圣诞夜本是欢乐祥和的夜晚。然而，对年轻的牧羊小孩米尔斯来说并非如此。在圣诞的这一周，在三个月黑风高的夜晚，他见证了公爵、公爵夫人及公爵夫人表弟弗雷德上尉之间的爱恨情仇，并且亲眼目睹了公爵对弗雷德上尉的残酷杀戮。应公爵的要求，米尔斯始终守口如瓶，直到二十二年之后同样一个月黑风高的夜晚，真相才最终揭晓，此时这位昔日的毛头牧羊人已是人到中年。长简介哈代的短篇小说《牧羊人之所见：四个月夜的故事》借主人公之口娓娓道来，讲述了发生在四个月夜的悬疑故事。小说伊始，作者便介绍了第一位主人公：小小牧羊人。这位小小牧羊人，看似微不足道，实则是贯穿文章的主线，因为正是他那双眼眸见证了发生在公爵、公爵夫人、弗雷德上尉之间的故事。小说情节看似随兴所至、未加刻意雕琢，其实经过多处铺垫、烘托，营造了整个文章的悬疑气氛，这种气氛贯穿全文，直到二十二年之后的第四个夜晚，谜底才最后解开。小说语言简洁流畅、耐人品读。关键字牧羊人之所见；托马斯·哈代；外研社编译组；爱恨情仇；圣诞节；杀戮作者（英）托马斯·哈代作者简介托马斯·哈代（1840—1928），英国诗人、小说家。他是横跨两个世纪的作家，早期和中期的创作以小说为主，继承和发扬了维多利亚时代的文学传统；晚年以其出色的诗歌开拓了英国20世纪的文学。书评圣诞节本是万人欢庆的节日，圣诞夜本是欢乐祥和的夜晚。然而，事实并非总是如此，因为圣诞夜也见证了残酷无情的杀戮事件。"
"What the Shepherd Saw: A Tale of Four Moonlight Nights","牧羊人之所见：四个月夜的故事"
"His pallor, too, was remarkable for a countryman.","就一个乡下人来说，他苍白的脸色也十分引人注意。"
"He was professedly engaged in writing, but he shaped not word.","他表明上在忙着写东西，但一个字都没写出来。"
"He had sat there only a few minutes, when, laying down his pen and pushing back his chair, he rested a hand uneasily on each of the chair-arms and looked on the floor.","他只在那里坐了几分钟就放下了笔，把椅子向后推了推，他不安地将手放在椅子两边的扶手上，看着地板。"
"Soon he arose and left the room.","他很快便站了起来，离开了房间。"
"His course was along a passage which ended in a central octagonal hall; crossing this he knocked at a door.","他穿过了一段通道，通道的尽头是一个八角形的中央大厅；他穿过大厅，敲响了一扇门。"
"A faint, though deep, voice told him to come in.","一个微弱但是深沉的声音让他进去。"
"The room he entered was the library, and it was tenanted by a single person only—his patron the Duke.","他进去的这个房间是图书馆，图书馆唯一的租用者便是他的赞助人——公爵。"
"During this long interval of years the Duke had lost all his heaviness of build.","经过了这么多年的时间，公爵的身体已经不再结实了。"
"He was, indeed, almost a skeleton; his white hair was thin, and his hands were nearly transparent.","他现在几乎成了一具骷髅，的确；银色的头发很稀松，双手几乎都是透明的了。"
"‘Oh—Mills?’ he murmured.","“噢，米尔斯？”他小声说道，"
"‘Sit down.","“坐吧。"
"What is it?’","有什么事吗？”"
"‘Nothing new, your Grace.","“没什么，大人。"
"Nobody to speak of has written, and nobody has called.’","没什么大人物写东西，也没人来过。”"
"‘Ah—what then?","“啊——还有什么？"
"You look concerned.’","你好像有点儿担心。”"
"‘Old times have come to life, owing to something waking them.’","“我想起了过去的时光，一些东西唤醒了我对过去的回忆。”"
"‘Old times be cursed—which old times are they?’","“该死的过去的时光——过去的哪些时光？”"
"‘That Christmas week twenty-two years ago, when the late Duchess’s cousin Frederick implored her to meet him on Marlbury Downs.","“二十二年前过圣诞的那一周，公爵夫人的表弟弗雷德里克求夫人去马尔伯里丘陵地见他。夫人现在已经去世了。"
"I saw the meeting—it was just such a night as this—and I, as you know, saw more.","我看到了他们的会面——那天晚上跟今晚很像——而且你知道的，我还看到了其他事情。"
"She met him once, but not the second time.’","夫人只见了他一次，没见他第二次。”"
"‘Mills, shall I recall some words to you—the words of an oath taken on that hill by a shepherd-boy?’","“米尔斯，要我提醒你一些话吗？要我提醒你一个牧羊男孩在山上发誓时说的话吗？”"
"‘It is unnecessary.","“没必要。"
"He has strenuously kept that oath and promise.","他竭力在遵守自己的誓言以及诺言。"
"Since that night no sound of his shepherd life has crossed his lips—even to yourself.","自那个晚上起，他从未提起过自己牧羊的生活——甚至是对您。"
"But do you wish to hear more, or do you not, your Grace?’","但是，您想不想再听一些，大人？”"
"‘I wish to hear no more,’ said the Duke sullenly.","“我不想再听了，”公爵不高兴地说道。"
"‘Very well; let it be so.","“很好；那就这样吧。"
"But a time seems coming—may be quite near at hand—when, in spite of my lips, that episode will allow itself to go undivulged no longer.’","但是，好像某个时刻快到了，或许就在眼前，到时候，即使我不说，那段故事自身也会为人所知。”"
"‘I wish to hear no more!’ repeated the Duke.","“我不想再听了！”公爵重复道。"
"‘You need be under no fear of treachery from me,’ said the steward, somewhat bitterly.","“您完全不必担心我会背叛您，”这位管家说道，语气中带着一些心酸，"
"‘I am a man to whom you have been kind—no patron could have been kinder.","“您对我很仁慈——没有比您更仁慈的赞助人了。"
"You have clothed and educated me; have installed me here; and I am not unmindful.","您为我提供了衣食，供我读书，让我在这里工作，我不是忘恩负义的人。"
"But what of it—has your Grace gained much by my stanchness?","但是大人，我坚决不对别人说出以前的事，您自己从中获益多吗？"
"I think not.","我觉得不多。"
"There was great excitement about Captain Ogbourne’s disappearance, but I spoke not a word.","奥格本上尉的失踪引起了很大的轰动，但是我一直守口如瓶。"
"And his body has never been found.","而且他的尸体也一直没找到。"
"For twenty-two years I have wondered what you did with him.","过去的二十二年里，我一直在猜你对他做了什么。"
"Now I know.","现在我知道了。"
"A circumstance that occurred this afternoon recalled the time to me most forcibly.","今天下午发生的一件事，强烈地唤醒了我对以前的回忆。"
"To make it certain to myself that all was not a dream, I went up there with a spade; I searched, and saw enough to know that something decays there in a closed badger’s hole.’","为了确认一切不是梦，我带着一把铁锹去了那里；我仔细找了，看了足够多的东西，然后我知道在一个封起来的獾洞里，有东西在腐烂。”"
"‘Mills, do you think the Duchess guessed?’","“米尔斯，你觉得夫人猜到了吗？”"
"‘She never did, I am sure, to the day of her death.’","“她绝没有，我确定，直到去世她都没猜到。”"
"‘Did you leave all as you found it on the hill?’","“你离开时把山上的东西都恢复到原样了吗？”"
"‘I did.’","“是的。”"
"‘What made you think of going up there this particular afternoon?’","“你为什么今天下午会想到去那里呢？”"
"‘What your Grace says you don’t wish to be told.’","“大人您说了您不想听。”"
"The Duke was silent; and the stillness of the evening was so marked that there reached their ears from the outer air the sound of a tolling bell.","公爵沉默了；夜是如此寂静，外面的钟声传到了他们的耳际。"
"‘What is that bell tolling for?’ asked the nobleman.","“为什么在撞钟？”这位贵族问道。"
"‘For what I came to tell you of, your Grace.’","“这就是我来要告诉您的事，大人。”"
"‘You torment me it is your way!’ said the Duke querulously.","“这是你折磨我的方式！”公爵抱怨道。"
"‘Who’s dead in the village?’","“村里谁去世了？”"
"‘The oldest man—the old shepherd.’","“村里最老的人——老牧羊人。”"
"‘Dead at last—how old is he?’","“终于死了——他多大了？”"
"‘Ninety-four.’","“九十四岁。”"
"‘And I am only seventy.","“我才七十岁。"
"I have four-and-twenty years to the good!’","我还能活二十四年呢！”"
"‘I served under that old man when I kept sheep on Marlbury Downs.","“我在马尔伯里丘陵地守羊的时候，就是在他手下做事。"
"And he was on the hill that second night, when I first exchanged words with your Grace.","第二个晚上，也就是我第一次与您讲话的那个晚上，他也在山上。"
"He was on the hill all the time; but I did not know he was there—nor did you.’","他一直都在山上；但是我不知道他在那里，您也不知道。”"
"‘Ah!’ said the Duke, starting up.","“啊！”公爵叫道，吓得跳了起来。"
"‘Go on—I yield the point—you may tell!’","“继续说——我让步了——你可以告诉我！”"
"‘I heard this afternoon that he was at the point of death.","“今天下午，我听说他快不行了。"
"It was that which set me thinking of that past time—and induced me to search on the hill for what I have told you.","这让我想起了过去的时光，也促使我去山上寻找我跟您说的那个东西。"
"Coming back I heard that he wished to see the Vicar to confess to him a secret he had kept for more than twenty years—“out of respect to my Lord the Duke”—something that he had seen committed on Marlbury Downs when returning to the flock on a December night twenty-two years ago.","我回来的时候，听说他想见牧师，想向牧师忏悔二十多年来——‘出于对公爵大人的尊敬’——一直保守的一个秘密，这个秘密就是二十二年前的十二月的一个晚上，当他回到马尔伯里丘陵地去看守羊群时看到的事情。"
"I have thought it over.","我仔细想过了。"
"He had left me in charge that evening; but he was in the habit of coming back suddenly, lest I should have fallen asleep.","那天晚上，他让我看守羊群；但是，他总有突然回来的习惯，怕万一我睡着了。"
"That night I saw nothing of him, though he had promised to return.","但是那天晚上，我一直没见到他，尽管他答应过我会回来。"
"He must have returned, and—found reason to keep in hiding.","他肯定回来了，然后发现自己必须躲起来。"
"It is all plain.","事情再清楚不过了。"
"The next thing is that the Vicar went to him two hours ago.","然后，两小时之前牧师去看他了。"
"Further than that I have not heard.’","之后我就没听到其他的事了。”"
"‘It is quite enough.","“够了。"
"I will see the Vicar at daybreak to-morrow.’","明早黎明时分我会去见牧师的。”"
"‘What to do?’","“见他干什么呢？”"
"‘Stop his tongue for four-and-twenty years—till I am dead at ninety-four, like the shepherd.’","“让他在今后的二十四年里保守秘密，直到我九十四岁时去世，就像老牧羊人一样。”"
"‘Your Grace—while you impose silence on me, I will not speak, even though nay neck should pay the penalty.","“大人，您让我保守秘密，那我一定不会说出去，尽管没人该付出代价。"
"I promised to be yours, and I am yours.","我承诺会对你忠诚，那我一定会保持忠诚。"
"But is this persistence of any avail?’","但是您这样坚持有用吗？”"
"‘I’ll stop his tongue, I say!’ cried the Duke with some of his old rugged force.","“我会封上他的嘴，我说！”公爵喊道，语气中带着他那一贯的粗鲁和强硬，"
"‘Now, you go home to bed, Mills, and leave me to manage him.’","“现在，你回家睡觉，米尔斯，让我来对付他。”"
"The interview ended, and the steward withdrew.","对话结束了，这位管家退了出来。"
"The night, as he had said, was just such an one as the night of twenty-two years before, and the events of the evening destroyed in him all regard for the season as one of cheerfulness and goodwill.","那天晚上，正如他所说的，的确跟二十二年前的那个晚上很像，他一直认为这是一个充满愉悦和亲切的季节，但是那个晚上发生的事情完全破坏了他的这种想法。"
"He went off to his own house on the further verge of the park, where he led a lonely life, scarcely calling any man friend.","他回到位于公园另一边的住所内，在那里，他过着孤独的生活，没有一个人能称得上是他的朋友。"
"At eleven he prepared to retire to bed—but did not retire.","十一点钟的时候他准备睡觉——但是却没睡。"
"He sat down and reflected.","他坐下来，陷入了沉思。"
"Twelve o’clock struck; he looked out at the colourless moon, and, prompted by he knew not what, put on his hat and emerged into the air.","十二点的钟声敲响了；他看了看外面苍白的月亮，在自己也不知道是什么原因的驱使下，戴上帽子，出门去了。"
"Here William Mills strolled on and on, till he reached the top of Marlbury Downs, a spot he had not visited at this hour of the night during the whole score-and-odd years.","威廉姆·米尔斯漫步了好久，最后到了马尔伯里丘陵地的最高处，在过去二十几年里，他从没在晚上这个时候来过这里。"
"He placed himself, as nearly as he could guess, on the spot where the shepherd’s hut had stood.","他根据自己的猜测，尽量站在离原先牧羊人的棚子所在地最近的地方。"
"No lambing was in progress there now, and the old shepherd who had used him so roughly had ceased from his labours that very day.","现在，那里没有羊产羔，自那天起，曾经对他很粗鲁的老牧羊人停止了自己的工作。"
"But the trilithon stood up white as ever; and, crossing the intervening sward, the steward fancifully placed his mouth against the stone.","但是，巨石牌坊还是立在那里，一如既往那么白；这位管家走过草地，奇异地将自己的嘴贴在了石头上。"
"Restless and self-reproachful as he was, he could not resist a smile as he thought of the terrifying oath of compact, sealed by a kiss upon the stones of a Pagan temple.","尽管他感到不安和自责，但是当他想起和公爵达成契约时发了可怕的誓，还亲吻了异教的石头牌坊，便忍不住微笑。"
"But he had kept his word, rather as a promise than as a formal vow, with much worldly advantage to himself, though not much happiness; till increase of years had bred reactionary feelings which led him to receive the news of to-night with emotions akin to relief.","但是，他遵守了自己的诺言，他把它当作承诺而非正式誓言来遵守，这为他带来了许多世俗的回报，尽管没带来多少快乐；年复一年，他萌生了反抗情绪，正因为如此，他听到今晚的消息时，心中有了如释重负的感觉。"
"While leaning against the Devil’s Door and thinking on these things, he became conscious that he was not the only inhabitant of the down.","他靠在“魔鬼门”上，想着这些事情，然后他意识到现在丘陵地上并不是只有他一个人。"
"A figure in white was moving across his front with long, noiseless strides.","一个穿着白色衣服的身影正在他的前方悄无声息地大步向前走。"
"Mills stood motionless, and when the form drew quite near he perceived it to be that of the Duke himself in his nightshirt—apparently walking in his sleep.","米尔斯站在那里一动不动，等那个身影走近了，他看清楚是公爵，他穿着睡衣——显然是在梦游。"
"Not to alarm the old man, Mills clung close to the shadow of the stone.","米尔斯不愿惊醒这位老人，便紧紧地贴着石头，躲在石头的阴影里。"
"The Duke went straight on into the hollow.","公爵径直朝着洼地走去。"
"There he knelt down, and began scratching the earth with his hands like a badger.","在那里他跪了下来，然后像獾一样，开始用手刨土。"
"After a few minutes he arose, sighed heavily, and retraced his steps as he had come.","几分钟之后，他站了起来，重重地叹了一口气，然后沿原路返回了。"
"Fearing that he might harm himself, yet unwilling to arouse him, the steward followed noiselessly.","这位管家怕公爵伤了他自己，但是又不愿惊醒他，于是便悄悄地跟在公爵后面。"
"The Duke kept on his path unerringly, entered the park, and made for the house, where he let himself in by a window that stood open—the one probably by which he had come out.","公爵毫无差错地沿着来时的路走着，然后进了公园，朝着房子走去，在那里他从一扇开着的窗户钻了进去——他很可能就是从那扇窗户钻出来的。"
"Mills softly closed the window behind his patron, and then retired homeward to await the revelations of the morning, deeming it unnecessary to alarm the house.","公爵进去之后，米尔斯轻轻地关上窗户，然后朝家里走去，等早上看有什么消息，他觉得没必要叫醒公爵家里的其他人了。"
"However, he felt uneasy during the remainder of the night, no less on account of the Duke’s personal condition than because of that which was imminent next day.","然而，接下来的时间，他感到很不安，不只是因为第二天即将来临的事，还因为公爵的个人状况。"
"Early in the morning he called at Shakeforest Towers.","他一大早就去了谢科福里斯特塔。"
"The blinds were down, and there was something singular upon the porter’s face when he opened the door.","百叶窗是放下来的，当守门人打开门时，米尔斯看到他表情有些异常。"
"The steward inquired for the Duke.","这位管家询问了公爵的情况。"
"The man’s voice was subdued as he replied: ‘Sir, I am sorry to say that his Grace is dead!","守门人语气低沉地回答道：“先生，很遗憾地告诉您，公爵大人去世了！"
"He left his room some time in the night, and wandered about nobody knows where.","他夜里离开了房间，去了哪里谁都不知道。"
"On returning to the upper floor he lost his balance and fell downstairs.’","再回到楼上的时候，他失去了平衡，摔下了楼梯。”"
"The steward told the tale of the Down before the Vicar had spoken.","这位管家在牧师之前向大家讲述了丘陵地上发生的事。"
"Mills had always intended to do so after the death of the Duke.","米尔斯一直打算在公爵去世之后这么做。"
"The consequences to himself he underwent cheerfully; but his life was not prolonged.","他高兴地接受了后果；但是他的生命并没有因此而延长。"
"He died, a farmer at the Cape, when still somewhat under forty-nine years of age.","他去世时是开普地区的一个农民，享年不到四十九岁。"
"The splendid Marlbury breeding flock is as renowned as ever, and, to the eye, seems the same in every particular that it was in earlier times; but the animals which composed it on the occasion of the events gathered from the Justice are divided by many ovine generations from its members now.","马尔伯里丘陵地的种羊群和以往一样有名，而且从表面上看来，各个方面都和以前一样；但是，治安官收集这些事件发生时的羊群已经因为几代绵羊的繁衍而品种不纯了。"
"Lambing Corner has long since ceased to be used for lambing purposes, though the name still lingers on as the appellation of the spot.","产羔角很久前就不再用于产羔了，尽管这一名字留了下来，人们一直都这么叫这个地方。"
"This abandonment of site may be partly owing to the removal of the high furze bushes which lent such convenient shelter at that date.","之所以放弃这里，在一定程度上可能是因为那些高大的荆豆丛不在了，它们曾经为牧羊人提供了方便的庇护。"
"Partly, too, it may be due to another circumstance.","一定程度上可能是因为其他事情。"
"For it is said by present shepherds in that district that during the nights of Christmas week flitting shapes are seen in the open space around the trilithon, together with the gleam of a weapon, and the shadow of a man dragging a burden into the hollow.","因为据现在那个地区的牧羊人说，在圣诞节那一周的晚上，看到有东西在巨石牌坊周围的空地上飞来飞去，有凶器在闪闪发光，同时有一个人影拖着重物走向洼地。"
"But of these things there is no certain testimony.","但是没有确定的证据证明这些事是不是真的。"
"Christmas 1881.","1881年圣诞。"

