"In the Days of the Comet","彗星来临"
"Then very softly I stooped down and replaced it.","之后我才弯下腰去轻轻地将它放回原处。"
"I was trembling—trembling with a nameless emotion.","我颤抖起来——因一种莫名的情愫。"
"I looked with quickened eyes closely among the barley stems, and behold, now everywhere I saw beetles, flies, and little creatures that did not move, lying as they fell when the vapors overcame them; they seemed no more than painted things.","我凑近麦秆，眼睛迅速在其间扫视，发现到处都是甲虫苍蝇之类的小东西。它们一动不动地躺在那儿，保持着被绿色气体袭击时倒下的状态，就像画中之物一般。"
"Some were novel creatures to me.","有些动物于我来说甚是新奇。"
"I was very unfamiliar with natural things.","因为我对自然界的事物知之甚少。"
"“My God!”","“天哪！”"
"I cried; “but is it only I—?”","我喊道，“难道只有我——”"
"And then at my next movement something squealed sharply.","我正要起身时，什么东西尖叫了一声。"
"I turned about, but I could not see it, only I saw a little stir in a rut and heard the diminishing rustle of the unseen creature’s flight.","我环顾了一下，没看到是什么东西，只看见犁沟里荡起的微波和那个不明动物飞走的渐远的声音。"
"And at that I turned to my toad again, and its eye moved and it stirred.","于是我又回过头来看我的青蛙，它眼睛动了动，身子抖了抖。"
"And presently, with infirm and hesitating gestures, it stretched its limbs and began to crawl away from me.","不久，它便颤颤巍巍小心翼翼地舒展四肢，从我身边爬开了。"
"But wonder, that gentle sister of fear, had me now.","此时，我却被恐惧的金兰姐妹——惊奇给擒住了。"
"I saw a little way ahead a brown and crimson butterfly perched upon a cornflower.","我看到前面不远处一直棕红花纹的蝴蝶停在一朵矢车菊上休憩。"
"I thought at first it was the breeze that stirred it, and then I saw its wings were quivering.","起先我以为是微风吹着它晃动，但稍后我却发现它的翅膀在颤动。"
"And even as I watched it, it started into life, and spread itself, and fluttered into the air.","我注视着它，发现它竟苏醒了。只见它舒展了身子便扇动翅膀飞到了空中。"
"I watched it fly, a turn this way, a turn that, until suddenly it seemed to vanish.","我看着它飞舞，忽左忽右，直到它忽地消失不见。"
"And now, life was returning to this thing and that on every side of me, with slow stretchings and bendings, with twitterings, with a little start and stir....","此时，身旁的小东西都渐渐活了过来，伸伸腿弯弯腰，带着些许惊奇和骚动，叽叽喳喳地闹了起来。"
"I came slowly, stepping very carefully because of these drugged, feebly awakening things, through the barley to the hedge.","我缓慢而谨慎地穿过麦田朝篱笆走去，生怕踩到了这些刚刚苏醒依旧睡意蒙眬的脆弱小生命。"
"It was a very glorious hedge, so that it held my eyes.","我目不转睛地看着这个华丽的篱笆。"
"It flowed along and interlaced like splendid music.","它想华丽的乐章般流淌着、交织着。"
"It was rich with lupin, honeysuckle, campions, and ragged robin; bed straw, hops, and wild clematis twined and hung among its branches, and all along its ditch border the starry stitchwort lifted its childish faces, and chorused in lines and masses.","篱笆上满是白羽扇豆、忍冬、布谷鸟和翦秋罗，猪猪殃殃草在篱笆的枝条上缠扰悬挂。水渠边上星星点点的刺草一行行，一堆堆，都抬起孩子般的面孔纵情歌唱。"
"Never had I seen such a symphony of note-like flowers and tendrils and leaves.","我从未见过这样一种由音符般的花朵、花须和叶子组成的交响乐。"
"And suddenly in its depths, I heard a chirrup and the whirr of startled wings.","突然这间，我听到乐曲深处传来鸟儿惊起的翅膀扇动的声音。"
"Nothing was dead, but everything had changed to beauty!","一切都还活着，而且变美了！"
"And I stood for a time with clean and happy eyes looking at the intricate delicacy before me and marveling how richly God has made his worlds.....","我杵在那里好一会儿，眼前美妙绝伦的景色令我心旷神怡，我不由得感叹造如此物主将他的世界造就得丰富多彩……"
"“Tweedle-Tweezle,” a lark had shot the stillness with his shining thread of song; one lark, and then presently another, invisibly in the air, making out of that blue quiet a woven cloth of gold....","“嘀啾嘀啾，”一只云雀金线般的歌喉穿透这片沉寂。一只，紧接着又一只。它们消失在空中，只在蓝色静谧的天空里用金线般的歌喉织出一块金色的布匹。"
"The earth recreated—only by the reiteration of such phrases may I hope to give the intense freshness of that dawn.","地球重造了——我只有重复这句话才有可能描述那个全新的黎明。"
"For a time I was altogether taken up with the beautiful details of being, as regardless of my old life of jealous passion and impatient sorrow as though I was Adam new made.","一时间，我彻底沉浸在各种美丽的生灵中，全然忘却了我过去那充斥着嫉妒的激情和躁动的悲伤的生命，仿佛我是新生的亚当。"
"I could tell you now with infinite particularity of the shut flowers that opened as I looked, of tendrils and grass blades, of a blue-tit I picked up very tenderly—never before had I remarked the great delicacy of feathers—that presently disclosed its bright black eye and judged me, and perched, swaying fearlessly, upon my finger, and spread unhurried wings and flew away, and of a great ebullition of tadpoles in the ditch; like all the things that lived beneath the water, they had passed unaltered through the Change.","花苞——我目睹了它们的开放。花须，草叶，我轻轻捡起的蓝色山雀——我从未注意到原来羽毛竟然如此精美——它马上睁开了黑亮的眼睛打量我，栖在我的手指上无畏地晃来晃去，然后不慌不忙地张开双翅飞走了。沟渠里吐着气泡的成群蝌蚪——它们如其他水中生物一样，丝毫未受这场巨变的影响。这些事物的不确定特征，现在我能够向你们娓娓道来。"
"Amid such incidents, I lived those first great moments, losing for a time in the wonder of each little part the mighty wonder of the whole.","在这些林林总总的事物中我体会着最初的美妙时刻，久久地沉浸在大自然各微小事物蕴藏着的瑰丽奇妙。"
"A little path ran between hedge and barley, and along this, leisurely and content and glad, looking at this beautiful thing and that, moving a step and stopping, then moving on again, I came presently to a stile, and deep below it, and overgrown, was a lane.","篱笆和麦田之间有条小路。我沿着它信步走着，悠然自得地看着周围美妙的事物，走走停停，停停走走，不觉来到一扇栅门前，栅门后是藏着一条杂草丛生的小径。"
"And on the worn oak of the stile was a round label, and on the label these words, “Swindells’ G 90 Pills.”","橡木栅门上有一块圆形的标牌，上面写着：“斯温德尔斯的G90药片”。"
"I sat myself astraddle on the stile, not fully grasping all the implications of these words.","我跨坐在栅门上，没完全明白那些字是什么意思。"
"But they perplexed me even more than the revolver and my dirty cuff.","但是它们比左轮手枪和我的脏袖口更让我迷惑不解。"
"About me now the birds lifted up their little hearts and sang, ever more birds and more.","周围的鸟儿情绪高涨，纵情高歌起来，接着越来越多的鸟儿加入了这个行列。"
"I read the label over and over again, and joined it to the fact that I still wore my former clothes, and that my revolver had been lying at my feet.","我反复读着标牌，并将其与这两件事联系起来：我依然穿着的先前的衣服；左轮手枪曾躺在我脚边。"
"One conclusion stared out at me.","一个结论在脑海闪现。"
"This was no new planet, no glorious hereafter such as I had supposed.","这不是什么全新的地球，也没有我预想的灿烂前景。"
"This beautiful wonderland was the world, the same old world of my rage and death!","这美丽仙境依然是那个世界，那个我为之愤怒并死去的旧世界。"
"But at least it was like meeting a familiar house-slut, washed and dignified, dressed in a queen’s robes, worshipful and fine....","但至少，我像是遇见了一个熟识的妓女。她梳洗一新，摆出高贵的样子，然后穿上女王的长袍，无可挑剔、令人膜拜……"
"It might be the old world indeed, but something new lay upon all things, a glowing certitude of health and happiness.","这可能确实是原来的旧世界，但万物之上覆盖了新的东西——对健康快乐的热情洋溢的确信。"
"It might be the old world, but the dust and fury of the old life was certainly done.","这可能是旧世界，但是旧生命的尘埃和愤怒已然消逝。"
"At least I had no doubt of that.","至少，我对此深信不疑。"
"I recalled the last phases of my former life, that darkling climax of pursuit and anger and universal darkness and the whirling green vapors of extinction.","我回想起旧生命的最后阶段，那黯然的极限追踪和愤怒，还有举世的黑暗和毁灭一切的旋转绿色雾霭。"
"The comet had struck the earth and made an end to all things; of that too I was assured.","彗星撞击力地球并且终结了一切。对此我也深信不疑。"
"But afterward?...","但之后怎么了呢？"
"And now?","现在又是怎么回事儿？"
"The imaginations of my boyhood came back as speculative possibilities.","童年时代的想象成了现在各种推测的可能。"
"In those days I had believed firmly in the necessary advent of a last day, a great coming out of the sky, trumpetings and fear, the Resurrection, and the Judgment.","那时候，我坚信末日必将出现。烈日当空、呼号、恐惧、还有复活和审判。"
"My roving fancy now suggested to me that this Judgment must have come and passed.","我天马行空的幻想提示我，这场审判一定已到来并已经结束了。"
"That it had passed and in some manner missed me.","这场审判到来了，但是却不知为何漏掉了我。"
"I was left alone here, in a swept and garnished world (except, of course, for this label of Swindells’) to begin again perhaps....","我被孤零零地留在这儿，留在这个被清扫干净焕然一新的世界（当然，除了那个斯温德尔斯的标牌），重新开始……"
"No doubt Swindells has got his deserts.","无疑斯温德尔斯已经得到他应得的赏罚了。"
"My mind ran for a time on Swindells, on the imbecile pushfulness of that extinct creature, dealing in rubbish, covering the country-side with lies in order to get—what had he sought?","我思索着斯温德尔斯，思索着这个已然消逝的人的愚蠢和鲁莽。他经营废品，为了得到他想要的东西，他撒下弥天大谎——他追求什么呢？"
"—a silly, ugly, great house, a temper-destroying motor-car, a number of disrespectful, abject servants; thwarted intrigues for a party-fund baronetcy as the crest of his life, perhaps.","一座粗俗丑陋的大房子，一辆让人火光的汽车，一群无礼鄙俗的仆人，或许，还有一个未遂的阴谋，这个阴谋为的是争得一个党派基金男爵头衔，来装点他的人生。"
"You cannot imagine the littleness of those former times; their naive, queer absurdities!","你无法想象先前那个时代是多么渺小，多么无知，多么荒谬！"
"And for the first time in my existence I thought of these things without bitterness.","我生平第一次，不含丝毫苦涩地回想着这些东西。"
"In the former days I had seen wickedness, I had seen tragedy, but now I saw only the extraordinary foolishness of the old life.","过去的岁月里，我看到的是邪恶与悲剧。但现在，我看到的只是过去那无比的愚蠢。"
"The ludicrous side of human wealth and importance turned itself upon me, a shining novelty, poured down upon me like the sunrise, and engulfed me in laughter.","人类财富和自身重要性的荒诞面呈现在我眼前，如此闪亮、新奇，它曙光般倾泻下来将我掩盖，继而在笑声将我淹没。"
"Swindells!","斯温德尔斯！"
"Swindells, damned!","该死的斯温德尔斯！"
"My vision of Judgment became a delightful burlesque.","我的末日审判图景成了一出欢快的滑稽剧。"
"I saw the chuckling Angel sayer with his face veiled, and the corporeal presence of Swindells upheld amidst the laughter of the spheres.","我看到蒙着面纱的天使低声笑着，还有满堂大笑声中的斯温德尔斯的肉体。"
"“Here’s a thing, and a very pretty thing, and what’s to be done with this very pretty thing?”","“这有个东西，一个相当漂亮的东西，我们该如何处置它呢？”"
"I saw a soul being drawn from a rotund, substantial-looking body like a whelk from its shell....","于是我便看到灵魂从这个浑圆结实的躯体中被抽离出来，恰如田螺肉从壳里被剥出来一样。"
"I laughed loudly and long.","我大笑起来，久久不能停止。"
"And behold!","噢，看哪！"
"even as I laughed the keen point of things accomplished stabbed my mirth, and I was weeping, weeping aloud, convulsed with weeping, and the tears were pouring down my face.","即便我在笑，那些被抽离的灵魂的锋利尖端刺向我的欢乐，于是我号啕大哭起来，苦得全身抽搐，泪水顺着我的脸颊喷涌而出。"
"Section 3","第三节"
"Everywhere the awakening came with the sunrise.","每一处都伴随日出而苏醒。"
"We awakened to the gladness of the morning; we walked dazzled in a light that was joy.","我们在清晨的愉悦中醒来，漫步在令人眩晕的欢乐之光中。"
"Everywhere that was so.","每个地方都是如此。"
"It was always morning.","总是在清晨醒来。"
"It was morning because, until the direct rays of the sun touched it, the changing nitrogen of our atmosphere did not pass into its permanent phase, and the sleepers lay as they had fallen.","总是在清晨醒来时，因为，我们大气中不断变化的氮气只有在阳光直射下才会进入到永久稳定状态。在此之前，所有沉睡的生灵都不会醒来。"
"In its intermediate state the air hung inert, incapable of producing either revival or stupefaction, no longer green, but not yet changed to the gas that now lives in us....","在变化的中间阶段，空气很不活泼，无法使事物苏醒或麻痹，也不再是绿色，但还没变化至当前我们体内气体的状态。"
"To every one, I think, came some parallel to the mental states I have already sought to describe—a wonder, an impression of joyful novelty.","我觉得，对每个人而言，我努力描述的过程其实类似于心理状态的变化——一个奇迹、一种欢乐新奇的印象。"
"There was also very commonly a certain confusion of the intelligence, a difficulty in self-recognition.","当然一定的智力混乱和自我认知的困难也普遍存在。"
"I remember clearly as I sat on my stile that presently I had the clearest doubts of my own identity and fell into the oddest metaphysical questionings.","我清晰地记得，我一跨上栅门便怀疑起自己的身份，并且陷入了最古怪的形而上的质问中。"
"“If this be I,” I said, “then how is it I am no longer madly seeking Nettie?","“如果这是我，”我自言自语道，“我不再疯狂地寻找妮蒂了，这是怎么回事儿呢？"
"Nettie is now the remotest thing—and all my wrongs.","现在，妮蒂是最遥远的事物——一切都是我的错。"
"Why have I suddenly passed out of all that passion?","为什么我会突然之间走出那段感情？"
"Why does not the thought of Verrall quicken my pulses?”...","为什么想到维罗尔时，我的脉搏不再加速了呢？”"
"I was only one of many millions who that morning had the same doubts.","在那个清晨，千百万的人都怀有同样的疑惑，我只是其中之一。"
"I suppose one knows one’s self for one’s self when one returns from sleep or insensibility by the familiarity of one’s bodily sensations, and that morning all our most intimate bodily sensations were changed.","我以为人们从睡梦中或昏迷中醒来时是通过熟悉的肢体感觉来实现自我认知的。而那个早晨，所有我们极为熟知的肢体感觉却完全变了。"
"The intimate chemical processes of life were changed, its nervous metaboly.","生命根本的化学变化过程——神经系统的新陈代谢——发生了变化。"
"For the fluctuating, uncertain, passion-darkened thought and feeling of the old time came steady, full-bodied, wholesome processes.","过去波动不定、抑郁沮丧的想法和感觉都变得稳定、充实并且健康。"
"Touch was different, sight was different, sound and all the senses were subtler; had it not been that our thought was steadier and fuller, I believe great multitudes of men would have gone mad.","触觉、视觉都变得迥异，听觉等所有感官都更加敏锐。若不是因为我们的思想更为稳定和完满，我想许多人都已经疯了。"
"But, as it was, we understood.","然而，事实说明，我们理解了这场巨变。"
"The dominant impression I would convey in this account of the Change is one of enormous release, of a vast substantial exaltation.","讲述这场巨变的过程中，我所要表述的最主要印象，是一种极度的释放，是一种普遍的狂喜。"
"There was an effect, as it were, of light-headedness that was also clear-headedness, and the alteration in one’s bodily sensations, instead of producing the mental obfuscation, the loss of identity that was a common mental trouble under former conditions, gave simply a new detachment from the tumid passions and entanglements of the personal life.","巨变后，人们不仅身体轻快，头脑也很清晰。肢体感觉的变化并未产生精神上的困惑——虽然这种变化导致个体身份意识丧失是很普遍的心理问题——而只是将人们从膨胀的情感和个人生活的纠葛中抽离出来。"
"In this story of my bitter, restricted youth that I have been telling you, I have sought constantly to convey the narrowness, the intensity, the confusion, muddle, and dusty heat of the old world.","我已经向你们讲述了我那苦涩、饱受桎梏的青年时代。在讲述那个时候的故事时，我总是致力于传达旧世界的狭隘、紧张、困惑、纷乱，还有灰尘弥漫的炙热。"
"It was quite clear to me, within an hour of my awakening, that all that was, in some mysterious way, over and done.","醒来后不到一个小时，我就清晰地意识到，那些东西都以某种神秘的方式消失了。"
"That, too, was the common experience.","那也是人们的普遍感受。"
"Men stood up; they took the new air into their lungs—a deep long breath, and the past fell from them; they could forgive, they could disregard, they could attempt....","人们站起来，将新的空气吸入到肺部——一口长长的气，而后过去的记忆退去。他们可以原谅，可以漠视，可以尝试……"
"And it was no new thing, no miracle that sets aside the former order of the world.","消解世界旧秩序的不是什么新事物，也不是什么奇迹。"
"It was a change in material conditions, a change in the atmosphere, that at one bound had released them.","这事物只是由于物质条件和大气的改变，从而使之得以释放。"
"Some of them it had released to death....","也有些人因这一释放而死去。"
"Indeed, man himself had changed not at all.","事实上，人类本身并没有发生任何变化。"
"We knew before the Change, the meanest knew, by glowing moments in ourselves and others, by histories and music and beautiful things, by heroic instances and splendid stories, how fine mankind could be, how fine almost any human being could upon occasion be; but the poison in the air, its poverty in all the nobler elements which made such moments rare and remarkable—all that has changed.","在巨变发生之前，从我们自身或他人身上的闪光点中，从历史、音乐和其他美好事物中，从英雄事迹和辉煌壮丽的故事中，我们就已知道，羞愧地知道，人类可以多么美好，我们每个人在特殊时刻都可以多么高尚。但是空气中的毒素和所有崇高因素中的劣质成分使得人类的美好高尚变得如此罕见、如此异乎寻常——现在一切都变了。"
"The air was changed, and the Spirit of Man that had drowsed and slumbered and dreamt dull and evil things, awakened, and stood with wonder-clean eyes, refreshed, looking again on life.","空气变了，从而使曾经昏然沉迷于无聊邪恶之事的人类清醒过来。他们站了起来，容光焕发，并用无限明亮的双眼，重新看待生活。"
"Section 4","第四节"
"The miracle of the awakening came to me in solitude, the laughter, and then the tears.","我独自一人在荒郊野外奇迹般醒来，先是大笑，然后又大哭。"
"Only after some time did I come upon another man.","过了好一会儿我才遇上另外一个人。"
"Until I heard his voice calling I did not seem to feel there were any other people in the world.","听到他的呼喊声我才感觉到世界上还有其他人存在。"
"All that seemed past, with all the stresses that were past.","所有一切似乎都伴随着紧张的消失而不复存在。"
"I had come out of the individual pit in which my shy egotism had lurked, I had overflowed to all humanity, I had seemed to be all humanity; I had laughed at Swindells as I could have laughed at myself, and this shout that came to me seemed like the coming of an unexpected thought in my own mind.","我已跳出隐伏着我那胆怯的自我中心的个人的坑，我满心仁慈，似乎我就是仁慈本身；我像嘲笑自己一样嘲笑过斯温德尔斯。传来的喊叫声就像是我心中未料到的想法一样。"
"But when it was repeated I answered.","当呼叫声再次传来，我应了。"
"“I am hurt,” said the voice, and I descended into the lane forthwith, and so came upon Melmount sitting near the ditch with his back to me.","“我受伤了。”那人说道。于是我迅速走下那条小径，发现梅尔蒙特背对着我坐在沟渠旁。"
"Some of the incidental sensory impressions of that morning bit so deeply into my mind that I verily believe, when at last I face the greater mysteries that lie beyond this life, when the things of this life fade from me as the mists of the morning fade before the sun, these irrelevant petty details will be the last to leave me, will be the last wisps visible of that attenuating veil.","那天早上的一些偶然的感官印象是如此刻骨铭心，以至于我坚信，当我最后面对生命之外更为神秘的事物，或者当我这一生如晨雾在阳光中消散一样逝去时，这些毫不相关、微不足道的小事会伴我走到最后，会成为生命之面纱最后可见的几缕丝线。"
"I believe, for instance, I could match the fur upon the collar of his great motoring coat now, could paint the dull red tinge of his big cheek with his fair eyelashes just catching the light and showing beyond.","例如，我相信我现在还能够回忆起他用于驾车时穿的大衣外套的毛领，还能描绘他大大的脸颊上的暗红色彩和因吸收和反射太阳光而呈金黄色的睫毛。"
"His hat was off, his dome-shaped head, with its smooth hair between red and extreme fairness, was bent forward in scrutiny of his twisted foot.","他没戴帽子，红棕色的头发很顺滑，圆圆的脑袋前倾着，正仔细地端详着他扭伤的脚。"
"His back seemed enormous.","他的脊背似乎很宽。"
"And there was something about the mere massive sight of him that filled me with liking.","这宽大的身影中有些什么东西让我很喜欢。"
"“What’s wrong?”","“怎么了？”"
"said I.","我问道。"
"“I say,” he said, in his full deliberate tones, straining round to see me and showing a profile, a well-modeled nose, a sensitive, clumsy, big lip, known to every caricaturist in the world, “I’m in a fix.","“我是说，”他不慌不忙地说道，一边吃力转过头来看我，我便看到了他的侧脸——高挺的鼻梁、性感而笨拙的大嘴巴，这对世界上任何一个漫画家来说都不陌生，“我动不了了。"
"I fell and wrenched my ankle.","我摔倒了，扭伤了脚踝。"
"Where are you?”","你在哪儿？”"
"I walked round him and stood looking at his face.","我绕过去走到他前面，盯着他的脸。"
"I perceived he had his gaiter and sock and boot off, the motor gauntlets had been cast aside, and he was kneading the injured part in an exploratory manner with his thick thumbs.","他把绑腿、袜子和马靴都脱了，骑车用的防护手套也丢在一边。他正用粗壮的大拇指试探性地揉捏着受伤的部位。"
"“By Jove!”","“天哪！”"
"I said, “you’re Melmount!”","我叫道，“你是梅尔蒙特！”"
"“Melmount!”","“梅尔蒙特！”"
"He thought.","他沉思道，"
"“That’s my name,” he said, without looking up....","“那是我的名字，”他头也不抬地说道，"
"“But it doesn’t affect my ankle.”","“但是对我的脚踝来说无济于事。”"
"We remained silent for few moments except for a grunt of pain from him.","我们都沉默了好一会儿，除了他因疼痛而发出的呻吟。"
"“Do you know?”","“你知道吗？”"
"I asked, “what has happened to things?”","我问道，“到底发生什么事？”"
"He seemed to complete his diagnosis.","他看起来似乎完成了诊断。"
"“It’s not broken,” he said.","“还没断，”他说道。"
"“Do you know,” I repeated, “what has happened to everything?”","“你知道发生什么事了吗？”我重复了一遍。"
"“No,” he said, looking up at me incuriously for the first time.","“不知道，”他说着，第一次抬头看着我，眼里没有一丝好奇。"
"“There’s some difference—”","“有些不同——”"
"“There’s a difference.”","“是有一点不同。”"
"He smiled, a smile of unexpected pleasantness, and an interest was coming into his eyes.","他笑道，笑容中带着意想不到的欢喜，眼神里兴趣盎然。"
"“I’ve been a little preoccupied with my own internal sensations.","“我之前有点儿过于专注于自己体内的感觉。"
"I remark an extraordinary brightness about things.","我注意到所有东西都带有一种异乎寻常的光辉。"
"Is that it?”","是这一点不同吧？”"
"“That’s part of it.","“那只是其中的一部分。"
"And a queer feeling, a clear-headedness—”","还有一种奇怪的感觉，头脑特别清晰——”"
"He surveyed me and meditated gravely.","他扫视了我一眼，然后沉重地冥思起来。"
"“I woke up,” he said, feeling his way in his memory.","“我醒过来了。”他说道，又陷入回忆中。"
"“And I.”","“我也是。”"
"“I lost my way—I forget quite how.","“我迷路了——我忘记是怎么迷路的。"
"There was a curious green fog.”","当时有奇怪的绿色雾霭。”"
"He stared at his foot, remembering.","他盯着他的脚，回想道，"
"“Something to do with a comet.","“和彗星有关的什么东西。"
"I was by a hedge in the darkness.","我站在篱笆旁边，周围很黑。"
"Tried to run....","我试图跑……"
"Then I must have pitched into this lane.","然后跌进了这条小径。"
"Look!”","看！”"
"He pointed with his head.","他用头指了指，"
"“There’s a wooden rail new broken there.","“那个木栏是才折断的。"
"I must have stumbled over that out of the field above.”","我肯定是撞到了那个木栏，然后从上面那块地里跌下来了。”"
"He scrutinized this and concluded.","他审视了那个木栏然后总结道，"
"“Yes....”","“就是这样的……”"
"“It was dark,” I said, “and a sort of green gas came out of nothing everywhere.","“当时很黑，”我说道，“到处都是不知从哪里冒出来的绿色气体。"
"That is the last I remember.”","这就是我最后能记得的事了。”"
"“And then you woke up?","“然后你就醒了？"
"So did I....","我也是……"
"In a state of great bewilderment.","头脑很混乱。"
"Certainly there’s something odd in the air.","空气里肯定有些奇怪的东西。"
"I was—I was rushing along a road in a motor-car, very much excited and preoccupied.","我当时正——正开着车沿路疾驰，兴奋异常，全神贯注。"
"I got down—” He held out a triumphant finger.","然后我就下车了——”说着他得意地伸出一根手指，"
"“Ironclads!”","“装甲舰！”"
"“NOW I’ve got it!","“现在我明白了！"
"We’d strung our fleet from here to Texel.","我们的舰队陆续从这儿驶往特克塞尔。"
"We’d got right across them and the Elbe mined.","舰队恰巧得经过德军防区。经过易北河时，我们遭到水雷攻击。"
"We’d lost the Lord Warden.","我们损失了“沃顿王”号舰。"
"By Jove, yes.","啊，是的。"
"The Lord Warden!","“沃顿王”号舰！"
"A battleship that cost two million pounds—and that fool Rigby said it didn’t matter!","这艘战舰造价两百万英镑——里格拜那个混蛋竟然说没什么！"
"Eleven hundred men went down....","我们还损失了一千一百名战士……"
"I remember now.","我想起来了。"
"We were sweeping up the North Sea like a net, with the North Atlantic fleet waiting at the Faroes for ’em—and not one of ’em had three days’ coal!","我们像网一般横扫北海，而北大西洋舰队则在法鲁斯静候德军——德军战舰的煤已不足以维持三天！"
"Now, was that a dream?","啊，那不是一场梦吧？"
"No!","当然不是咯！"
"I told a lot of people as much—a meeting was it?","我对很多人这样讲过——好像开会一样吧！"
"—to reassure them.","——目的是消除他们的疑虑。"
"They were warlike but extremely frightened.","他们那些人虽尚武，面对战争却又极其惊恐。"
"Queer people—paunchy and bald like gnomes, most of them.","奇怪的一群人——大部分都是大腹便便，秃头秃脑，像侏儒一般。"
"Where?","在哪儿？"
"Of course!","我想起来了！"
"We had it all over—a big dinner—oysters!—Colchester.","在科尔切斯特，在一次大型宴会上，有牡蛎吃呢！"
"I’d been there, just to show all this raid scare was nonsense.","我去那里，就是要表明，没必要怕什么袭击。"
"And I was coming back here....","然后我又回来这儿了……"
"But it doesn’t seem as though that was—recent.","那似乎不是最近发生的事。"
"I suppose it was.","但我觉得应该是最近发生的。"
"Yes, of course!—it was.","是的，没错！就是最近。"
"I got out of my car at the bottom of the rise with the idea of walking along the cliff path, because everyone said one of their battleships was being chased along the shore.","在上坡时我下了车，打算沿着峭壁上的小路走。因为人人都说他们的一艘战舰正沿着海岸遭受追击。"
"That’s clear!","没错！"
"I heard their guns _”","我听到了他们的枪声——”"
"He reflected.","他回想着，说道："
"“Queer I should have forgotten!","“真奇怪，我差点儿给忘了！"
"Did YOU hear any guns?”","你听到了枪声没有？”"
"I said I had heard them.","我说我也听到了。"
"“Was it last night?”","“是昨晚吗？”"
"“Late last night.","“昨晚后半夜。"
"One or two in the morning.”","凌晨一两点的样子。”"
"He leant back on his hand and looked at me, smiling frankly.","他头正在手上，身子往后倚着，看着我坦率地笑道："
"“Even now,” he said, “it’s odd, but the whole of that seems like a silly dream.","“就是现在我还是觉得奇怪，这整个事情就像一场荒唐的梦。"
"Do you think there WAS a Lord Warden?","你觉得真存在“沃顿王”号战舰吗？"
"Do you really believe we sank all that machinery—for fun?","你真相信我们让所有的机械都沉没了吗——就为了好玩？"
"It was a dream.","那是一场梦。"
"And yet—it happened.”","但——事情确实发生了。”"
"By all the standards of the former time it would have been remarkable that I talked quite easily and freely with so great a man.","若是按巨变前的标准来评判，我与这么一位大人物轻松自如地交谈，绝对是件不可思议的事情。"
"“Yes,” I said; “that’s it.","“是的，”我答道，“确实如此。"
"One feels one has awakened—from something more than that green gas.","每个人都觉得像是做了一场梦——不仅仅是从那绿色气体中醒来那么简单。"
"As though the other things also—weren’t quite real.”","好像其他的事情也不那么真实了。”"
"He knitted his brows and felt the calf of his leg thoughtfully.","他皱起眉头，若有所思地摸着小腿。"
"“I made a speech at Colchester,” he said.","“我在科尔切斯特做了个演讲。”他说。"
"I thought he was going to add something more about that, but there lingered a habit of reticence in the man that held him for the moment.","我以为他会继续说点什么，但是这个男人逢人只讲三分话的习惯使他打住了话头，沉默了好一会儿。"
"“It is a very curious thing,” he broke away; “that this pain should be, on the whole, more interesting than disagreeable.”","“真是怪事，”他打破沉默说道，“这疼痛，总体看来，与其说它不堪忍受，不如说它颇为有趣。”"
"“You are in pain?”","“你很痛吗？”"
"“My ankle is!","“我的脚踝很痛！"
"It’s either broken or badly sprained—I think sprained; it’s very painful to move, but personally I’m not in pain.","要么是骨折，要么是严重扭伤——我猜是扭伤了。这腿一动就痛，我个人倒没什么痛苦的。"
"That sort of general sickness that comes with local injury—not a trace of it!...”","那种伤痛引起的常见的恶心呕吐——完全没有……”"
"He mused and remarked, “I was speaking at Colchester, and saying things about the war.","他沉默了一会儿，接着又说道：“我是在科尔切斯特发表演讲，讲了些关于战争的事情。"
"I begin to see it better.","我现在看得更清楚了。"
"The reporters—scribble, scribble.","记者们在匆匆地写着。"
"Max Sutaine, 1885.","马克思·萨泰恩，1885年。"
"Hubbub.","人声鼎沸。"
"Compliments about the oysters.","还有对牡蛎的溢美之词。"
"Mm—mm....","嗯……嗯……"
"What was it?","是什么来着？"
"About the war?","和战争有关的？"
"A war that must needs be long and bloody, taking toll from castle and cottage, taking toll!...","这一定是一场旷日持久的血淋淋的战争，城堡里，茅舍里，到处有人丧命……"
"Rhetorical gusto!","你是过嘴瘾吧！"
"Was I drunk last night?”","昨晚我是不是喝醉了？”"
"His eyebrows puckered.","他眉头皱了起来。"
"He had drawn up his right knee, his elbow rested thereon and his chin on his fist.","他支起右膝盖，手肘放在膝盖上，拳头撑着下巴。"
"The deep-set gray eyes beneath his thatch of eyebrow stared at unknown things.","乱糟糟的眉毛下灰色的眼睛深陷着，一动不动地盯着不知的什么东西。"
"“My God!”","“天哪！”"
"he murmured, “My God!”","他嘟囔着，“我的天哪！”"
"with a note of disgust.","语气中透漏出一丝厌恶。"
"He made a big brooding figure in the sunlight, he had an effect of more than physical largeness; he made me feel that it became me to wait upon his thinking.","阳光下他呈现出一副高大的沉思者的姿态，让我觉得高大的不仅仅是他的躯体。他让我觉得我不能去打扰他思考。"
"I had never met a man of this sort before; I did not know such men existed....","我从来没有遇到过这样的人，我不知道世上还有这样的人……"
