"书名牧场上的博皮普夫人（欧·亨利经典短篇小说）短简介欧·亨利短篇小说《牧场上的博皮普夫人》中的奥克塔维亚，失去了可能获得的遗产，也厌倦了这座让她迷失的都市。她来到她唯一拥有的牧场，重新开始了生活。返回了大自然，她的天性得到了自由和新鲜空气。在这里，她不仅找到了爱情，也得到了人生的幸福。长简介欧·亨利短篇小说《牧场上的博皮普夫人》中的奥克塔维亚，失去了可能获得的遗产，一文不名。她并不是拜金女，也不艳羡浮华的生活。她终于明白自己已经厌倦了这座让她迷失的都市。于是她来到乡下她唯一拥有的牧场，重新开始了生活，还遇到了自小认识，曾擦肩而过的男子。返回了大自然，她的天性得到了自由和新鲜空气。她不仅找回了爱情，也得到了人生的幸福。关键字牧场上的博皮普夫人；欧·亨利；外研社编译组；短篇；牧场；爱情；自由；手套；自然作者（美）欧·亨利作者简介欧·亨利（1862—1910），美国最著名的短篇小说家之一，曾被评论界誉为曼哈顿桂冠散文作家和美国现代短篇小说之父。善于描写美国社会尤其是纽约百姓的生活。他的作品构思新颖，语言诙谐，结局常常出人意料；他又因描写了众多的人物，富于生活情趣，被誉为“美国生活的幽默百科全书”。书评他用这“含泪的微笑”给我们带来生活的启迪。"
"Madame Bo-Peep, of the Ranches ","牧场上的博皮普夫人"
"Centipedes were thus cruel and vindictive toward managers.","蜈蚣对经理的态度总是那样残忍恶毒。"
"She cautiously overturned the pillow, and then parted her lips to give the signal for reinforcements at sight of a long, slender, dark object lying there.","她小心地翻过枕头，看见一条长长的柔软的黑色物体躺在那里，张开嘴正准备呼叫援军。"
"But, repressing it in time, she caught up a glove, a pearl-gray glove, flattened—it might be conceived—by many, many months of nightly pressure beneath the pillow of the man who had forgotten the Hammersmiths’ ball.","但是，她及时压下了求救信号。她抓起一只手套，一只珍珠灰的手套，它被压在这个忘记哈默史密斯家舞会的男人的枕头底下应该已经好几个月了，看上去有些扁扁的。"
"Teddy must have left so hurriedly that morning that he had, for once, forgotten to transfer it to its resting-place by day.","特迪那天早上肯定是走得太匆忙了，以至于这一次忘记把它放回白天的位置。"
"Even managers, who are notoriously wily and cunning, are sometimes caught up with.","即使是众所周知狡猾又诡计多端的经理们，有时候也会被抓住尾巴。"
"Octavia slid the gray glove into the bosom of her summery morning gown.","奥克塔维亚把手套揣进她穿着夏季晨袍的怀里。"
"It was hers.","它是她的了。"
"Men who put themselves within a strong barbed-wire fence, and remember Hammersmith balls only by the talk of miners about sluice-boxes, should not be allowed to possess such articles.","躲在坚固的铁丝网之中，只记得在哈默史密斯家舞会上跟矿工聊过洗矿槽的男人，不配拥有这样的东西。"
"After all, what a paradise this prairie country was!","说到底，这个草原国度多么像天堂啊！"
"How it blossomed like the rose when you found things that were thought to be lost!","当你在这里找到以为丢失的东西时，这里就更美了，就像是盛开的玫瑰！"
"How delicious was that morning breeze coming in the windows, fresh and sweet with the breath of the yellow ratama blooms!","那夹杂着黄金雀花芬芳，从窗口吹来的清新而香甜的晨风是多么美妙啊！"
"Might one not stand, for a minute, with shining, far-gazing eyes, and dream that mistakes might be corrected?","你能不多站一会儿，用那双闪亮的眼睛凝视远方，幻想误会都消除吗？"
"Why was Mrs. Maclntyre poking about so absurdly with a broom?","为什么麦金太尔太太要可笑地用个扫帚去捅呢？"
"“I’ve found it,” said Mrs. MacIntyre, banging the door.","“我找到了，”麦金太尔太太砰地关上了门，"
"“Here it is.”","“就在这儿。”"
"“Did you lose something? asked Octavia, with sweetly polite non-interest.","“你有丢什么东西吗？”奥克塔维亚礼貌地用甜甜的声音问道，但实际却没有什么兴趣。"
"“The little devil!” said Mrs. Maclntyre, driven to violence.","“那个小恶魔！”麦金太尔太太愤愤地说道，"
"“Ye’ve no forgotten him alretty?”","“你难道已经忘记它的存在了吗？”"
"Between them they slew the centipede.","她们俩一起将蜈蚣弄死了。"
"Thus was he rewarded for his agency toward the recovery of things lost at the Hammersmiths’ ball.","正是由于它搭的桥，才让奥克塔维亚在哈默史密斯家舞会上丢的东西失而复得，但它得到的下场却是这样。"
"It seems that Teddy, in due course, remembered the glove, and when he returned to the house at sunset made a secret but exhaustive search for it.","特迪似乎也在随后不久想起了这只手套。傍晚回房间之后，他悄悄地彻底搜寻了一番。"
"Not until evening, upon the moonlit eastern gallery, did he find it.","直到晚上的月光洒向东头长廊，他才找到了手套。"
"It was upon the hand that he had thought lost to him forever, and so he was moved to repeat certain nonsense that he had been commanded never, never to utter again.","它出现在了他原以为永远失去的那只手上。特迪感动得又再次说出了那些曾被禁止的胡话。"
"Teddy’s fences were down.","特迪的铁丝网彻底垮塌了。"
"This time there was no ambition to stand in the way, and the wooing was as natural and successful as should be between ardent shepherd and gentle shepherdess.","这次再也没有横亘在他们之间的野心，求爱也相当自然，相当成功，就像热情的牧羊人和温柔的牧羊女之间该有的情形一样。"
"The prairies changed to a garden.","整个草原变成了一个花园。"
"The Rancho de las Sombras became the Ranch of Light.","树阴牧场也充满了光明。"
"A few days later Octavia received a letter from Mr. Bannister, in reply to one she had written to him asking some questions about her business.","几天之后，奥克塔维亚从班尼斯特先生那儿收到了一封回信，之前她就一些生意上的问题写信问过他。"
"A portion of the letter ran as follows:","信上的一部分这样写道："
"“I am at a loss to account for your references to the sheep ranch.","“关于牧场的问题，我真的不知道该怎么跟你说。"
"Two months after your departure to take up your residence upon it, it was discovered that Colonel Beaupree’s title was worthless.","你出发去那儿定居的两个月后，我们才发现博普雷上校的产权根本无效。"
"A deed came to light showing that he disposed of the property before his death.","一份契据表明他在死之前就已经卖掉了这份财产。"
"The matter was reported to your manager, Mr. Westlake, who at once repurchased the property.","我们跟你的经理，也就是韦斯特莱克先生已经说过了，他立马就把这份产业赎了回去。"
"It is entirely beyond my powers of conjecture to imagine how you have remained in ignorance of this fact.","我完全没有预料到，你到现在都还蒙在鼓里。"
"I beg that you that will at once confer with that gentleman, who will, at least, corroborate my statement.”","我希望你立马跟那位先生协商一下，至少他能证实我所言不假。"
"Octavia sought Teddy, with battle in her eye.","奥克塔维亚找到特迪，眼泛怒意。"
"“What are you working on this ranch for?” she asked once more.","她再次问道：“你在这个牧场工作到底是为了什么？”"
"“One hundred—” he began to repeat, but saw in her face that she knew.","“一百——”他本来又要再重复一遍，但却看到了奥克塔维亚一脸了然的样子。"
"She held Mr. Bannister’s letter in her hand.","她手里握着班尼斯特先生的信。"
"He knew that the game was up.","他知道他瞒不住了。"
"“It’s my ranch,” said Teddy, like a schoolboy detected in evil.","“这是我的牧场。”特迪说道，就好像是学生做坏事被当场抓住的样子，"
"“It’s a mighty poor manager that isn’t able to absorb the boss’s business if you give him time.”","“如果你给一个经理足够多的时间，他还不能将老板的生意收为己有的话，这个经理就太无能了。”"
"“Why were you working down here?” pursued Octavia still struggling after the key to the riddle of Teddy.","奥克塔维亚仍然想要打破沙锅问到底：“你为什么要在这儿工作？”"
"“To tell the truth, ’Tave,” said Teddy, with quiet candour, “it wasn’t for the salary.","“实话说，塔维亚，”特迪相当正经地回答道，“我并不是为了工资。"
"That about kept me in cigars and sunburn lotions.","这点儿工资只够我抽雪茄，买防晒霜。"
"I was sent south by my doctor.","我来南部是因为我的医生。"
"’Twas that right lung that was going to the bad on account of over-exercise and strain at polo and gymnastics.","我因为打马球和体操而运动过度，导致我的右肺情况变得很糟。"
"I needed climate and ozone and rest and things of that sort.”","我需要好的气候、清新的空气、足够的休息以及类似的条件。”"
"In an instant Octavia was close against the vicinity of the affected organ.","奥克塔维亚立马靠向了那个情况不好的部位。"
"Mr. Bannister’s letter fluttered to the floor.","班尼斯特先生的信飘到了地上。"
"“It’s—it’s well now, isn’t it, Teddy?”","“现在——现在好了吗，特迪？”"
"“Sound as a mesquite chunk.","“就跟牧豆树干一样健康。"
"I deceived you in one thing.","我有件事骗了你。"
"I paid fifty thousand for your ranch as soon as I found you had no title.","当我知道你并没有牧场的所有权之后，就立即花了五万买了下来。"
"I had just about that much income accumulated at my banker’s while I’ve been herding sheep down here, so it was almost like picking the thing up on a bargain-counter for a penny.","在这儿牧羊期间，我银行户头里累积起来的工资差不多有这个数，所以我几乎就是捡了个便宜。"
"There’s another little surplus of unearned increment piling up there, ‘Tave.","除了这些，我还另外有一小笔‘不劳而获’的盈余，塔维亚。"
"I’ve been thinking of a wedding trip in a yacht with white ribbons tied to the mast, through the Mediterranean, and then up among the Hebrides and down Norway to the Zuyder Zee.”","我一直在想，新婚旅行的时候，我要乘着游艇穿越地中海，登上赫布里底群岛，途径挪威到达须德海，游艇的桅杆上还要系着白色绸带。”"
"“And I was thinking,” said Octavia, softly, “of a wedding gallop with my manager among the flocks of sheep and back to a wedding breakfast with Mrs. MacIntyre on the gallery, with, maybe, a sprig of orange blossom fastened to the red jar above the table.”","“我一直在想，”奥克塔维亚轻轻说道，“我结婚的时候要跟我的经理一起在羊群中骑马，然后回去长廊跟麦金太尔太太一起共进婚礼早餐，或许，还能有一簇橘子花系在桌子上方悬挂着的红陶罐上。”"
"Teddy laughed, and began to chant:","特迪笑了，唱起了歌儿："
"“Little Bo-Peep has lost her sheep,","“小小博普丢了羊，"
"And doesn’t know where to find ’em.","却不知道上哪儿找。"
"Let ’em alone, and they’ll come home,","随它们去吧，它们自己会回家的，"
"And—”","然后——”"
"Octavia drew his head down, and whispered in his ear, But that is one of the tales they brought behind them.","奥克塔维亚勾住他的脖子，在他耳边低语了些什么，不过这就是后话了。"

