"作品德意志军团里忧郁的轻骑兵（托马斯·哈代经典悲情小说）短简介英俊的德国轻骑兵为何面带忧郁？英国少女菲利斯和德国士兵之间发生了怎样的故事？菲利斯死后埋在了两位德意志军团轻骑兵的墓冢边？她与他们之间的悲情往事也随之尘封在岁月中。长简介《德意志军团里忧郁的轻骑兵》选自哈代短篇小说集《威塞克斯故事集》，作者采用回忆的形式讲述了英国乡村女孩菲利斯和德意志军团里一位轻骑兵之间哀婉动人的爱情故事。菲利斯在自家的花园墙边与德国士兵马托伊斯相识相爱，两人决定一起私奔回马托伊斯的故乡。但在离开的前夕，菲利斯误信了悔婚的未婚夫的话，放弃了先前的计划，而马托伊斯也因逃跑被军队处决。一对有情人因为命运的捉弄而终于生死两隔，这反映了哈代作品中一贯出现的主题——人物和环境的冲突以及命运的偶然性和悲剧性。关键词德意志军团里忧郁的轻骑兵；托马斯·哈代；外研社编译组；短篇；爱情；私奔；悲剧作者（英）托马斯·哈代作者简介托马斯·哈代（1840—1928），英国诗人和小说家，一生共发表了近20部长篇小说，其中最著名的作品有《德伯家的苔丝》、《无名的裘德》、《还乡》和《卡斯特桥市长》，此外还有许多以“威塞克斯故事”为总名的中短篇小说以及长篇史诗剧《列王》。书评这不是悲观主义者的叹息，而是博爱主义者的呐喊和对爱的召唤。他的小说没有那种直射人心的光芒，他的小说中的光芒是向外投射的，照亮的是荒野和树木，而他笔下的人物越远离人群而变得孤苦伶仃时，他们的个性便越鲜明、越突出。——弗吉尼亚·伍尔夫"

"The Melancholy Hussar of the German Legion","德意志军团里忧郁的轻骑兵"
"What she beheld at first awed and perplexed her; then she stood rigid, her fingers hooked to the wall, her eyes staring out of her head, and her face as if hardened to stone.","一开始，她的所见令她既惊讶又糊涂，接着她僵硬地站在那里，手指紧紧攥住墙头，眼睛瞪得大大的，她的脸僵硬如石。"
"On the open green stretching before her all the regiments in the camp were drawn up in line, in the mid-front of which two empty coffins lay on the ground.","在她面前那片开阔的绿地上，军营里所有的官兵都列队站在那里，人群中间的地上放着两口空棺材。"
"The unwonted sounds which she had noticed came from an advancing procession.","她所听见的异常声音来自一个前进的队伍。"
"It consisted of the band of the York Hussars playing a dead march; next two soldiers of that regiment in a mourning coach, guarded on each side, and accompanied by two priests.","队伍中约克轻骑兵的乐队正演奏着一支葬礼进行曲，旁边一辆送殡车里有团里的两个士兵，车两边有卫队护送，两位牧师守在旁边。"
"Behind came a crowd of rustics who had been attracted by the event.","队伍后面还跟了一大群看热闹的乡民。"
"The melancholy procession marched along the front of the line, returned to the centre, and halted beside the coffins, where the two condemned men were blindfolded, and each placed kneeling on his coffin; a few minutes pause was now given, while they prayed.","这支悲伤的队伍沿着列队士兵的前排往前走，又回到场地的中间，在棺材后面停了下来，两位被判死刑的士兵被蒙住眼睛，跪在各自的棺材上，留了几分钟给他们祈祷。"
"A firing-party of twenty-four men stood ready with levelled carbines.","一支由24人组成的行刑队举起了卡宾枪，一切准备就绪。"
"The commanding officer, who had his sword drawn, waved it through some cuts of the sword-exercise till he reached the downward stroke, whereat the firing-party discharged their volley.","司令官拔出剑，摆出练习的招式挥动了几下，最后把剑向下一劈，于是行刑队一齐放枪。"
"The two victims fell, one upon his face across his coffin, the other backwards.","两个受刑者栽倒在地，一人脸朝下倒在棺材上，另一人面朝上。"
"As the volley resounded there arose a shriek from the wall of Dr. Grove’s garden, and some one fell down inside; but nobody among the spectators without noticed it at the time.","枪声响起时，格罗夫医生的花园传来了一声尖叫，有人在那里昏倒了，但是当时在外面围观行刑的人谁也没有注意到。"
"The two executed Hussars were Matthäus Tina and his friend Christoph.","两位被处死的轻骑兵就是马托伊斯·蒂纳和他的朋友克里斯托弗。"
"The soldiers on guard placed the bodies in the coffins almost instantly; but the colonel of the regiment, an Englishman, rode up and exclaimed in a stern voice: ‘Turn them out—as an example to the men!’","旁边守卫的士兵立刻就将两人的尸体收入棺中。但是军中的英国上校骑马走上前来，用严厉的声音宣布说：“把他们倒出来，以儆效尤！”"
"The coffins were lifted endwise, and the dead Germans flung out upon their faces on the grass.","棺材被翻转过来，死去的德国士兵被甩了出来，脸朝下倒在草地上。"
"Then all the regiments wheeled in sections, and marched past the spot in slow time.","然后，整个兵团的士兵排着队，缓缓地绕着他们走过一圈。"
"When the survey was over the corpses were again coffined, and borne away.","仪式结束后，两具尸体又被搬回棺材里运走了。"
"Meanwhile Dr. Grove, attracted by the noise of the volley, had rushed out into his garden, where he saw his wretched daughter lying motionless against the wall.","与此同时，格罗夫医生也注意到了枪响，他跑到花园里，却发现自己的女儿倚墙躺着，不省人事。"
"She was taken indoors, but it was long before she recovered consciousness; and for weeks they despaired of her reason.","她被送回了屋，但是过了很长时间她才恢复了意识。有好几个星期，她失常的举动都令人绝望。"
"It transpired that the luckless deserters from the York Hussars had cut the boat from her moorings in the adjacent harbour, according to their plan, and, with two other comrades who were smarting under ill-treatment from their colonel, had sailed in safety across the Channel.","听说，约克轻骑兵团这两名不走运的逃兵在附近的港口解开小船，按计划与另外两名受到上校虐待的同伴一起逃亡，他们安全地驶过了海峡。"
"But mistaking their bearings they steered into Jersey, thinking that island the French coast.","但是，他们却错误地驶进了泽西岛，以为那就是法国海岸。"
"Here they were perceived to be deserters, and delivered up to the authorities.","在那里，他们的逃兵身份被认了出来，并被扭送至当局。"
"Matthäus and Christoph interceded for the other two at the court-martial, saying that it was entirely by the former’s representations that these were induced to go.","在军事法庭上，马托伊斯和克里斯托弗为其他两人说情，说这两个人是受到他们引诱才逃跑的，将罪责全部揽到了自己身上。"
"Their sentence was accordingly commuted to flogging, the death punishment being reserved for their leaders.","于是那两人只受到了鞭刑，而领头的两人则被判死刑。"
"The visitor to the well-known old Georgian watering-place, who may care to ramble to the neighbouring village under the hills, and examine the register of burials, will there find two entries in these words:—","到从前著名的乔治国王海边度假地来观光的人们，也许会愿意到山脚下邻近的村庄漫步，如果他们翻看过村里的葬仪簿，就会看到两个人名下写着这样的话："
"‘Matth:—Tina (Corpl.) in His Majesty’s Regmt. of York Hussars, and Shot for Desertion, was Buried June 30th, 1801, aged 22 years.","“马托伊斯·蒂纳（下士），隶属皇家约克骑兵团，因逃亡被枪决，葬于1801年6月30日，时年22岁。"
"Born in the town of Sarrbruk, Germany.","出生于德国萨尔布吕克郡。”"
"‘Christoph Bless, belonging to His Majesty’s Regmt. of York Hussars, who was Shot for Desertion, was Buried June 30th, 1801, aged 22 years.","“克里斯托弗·布雷斯，隶属皇家约克骑兵团，因逃亡被枪决，葬于1801年6月30日，时年22岁。"
"Born at Lothaargen, Alsatia.’","出生于阿尔萨斯罗萨尔根。”"
"Their graves were dug at the back of the little church, near the wall.","他们的墓地位于小教堂后面靠近墙角的地方。"
"There is no memorial to mark the spot, but Phyllis pointed it out to me.","墓前没有纪念碑来标记这个地方，但是菲利斯将它指给我看。"
"While she lived she used to keep their mounds neat; but now they are overgrown with nettles, and sunk nearly flat.","她在世的时候时常去给他们扫墓，如今这里已经长满了荨麻，而且坟头也下沉了，几乎成了平地。"
"The older villagers, however, who know of the episode from their parents, still recollect the place where the soldiers lie.","不过，年纪大一点儿的村里人从他们的父母那里听过这个故事，还能记得这里埋葬着两个士兵。"
"Phyllis lies near.","菲利斯就埋在他们旁边。"
"October 1889.","1889年10月"

