"书名普鲁士军官（D. H. 劳伦斯经典短篇小说）短简介残酷的战争和军队的压抑扭曲了普鲁士上尉的性格，专横跋扈的他看到年轻、充满活力的勤务兵与自己僵硬的身体和抑郁的性格形成的鲜明对比，诱发他变得暴戾残忍，于是他千方百计、略带病态地对勤务兵施尽各种折磨。最终勤务兵忍无可忍，亲手杀死了上尉，可也无法抵住精神上的折磨，死在了逃亡的路上。长简介劳伦斯的小说因善于描写性爱曾饱受诟病。短篇小说《普鲁士军官》中，虽然没有露骨的性爱描写，但却同样描述了畸形的情感纠纷。表面上描写的是普鲁士上尉与年轻勤务兵之间的阶级冲突，但劳伦斯通过细致的人物内心描写，同时向我们揭示了两个男人之间，因为战争的残酷和军队内的压抑，产生的一种扭曲了的互相憎恶，又互相吸引的感情。这种畸形的感情对立不断升级，最终只能以悲剧收尾，令人唏嘘不已。关键词普鲁士军官；D. H.  劳伦斯；短篇；军队；阶级冲突；同性恋；生与死作者（英）D. H. 劳伦斯 作者简介D. H. 劳伦斯 （1885—1930），这位出生于诺丁汉矿工家庭的作家是20世纪英国最有成就，也是最具争议的作家之一。男女之间的情爱，和对工业社会的批判是他的主要创作主题。他深受弗洛伊德的影响，作品中善于运用象征手法，小说人物内心刻画十分细腻。在他近20年的创作生涯中为世人留下了10多部小说、3本游记、3卷短篇小说集，数本诗集、散文集、书信集，另有多幅美术作品。书评劳伦斯是我们这一代最伟大的富于想象力的小说家。他在他的作品中创造了光辉灿烂的世界的形形色色的人事物态。——E. M. 福斯特"
"The Prussian Officer","普鲁士军官"
"The servant propped a bottle against his thigh, pressed open the cork, and poured out the beer into the mug.","勤务兵将一瓶酒撑在他的大腿上，用力打开了瓶盖，接着把啤酒倒进了杯子里。"
"He kept his head bent.","他一直低着头。"
"The Captain accepted the mug.","上尉接过杯子。"
"“Hot!”","“真热啊！”"
"he said, as if amiably.","他故作亲切地说。"
"The flame sprang out of the orderly’s heart, nearly suffocating him.","火焰窜上了勤务兵的心头，快要让他窒息了。"
"“Yes, sir,” he replied, between shut teeth.","“是，长官。”他从牙缝中挤出了这句话。"
"And he heard the sound of the Captain’s drinking, and he clenched his fists, such a strong torment came into his wrists.","接着他听到上尉喝酒的声音，他紧握双拳，一阵强烈的冲动折磨着他的双腕。"
"Then came the faint clang of the closing pot-lid.","然后传出微弱的盖杯盖的声音。"
"He looked up.","他抬起头。"
"The Captain was watching him.","上尉正盯着他。"
"He glanced swiftly away.","他迅速地将视线挪向一旁。"
"Then he saw the officer stoop and take a piece of bread from the tree-base.","他又看到军官弯腰从树墩上拿起一块面包。"
"Again the flash of flame went through the young soldier, seeing the stiff body stoop beneath him, and his hands jerked.","看到弯在面前这挺直的身躯，炽热的火焰再次燃遍年轻士兵全身，继而缩回双手。"
"He looked away.","他瞧向别处。"
"He could feel the officer was nervous.","他可以感觉到军官很紧张。"
"The bread fell as it was being broken.","面包在被剥开时掉了下来。"
"The officer ate the other piece.","军官吃了另外一块。"
"The two men stood tense and still, the master laboriously chewing his bread, the servant staring with averted face, his fist clenched.","两个男人僵持地站在那里，上司吃力地嚼着面包，勤务兵侧着脸，双目圆瞪，紧握拳头。"
"Then the young soldier started.","年轻的士兵怔了一下。"
"The officer had pressed open the lid of the mug again.","军官又把杯盖打开了。"
"The orderly watched the lid of the mug, and the white hand that clenched the handle, as if he were fascinated.","勤务兵盯着杯盖和握着杯子把的白皙的手，像着了迷似的。"
"It was raised.","杯子被举了起来。"
"The youth followed it with his eyes.","年轻人的眼神也跟着抬了起来。"
"And then he saw the thin, strong throat of the elder man moving up and down as he drank, the strong jaw working.","接着他看见年长者细小却有力的喉结在喝酒时一上一下，坚挺的下巴不停地动着。"
"And the instinct which had been jerking at the young man’s wrists suddenly jerked free.","年轻人手腕中跳跃着的本能在一瞬间释放出来了。"
"He jumped, feeling as if it were rent in two by a strong flame.","他跳了起来，感觉好像被一股炽烈的火焰撕扯成了两半。"
"The spur of the officer caught in a tree-root, he went down backwards with a crash, the middle of his back thudding sickeningly against a sharp-edged tree-base, the pot flying away.","军官靴子上的马刺在一截树根上绊了一下，他哐嘡一下向后摔去，背心狠狠地撞在一个边缘尖锐的树墩上，杯子飞了出去。"
"And in a second the orderly, with serious, earnest young face, and underlip between his teeth, had got his knee in the officer’s chest and was pressing the chin backward over the farther edge of the tree-stump, pressing, with all his heart behind in a passion of relief, the tension of his wrists exquisite with relief.","刹那间，勤务兵年轻的脸庞变得严肃而坚决。他紧咬着下嘴唇，膝盖顶住军官的胸口，把军官的下巴向后掰，并使劲地往树墩另一端按下去。他用力按着，内心一阵释然，紧张的手腕也放松了。"
"And with the base of his palms he shoved at the chin, with all his might.","他使出全身力气，使劲地用手掌底部把军官的下颚往后推。"
"And it was pleasant, too, to have that chin, that hard jaw already slightly rough with beard, in his hands.","用手抓着那长着胡子茬儿的坚挺的下巴，也令他感到一阵愉悦。"
"He did not relax one hair’s breadth, but, all the force of all his blood exulting in his thrust, he shoved back the head of the other man, till there was a little “cluck” and a crunching sensation.","但是他没有放松片刻，内心的狂喜汇聚成一股力量。他用力将军官的脑袋往后推，直到听见微微的一声“咯噔”，还有一种什么东西给碾碎的感觉。"
"Then he felt as if his head went to vapour.","接着他觉得他的思绪像水一样蒸发掉了。"
"Heavy convulsions shook the body of the officer, frightening and horrifying the young soldier.","军官的身体剧烈地抽搐着，年轻士兵吓坏了。"
"Yet it pleased him, too, to repress them.","但是，压制住这种抽搐，又使他感到高兴。"
"It pleased him to keep his hands pressing back the chin, to feel the chest of the other man yield in expiration to the weight of his strong, young knees, to feel the hard twitchings of the prostrate body jerking his own whole frame, which was pressed down on it.","用双手紧紧将军官的下巴往后按，感受到军官的胸膛在他年轻力壮的膝盖的重压下吐出最后一口气，感到倒在地上的那个剧烈抽搐的身体用力挣扎压在它上面的那个身体，这些都让他感到愉悦。"
"But it went still.","可是它不动了。"
"He could look into the nostrils of the other man, the eyes he could scarcely see.","他可以看见对方的鼻孔，但是无法看清双眼。"
"How curiously the mouth was pushed out, exaggerating the full lips, and the moustache bristling up from them.","上尉的嘴奇特地撅了出来，嘴唇肿胀，胡子硬邦邦地竖在上面，看着很夸张。"
"Then, with a start, he noticed the nostrils gradually filled with blood.","让他吓了一跳的是，军官的鼻孔里充满了血。"
"The red brimmed, hesitated, ran over, and went in a thin trickle down the face to the eyes.","红色的血渗到了鼻孔周围，过了一会儿便流了出来，形成了一小缕细流顺着脸庞流到了眼里。"
"It shocked and distressed him.","他又惊又怕。"
"Slowly, he got up.","慢慢地，他站了起来。"
"The body twitched and sprawled there, inert.","军官的身体颤抖着，四仰八叉地躺在地上，不动弹了。"
"He stood and looked at it in silence.","他站在那里，静静地瞧着它。"
"It was a pity IT was broken.","真遗憾，它完了。"
"It represented more than the thing which had kicked and bullied him.","它代表的不仅是那个曾经踢过他、欺辱过他的东西。"
"He was afraid to look at the eyes.","他不敢去看那双眼睛。"
"They were hideous now, only the whites showing, and the blood running to them.","它们现在看上去很可怕，只能看见白色的眼仁，还有流在上面的血。"
"The face of the orderly was drawn with horror at the sight.","看到这场景，勤务兵的脸因恐惧而变得憔悴。"
"Well, it was so.","唉，已经这样了。"
"In his heart he was satisfied.","但他的内心感到满足。"
"He had hated the face of the Captain.","他一直都对上尉的脸孔怀恨在心。"
"It was extinguished now.","现在，仇恨消失了。"
"There was a heavy relief in the orderly’s soul.","勤务兵在心灵深处长长舒了一口气。"
"That was as it should be.","本就应当如此。"
"But he could not bear to see the long, military body lying broken over the tree-base, the fine fingers crisped.","但是他无法忍受去瞧那具修长的、身着军装的尸体躺在树墩上面，纤细的手指还蜷曲着。"
"He wanted to hide it away.","他想把尸体藏起来。"
"Quickly, busily, he gathered it up and pushed it under the felled tree-trunks, which rested their beautiful, smooth length either end on logs.","他迅速又匆忙地将尸体搬起来，推到倒在地上的树干下面。整齐又光滑的树干两头搭在原木上。"
"The face was horrible with blood.","军官满脸是血，十分恐怖。"
"He covered it with the helmet.","他用头盔把它挡了起来。"
"Then he pushed the limbs straight and decent, and brushed the dead leaves off the fine cloth of the uniform.","接着他将军官的四肢摆端正，拂掉落在质地精良的军装上的枯叶。"
"So, it lay quite still in the shadow under there.","于是，军官的尸体在树干之间的阴影下笔直地躺着了。"
"A little strip of sunshine ran along the breast, from a chink between the logs.","一小缕阳光透过原木之间的缝隙，照在了军官的胸口。"
"The orderly sat by it for a few moments.","勤务兵在跟前坐了半晌。"
"Here his own life also ended.","在此，他自己的生命也完结了。"
"Then, through his daze, he heard the lieutenant, in a loud voice, explaining to the men outside the wood, that they were to suppose the bridge on the river below was held by the enemy.","迷糊之中，他听见中尉大声地在向树林外的士兵解释说，假设下面河道上的桥梁被敌军占据。"
"Now they were to march to the attack in such and such a manner.","现在他们打算以怎样怎样的方式进攻。"
"The lieutenant had no gift of expression.","中尉并没有表达的天赋。"
"The orderly, listening from habit, got muddled.","勤务兵习惯性地听着，但是听糊涂了。"
"And when the lieutenant began it all again he ceased to hear.","中尉开始重复一遍时，他不再听了。"
"He knew he must go.","他知道自己必须离开。"
"He stood up.","他站起来。"
"It surprised him that the leaves were glittering in the sun, and the chips of wood reflecting white from the ground.","树叶在太阳下闪闪发亮，地面的木屑闪着白光，这让他吃了一惊。"
"For him a change had come over the world.","对他来说，世界已经发生了变化。"
"But for the rest it had not—all seemed the same.","但是对于其他人来说毫无变化——一切如旧。"
"Only he had left it.","只有他离开了那个世界。"
"And he could not go back.","而且无法回头了。"
"It was his duty to return with the beer-pot and the bottle.","归还酒杯和酒瓶是他的任务。"
"He could not.","他做不到了。"
"He had left all that.","他已离开了这一切。"
"The lieutenant was still hoarsely explaining.","中尉还在扯着嗓子解释着。"
"He must go, or they would overtake him.","他必须离开，否则他们会追上他的。"
"And he could not bear contact with anyone now.","现在他无法忍受与任何人接触。"
"He drew his fingers over his eyes, trying to find out where he was.","他用手遮在眼睛上面，试图弄明白自己身在何处。"
"Then he turned away.","接着便转身走开了。"
"He saw the horse standing in the path.","他看见军官的马停在路上。"
"He went up to it and mounted.","他走过去，跨上马。"
"It hurt him to sit in the saddle.","坐在马鞍上让他感到疼痛。"
"The pain of keeping his seat occupied him as they cantered through the wood.","他们在林中慢跑的时候，这疼痛一直伴随着他。"
"He would not have minded anything, but he could not get away from the sense of being divided from the others.","他不该想任何事，但是又无法摆脱与其他人划清界限的感觉。"
"The path led out of the trees.","道路一直通向树林外。"
"On the edge of the wood he pulled up and stood watching.","在树林边，他勒住马，停下来环顾四周。"
"There in the spacious sunshine of the valley soldiers were moving in a little swarm.","宽阔的山谷里阳光普照，士兵们排成数个小队前进着。"
"Every now and then, a man harrowing on a strip of fallow shouted to his oxen, at the turn.","在一块细长的休耕地上，一个男人正在耕田，拐弯时偶尔会朝牛吆喝几声。"
"The village and the white-towered church was small in the sunshine.","村庄和白色塔顶的教堂，在阳光下显得格外渺小。"
"And he no longer belonged to it—he sat there, beyond, like a man outside in the dark.","他已不再属于那里了——他坐在那里，超然于世，仿佛一个置身黑暗之中的人。"
"He had gone out from everyday life into the unknown, and he could not, he even did not want to go back.","他已摆脱了日常生活，来到了未知的世界。他无法，也不愿意再回去。"
"Turning from the sun-blazing valley, he rode deep into the wood.","他转身背对刺眼阳光笼罩着的山谷，往树林深处骑去。"
"Tree-trunks, like people standing grey and still, took no notice as he went.","一根根树干像灰暗、僵直的人一样站着，对骑马经过的他毫不在意。"
"A doe, herself a moving bit of sunshine and shadow, went running through the flecked shade.","一头母鹿，身披阳光和树阴，从斑驳的树影之间一闪而过。"
"There were bright green rents in the foliage.","树叶之间透出翠绿色的缝隙。"
"Then it was all pine wood, dark and cool.","其他的便是深绿色的、冷峻的松树了。"
"And he was sick with pain, he had an intolerable great pulse in his head, and he was sick.","身上的疼痛使他难受，脑袋剧烈地抽动着，让他无法忍受，他病了。"
"He had never been ill in his life.","他从出生到现在还从没病过。"
"He felt lost, quite dazed with all this.","他感觉变迷糊了，一切都让他晕眩恍惚。"
"Trying to get down from the horse, he fell, astonished at the pain and his lack of balance.","他试图从马上下来，但是跌在了地上，疼痛和失去平衡让他颇为吃惊。"
"The horse shifted uneasily.","马儿不安地转向一旁。"
"He jerked its bridle and sent it cantering jerkily away.","他猛地扯了下缰绳，马儿在惊吓中慢步跑开了。"
"It was his last connection with the rest of things.","那是他与其他事物最后的联系。"
"But he only wanted to lie down and not be disturbed.","可他只想躺着，不被打扰。"
"Stumbling through the trees, he came on a quiet place where beeches and pine trees grew on a slope.","他跌跌撞撞地在树林中穿梭，来到一处安静的大坡，上面长着山毛榉和松树。"
"Immediately he had lain down and closed his eyes, his consciousness went racing on without him.","他迅速躺下闭上眼睛，他的意识还在激烈的搏斗，但是他自己已经浑然不知了。"
"A big pulse of sickness beat in him as if it throbbed through the whole earth.","一阵强烈的痛苦袭击着他，好像整个地球都颤动了。"
"He was burning with dry heat.","他又干又热，浑身都烧了起来。"
"But he was too busy, too tearingly active in the incoherent race of delirium to observe.","不过他太忙乱，一直极其痛苦地在昏迷狂乱中折腾，根本没有注意到。"

"Chapter III","第三章"
"He came to with a start.","一惊之下，他醒了过来。"
"His mouth was dry and hard, his heart beat heavily, but he had not the energy to get up.","他口中干涩疼痛，心脏剧烈地跳着，但实在没有力气起来了。"
"His heart beat heavily.","他的心脏剧烈地跳着。"
"Where was he?—the barracks—at home?","他这是在哪里？——军营？——家里？"
"There was something knocking.","有什么东西正在敲打着。"
"And, making an effort, he looked round—trees, and litter of greenery, and reddish, bright, still pieces of sunshine on the floor.","他努力朝四周望去——那里有树林、枯木的落叶，还有洒在地上微红的、明亮斑驳的阳光。"
"He did not believe he was himself, he did not believe what he saw.","他无法相信他是他自己，无法相信眼前的一切。"
"Something was knocking.","什么东西正在敲打着。"
"He made a struggle towards consciousness, but relapsed.","他挣扎着想要恢复意识，但是失败了。"
"Then he struggled again.","他又试了一次。"
"And gradually his surroundings fell into relationship with himself.","渐渐地，他将自己和周围的环境联系起来。"
"He knew, and a great pang of fear went through his heart.","他明白过来了，同时一阵强烈的恐惧感在他心中升腾。"
"Somebody was knocking.","什么人在敲打着。"
"He could see the heavy, black rags of a fir tree overhead.","他可以看见头顶一棵冷杉上沉甸甸、黑黝黝的枯叶。"
"Then everything went black.","接着，一切都变黑了。"
"Yet he did not believe he had closed his eyes.","可他不相信自己已经闭上了眼睛。"
"He had not.","他并没有闭眼。"
"Out of the blackness sight slowly emerged again.","景物缓缓地再次从黑暗中显现出来。"
"And someone was knocking.","什么人在敲打着。"
"Quickly, he saw the blood-disfigured face of his Captain, which he hated.","突然，他看见上尉血肉模糊的脸，那张他仇恨的脸。"
"And he held himself still with horror.","恐惧中，他不敢动弹。"
"Yet, deep inside him, he knew that it was so, the Captain should be dead.","但是在内心深处，他知道上尉已经死了。"
"But the physical delirium got hold of him.","但是身体的错乱又让他身不由己。"
"Someone was knocking.","什么人在敲打着。"
"He lay perfectly still, as if dead, with fear.","他带着恐惧，直挺挺地躺着，像死了似的。"
"And he went unconscious.","他之后便失去了知觉。"
"When he opened his eyes again, he started, seeing something creeping swiftly up a tree-trunk.","再次睁开眼，他吓了一跳，看到有东西迅速地爬上树干。"
"It was a little bird.","是一只小鸟。"
"And the bird was whistling overhead.","小鸟在他头顶上啾啾叫着。"
"Tap-tap-tap—it was the small, quick bird rapping the tree-trunk with its beak, as if its head were a little round hammer.","嗒—嗒—嗒——小鸟用鸟喙快速地戳着树干，脑袋像一个圆形的小榔头。"
"He watched it curiously.","他饶有趣味地看着。"
"It shifted sharply, in its creeping fashion.","小鸟以特有的方式敏捷地移动着。"
"Then, like a mouse, it slid down the bare trunk.","之后它又像只耗子一样，从光秃秃的树干上滑了下来。"
"Its swift creeping sent a flash of revulsion through him.","小鸟敏捷地爬来爬去让他闪过一丝厌恶。"
"He raised his head.","他抬起头。"
"It felt a great weight.","这让他感觉十分沉重。"
"Then, the little bird ran out of the shadow across a still patch of sunshine, its little head bobbing swiftly, its white legs twinkling brightly for a moment.","小鸟跳出了阴影，穿过一片停驻的阳光，小脑袋灵活地转动着，白色的小腿明晃晃地闪了片刻。"
"How neat it was in its build, so compact, with pieces of white on its wings.","它的身形如此灵活而紧凑，翅膀上带着白点。"
"There were several of them.","旁边还有另外几只。"
"They were so pretty—but they crept like swift, erratic mice, running here and there among the beech-mast.","它们真好看——但是爬起来却像身形敏捷、到处乱跑的老鼠，在山毛榉果实之间窜来窜去。"
"He lay down again exhausted, and his consciousness lapsed.","因为疲惫，他又躺下了，并且失去了意识。"
"He had a horror of the little creeping birds.","爬来爬去的小鸟们让他感到一阵恐惧。"
"All his blood seemed to be darting and creeping in his head.","他全身的血液仿佛都冲进了他的脑袋，在里面缓缓地流动着。"
"And yet he could not move.","但他仍然无法动弹。"
"He came to with a further ache of exhaustion.","在另一阵因疲惫而加重的疼痛中，他醒了过来。"
"There was the pain in his head, and the horrible sickness, and his inability to move.","他头痛，感到极度恶心，并且动弹不得。"
"He had never been ill in his life.","他从出生到现在还从没病过。"
"He did not know where he was or what he was.","他不知道自己在哪里，也不知道他是做什么的。"
"Probably he had got sunstroke.","或许他中暑了。"
"Or what else?—he had silenced the Captain for ever—some time ago—oh, a long time ago.","或是别的什么缘故？他已经让上尉永远地安静了——就在不久之前——噢，很久之前。"
"There had been blood on his face, and his eyes had turned upwards.","他满脸是血，双眼向上翻着。"
"It was all right, somehow.","不管怎样，那还不错。"
"It was peace.","挺平静。"
"But now he had got beyond himself.","但是现在他已经失去自己了。"
"He had never been here before.","他从没来过这里。"
"Was it life, or not life?","他还活着吗？还是已经死了？"
"He was by himself.","他独自一人。"
"They were in a big, bright place, those others, and he was outside.","其他的人都身处一个宽敞明亮之地，他却置身之外。"
"The town, all the country, a big bright place of light: and he was outside, here, in the darkened open beyond, where each thing existed alone.","城镇，整个村庄，既宽阔又明亮，但他却置身之外。在这个空旷黑暗之地，一切都孤立存在着。"
"But they would all have to come out there sometime, those others.","但是其他人以后也都会去那里。"
"Little, and left behind him, they all were.","他们都是渺小的，跟随在他之后。"
"There had been father and mother and sweetheart.","其中有父亲、母亲，还有情人。"
"What did they all matter?","他们又能怎样？"
"This was the open land.","这里是一片空旷之地。"
"He sat up.","他坐了起来。"
"Something scuffled.","什么东西伏在地上窸窸窣窣的。"
"It was a little, brown squirrel running in lovely, undulating bounds over the floor, its red tail completing the undulation of its body—and then, as it sat up, furling and unfurling.","原来是一只棕色的小松鼠在地上一起一伏愉悦地跑着，红色的尾巴使它的身子形成了波浪状——它一坐起来，尾巴便一伸一缩的。"
"He watched it, pleased.","他高兴地看着松鼠。"
"It ran on again, friskily, enjoying itself.","松鼠又自得其乐地跑跑跳跳起来。"
"It flew wildly at another squirrel, and they were chasing each other, and making little scolding, chattering noises.","它猛地朝另一只松鼠扑去，接着它们就开始互相追逐，并微微发出叽叽喳喳的吵闹声。"
"The soldier wanted to speak to them.","士兵想跟它们说话。"
"But only a hoarse sound came out of his throat.","但是从他嗓子眼发出的只有沙哑的低声。"
"The squirrels burst away—they flew up the trees.","松鼠迅速跑开，窜到了树上。"
"And then he saw the one peeping round at him, half-way up a tree-trunk.","他看见其中一只停在一棵树腰，偷偷打量着他。"
"A start of fear went through him, though, in so far as he was conscious, he was amused.","他已经恢复了意识，看到眼前的情景让他觉得好笑，但一阵恐惧还是掠过了他的全身。"
"It still stayed, its little, keen face staring at him halfway up the tree-trunk, its little ears pricked up, its clawey little hands clinging to the bark, its white breast reared.","松鼠仍然停在树腰上，那张真切的小脸盯着他，竖着一对小耳朵，用小爪子扒着树皮，白白的胸脯向外挺着。"
"He started from it in panic.","这让他感到惶恐。"
"Struggling to his feet, he lurched away.","他挣扎着站起来，一摇一摆地走开。"
"He went on walking, walking, looking for something—for a drink.","他一直走着，找寻着什么——找寻可以喝的东西。"
"His brain felt hot and inflamed for want of water.","口渴已经让他的脑袋热得烧了起来。"
"He stumbled on.","他继续跌跌撞撞地走着。"
"Then he did not know anything.","接着就什么都不知道了。"
"He went unconscious as he walked.","他走着走着就失去意识了。"
"Yet he stumbled on, his mouth open.","但他跌跌撞撞地走了下去，嘴巴张着。"
"When, to his dumb wonder, he opened his eyes on the world again, he no longer tried to remember what it was.","让他暗自吃惊的是，当他再次睁开眼睛时，他已不再去试着回想眼前的一切是什么了。"
"There was thick, golden light behind golden-green glitterings, and tall, grey-purple shafts, and darknesses further off, surrounding him, growing deeper.","灿烂的金色和绿色背后是浓厚的金色阳光，高大的紫灰色树干和远处的黑暗将他包围，而且越来越暗。"
"He was conscious of a sense of arrival.","他有一种到达目的地的感觉。"
"He was amid the reality, on the real, dark bottom.","他身处现实之中，真实的黑暗谷底。"
"But there was the thirst burning in his brain.","但是口干舌燥的感觉占据了他的思绪。"
"He felt lighter, not so heavy.","他觉得轻飘飘的，没之前那么沉重了。"
"He supposed it was newness.","他猜想大概是重获新生了吧。"
"The air was muttering with thunder.","空中传来低沉的雷声。"
"He thought he was walking wonderfully swiftly and was coming straight to relief—or was it to water?","他觉得自己走得相当轻快，径直朝解脱奔去——或许前面就有水了？"
"Suddenly he stood still with fear.","突然间，他害怕了，停住了脚步。"
"There was a tremendous flare of gold, immense—just a few dark trunks like bars between him and it.","前方一大片灿烂金光，仿佛燃烧着的火焰，几棵深色的树干像栅栏一样，挡在他与金光之间。"
"All the young level wheat was burnished gold glaring on its silky green.","新长出的麦子整整齐齐，绿油油的，也被金色的火焰所笼罩。"
"A woman, full-skirted, a black cloth on her head for head-dress, was passing like a block of shadow through the glistening, green corn, into the full glare.","一个穿着长裙的女人，头戴一块黑布头巾，像一团影子似的穿过闪闪发光的绿色玉米地，来到这片金光璀璨之中。"
"There was a farm, too, pale blue in shadow, and the timber black.","那里还有一座农舍，在树阴下发出昏暗的蓝光，木料则是黑色的。"
"And there was a church spire, nearly fused away in the gold.","教堂的尖顶几乎要被金光熔掉了。"
"The woman moved on, away from him.","妇女继续走着，离他越来越远。"
"He had no language with which to speak to her.","他无法用语言与她交谈。"
"She was the bright, solid unreality.","她只是一个清晰而纯粹的虚幻。"
"She would make a noise of words that would confuse him, and her eyes would look at him without seeing him.","她说出的话他无法理解，她的双眼瞧着他，眼里却没有他。"
"She was crossing there to the other side.","她从这里穿过，走到另外一边。"
"He stood against a tree.","他靠着一棵树站着。"
"When at last he turned, looking down the long, bare grove whose flat bed was already filling dark, he saw the mountains in a wonder-light, not far away, and radiant.","最后，他转过身去，俯视着长长的、光秃秃的树丛，它们已经变暗了。此时，他看见不远处的山峦被霞光笼罩，熠熠发光。"
"Behind the soft, grey ridge of the nearest range the further mountains stood golden and pale grey, the snow all radiant like pure, soft gold.","在离他最近的那道轻柔灰色的山脊背后，耸立着呈金黄和浅灰色的远山。山顶上的积雪，光芒四射，仿佛纯净柔软的金子。"
"So still, gleaming in the sky, fashioned pure out of the ore of the sky, they shone in their silence.","它静静地发着光，在天空中闪烁着，如此静谧，如此纯粹。"
"He stood and looked at them, his face illuminated.","他站在那里看着，脸也被照亮了。"
"And like the golden, lustrous gleaming of the snow he felt his own thirst bright in him.","如同积雪反射出的金色光芒，干渴的感觉在他体内跳动着。"
"He stood and gazed, leaning against a tree.","他倚着一棵树站立，痴痴地凝视着。"
"And then everything slid away into space.","一切都消散于无形之中。"
"During the night the lightning fluttered perpetually, making the whole sky white.","夜里，闪电不断，整片夜空都被照成了白色。"
"He must have walked again.","他肯定又往前走了。"
"The world hung livid round him for moments, fields a level sheen of grey-green light, trees in dark bulk, and the range of clouds black across a white sky.","有好一阵，他四周的世界呈现出青灰色，田野闪着灰绿色的光泽，树木漆黑，一道道黑云穿过白色的天空。"
"Then the darkness fell like a shutter, and the night was whole.","接着黑暗再次闪现，就又是一片黑夜了。"
"A faint flutter of a half-revealed world, that could not quite leap out of the darkness!—Then there again stood a sweep of pallor for the land, dark shapes looming, a range of clouds hanging overhead.","一个半隐半现的世界微微一闪，依旧被黑暗裹挟着！——大地再次被闪电照亮，一片苍白憔悴，暗夜袭来，头顶被一团黑云笼罩。"
"The world was a ghostly shadow, thrown for a moment upon the pure darkness, which returned ever whole and complete.","世界就是个可怕的影子，遮盖在纯粹的黑暗之上，整个世界又完全回归到一片黑暗之中。"
"And the mere delirium of sickness and fever went on inside him—his brain opening and shutting like the night—then sometimes convulsions of terror from something with great eyes that stared round a tree—then the long agony of the march, and the sun decomposing his blood—then the pang of hate for the Captain, followed by a pang of tenderness and ease.","他的精神继续错乱，还发着烧——脑袋如同黑夜一样忽闪着——时不时地，似乎某个长着眼睛的巨大东西在树旁瞪着他，使他吓得发抖——他又回想起长途行军的痛苦，灼热的日光腐蚀了他的血液——还有对上尉的仇恨，继而，他又恢复了平静。"
"But everything was distorted, born of an ache and resolving into an ache.","可是一切都扭曲了，一切都来源于痛苦，都以痛苦结束。"
"In the morning he came definitely awake.","清晨，他完全清醒了。"
"Then his brain flamed with the sole horror of thirstiness!","干渴让他恐慌，脑袋里也烧起来了。"
"The sun was on his face, the dew was steaming from his wet clothes.","阳光照在他的脸上，湿衣服上的露水正在蒸发。"
"Like one possessed, he got up.","他像着了魔一样站起来。"
"There, straight in front of him, blue and cool and tender, the mountains ranged across the pale edge of the morning sky.","就在他面前，群山散发着温柔、清冷的蓝色光辉，横跨清晨惨白的天际。"
"He wanted them—he wanted them alone—he wanted to leave himself and be identified with them.","他想拥有它们——想独自拥有它们——想要与它们化身为一体。"
"They did not move, they were still soft, with white, gentle markings of snow.","它们屹立不动，仍是那么温柔，覆盖着柔软的白雪。"
"He stood still, mad with suffering, his hands crisping and clutching.","他静静地站着，痛苦得几近癫狂。他的双手紧紧地攥着，关节发出嘎吱的响声。"
"Then he was twisting in a paroxysm on the grass.","突然，他倒在草地上抽搐起来。"
"He lay still, in a kind of dream of anguish.","他直挺挺地躺着，仿佛进入了一场极度痛苦的梦境。"
"His thirst seemed to have separated itself from him, and to stand apart, a single demand.","干渴感似乎已经与他分离了，站在一旁，变成了一个独立的诉求。"
"Then the pain he felt was another single self.","疼痛也变成了一个独立的自我。"
"Then there was the clog of his body, another separate thing.","沉重的躯体也独立出来。"
"He was divided among all kinds of separate beings.","他被分解成了一个个独立的存在。"
"There was some strange, agonized connection between them, but they were drawing further apart.","它们之间虽然存在某种神奇而痛苦的联系，但是也渐行渐远了。"
"Then they would all split.","最终它们会彻底撕裂。"
"The sun, drilling down on him, was drilling through the bond.","太阳炙烤着他，将所有的联系都阻断了。"
"Then they would all fall, fall through the everlasting lapse of space.","随后它们全会落下去，穿过不断流逝的时空，落下去。"
"Then again, his consciousness reasserted itself.","他的意识又恢复了。"
"He roused on to his elbow and stared at the gleaming mountains.","他用胳膊肘撑着身子，望着那熠熠生辉的群山。"
"There they ranked, all still and wonderful between earth and heaven.","山峦座座，静静地耸立在天地之间，令人叹为观止。"
"He stared till his eyes went black, and the mountains, as they stood in their beauty, so clean and cool, seemed to have it, that which was lost in him.","他死死地望着，直到眼前发黑。而那些群山，雄伟地耸立着，如此洁净和清爽，而这正是他身上丢失了的东西。"

"Chapter IV","第四章"
"When the soldiers found him, three hours later, he was lying with his face over his arm, his black hair giving off heat under the sun.","三个小时之后，士兵们发现了他，他的脸枕在胳膊上，黑发在太阳下散发着热气。"
"But he was still alive.","但他还活着。"
"Seeing the open, black mouth the young soldiers dropped him in horror.","看见他大张着的、乌黑的嘴巴，年轻的士兵们惊恐地把他扔回地上。"
"He died in the hospital at night, without having seen again.","晚上，他死在了医院里，再也没有睁开眼睛。"
"The doctors saw the bruises on his legs, behind, and were silent.","医生们看见他大腿后面的瘀伤后，都陷入了沉默。"
