"书名插曲（毛姆短篇小说）短简介《插曲》讲述了一个残酷的爱情故事。弗雷德和格雷丝年貌相当，门户却不相对。他们克服了重重阻力之后，他们的爱情得到了原本阻挠的父母的祝福。然后，费雷德由于偷窃锒铛入狱，家庭的阻挠和牢狱之灾他们都勇敢地渡过了，最后时刻，即将出狱的弗雷德却突然觉得自己不爱格雷丝了，并且拒绝见她，原本始终等候他的格雷丝，走投无路只好选择了自杀。长简介《插曲》讲述了一个残酷的爱情故事。弗雷德和格雷丝年貌相当，门户却不相对。他们克服了重重阻力，终于获得了家人的祝福。然而结婚之前弗雷德却因为盗窃而入狱了，格雷丝固执地等待着他，不惜与父母断绝关系。出人意料的是，弗雷德在出狱之前突然觉得自己不爱格雷丝了，对她只剩下了厌恶。走投无路的格雷丝只好选择了自杀。毛姆的笔法细腻深刻，对人物语言和心理的刻画是这部小说的亮点。小说的最后更是出人意料，揭露了人性的丑陋和反复无常。关键字插曲；威廉·萨默赛特·毛姆；外研社编译组；短篇；讽刺；残酷；爱情作者（英）威廉·萨默赛特·毛姆作者简介威廉·萨默赛特·毛姆（1874—1965），英国小说家、戏剧家。原来学医，后转而致力写作。他的作品常以冷静、客观乃至挑剔的态度审视人生，基调超然，带讽刺和怜悯意味，在国内外拥有大量读者。著名作品有戏剧《圈子》，长篇小说《人生的枷锁》、《月亮和六便士》，短篇小说集《叶的震颤》、《卡苏里那树》等。"
"书评毛姆是20世纪用英语写作的最为流行的作家之一。"
"Episode","插曲"
"Unfair competition, he calls it.","他管这个叫不正当竞争。"
"And to think of our Gracie working with a lot of shop-girls-oh, it’s so humiliating.’","想想吧，我们的格雷丝竟然跟一群售货小姐在一起工作，真是丢人啊。”"
"Ned made a mental note of the store’s name.","内德默默地记下了这个商店的名字。"
"He hadn’t been at all sure of getting Grace’s address out of Mrs Carter.","他原先并没有把握卡特夫人会把格雷丝的住处说出来。"
"‘Have you seen her since she left you?’ he asked.","“她走后你再没有见过她吗？”他问道。"
"‘Of course I have.","“当然见过。"
"I knew they’d jump at her at Payne and Perkins, a superior girl like that, and I went there, and there she was, sure enough—in the ladies’ lingerie.","我早就知道，这么好的一个姑娘，佩恩-珀金斯商店巴不得雇她呢。我到那里去了，不出所料，她就在女士内衣的柜台那里。"
"I waited outside till closing time and then I spoke to her.","我一直在外面等到下班时间，才去跟她说话。"
"I asked her to come home.","我要她回家。"
"I said her pa was willing to let bygones be bygones.","我告诉她，爸爸愿意不计前嫌。"
"And d’you know what she said?","你知道她怎么说？"
"She said she’d come home if we never said a word against Fred and if we was prepared to have her marry him as soon as ever he got out.","她说只要我们再也不说一句诋毁弗雷德的话，并且愿意等他出狱之后让他们结婚，她就回家。"
"Of course I had to tell her pa.","当然，我得先问问她爸爸。"
"I never saw him in such a state, I thought he was going to have a fit, he said he’d rather see her dead at his feet than married to that gaol-bird.’","我从没见过他这副样子，我觉得他几乎要气疯了。他说自己宁可看着女儿死去，也不愿意让她嫁给那个囚犯。”"
"Mrs Carter again burst into tears and as soon as he could Ned Preston left her.","卡特夫人又一次流下了眼泪，内德·普雷斯顿赶紧找机会告辞了。"
"He went to the department store, up to the ladies’ lingerie, and asked for Grace Carter.","他来到那家商店，走到女士内衣柜台，说是要找格雷丝·卡特。"
"She was pointed out to him and he went up to her.","有人指了指，他就径直朝她走了过去。"
"‘Can I speak to you for a minute?","“我能跟您谈一会儿吗？"
"I’ve come from Fred Manson.’","弗雷德·曼森让我来的。”"
"She went deathly white.","她顿时面色惨白。"
"For a moment it seemed that she could not utter a word.","有那么一会儿，她似乎一句话都说不出来。"
"‘Follow me, please.’","“请跟我来。”"
"She took him into a passage smelling of disinfectants which seemed to lead to the lavatories.","她把他带到一条散发着消毒水味道的走廊上，那条走廊像是通往厕所。"
"They were alone.","那里只有他们两个人。"
"She stared at him anxiously.","她焦急地望着他。"
"‘He sends you his love.","“我带来了他对你的爱。"
"He’s worried about you.","他很担心你。"
"He’s afraid you’re awfully unhappy.","他怕你会过分伤心。"
"What he wants to know really is if you’re going to chuck him.’","他最想知道的就是你会不会甩了他。”"
"‘Me?’","“我？”"
"Her eyes filled with tears, but on her face was a look of ecstasy.","她的眼中满是泪水，但是脸上的表情却是欣喜若狂。"
"‘Tell him that nothing matters to me as long as he loves me.","“告诉他，只要他爱我，所有的一切都不重要。"
"Tell him I’d wait twenty years for him if I had to.","告诉他，就算是20年我也会等。"
"Tell him I’m counting the days till he gets out so as we can get married.’","告诉他，我正数着日子等他出狱，到时候我们立刻就结婚。”"
"For fear of the manageress she couldn’t stay away from her work for more than a minute or two.","她必须在一两分钟之内回去，因为担心女经理会骂人。"
"She gave Ned all the loving messages she could get into the time to give Fred Manson.","在这短短的一两分钟里，她尽力把自己想表达的所有爱意都托内德带给弗雷德·曼森。"
"Ned didn’t get to the Scrubs till nearly six.","内德回到斯克拉比斯监狱的时候，已经将近六点了。"
"The prisoners are allowed to put down their tools at five-thirty and Fred had just put his down.","囚犯们要一直到五点半才能放下手中的工具，弗雷德这会儿刚刚干完活。"
"When Ned entered the cell he turned pale and sank on to the bed as though his anxiety was such that he didn’t trust his legs.","内德走进牢房的时候，弗雷德的脸色变得苍白，一下子瘫坐在床上，似乎他的焦虑已经使他两腿发软了。"
"But when Ned told him his news he gave a gasp of relief.","但是当内德把情况告诉他时，他大松了一口气。"
"For a while he couldn’t trust himself to speak.","半晌，他都说不出话来。"
"‘I knew you’d seen her the moment you came in.","“你一进来我就知道你见过她了。"
"I smelt her.’","我能闻到她的味道。”"
"He sniffed as though the smell of her body were strong in his nostrils, and his face was as it were a mask of desire.","他使劲地嗅着，仿佛他的鼻孔里充斥着她身体的味道，他的脸上充满了欲望。"
"His features on a sudden seemed strangely blurred.","五官也突然间变得模糊不清了，奇怪得很。"
"‘You know, it made me feel quite uncomfortable so that I had to look the other way,’ said Ned Preston when he told us this, with a cackle of his shrill laughter.","“要知道，这让我觉得很不舒服，所以我不得不躲开他的目光。”内德对我们讲着，尖着嗓子咯咯笑着，"
"‘It was sex in its nakedness all right.’","“这完全是赤裸裸的情欲。”"
"Fred was an exemplary prisoner.","弗雷德在监狱里的表现堪称模范。"
"He worked well, he gave no trouble.","他工作努力，也从来不惹麻烦。"
"Ned suggested books for him to read and he took them out of the library, but that was about as far as he got.","内德向他推荐了一些书，于是他就到图书馆去借来看，当然也仅限于那些能借到的书。"
"‘I can’t get on well with them somehow,’ he said.","“不知怎的，我读不进去，”他说，"
"‘I start reading and then I begin thinking of Gracie.","“我刚一开始读就会想到格雷丝。"
"You know, when she kisses you ordinary-like—oh, it’s so sweet, but when she kisses you really, my God, it’s lovely.’","要知道，当她随随便便吻你一下的时候——哦，那感觉是甜蜜的；但是如果她真心吻你，天哪，那简直太迷人了。”"
"Fred was allowed to see Gracie once a month, but their meetings, with a glass screen between, under the eyes of a warder, were so painful that after several visits they agreed it would be better if she didn’t come any more.","弗雷德被允许每月见一次格雷丝，但是每次见面都隔着玻璃，旁边还站着看守。这实在太痛苦了。因此见了几次面之后，两人都觉得还是不要再见面的好。"
"A year passed.","一年过去了。"
"Owing to his good behaviour he could count on a remittance of his sentence and so would be free in another six months.","由于表现良好，弗雷德有望缩短刑期，这样一来，他再过六个月就可以获释了。"
"Gracie had saved every penny she could out of her wages and now as the time approached for Fred’s release she set about getting a home ready for him.","格雷丝从工资里节省着每一分钱，而现在随着弗雷德释放日期的临近，她开始着手给他准备一个家。"
"She took two rooms in a house and furnished them on the hire purchase system.","她租下了一幢房子里的两间屋子，并用分期付款的方式买了一套家具。"
"One room of course was to be their bedroom and the other the living-room and kitchen.","其中一间自然是他们的卧室，另一间兼做客厅和厨房。"
"There was an old-fashioned range in it and this she had taken out and replaced by a gas-stove.","用作厨房的这一间里有个老式的炉灶，她把它拆了下来，换上煤气炉。"
"She wanted everything to be nice and new and clean and comfortable.","她希望家里的一切都漂亮、清新、舒适。"
"She took pains to make the two little rooms bright and pretty.","她费了好大的劲，把两个房间布置得光鲜雅致。"
"To do all this she had to go without all the barest necessities of existence and she grew thin and pale.","为了做到这些，她连最低的生活水平都维持不了，逐渐变得消瘦、苍白起来。"
"Ned suspected that she was starving herself and when he went to see her took a box of chocolates or a cake so that she should have at least something to eat.","内德怀疑她在挨饿，所以每次去看她都会带一盒巧克力或是一块蛋糕，这样至少她能吃上点儿东西。"
"He brought the prisoner news of what Gracie was doing and she made him promise to give him accurate accounts of every article she bought.","他给弗雷德带去消息，告诉他格雷丝在干什么，而格雷丝则要内德一定将她添置的每件家具详细地讲给他听。"
"He took fond, more than fond, passionate messages from one to the other.","内德在他们之间传递着多情的——不只是多情，而是充满激情的爱情信息。"
"He was convinced that Fred would go straight in future and he got him a job as commissionaire from a firm that had a chain of restaurants in London.","他很确定，弗雷德将来一定会走上正道。他帮弗雷德在一家公司找了一个看门的职位，这家公司在伦敦开了许多连锁餐厅。"
"The wages were good and by calling taxis or fetching cars he would be able to make money on the side.","薪水很不错，要是能帮着找出租汽车和货车，还能获得额外的收入。"
"He was to start work as soon as he came out of gaol.","他一出监狱就可以开始工作。"
"Gracie took the necessary steps so that they could get married at once.","为了尽快结婚，格雷丝已经做了必要的准备。"
"The eighteen months of Fred’s imprisonment were drawing to an end.","弗雷德被监禁的18个月很快就要结束了。"
"Gracie was in a fever of excitement.","格雷丝兴奋不已。"
"It happened then that Ned Preston had one of his periodical bouts of illness and was unable to go to the prison for three weeks.","碰巧这时内德·普雷斯顿的病又间歇性地犯了，他连着三个星期没能去监狱。"
"It bothered him, for he didn’t like to abandon his prisoners, so as soon as he could get out of bed he went to the Scrubs.","这使他非常烦恼，因为他不愿丢下这些犯人们不管，因此他能下床活动以后，立刻就去了斯克拉比斯监狱。"
"The chief warder told him that Manson had been asking for him.","监狱长告诉他，曼森一直请求见他。"
"‘I think you’d better go and see him.","“我认为你最好去见见他。"
"I don’t know what’s the matter with him.","我不知道他这是怎么了。"
"He’s been acting rather funny since you’ve been away.’","自从你离开后，他的表现就很奇怪。”"
"It was just a fortnight before Fred was due to be released.","此时距离弗雷德被释放只有两周了。"
"Ned Preston went to his cell.","内德·普雷斯顿去了他的牢房。"
"‘Well, Fred, how are you?’ he asked.","“弗雷德，你还好吗？”他问道，"
"‘Sorry I haven’t been able to come and see you.","“很抱歉，我一直没能来见你。"
"I’ve been ill, and I haven’t been able to see Gracie either.","我生病了，也没能去见格雷丝。"
"She must be all of a dither by now.’","她现在一定激动得浑身发抖了。”"
"‘Well, I want you to go and see her.’","“嗯，我想让你去见见她。”"
"His manner was so surly that Ned was taken aback.","他那种乖戾的神情使内德大吃一惊。"
"It was unlike him to be anything but pleasant and civil.","他完全变了，不像以前那样亲切有礼了。"
"‘Of course I will.’","“我当然会去。”"
"‘I want you to tell her that I’m not going to marry her.’","“我想让你告诉她，我不打算跟她结婚了。”"
"Ned was so astounded that for a minute he could only stare blankly at Fred Manson.","内德大吃了一惊，半晌，他只能呆呆地盯着弗雷德·曼森。"
"‘What on earth d’you mean?’","“你这到底是什么意思？”"
"‘Exactly what I say.’","“就是我说的意思。”"
"‘You can’t let her down now.","“你现在不能再让她失望了。"
"Her people have thrown her out.","她的家人已经抛弃了她。"
"She’s been working all this time to get a home ready for you.","她一直在工作，为你准备了一个家。"
"She’s got the licence and everything.’","她还拿到了许可证以及需要的一切。”"
"‘I don’t care.","“我不在乎。"
"I’m not going to marry her.’","我不会跟她结婚的。”"
"‘But why, why, why?’","“但这是为什么，为什么，为什么？”"
"Ned was flabbergasted.","内德骇然了。"
"Fred Manson was silent for a bit.","弗雷德·曼森沉默了一会儿。"
"His face was dark and sullen.","他的脸色非常阴沉。"
"‘I’ll tell you.","“我告诉你吧。"
"I’ve thought about her night and day for eighteen months and now I’m sick to death of her.’","18个月以来，我日日夜夜地想着她，现在我对她厌烦透了。”"
"When Ned Preston reached this point of his story our hostess and our fellow guests broke into loud laughter.","内德·普雷斯顿讲到这里的时候，女主人和客人们都大笑起来。"
"He was plainly taken aback.","显然，内德对此感到很惊讶。"
"There was some little talk after that and the party broke up.","那之后大家又聊了一会儿，接着聚会就散了。"
"Ned and I, having to go in the same direction, walked along Piccadilly together.","我跟内德同路，我们一起沿着皮卡迪利大街走着。"
"For a time we walked in silence.","有一会儿，我们谁都没吭声。"
"‘I noticed you didn’t laugh with the others,’ he said abruptly.","“我注意到你没跟其他人一起笑。”他突然说。"
"‘I didn’t think it funny.’","“我不觉得好笑。”"
"‘What d’you make of it?’","“你怎么看待这件事呢？”"
"‘Well, I can see his point, you know.","“我能理解他的意思。"
"Imagination’s an odd thing, it dries up; I suppose, thinking of her incessantly all that time he’d exhausted every emotion she could give him, and I think it was quite literally true, he’d just got sick to death of her.","想象是件奇怪的事，它早晚会枯竭。我想，他日日夜夜地思念她，肯定耗尽了她能给予他的一切感情，他最后变得厌恶她，这是完全可信的。"
"He’d squeezed the lemon dry and there was nothing to do but throw away the rind.’","他就像是在拼命地挤一只柠檬，汁水挤干了，也就只能把皮扔掉了。”"
"‘I didn’t think it funny either.","“我也不觉得好笑。"
"That’s why I didn’t tell them the rest of the story.","这就是为什么我没有告诉他们故事的结尾。"
"I wouldn’t accept it at first.","一开始我无法接受。"
"I thought it was just hysteria or something.","我觉得这只是一种歇斯底里或者别的什么。"
"I went to see him two or three days running.","我接连两三天跑去看他。"
"I argued with him.","跟他争论。"
"I really did my damnedest.","我确实尽了最大的努力。"
"I thought if he’d only see her it would be all right, but he wouldn’t even do that.","我觉得只要见到她，他就会恢复正常，但是他连这件事也不愿意做。"
"He said he hated the sight of her.","他说他讨厌看见她。"
"I couldn’t move him.","我说不动他。"
"At last I had to go and tell her.’","最后只得去告诉她。”"
"We walked on a little longer in silence.","我们又沉默着走了一会儿。"
"‘I saw her in that beastly, stinking corridor.","“我在那个令人厌恶、臭气熏天的走道上见到了她。"
"She saw at once there was something the matter and she went awfully white.","她立刻意识到出了什么岔子，脸色一下子变得惨白。"
"She wasn’t a girl to show much emotion.","她不是个善于表露感情的人。"
"There was something gracious and rather noble about her face.","她的脸上有一种优雅、高贵的神色。"
"Tranquil.","她显得很平静。"
"Her lips quivered a bit when I told her and she didn’t say anything for a minute.","当我把事情告诉她时，她的嘴唇只是颤抖了一下，什么也没说。"
"When she spoke it was quite calmly, as though—well, as though she’d just missed a bus and would have to wait for another.","过了一会儿，她开口了，语气非常平静，就像是错过了一班公交车，只好等下一辆一样。"
"As though it was a nuisance, you know, but nothing to make a song and dance about.","好像这是件讨厌的事，但也不值得大惊小怪。"
"“There’s nothing for me to do now but put my head in the gas-oven,” she said.","‘事到如今，我也没什么办法，只能把头伸到煤气灶上自杀了。’她说。”"
"‘And she did.’","“她真的自杀了。”"

