书名拉里尔舞曲的小提琴手（哈代短篇小说）短简介小提琴曲，或者说拉曲子的小提琴手究竟有何魔力，让一个女子为其抛夫弃女、离经叛道？多愁善感的姑娘因偶然邂逅小提琴手及其充满魅惑的曲子，拒绝了一直仰慕他的男子，之后却又主动寻找、投靠他，命运又会如何捉弄他们？哈代的这篇短篇小说用压抑的笔调讲述了一个发生在南威塞克斯的悲剧故事。长简介哈代的短篇小说《拉里尔舞曲的小提琴手》讲述了一个发生在南威塞克斯的悲剧故事。女主人公偶然邂逅了会弹奏魅惑舞曲的小提琴手，不可自拔地陷入了对他的爱恋，因而拒绝了一直在追求她的机械师。机械师伤心地离开家乡去往伦敦，后来却意外收到了女主人公的来信，重归旧好，不想女主人公却带来了一位不速之客——她与小提琴手的孩子。之后三人返乡，在小旅馆中，小提琴手再次出现并带走了孩子，这让机械师痛苦不已。整篇小说笔调压抑，不管是景物描写、动作描写还是心理描写都带着挥之不去的悲剧色彩。关键字拉里尔舞曲的小提琴手；哈代；外研社编译组；短篇；悲剧；爱情作者（英）托马斯·哈代作者简介托马斯·哈代（1840—1828），英国诗人、小说家。哈代早期和中期的创作以小说为主，继承和发扬了维多利亚时代的文学传统；晚年以其出色的诗歌开拓了英国20世纪的文学。代表作有《韦塞克斯诗集》、《德伯家的苔丝》等。哈代的小说以他所生长生活的英格兰西南部地区为背景，富有浓重的地方色彩。他的小说大体分为3类：性格与环境的小说、罗曼史与幻想的小说和精于结构的小说。书评英国小说家中的最伟大的悲剧大师。——伍尔夫英国小说中的莎士比亚。 ——韦伯小提琴曲，或者说拉奏曲子的小提琴手究竟有何魔力，让一个女子为其抛夫弃女、离经叛道？
The Fiddler of the Reels	拉里尔舞曲的小提琴手		
Hipcroft was in ordinary a quiet and tractable fellow, but a determination which was to be feared settled in his face now.	平时，希普克罗夫特安静、温顺，但现在脸上却浮现出一种令人恐惧的毅然神情。		
‘Blast him!’ he cried.	“该死的！”他大叫，		
‘I’ll beat his skull in for’n, if I swing for it to-morrow!’	“我要扒了他的皮，就算我明天被绞死也在所不惜！”		
He had rushed to the poker which lay on the hearth, and hastened down the passage, the people following.	他冲到壁炉前，拿起拨火棍就快步跑过过道，人们在后面跟着。		
Outside the house, on the other side of the highway, a mass of dark heath-land rose sullenly upward to its not easily accessible interior, a ravined plateau, whereon jutted into the sky, at the distance of a couple of miles, the fir-woods of Mistover backed by the Yalbury coppices—a place of Dantesque gloom at this hour, which would have afforded secure hiding for a battery of artillery, much less a man and a child.	房子外面，公路的另一边，一大片黑乎乎的石南荒原阴沉地向上隆起，延伸到难以企及的腹地。那是一座布满沟壑的高原，几英里外的远处，密斯托佛的冷杉林直入云霄，后面则是雅伯里灌木丛——这个时间，高原深沉阴暗，一个炮兵连都可安全地藏匿其中，更不用说一个男人和一个孩子了。		
Some other men plunged thitherward with him, and more went along the road.	一些男人和他一起向那边冲过去，更多的人则是沿着路走。		
They were gone about twenty minutes altogether, returning without result to the inn.	他们总共走了大约二十分钟，就一无所获地回了旅馆。		
Ned sat down in the settle, and clasped his forehead with his hands.	内德坐在高背长椅上，双手紧紧抓着前额。		
‘Well—what a fool the man is, and hev been all these years, if he thinks the child his, as a’ do seem to!’ they whispered.	“哦——那个男人多蠢啊，这么多年了，他看起来好像还以为那孩子是他的！”他们悄声说，		
‘And everybody else knowing otherwise!’	“别人都知道那孩子不是他的！”		
‘No, I don’t think ’tis mine!’ cried Ned hoarsely, as he looked up from his hands.	“不，我知道孩子不是我的！”内德抬起头，嘶哑地吼道，		
‘But she is mine, all the same!	“但尽管如此，她还是我的！		
Ha’n’t I nussed her?	难道不是我照料她？		
Ha’n’t I fed her and teached her?	不是我喂养她、教导她？		
Ha’n’t I played wi’ her?	不是我和她玩耍？		
O, little Carry—gone with that rogue—gone!’	哦，小卡里——被那个混蛋带走了——带走了！”		
‘You ha’n’t lost your mis’ess, anyhow,’ they said to console him.	“不管怎么说，你的妻子没有丢。”他们安慰他说，		
‘She’s throwed up the sperrits, and she is feeling better, and she’s more to ’ee than a child that isn’t yours.’	“她已经甩掉恶魔，现在好些了，对你来说，她比那个不是你亲生的孩子更重要。”		
‘She isn’t!	“不！		
She’s not so particular much to me, especially now she’s lost the little maid!	她对我并没那么重要，尤其是现在她把孩子丢了！		
But Carry’s everything!’	卡里才是一切！”		
‘Well, ver’ like you’ll find her to-morrow.’	“哦，很可能你明天就能找到她。”		
‘Ah—but shall I?	“啊——但我能吗？		
Yet he can’t hurt her—surely he can’t!	不过他不会伤害她——绝对不会！		
Well—how’s Car’line now?	啊——卡罗琳现在怎么样了？		
I am ready.	我准备好了。		
Is the cart here?’	马车来了吗？”		
She was lifted into the vehicle, and they sadly lumbered on toward Stickleford.	她被抬上马车，然后他们伤心地朝斯蒂克福德缓慢前进。		
Next day she was calmer; but the fits were still upon her; and her will seemed shattered.	第二天，她平静了一些，但痉挛还是时有发作，她的意志似乎被摧毁了。		
For the child she appeared to show singularly little anxiety, though Ned was nearly distracted.	奇怪的是，她看上去并不是很担心孩子，而内德却几乎要发疯了。		
It was nevertheless quite expected that the impish Mop would restore the lost one after a freak of a day or two; but time went on, and neither he nor she could be heard of, and Hipcroft murmured that perhaps he was exercising upon her some unholy musical charm, as he had done upon Car’line herself.	然而，大家还是希望爱搞恶作剧的“大拖把”只是一时兴起，一两天内就会把孩子送回来。但是随着时间的流逝，不管是“大拖把”还是孩子都没有消息。内德自言自语说，或许“大拖把”正在用音乐向她施加邪恶的魔力，正如他对卡罗琳所做的一样。		
Weeks passed, and still they could obtain no clue either to the fiddler’s whereabouts or the girl’s; and how he could have induced her to go with him remained a mystery.	一周又一周过去了，不管是小提琴手还是小女孩的下落，他们都没有任何线索。他是如何引她跟他走的，还是一个谜。		
Then Ned, who had obtained only temporary employment in the neighbourhood, took a sudden hatred toward his native district, and a rumour reaching his ears through the police that a somewhat similar man and child had been seen at a fair near London, he playing a violin, she dancing on stilts, a new interest in the capital took possession of Hipcroft with an intensity which would scarcely allow him time to pack before returning thither.	内德在附近只找到一份临时的工作。他突然对家乡产生了一种怨恨。他从警察那里听到传闻，说有人曾在伦敦附近的集市见过类似的男人和小孩，大人拉小提琴，小孩踩着高跷跳舞。于是，内德又对首都产生了极浓烈的新兴趣，几乎没怎么收拾就回去了。		
He did not, however, find the lost one, though he made it the entire business of his over-hours to stand about in by-streets in the hope of discovering her, and would start up in the night, saying, ‘That rascal’s torturing her to maintain him!’	然而，尽管他所有的空余时间都站在小巷附近，希望能够发现她，他还是没能找到孩子。晚上，他会突然惊起，说：“那个混蛋会折磨她，让她养活他！”		
 To which his wife would answer peevishly, ‘Don’t ’ee raft yourself so, Ned!	对此，他的妻子会暴躁地回应：“不要自寻烦恼，内德！		
You prevent my getting a bit o’ rest!	你就不能让我休息一会儿！		
He won’t hurt her!’ and fall asleep again.	他不会伤害她的！”然后再度入睡。		
That Carry and her father had emigrated to America was the general opinion; Mop, no doubt, finding the girl a highly desirable companion when he had trained her to keep him by her earnings as a dancer.	人们普遍认为，卡里和父亲已经移民美洲。毫无疑问，当“大拖把”训练好她，让她跳舞赚钱养活自己时，他发现她是个称心如意的伴侣。		
There, for that matter, they may be performing in some capacity now, though he must be an old scamp verging on threescore-and-ten, and she a woman of four-and-forty.	另外，他们在美洲的演艺事业或许已经小有成就，但他肯定是个快70的老流氓，而她也是个44岁的妇人了。		
May 1893,	1893年5月		

