"作者：弗吉尼亚·伍尔夫","by Virginia Woolf "
"所以他们返回了人类中最崇高的那个人那里。他是面向法官的罪人、暴露在高处的受害者、亡命之人、溺死的水手、不朽颂歌的诗作者、由生入死的上帝。塞普蒂默斯·沃伦·史密斯坐在天窗下的扶手椅上，凝视着布拉德肖女士穿宫廷服的照片，低声咕哝着关于美的言语。","So they returned to the most exalted of mankind; the criminal who faced his judges; the victim exposed on the heights; the fugitive; the drowned sailor; the poet of the immortal ode; the Lord who had gone from life to death; to Septimus Warren Smith, who sat in the arm-chair under the skylight staring at a photograph of Lady Bradshaw in Court dress, muttering messages about beauty."
"“我们略谈了一会。”威廉爵士说道。“他说你的病情十分十分严重。”雷齐娅高声说道。","“We have had our little talk,” said Sir William.“He says you are very, very ill,” Rezia cried."
"“我们准备安排你去一个休养院。”威廉爵士说道。“霍姆斯办的休养院中的一个吗？”塞普蒂默斯讥笑着。","“We have been arranging that you should go into a home,” said Sir William.“One of Holmes’s homes?” sneered Septimus."
"这个家伙留下的印象令人不愉快。因为威廉爵士之父是一个商人，他对教养与装扮有一种自然的敬重，衣衫不整会惹怒他。此外，更深层的原因是，威廉爵士从没时间阅读，对有教养的人有一种深埋心底的怨恨。那些人走进他的诊疗室，暗示医生并非是受到过教育的人，虽然这个职业需要才智超凡的人持续紧绷的精力。","The fellow made a distasteful impression.For there was in Sir William, whose father had been a tradesman, a natural respect for breeding and clothing, which shabbiness nettled; again, more profoundly, there was in Sir William, who had never had time for reading, a grudge, deeply buried, against cultivated people who came into his room and intimated that doctors, whose profession is a constant strain upon all the highest faculties, are not educated men."
"“是我的一个休养院，沃伦·史密斯先生。”他说，“我们将在那里教你如何休养。”","“One of MY homes, Mr. Warren Smith,” he said, “where we will teach you to rest.”"
"仅还有一桩事情了。","And there was just one thing more."
"他非常肯定沃伦·史密斯先生病好时，会是世上最不愿吓唬自己妻子的人。但他曾谈及自杀。","He was quite certain that when Mr. Warren Smith was well he was the last man in the world to frighten his wife.But he had talked of killing himself."
"“我们都有消沉的时刻。”威廉爵士说道。","“We all have our moments of depression,” said Sir William."
"一旦你堕落了，塞普蒂默斯自言自语重复道，人性就会把你攫住。霍姆斯和布拉德肖就会把你攫住。他们走遍沙漠去搜寻。他们尖啸着在荒漠中飞奔。他们用刑架和拇指夹来惩罚。人性冷酷无情。","Once you fall, Septimus repeated to himself, human nature is on you.Holmes and Bradshaw are on you.They scour the desert.They fly screaming into the wilderness.The rack and the thumbscrew are applied.Human nature is remorseless."
"“他有时会突然冲动吗？”威廉爵士问，他把铅笔放在粉红病历卡上。","“Impulses came upon him sometimes?”Sir William asked, with his pencil on a pink card."
"那是他本人的事，塞普蒂默斯回答。","That was his own affair, said Septimus."
"“没人只为自己而活。”威廉爵士说道，瞥了一下他妻子身着宫廷服的照片。","“Nobody lives for himself alone,” said Sir William, glancing at the photograph of his wife in Court dress."
"“你的前面还有光明的事业。”威廉爵士说道。布鲁尔先生的信放在桌上。“非常光明的事业。”","“And you have a brilliant career before you,” said Sir William.There was Mr. Brewer’s letter on the table.“An exceptionally brilliant career.”"
"但假如他忏悔呢？假如他说出想法呢？那么，他的折磨者们会饶过他吗？","But if he confessed?If he communicated?Would they let him off then, his torturers?"
"“我——我——”他结巴地说。","“I—I—” he stammered."
"但他的罪行是什么？他无法想起。","But what was his crime?He could not remember it."
"“什么？”威廉爵士鼓励他说。（但是时间渐渐晚了。）爱、树木、没有罪行——他想传达什么？他无法想起。","“Yes?” Sir William encouraged him.(But it was growing late.) Love, trees, there is no crime—what was his message?He could not remember it."
"“我——我——”塞普蒂默斯结巴地说。","“I—I—” Septimus stammered."
"“尽可能少想自己。”威廉爵士亲切地说。确实，他不宜四处走动。","“Try to think as little about yourself as possible,” said Sir William kindly.Really, he was not fit to be about."
"他们还有别的事想问他吗？威廉爵士会做好一切安排（他对雷齐娅小声说道），他会于那晚五六点钟之间告诉她的，他小声说。","Was there anything else they wished to ask him?Sir William would make all arrangements (he murmured to Rezia) and he would let her know between five and six that evening he murmured."
"“把一切都托付于我吧。”他说道，随后便打发他们走了。","“Trust everything to me,” he said, and dismissed them."
"雷齐娅的一生从未受过如此巨大的痛苦，从来没有！她请求帮助却为人所弃！他令他们失望！威廉·布拉德肖爵士并非一个友好的人。","Never, never had Rezia felt such agony in her life!She had asked for help and been deserted!He had failed them!Sir William Bradshaw was not a nice man."
"仅是那汽车的保养必定使他花销不菲，塞普蒂默斯说，此时他们已经出来走到了街上。","The upkeep of that motor car alone must cost him quite a lot, said Septimus, when they got out into the street."
"她抱紧他一只手臂。他们被遗弃了。","She clung to his arm.They had been deserted."
"可是她还想要什么呢？","But what more did she want?"
"他给病人的时间是三刻钟。假如在这门缜密的科学里，毕竟这是一个我们对之一无所知的领域——神经系统、人类大脑——一个医生丧失了平衡感，就是一个失败的医生。健康是我们肯定需要的，而健康就表示平衡。所以当有人进入你的诊疗室并称他就是基督（一个普遍的幻觉），还带来了启示，像他们大都有启示一样，并如他们经常所做的一样威胁要自杀，你就得采取平衡的方法，命令病人上床休息，独自休息，静养，休息时不会见朋友，不看书，不交流。修养六个月，直到以一百零五磅的体重进来的病人以一百六十八磅的重量出院。","To his patients he gave three-quarters of an hour; and if in this exacting science which has to do with what, after all, we know nothing about—the nervous system, the human brain—a doctor loses his sense of proportion, as a doctor he fails.Health we must have; and health is proportion; so that when a man comes into your room and says he is Christ (a common delusion), and has a message, as they mostly have, and threatens, as they often do, to kill himself, you invoke proportion; order rest in bed; rest in solitude; silence and rest; rest without friends, without books, without messages; six months’ rest; until a man who went in weighing seven stone six comes out weighing twelve."
"平衡，神圣的平衡，真是威廉爵士的女神。它来源于威廉爵士巡视医院，捕大马哈鱼，布拉德肖女士在哈利街生儿子等等的各种时刻。布拉德肖女士自己也要捕大马哈鱼，她拍摄的照片简直能与职业摄影师的作品匹敌。因为他尊崇平衡，威廉爵士不仅自己成功了，也使英国繁荣起来，隔离了英国的疯子，禁止生育，对悲观情绪予以惩罚，使不健全的人不能传播他们的观念，一直到他们也接纳他的平衡感——假如是男性，就接纳他的观念，假如是女性，就接纳布拉德肖女士的观念（她绣花、编织、一周七晚要花四晚在家陪儿子）。所以不仅是他的同事尊重他，下属惧怕他，而且患者的亲朋对他怀着最衷心的感激。因为他坚持这些预言世界末日、或基督显灵的男女基督预言家们，应遵循威廉爵士的命令躺在床上喝牛奶。威廉爵士有三十年诊治这类病例的经验，还有万无一失的直觉，这感觉，就是疯狂；其实，就是他的平衡感。","Proportion, divine proportion, Sir William’s goddess, was acquired by Sir William walking hospitals, catching salmon, begetting one son in Harley Street by Lady Bradshaw, who caught salmon herself and took photographs scarcely to be distinguished from the work of professionals.Worshipping proportion, Sir William not only prospered himself but made England prosper, secluded her lunatics, forbade childbirth, penalised despair, made it impossible for the unfit to propagate their views until they, too, shared his sense of proportion—his, if they were men, Lady Bradshaw’s if they were women (she embroidered, knitted, spent four nights out of seven at home with her son), so that not only did his colleagues respect him, his subordinates fear him, but the friends and relations of his patients felt for him the keenest gratitude for insisting that these prophetic Christs and Christesses, who prophesied the end of the world, or the advent of God, should drink milk in bed, as Sir William ordered; Sir William with his thirty years’ experience of these kinds of cases, and his infallible instinct, this is madness, this sense; in fact, his sense of proportion."
"不过平衡有个姊妹，不那么爱笑，更让人敬畏，是一个女神，即使此刻也忙于——在印度炎热的沙漠中，在非洲泥泞的沼泽地里，在伦敦的贫民窟内，简而言之，无论何处，只要是在气候或魔鬼诱使人们遗弃自身真实信念的地方——即使此刻也忙于冲毁神龛，打碎圣像而代之以她那严峻的表情。她的名字是信奉，她尽情吞噬弱者的意志，爱惹人注意，对人施压，崇拜自己印刻在民众脸上的容貌。她站在海德公园角的一个桶上传教。她身裹白衣，伪装出兄弟般仁爱的样子悔悟地走过工厂与议会。她提供帮助，但是渴求权力；粗暴地攻击异己或不服的人；恩赐那些仰视她，顺从地从她眼里看见自己的光明的人。这个女神（雷齐娅·沃伦·史密斯预言）还存在于威廉爵士的内心。虽然像大多时候一样，隐藏在某个似乎合理的伪装下，像某个受人尊重的名字，爱、职责、自我牺牲。他会多么努力地工作呀——多么努力地筹款，宣扬改革，兴建机构呀！然而信奉，这个挑剔的女神，喜欢血液胜过砖瓦，还甚为玄妙地尽情吞噬人类的意志。例如，布拉德肖女士。她十五年前已经俯首屈从了。你不能指出任何确切的例子。没有大吵大闹，没有厉声呵斥，唯有她的意志像浸透了水般逐渐消沉，与他的意志融为一体。她带着甜蜜的微笑，快速服从了。哈利街房屋里的晚餐有八九道菜，宴请十或十五位专业人士，她进展得很顺利，待客有礼。唯有晚上她流露出很轻微的呆滞表情，或可能是不安，神经紧张性地抽动，说话支吾、犹豫、慌乱，这些都表明那可怜的夫人撒了谎——要相信这些真是痛苦。曾经，很久以前，她自由地捕起大马哈鱼。现在，为尽快满足能使她丈夫的眼睛闪现出油腻腻光芒的追求控制、追求权力的欲望。她抽搐、挤压、克制、修剪自己，她退缩、窥探。因此，尽管她不明白到底什么导致了晚餐的不愉快，还让她有头昏脑胀的感觉，很可能缘于职业性的交谈，或者缘于那伟大的医生疲劳过度，布拉德肖女士说他的生命“不属于他自己，而属于他的病人”。晚餐总而言之就是使人不愉快。因此，钟声敲响十点的时候，宾客们甚至是满心狂喜吸入哈利街的空气。可是，这种解脱不是他的患者能享受到的。","But Proportion has a sister, less smiling, more formidable, a Goddess even now engaged—in the heat and sands of India, the mud and swamp of Africa, the purlieus of London, wherever in short the climate or the devil tempts men to fall from the true belief which is her own—is even now engaged in dashing down shrines, smashing idols, and setting up in their place her own stern countenance.Conversion is her name and she feasts on the wills of the weakly, loving to impress, to impose, adoring her own features stamped on the face of the populace.At Hyde Park Corner on a tub she stands preaching; shrouds herself in white and walks penitentially disguised as brotherly love through factories and parliaments; offers help, but desires power; smites out of her way roughly the dissentient, or dissatisfied; bestows her blessing on those who, looking upward, catch submissively from her eyes the light of their own.This lady too (Rezia Warren Smith divined it) had her dwelling in Sir William’s heart, though concealed, as she mostly is, under some plausible disguise; some venerable name; love, duty, self sacrifice.How he would work—how toil to raise funds, propagate reforms, initiate institutions!But conversion, fastidious Goddess, loves blood better than brick, and feasts most subtly on the human will.For example, Lady Bradshaw.Fifteen years ago she had gone under.It was nothing you could put your finger on; there had been no scene, no snap; only the slow sinking, water-logged, of her will into his.Sweet was her smile, swift her submission; dinner in Harley Street, numbering eight or nine courses, feeding ten or fifteen guests of the professional classes, was smooth and urbane.Only as the evening wore on a very slight dulness, or uneasiness perhaps, a nervous twitch, fumble, stumble and confusion indicated, what it was really painful to believe—that the poor lady lied.Once, long ago, she had caught salmon freely: now, quick to minister to the craving which lit her husband’s eye so oilily for dominion, for power, she cramped, squeezed, pared, pruned, drew back, peeped through; so that without knowing precisely what made the evening disagreeable, and caused this pressure on the top of the head (which might well be imputed to the professional conversation, or the fatigue of a great doctor whose life, Lady Bradshaw said, “is not his own but his patients’”) disagreeable it was: so that guests, when the clock struck ten, breathed in the air of Harley Street even with rapture; which relief, however, was denied to his patients."
"那间灰色的房间的墙上挂着画，房间内摆设着名贵家具。在磨砂玻璃的天窗之下，患者们了解了自身过错的严重程度。他们在扶手椅中缩成一团，注视着他为了他们的裨益运用手臂进行一种古怪的锻炼。他猛地伸出胳臂，又敏捷地收至臀部，为了证实（假如病人顽固不化）威廉爵士能够操控自己的行动，可病人不能。有些软弱者在诊疗室崩溃了，抽泣着，屈服了。其他人呢，天知道受了什么放纵的、疯狂的刺激，当面咒骂威廉爵士是一个可恶的骗子，甚至更加不恭敬地质疑生命本身。为何要活着？他们想知道。威廉爵士答复说因为生活很美好。对布拉德肖女士而言当然如此。她带着鸵鸟毛帽子拍的照片就悬挂在壁炉架上方。至于他的收入，一年能有一万两千来英镑呢。而对我们而言，病人抗议道，生活并没赋予这样的恩惠。威廉爵士勉强赞同。他们缺少平衡感。可能，归根到底，人间没有上帝吧？他耸耸肩。简而言之，活着还是死亡不是我们自己的事吗？但这一点上病人错了。威廉爵士有位朋友住在萨里，人们在那里教授一项威廉爵士坦率承认很难的艺术——平衡感。另外，还有家庭关怀、荣誉、勇气、以及辉煌的事业。威廉爵士是拥护这一切的坚定战士。假如这些令他失望，他只好支持警察和社会善意。威廉爵士非常平静地说，在萨里，这些力量负责控制反社会冲动行为。这些行动大多是由出身卑微导致的。然后那个女神就会从她的藏匿之处偷偷溜出来，坐上她的御座，她的欲望是镇压反抗，把自己的形象永不磨灭地印刻在别人的圣殿上。那些赤裸裸、不能自卫、疲惫不堪、无依无靠的人因此便对威廉爵士的意志留下了深刻的印象。他猛扑上去，狼吞虎咽。他把人关紧闭。正是这样的决心和人道的结合使威廉爵士如此受到他的受害者亲属的钟爱。","There in the grey room, with the pictures on the wall, and the valuable furniture, under the ground glass skylight, they learnt the extent of their transgressions; huddled up in arm-chairs, they watched him go through, for their benefit, a curious exercise with the arms, which he shot out, brought sharply back to his hip, to prove (if the patient was obstinate) that Sir William was master of his own actions, which the patient was not.There some weakly broke down; sobbed, submitted; others, inspired by Heaven knows what intemperate madness, called Sir William to his face a damnable humbug; questioned, even more impiously, life itself.Why live? they demanded.Sir William replied that life was good.Certainly Lady Bradshaw in ostrich feathers hung over the mantelpiece, and as for his income it was quite twelve thousand a year.But to us, they protested, life has given no such bounty.He acquiesced.They lacked a sense of proportion.And perhaps, after all, there is no God?He shrugged his shoulders.In short, this living or not living is an affair of our own?But there they were mistaken.Sir William had a friend in Surrey where they taught, what Sir William frankly admitted was a difficult art—a sense of proportion.There were, moreover, family affection; honour; courage; and a brilliant career.All of these had in Sir William a resolute champion.If they failed him, he had to support police and the good of society, which, he remarked very quietly, would take care, down in Surrey, that these unsocial impulses, bred more than anything by the lack of good blood, were held in control.And then stole out from her hiding-place and mounted her throne that Goddess whose lust is to override opposition, to stamp indelibly in the sanctuaries of others the image of herself.Naked, defenceless, the exhausted, the friendless received the impress of Sir William’s will.He swooped; he devoured.He shut people up.It was this combination of decision and humanity that endeared Sir William so greatly to the relations of his victims."
"但雷齐娅·沃伦·史密斯在哈利街上前行时喊道，她并不喜欢那个人。","But Rezia Warren Smith cried, walking down Harley Street, that she did not like that man."
"哈利街上的钟声蚕食着六月的这一天，将其切条成片，分了再分，在劝人屈服、拥护权威，齐鸣宣告平衡感至高无上的优越性，直到大量的报时声减弱到只剩下悬挂在牛津街一家商店上头的广告钟温柔友好地鸣响一点半的钟声，似乎里格比先生和郎兹先生乐意无偿提供时讯。","Shredding and slicing, dividing and subdividing, the clocks of Harley Street nibbled at the June day, counselled submission, upheld authority, and pointed out in chorus the supreme advantages of a sense of proportion, until the mound of time was so far diminished that a commercial clock, suspended above a shop in Oxford Street, announced, genially and fraternally, as if it were a pleasure to Messrs. Rigby and Lowndes to give the information gratis, that it was half-past one."
"向上望去，看来里格比与郎兹的每个字母都表示一个时刻。潜意识里人们对里格比与郎兹提供格林威治认可的标准时间心怀感激。此种感激（休·惠特布雷德在那家商店的橱窗前闲逛时，心里就是这么想的）自然会在此后形成人们去里格比与郎兹商店买鞋袜的现象。他就是这么想的。他习惯如此。他不会深刻地思考。他只是轻触表面，废弃的语言、正在使用的语言、君士坦丁堡、巴黎、罗马的生活、骑马、射猎、网球，都是他一度所爱。心存不良的人宣称他如今在白金汉宫做守卫，身穿丝袜与及膝短裤，看守什么也无人知晓。可他极其称职。他已经在英国上层社会虚度了五十五年。他结识过一些首相。据了解，他对他们感情颇深。要是那时他真的没投身过任何重大运动，也没有担当重要职位，那有一两次的温和改革应算是他的功劳：一是改善公共避难所；一是对诺福克的猫头鹰的保护。女佣们有充分的理由感激他。他给《泰晤士报》写过一些信，请求筹款，呼吁大众维护公益，保护环境，清除垃圾，减少烟雾，禁止公园内不雅行为，那些信末尾他的署名令人敬重。","Looking up, it appeared that each letter of their names stood for one of the hours; subconsciously one was grateful to Rigby and Lowndes for giving one time ratified by Greenwich; and this gratitude (so Hugh Whitbread ruminated, dallying there in front of the shop window), naturally took the form later of buying off Rigby and Lowndes socks or shoes.So he ruminated.It was his habit.He did not go deeply.He brushed surfaces; the dead languages, the living, life in Constantinople, Paris, Rome; riding, shooting, tennis, it had been once.The malicious asserted that he now kept guard at Buckingham Palace, dressed in silk stockings and knee-breeches, over what nobody knew.But he did it extremely efficiently.He had been afloat on the cream of English society for fifty-five years.He had known Prime Ministers.His affections were understood to be deep.And if it were true that he had not taken part in any of the great movements of the time or held important office, one or two humble reforms stood to his credit; an improvement in public shelters was one; the protection of owls in Norfolk another; servant girls had reason to be grateful to him; and his name at the end of letters to the @Times@, asking for funds, appealing to the public to protect, to preserve, to clear up litter, to abate smoke, and stamp out immorality in parks, commanded respect."
"他形象尚佳，在商店橱窗前逗留了一会儿（一点半的钟声逐渐消逝），批判地、权威地注视着那些鞋袜。他无可挑剔，衣着很得体，家境富裕，似乎他居高临下俯瞰着世界。不过他认识到了拥有能力、财富、健康需要履行的责任，于是尽管在不是完全必要的时候，他也谨慎地遵守细微的礼节、老式的客套，这些使得他仪态优雅，是人们效仿的对象，使人们牢记。例如，他与相识二十年的布鲁顿女士共进午餐时，总会伸出手献上一束康乃馨，还会问候布鲁顿女士的秘书布拉什小姐在南非的那位兄弟的近况，不知什么缘故，布拉什小姐身上虽然没有一点女性的特质，却对他的话感到相当愤怒，说道：“谢谢你了，他在南非过得很好。”而那六年里，他在朴茨茅斯处境悲惨。","A magnificent figure he cut too, pausing for a moment (as the sound of the half hour died away) to look critically, magisterially, at socks and shoes; impeccable, substantial, as if he beheld the world from a certain eminence, and dressed to match; but realised the obligations which size, wealth, health, entail, and observed punctiliously even when not absolutely necessary, little courtesies, old-fashioned ceremonies which gave a quality to his manner, something to imitate, something to remember him by, for he would never lunch, for example, with Lady Bruton, whom he had known these twenty years, without bringing her in his outstretched hand a bunch of carnations and asking Miss Brush, Lady Bruton’s secretary, after her brother in South Africa, which, for some reason, Miss Brush, deficient though she was in every attribute of female charm, so much resented that she said “Thank you, he’s doing very well in South Africa,” when, for half a dozen years, he had been doing badly in Portsmouth."
"布鲁顿女士自己偏爱理查德·达洛维，他接下来就到了。实际上他们是在门前台阶上相遇的。","Lady Bruton herself preferred Richard Dalloway, who arrived at the next moment.Indeed they met on the doorstep."
"布鲁顿女士自然是偏爱理查德·达洛维。他这块材料更好。但她不愿让他们诽谤她可怜的亲爱的休。她决不会忘却他的善良——他是真正出奇善良的人——她想不起到底是在什么场合。可他真是——出奇的善良。无论如何，一个人与另一个人的差别没什么了不起。她从未看出剖析人的意义是什么，像克拉丽莎·达洛维那样——把人切割开，又缝起来。无论如何，对六十二岁的人来说，是没有意义的。她接过休递来的康乃馨，棱角分明的脸上带着冷酷的笑容。没别的人要来了，她说道。她是找借口要他们来这里的，以帮助她走出困难——","Lady Bruton preferred Richard Dalloway of course.He was made of much finer material.But she wouldn’t let them run down her poor dear Hugh.She could never forget his kindness—he had been really remarkably kind—she forgot precisely upon what occasion.But he had been—remarkably kind.Anyhow, the difference between one man and another does not amount to much.She had never seen the sense of cutting people up, as Clarissa Dalloway did—cutting them up and sticking them together again; not at any rate when one was sixty-two.She took Hugh’s carnations with her angular grim smile.There was nobody else coming, she said.She had got them there on false pretences, to help her out of a difficulty—"
"“但是我们先吃了再说。”她说道。","“But let us eat first,” she said."
"然后，穿围裙、戴白帽的侍女们安静而优雅地进进出出于旋转门。这群女仆非平日所需，却擅长帮助梅费尔区的主妇们于一点半至两点钟之间演出的神秘剧或大骗局剧。挥手之间，交通停止，取而代之的是深深的幻觉，一开始有关食物——说是不用付费；随后桌子像是主动摆好了玻璃杯、银餐具、小块衬垫、盛红果的浅碟、涂了薄薄一层褐色奶油的大比目鱼，砂锅中浮着鸡块，火焰燃得五彩缤纷，非家常炉火可比，而酒与咖啡（不用付费）在冥想的眼睛面前升起愉悦的幻象，那是温柔好奇的眼睛，那是感到生活优美悦耳、神秘莫测的眼睛。此刻，那闪亮的眼睛和善地欣赏着布鲁顿女士放在碟子边的红色康乃馨的美（布鲁顿女士的动作总是有棱有角）。休·惠特布雷德觉得自身与整个宇宙处于和谐状态，与此同时对自身的地位十分有把握，因此便放下餐叉，说道：","And so there began a soundless and exquisite passing to and fro through swing doors of aproned white-capped maids, handmaidens not of necessity, but adepts in a mystery or grand deception practised by hostesses in Mayfair from one-thirty to two, when, with a wave of the hand, the traffic ceases, and there rises instead this profound illusion in the first place about the food—how it is not paid for; and then that the table spreads itself voluntarily with glass and silver, little mats, saucers of red fruit; films of brown cream mask turbot; in casseroles severed chickens swim; coloured, undomestic, the fire burns; and with the wine and the coffee (not paid for) rise jocund visions before musing eyes; gently speculative eyes; eyes to whom life appears musical, mysterious; eyes now kindled to observe genially the beauty of the red carnations which Lady Bruton (whose movements were always angular) had laid beside her plate, so that Hugh Whitbread, feeling at peace with the entire universe and at the same time completely sure of his standing, said, resting his fork, "
"“那花朵要是衬着你的蕾丝不是很好看吗？”","“Wouldn’t they look charming against your lace?”"
"布拉什小姐极端痛恨这种套近乎。她觉得他是一个没教养的家伙。她的想法令布鲁顿女士发笑。","Miss Brush resented this familiarity intensely.She thought him an underbred fellow.She made Lady Bruton laugh."
"布鲁顿女士拿起康乃馨，颇为呆板地握在手里，几乎与她身后画像上握着卷轴的将军的姿势一样。她依然不动弹，神情恍惚。那么她是谁，是将军的曾孙女吗？还是玄孙女？理查德·达洛维问自己。罗德里克爵士、迈尔斯爵士、塔尔博特爵士——正是。不同寻常的是那个家族的女人继承了先辈的面容。她自己本该当龙骑士的将领。而理查德会很高兴在她麾下服役。他对她无比尊重，对那些出身名门望族、家境殷实的老妇人怀有浪漫的情愫。而且以他那愉悦的禀性，他会喜欢带几个他熟悉的鲁莽青年与她一起吃午饭，好像她这样的女士可以从和蔼可亲的、喜欢喝茶的人中培育出来一样！他了解她的家乡。他懂得她的亲人。她家乡有棵葡萄架，还结果呢，是洛夫莱斯还是赫里克——她本人从未诵读过一句诗，这个故事却留传下来——曾经坐在葡萄架下。最好还是等一会儿向他们提出那个烦扰她的问题（是有关呼吁大众的事情，假如要提的话，怎么说呢），最好还是一直等到他们喝过咖啡吧，布鲁顿女士想着。她把那束康乃馨搁在自己的碟子边。","Lady Bruton raised the carnations, holding them rather stiffly with much the same attitude with which the General held the scroll in the picture behind her; she remained fixed, tranced.Which was she now, the General’s great-grand-daughter?great-great-grand-daughter?Richard Dalloway asked himself.Sir Roderick, Sir Miles, Sir Talbot—that was it.It was remarkable how in that family the likeness persisted in the women.She should have been a general of dragoons herself.And Richard would have served under her, cheerfully; he had the greatest respect for her; he cherished these romantic views about well-set-up old women of pedigree, and would have liked, in his good-humoured way, to bring some young hot-heads of his acquaintance to lunch with her; as if a type like hers could be bred of amiable tea-drinking enthusiasts!He knew her country.He knew her people.There was a vine, still bearing, which either Lovelace or Herrick—she never read a word poetry of herself, but so the story ran—had sat under.Better wait to put before them the question that bothered her (about making an appeal to the public; if so, in what terms and so on), better wait until they have had their coffee, Lady Bruton thought; and so laid the carnations down beside her plate."
"“克拉丽莎怎么样了？”她唐突地问。","“How’s Clarissa?” she asked abruptly."
"克拉丽莎总说布鲁顿女士不喜欢她。实际上，布鲁顿女士有这样的名声：她对政治的兴趣胜过对人的兴趣。她说话像个男人。插手过八十年代某桩声名狼藉的阴谋诡计，现在这桩事在回忆录里开始被提到。可以肯定的是，在她的客厅中有个凹室，凹室里有张桌子，上面放着一张已故将军塔尔博特·穆尔爵士的照片。就在这张桌上（八十年代的一天夜里），有布鲁顿女士在场的情况下，在她知道的情况下（可能还提了点建议），那将军写下一封电报下令英国军队在某个历史时刻前进。（她保存了那支笔，并告诉人们这件事。）于是，当她唐突地问道“克拉丽莎怎么样了”时，丈夫们难以说服自己的妻子相信她会关心女士，而实际上，不管他们对她多么忠诚，私下里也在怀疑。女士们常阻碍她们的丈夫，不准他们担当国外的职位。议会开会中途她们患上流感，丈夫们只好陪她们去海边养病。然而女士们准确无误地知道她的嘘寒问暖“克拉丽莎怎么样了”来自于一个对她们有善意祝愿的人，来自于一位几乎无声的朋友。她的言语（在整个生命历程中可能只有六次）表示她认可某种女性之间姐妹似的情分，这比宴请男人参加午宴更深刻。她用一条奇特的纽带联结了布鲁顿女士与达洛维夫人，她俩难得相见，而且真的遇到时也都很漠然，甚至敌视对方。","Clarissa always said that Lady Bruton did not like her.Indeed, Lady Bruton had the reputation of being more interested in politics than people; of talking like a man; of having had a finger in some notorious intrigue of the eighties, which was now beginning to be mentioned in memoirs.Certainly there was an alcove in her drawing-room, and a table in that alcove, and a photograph upon that table of General Sir Talbot Moore, now deceased, who had written there (one evening in the eighties) in Lady Bruton’s presence, with her cognisance, perhaps advice, a telegram ordering the British troops to advance upon an historical occasion.(She kept the pen and told the story.) Thus, when she said in her offhand way “How’s Clarissa?” husbands had difficulty in persuading their wives and indeed, however devoted, were secretly doubtful themselves, of her interest in women who often got in their husbands’ way, prevented them from accepting posts abroad, and had to be taken to the seaside in the middle of the session to recover from influenza.Nevertheless her inquiry, “How’s Clarissa?” was known by women infallibly, to be a signal from a well-wisher, from an almost silent companion, whose utterances (half a dozen perhaps in the course of a lifetime) signified recognition of some feminine comradeship which went beneath masculine lunch parties and united Lady Bruton and Mrs. Dalloway, who seldom met, and appeared when they did meet indifferent and even hostile, in a singular bond."
"“我今天早晨在公园里遇到了克拉丽莎。”休·惠特布雷德说道，一边在砂锅里猛吃，急切地用这小菜犒劳自己，因为他只要一来伦敦就立即会遇见所有人。但是他真贪吃，米利·布拉什小姐想，这是她所认识的最贪吃的人中的一个。布拉什小姐带着坚定的公正态度观察男人，能永远保持着忠诚，尤其是对与自己同性别的人。尽管她本人皮肤有疙瘩，有擦伤，瘦骨嶙峋，毫无女性的风韵。","“I met Clarissa in the Park this morning,” said Hugh Whitbread, diving into the casserole, anxious to pay himself this little tribute, for he had only to come to London and he met everybody at once; but greedy, one of the greediest men she had ever known, Milly Brush thought, who observed men with unflinching rectitude, and was capable of everlasting devotion, to her own sex in particular, being knobbed, scraped, angular, and entirely without feminine charm."
"“你知道谁到伦敦了吗？”布鲁顿女士说道，突然想起了她。“咱们的故交，彼得·沃尔什。”","“D’you know who’s in town?” said Lady Bruton suddenly bethinking her.“Our old friend, Peter Walsh.”"
"他们都笑了。是彼得·沃尔什！达洛维先生真的感到高兴，米利·布拉什想着。而惠特布雷德先生只关心自己的鸡块。","They all smiled.Peter Walsh!And Mr. Dalloway was genuinely glad, Milly Brush thought; and Mr. Whitbread thought only of his chicken."
"是彼得·沃尔什！一共三位，布鲁顿女士、休·惠特布雷德以及理查德·达洛维，都想起同样的往事——彼得是怎样热烈地恋爱、遭到拒绝、去了印度，一败涂地，生活一团糟。理查德·达洛维却还对那亲爱的老伙伴极其喜爱。米利·布拉什看出这一点。她在他褐色眼睛中看到深情，看到了他的犹豫不决、思前想后，这激发了她的兴致。其实达洛维先生一直就吸引着她，她想知道，他是怎么看待彼得·沃尔什的？在想，彼得·沃尔什曾爱过克拉丽莎，他午宴后会径直回去找克拉丽莎，他要明明白白地告诉她，他爱着她。是的，他会那样说。","Peter Walsh!All three, Lady Bruton, Hugh Whitbread, and Richard Dalloway, remembered the same thing—how passionately Peter had been in love; been rejected; gone to India; come a cropper; made a mess of things; and Richard Dalloway had a very great liking for the dear old fellow too.Milly Brush saw that; saw a depth in the brown of his eyes; saw him hesitate; consider; which interested her, as Mr. Dalloway always interested her, for what was he thinking, she wondered, about Peter Walsh?That Peter Walsh had been in love with Clarissa; that he would go back directly after lunch and find Clarissa; that he would tell her, in so many words, that he loved her.Yes, he would say that."
