"第一章 唯一的幸存者","CHAPTER I THERE IS NO ONE LEFT"
"“你想活下来吗？”玛丽询问道。","“Do you want to live?” inquired Mary."
"“不想。”他回答道，一副乖戾、疲倦的样子，“但我不想死。我觉得不舒服的时候就会躺在这里，想着这事儿，然后就开始哭啊哭。”","“No,” he answered, in a cross, tired fashion.“But I don’t want to die.When I feel ill I lie here and think about it until I cry and cry.”"
"“我听到你哭三次了。”玛丽说，“但我不知道是谁。你是为这事儿哭吗？”她的确太想让他忘记那花园了。","“I have heard you crying three times,” Mary said, “but I did not know who it was.Were you crying about that?”She did so want him to forget the garden."
"“我敢说是的。”他回答道，“让我们说点儿别的。说说那花园。你不想看看那花园吗？”","“I dare say,” he answered.“Let us talk about something else.Talk about that garden.Don’t you want to see it?”"
"“想。”玛丽回答道，声音非常低。","“Yes,” answered Mary, in quite a low voice."
"“我想。”他很固执地继续，“我以前从没真的想去看些什么，但我想看看那个花园。我想把钥匙挖出来。我想把门打开。我可以让他们把我用椅子抬过去。这也是呼吸新鲜空气。我打算让他们把门打开。”","“I do,” he went on persistently.“I don’t think I ever really wanted to see anything before, but I want to see that garden.I want the key dug up.I want the door unlocked.I would let them take me there in my chair.That would be getting fresh air.I am going to make them open the door.”"
"他已经变得非常激动，他奇怪的眼睛开始像星星一样闪烁，看起来更加深邃了。","He had become quite excited and his strange eyes began to shine like stars and looked more immense than ever."
"“他们必须取悦我。”他说，“我会让他们带我去那儿，我也让你去。”","“They have to please me,” he said.“I will make them take me there and I will let you go, too.”"
"玛丽双手紧握。一切都会毁掉的——所有的一切！迪肯永远不会回来了。她永远也不会像在米瑟斯韦特旷野上有个安全隐藏的窝的画眉鸟那样感到安全了。","Mary’s hands clutched each other.Everything would be spoiled—everything!Dickon would never come back.She would never again feel like a missel thrush with a safe-hidden nest."
"“噢，不要——不要——不要那么做！”她喊了出来。","“Oh, don’t—don’t—don’t—don’t do that!” she cried out."
"他盯着她，好像觉得她发疯了一样。","He stared as if he thought she had gone crazy!"
"“为什么？”他呼喊，“你说过你想看它的。”","“Why?” he exclaimed.“You said you wanted to see it.”"
"“我是想。”她几乎喉头哽咽地回答道，“但如果你让他们打开门，那样把你带进去，那就永远不是秘密了。”","“I do,” she answered almost with a sob in her throat, “but if you make them open the door and take you in like that it will never be a secret again.”"
"他又往前倾了一些。","He leaned still farther forward."
"“一个秘密。”他说，“你什么意思？告诉我。”","“A secret,” he said. “What do you mean? Tell me.”"
"玛丽几乎是跌跌撞撞地说着。","Mary’s words almost tumbled over one another."
"“你看——你看，”她喘着气，“如果除了我们没人知道——如果有一个门隐藏在常春藤下面某个地方——假使有——并且我们能找得到；如果我们能一起从那门溜进去，把门在身后关上，没人知道有人在里面，我们可以把它叫做我们的花园，可以假装——假装我们是米瑟斯韦特旷野上的画眉鸟，那里是我们的巢穴，如果我们整天在那里玩耍，挖土种种籽，让一切都活起来——”","“You see—you see,” she panted, “if no one knows but ourselves—if there was a door, hidden somewhere under the ivy—if there was—and we could find it; and if we could slip through it together and shut it behind us, and no one knew any one was inside and we called it our garden and pretended that—that we were missel thrushes and it was our nest, and if we played there almost every day and dug and planted seeds and made it all come alive—”"
"“它死了吗？”柯林打断了玛丽。","“Is it dead?” he interrupted her."
"“要是没人照料，它很快就会死掉的。”她继续说，“球茎能活下来，但玫瑰——”","“It soon will be if no one cares for it,” she went on.“The bulbs will live but the roses—”"
"他又一次打断了玛丽，就跟玛丽自己最初一样激动。","He stopped her again as excited as she was herself."
"“球茎是什么？”他快速插话。","“What are bulbs?” he put in quickly."
"“是水仙、百合、和雪花莲。它们现在就在土里生长着——冒出暗绿色的小点儿，因为春天快来了。”","“They are daffodils and lilies and snowdrops.They are working in the earth now—pushing up pale green points because the spring is coming.”"
"“春天快来了吗？”他问，“春天是什么样子？生病在屋子里看不到。”","“Is the spring coming?” he said.“What is it like?You don’t see it in rooms if you are ill.”"
"“春天就是太阳照进雨水，雨水落在阳光里，植物往出冒，在地下生长。”玛丽回答说，“如果这花园能保密，我们能进去，我们就能看着植物一天天长大，看有多少玫瑰还活着。你不明白吗？噢，你还不明白如果这是个秘密该有多好？”","“It is the sun shining on the rain and the rain falling on the sunshine, and things pushing up and working under the earth,” said Mary.“If the garden was a secret and we could get into it we could watch the things grow bigger every day, and see how many roses are alive.Don’t you see?Oh, don’t you see how much nicer it would be if it was a secret?”"
"他跌回枕头里，躺在那里，脸上表情古怪。","He dropped back on his pillow and lay there with an odd expression on his face."
"“我从来没有秘密。”他说，“除了知道我自己活不到长大。他们不知道我知道，所以这也算是个秘密吧。但我更喜欢这种秘密。”","“I never had a secret,” he said, “except that one about not living to grow up.They don’t know I know that, so it is a sort of secret.But I like this kind better.”"
"“如果你不让他们带你去那个花园，”玛丽央求道，“也许——我几乎可以肯定我总有一天能找到进去的办法。到那时——如果医生想让你坐在椅子里去户外，并且你总能做自己想做的，也许——也许我们能找个男孩儿推你，我们单独去那里，这样那里就可以永远是个秘密花园了。”","“If you won’t make them take you to the garden,” pleaded Mary, “perhaps—I feel almost sure I can find out how to get in sometime.And then—if the doctor wants you to go out in your chair, and if you can always do what you want to do, perhaps—perhaps we might find some boy who would push you, and we could go alone and it would always be a secret garden.”"
"“我应该——喜欢——那样。”他说得非常慢，眼睛看起来很朦胧，“我应该喜欢那样。我应该不介意在秘密花园里呼吸新鲜空气。”","“I should—like—that,” he said very slowly, his eyes looking dreamy.“I should like that.I should not mind fresh air in a secret garden.”"
"玛丽喘过一口气，觉得安全了些。看来他也中意保守秘密。她几乎可以肯定，如果她继续说下去，让他在脑海里看到自己看到的那个花园，他会非常喜欢它，决不能忍受随便什么人都能想进去就进去践踏它了。","Mary began to recover her breath and feel safer because the idea of keeping the secret seemed to please him.She felt almost sure that if she kept on talking and could make him see the garden in his mind as she had seen it he would like it so much that he could not bear to think that everybody might tramp in to it when they chose."
"“我来给你讲讲我觉得它会是什么样子的，如果我们能进去的话。”她说，“它已经被锁了那么久，东西或许已经都打结在一起了。”","“I’ll tell you what I think it would be like, if we could go into it,” she said.“It has been shut up so long things have grown into a tangle perhaps.”"
"他静静地躺着，听玛丽讲那些玫瑰。玫瑰或许已经费力地从一棵树爬到另一棵，垂挂下来——有很多鸟或许已经在那里筑巢了，因为那里很安全。接下来，她给他讲知更鸟和本·韦瑟斯达夫。关于知更鸟有很多可讲的，讲它也容易又安全，所以玛丽渐渐不害怕了。知更鸟的故事让柯林很是开心，他笑了，甚至看起来都英俊了起来。起初玛丽曾认为柯林比自己长得还要平凡，大眼睛、浓密的卷发。","He lay quite still and listened while she went on talking about the roses which might have clambered from tree to tree and hung down—about the many birds which might have built their nests there because it was so safe.And then she told him about the robin and Ben Weatherstaff, and there was so much to tell about the robin and it was so easy and safe to talk about it that she ceased to be afraid.The robin pleased him so much that he smiled until he looked almost beautiful, and at first Mary had thought that he was even plainer than herself, with his big eyes and heavy locks of hair."
"“我从不知道鸟儿还可以这样。”他说，“但如果你呆在屋子里，你永远看不到这些。你知道的可真多。我觉得你好像已经进去过那花园一样。”","“I did not know birds could be like that,” he said.“But if you stay in a room you never see things.What a lot of things you know.I feel as if you had been inside that garden.”"
"她不知道该说些什么，所以就什么也没说。很显然，他并不期待回答。下一刻他让玛丽吃了一惊。","She did not know what to say, so she did not say anything.He evidently did not expect an answer and the next moment he gave her a surprise."
"“我打算让你看样东西。”他说，“你看到墙上炉台上方挂着的那玫瑰色的丝质窗帘了吗？”","“I am going to let you look at something,” he said.“Do you see that rose-colored silk curtain hanging on the wall over the mantel-piece?”"
"玛丽原先没有注意到，但她现在抬头看到了。那是个柔软的丝质窗帘，挂在似乎是什么画上。","Mary had not noticed it before, but she looked up and saw it.It was a curtain of soft silk hanging over what seemed to be some picture."
"“看到了。”她回答。","“Yes,” she answered."
"“那上面挂着个细绳儿。”柯林说，“过去拉一下。”","“There is a cord hanging from it,” said Colin.“Go and pull it.”"
"玛丽很困惑。她站起来找到了那根绳子。她拉了一下那绳子，丝帘绕着环往上卷，一直卷，直到露出一幅画。那是一个微笑的小女孩儿的画像。她明亮的头发用蓝色丝带系着，欢乐可爱的眼睛跟柯林那不开心的眼睛简直一模一样，玛瑙灰，由于周围一圈有黑色睫毛，看起来足足有实际的两倍那么大。","Mary got up, much mystified, and found the cord.When she pulled it the silk curtain ran back on rings and when it ran back it uncovered a picture.It was the picture of a girl with a laughing face.She had bright hair tied up with a blue ribbon and her gay, lovely eyes were exactly like Colin’s unhappy ones, agate gray and looking twice as big as they really were because of the black lashes all round them."
"“她是我妈妈。”柯林抱怨地说，“我不知道为什么她要死。有时候我恨她为什么死了。”","“She is my mother,” said Colin complainingly.“I don’t see why she died.Sometimes I hate her for doing it.”"
"“好奇怪！”玛丽说。","“How queer!” said Mary."
"“如果她还活着，我相信我也不会一直生病。”他抱怨着，“我保证我也能活下来。我爸爸也不会讨厌看到我了。我保证我也会有个强壮的后背。把帘子拉回去吧。”","“If she had lived I believe I should not have been ill always,” he grumbled.“I dare say I should have lived, too.And my father would not have hated to look at me.I dare say I should have had a strong back.Draw the curtain again.”"
"玛丽照做了，然后回到脚凳旁。","Mary did as she was told and returned to her footstool."
"“她比你漂亮多了。”她说，“但她的眼睛和你一模一样——至少形状和颜色是一样的。为什么用帘子盖着她的画像？”","“She is much prettier than you,” she said, “but her eyes are just like yours—at least they are the same shape and color.Why is the curtain drawn over her?”"
"他不舒服地移动了一下。","He moved uncomfortably."
"“我让他们这么做的。”他说，“有时候我不喜欢看到她看着我。我生病难过的时候她笑得太多了。另外，她是我的，我不想让随便什么人都能看到她。”有几刻沉默，然后玛丽开口道。","“I made them do it,” he said.“Sometimes I don’t like to see her looking at me.She smiles too much when I am ill and miserable.Besides, she is mine and I don’t want everyone to see her.”There were a few moments of silence and then Mary spoke."
"“如果梅德洛克太太发现我来过这里，她会怎么做？”她询问。","“What would Mrs. Medlock do if she found out that I had been here?” she inquired."
"“她会照我的指示办。”他回答道，“我会告诉她我想让你每天来和我聊天。我高兴你来了。”","“She would do as I told her to do,” he answered.“And I should tell her that I wanted you to come here and talk to me every day.I am glad you came.”"
"“我也是。”玛丽说，“我会尽量常来，但”——她犹豫了一下——“我得天天去找那花园的门。”","“So am I,” said Mary.“I will come as often as I can, but”—she hesitated—“I shall have to look every day for the garden door.”"
"“是，你必须去。”柯林说，“这样以后你就能告诉我了。”","“Yes, you must,” said Colin, “and you can tell me about it afterward.”"
"他躺在那里想了几分钟，正如他以前所做，然后他又开口了。","He lay thinking a few minutes, as he had done before, and then he spoke again."
"“我觉得你也必须是个秘密。”他说，“除非他们发现，我是不会告诉他们的。我可以常常把护士支开，说我想一个人呆着。你认识玛莎吗？”","“I think you shall be a secret, too,” he said.“I will not tell them until they find out.I can always send the nurse out of the room and say that I want to be by myself.Do you know Martha?”"
"“我认识，我和她很熟。”玛丽说，“她服侍我。”","“Yes, I know her very well,” said Mary.“She waits on me.”"
"他朝外面的走廊点了点头。","He nodded his head toward the outer corridor."
"“她就睡在另一间房里。护士昨天走了，晚上要和她姐姐过夜。每次她外出的时候，就让玛莎照顾我。玛莎会告诉你什么时候过来。”","“She is the one who is asleep in the other room.The nurse went away yesterday to stay all night with her sister and she always makes Martha attend to me when she wants to go out.Martha shall tell you when to come here.”"
"此刻玛丽明白为什么她问起这哭声的时候，玛莎总是面露难色了。","Then Mary understood Martha’s troubled look when she had asked questions about the crying."
"“玛莎一直都知道你？”她问。","“Martha knew about you all the time?” she said."
"“是的，她常常服侍我。护士喜欢离开，那时玛莎就会过来。”","“Yes; she often attends to me.The nurse likes to get away from me and then Martha comes.”"
"“我已经来了很久了。”玛丽说，“我该走了吧。我看你眼睛打架了。”","“I have been here a long time,” said Mary.“Shall I go away now?Your eyes look sleepy.”"
"“我希望我可以在你走之前睡着。”他非常害羞地说道。","“I wish I could go to sleep before you leave me,” he said rather shyly."
"“闭上眼睛。”玛丽说，把脚凳拉近了些，“我会做我在印度的时候奶妈做的事情。我会拍你的手、抚摸着、低低地唱歌。”","“Shut your eyes,” said Mary, drawing her footstool closer, “and I will do what my Ayah used to do in India.I will pat your hand and stroke it and sing something quite low.”"
"“也许我会喜欢那样。”他昏昏欲睡地说。","“I should like that perhaps,” he said drowsily."
"不知怎么的，她可怜他，不想让他醒着躺在那里。她倾身靠着床，开始拍打抚摸他的手，吟唱一首很低的印度语歌谣。","Somehow she was sorry for him and did not want him to lie awake, so she leaned against the bed and began to stroke and pat his hand and sing a very low little chanting song in Hindustani."
"“很好听。”他说，更加困倦了。她继续吟唱、抚摸，然而她再看他时，他黑色的睫毛已经紧贴在脸颊，因为他眼睛已经闭上，睡熟了。于是她轻轻起身，拿着蜡烛，没有半点声响地溜走了。","“That is nice,” he said more drowsily still, and she went on chanting and stroking, but when she looked at him again his black lashes were lying close against his cheeks, for his eyes were shut and he was fast asleep.So she got up softly, took her candle and crept away without making a sound."
"第十四章 小王爷","CHAPTER XIV A YOUNG RAJAH"
"清晨到来时，整个旷野都笼罩在暮霭里。雨还在下个不停。外出泡汤了。玛莎忙碌着，玛丽都找不到机会跟她说话。不过下午的时候，玛丽叫她来幼儿室跟她一起坐坐。她来的时候带来了她没事做的时候总是在织的袜子。","The moor was hidden in mist when the morning came, and the rain had not stopped pouring down.There could be no going out of doors.Martha was so busy that Mary had no opportunity of talking to her, but in the afternoon she asked her to come and sit with her in the nursery.She came bringing the stocking she was always knitting when she was doing nothing else."
"“你怎么了？”两人一坐下来玛莎就问道，“你好像有事情要讲。”","“What’s the matter with thee?” she asked as soon as they sat down.“Tha’ looks as if tha’d somethin’ to say.”"
"“我是有事情。我查出那哭声是怎么回事儿了。”玛丽说。","“I have.I have found out what the crying was,” said Mary."
"玛莎任由针线活儿落在膝盖上，她盯着玛丽，目瞪口呆。","Martha let her knitting drop on her knee and gazed at her with startled eyes."
"“你不可能！”她惊呼，“绝不可能！”","“Tha’ hasn’t!” she exclaimed.“Never!”"
"“我晚上听到了。”玛丽继续说，“所以我就起来去看看那声音来自哪里。是柯林。我找到他了。”","“I heard it in the night,” Mary went on.“And I got up and went to see where it came from.It was Colin.I found him.”"
"玛莎的脸惊恐得变红了。","Martha’s face became red with fright."
"“啊！玛丽小姐！”她半哭着说，“你不应该那么做——你不应该！这会给我带来麻烦的。我从没跟你讲过他的事情——但你会给我带来麻烦的。我一定会丢掉工作的，我妈妈怎么办啊！”","“Eh! Miss Mary!” she said half crying.“Tha’ shouldn’t have done it—tha’ shouldn’t!Tha’ll get me in trouble.I never told thee nothin’ about him—but tha’ll get me in trouble.I shall lose my place and what’ll mother do!”"
"“你不会丢掉工作的。”玛丽说，“他很高兴我去。我们聊天了，他说他很高兴我去了。”","“You won’t lose your place,” said Mary.“He was glad I came.We talked and talked and he said he was glad I came.”"
"“他高兴吗？”玛莎叫道，“你肯定？你是不知道他被惹怒的时候是什么样子。他是个大小伙子了，哭起来像个婴儿。但他发起火来那尖利的声音能吓到我们。他知道我们不敢随心所欲。”","“Was he?” cried Martha.“Art tha’ sure?Tha’ doesn’t know what he’s like when anything vexes him.He’s a big lad to cry like a baby, but when he’s in a passion he’ll fair scream just to frighten us.He knows us daren’t call our souls our own.”"
"“他没有被惹怒。”玛丽说，“我问他我是不是该走开，他让我留下。他问我问题，我坐在一个大脚凳上，给他讲印度、讲知更鸟和花园。他不让我走。他让我看他妈妈的画像。我走之前还给他唱了歌哄他入睡了。”","“He wasn’t vexed,” said Mary.“I asked him if I should go away and he made me stay.He asked me questions and I sat on a big footstool and talked to him about India and about the robin and gardens.He wouldn’t let me go.He let me see his mother’s picture.Before I left him I sang him to sleep.”"
"玛莎很惊奇地倒抽了一口气。","Martha fairly gasped with amazement."
"“我简直不能相信你！”她提出异议，“这就像径直走进了狮子笼。要是换作平时，他会突然大怒，把整个房子掀起来的。他不让陌生人见他。”","“I can scarcely believe thee!” she protested.“It’s as if tha’d walked straight into a lion’s den.If he’d been like he is most times he’d have throwed himself into one of his tantrums and roused th’ house.He won’t let strangers look at him.”"
"“他让我看他。我一直看着他，他也看着我。我们盯着对方看！”玛丽说。","“He let me look at him.I looked at him all the time and he looked at me.We stared!” said Mary."
"“我不知道该怎么办了！”玛莎不安地喊了出来，“如果被梅德洛克太太发现了，她会认为是我不守规矩，告诉你的。我就要收拾包裹回家见妈妈了。”","“I don’t know what to do!” cried agitated Martha.“If Mrs. Medlock finds out, she’ll think I broke orders and told thee and I shall be packed back to mother.”"
"“他暂时不会给梅德洛克太太透露一点儿的。这一开始会是个秘密。”玛丽坚定地说，“他也说了，每个人都要照他的喜好办事。”","“He is not going to tell Mrs. Medlock anything about it yet.It’s to be a sort of secret just at first,” said Mary firmly.“And he says everybody is obliged to do as he pleases.”"
"“啊，这倒是真的——这个坏孩子！”玛莎叹气道，用围裙擦了擦额头。","“Aye, that’s true enough—th’ bad lad!” sighed Martha, wiping her forehead with her apron."
"“他说梅德洛克太太必须这样。他想让我每天都去跟他说话。他想让我去的时候，就让你来告诉我。”","“He says Mrs. Medlock must.And he wants me to come and talk to him every day.And you are to tell me when he wants me.”"
"“我？！”玛莎说，“我会丢掉工作的——一定会的！”","“Me!” said Martha; “I shall lose my place—I shall for sure!”"
"“你照他说的去做，就不会的。每个人都要服从他的命令。”玛丽辩解。","“You can’t if you are doing what he wants you to do and everybody is ordered to obey him,” Mary argued."
"“你不会意思是说，”玛莎双眼圆睁，喊了出来，“他对你很友好吧！”","“Does tha’ mean to say,” cried Martha with wide open eyes, “that he was nice to thee!”"
"“我觉得他几乎喜欢我。”玛丽回答道。","“I think he almost liked me,” Mary answered."
"“那你一定是蛊惑了他！”玛莎深吸了一口气，下了定论。","“Then tha’ must have bewitched him!” decided Martha, drawing a long breath."
"“你的意思是魔法吗？”玛丽询问，“我在印度听说过魔法，但我不会使魔法。我只是走进他的房间，看到他我很惊奇，就站在那里盯着他。然后他也转身盯着我。他认为我是个鬼或者是梦，我以为他说不定也是。大半夜的不认识的两个人单独在一起，真的非常奇怪。我们开始互相问对方问题。我问他我是不是需要走开，他说不要。”","“Do you mean Magic?” inquired Mary.“I’ve heard about Magic in India, but I can’t make it.I just went into his room and I was so surprised to see him I stood and stared.And then he turned round and stared at me.And he thought I was a ghost or a dream and I thought perhaps he was.And it was so queer being there alone together in the middle of the night and not knowing about each other.And we began to ask each other questions.And when I asked him if I must go away he said I must not.”"
"“真是世界末日来了！”玛莎倒抽了一口气。","“Th’ world’s comin’ to a end!” gasped Martha."
"“他怎么了？”玛丽问。","“What is the matter with him?” asked Mary."
"“没人确切地知道是怎么回事。”玛莎说，“他出生的时候，克雷文先生已经六神无主了。医生一度认为他需要进疯人院。因为克雷文太太死了，我告诉过你的。他不肯看那孩子一眼。他只是胡言乱语，说这孩子又会是一个像他一样的驼背，最好死了。”","“Nobody knows for sure and certain,” said Martha.“Mr. Craven went off his head like when he was born.Th’ doctors thought he’d have to be put in a ‘sylum.It was because Mrs. Craven died like I told you.He wouldn’t set eyes on th’ baby.He just raved and said it’d be another hunchback like him and it’d better die.”"
"“柯林是驼背吗？”玛丽问，“他看起来不像。”","“Is Colin a hunchback?”Mary asked.“He didn’t look like one.”"
"“他还不是。”玛莎说，“但他一开始就没开好头。妈妈说这房子里有太多麻烦和怨气，是小孩儿都会不好的。他们担心他的背不结实，一直小心照料着——让他一直躺着，不让他走路。他们一度还让他戴上一个支架，但他生气得从此彻底病倒了。后来一个大医生来看他，他让他们把支架取掉了。他把那些医生狠狠教训了一番——用礼貌的态度。他说用药太多了，太由着他的性子了。”","“He isn’t yet,” said Martha.“But he began all wrong.Mother said that there was enough trouble and raging in th’ house to set any child wrong.They was afraid his back was weak an’ they’ve always been takin’ care of it—keepin’ him lyin’ down and not lettin’ him walk.Once they made him wear a brace but he fretted so he was downright ill.Then a big doctor came to see him an’ made them take it off.He talked to th’ other doctor quite rough—in a polite way.He said there’d been too much medicine and too much lettin’ him have his own way.”"
"“我觉得他完全就是个被惯坏的男孩儿。”玛丽说。","“I think he’s a very spoiled boy,” said Mary."
"“他是我见过最差劲的男孩儿！”玛莎说，“若不是他总生病，我也不会这么说。有两三次，咳嗽感冒几乎要了他的命。有一次他得了风湿热，还有一次得了伤寒。啊！梅德洛克太太当时吓坏了。他一直都昏迷着，梅德洛克太太和护士说着话，以为他什么也听不到，她说：‘他这次肯定要死了，这对大家和他自己都最好。’然后她去瞧他，发现他在那里睁大眼睛瞪着她，就像她自己一样清醒。她不知道会发生什么，但他就那么瞪着她，说：‘你，给我点儿水，闭嘴。’”","“He’s th’ worst young nowt as ever was!” said Martha.“I won’t say as he hasn’t been ill a good bit.He’s had coughs an’ colds that’s nearly killed him two or three times.Once he had rheumatic fever an’ once he had typhoid.Eh!Mrs. Medlock did get a fright then.He’d been out of his head an’ she was talkin’ to th’ nurse, thinkin’ he didn’t know nothin’, an’ she said, ‘He’ll die this time sure enough, an’ best thing for him an’ for everybody.’An’ she looked at him an’ there he was with his big eyes open, starin’ at her as sensible as she was herself.She didn’t know wha’d happen but he just stared at her an’ says, ‘You give me some water an’ stop talkin’.’”"
"“你觉得他会死吗？”玛丽问。","“Do you think he will die?” asked Mary."
"“我妈妈说如果小孩子不呼吸新鲜空气，什么也不做就那么平躺着看图画书、吃药，都活不下来的。他很孱弱，讨厌被抬出去，觉得很麻烦。他很容易感冒，说那让他很难受。”","“Mother says there’s no reason why any child should live that gets no fresh air an’ doesn’t do nothin’ but lie on his back an’ read picture-books an’ take medicine.He’s weak and hates th’ trouble o’ bein’ taken out o’ doors, an’ he gets cold so easy he says it makes him ill.”"
"玛丽坐下注视着炉火。“我想，”她慢慢说道，“到外面花园里看植物生长会不会对他有好处。对我就有好处。”","Mary sat and looked at the fire.“I wonder,” she said slowly, “if it would not do him good to go out into a garden and watch things growing.It did me good.”"
"“他最厉害的一次发作，”玛莎说，“是有一次他们把他抬到外面喷泉旁边的玫瑰那里。他在文章里读到过人们得的一种叫做“玫瑰寒”的病。所以他开始打喷嚏时，就说自己也得了这种病。一个新来的园丁不懂规矩，路过时好奇地看了他一眼。他勃然大怒，说他看自己是因为自己要长成个驼背。他哭得发起了烧，病了一夜。”","“One of th’ worst fits he ever had,” said Martha, “was one time they took him out where the roses is by the fountain.He’d been readin’ in a paper about people gettin’ somethin’ he called ‘rose cold’ an’ he began to sneeze an’ said he’d got it an’ then a new gardener as didn’t know th’ rules passed by an’ looked at him curious.He threw himself into a passion an’ he said he’d looked at him because he was going to be a hunchback.He cried himself into a fever an’ was ill all night.”"
"“他要是对我发脾气，我永远也不会再去见他了。”玛丽说。","“If he ever gets angry at me, I’ll never go and see him again,” said Mary."
"“他想让你去就让你去。”玛莎说，“这你也许一开始就知道了。”","“He’ll have thee if he wants thee,” said Martha.“Tha’ may as well know that at th’ start.”"
"过了没多久，铃响了，玛莎裹起自己的针线活。","Very soon afterward a bell rang and she rolled up her knitting."
"“我敢说是护士想让我陪他呆会儿。”她说，“我希望他现在情绪好。”","“I dare say th’ nurse wants me to stay with him a bit,” she said.“I hope he’s in a good temper.”"
"她出去了大约十分钟，然后带着困惑的表情回来了。","She was out of the room about ten minutes and then she came back with a puzzled expression."
"“好吧，他已经被你迷住了。”她说，“他在沙发上坐着，看图画书呢。他让护士六点前都不要回来。我则要去隔壁房间等着。护士刚一走，他就叫来我，告诉我说：‘我想要玛丽·伦诺克斯过来和我聊天，记得不要告诉任何人。’你最好尽快过去。”","“Well, tha’ has bewitched him,” she said.“He’s up on his sofa with his picture-books.He’s told the nurse to stay away until six o’clock.I’m to wait in the next room.Th’ minute she was gone he called me to him an’ says, ‘I want Mary Lennox to come and talk to me, and remember you’re not to tell any one.’You’d better go as quick as you can.”"
"玛丽很乐意快点儿过去。她并没有像想见到迪肯那样想见到柯林，不过也很想见他。","Mary was quite willing to go quickly.She did not want to see Colin as much as she wanted to see Dickon; but she wanted to see him very much."
"玛丽走进房间时，壁炉里的火烧得很旺。她看到这房间在日光下真是美丽。小毯子、挂饰、墙上的书和画都有着丰富的颜色，使得这房子在阴暗的雨天都显得那么温暖而舒适。柯林自己看起来就很像是一幅画。他裹着一件天鹅绒晨袍，坐靠在一个大锦缎靠枕上。他双颊两侧各有一个红团。","There was a bright fire on the hearth when she entered his room, and in the daylight she saw it was a very beautiful room indeed.There were rich colors in the rugs and hangings and pictures and books on the walls which made it look glowing and comfortable even in spite of the gray sky and falling rain.Colin looked rather like a picture himself.He was wrapped in a velvet dressing-gown and sat against a big brocaded cushion.He had a red spot on each cheek."
"“进来。”他说，“我一早上都想着你呢。”","“Come in,” he said.“I’ve been thinking about you all morning.”"
"“我也一直在想着你。”玛丽说，“你都不知道玛莎有多害怕。她说梅德洛克太太会认为是她告诉了我你的事情，然后她就会被打发走。”","“I’ve been thinking about you, too,” answered Mary.“You don’t know how frightened Martha is.She says Mrs. Medlock will think she told me about you and then she will be sent away.”"
"他皱了皱眉。","He frowned."
"“去把她找来。”他说，“她在隔壁房间。”","“Go and tell her to come here,” he said.“She is in the next room.”"
"玛丽去把玛莎找了回来。可怜的玛莎双脚都在打颤。柯林仍皱着眉。","Mary went and brought her back.Poor Martha was shaking in her shoes.Colin was still frowning."
"“你是不是必须要做让我高兴的事情？”他问道。","“Have you to do what I please or have you not?” he demanded."
"“是的先生，我必须做让您高兴的事儿。”玛莎支吾着，脸都变红了。","“I have to do what you please, sir,” Martha faltered, turning quite red."
"“梅德洛克是不是必须做让我高兴的事情？”","“Has Medlock to do what I please?”"
"“每个人都必须让您高兴，先生。”玛莎回答。","“Everybody has, sir,” said Martha."
"“好，那么，如果我命令你去把玛丽小姐带来，即使梅德洛克发现了，怎么能打发你走呢？”","“Well, then, if I order you to bring Miss Mary to me, how can Medlock send you away if she finds it out?”"
"“请您不要让她发现，先生。”玛莎乞求道。","“Please don’t let her, sir,” pleaded Martha."
"“如果她敢对这件事有任何异议，我会打发她走。”克雷文小主子傲慢地说，“我可以告诉你，她不会喜欢那样的。”","“I’ll send her away if she dares to say a word about such a thing,” said Master Craven grandly.“She wouldn’t like that, I can tell you.”"
"“谢谢您，先生。”玛莎飞快地行了个屈膝礼，“我想尽我的职责，先生。”","“Thank you, sir,” bobbing a curtsy, “I want to do my duty, sir.”"
"“我就是要你尽职责。”柯林更加庄重地说道，“我会保证你的安全的。现在出去吧。”","“What I want is your duty” said Colin more grandly still.“I’ll take care of you.Now go away.”"
"门在玛莎身后关上，柯林发现玛丽小姐正盯着自己，好像是他做了什么让她不解的事情。","When the door closed behind Martha, Colin found Mistress Mary gazing at him as if he had set her wondering."
"“你为什么那样看着我？”他问玛丽，“你在想什么？”","“Why do you look at me like that?” he asked her.“What are you thinking about?”"
"“我在想两件事。”","“I am thinking about two things.”"
"“是什么事情？坐下来告诉我。”","“What are they?Sit down and tell me.”"
"“第一件事是，”玛丽说着，在大脚凳上坐了下来，“在印度的时候有一次我见到一个小男孩儿，他是个王爷。他浑身镶满了红宝石、绿宝石、钻石。他和他的手下说话时的口气就像你刚才同玛莎说话一样。每个人都必须做他吩咐的每一件事——立刻就做。我想如果他们没做就会被杀死。”","“This is the first one,” said Mary, seating herself on the big stool.“Once in India I saw a boy who was a Rajah.He had rubies and emeralds and diamonds stuck all over him.He spoke to his people just as you spoke to Martha.Everybody had to do everything he told them—in a minute.I think they would have been killed if they hadn’t.”"
"“我想让你等一下给我讲讲印度王爷。”他说，“但先告诉我第二件事情是什么。”","“I shall make you tell me about Rajahs presently,” he said, “but first tell me what the second thing was.”"
"“我在想，”玛丽说，“你和迪肯多么不一样啊。”","“I was thinking,” said Mary, “how different you are from Dickon.”"
"“迪肯是谁？”他问，“这名字可真奇怪！”","“Who is Dickon?” he said.“What a queer name!”"
