"第一部","PART I "
"第四部","PART IV "
"第十八章","Chapter 18"
"从九月到十月，鼠疫在奥兰疯狂肆虐，整座城市都死气沉沉的。除了“掰着指头过日子”没有别的事可干，成千上万的男男女女就靠这个捱过一周又一周，似乎永无出头之日。薄雾、热潮和阵雨轮番袭击着大街小巷。一群来自南方的欧椋鸟和画眉鸟悄无声息地掠过苍穹，绕城而过，就像帕纳卢神父描述的——瘟神在屋顶上空挥舞着那根古怪的长矛，呼呼作响，吓得它们不敢靠近。十月初，倾盆大雨把街道冲洗得干干净净。而我们始终没有什么重要事情可做，只是无尽的等待而已。","Throughout september and October the town lay prostrate, at the mercy of the plague.There was nothing to do but to “mark time,” and some hundreds of thousands of men and women went on doing this, through weeks that seemed interminable.Mist, heat, and rain rang their changes in our streets.From the south came silent coveys of starlings and thrushes, flying very high, but always giving the town a wide berth, as though the strange implement of the plague described by Paneloux, the giant flail whirling and shrilling over the housetops, warned them off us.At the beginning of October torrents of rain swept the streets clean.And all the time nothing more important befell us than that multitudinous marking time."
"就是在这段时间，里厄和他的朋友们开始感到疲惫不堪。事实上，卫生队的队员们已经再也无法忍受这种劳累了。里厄发现，不仅仅在同事们身上，而且在自己身上都发生着这种变化，大家似乎对周围的一切都出奇地漠不关心。例如，有些人以前十分关注有关鼠疫的所有消息，现在却对此毫无兴趣。朗贝尔临时负责管理一个鼠疫隔离站——此站设在他所住的旅馆里——他对在他那里隔离观察的人数了如指掌，对自己制定的办事程序烂熟于心：一旦出现鼠疫病征，病人需立即转院治疗。他也非常清楚他那个隔离站里用在隔离病人身上的抗鼠疫疫药效的相关数据。但是，他说不出每周有多少人死于鼠疫，甚至不清楚死亡人数到底是上升了还是下降了。而且，无论如何，他仍然期盼有一天自己可以“成功逃跑”。","It was now that Rieux and his friends came to realize how exhausted they were.Indeed, the workers in the sanitary squads had given up trying to cope with their fatigue.Rieux noticed the change coming over his associates, and himself as well, and it took the form of a strange indifference to everything.Men, for instance, who hitherto had shown a keen interest in every scrap of news concerning the plague now displayed none at all.Rambert, who had been temporarily put in charge of a quarantine station—his hotel had been taken over for this purpose—could state at any moment the exact number of persons under his observation, and every detail of the procedure he had laid down for the prompt evacuation of those who suddenly developed symptoms of the disease was firmly fixed in his mind.The same was true of the statistics of the effects of anti-plague inoculations on the persons in his quarantine station.Nevertheless, he could not have told you the week’s total of plague deaths, and he could not even have said if the figure was rising or falling.And meanwhile, in spite of everything, he had not lost hope of being able to “make his get-away” from one day to another."
"至于其他人员，由于他们夜以继日地工作，几乎是连轴转，他们既不看报，也不听广播。如果有人告诉他们某种意想不到的疗效，他们会装作很感兴趣的样子，但实际上却是置若罔闻，人们不禁会想起大战时的那些士兵，他们成天只想着完成任务，累得筋疲力尽，甚至对决战或是停战的军号声都不再指望了。","As for the others, working themselves almost to a standstill throughout the day and far into the night, they never bothered to read a newspaper or listen to the radio.When told of some unlooked-for recovery, they made a show of interest, but actually received the news with the stolid indifference that we may imagine the fighting man in a great war to feel who, worn out by the incessant strain and mindful only of the duties daily assigned to him, has ceased even to hope for the decisive battle or the bugle-call of armistice."
"尽管格朗还在继续对鼠疫相关数据进行机械的统计，但他肯定说不出这样做到底有什么意义。他不像里厄、朗贝尔和塔鲁他们那样看上去就精力充沛，他的身体向来不好。而现在，他除了要承担市政府的工作，还要在里厄这里做秘书工作，晚上还要继续自己的写作。人们可以看到，倦意就写在他的脸上，不过他还在继续扛着，因为有那么两三个信念在支撑着他，而其中的一个信念就是，鼠疫一结束，他会彻底休个假，至少一星期，并利用这段时间投入到他那项使人“脱帽致敬”的工作中去。他有时也会多愁善感，每到这时，他就会向里厄倾诉自己对珍妮的思念。他想知道她现在身在何方，她看到报上的消息时是否偶尔会想到他？有一天，里厄用十分平淡的语气同格朗谈起自己的妻子——这令里厄自己都感到惊讶，因为以前他从未与任何人这样谈过。","Though he still worked out methodically the figures relating to the plague, Grand would certainly have been quite unable to say to what they pointed.Unlike Rieux, Rambert, and Tarrou, who obviously had great powers of endurance, he had never had good health.And now, in addition to his duties in the Municipal Office, he had his night work and his secretarial post under Rieux.One could see that the strain was telling on him, and if he managed to keep going, it was thanks to two or three fixed ideas, one of which was to take, the moment the plague ended, a complete vacation, of a week at least, which he would devote, “hats off,” to his work in progress.He was also becoming subject to accesses of sentimentality and at such times would unburden himself to Rieux about Jeanne.Where was she now, he wondered; did her thoughts sometimes turn to him when she read the papers?It was Grand to whom one day Rieux caught himself talking—much to his own surprise—about his wife, and in the most commonplace terms—something he had never done as yet to anyone."
"他不大相信妻子发来的电报——电报中都是些要他安心的话——于是他决定给那家疗养院的主任医师发个电报问问情况。他从回电中得知妻子病情加重，但院方正在尽全力控制她的病情进一步恶化。他一直都把这个消息埋在心底，一定是心理压力太大，他才向格朗谈起这事来。格朗原本先是对医生谈起珍妮，之后又问起里厄太太的情况，在听了里厄的回答后，他说：“你知道，现在这种病的疗效是非常显著的。”里厄对此表示赞同，只是又说他开始感觉到与妻子分开得太久了，而且，他本可以帮助妻子早日康复的。但是，以目前的情况来看，她一定感到非常孤独。说完之后，他突然沉默下来，只是含糊其辞地回答了格朗提出的几个问题。","Doubtful how far he could trust his wife’s telegrams—their tone was always reassuring—he had decided to wire the house physician of the sanatorium.The reply informed him that her condition had worsened, but everything was being done to arrest further progress of the disease.He had kept the news to himself so far and could only put it down to his nervous exhaustion that he passed it on to Grand.After talking to the doctor about Jeanne, Grand had asked some questions about Mme Rieux and, on hearing Rieux’s reply, said: “You know, it’s wonderful, the cures they bring off nowadays.”Rieux agreed, merely adding that the long separation was beginning to tell on him, and, what was more, he might have helped his wife to make a good recovery; whereas, as things were, she must be feeling terribly lonely.After which he fell silent and gave only evasive answers to Grand’s further questions."
"其他人的状况也大致相同。塔鲁算是更扛得住一些，但他日记中的记录显示出他虽然仍旧喜欢对事物打探个究竟，却不像以往那样兴趣广泛了。事实上，在这段时期，唯一令他感兴趣的显然只有科塔尔一个人。晚上，在里厄家里——因为旅馆被改成了隔离站，他已经住进了医生家——当格朗和医生谈论当天的疫情数据时，他对此并不太关心。他会很快将谈话转到他感兴趣的话题上去，即奥兰的日常生活琐事。","The others were in much the same state.Tarrou held his own better, but the entries in his diary show that while his curiosity had kept its depth, it had lost its diversity.Indeed, throughout this period the only person, apparently, who really interested him was Cottard.In the evening, at Rieux’s apartment, where he had come to live now that the hotel was requisitioned as a quarantine center, he paid little or no attention to Grand and the doctor when they read over the day’s statistics.At the earliest opportunity he switched the conversation over to his pet subject, small details of the daily life at Oran."
"卡斯特尔则显得比其他任何人都更疲惫。有一天，他过来告诉里厄说，抗鼠疫血清已经准备就绪，于是两人决定在奥顿先生的小儿子，一个看起来毫无希望的病人身上进行首次实验。当医生正在宣布最新统计数字时，他突然发现卡斯特尔已经倒在椅子上睡熟了。这位老朋友脸上的异样令里厄感到震惊。以前，卡斯特尔的脸上总是露出一种慈祥而又带些讥讽的微笑，显示出无限的青春活力。现在，他的脸上完全变了样，微微张开的嘴边流着一滴口水，透露出他年事已高，精力不济。看到这一切，里厄感到如鲠在喉。","More perhaps than any of them, Dr. Castel showed signs of wear and tear.On the day when he came to tell Rieux that the anti-plague serum was ready, and they decided to try it for the first time on M. Othon’s small son, whose case seemed all but hopeless, Rieux suddenly noticed, while he was announcing the latest statistics, that Castel was slumped in his chair, sound asleep.The difference in his old friend’s face shocked him.The smile of benevolent irony that always played on it had seemed to endow it with perpetual youth; now, abruptly left out of control, with a trickle of saliva between the slightly parted lips, it betrayed its age and the wastage of the years.And, seeing this, Rieux felt a lump come to his throat."
"正是在这样的时候，里厄就会感到自己的疲惫。他的感情也变得有些失控。他一直都压抑着自己的情感，但现在却变得很难受、很脆弱，偶尔感觉自己的情绪像是要一发不可收拾了似的，要完全被自己的感情俘虏了。他唯一能做的便是勒住情感的缰绳，硬下心肠保护自己。他知道这是他继续坚持下去的唯一办法。毕竟，他已经没有什么幻想了，即使还有点儿残余也被疲劳磨灭了。他很清楚，在这个看不到尽头的时期里，他的职责不再是给人治病，而是诊断。发现、观察、描述、登记，然后宣告病人患有不治之症——这就是他目前所发挥的作用。有时候，病人的女眷会拽着他的袖子大哭着说：“医生，你会救他的，对吧？”但是他那时的职责并非挽救生命，他要做的只是下令将病人进行隔离。他在那些人脸上看到的是怎样的一种憎恨呀！“你没有心肝！”有个女眷曾经这样说过他。她错了，他有。正是这颗心二十小时看着他，让他时刻观察着那些本想继续活下去的人们不断死去。正是这颗心使他在每个早晨都能精神焕发。但在目前的状况下，他的心只能让他做到这一步。而这颗心又怎能足以救人性命呢？","It was by such lapses that Rieux could gauge his exhaustion.His sensibility was getting out of hand.Kept under all the time, it had grown hard and brittle and seemed to snap completely now and then, leaving him the prey of his emotions.No resource was left him but to tighten the stranglehold on his feelings and harden his heart protectively.For he knew this was the only way of carrying on.In any case, he had few illusions left, and fatigue was robbing him of even these remaining few.He knew that, over a period whose end he could not glimpse, his task was no longer to cure but to diagnose.To detect, to see, to describe, to register, and then condemn—that was his present function.Sometimes a woman would clutch his sleeve, crying shrilly: “Doctor, you’ll save him, won’t you?”But he wasn’t there for saving life; he was there to order a sick man’s evacuation.How futile was the hatred he saw on faces then!“You haven’t a heart!” a woman told him on one occasion.She was wrong; he had one.It saw him through his twenty-hour day, when he hourly watched men dying who were meant to live.It enabled him to start anew each morning.He had just enough heart for that, as things were now.How could that heart have sufficed for saving life?"
"不，在那些繁忙的日子里，他提供给他人的不是救护——只是信息而已。这显然称不上是一个男人真正的职业。然而，说到底，在那人心惶惶、惨遭鼠疫屠戮的人群中，谁还会有机会来做些真正有男子气概的事情呢？事实上，疲劳却使里厄因祸得福。要是他没有这么累，他就会更敏感，也可能会因为那种四处弥漫的死亡气息而极度伤感。但是，一个每天只睡四个小时的人是不会多愁善感的。他很客观地看待事物，可以说，他对待事物的态度过于公正——这种公正令人生厌，毫无变通。而其他人，也就是那些病入膏肓的人们，也都有着和他一样令人沮丧的觉悟。在鼠疫发生前，他被当作是救星而受到欢迎。他给病人开几片药，或是打一针就可以治好病，而病人也会挽着他的胳膊走向病房。这样做尽管有感染的危险，却令人愉悦。现在，截然相反，他去病人家时要带上士兵，必须用枪托砸门，病人的家人才会开门。如果可以的话，他们倒想拖着他，拖着整个人类和他们一起走向死亡。是的，人确实离不开自己的同胞；每当他离开这些不幸的人们时，他都会心生怜悯，而他其实也和这些人一样无助，也同样应该得到他人的怜悯。","No, it wasn’t medical aid that he dispensed in those crowded days—only information.Obviously that could hardly be reckoned a man’s job.Yet, when all was said and done, who, in that terror-stricken, decimated populace, had scope for any activity worthy of his manhood?Indeed, for Rieux his exhaustion was a blessing in disguise.Had he been less tired, his senses more alert, that all-pervading odor of death might have made him sentimental.But when a man has had only four hours’ sleep, he isn’t sentimental.He sees things as they are; that is to say, he sees them in the garish light of justice—hideous, witless justice.And those others, the men and women under sentence to death, shared his bleak enlightenment.Before the plague he was welcomed as a savior.He was going to make them right with a couple of pills or an injection, and people took him by the arm on his way to the sickroom.Flattering, but dangerous.Now, on the contrary, he came accompanied by soldiers, and they had to hammer on the door with rifle-butts before the family would open it.They would have liked to drag him, drag the whole human race, with them to the grave.Yes, it was quite true that men can’t do without their fellow men; that he was as helpless as these unhappy people and he, too, deserved the same faint thrill of pity that he allowed himself once he had left them."
"不管怎样，在那段似乎看不到尽头的日子里，这就是医生心里的想法，而且这些想法里还夹杂着对他妻子的思念。这也是他那些朋友们的想法，从他们脸上的表情就看得出来。但是，参加抗疫战争的人们感到越来越扛不住了，但由此产生的最危险的后果并非他们对外界事物及他人情感漠不关心，而是他们的个人生活变得松懈懒散起来。他们中间开始有这么一种趋势：任何看起来不是绝对必要的事情，或是他们力所不及的事情，他们都懒得去做。这样一来，这些人就越来越不遵守以前自己制定的卫生规则，经常省去一些本该进行的消毒程序，有时甚至不采取预防传染的措施就赶到患肺鼠疫的病人家里，因为他们都是临时被叫去病人家，有时又离卫生站很远，他们不愿费神返回去注射必要的防疫药物。这是真正的危险；他们全力以赴进行的抗疫斗争使自己更易受到疫病的感染。总之，他们是在碰运气，而并非人人都能走运。","Such, anyhow, were the thoughts that in those endless-seeming weeks ran in the doctor’s mind, along with thoughts about his severance from his wife.And such, too, were his friends’ thoughts, judging by the look he saw on their faces.But the most dangerous effect of the exhaustion steadily gaining on all engaged in the fight against the epidemic did not consist in their relative indifference to outside events and the feelings of others, but in the slackness and supine-ness that they allowed to invade their personal lives.They developed a tendency to shirk every movement that didn’t seem absolutely necessary or called for efforts that seemed too great to be worth while.Thus these men were led to break, oftener and oftener, the rules of hygiene they themselves had instituted, to omit some of the numerous disinfections they should have practiced, and sometimes to visit the homes of people suffering from pneumonic plague without taking steps to safeguard themselves against infection, because they had been notified only at the last moment and could not be bothered with returning to a sanitary service station, sometimes a considerable distance away, to have the necessary instillations.There lay the real danger; for the energy they devoted to righting the disease made them all the more liable to it.In short, they were gambling on their luck, and luck is not to be coerced."
"但是，城里却有一人看上去既不疲惫，也不沮丧。事实上，他露出了一副满意的神情。这人就是科塔尔。尽管他与里厄和朗贝尔保持着联系，但关系还是有些疏远，然而，他却乐于发展与塔鲁的关系，只要塔鲁有空，就会去看他。他这样做有两方面的原因：一方面，塔鲁了解他的一切；另一方面，塔鲁总是真诚地接待他，让他感觉很自在。这是塔鲁了不起的地方之一，不管工作有多累，他总是乐于倾听，和蔼可亲。甚至有几个晚上他似乎已经筋疲力尽了，但第二天他又精神焕发。“我跟塔鲁很谈得来，”科塔尔曾经对朗贝尔说，“因为他很通人情。他总是很体谅人。”","There was, however, one man in the town who seemed neither exhausted nor discouraged; indeed, the living image of contentment.It was Cottard.Though maintaining contact with Rieux and Rambert, he still kept rather aloof, whereas he deliberately cultivated Tarrou, seeing him as often as Tarrou’s scanty leisure permitted.He had two reasons for this: one, that Tarrou knew all about his case, and the other, that he always gave him a cordial welcome and made him feel at ease.That was one of the remarkable things about Tarrou; no matter how much work he had put in, he was always a ready listener and an agreeable companion.Even when, some evenings, he seemed completely worn out, the next day brought him a new lease of energy.“Tarrou’s a fellow one can talk to,” Cottard once told Rambert, “because he’s really human.He always understands.”"
"也许就是出于这个原因，塔鲁在这个时期的日记内容逐渐集中到了科塔尔身上。很显然，塔鲁试图在日记中如实地或者按照自己的理解全面地描绘科塔尔这个人，并且记录下科塔尔所有的想法和做法。这篇题为“科塔尔及其与鼠疫的关系”的系列记录写了好几页纸，笔者认为有必要在这里简要介绍一下它的内容。","This may explain why the entries in Tarrou’s diary of this period tend to converge on Cottard’s personality.It is obvious that Tarrou was attempting to give a full-length picture of the man and noted all his reactions and reflections, whether as conveyed to him by Cottard or interpreted by himself.Under the heading “Cottard and his Relations with the Plague,” we find a series, of notes covering several pages and, in the narrator’s opinion, these are well worth summarizing here."
"日记中有段话概括了塔鲁对科塔尔的印象：“他是个正在成长起来的人物。他友好亲切，富有幽默感。”科塔尔对事态的发展根本就不感到心烦。有时，他会在塔鲁面前用这类话来表达他真实的想法：“情况还在恶化，对吧？不过，毕竟大家是同舟共济的。”","One of the entries gives Tarrou’s general impression of Cottard at this time: “He is blossoming out.Expanding in geniality and good humor.”For Cottard was anything but upset by the turn events were taking.Sometimes in Tarrou’s company he voiced his true feelings in remarks of this order: “Getting worse every day, isn’t it?Well, anyhow, everyone’s in the same boat.”"
"“显然，”塔鲁评论道：“他和其他人一样都面临着死亡的威胁，但这正是关键所在，他与其他人生死与共。其次，我非常确信他并不真的认为自己会面临感染的危险。他显然头脑中有这种思想——这也许从表面上看不出来——一个正在遭受某种重大疾病或被死亡焦虑所折磨的人是不会再受到其他疾病或忧虑困扰的。‘你是否已经注意到，’他曾经问我，‘一个人是不会同时患上两种病的？假设你患有像癌症或是百日痨这样的不治之症——那么，你就不会患上鼠疫或是斑疹伤寒；生理上是绝对不可能的。事实上，情况还不仅仅是这样；难道你听说过一个癌症病人死于车祸这样的事吗？’这种说法，不管它是否正确，却使科塔尔心情愉悦。他最担心的事就是自己被隔离，他宁愿和大家一起被围困，也不愿做个孤独的囚徒。鼠疫一来，警察盘问、侦察、逮捕令等都自然化为乌有了。可以说，现在根本就没有警察的概念。过去的或是现在的罪行都不存在了，罪犯也不存在了——只有被鼠疫‘判了刑’的人在期盼着它任性的恩赐，这些人当中就有警察。”","“Obviously,” Tarrou comments, “he’s in the same peril of death as everyone else, but that’s just the point; he’s in it with the others.And then I’m pretty sure he doesn’t seriously think he runs much personal risk.He has got the idea into his head, apparently—and perhaps it’s not so farfetched as it seems—that a man suffering from a dangerous ailment or grave anxiety is allergic to other ailments and anxieties.‘Have you noticed,’ he asked me, ‘that no one ever runs two diseases at once?Let’s suppose you have an incurable disease like cancer or a galloping consumption—well, you’ll never get plague or typhus; it’s a physical impossibility.In fact, one might go farther; have you ever heard of a man with cancer being killed in an auto smash?’ This theory, for what it’s worth, keeps Cottard cheerful.The thing he’d most detest is being cut off from others; he’d rather be one of a beleaguered crowd than a prisoner alone.The plague has put an effective stop to police inquiries, sleuthings, warrants of arrest, and so forth.Come to that, we have no police nowadays; no crimes past or present, no more criminals—only condemned men hoping for the most capricious of pardons; and among these are the police themselves.”"
"因此，科塔尔（如果塔鲁的判断可信的话）有充分的理由以一种体贴、宽容而满意的态度去看待周围的市民们所表现出来的惊慌与痛苦，这从科塔尔的话中可见一斑：“尽管说吧，朋友们，但这一切我早就经历过了！”","Thus Cottard (if we may trust Tarrou’s diagnosis) had good grounds for viewing the symptoms of mental confusion and distress in those around him with an understanding and an indulgent satisfaction that might have found expression in the remark: “Prate away, my friends—but I had it first!”"
"“我对他说过，”塔鲁继续写道，“要使自己不脱离群众，就一定要做到问心无愧，而他却对此大皱眉头。‘如果是这样的话，每个人都得孤立无援了。’过了一会儿，他又补充说：‘你爱怎么说就怎么说，塔鲁，但我得对你说：使人们凝聚在一起的唯一途径就是让他们都患上鼠疫。你还是看看你周围的情况吧。’我当然懂得他的意思，我也清楚目前的生活对他来说一定是非常舒适的。人们对情况变化所作的反应跟他以前一样，他怎么会视而不见呢？人人都试图与众人为伍；人们有时乐于帮助迷路者，有时又大发脾气；人们涌入高级饭店，乐滋滋地呆在那里不愿离去；每天，人们在电影院门口排着长队，把剧院和歌舞厅挤得满满的，像汹涌的潮水一样涌入广场和大街；人们害怕与人接触，但是对人类热情的渴望又促使男男女女相互依偎，耳鬓厮磨。科塔尔显然早已经历过这一切——但有一个例外，那就是他没有找过女人。看看他那副模样吧！我猜想当他想上妓院时，他就努力克制自己，那可能会坏了他的名声，有朝一日会对他自己不利。”","“When I suggested to him,” Tarrou continues, “that the surest way of not being cut off from others was having a clean conscience, he frowned.‘If that is so, everyone’s always cut off from everyone else.’ And a moment later he added: ‘Say what you like, Tarrou, but let me tell you this: the one way of making people hang together is to give ’em a spell of plague.You’ve only got to look around you.’ Of course I see his point, and I understand how congenial our present mode of life must be to him.How could he fail to recognize at every turn reactions that were his; the efforts everyone makes to keep on the right side of other people; the obligingness sometimes shown in helping someone who has lost his way, and the ill humor shown at other times; the way people flock to the luxury restaurants, their pleasure at being there and their reluctance to leave; the crowds lining up daily at the picture-houses, filling theaters and music halls and even dance halls, and flooding boisterously out into the squares and avenues; the shrinking from every contact and, notwithstanding, the craving for human warmth that urges people to one another, body to body, sex to sex?Cottard has been through all that obviously—with one exception; we may rule out women in his case.With that mug of his!And I should say that when tempted to visit a brothel he refrains; it might give him a bad name and be held up against him one day."
"“总之，鼠疫使他感到荣幸。鼠疫让一个讨厌孤独却孤独的人成了它的同谋。是的，‘同谋’这个词用在他身上恰如其分，看看他有多享受其中吧！他很高兴看到周围的一切：那些整日神经紧张、惶惶不安的人迷信、敏感、盲目恐惧；他们想要尽力回避鼠疫这个话题，却又不停地谈及鼠疫；他们知道鼠疫的早期症状为头痛，因而稍有头痛就惊慌失措；还有，他们极度紧张与敏感，稍有怠慢就会生气，丢了一粒裤子纽扣也会伤心落泪。”塔鲁常常在晚上和科塔尔一块儿出去，于是他的笔记里有了这样的记叙：他俩如何在黄昏时分一起挤入大街上黑压压的人群之中；他俩如何在昏暗的路灯下摩肩接踵地夹杂在若隐若现的人堆里；他俩如何跟随着人群去寻欢作乐的胜地，有人陪伴的温暖似乎可以摆脱鼠疫的冰冷气息。这就是科塔尔几个月前在公共场所苦苦追寻的豪华奢侈的生活，也是他一直梦寐以求却无法实现的花天酒地的生活——现在全城市民都趋之若骛。尽管价格在疯涨，人们从未像今天这样挥金如土，尽管日用品都供应短缺，人们从未像现在这样将大把的金钱花在奢侈品上。尽管现在失业现象严重，各种娱乐场所却成百倍地增加。有时，塔鲁和科塔尔会跟在某对恋人身后走上一段。以前，恋人们会尽量避人耳目，掩盖彼此的热情；而现在，他们却在人群中紧紧依偎，在大街上逛来逛去，爱得忘乎所以，旁若无人。科塔尔喜滋滋地看着这一切。“太棒了，亲爱的！”他叫道，“加油！”甚至他的声音都变了，大声嚷嚷着。正如塔鲁所写的那样，在这种群体性狂热的气氛中，在这种大把大把扔小费的闹声中，看着眼皮底下恋人们的公开调情，科塔尔正在“成长”起来。","“In short, this epidemic has done him proud.Of a lonely man who hated loneliness it has made an accomplice.Yes, ‘accomplice’ is the word that fits, and doesn’t he relish his complicity!He is happily at one with all around him, with their superstitions, their groundless panics, the susceptibilities of people whose nerves are always on the stretch; with their fixed idea of talking the least possible about plague and nevertheless talking of it all the time; with their abject terror at the slightest headache, now they know headache to be an early symptom of the disease; and, lastly, with their frayed, irritable sensibility that takes offense at trifling oversights and brings tears to their eyes over the loss of a trouser-button.”Tarrou often went out with Cottard in the evening, and he describes how they would plunge together into the dark crowds filling the streets at nightfall; how they mingled, shoulder to shoulder, in the black-andwhite moving mass lit here and there by the fitful gleam of a street-lamp; and how they let themselves be swept along with the human herd toward resorts of pleasure whose companionable warmth seemed a safeguard from the plague’s cold breath.What Cottard had some months previously been looking for in public places, luxury and the lavish life, the frenzied orgies he had dreamed of without being able to procure them—these were now the quest of a whole populace.Though prices soared inevitably, never had so much money been squandered, and while bare necessities were often lacking, never had so much been spent on superfluities.All the recreations of leisure, due though it now was to unemployment, multiplied a hundredfold.Sometimes Tarrou and Cottard would follow for some minutes one of those amorous couples who in the past would have tried to hide the passion drawing them to each other, but now, pressed closely to each other’s side, paraded the streets among the crowd, with the trancelike self-absorption of great lovers, oblivious of the people around them.Cottard watched them gloatingly.“Good work, my dears!” he’d exclaim.“Go to it!”Even his voice had changed, grown louder; as Tarrou wrote, he was “blossoming out” in the congenial atmosphere of mass excitement, fantastically large tips clinking on cafe tables, love-affairs shaping under his eyes."
"但是，在塔鲁看来，科塔尔的这种态度并没有多少恶意。他所说的“这一切我都经历过”与其说是在显示他的得意，不如说是表明了他的不幸遭遇。“我认为，”塔鲁写道，“他开始由衷地喜欢上了这些身陷囹圄、被困城中的人们。比如，他一有机会就会向人们解释鼠疫并非那么可怕。‘你听听他们在说些什么，’他对我说，‘鼠疫过后，我要做这事，我要做那事。’他们都是在自寻烦恼，而非随遇而安。他们甚至看不到自己从中获得的好处。就说我自己吧，难道我能说“在我被捕后，我要做这做那”吗？被捕只是个开始，而不是结束。但是鼠疫……你想知道我的意思吧？他们太急躁，只因他们不能顺其自然。我这样说并非信口开河。’”","However, Tarrou seemed to detect little if any spitefulness in Cottard’s attitude.His “I’ve been through the mill myself” had more pity than triumph in it.“I suspect,” Tarrou wrote, “that he’s getting quite fond of these people shut up under their little patch of sky within their city walls.For instance, he’d like to explain to them, if he had a chance, that it isn’t so terrible as all that.‘You hear them saying,’ he told me, ‘After the plague I’ll do this or that.’They’re eating their hearts out instead of staying put.And they don’t even realize their privileges.Take my case: could I say “After my arrest I’ll do this or that”?Arrest’s a beginning, not an end.Whereas plague....Do you know what I think?They’re fretting simply because they won’t let themselves go.And I know what I’m talking about.’” "
"“是的，他并非信口开河，”塔鲁继续写道，“他很理解这里的居民生活中的异常状况，尽管他们本能地渴望与人交往，但又由于不信任而彼此疏远，没有办法让自己屈从于这种渴望。因为他们都知道不能轻信自己的邻居，邻居可能会在他们毫无觉察之中，乘他们毫无戒心之机，把鼠疫传染给他们。假如有人像科塔尔那样花上些时间就在人群中，甚至在朋友当中发现了某个告密者人，那么他也可以理解这种心理。他也会同情这些整日经受思想折磨的人们，他们认为鼠疫可能会在他们最没意料到的时候将它那冰冷的手落在他们的肩头，可能正当他们庆幸自己未被传染之时，鼠疫就突然来临了。尽管有这种可能，科塔尔在恐怖的气氛中却感到自由自在。不过，我猜想正是因为他已经历过这一切，他才不会像其他人那样沉浸在忐忑不安的痛苦之中。可以这样说：像我们所有这些还没有丧命于鼠疫的人一样，他也十分清楚，他的自由和他的生命随时都可能毁于一旦。但因为他已亲身体验过生活在恐惧之中的滋味，他认为其他人尝尝这种滋味也很正常。或许也可以这样说：在他看来，像现在这样大家分担恐惧比他以前一人独自忍受恐惧要好受多了。他错就错在这一点上，这也使他比别人更难被人理解。不过，虽然如此，他却因此比别人更值得我们去了解。”","“Yes, he knows what he’s talking about,” Tarrou added.“He has an insight into the anomalies in the lives of the people here who, though they have an instinctive craving for human contacts, can’t bring themselves to yield to it, because of the mistrust that keeps them apart.For it’s common knowledge that you can’t trust your neighbor; he may pass the disease to you without your knowing it, and take advantage of a moment of inadvertence on your part to infect you.When one has spent one’s days, as Cottard has, seeing a possible police spy in everyone, even in persons he feels drawn to, it’s easy to understand this reaction.One can have fellow-feelings toward people who are haunted by the idea that when they least expect it plague may lay its cold hand on their shoulders, and is, perhaps, about to do so at the very moment when one is congratulating oneself on being safe and sound.So far as this is possible, he is at ease under a reign of terror.But I suspect that, just because he has been through it before them, he can’t wholly share with them the agony of this feeling of uncertainty that never leaves them.It comes to this: like all of us who have not yet died of plague he fully realizes that his freedom and his life may be snatched from him at any moment.But since he, personally, has learned what it is to live in a state of constant fear, he finds it normal that others should come to know this state.Or perhaps it should be put like this: fear seems to him more bearable under these conditions than it was when he had to bear its burden alone.In this respect he’s wrong, and this makes him harder to understand than other people.Still, after all, that’s why he is worth a greater effort to understand.”"
"塔鲁在笔记的末尾还讲述了一个故事，它反映了生活在这座疫城里的科塔尔和其他居民身上都存在的一种奇怪心理。这个故事几乎可以再现这个时期极度狂热的气氛，因此笔者认为它很重要。","Tarrou’s notes end with a story illustrating the curious state of mind arrived at no less by Cottard than by other dwellers in the plague-stricken town.The story recreates as nearly as may be the curiously feverish atmosphere of this period, and that is why the narrator attaches importance to it."
