"第一章 两位风情女子的定论","CHAPTER I THE LAST WORD OF TWO GREAT COQUETTES"
"“怎么做？”","“How?”"
"“让我做你的情敌。”","“Let me be your rival.”"
"“随你便吧。”王妃回答，“我已经下定主意了。天才是思想的一种表现；我不知道灵魂在那里占据什么样的位置。我们以后再谈这个问题。”","“Just as you please,” replied the princess.“I’ve decided on my course.Genius is a condition of the brain; I don’t know what the heart gets out of it; we’ll talk about that later.”"
"听了王妃最后这几句高深莫测的话之后，德帕夫人就和大家聊起天来，既没有因‘随你的便’这样冷漠的话感到受到冒犯，也对这次会面的结果不感兴趣。王妃在火炉旁的沙发上坐了大约一个钟头，一副懒洋洋的样子，那姿势就像介朗笔下的迪东，同时又聚精会神地听着别人的谈话，还时不时地带着既不加掩饰又不过分的仰慕神情看看达尼埃尔，车子备好了，她便和侯爵夫人握手告别，对蒙科尔内夫人点了点头便悄然离去。","Hearing the last few words, which were wholly incomprehensible to her, Madame d’Espard returned to the general conversation, showing neither offence at that indifferent “As you please,” nor curiosity as to the outcome of the interview.The princess stayed an hour longer, seated on the sofa near the fire, in the careless, nonchalant attitude of Guerin’s Dido, listening with the attention of an absorbed mind, and looking at Daniel now and then, without disguising her admiration, which never went, however, beyond due limits.She slipped away when the carriage was announced, with a pressure of the hand to the marquise, and an inclination of the head to Madame de Montcornet."
"晚会并未因王妃的离去而终止。大伙都来德阿泰兹这儿凑热闹，此时他神态激昂，想要大大施展自己的才华。布隆代和拉斯蒂涅两人无论在聪明和才智上，显然都是无人能比的。至于这两个女人，也早已在上流社会称得上最聪颖的人物。今晚的宴会好比是沙漠绿洲旅行中所做的简短的休憩。这是一种少有的幸福，特别受到这些处于上流社会沙龙和政界中，要时刻警觉彼此之间尔虞我诈的这些人物的好评。有些人有得天独厚的优势，他们就像造福人类的星星，其光辉既能启发人的智慧，又能温暖人的心房。德阿泰兹就属于这样的人物。一个作家到了这样的高位，就会习惯于自由发挥，就会忘了哪些事情在社会上是不该说的。他不可能像那些经常搞社会活动的人那样说话有所顾忌，但是他的怪癖思想给人新鲜感，所以人们并不对其加以批判。由于他这种少见的幽默风趣和他那充满青春朝气而又简单纯朴的心灵，使他成为今晚的奇特人物，给这个晚会增添了无尽的乐趣。他和拉斯蒂涅一起离开，男爵在送他回家的路上问他觉得王妃怎么样。","The evening concluded without any allusion to the princess.The other guests profited by the sort of exaltation which d’Arthez had reached, for he put forth the treasures of his mind.In Blondet and Rastignac he certainly had two acolytes of the first quality to bring forth the delicacy of his wit and the breadth of his intellect.As for the two women, they had long been counted among the cleverest in society.This evening was like a halt in the oasis of a desert,—a rare enjoyment, and well appreciated by these four persons, habitually victimized to the endless caution entailed by the world of salons and politics.There are beings who have the privilege of passing among men like beneficent stars, whose light illumines the mind, while its rays send a glow to the heart.D’Arthez was one of those beings.A writer who rises to his level, accustoms himself to free thought, and forgets that in society all things cannot be said; it is impossible for such a man to observe the restraint of persons who live in the world perpetually; but as his eccentricities of thought bore the mark of originality, no one felt inclined to complain.This zest, this piquancy, rare in mere talent, this youthfulness and simplicity of soul which made d’Arthez so nobly original, gave a delightful charm to this evening.He left the house with Rastignac, who, as they drove home, asked him how he liked the princess."
"“米歇尔爱她是有道理的。”德阿泰兹回答，“她的确是个不一般的女人。”","“Michel did well to love her,” replied d’Arthez; “she is, indeed, an extraordinary woman.”"
"“十分超凡。”拉斯蒂涅冷淡地说，“听你的口气，你已经爱上她了吧。不出三天你将会到她家里去。我对巴黎社会的这类事情如指掌了，知道你们之间将会发生些什么。那么，亲爱的达尼埃尔，我恳求你不要将金钱和爱情混为一谈。这么说吧，如果你觉得你对她有了爱慕之情，尽管去爱，可是要留心你的财产。她从没拿过也没要过任何男人一分钱，她那于克赛尔和卡迪央的家族太显赫了，不容许她做那样的事；但是据我所知，她除了花掉自己的一笔数目庞大的财产外，还挥霍掉好几百万其他男人的钱财。怎么花的？为什么花这么多钱？都花到哪些地方啦？谁都不晓得，连她自己都不知道。十三年前，我亲眼见她二十个月之内就挥霍完了一个可爱的年轻小伙子和一个老公证人的财产。”","“Very extraordinary,” replied Rastignac, dryly.“By the tone of your voice I should judge you were in love with her already.You will be in her house within three days; and I am too old a denizen of Paris not to know what will be the upshot of that.Well, my dear Daniel, I do entreat you not to allow yourself to be drawn into any confusion of interests, so to speak.Love the princess if you feel any love for her in your heart, but keep an eye on your fortune.She has never taken or asked a penny from any man on earth, she is far too much of a d’Uxelles and a Cadignan for that; but, to my knowledge, she has not only spent her own fortune, which was very considerable, but she has made others waste millions.How?why?by what means?No one knows; she doesn’t know herself.I myself saw her swallow up, some thirteen years ago, the entire fortune of a charming young fellow, and that of an old notary, in twenty months.”"
"“十三年前！她到底多大年纪了？”德阿泰兹惊叹道。","“Thirteen years ago!” exclaimed d’Arthez,—“why, how old is she now?”"
"“晚宴上你没看到她的儿子吗？德摩弗里纽斯公爵。那个十九岁的青年；那么十九岁加上十七岁是多少……","“Didn’t you see, at dinner,” replied Rastignac, laughing, “her son, the Duc de Maufrigneuse.That young man is nineteen years old; nineteen and seventeen make—”"
"“三十六岁！”这位作家惊叫道，“我以为她才二十岁。”","“Thirty-six!” cried the amazed author.“I gave her twenty.”"
"“她会接受的，你不必担心，对你来说，她永远都是二十岁。”拉斯蒂涅对他说。你将要步入一个最浪漫的世界。晚安，你到家了。”当马车驶入拜耳丰街德阿泰兹那漂亮的房子时男爵说，“这星期我们会在德图希小姐家见。”","“She’ll accept them,” said Rastignac; “but don’t be uneasy, she will always be twenty to you.You are about to enter the most fantastic of worlds.Good-night, here you are at home,” said the baron, as they entered the rue de Bellefond, where d’Arthez lived in a pretty little house of his own.“We shall meet at Mademoiselle des Touches’s in the course of the week.”"
"第三章 王妃进入角色","CHAPTER III THE PRINCESS GOES TO WORK"
"德阿泰兹就这样坠入情网，就像我们的托比大叔那样，没有做任何抵抗。他对这个女人无条件地崇拜，绝对地仰慕，他已经全身心地投入了这场恋爱。而王妃，这个高贵的生灵，这个丑陋的巴黎社会——所有事情（包括善恶）都可能存在——最杰出的创造之一，却成了他梦中的天使——无论时间的推移使这种表达变得多么粗俗。为了充分了解这位杰出的作家的突然转变，我们应当认识到，持续的工作和孤寂给他的心灵带来了简单。当对一个卑贱的女人所有的爱，降低到只是一种需要，继而让人感到厌恶时，爱情就会激发懊悔，并渴望灵魂深处那神圣的情感。聪明的德卡迪央王妃确实发现德阿泰兹像个孩子。而漂亮的迪亚娜也产生了和德阿泰兹一样的幻想。她最终遇到了这个令所有女人都痴狂的卓越男子，哪怕只是玩弄他——也是这些女人们愿意服从的一种力量，哪怕只是为获取征服这种力量的快乐。她终于找到了这样既有伟大智慧又有纯真灵魂的人，他给爱情注入了新鲜的活力。而且她有一种难以言表的快乐：她发现他身上的所有美德以一种让她喜悦的形式存在。她觉得德阿泰兹很英俊，或许他的确很英俊。尽管他已经到了沉稳的壮年（他已经三十八岁了），但他的生活严谨规矩，所以他依然青春犹存。和那些工作上需要久坐的人以及政客们一样，他的身体也相当丰腴。他年轻的时候，人们就觉得他和波拿巴·拿破仑有点相像。而这种相似至今仍未消失，虽然他的眼睛是黑的，头发又黑又浓，而那位君王的眼睛是蓝的，头发栗色而又稀疏。只是昔日这位伟大作家眼中所流露出的热切而崇高的锐气已被眼前的成功消磨殆尽了。他那曾饱含丰富思想的额头变得豁达明朗，那些曾经凹陷在脸上的皱纹也消失了。舒适的生活使他的脸色红润起来，而年轻时，贫困的生活使他不得不长期艰苦地工作，生活的压力使他的脸色暗黄。要是你仔细观察古代哲学家的尊贵脸庞，你总会从这种完美的脸庞中发现些偏差。每个脸庞都各有其特色，每个面部表情都有其根源性，深思的习惯以及脑力劳动所需的安静都磨练了他们的面部。比如像苏格拉底那类长相极不端正的人，经过长期的思考后，表情几乎接近神圣的安静。","D’Arthez allowed love to enter his heart after the manner of my Uncle Toby, without making the slightest resistance; he proceeded by adoration without criticism, and by exclusive admiration.The princess, that noble creature, one of the most remarkable creations of our monstrous Paris, where all things are possible, good as well as evil, became—whatever vulgarity the course of time may have given to the expression—the angel of his dreams.To fully understand the sudden transformation of this illustrious author, it is necessary to realize the simplicity that constant work and solitude leave in the heart; all that love—reduced to a mere need, and now repugnant, beside an ignoble woman—excites of regret and longings for diviner sentiments in the higher regions of the soul.D’Arthez was, indeed, the child, the boy that Madame de Cadignan had recognized.An illumination something like his own had taken place in the beautiful Diane.At last she had met that superior man whom all women desire and seek, if only to make a plaything of him,—that power which they consent to obey, if only for the pleasure of subduing it; at last she had found the grandeurs of the intellect united with the simplicity of a heart all new to love; and she saw, with untold happiness, that these merits were contained in a form that pleased her.She thought D’Arthez handsome, and perhaps he was.Though he had reached the age of gravity (for he was now thirty-eight), he still preserved a flower of youth, due to the sober and ascetic life which he had led.Like all men of sedentary habits, and statesmen, he had acquired a certainly reasonable embonpoint.When very young, he bore some resemblance to Bonaparte; and the likeness still continued, as much as a man with black eyes and thick, dark hair could resemble a sovereign with blue eyes and scanty, chestnut hair.But whatever there once was of ardent and noble ambition in the great author’s eyes had been somewhat quenched by successes.The thoughts with which that brow once teemed had flowered; the lines of the hollow face were filling out.Ease now spread its golden tints where, in youth, poverty had laid the yellow tones of the class of temperament whose forces band together to support a crushing and long-continued struggle.If you observe carefully the noble faces of ancient philosophers, you will always find those deviations from the type of a perfect human face which show the characteristic to which each countenance owes its originality, chastened by the habit of meditation, and by the calmness necessary for intellectual labor.The most irregular features, like those of Socrates, for instance, become, after a time, expressive of an almost divine serenity."
"德阿泰兹的头部高贵而质朴，除此之外，他还有孩子般天真自然的表情，以及动人的和蔼可亲。他没有那种虚假的礼貌，而社会上那些最有教养、最友好善良的人却利用这种虚假的礼貌，竭力表现他们所不具备的各种品质，结果往往使那些被欺骗的人遭受伤害和痛苦。由于离群索居，德阿泰兹可能的确没有注意到世俗社会的一些规则，但他从不触犯别人，因此，他这种原始的个性使这样一个天才人物异常地平易近人。这样的人知道如何在研究中放低架势，将自己摆在社会的平等位置，他们能像亨利四世那样，让孩子在自己的脊背上玩跳背游戏，为愚笨的人出谋划策。","To the noble simplicity which characterized his head, d’Arthez added a naive expression, the naturalness of a child, and a touching kindliness.He did not have that politeness tinged with insincerity with which, in society, the best-bred persons and the most amiable assume qualities in which they are often lacking, leaving those they have thus duped wounded and distressed.He might, indeed, fail to observe certain rules of social life, owing to his isolated mode of living; but he never shocked the sensibilities, and therefore this perfume of savagery made the peculiar affability of a man of great talent the more agreeable; such men know how to leave their superiority in their studies, and come down to the social level, lending their backs, like Henry IV., to the children’s leap-frog, and their minds to fools."
"王妃回到家时没有将这件事放在心上，就像德阿泰兹在王妃施展的魅力面前不想进行任何反抗。她对目前的情况很清楚。她既以自己的全部知识，又以自己的全部无知进行恋爱。如果她对自己有任何质疑的话，那就是问问自己，是否配得上如此伟大的幸福，她究竟做了什么好事，上帝竟然给她派来这样一个天使。她不愿辜负这份爱情，并想使它永存，永远地为自己所有，以便在她所能预知的天堂里慢慢结束自己放纵的生活。至于卖弄风情、吹毛求疵、攻击别人之类的事情，她想都没想过。她所想的完全是别的事情，比如天才人物的伟大之处，她猜想到天才人物是不会将他们选择的女人置于通常的律法之下的。","If d’Arthez did not brace himself against the spell which the princess had cast about him, neither did she herself argue the matter in her own mind, on returning home.It was settled for her.She loved with all her knowledge and all her ignorance.If she questioned herself at all, it was to ask whether she deserved so great a happiness, and what she had done that Heaven should send her such an angel.She wanted to be worthy of that love, to perpetuate it, to make it her own forever, and to gently end her career of frivolity in the paradise she now foresaw.As for coquetting, quibbling, resisting, she never once thought of it.She was thinking of something very different!—of the grandeur of men of genius, and the certainty which her heart divined that they would never subject the woman they chose to ordinary laws."
"这样一出无人知晓的喜剧开演了，这出戏在两个人物的内心深处上演，其中一个势必上另一个的当，但它继续上演着邪恶的一面。这是一出既险恶又滑稽的戏。与此相比，《伪君子》真可谓是小巫见到大巫。虽然这不是舞台上的戏，但这些情节既自然又真实，而且是迫不得已而为。这不是一出邪恶的戏，只是邪恶的反面而已。","Here begins one of those unseen comedies, played in the secret regions of the consciousness between two beings of whom one will be the dupe of the other, though it keeps on this side of wickedness; one of those dark and comic dramas to which that of @Tartuffe@ is mere child’s play,—dramas that do not enter the scenic domain, although they are natural, conceivable, and even justifiable by necessity; dramas which may be characterized as not vice, only the other side of it."
"王妃开始叫人搜集德阿泰兹的著作。关于他的著作，王妃之前连一个字都没看过。即便如此，她也曾和他就其作品进行过二十分钟充满溢美之辞的讨论而未露任何破绽。现在她读了他所有的书。她打算将他的书和当代文学中最好的著作进行比较。德阿泰兹来看她的时候，她精神上真有些消化不良。在这次拜访之前，她每天都要做一次高超的打扮，而且每次打扮都表达一种思想，使人通过眼睛接受它，但却不知道为什么。她身穿搭配得体的灰色装束，给人一种和谐之美，带点忧伤的色调，又有种脱俗的优雅。女人穿这样的服装，说明她已经厌倦了自己的生活，只是为了维系骨肉亲情，比如为了自己的儿子才继续活着。她的穿戴显示了她虽然厌恶生活，但依然保持着高雅的格调，还不至于到自杀的地步。她不会自杀的，她要在尘世中度过余生。","The princess began by sending for d’Arthez’s books, of which she had never, as yet, read a single word, although she had managed to maintain a twenty minutes’ eulogism and discussion of them without a blunder.She now read them all.Then she wanted to compare these books with the best that contemporary literature had produced.By the time d’Arthez came to see her she was having an indigestion of mind.Expecting this visit, she had daily made a toilet of what may be called the superior order; that is, a toilet which expresses an idea, and makes it accepted by the eye without the owner of the eye knowing why or wherefore.She presented an harmonious combination of shades of gray, a sort of semi-mourning, full of graceful renunciation,—the garments of a woman who holds to life only through a few natural ties,—her child, for instance,—but who is weary of life.Those garments bore witness to an elegant disgust, not reaching, however, as far as suicide; no, she would live out her days in these earthly galleys."
"她像一个期待德阿泰兹来临的女人那样接待他，好像他已经拜访过她上百次了。她像对待一个老熟人一样对待他，示意他坐到沙发上，等候她写完信函，这让他觉得轻松自在。他们的谈话以最普通的方式进行：谈论天气，谈论部里情况，还有德马尔赛的病情以及正统派的期望等。德阿泰兹是个专制主义者，会议厅内坐着十五或二十个代表正统王朝派的人，德阿泰兹坐在其中，王妃不可能忽视他的政见。王妃设法告诉他，她当初如何尽情地愚弄德马尔赛，然后把话题轻松地转移到皇室和夫人，以及德卡迪央亲王对王室所做的贡献。这样，她便把德阿泰兹的注意力移到了亲王身上：","She received d’Arthez as a woman who expected him, and as if he had already been to see her a hundred times; she did him the honor to treat him like an old acquaintance, and she put him at his ease by pointing to a seat on a sofa, while she finished a note she was then writing.The conversation began in a commonplace manner: the weather, the ministry, de Marsay’s illness, the hopes of the legitimists.D’Arthez was an absolutist; the princess could not be ignorant of the opinions of a man who sat in the Chamber among the fifteen or twenty persons who represented the legitimist party; she found means to tell him how she had fooled de Marsay to the top of his bent, then, by an easy transition to the royal family and to “Madame,” and the devotion of the Prince de Cadignan to their service, she drew d’Arthez’s attention to the prince:—"
"“这是我想替他说的，他热爱他的主人们，对他们忠心耿耿。他的个人生活使我受到种种痛苦，但他一心为公的气概又使我感到安慰。”她接着说，很巧妙地把亲王置于话题之外，“你什么都懂，但你是否注意到男人都有两种性格：一种是在私人生活中，对待家庭、妻子时的性格——这是真我，真我里不用带着面具过活，没有伪装，也不必费劲地掩饰真实感情，他们表现出来的就是本来面目，不过这种真实面目常常是可怕的！另一个是面对别人、面对世界、面对各种沙龙的性格。宫廷、君主以及政界和公众往往觉得他们伟大、高贵、慷慨，觉得他们拥有高尚的美德、温文尔雅的谈吐，还有浑身洋溢着的令人钦羡的才华。这是个多么恐怖的玩笑！——有时候人们奇怪，为什么某些女人和丈夫在一起时脸上还有刻薄的笑容，为什么她们在丈夫面前盛气凌人，对丈夫态度冷漠。”","“There is this to be said for him: he loved his masters, and was faithful to them.His public character consoles me for the sufferings his private life has inflicted upon me—Have you never remarked,” she went on, cleverly leaving the prince aside, “you who observe so much, that men have two natures: one of their homes, their wives, their private lives,—this is their true self; here no mask, no dissimulation; they do not give themselves the trouble to disguise a feeling; they are what they ARE, and it is often horrible!The other man is for others, for the world, for salons; the court, the sovereign, the public often see them grand, and noble, and generous, embroidered with virtues, adorned with fine language, full of admirable qualities.What a horrible jest it is!—and the world is surprised, sometimes, at the caustic smile of certain women, at their air of superiority to their husbands, and their indifference—”"
"王妃的手顺着椅子扶手垂下来，虽然话还没有说完，但这个动作却暗示着她已极好地表达完了自己的意思。她看到德阿泰兹正出神地注视着她那优雅地靠在软绵绵的座椅之中的柔软的身体，并注视着她长袍的曲线和她说话时在她胸部起伏的一个小褶皱（这种大胆的设计只适合腰身苗条的人），王妃重新理顺思路，好像在自言自语。","She let her hand fall along the arm of her chair, without ending her sentence, but the gesture admirably completed the speech.She saw d’Arthez watching her flexible figure, gracefully bending in the depths of her easy-chair, noting the folds of her gown, and the pretty little ruffle which sported on her breast,—one of those audacities of the toilet that are suited only to slender waists,—and she resumed the thread of her thoughts as if she were speaking to herself:—"
"“但是我不再说下去了。你们这些作家最终会把那些自认为被人误解或没有遇上好配偶，但却又试图引人注意的女人，弄得十分可笑。我必须说，这些行为在我看来是难以忍受的可耻行为。在这种困境下，女人只有两种选择——服从，则一切成定局；反抗，则会使自己陷入玩世不恭的境地。不论在哪种情况下，她们都应保持缄默。当然我既不会完全服从，也不会完全反抗。也许这是我应该保持沉默的最大的理由。女人们老是抱怨，这是多么愚蠢呀！如果她们不能证明自己比别人强，那是因为她们不够理智，没有谋略，缺乏能力，那么她们就该接受自己的命运。在法国，不是有的女人当上了法国皇后吗？她们随心所欲地玩弄男人，想什么时候玩弄就什么时候玩弄，想怎样玩弄就怎样玩弄。”她带着一种女性特有的鲁莽和嘲弄的神情抚弄着她的小香盒。“我经常听到一些可怜的同胞悔恨自己身为女人，她们宁愿生为男人。我总是带着同情的眼光看她们。要是让我选择的话，我还会选择做女人。靠威力取胜，靠你自己制定的所有律法所赋予你自己的一切权力取胜，这确实能给你带来快乐。但当我们看到你们跪在我们脚下，说傻话，做蠢事的时候——啊！我们会由衷地感到，这是弱者取得的胜利，这种快乐令人陶醉！而当我们真正胜利的时候，我们就应当保持沉默，不然我们就会失掉应有的威严。要是被打败了，女人的自尊心更应使自己保持沉默。而奴隶的沉默会使主人恐慌。”","“But I will say no more.You writers have ended by making ridiculous all women who think they are misunderstood, or ill-mated, and who try to make themselves dramatically interesting,—attempts which seem to me, I must say, intolerably vulgar.There are but two things for women in that plight to do,—yield, and all is over; resist, and amuse themselves; in either case they should keep silence.It is true that I neither yielded wholly, nor resisted wholly; but, perhaps, that was only the more reason why I should be silent.What folly for women to complain!If they have not proved the stronger, they have failed in sense, in tact, in capacity, and they deserve their fate.Are they not queens in France?They can play with you as they like, when they like, and as much as they like.”Here she danced her vinaigrette with an airy movement of feminine impertinence and mocking gayety.“I have often heard miserable little specimens of my sex regretting that they were women, wishing they were men; I have always regarded them with pity.If I had to choose, I should still elect to be a woman.A fine pleasure, indeed, to owe one’s triumph to force, and to all those powers which you give yourselves by the laws you make!But to see you at our feet, saying and doing foolish things,—ah!it is an intoxicating pleasure to feel within our souls that weakness triumphs!But when we triumph, we ought to keep silence, under pain of losing our empire.Beaten, a woman’s pride should gag her.The slave’s silence alarms the master.”"
"她娇声娇气地谈论着，话语中带着几分讽刺与嘲弄，还不时地夹带着如此妩媚的头部动作。德阿泰兹从未见识过这种女人，他简直像一只鹧鸪碰上猎犬似的被镇住了。","This chatter was uttered in a voice so softly sarcastic, so dainty, and with such coquettish motions of the head, that d’Arthez, to whom this style of woman was totally unknown, sat before her exactly like a partridge charmed by a setter."
"“我恳求您，夫人，”他终于说话了，“请您告诉我，一个男人怎么能够使您遭受痛苦呢？我敢断言，正如你所说的，在别的女人都显得庸俗普通的场合下，唯独您能够显得那样高贵。还有您说起话来，简直能使一本枯燥的菜谱变得引人入胜。”","“I entreat you, madame,” he said, at last, “to tell me how it was possible that a man could make you suffer?Be assured that where, as you say, other women are common and vulgar, you can only seem distinguished; your manner of saying things would make a cook-book interesting.”"
"“您的友谊来得真快，”她的语调变得有些严肃，这令德阿泰兹极为不安。","“You go fast in friendship,” she said, in a grave voice which made d’Arthez extremely uneasy."
"他们转换了话题，而且时间也不早了，这位可怜的天才人物离开的时候后悔自己显得好奇，后悔自己伤害了那颗敏感的心，那个有过不同寻常遭遇的不凡的女人的心。而她的生活已经在同男人的寻欢作乐中度过了，她就是女性中的唐璜，不同的是：她当然不会邀请石像来赴宴，她比任何石像都厉害。","The conversation changed; the hour was late, and the poor man of genius went away contrite for having seemed curious, and for wounding the sensitive heart of that rare woman who had so strangely suffered.As for her, she had passed her life in amusing herself with men, and was another Don Juan in female attire, with this difference: she would certainly not have invited the Commander to supper, and would have got the better of any statue."
"不提一提卡迪央亲王，这个故事就不可能继续下去。这位亲王又被称为德摩弗里纽斯公爵，他的这个称呼更为人所知。不把情况交代清楚，王妃的谎言就会索然无味，不明就里的人就很难理解她为玩弄这个天才人物所上演的巴黎闹剧。","It is impossible to continue this tale without saying a word about the Prince de Cadignan, better known under the name of the Duc de Maufrigneuse, otherwise the spice of the princess’s confidences would be lost, and strangers would not understand the Parisian comedy she was about to play for her man of genius."
"德摩弗里纽斯公爵是老德卡迪央亲王的嫡子，他是一个身材瘦长、外表儒雅的人，温文尔雅、谈吐幽默。蒙上帝厚爱，他当上了上校，又因偶然的机会被评为优秀军人。他有波兰人的勇猛，这说明他没有理智和清醒的头脑。他善于用社交界流行的行话来掩盖自己的无知。从三十六岁起，他就像他的国王夏尔十世一样，被迫对女性完全失去兴趣，他也曾像他的国王一样，因太招女人喜欢而受惩罚。十八年间，他一直是圣日耳曼地区的人们崇拜的偶像，他像所有的贵族子弟一样，曾经过着放纵的生活，整日里寻欢作乐，无所事事。他的父亲在大革命中遭到迫害，波旁王朝复辟后又恢复职位，管理一处皇宫，有着丰厚的薪金和津贴。但是这种不明的财富使老亲王过上优裕生活的同时，也使他革命前的贵族霸气延续下来；以至于赔偿法通过后，他得到的所有赔款都花在了他那宏伟的官邸的豪华排场上。","The Duc de Maufrigneuse, like a true son of the old Prince de Cadignan, is a tall, lean man, of elegant shape, very graceful, a sayer of witty things, colonel by the grace of God, and a good soldier by accident; brave as a Pole, which means without sense or discernment, and hiding the emptiness of his mind under the jargon of good society.After the age of thirty-six he was forced to be as absolutely indifferent to the fair sex as his master Charles X., punished, like that master, for having pleased it too well.For eighteen years the idol of the faubourg Saint-Germain, he had, like other heirs of great families led a dissipated life, spent solely on pleasure.His father, ruined by the revolution, had somewhat recovered his position on the return of the Bourbons, as governor of a royal domain, with salary and perquisites; but this uncertain fortune the old prince spent, as it came, in keeping up the traditions of a great seigneur before the revolution; so that when the law of indemnity was passed, the sums he received were all swallowed up in the luxury he displayed in his vast hotel."
"这位德卡迪央老亲王在七月革命不久后便去世了，享年八十七岁。他挥霍完了他妻子的财产，之后很长一段时间，他和德纳瓦兰公爵关系不愉快，这个人娶了他的女儿做第一任妻子，老公爵到最后也很不情愿向他偿还债务。德摩弗里纽斯公爵以前和德于克赛尔斯公爵夫人关系甚为亲密。大约一八一四年，德摩弗里公爵四十六岁，那时他还是一贫如洗，公爵夫人可怜他，见他在宫廷受到重视，就将女儿迪亚娜嫁给他。她女儿那时才十七岁，就拥有大约五六万法郎的年金，还不包括她将来继承母亲的遗产。德于克赛尔斯小姐就这样成了公爵夫人，正如她母亲所预见的那样，她享有绝对的自由。出乎意料的幸福降临到公爵身上，他有了继承人后，便让他妻子在行动上享有完全的自由，而他自己则从法国这个驻地到另一个驻地，尽情娱乐，偶尔才返回巴黎。他在巴黎欠了很多债，还得由他父亲来偿还。他声称给妻子最大限度的宽容，总是在他回家前提前一周通知公爵夫人。他受到部队人的崇拜，得到皇太子的宠爱，他是一个机智的仕臣，虽有点喜欢赌博，但完全不矫揉造作。公爵继承了父亲生前的职务，管辖着一片皇室的领地，并且非常懂得如何取悦路易十八和查理十世，这足以证明他虽没什么才干，却也尽力做到最好，甚至自由派也都喜欢他。不过，他的这种表现和生活全都经过了最鲜亮的清漆粉饰：优雅的言谈，贵族的礼节和风度都被他发挥到了极致。然而，正如老亲王所说，他是不可能再继续卡迪央家的吃光老婆财产这一传统了，因为公爵夫人已经把自己的财产吃光了。","The old prince died some little time before the revolution of July aged eighty-seven.He had ruined his wife, and had long been on bad terms with the Duc de Navarreins, who had married his daughter for a first wife, and to whom he very reluctantly rendered his accounts.The Duc de Maufrigneuse, early in life, had had relations with the Duchesse d’Uxelles.About the year 1814, when Monsieur de Maufrigneuse was forty-six years of age, the duchess, pitying his poverty, and seeing that he stood very well at court, gave him her daughter Diane, then in her seventeenth year, and possessing, in her own right, some fifty or sixty thousand francs a year, not counting her future expectations.Mademoiselle d’Uxelles thus became a duchess, and, as her mother very well knew, she enjoyed the utmost liberty.The duke, after obtaining the unexpected happiness of an heir, left his wife entirely to her own devices, and went off to amuse himself in the various garrisons of France, returning occasionally to Paris, where he made debts which his father paid.He professed the most entire conjugal indulgence, always giving the duchess a week’s warning of his return; he was adored by his regiment, beloved by the Dauphin, an adroit courtier, somewhat of a gambler, and totally devoid of affectation.Having succeeded to his father’s office as governor of one of the royal domains, he managed to please the two kings, Louis XVIII. and Charles X., which proves he made the most of his nonentity; and even the liberals liked him; but his conduct and life were covered with the finest varnish; language, noble manners, and deportment were brought by him to a state of perfection.But, as the old prince said, it was impossible for him to continue the traditions of the Cadignans, who were all well known to have ruined their wives, for the duchess was running through her property on her own account."
"这些细节在宫廷里和圣日耳曼地区已广为人知，因此在王政复辟时期的最后五年里，大家都觉得这些事已经成了久远的历史，如果有谁提及便会遭到嘲笑。提起这位充满魅力的公爵，女人们总是恭维备至。她们说公爵对妻子好得不得了，没有一个比他更好的男人了。他任妻子自由地支配自己的财产并随时随地地保护她。尽管公爵夫人有很多侍从，并且有德于克塞尔老公爵夫人，纳瓦兰公爵，她的公公和她丈夫的姑母的声望作后盾，有一点是肯定的：不管是出于自尊心，善意还是出于骑士精神，德摩弗里纽斯先生在各种不同场合下都救过公爵夫人，而如果其他女人遇到这些情况可能就会遭殃。","These particulars were so well understood in the court circles and in the faubourg Saint-Germain, that during the last five years of the Restoration they were considered ancient history, and any one who mentioned them would have been laughed at.Women never spoke of the charming duke without praising him; he was excellent, they said, to his wife; could a man be better?He had left her the entire disposal of her own property, and had always defended her on every occasion.It is true that, whether from pride, kindliness, or chivalry, Monsieur de Maufrigneuse had saved the duchess under various circumstances which might have ruined other women, in spite of Diane’s surroundings, and the influence of her mother and that of the Duc de Navarreins, her father-in-law, and her husband’s aunt."
"几天来，在德阿泰兹眼中，王妃在文学方面的知识显得越来越出色。由于日夜苦读，她能大胆地谈论那些最困难的问题。这种不畏艰苦的精神是最值得赞扬的。德阿泰兹大为惊讶，他怎么也无法相信迪亚娜·德于克塞尔竟然能在晚上就把当天早晨阅读的东西复述出来（像一些作家一样）。因此，他把她看作是位优秀的女人。然而这些谈话远离了迪亚娜的目标，曾经在她撒娇似的拒绝之后，德阿泰兹谨慎地退却了，她现在试图重新拥有情人间亲密无间的感觉；可是要想让他这种个性的人在曾经被吓跑的情况下回心转意，并非像她想得那么容易。","For several ensuing days the princess revealed herself to d’Arthez as remarkable for her knowledge of literature.She discussed with perfect fearlessness the most difficult questions, thanks to her daily and nightly reading, pursued with an intrepidity worthy of the highest praise.D’Arthez, amazed, and incapable of suspecting that Diane d’Uxelles merely repeated at night that which she read in the morning (as some writers do), regarded her as a most superior woman.These conversations, however, led away from Diane’s object, and she tried to get back to the region of confidences from which d’Arthez had prudently retired after her coquettish rebuff; but it was not as easy as she expected to bring back a man of his nature who had once been startled away."
