"第一章","CHAPTER I"
"“因萨罗夫到底是怎么办到的？那个德国人看起来不是比他壮实很多吗？”卓娅问道。","‘And how did Mr. Insarov manage it?why the German was three times his size?’ said Zoya."
"“让我来告诉你吧，”尤瓦·伊万诺维奇一边说着，一边不停地抹着眼泪，“我当时看到了，他的一只胳膊环绕在他的腰间，并用脚狠狠地绊了他一下，然后他就掉进水里了！我听到——扑通一声巨响——他就被扔了出去。”","‘I’ll tell you,’ answered Uvar Ivanovitch, rubbing his eyes, ‘I saw; with one arm about his waist, he tripped him up, and he went plop!I heard—a splash—there he went.’"
"两辆马车渐渐地远去，此时已经赶了很长时间的路了，察里津诺古堡也逐渐地消失在了眼帘里，而尤瓦·伊万诺维奇却依旧控制不住自己的情绪。后来，跟他坐在一起的舒宾忍不住地嘲笑起他来。","Long after the carriages had started, long after the castle of Tsaritsino was out of sight, Uvar Ivanovitch was still unable to regain his composure.Shubin, who was again with him in the carriage, began to cry shame on him at last."
"然而，因萨罗夫却觉得很不好意思。他正对着埃琳娜坐在马车里（别尔谢涅夫坐在赶车的位置上），一句话都不说，而她也是沉默不语。他猜想，她肯定是在心里责备自己刚才的鲁莽，但是她却没有责备他。她从一开始比较害怕，后来他脸上的神情让她感到十分惊奇，接着她就一直在思索着。她本人也不清楚自己到底在思索着什么。白天她所经历的情感现在都已消失殆尽，她也意识到了这点，此刻，这种情感已被另一种她也说不清楚的感觉代替了。这次游玩结束得太晚，转眼间夜幕已降临。两辆马车在路上疾驶着，有时路过成熟的庄稼田地，那里的空气里充满了小麦的芬芳，有时会路过宽阔的草地，一阵阵新鲜的空气就会迎面扑来。此时，整个天空就好像一层烟雾笼罩在地平线上。最后，月亮升了起来，暗淡而又鲜红。安娜·瓦西里耶夫娜此刻已经闭上了眼睛，而卓娅则把脑袋探出窗外，呆呆地望着外面的大路。埃琳娜终于意识到，她已经有一个多小时没有跟因萨罗夫说过话了。于是她请教了他一个无关痛痒的问题，他立刻高兴地回答了她。空气中传来了一阵模糊不清的声音，就好像是远处的各种声响被夹杂在了一起，他们已经离莫斯科很近了。远处的灯光若隐若现，渐渐地，那些光线便强了起来，终于，他们来到了铺有鹅卵石的路面上了。安娜·瓦西里耶夫娜醒了过来，大家在马车里也都开始说起话来，尽管都听不清楚对方在讲着什么，所有的声音都被车轮声和马蹄声给淹没了。从莫斯科到孔佐沃的路程仿佛变得既遥远又疲惫，大家要么已经睡着，要么就是沉默不语，都把脑袋靠在各自的角落里，埃琳娜睁着眼睛，她一直在凝视着因萨罗夫那朦胧的身影。一股悲伤的情绪萦绕在舒宾的心中，微风吹过他的眼睛，也会刺激到他，他拢了拢大衣领子，眼眶里充满了泪水。尤瓦·伊万诺维奇平静地打着鼾睡着了，身体在不停地晃悠着。马车终于停了下来。两个仆人把安娜·瓦西里耶夫娜搀了下来，此刻她已经精疲力尽了，和大家分别时，她声称自己快“累死了”，大家都纷纷向她表示感谢，但她却一直在重复着“累死了”。埃琳娜在分别时第一次握了下因萨罗夫的手掌，接着就在窗前坐了很长时间，舒宾趁机对别尔谢涅夫低声说道：","Insarov felt ashamed.He sat in the coach facing Elena (Bersenyev had taken his seat on the box), and he said nothing; she too was silent.He thought that she was condemning his action; but she did not condemn him.She had been scared at the first minute; then the expression of his face had impressed her; afterwards she pondered on it all.It was not quite clear to her what the nature of her reflections was.The emotion she had felt during the day had passed away; that she realised; but its place had been taken by another feeling which she did not yet fully understand.The partie de plaisir had been prolonged too late; insensibly evening passed into night.The carriage rolled swiftly along, now beside ripening cornfields, where the air was heavy and fragrant with the smell of wheat; now beside wide meadows, from which a sudden wave of freshness blew lightly in the face.The sky seemed to lie like smoke over the horizon.At last the moon rose, dark and red.Anna Vassilyevna was dozing; Zoya had poked her head out of window and was staring at the road.It occurred to Elena at last that she had not spoken to Insarov for more than an hour.She turned to him with a trifling question; he at once answered her, delighted.Dim sounds began stirring indistinctly in the air, as though thousands of voices were talking in the distance; Moscow was coming to meet them.Lights twinkled afar off; they grew more and more frequent; at last there was the grating of the cobbles under their wheels.Anna Vassilyevna awoke, every one in the carriage began talking, though no one could hear what was said; everything was drowned in the rattle of the cobbles under the two carriages, and the hoofs of the eight horses.Long and wearisome seemed the journey from Moscow to Kuntsovo; all the party were asleep or silent, leaning with their heads pressed into their respective corners; Elena did not close her eyes; she kept them fixed on Insarov’s dimly-outlined figure.A mood of sadness had come upon Shubin; the breeze was blowing into his eyes and irritating him; he retired into the collar of his cloak and was on the point of tears.Uvar Ivanovitch was snoring blissfully, rocking from side to side.The carriages came to a standstill at last.Two men-servants lifted Anna Vassilyevna out of the carriage; she was all to pieces, and at parting from her fellow travellers, announced that she was ‘nearly dead’; they began thanking her, but she only repeated, ‘nearly dead.’ Elena for the first time pressed Insarov’s hand at parting, and for a long while she sat at her window before undressing; Shubin seized an opportunity to whisper to Bersenyev:"
"“瞧，他可真是个大英雄，他竟然可以把喝醉了的德国人扔进水里去！”","‘There, isn’t he a hero; he can pitch drunken Germans into the river!’"
"“然而你却办不到。”别尔谢涅夫反驳道，然后就和因萨罗夫一起回去了。","‘While you didn’t even do that,’ retorted Bersenyev, and he started homewards with Insarov."
"当这两个年轻人回到别墅的时候，天空已经露出了白肚皮。此刻，太阳还没有出来，但是空气中已经传来了阵阵凉意，灰白色的露水出现在了草地上，早起的一群云雀在朦胧辽阔的天空中大声叫着，那里还有最后一颗星星挂在空中，像一只独眼似的俯瞰着整个大地。","The dawn was already showing in the sky when the two friends reached their lodging.The sun had not yet risen, but already the chill of daybreak was in the air, a grey dew covered the grass, and the first larks were trilling high, high up in the shadowy infinity of air, whence like a solitary eye looked out the great, last star."
"第十六章","CHAPTER XVI"
"和因萨罗夫熟识之后，埃琳娜（第五次或者是第六次）开始写日记了。下面的内容节选自她的日记：","Soon after her acquaintance with Insarov, Elena (for the fifth or sixth time) began a diary.Here are some extracts from it:"
"“六月……安德烈·彼得罗维奇拿了几本书给我，但我却读不下去。我不好意思跟他讲实话，但我又不想在还书的时候骗他说我已看过了。我觉得那样会伤害到他。他一直都很关心我。看起来他可能有点儿喜欢我吧。他真是个好人，安德烈·彼得罗维奇……我在想些什么啊？为什么我心里会感到这样地沉重，这样地压抑？为什么我看到飞过的小鸟时会感到嫉妒？我感觉到，我很希望跟它们一起翱翔在空中，去哪里我不知道，但一定要远离这个地方。我这种想法难道不邪恶吗？我的父母，我的家庭全在这边。难道我不爱他们了吗？是的，我现在已经不像我所希望的那样爱他们了。要承认这一点真得很可怕，但这却是事实。或许我天生就是个充满罪恶感的人，或许这就是我内心伤感和不安的原因吧。好像有一只无形的手抓住了我，把我摁倒，我好像被关在了一个监狱里，四周的墙壁马上就要朝我这边倒来。为什么别人没有这种感觉呢？如果我对自己的双亲都冷漠不语，那我还会爱谁呢？很明显，父亲是对的，他老是责备我说除了小猫小狗，我就不会爱别人了。这点我要好好想想。我很少祈祷的，但我现在应该去祷告一下……啊，我觉得我是知道怎样去爱的！当和因萨罗夫先生在一起的时候，我还是感觉很害羞。我不知道这是为什么，我觉得我已经不是个小女孩了，他是如此地坦诚，如此地友好。有时，他也会摆出一副严肃的样子。他没有过多的时间来看望我们。我感觉到了这些，也就不好意思再去占用他的时间了。而安德烈·彼得罗维奇则恰恰相反。我可以跟他聊一整天。但他总是在说因萨罗夫。总是告诉我一些关于他的可怕的事情！昨晚我还看到他出现在我梦里，手里拿着一把匕首。好像在对我说：‘我要杀了你，然后再杀掉我自己！’这简直太荒谬了！","‘June….Andrei Petrovitch brings me books, but I can’t read them.I’m ashamed to confess it to him; but I don’t like to give back the books, tell lies, say I have read them.I feel that would mortify him.He is always watching me.He seems devoted to me.A very good man, Andrei Petrovitch….What is it I want?Why is my heart so heavy, so oppressed?Why do I watch the birds with envy as they fly past?I feel that I could fly with them, fly, where I don’t know, but far from here.And isn’t that desire sinful?I have here mother, father, home.Don’t I love them?No, I don’t love them, as I should like to love.It’s dreadful to put that in words, but it’s the truth.Perhaps I am a great sinner; perhaps that is why I am so sad, why I have no peace.Some hand seems laid on me, weighing me down, as though I were in prison, and the walls would fall on me directly.Why is it others don’t feel this?Whom shall I love, if I am cold to my own people?It’s clear, papa is right; he reproaches me for loving nothing but cats and dogs.I must think about that.I pray very little; I must pray…. Ah, I think I should know how to love!…I am still shy with Mr. Insarov.I don’t know why; I believe I’m not schoolgirlish generally, and he is so simple and kind.Sometimes he has a very serious face.He can’t give much thought to us.I feel that, and am ashamed in a way to take up his time.With Andrei Petrovitch it’s quite a different thing.I am ready to chat with him the whole day long.But he too always talks of Insarov.And such terrible facts he tells me about him!I saw him in a dream last night with a dagger in his hand.And he seemed to say to me, “I will kill you and I will kill myself!”What silliness!"
"“啊，如果有人这样对我说：‘你必须这样做！’要有一颗善心——这还不够，要多做善事……是的，这才是人生中最重要的事情。但是，要怎样做善事呢？哦，如果我能学会控制自己该多好啊！我不知道我为什么老是想起因萨罗夫先生。当他过来拜访，坐下来认真地听着时，他自己一点儿都不紧张，泰然自若，我看着他心里就会觉得很高兴，就是这样而已，当他离开以后，我会一直琢磨着他刚才所说的话，不断地埋怨着自己，甚至会感到失落。我不知道这是为什么。（他法语说得不好，但却并没有觉得不好意思——我很喜欢他这点。）然而，我总是对新结交的朋友想得很多。每次跟他讲话时，我就会突然想起我们的男管家，瓦西里，他曾从一个着火的茅草屋里救出一个上了年纪的瘸子，而自己也差点儿丢了性命。父亲夸他是个勇敢的人，母亲奖励了他五卢布，而我对他则佩服得五体投地。他有一张极其平凡的面孔——甚至看起来有点儿愚蠢——后来他却嗜酒如命……","‘Oh, if some one would say to me: “There, that’s what you must do!”Being good—isn’t much; doing good… yes, that’s the great thing in life.But how is one to do good?Oh, if I could learn to control myself!I don’t know why I am so often thinking of Mr. Insarov.When he comes and sits and listens intently, but makes no effort, no exertion himself, I look at him, and feel pleased, and that’s all, and when he goes, I always go over his words, and feel vexed with myself, and upset even.I can’t tell why.(He speaks French badly and isn’t ashamed of it—I like that.)I always think a lot about new people, though.As I talked to him, I suddenly was reminded of our butler, Vassily, who rescued an old cripple out of a hut that was on fire, and was almost killed himself.Papa called him a brave fellow, mamma gave him five roubles, and I felt as though I could fall at his feet.And he had a simple face—stupid-looking even—and he took to drink later on…."
"“今天我给了一个女乞丐一便士，她对我说：‘你怎么看起来这样伤心？’我从来没想到我看起来会伤感。我猜想这可能是因为孤独的原因吧，不管我是善良还是邪恶，都是一样地孤单！没有人朝我伸出手来。那些靠近我的人，都不是我想要的，而我想接近的人——却一个个都离我远去。","‘I gave a penny to-day to a beggar woman, and she said to me, “Why are you so sorrowful?”I never suspected I looked sorrowful.I think it must come from being alone, always alone, for better, for worse!There is no one to stretch out a hand to me.Those who come to me, I don’t want; and those I would choose—pass me by."
"“……我不知道今天是怎么回事，我脑中十分混乱，我想跪在地上请求宽恕。我不知道是谁又如何让我这样难过，但我清楚我现在已经饱受折磨，我在心里叛逆地呐喊着，我泪流满面，内心无法平静……哦，我的上帝，请制止住我内心的这些纷乱吧！只有你才能挽救我，其他的都没有用，我那微不足道的施舍也好，那满腹经纶的学问也罢，所有的这一切都无法帮助我。我很想去某个地方当个佣人，真的，这样我就不会再难受了。","‘…I don’t know what’s the matter with me to-day; my head is confused, I want to fall on my knees and beg and pray for mercy.I don’t know by whom or how, but I feel as if I were being tortured, and inwardly I am shrieking in revolt; I weep and can’t be quiet….O my God, subdue these outbreaks in me!Thou alone canst aid me, all else is useless; my miserable alms-giving, my studies can do nothing, nothing, nothing to help me.I should like to go out as a servant somewhere, really; that would do me good."
"“我的青春应该怎样度过，我为何而活，我的灵魂该寄放在哪里，这一切都是为了什么？","‘What is my youth for, what am I living for, why have I a soul, what is it all for?"
"“……因萨罗夫，因萨罗夫先生——真的，我不知道该如何下笔——他一直都让我好奇，我很想知道，他内心里到底在想些什么？他看起来很坦诚、一副很容易交往的样子，但我却一点儿都不了解他。有时他会用那种探究的目光看着我——还是这只是我的猜想而已？保罗一直取笑我。我很不喜欢他。他到底想做什么？他爱上了我……但他的爱对我无益。他也爱上了卓娅。我不爱他，这对他不公平，昨天他还跟我说我从来都没喜欢过他……确实是这样。真是糟糕透顶了。","‘… Insarov, Mr. Insarov—upon my word I don’t know how to write—still interests me, I should like to know what he has within, in his soul?He seems so open, so easy to talk to, but I can see nothing.Sometimes he looks at me with such searching eyes—or is that my fancy?Paul keeps teasing me.I am angry with Paul.What does he want?He’s in love with me… but his love’s no good to me.He’s in love with Zoya too.I’m unjust to him; he told me yesterday I didn’t know how to be unjust by halves… that’s true.It’s very horrid."
"“啊，我觉得每个人都需要感受一下不幸、贫穷或是痛苦，否则我们很快就会自以为是的。","‘Ah, I feel one needs unhappiness, or poverty or sickness, or else one gets conceited directly."
"“……今天安德烈·彼得罗维奇为何会跟我讲那两个保加利亚人的事情呢！他好像是故意说给我听的。这跟我和因萨罗夫先生有什么关系呢？我对安德烈·彼得罗维奇的感觉有些复杂。","‘… What made Andrei Petrovitch tell me to-day about those two Bulgarians!He told me it as it were with some intention.What have I to do with Mr. Insarov?I feel cross with Andrei Petrovitch."
"“……我拿起笔却不知道该写些什么。今天实在是太意外了，他竟然在花园里主动跟我聊天！他这个人是多么地友好，多么地让人信赖啊！这件事发生得太突然了！就好像我们以前就已相识，只是刚刚才认出对方而已。我以前怎么没能了解他啊？此刻他跟我是如此地亲近！而这——实在是太美好了——现在我内心里感觉到一种从来没有过的平静。真是可笑，昨天我还生着安德烈·彼得罗维奇的气，对他感到很是不满，甚至我还叫他因萨罗夫先生，可是今天……至少他是一个坦诚的人，一个可以让人信赖的男人。他从来都不骗人，他是我碰到的第一个不会说谎的人，其他的人都在撒谎，说着各种各样的假话。安德烈·彼得罗维奇，他是一个很好的朋友，为什么我要伤害他呢？不！安德烈·彼得罗维奇要比他更加有学问，或许比他还聪明些。然而我不明白的是，他在因萨罗夫旁边竟然看起来那么渺小。当他谈到自己的祖国时，他的形象立马高大了起来，他的脸孔看起来神采奕奕，他的声音听起来如钢铁般坚强，同时……不……彷佛这世上没有人可以将他打倒。他不是只在口头上说说而已……他已付诸了行动，而且将会继续下去，我想问问他……他突然转过头来朝我笑了笑！只有和兄弟之间才有这样的微笑！啊，我实在是太兴奋了！当他第一次前来拜访时，我怎么没有想到我们的关系会发展得如此迅速。现在，我甚至还为我第一次见到他时表现出来的冷淡而感到高兴。冷淡？难道我现在对他不冷淡了吗？很长时间我的内心都没有如此平静了。我感到很平静，很平静。没有什么可写了吗？我经常看到他，仅此而已。还有什么可写的呢？","‘… I take my pen and don’t know how to begin.How unexpectedly he began to talk to me in the garden to-day!How friendly and confiding he was!How quickly it happened!As if we were old, old friends and had only just recognised each other.How could I have not understood him before?How near he is to me now!And—what’s so wonderful—I feel ever so much calmer now.It’s ludicrous; yesterday I was angry with Andrei Petrovitch, and angry with him, I even called him Mr. Insarov, and to-day…Here at last is a true man; some one one may depend upon.He won’t tell lies; he’s the first man I have met who never tells lies; all the others tell lies, everything’s lying.Andrei Petrovitch, dear good friend, why do I wrong you?No! Andrei Petrovitch is more learned than he is, even, perhaps more intellectual.But I don’t know, he seems so small beside him.When he speaks of his country he seems taller, and his face grows handsome, and his voice is like steel, and… no… it seems as though there were no one in the world before whom he would flinch.And he doesn’t only talk…. he has acted and he will act I shall ask him…. How suddenly he turned to me and smiled!…It’s only brothers that smile like that!Ah, how glad I am!When he came the first time, I never dreamt that we should so soon get to know each other.And now I am even pleased that I remained indifferent to him at first.Indifferent? Am I not indifferent then now?…It’s long since I have felt such inward peace.I feel so quiet, so quiet.And there’s nothing to write?I see him often and that’s all.What more is there to write?"
"“……保罗把自己关了起来，安德烈·彼得罗维奇也不经常过来了……可怜的家伙们！我感觉他……然而这是不可能的事情。我喜欢跟安德烈·彼得罗维奇交谈，他总是避免谈自己，经常聊一些切合实际的、有用处的事情。这跟舒宾完全不同。舒宾总是像只蝴蝶似的穿得十分完美，并引以为傲，而蝴蝶们是不会这样做的。然而舒宾和安德烈·彼得罗维奇这两个人……我很清楚我的想法。","‘… Paul shuts himself up, Andrei Petrovitch has taken to coming less often…. poor fellow!I fancy he…But that can never be, though.I like talking to Andrei Petrovitch; never a word of self, always of something sensible, useful.Very different from Shubin.Shubin’s as fine as a butterfly, and admires his own finery; which butterflies don’t do.But both Shubin and Andrei Petrovitch….I know what I mean."
"“……他很喜欢过来拜访我们，我是知道的。但是为什么呢？他从我这里发现了什么？的确，我们志趣相投，我和他两个人都不怎么喜欢诗歌，我们也都不懂艺术。但是，他要比我强许多！他一直都很平静，但我却总是心神不宁，他已经选择了自己的道路，自己的目标——但我呢——我该何去何从？哪里才是我的归宿？他沉着冷静，但是他所有的想法都很遥远。有那么一天，他将会永远地离开我们，越过大海，回到自己的祖国。这该怎么办呢？愿上帝祝福他！然而不管怎样，我还是很高兴能够认识他，很高兴他还在这里。","‘… He enjoys coming to us, I see that.But why?what does he find in me?It’s true our tastes are alike; he and I, both of us don’t care for poetry; neither of us knows anything of art. But how much better he is than I!He is calm, I am in perpetual excitement; he has chosen his path, his aim—while I—where am I going?where is my home?He is calm, but all his thoughts are far away.The time will come, and he will leave us for ever, will go home, there over the sea.Well?God grant he may!Any way I shall be glad that I knew him, while he was here."
"“为什么他不是俄国人呢？不，他怎么可能是俄国人啊。”","‘Why isn’t he a Russian?No, he could not be Russian."
"“母亲也很喜欢他，说他是一位虚心的年轻人。亲爱的母亲！她并不了解他。保罗什么话也不说，他已经猜到了我不喜欢他的暗示，但是他很嫉妒他。令人反感的家伙！不过他为何会这样？难道我曾经……这些事情简直太荒谬了！我怎么会想到这些东西呢？","‘Mamma too likes him; she says: an unassuming young man.Dear mamma!She does not understand him.Paul says nothing; he guessed I didn’t like his hints, but he’s jealous of him.Spiteful boy!And what right has he?Did I ever…All that’s nonsense!What makes all that come into my head?"
"“……然而这是不是有点儿奇怪啊，我现在已经二十岁了，但却从来没有喜欢上一个人！我觉得德（我称呼他为德——我很喜欢德米特里这个名字）内心十分淡定的原因就在于他把自己完完全全地奉献给了自己的事业，自己的理想。这样他还有什么可烦心的事呢？当一个人完完全全地……完完全全地……把自己奉献出去的时候，那么他就没有什么事情可担忧了。如此一来，就不是我想怎么做了，而且它需要我做些什么。顺便说一下，我和他两个人都很喜欢同一种花。今天早上我摘了一朵玫瑰，一片花瓣落在了地上，他就把它捡了起来……然后我就将整朵花送给了他。","‘… Isn’t it strange though, that up till now, up to twenty, I have never loved any one!I believe that the reason why D.’s (I shall call him D.—I like that name Dmitri) soul is so clear, is that he is entirely given up to his work, his ideal.What has he to trouble about?When any one has utterly… utterly… given himself up, he has little sorrow, he is not responsible for anything.It’s not I want, but it wants.By the way, he and I both love the same flowers.I picked a rose this morning, one leaf fell, he picked it up….I gave him the whole rose."
"“……德经常过来拜访我们。昨天整个晚上他都在这里。他想教我保加利亚语。跟他在一起我很快乐，就像在家里一样，比呆在家里还有趣。","‘… D. often comes to us.Yesterday he spent the whole evening.He wants to teach me Bulgarian.I feel happy with him, quite at home, more than at home."
"“……时间过得真快……我很开心，但不知为何内心会感到不满，我很感激上苍，我快要掉泪了。哦，多么热闹、多么美好的日子啊！","‘… The days fly past….I am happy, and somehow discontent and I am thankful to God, and tears are not far off.Oh these hot bright days!"
"“……我还是跟以前那样开心快乐，但偶尔也会觉得有点儿感伤。我很开心。我真的开心吗？","‘… I am still light-hearted as before, and only at times, and only a little, sad.I am happy.Am I happy?"
"“……昨天的远足我会牢记在心的。当他猛地抓住那个巨人，像丢皮球似的把他扔到水里的时候，给我留下了极其奇特、新奇又可怕的印象。我并没有因此而感到害怕……但是他却吓到了我。随后——他的脸色变得十分可怕，几乎达到了残忍的地步！他那样说道：‘他自己会游上来的！’这让我十分震惊。很明显，我还是不了解他。接着，当大家都笑起来的时候，我也跟着笑了，我替他感到难过！他有点儿不好意思，我感觉到他在我面前有点儿难为情。当夜晚降临的时候，他在马车里给我说了这些，当时我试图好好地了解一下他，对他我感到有点儿害怕。是的，千万不能戏弄他，他是个强大的战士。然而，他为何会有那样邪恶的面孔，颤抖的双唇和那眼中的怒火呢？或许，这是不可避免的吧？难道和蔼的人就不能成为一个男子汉，不能成为英雄吗？‘生活是残忍的。’他曾经对我说过。我给安德烈·彼得罗维奇重复了这句话，他没有同意德的说法。他们到底谁对呢？但那一天开始的时候！我很高兴能跟他一起走着，即使不说一句话。……不过，对已经发生过的事情，我感到很高兴。我觉得那是很正常的事情。","‘… It will be long before I forget the expedition yesterday.What strange, new, terrible impressions when he suddenly took that great giant and flung him like a ball into the water.I was not frightened … yet he frightened me.And afterwards—what an angry face, almost cruel!How he said, “He will swim out!”It gave me a shock.So I did not understand him.And afterwards when they all laughed, when I was laughing, how I felt for him!He was ashamed, I felt that he was ashamed before me.He told me so afterwards in the carriage in the dark, when I tried to get a good view of him and was afraid of him.Yes, he is not to be trifled with, and he is a splendid champion.But why that wicked look, those trembling lips, that angry fire in his eyes?Or is it, perhaps, inevitable?Isn’t it possible to be a man, a hero, and to remain soft and gentle?“Life is a coarse business,” he said to me once lately.I repeated that saying to Andrei Petrovitch; he did not agree with D. Which of them is right?But the beginning of that day!How happy I was, walking beside him, even without speaking.… But I am glad of what happened.I see that it was quite as it should be."
"“……心里又开始烦躁了……我感到很不舒服……这几天我一点儿日记都没写，因为我没有写的冲动。我觉得，不管我写什么，都不是我内心里的真实想法。……我心里到底在想些什么呢？有一次我跟他谈了很长时间，让我明白了很多事情。他告诉了我他的梦想（顺便说一下，我直到现在才知道他脖子上为何会有那样的一条伤疤……天哪！我一想到他竟然被判过死刑，然后被救了出来，但却受了重伤……）他预言说战争一触即发，并为此感到愉快。然而，我却从来没有见过德会如此地失落。他怎能……他！……失落什么呢？父亲从城里回来，刚好遇到我们两个。他有些奇怪地看着我们。安德烈·彼得罗维奇也过来了，我发现他这段时间瘦了很多，面色苍白。他曾埋怨过我，责怪我对舒宾太冷淡、太不上心了。我已经完全忘记了保罗的存在。以后若是能遇到他，再慢慢地弥补吧。他现在对我来说可有可无……其他人也一样。安德烈·彼得罗维奇跟我说话的时候带着一股伤感的语调。这意味着什么呢？为什么我周围的一切和我的内心都这样地难以捉摸？我好像感觉到在我的周围及内心里，有一个不可捉摸的谜团正在潜滋暗长，而我正在试图找到谜底……我整夜都无法入眠，我的头很疼。写作有什么好处呢？今天他很快就离开了，而我却想跟他谈谈……他好像在故意躲着我。是的，他在躲着我。","‘… Restlessness again…I am not quite well….All these days I have written nothing in this book, because I have had no wish to write.I felt, whatever I write, it won’t be what is in my heart.… And what is in my heart?I have had a long talk with him, which revealed a great deal.He told me his plan (by the way, I know now how he got the wound in his neck….Good God!when I think he was actually condemned to death, that he was only just saved, that he was wounded…. ) He prophesies war and will be glad of it.And for all that, I never saw D. so depressed.What can he…he!… be depressed by?Papa arrived home from town and came upon us two.He looked rather queerly at us.Andrei Petrovitch came; I noticed he had grown very thin and pale.He reproved me, saying I behave too coldly and inconsiderately to Shubin.I had utterly forgotten Paul’s existence.I will see him, and try to smooth over my offence.He is nothing to me now… nor any one else in the world.Andrei Petrovitch talked to me in a sort of commiserating way.What does it all mean?Why is everything around me and within me so dark?I feel as if about me and within me, something mysterious were happening, for which I want to find the right word….I did not sleep all night; my head aches.What’s the good of writing?He went away so quickly to-day and I wanted to talk to him….He almost seems to avoid me.Yes, he avoids me."
"“……我找到了答案，我终于明白了！哦，上帝，同情同情我吧……我爱上了他！”","‘… The word is found, light has dawned on me!My God, have pity on me….I love him!’"
"第十七章","CHAPTER XVII"
"也就在那一天，当埃琳娜把她生命中最重要的一句话写进日记中的时候，因萨罗夫正坐在别尔谢涅夫的房间里，而别尔谢涅夫则一脸困惑地站在他的面前。因萨罗夫刚和他提到自己打算第二天就回莫斯科的想法。","On the very day on which Elena had written this last fatal line in her diary, Insarov was sitting in Bersenyev’s room, and Bersenyev was standing before him with a look of perplexity on his face.Insarov had just announced his intention of returning to Moscow the next day."
"“听我说！”别尔谢涅夫叫道，“为什么啊，夏天最美好的时光才刚刚开始。你回莫斯科干什么？这决定实在是太突然了！或者是你听到了什么消息？”","‘Upon my word!’ cried Bersenyev.‘Why, the finest part of the summer is just beginning.What will you do in Moscow?What a sudden decision!Or have you had news of some sort?’"
"“我没有听到什么，”因萨罗夫回答说，“然而我考虑再三，我觉得我不适合生活在这里。”","‘I have had no news,’ replied Insarov; ‘but on thinking things over, I find I cannot stop here.’"
"“这怎么可能呢？”","‘How can that be?’"
"“安德烈·彼得罗维奇，”因萨罗夫说，“你就行行好吧……请别再坚持了，我很遗憾不能再和你住在一起，但是只能这样了。”","‘Andrei Petrovitch,’ said Insarov, ‘be so kind… don’t insist, please, I am very sorry myself to be leaving you, but it can’t be helped.’"
"别尔谢涅夫目不转睛地盯着他。","Bersenyev looked at him intently."
"“我知道，”他最后说道，“我也不再劝你了。那么，就这样吧。”","‘I know,’ he said at last, ‘there’s no persuading you.And so, it’s a settled matter.’"
"“确定要离开吗？”","‘Is it?’"
"“完全确定。”因萨罗夫回答说，站起身来走了出去。","‘Absolutely settled,’ replied Insarov, getting up and going away."
"别尔谢涅夫在房间里来回走着，然后拿起帽子就朝斯塔霍夫家赶去。","Bersenyev walked about the room, then took his hat and set off for the Stahovs."
"“你想跟我说些什么吧。”当房间里没有别人时，埃琳娜对他说道。","‘You have something to tell me,’ Elena said to him, directly they were left alone."
"“没错，你怎么猜到的？”","‘Yes, how did you guess?’"
"“这不重要，快告诉我发生了什么事情。”","‘Never mind; tell me what it is.’"
"别尔谢涅夫告诉了她因萨罗夫的打算。","Bersenyev told her of Insarov’s intention."
"埃琳娜惊得脸色苍白。","Elena turned white."
"“这是什么意思？”她吃力地说道。","‘What does it mean?’ she articulated with effort."
"“你知道的，”别尔谢涅夫说，“德米特里·尼卡诺罗维奇从来不会向别人解释自己的行为的。但是我想……埃琳娜·尼古拉耶夫娜，我们先坐下，你看上去不太舒服……我想我已经猜到他突然离去的原因了。”","‘You know,’ observed Bersenyev, ‘Dmitri Nikanorovitch does not care to give reasons for his actions.But I think… let us sit down, Elena Nikolaevna, you don’t seem very well….I fancy I can guess what is the real cause of this sudden departure.’"
"“什么——什么原因？”埃琳娜重复着问，并无意识地用那冰凉的双手紧紧地攥着别尔谢涅夫的手。","‘What—what cause?’ repeated Elena, and unconsciously she gripped tightly Bersenyev’s hand in her chill ringers."
"“你知道的，”别尔谢涅夫开口说道，夹杂着一丝悲哀的笑容，“我怎么给你解释呢？我得从去年春天谈起，那时我跟因萨罗夫的关系刚开始密切起来。有一次，我在一位亲戚家中碰到了他，这位亲戚有一个漂亮的女儿，我感觉到因萨罗夫似乎对她有意思，然后我就把自己的想法说给他听。他听后哈哈大笑，直称我搞错了，还说自己情窦未开，假如碰到了这样的情况，他就会立马走开，因为他不愿意，按他自己的话说，为了感情上的事情而放弃了自己的理想和责任是不对的。“我是一个保加利亚人，”他说道，“我不需要一个俄国人的爱情……”","‘You see,’ began Bersenyev, with a pathetic smile, ’how can I explain to you?I must go back to last spring, to the time when I began to be more intimate with Insarov.I used to meet him then at the house of a relative, who had a daughter, a very pretty girl I thought that Insarov cared for her, and I told him so.He laughed, and answered that I was mistaken, that he was quite heart-whole, but if anything of that sort did happen to him, he should run away directly, as he did not want, in his own words, for the sake of personal feeling, to be false to his cause and his duty.“I am a Bulgarian,” he said, “and I have no need of a Russian love—”"
"“那……这样的话……现在您准备……”埃琳娜耳语到。她无意地转过头，就像一个受到重创的人，但是她依然紧握着她已经抓住的手。","‘Well—so—now you—’ whispered Elena.She involuntarily turned away her head, like a man expecting a blow, but she still held the hand she had clutched."
"“我认为，”他说道，声音渐渐低下去，“我认为我曾猜想的事情真的已经发生了。”","‘I think,’ he said, and his own voice sank, ‘I think that what I fancied then has really happened now.’"
