"海浪","The Waves"
"“我几乎爱上了打字机和电话机。通过信件和电报，以及发向巴黎、柏林和纽约的简洁而不失礼仪的电话指令，我把我的多种生活融而为一；我以我的勤勉与决断帮助画出了地图上的那些线，通过它们，世界上不同的地方得以联系在一起。我爱在10点钟准时走进我的房间；我爱那幽暗的红木发出的紫色光芒；我爱那张桌子和它鲜明的棱角；还有那些活动自如的抽匣。我爱那部电话机，它的话筒接收了我的低语，以及墙上的日期；还有那本约会簿。四点，普伦蒂斯先生；四点半整，艾尔斯先生。","‘I am half in love with the typewriter and the telephone.With letters and cables and brief but courteous commands on the telephone to Paris, Berlin, New York, I have fused my many lives into one; I have helped by my assiduity and decision to score those lines on the map there by which the different parts of the world are laced together.I love punctually at ten to come into my room; I love the purple glow of the dark mahogany; I love the table and its sharp edge; and the smooth-running drawers.I love the telephone with its lip stretched to my whisper, and the date on the wall; and the engagement book.Mr Prentice at four; Mr Eyres sharp at four-thirty."
"“我喜欢被请进伯查德先生的私人房间，汇报我们对中国方面的业务状况。我希望继承一把扶手椅和一条土耳其地毯。我的肩膀抵着车轮；我推开前方的黑暗，把业务拓展到发生骚乱的那些遥远的地方。如果我坚持不懈——在骚乱中建立秩序，我会让自己位于查塔姆、皮特、伯克和罗伯特·皮尔爵士之列。这样我就可以消除某些污点，擦掉旧日的耻辱；从圣诞树梢拔给我一面小旗帜的那个女人；我的口音；体罚和种种折磨；吹牛皮的男孩们；我的父亲，一位布里斯班的银行家。","‘I like to be asked to come to Mr Burchard’s private room and report on our commitments to China.I hope to inherit an arm-chair and a Turkey carpet.My shoulder is to the wheel; I roll the dark before me, spreading commerce where there was chaos in the far parts of the world.If I press on,—from chaos making order, I shall find myself where Chatham stood, and Pitt, Burke and Sir Robert Peel.Thus I expunge certain stains, and erase old defilements; the woman who gave me a flag from the top of the Christmas tree; my accent; beatings and other tortures; the boasting boys; my father, a banker at Brisbane."
"“我曾在一家餐馆里读我的诗，而且一边搅着咖啡，一边听职员们在小桌子边上打赌，看女人们在柜台边上迟疑不决。我说过，凡事不该不合时宜，比如褐色的纸片随意落在地板上这种事。我说过，他们的奔波总该有个目的；他们总该在一位威严的上司的指示下赚到两镑十先令；到了晚上，总该有一只手为我们裹上一件睡袍。当我治愈了这些创伤，理解了这些畸形儿，他们就无需辩解也无需道歉了，因为那只会浪费我们的力气，我会把他们在艰难时世下跌倒及在多石的海滩上折断筋骨时所失去的东西归还给街道和餐馆。我要组织起几个词儿，锤炼出一道锻铁的环，把我们围在里面。","‘I have read my poet in an eating-house, and, stirring my coffee, listened to the clerks making bets at the little tables, watched the women hesitating at the counter.I said that nothing should be irrelevant, like a piece of brown paper dropped casually on the floor.I said their journeys should have an end in view; they should earn their two pound ten a week at the command of an august master; some hand, some robe, should fold us about in the evening.When I have healed these fractures and comprehended these monstrosities so that they need neither excuse nor apology, which both waste our strength, I shall give back to the street and the eating-shop what they lost when they fell on these hard times and broke on these stony beaches.I shall assemble a few words and forge round us a hammered ring of beaten steel."
"“但是现在我抽不出片刻时间。在这儿，没有间歇，没有枝叶摇曳形成的树阴，也没有凉亭让人避开阳光，与爱人一起坐在黄昏的凉意里。世界的重担压在我们的肩上；它的愿景映入我们的眼帘；如果我们眨一下眼睛，或者向旁边望一眼，或者转身琢磨琢磨柏拉图所言、回想一下拿破仑与他的无往不摧，我们就会间接地让世界遭受伤害。这就是生活；普伦蒂斯先生约在四点；艾尔斯先生约在四点半。我喜欢听电梯飞驰而上的悦耳声，然后砰地停在我的楼层，那个担着责任的男人迈着沉重的脚步穿过走廊。就这样，凭借我们的齐心合力，我们把船只发往地球上最遥远的地方；船上的盥洗室和健身房一应俱全。世界的重担落在我们肩上。这就是生活。如果我坚持不懈，我会继承一把椅子和一块地毯；萨里郡的一处地产，有暖房，有罕见的针叶树、甜瓜或花树，会令其他商人艳羡不已。","‘But now I have not a moment to spare.There is no respite here, no shadow made of quivering leaves, or alcove to which one can retreat from the sun, to sit, with a lover, in the cool of the evening.The weight of the world is on our shoulders; its vision is through our eyes; if we blink or look aside, or turn back to finger what Plato said or remember Napoleon and his conquests, we inflict on the world the injury of some obliquity.This is life; Mr Prentice at four; Mr Eyres at four-thirty.I like to hear the soft rush of the lift and the thud with which it stops on my landing and the heavy male tread of responsible feet down the corridors.So by dint of our united exertions we send ships to the remotest parts of the globe; replete with lavatories and gymnasiums.The weight of the world is on our shoulders.This is life.If I press on, I shall inherit a chair and a rug; a place in Surrey with glass houses, and some rare conifer, melon or flowering tree which other merchants will envy."
"“不过我依然保留着我的阁楼房间。我在那儿翻开通常的小册子；我在那儿望着雨滴亮闪闪地落在屋瓦上，使得那些瓦片像警察的防雨衣似的发出光来；我在那儿看着贫穷人家的破碎窗户；那些瘦弱的猫；某个妓女一边照着破镜子挤眉弄眼，一边梳妆打扮准备上街；罗达有时也会到那儿。因为我们是恋人。","‘Yet I still keep my attic room.There I open the usual little book; there I watch the rain glisten on the tiles till they shine like a policeman’s waterproof; there I see the broken windows in poor people’s houses; the lean cats; some slattern squinting in a cracked looking-glass as she arranges her face for the street corner; there Rhoda sometimes comes.For we are lovers."
"“珀西瓦尔死了（他死在埃及；他死在希腊；死在哪里都是一样）。苏珊有了孩子；内维尔很快爬上显赫的高位。生活在流逝。我们屋顶的云彩变幻不停。我做做这，做做那，然后又是做做这，做做那。合合分分之中，我们变成了不同的模样，形成了不同的风格。但是假如我不把这些印象牢牢钉在木板上，让我身上的许多人合而为一；假如我只存在于此时此地，而不像散落在远山上的雪冠那样赫然醒目；假如我在穿过办公室时只是询问约翰逊小姐关于电影的情况，然后喝一杯茶，再接过我最爱的饼干，那么我就会像雪花一样坠落，虚掷一生。","‘Percival has died (he died in Egypt; he died in Greece; all deaths are one death).Susan has children; Neville mounts rapidly to the conspicuous heights.Life passes.The clouds change perpetually over our houses.I do this, do that, and again do this and then that.Meeting and parting, we assemble different forms, make different patterns.But if I do not nail these impressions to the board and out of the many men in me make one; exist here and now and not in streaks and patches, like scattered snow wreaths on far mountains; and ask Miss Johnson as I pass through the office about the movies and take my cup of tea and accept also my favourite biscuit, then I shall fall like snow and be wasted."
"“可是当六点一到，我向看门人触帽致意，因为我十分渴望被人接纳所以总是表现得过于注重礼节；我艰难前行，迎着风，扣紧衣扣，我的下巴乌青，我的眼睛流出泪水，这时我希望有一位小巧的打字员依偎在我的膝上；我会想到我最爱的一道菜是肝配熏肉；我可能会溜达到河边，溜达到狭窄的街道，那里有很多酒吧，街道尽头有往来的船影，还有打架的女人。但是当我恢复了理智，我自言自语道，普伦蒂斯先生约在四点；艾尔斯先生约在四点半。斧头一定要落到木头上；橡树一定要被劈到中心。世界的重担落在我的肩上。眼前是钢笔和文件；在铁丝信筐里的那些信件上面，我签下我的名字，我，我，还是我。”","‘Yet when six o’clock comes and I touch my hat to the commissionaire, being always too effusive in ceremony since I desire so much to be accepted; and struggle, leaning against the wind, buttoned up, with my jaws blue and my eyes running water, I wish that a little typist would cuddle on my knees; I think that my favourite dish is liver and bacon; and so am apt to wander to the river, to the narrow streets where there are frequent public-houses, and the shadows of ships passing at the end of the street, and women fighting.But I say to myself, recovering my sanity, Mr Prentice at four; Mr Eyres at four-thirty.The hatchet must fall on the block; the oak must be cleft to the centre.The weight of the world is on my shoulders.Here is the pen and the paper; on the letters in the wire basket I sign my name, I, I, and again I.’"
"“夏天来了，接着是冬天。”苏珊说。“四季匆匆而过。梨熟了，从树上落了下来。它上面还挂着一片枯叶。但是水汽蒙上了那扇窗。我坐在炉火边，看着水壶烧开。透过窗玻璃上袅袅的水汽，我看见了那棵梨树。","‘Summer comes, and winter,’ said Susan.‘The seasons pass.The pear fills itself and drops from the tree.The dead leaf rests on its edge.But steam has obscured the window.I sit by the fire watching the kettle boil.I see the pear tree through the streaked steam on the window-pane."
"“睡吧，睡吧，我轻轻地唱，无论夏天还是冬天，五月还是十一月。我唱着催眠曲——尽管我并不入调，也从来听不到音乐，除了那些乡间的音乐：狗的吠叫，钟的叮当，或是车轮吱吱嘎嘎碾过砾石路。我在炉火边唱着我的歌，像一只老贝在海滩上嘀嘀咕咕。睡吧，睡吧，我不停地说，想用我的声音提醒所有摇动奶罐的人，射击秃鼻乌鸦的人，射杀兔子的人，或者不管用什么方式在这个藤条摇篮边上惹起毁灭性惊吓的人，摇篮里，娇嫩的肢体蜷缩在粉红色的床罩下面。","‘Sleep, sleep, I croon, whether it is summer or winter, May or November.Sleep I sing—I, who am unmelodious and hear no music save rustic music when a dog barks, a bell tinkles, or wheels crunch upon the gravel.I sing my song by the fire like an old shell murmuring on the beach.Sleep, sleep, I say, warning off with my voice all who rattle milk-cans, fire at rooks, shoot rabbits, or in any way bring the shock of destruction near this wicker cradle, laden with soft limbs, curled under a pink coverlet."
"“我已失去了淡然的心态、纯粹的目光和探求根源梨形的眼睛。我不再是一月、五月或者其他任何一个季节，而是全身心地在摇篮边吐出细丝，用我自己的血肉凝成一个茧，裹住我宝宝娇嫩的肢体。睡吧，我说，立时感觉我的胸中涌上一股愈发狂野、愈发深沉的力量，任何外来者，任何强盗，若是胆敢闯进房间，惊醒睡着的孩子，我都会一拳击倒他们。","‘I have lost my indifference, my blank eyes, my pear-shaped eyes that saw to the root.I am no longer January, May or any other season, but am all spun to a fine thread round the cradle, wrapping in a cocoon made of my own blood the delicate limbs of my baby.Sleep, I say, and feel within me uprush some wilder, darker violence, so that I would fell down with one blow any intruder, any snatcher, who should break into this room and wake the sleeper."
"“我系着围裙，趿拉着拖鞋，成天围着屋子转，像我那死于癌症的母亲一样。是不是夏天到了，是不是冬天来了，我不再凭着酸沼草原和石南花做出判断；而只看窗玻璃上是不是凝了水汽，或者结了霜花。当云雀的鸣叫高高地抛上天空，又像苹果皮一样划破空气落下来时，我俯下身来；我开始喂我的宝宝。我过去常常从山毛榉树丛中走过，注意到鸟儿下落时它的羽毛会变成蓝色，从牧羊人和流浪汉的身旁走过，他们定睛望着一个蹲在沟渠里一辆倾斜的推车旁边的女人，这个我拿着掸子走过一个个房间。睡吧，我说，我渴望睡意降临，像毯子一样，罩住这些柔弱的肢体；我要求生活收起它的利爪，收起它的闪电，悄悄走过，让我的身体变成一个洞穴，一个温暖的庇护所，让我的孩子在里面安睡。睡吧，我说，睡吧。或者我来到窗前，我望着秃鼻乌鸦那高高的窝；还有那株梨树。‘当我闭上眼睛时，他的眼睛会看得见。’我想。‘我会超越我的身体，和它们融合在一起，我会看到印度。他会衣锦还乡，带回各种战利品，摆在我的脚下。他会增加我的财富。’","‘I pad about the house all day long in apron and slippers, like my mother who died of cancer.Whether it is summer, whether it is winter, I no longer know by the moor grass, and the heath flower; only by the steam on the window-pane, or the frost on the window-pane.When the lark peels high his ring of sound and it falls through the air like an apple paring, I stoop; I feed my baby.I, who used to walk through beech woods noting the jay’s feather turning blue as it falls, past the shepherd and the tramp, who stared at the woman squatted beside a tilted cart in a ditch, go from room to room with a duster.Sleep, I say, desiring sleep to fall like a blanket of down and cover these weak limbs; demanding that life shall sheathe its claws and gird its lightning and pass by, making of my own body a hollow, a warm shelter for my child to sleep in.Sleep, I say, sleep.Or I go to the window, I look at the rook’s high nest; and the pear tree.“His eyes will see when mine are shut,” I think.“I shall go mixed with them beyond my body and shall see India.He will come home, bringing trophies to be laid at my feet.He will increase my possessions.”"
"“但是我再也不会在黎明时起身，去看卷心菜叶子上的紫色露珠；玫瑰花上的红色露珠。我不会望着猎犬用鼻子转着圈嗅，也不会在晚上躺下来，望着树叶藏住了星星，而星星在移动，树叶却纹丝不动。卖肉的在吆喝；牛奶必得放在阴凉下面，以免变酸。","‘But I never rise at dawn and see the purple drops in the cabbage leaves; the red drops in the roses.I do not watch the setter nose in a circle, or lie at night watching the leaves hide the stars and the stars move and the leaves hang still.The butcher calls; the milk has to be stood under a shade lest it should sour."
"“睡吧，我说，睡吧，这时水壶烧开了，越来越浓的水汽从壶口喷射出来。就这样，生活填满了我的血管。就这样，生活贯穿了我的肢体。就这样，我被驱赶着向前，从黎明到黄昏，开门关门忙个不停，直到有一天我可能会大声呼喊：‘够了。我腻烦了天伦之乐。’可是更多的东西仍会来临，会有更多的孩子；更多的摇篮，厨房里会有更多的菜篮和完熟的火腿；白花花的洋葱头；会有更多的菜圃，种着莴苣和土豆。我像一片叶子，被大风吹着；时而掠过湿润的草地，时而旋转飞起。我腻烦了天伦之乐；有时，当我们坐下来读书，我停下穿在针眼里的线，我希望摆脱这种餍足感，卸去满屋沉睡带来的压抑。台灯在幽暗的窗玻璃上燃起一团火。常春藤的中央燃起一团火。我看见常青树丛中一条灯火通明的大街。我听见巷子里随风掠过的车水马龙声，断断续续的人语和笑声，以及门打开时吉尼的喊声：‘进来！进来！’","‘Sleep, I say, sleep, as the kettle boils and its breath comes thicker and thicker issuing in one jet from the spout.So life fills my veins.So life pours through my limbs.So I am driven forward, till I could cry, as I move from dawn to dusk opening and shutting, “No more.I am glutted with natural happiness.”Yet more will come, more children; more cradles, more baskets in the kitchen and hams ripening; and onions glistening; and more beds of lettuce and potatoes.I am blown like a leaf by the gale; now brushing the wet grass, now whirled up.I am glutted with natural happiness; and wish sometimes that the fullness would pass from me and the weight of the sleeping house rise, when we sit reading, and I stay the thread at the eye of my needle.The lamp kindles a fire in the dark pane.A fire burns in the heart of the ivy.I see a lit-up street in the evergreens.I hear traffic in the brush of the wind down the lane, and broken voices, and laughter, and Jinny who cries as the door opens, “Come!Come!”"
"“但是没有任何声音打破我们这所房子里的寂静，这里只有田野在门口发出叹息。风掠过榆树；一只飞蛾撞向台灯；一只母牛哞哞地叫；房椽上响起干裂声，我硬着头皮穿着针，嘴上喃喃低语：‘睡吧’。”","‘But no sound breaks the silence of our house, where the fields sigh close to the door.The wind washes through the elm trees; a moth hits the lamp; a cow lows; a crack of sound starts in the rafter, and I push my head through the needle and murmur, “Sleep”.’"
"“现在正是时候。”吉尼说。“瞧，我们见面了，团聚了。现在我们来说说话，我们讲讲各自的经历吧。他是谁？她是谁？我极其好奇，不知会遇到什么事。虽然我和你初次见面，但要是你跟我说一声‘长途车在四点钟从皮卡迪利大街出发’，我不会耽搁时间往硬纸盒里塞几件必用衣物，而会立即赶过来。","‘Now is the moment,’ said Jinny.‘Now we have met, and have come together.Now let us talk, let us tell stories.Who is he?Who is she?I am infinitely curious and do not know what is to come.If you, whom I meet for the first time, were to say to me, “The coach starts at four from Piccadilly,” I would not stay to fling a few necessaries in a bandbox, but would come at once."
"“让我们坐在这里吧，坐在这片修剪过的花丛下面，坐在这幅照片旁边的沙发上。让我们用反复的事实装点我们的圣诞树吧。人们正迅速散去；让我们抓住他们吧。橱柜旁边的那个男人；你说，他生活在瓷器罐罐的包围之中。打碎一件，你就会损失一千英镑。他曾在罗马爱上一个女孩，但她离开了他。因此才有了这些罐罐，在公寓中找到的或从沙石中挖出来的一些旧货。因为美的东西必定每天都会被打碎以维持其美丽，因为他举止恬静，他的生活也凝滞在瓷器的海洋中了。不过说来奇怪；他在年轻时，曾有一次坐在潮湿的地上，与士兵们一起喝朗姆酒。","‘Let us sit here under the cut flowers, on the sofa by the picture.Let us decorate our Christmas tree with facts and again with facts.People are so soon gone; let us catch them.That man there, by the cabinet; he lives you say, surrounded by china pots.Break one and you shatter a thousand pounds.And he loved a girl in Rome and she left him.Hence the pots, old junk found in lodging-houses or dug from the desert sands.And since beauty must be broken daily to remain beautiful, and he is static, his life stagnates in a china sea.It is strange though; for once as a young man, he sat on damp ground and drank rum with soldiers."
"“你必须反应敏捷，熟练地添加事实，就像把小玩意挂在树上，手指一捻固定住它们。他俯下身去，他甚至朝一枝杜鹃花俯下身去。他甚至朝那位老妇人俯下身去，因为她的耳朵上戴着钻石，坐在一辆小马车上打理她的庄园，指点着该救济谁，该伐哪棵树，明天该把谁开掉。（我必须告诉你，我已经活了这么些年，现在我已经30多了，危机四伏，像一只山羊，从一处悬崖跳向另一处悬崖；我在哪里也呆不长久；我不会让自己迷上哪个特定的人；但是你会发现，如果我抬起手臂，立即就会有人拔脚奔过来。）那个男人是个法官；那个男人是个百万富翁，而戴着眼镜的那个男人，在十岁的时候就一箭射中了他的家庭女教师的心房。此后他奉差遣驰骋大漠，参加了一次次革命，现在他正在收集材料，准备为长期居住在诺福克的他母亲的家族书写历史。那个下巴乌青的小个子男人，他的右手萎缩了。但是什么原因？我们不知道。那个耳朵上垂着珍珠宝塔的女人，你小心翼翼，轻声细语地说，曾是一团清纯的火焰，照亮了我们一位政要的生命；自打他去世至今，她经常看见鬼魂，总喜欢算卦，而且收养了一位咖啡色皮肤的年轻人，她称那人为救世主。那位垂着小胡子的男人，好像一位骑兵军官，曾经过着一种极其放荡的生活（这都记述在一本回忆录里），直到有一天他在火车上遇见一位陌生人，这人在爱丁堡与卡莱尔之间的路上通过读《圣经》终于使他改变了。","‘One must be quick and add facts deftly, like toys to a tree, fixing them with a twist of the fingers.He stoops, how he stoops, even over an azalea.He stoops over the old woman even, because she wears diamonds in her ears, and, bundling about her estate in a pony carriage, directs who is to be helped, what tree felled, and who turned out tomorrow.(I have lived my life, I must tell you, all these years, and I am now past thirty, perilously, like a mountain goat, leaping from crag to crag; I do not settle long anywhere; I do not attach myself to one person in particular; but you will find that if I raise my arm, some figure at once breaks off and will come.) And that man is a judge; and that man is a millionaire, and that man, with the eyeglass, shot his governess through the heart with an arrow when he was ten years old.Afterwards he rode through deserts with despatches, took part in revolutions and now collects materials for a history of his mother’s family, long settled in Norfolk.That little man with a blue chin has a right hand that is withered.But why?We do not know.That woman, you whisper discreetly, with the pearl pagodas hanging from her ears, was the pure flame who lit the life of one of our statesmen; now since his death she sees ghosts, tells fortunes, and has adopted a coffee-coloured youth whom she calls the Messiah.That man with the drooping moustache, like a cavalry officer, lived a life of the utmost debauchery (it is all in some memoir) until one day he met a stranger in a train who converted him between Edinburgh and Carlisle by reading the Bible."
"“这样，几秒钟之后，我们就迅速、巧妙地破译了写在别人脸上的那些象形文字。这间屋子里的人，犹如被抛在岸上的伤痕累累的贝壳。门不断地打开。屋子塞满了，塞满了知识，苦恼，多种志向，许多冷漠，还有些绝望。你说，我俩可以建起大教堂，发号施令，判人死刑，管理公共事务。我们共同积累了非常深厚的经验。我俩生有男男女女许多子嗣，我们教育他们，麻疹流行时我们去学校看望他们，我们抚养他们长大以继承我们的房产。我们以这样或那样的方式充实着这一天，这个星期五，有人上法庭；有人进城；有人去托儿所；有人四人一组走队列。百万双手在缝纫，或擎起砖瓦灰斗。种种活动，不胜枚举。而明天一切重新开始；明天我们安排星期六的活动。有些人乘火车去法国；有些人搭船去印度。有些人再也不会来到这间屋子。有人也许今晚就会死去。有人将要为人父。因为我们，各式建筑、政策、企业、绘画、诗歌、子女、工厂都将应运而生。生活过往；我们创造了生活。你如是说。","‘Thus, in a few seconds, deftly, adroitly, we decipher the hieroglyphs written on other people’s faces.Here, in this room, are the abraded and battered shells cast on the shore.The door goes on opening.The room fills and fills with knowledge, anguish, many kinds of ambition, much indifference, some despair.Between us, you say, we could build cathedrals, dictate policies, condemn men to death, and administer the affairs of several public offices.The common fund of experience is very deep.We have between us scores of children of both sexes, whom we are educating, going to see at school with the measles, and bringing up to inherit our houses.In one way or another we make this day, this Friday, some by going to the Law Courts; others to the city; others to the nursery; others by marching and forming fours.A million hands stitch, raise hods with bricks.The activity is endless.And tomorrow it begins again; tomorrow we make Saturday.Some take train for France; others ship for India.Some will never come into this room again.One may die tonight.Another will beget a child.From us every sort of building, policy, venture, picture, poem, child, factory, will spring.Life comes; life goes; we make life.So you say."
"“但是我们生存于肉体之中，我们借助肉体的想象力方可看到事物的轮廓。我在明亮的阳光下方可看到岩石。我无法把这些事实带进某个岩洞，然后遮着眼睛辨别不同层次的黄色、蓝色和赭色，从而使它们形成一种具有实质的东西。我不能长时间一直坐着。我必须站起来，马上动身。长途车可能要从皮卡迪利大街出发了。我丢掉所有这些事实——钻石，萎缩的手，瓷器罐罐，如此种种——就像猴子张开赤裸裸的爪子丢掉坚果一样。我不能告诉你生活是不是如此这般。我要奋勇向前，汇入混杂的人群。我可能会被推来搡去；忽而被抛起，忽而被抛落，身陷茫茫人海，就像大海上的一条船。","‘But we who live in the body see with the body’s imagination things in outline.I see rocks in bright sunshine.I cannot take these facts into some cave and, shading my eyes, grade their yellows, blues, umbers into one substance.I cannot remain seated for long.I must jump up and go.The coach may start from Piccadilly.I drop all these facts—diamonds, withered hands, china pots and the rest of it—as a monkey drops nuts from its naked paws.I cannot tell you if life is this or that.I am going to push out into the heterogeneous crowd.I am going to be buffeted; to be flung up, and flung down, among men, like a ship on the sea."
"“此时此刻，我的肉体，我的同伴，它一直在发送信号，好像迅疾的情感之箭，一会儿是粗略黑色的‘不’，一会儿是金灿灿的‘来吧’，召唤着。有人动起来了。我抬起过手臂？我望了一眼？我那带有草莓斑点的黄围巾飘起来发了信号？他突然离开了墙边。他心领神会。我被追着来到树林深处。一切都令人着迷，一切都在夜幕笼罩之下，鹦鹉尖叫着穿过枝杈。我所有的感官都兴奋起来。时而，我感觉到我拨开的纤维帘幕那粗糙的质地；时而，我感觉到我手掌下面冰冷的铁栏杆和起泡的油漆。时而，那凉丝丝的黑暗的潮水向我涌来。我们到了屋外。夜幕开启；夜幕中有游荡的飞蛾穿过；夜幕遮掩了四处游荡冒险的情人们。我闻到了玫瑰；我闻到了紫罗兰；我看见隐藏的红色和蓝色。时而，我的脚踩到砾石；时而踩在草上。房屋的高大后墙卷了起来，怯生生地闪着灯火。忽闪的灯火使整个伦敦心神不宁。现在，让我们唱出我们的情歌——来吧，来吧，来吧。瞧，我发出的金色音符像倏然飞去的蜻蜓。唧，唧，唧，我像夜莺一样鸣唱，它的嗓子眼太细，美妙的音符拥堵在那里。这时我听见树枝咔嚓折断的声音和鹿角噼啪碎裂的声音，好像树林中的野兽都在追捕猎物，荆棘丛中高高跃起，突然冲过来。一只鹿角刺穿了我。一只鹿角深深扎进我的身体。","‘For now my body, my companion, which is always sending its signals, the rough black “No”, the golden “Come”, in rapid running arrows of sensation, beckons.Someone moves.Did I raise my arm?Did I look?Did my yellow scarf with the strawberry spots float and signal?He has broken from the wall.He follows.I am pursued through the forest.All is rapt, all is nocturnal, and the parrots go screaming through the branches.All my senses stand erect.Now I feel the roughness of the fibre of the curtain through which I push; now I feel the cold iron railing and its blistered paint beneath my palm.Now the cool tide of darkness breaks its waters over me.We are out of doors.Night opens; night traversed by wandering moths; night hiding lovers roaming to adventure.I smell roses; I smell violets; I see red and blue just hidden.Now gravel is under my shoes; now grass.Up reel the tall backs of houses guilty with lights.All London is uneasy with flashing lights.Now let us sing our love song—Come, come, come.Now my gold signal is like a dragonfly flying taut.Jug, jug, jug, I sing like the nightingale whose melody is crowded in the too narrow passage of her throat.Now I hear crash and rending of boughs and the crack of antlers as if the beasts of the forest were all hunting, all rearing high and plunging down among the thorns.One has pierced me.One is driven deep within me."
"“接着，丝绒一样的花和叶，犹如水的清凉，为我做了洗礼，然后给我涂上香膏，裹了起来。”","‘And velvet flowers and leaves whose coolness has been stood in water wash me round, and sheathe me, embalming me.’"
"“哎呀，”内维尔说，“瞧见壁炉架上那滴答作响的钟了么？时光流逝，是真的。我们变老了。但是和你坐在一起，和你单独在一起，在伦敦这个地方，在这间灯火辉煌的屋子里，你在那儿，我在这儿，足矣。这个世界，各个角落都被洗劫一空，所有高地上的花朵都被掠夺殆尽，正摇摇欲坠。瞧那火光上下窜动，映出窗幔上的金色丝线。火光里的那枚果子沉甸甸地垂下来。它落在你的靴子尖上，它给你的脸镶上一轮红晕——我心想，那是火光，而不是你的脸；我心想，那些是靠墙而放的书，那是一条窗幔，那或许是一把扶手椅。可是你一来，一切都会变样。今早你一来，杯子、碟子就变了样。我曾撇开报纸，心想，毫无疑问，我们平淡的人生纵然并不悦目，但在满是爱意的眼睛里也会焕发光彩，富有意义。","‘Why, look,’ said Neville, ‘at the clock ticking on the mantelpiece?Time passes, yes.And we grow old.But to sit with you, alone with you, here in London, in this firelit room, you there, I here, is all.The world ransacked to its uttermost ends, and all its heights stripped and gathered of their flowers, holds no more.Look at the firelight running up and down the gold thread in the curtain.The fruit it circles droops heavy.It falls on the toe of your boot, it gives your face a red rim—I think it is the firelight and not your face; I think those are books against the wall, and that a curtain, and that perhaps an armchair.But when you come everything changes.The cups and saucers changed when you came in this morning.There can be no doubt, I thought, pushing aside the newspaper, that our mean lives, unsightly as they are, put on splendour and have meaning only under the eyes of love."
"“我站起身来。我吃完了早餐。我们拥有一整天的时间，天气晴朗而温和，没有事务缠身，我们穿过公园街走到堤岸街，沿着斯特兰德大街走到圣·保罗商场，然后走进一家商店，在那儿我买了一把伞，一路说个不停，时不时地驻足观望。可是这能持久么？在特拉法尔加广场的一尊狮子旁，在那尊过目难忘的狮子旁，我自言自语；——我就这样一幕一幕回顾我以往的生活；那儿有一棵榆树，那儿躺着珀西瓦尔。我发誓，永志不渝。然后怀着常有的那份疑虑奔向前。我紧紧握住你的手。你离开我。走进地铁犹如死别。所有那些面孔，那股好像在沙漠砾石上面呼啸而过的空穴来风，把我们分开了，把我们割断了。我瞪着眼睛坐在自己的房间里。到了五点钟，我终于明白，你根本不守信用。我抓起电话，你的房间空无一人，听筒里恼人的嗡嗡声击沉了我的心，这时门开了，你站在门口。这是我们俩最完美的一次相会。可是这样的相会，这样的别离，最终却毁了我们。","‘I rose.I had done my breakfast.There was the whole day before us, and as it was fine, tender, non-committal, we walked through the Park to the Embankment, along the Strand to St Paul’s, then to the shop where I bought an umbrella, always talking, and now and then stopping to look.But can this last?I said to myself, by a lion in Trafalgar Square, by the lion seen once and for ever;—so I revisit my past life, scene by scene; there is an elm tree, and there lies Percival.For ever and ever, I swore.Then darted in the usual doubt.I clutched your hand.You left me.The descent into the Tube was like death.We were cut up, we were dissevered by all those faces and the hollow wind that seemed to roar down there over desert boulders.I sat staring in my own room.By five I knew that you were faithless.I snatched the telephone and the buzz, buzz, buzz of its stupid voice in your empty room battered my heart down, when the door opened and there you stood.That was the most perfect of our meetings.But these meetings, these partings, finally destroy us."
