"警讯","The Warning"
"道格拉斯一家入主宅邸的时候，宅邸已经荒废多年，眼看着就要土崩瓦解，变成一堆惊心怵目的断壁残垣。这家人只有两个成员，一个是约翰·道格拉斯，另一个就是他的妻子。道格拉斯是个外表和性格都不一般的人物，他年纪五十上下，下巴宽大、面容粗犷、髭须花白，灰色的眼睛极其锐利，瘦削结实的身板充满活力，分毫不少地保持着年轻时代的强健和机敏。他在所有人面前都是兴高采烈、一团和气，举止却多少有点儿唐突简慢，给人的印象是他曾经体验过另一个阶层的生活，那个阶层的社会等级要比萨塞克斯乡绅低得多。","The house had been untenanted for some years and was threatening to moulder into a picturesque decay when the Douglases took possession of it. This family consisted of only two individuals John Douglas and his wife. Douglas was a remarkable man, both in character and in person. In age he may have been about fifty, with a strong jawed, rugged face, a grizzling moustache, peculiarly keen gray eyes, and a wiry, vigorous figure which had lost nothing of the strength and activity of youth. He was cheery and genial to all, but somewhat offhand in his manners, giving the impression that he had seen life in social strata on some far lower horizon than the county society of Sussex."
"然而，尽管那些较为文雅的邻居看他的眼神里透着一点儿惊讶和不以为然，他还是迅速赢得了村民们的热爱，因为他出手阔绰地支持村里的所有公益事业，积极参加吸烟音乐会[^4]之类的社交活动，同时又拥有一副异常浑厚的男高音，随时乐意用一首十分悦耳的歌曲为参加聚会的人们助兴。他似乎非常有钱，钱据说是从加利福尼亚的金矿里赚来的，从他和他妻子的言谈来看，他确实是在美国生活过一段时间。","Yet, though looked at with some curiosity and reserve by his more cultivated neighbours, he soon acquired a great popularity among the villagers, subscribing handsomely to all local objects, and attending their smoking concerts and other functions, where, having a remarkably rich tenor voice, he was always ready to oblige with an excellent song. He appeared to have plenty of money, which was said to have been gained in the California gold fields, and it was clear from his own talk and that of his wife that he had spent a part of his life in America."
"他慷慨大方的秉性和平易近人的做派已经赢得了人们的好感，履险如夷的胆色则让他声望倍添。他的骑术十分蹩脚，可他却一次不落地参加了所有的赛马会，并且打定主意要跟最好的骑手比个高低，不顾自己一次又一次地摔得落花流水。教区牧师家里着火的时候，他也表现出了过人的勇气，因为当地的救火队已经无计可施、放弃扑救，他却毫无惧色地再一次冲进房子去抢救财物。这样一来，迁居伯尔斯通还不到五年，宅邸主人约翰·道格拉斯就已经变成了一个响当当的人物。","The good impression which had been produced by his generosity and by his democratic manners was increased by a reputation gained for utter indifference to danger. Though a wretched rider, he turned out at every meet and took the most amazing falls in his determination to hold his own with the best. When the vicarage caught fire he distinguished himself also by the fearlessness with which he reëntered the building to save property, after the local fire brigade had given it up as impossible. Thus it came about that John Douglas of the Manor House had within five years won himself quite a reputation in Birlstone."
"道格拉斯的妻子也很受各位相识的欢迎，当然，她的相识并不多，因为按照英格兰人的习俗，很少有人会在未经正式引见的情形之下去拜访迁居本郡的外乡人。她对此不以为意，因为她天性恬退，与此同时，从方方面面的情况来看，她心里只有丈夫和家务。根据大家的了解，她出身于英格兰良家，是在伦敦与时为鳏夫的道格拉斯先生相识的。她长得非常漂亮，身材修长、肤色较深，年纪则比她丈夫小了二十岁左右。不过，悬殊的年龄似乎并没有对夫妻俩和和美美的家庭生活造成丝毫影响。","His wife, too, was popular with those who had made her acquaintance; though, after the English fashion, the callers upon a stranger who settled in the county without introductions were few and far between. This mattered the less to her, as she was retiring by disposition, and very much absorbed, to all appearance, in her husband and her domestic duties. It was known that she was an English lady who had met Mr. Douglas in London, he being at that time a widower. She was a beautiful woman, tall, dark, and slender, some twenty years younger than her husband; a disparity which seemed in no wise to mar the contentment of their family life."
"不过，有些时候，跟这对夫妻走得最近的人们会说，他俩之间似乎并没有完全的信任。做妻子的很少谈论丈夫的过去，这可能是因为她主动选择守口如瓶，更大的可能则是她本来就对丈夫的过去不甚了了。除此之外，道格拉斯太太有时会显得十分紧张，赶上丈夫回家特别晚的时候，她更会流露出极为强烈的不安，这些情况也让一些目光敏锐的人看在了眼里、挂在了嘴上。在这种宁静安闲的乡村地区，闲言碎语总是格外受人欢迎，宅邸女主人的这种怪癖自然逃不过人们的议论。后来的种种事件让她的怪癖有了一层十分特殊的含意，到那个时候，关于她这种怪癖的记忆便格外清晰地浮现在了人们的脑海之中。","It was remarked sometimes, however, by those who knew them best, that the confidence between the two did not appear to be complete, since the wife was either very reticent about her husband’s past life, or else, as seemed more likely, was imperfectly informed about it. It had also been noted and commented upon by a few observant people that there were signs sometimes of some nerve-strain upon the part of Mrs. Douglas, and that she would display acute uneasiness if her absent husband should ever be particularly late in his return. On a quiet countryside, where all gossip is welcome, this weakness of the lady of the Manor House did not pass without remark, and it bulked larger upon people’s memory when the events arose which gave it a very special significance."
"还有个人需要提一提，他虽然只是个来来往往的过客，并不在宅邸之中长住，可他来的时候刚好赶上了下文之中的离奇事件，结果就让自己的名字赫然出现在了公众眼前。这个人就是塞西尔·詹姆斯·巴克，住在汉普斯蒂德街区[^5]的黑尔斯公寓。","There was yet another individual whose residence under that roof was, it is true, only an intermittent one, but whose presence at the time of the strange happenings which will now be narrated brought his name prominently before the public. This was Cecil James Barker, of Hales Lodge, Hampstead."
"塞西尔·巴克那个晃晃悠悠的高大身影是伯尔斯通村那条主要街道上的常见风景，因为他经常来伯尔斯通宅邸做客，而且很受主人的欢迎。人们对他格外留意，因为他一方面是道格拉斯先生在那段不为人知的往昔岁月当中结交的朋友，一方面又是道格拉斯先生英格兰新生活当中的一个成员，同时具备这两种身份的人只有他一个。巴克本人无疑是英格兰的土产，不过，他自己说得非常清楚，他是在美国认识道格拉斯的，他俩在那边有过十分亲密的交往。他似乎非常富裕，据说还是个单身汉。","Cecil Barker’s tall, loose-jointed figure was a familiar one in the main street of Birlstone village; for he was a frequent and welcome visitor at the Manor House. He was the more noticed as being the only friend of the past unknown life of Mr. Douglas who was ever seen in his new English surroundings. Barker was himself an undoubted Englishman; but by his remarks it was clear that he had first known Douglas in America and had there lived on intimate terms with him. He appeared to be a man of considerable wealth, and was reputed to be a bachelor."
"巴克比道格拉斯先生年轻不少，充其量不过四十五岁。他身材高大挺拔，胸膛宽阔，刮得干干净净的脸活像个职业拳手，乌黑的双眉浓密劲挺，一双黑色的眼睛咄咄逼人。瞧他那双眼睛，他兴许不需要强悍双手的帮助，单凭目光就可以在敌视自己的人群当中清出一条路来。他既不骑马也不打猎，成天都叼着烟斗在古老的村子周围晃荡，或者是跟主人一起坐着马车欣赏美丽的乡野，主人不在就跟女主人一起出游。“他是一位脾气随和、出手阔绰的绅士，”宅邸管家埃姆斯如是评论。“不过，说真的！我可不敢惹他动火！”他跟道格拉斯非常亲密，对待道格拉斯太太的态度也是同样友善，友善得不止一次引起了道格拉斯的明显不快，就连仆人们都看得出来。灾难降临的时候，这家人当中的第三个成员就是这么一个人物。","In age he was rather younger than Douglas—forty-five at the most—a tall, straight, broad-chested fellow with a clean-shaved, prize-fighter face, thick, strong, black eyebrows, and a pair of masterful black eyes which might, even without the aid of his very capable hands, clear a way for him through a hostile crowd. He neither rode nor shot, but spent his days in wandering round the old village with his pipe in his mouth, or in driving with his host, or in his absence with his hostess, over the beautiful countryside. “An easy-going, free-handed gentleman,” said Ames, the butler. “But, my word! I had rather not be the man that crossed him!” He was cordial and intimate with Douglas, and he was no less friendly with his wife—a friendship which more than once seemed to cause some irritation to the husband, so that even the servants were able to perceive his annoyance. Such was the third person who was one of the family when the catastrophe occurred."
"说到这座古老建筑当中的其他住客嘛，住客虽然不少，提一提其中两个也就够了，一个是庄重体面、治家有方的埃姆斯，另一个则是体态丰腴、开朗乐观的艾伦太太，她帮道格拉斯太太分担了不少家务。除开他俩之外，宅子里还有六名仆人，不过，那些仆人都跟一月六号夜间的种种事件没有什么关系。","As to the other denizens of the old building, it will suffice out of a large household to mention the prim, respectable, and capable Ames, and Mrs. Allen, a buxom and cheerful person, who relieved the lady of some of her household cares. The other six servants in the house bear no relation to the events of the night of January 6th."
"伯尔斯通当地的小警局是在当晚十一点三刻接到报案的，值班的人是萨塞克斯警队的威尔逊警长。当时，塞西尔·巴克火急火燎地冲到警局门口，疯了似的把门铃拉得山响。他上气不接下气地说了一大通，要点则是伯尔斯通宅邸发生了可怕的惨剧，约翰·道格拉斯遭到了谋杀。说完之后，巴克急匆匆地赶回了宅邸，警长则立刻将大案发生的消息发往郡里的警局，几分钟之内就跟了过去，赶到凶案现场的时间是十二点多一点儿。","It was at eleven forty-five that the first alarm reached the small local police station, in charge of Sergeant Wilson of the Sussex Constabulary. Cecil Barker, much excited, had rushed up to the door and pealed furiously upon the bell. A terrible tragedy had occurred at the Manor House, and John Douglas had been murdered. That was the breathless burden of his message. He had hurried back to the house, followed within a few minutes by the police sergeant, who arrived at the scene of the crime a little after twelve o’clock, after taking prompt steps to warn the county authorities that something serious was afoot."
"赶到宅邸的时候，警长发现吊桥已经放下，窗子里灯火通明，所有的人都惊惶失措，乱成了一锅粥。仆人们在大厅里挤作一团，一个个脸色惨白，惊骇不已的管家则在门厅里绞着自己的双手。仍然能够保持自控的似乎只有塞西尔·巴克；他已经打开了离入口最近的那道门，示意警长跟他一起去看现场。与此同时，手脚麻利、医术高明的全科医师伍德也从村里赶到了伯尔斯通宅邸。他们三个一起走进了发生凶案的那个房间，惊恐万状的管家也跟了进去，并且随手关上了房门，免得女仆们看到房间里的可怕景象。","On reaching the Manor House, the sergeant had found the drawbridge down, the windows lighted up, and the whole household in a state of wild confusion and alarm. The white-faced servants were huddling together in the hall, with the frightened butler wringing his hands in the doorway. Only Cecil Barker seemed to be master of himself and his emotions; he had opened the door which was nearest to the entrance and he had beckoned to the sergeant to follow him. At that moment there arrived Dr. Wood, a brisk and capable general practitioner from the village. The three men entered the fatal room together, while the horror-stricken butler followed at their heels, closing the door behind him to shut out the terrible scene from the maid servants."
"死者仰面躺在房间中央，四肢摊开，身上只穿了一套睡衣，外面罩着一件粉色的睡袍，脚上没穿袜子，趿拉着一双绒面拖鞋。医生跪到死者身边，把桌上的提灯拿下来照了照。一眼看过去，医生就知道自己已经回天乏术。死者伤得惨不忍睹，横在他胸膛上的是一件奇特的武器。那是一把双筒霰弹枪，扳机前方的枪管被锯掉了一英尺。显而易见，凶手开火的距离非常近，所有的弹药结结实实地倾泻到了死者的脸上，几乎把他的脑袋炸成了碎片。凶手还用铁丝把两个扳机绑在了一起，目的正是让两筒弹药同时发射，造成更大的杀伤效果。","The dead man lay on his back, sprawling with outstretched limbs in the centre of the room. He was clad only in a pink dressing gown, which covered his night clothes. There were carpet slippers on his bare feet. The doctor knelt beside him and held down the hand lamp which had stood on the table. One glance at the victim was enough to show the healer that his presence could be dispensed with. The man had been horribly injured. Lying across his chest was a curious weapon, a shotgun with the barrel sawed off a foot in front of the triggers. It was clear that this had been fired at close range and that he had received the whole charge in the face, blowing his head almost to pieces. The triggers had been wired together, so as to make the simultaneous discharge more destructive."
"面对这份突如其来的重大责任，乡村警员觉得惶惑不安。“咱们什么也别动，等我的上级来吧，”他惊骇地紧盯着形容可怖的死者，压低嗓门儿说了一句。","The country policeman was unnerved and troubled by the tremendous responsibility which had come so suddenly upon him. “We will touch nothing until my superiors arrive,” he said in a hushed voice, staring in horror at the dreadful head."
"“我们什么都没动过，”塞西尔·巴克说道。“这一点我可以保证。您看到的情形跟我刚发现的时候一模一样。”","“Nothing has been touched up to now,” said Cecil  Barker. “I’ll answer for that. You see it all exactly as I found it.”"
"“您是什么时候发现的呢？”警长已经把自己的记事本掏了出来。","“When was that?” The sergeant had drawn out his notebook."
"“刚好是十一点半的时候。听到枪声的时候，我坐在自个儿卧室的壁炉旁边，还没有脱衣上床。枪声并不是特别响，听着像是被什么捂住了似的。我赶紧冲下楼来，依我看，最多不过半分钟，我已经冲进了这个房间。”","“It was just half-past eleven. I had not begun to undress, and I was sitting by the fire in my bedroom when I heard the report. It was not very loud—it seemed to be muffled. I rushed down—I don’t suppose it was thirty seconds before I was in the room.”"
"“这道门当时开着吗？”","“Was the door open?”"
"“是的，门是开着的。可怜的道格拉斯就躺在眼下的这个位置，他从自个儿卧室里拿来的蜡烛还在桌子上燃烧。过了几分钟，我才把这盏提灯点上。”","“Yes, it was open. Poor Douglas was lying as you see him. His bedroom candle was burning on the table. It was I who lit the lamp some minutes afterward.”"
"“您没有看见什么人吗？”","“Did you see no one?”"
"“没有。我听见道格拉斯太太跟着我下了楼，便赶紧冲出去拦她，免得她看见这种可怕的景象。女管家艾伦太太跑了过来，搀着她离开了。埃姆斯已经到场，我们俩就一起跑回了这个房间。”","“No. I heard Mrs. Douglas coming down the stair behind me, and I rushed out to prevent her from seeing this dreadful sight. Mrs. Allen, the housekeeper, came and took her away. Ames had arrived, and we ran back into the room once more.”"
"“可我确实听说，吊桥整夜都是收在上面的。”","“But surely I have heard that the drawbridge is kept up all night.”"
"“没错，的确收在上面，是我后来把它放下去的。”","“Yes, it was up until I lowered it.”"
"“这么说的话，凶手怎么跑得掉呢？根本就不可能嘛！道格拉斯先生肯定是自杀的。”","“Then how could any murderer have got away? It is out of the question! Mr. Douglas must have shot himself.”"
"“刚开始的时候，我们也是这么想的。可是您瞧！”巴克拉开窗帘，窗帘后面那扇狭长的菱形格子窗已经开到了最大的限度。“再瞧瞧这个！”他用提灯照了照，木头窗台上有一块形如靴印的血迹。“有人从窗子往外逃，所以才踩到了这上面。”","“That was our first idea. But see!” Barker drew aside the curtain, and showed that the long, diamond-paned window was open to its full extent. “And look at this!” He held the lamp down and illuminated a smudge of blood like the mark of a boot-sole upon the wooden sill. “Someone has stood there in getting out.”"
"“您是说有人趟过城壕跑掉了吗？”","“You mean that someone waded across the moat?”"
"“没错！”","“Exactly!”"
"“可是，既然您案发之后不到半分钟就跑进了这个房间，肯定能看到他在水里啊。 ”","“Then if you were in the room within half a minute of the crime, he must have been in the water at that very moment.”"
"“肯定能看到。老天在上，我要是一进来就往窗子跟前冲就好了！可是，您也看见了，窗子上还拉着窗帘呢，所以我压根儿就没往这上面想。接着我就听见了道格拉斯太太的脚步声，一心只想着不能让她走进这个房间。这里面的景象确实是太惨了。”","“I have not a doubt of it. I wish to heaven that I had rushed to the window! But the curtain screened it, as you can see, and so it never occurred to me. Then I heard the step of Mrs. Douglas, and I could not let her enter the room. It would have been too horrible.”"
"“是够惨的！”医生接口说道，眼睛看着那颗粉碎的脑袋和脑袋周围的可怖印迹。“自从伯尔斯通火车相撞事件以来，我还没见过这么可怕的伤情呢。”","“Horrible enough!” said the doctor, looking at the shattered head and the terrible marks which surrounded it. “I’ve never seen such injuries since the Birlstone railway smash.”"
"“慢着，听我说，”警长说道，他那个乡村风格的迟钝头脑仍然在围着那扇敞开的窗子打转。“您当然可以说有人趟过城壕跑掉了，可我倒想问问您，既然吊桥收在上面，当初他究竟是怎么进来的呢？”","“But, I say,” remarked the police sergeant, whose slow, bucolic common sense was still pondering the open window. “It’s all very well your saying that a man escaped by wading this moat, but what I ask you is, how did he ever get into the house at all if the bridge was up?”"
"“呃，这还真是让您给问着了，”巴克说道。","“Ah, that’s the question,” said Barker."
"“吊桥是什么时间收上去的呢？”","“At what o’clock was it raised?”"
"“将近六点的时候，”管家埃姆斯说道。","“It was nearly six o’clock,” said Ames, the butler."
"“我听说，”警长说道，“你们通常都是在太阳落山的时候收吊桥。眼下这个时节，太阳应该是在四点半左右落山，可不会等到将近六点。”","“I’ve heard,” said the sergeant, “that it was usually raised at sunset. That would be nearer half-past four than six at this time of year.”"
"“道格拉斯太太请了一些客人来喝茶，”埃姆斯说道。“客人不走我是不能收吊桥的。他们走了以后，我亲手把吊桥拉了起来。”","“Mrs. Douglas had visitors to tea,” said Ames. “I couldn’t raise it until they went. Then I wound it up myself.”"
"“既然如此，咱们可以这么说，”警长说道，“如果有人从外面进来的话，我是说如果，那么，这个人必须得在六点之前通过吊桥，然后还得在宅子里躲到十一点钟以后，直到道格拉斯先生走进这个房间为止。”","“Then it comes to this,” said the sergeant: “If anyone came from outside—*if* they did—they must have got in across the bridge before six and been in hiding ever since, until Mr. Douglas came into the room after eleven.”"
"“一点儿不错！每天晚上睡觉之前，道格拉斯先生做的最后一件事就是把宅子巡查一遍，看看各处的灯火是否正常。他巡查到这个房间的时候，等在房间里的凶手冲他开了枪，然后就从窗子逃了出去，把枪留在了这儿。我只能这么解释，因为其他的解释都跟事实对不上。”","“That is so! Mr. Douglas went round the house every night the last thing before he turned in to see that the lights were right. That brought him in here. The man was waiting and shot him. Then he got away through the window and left his gun behind him. That’s how I read it; for nothing else will fit the facts.”"
"警长从死者身边的地板上捡起了一张卡片，卡片上有两行十分潦草的墨水字迹，上面一行是字母缩写“V. V.”，下面一行是数字“341”。","The sergeant picked up a card which lay beside the dead man on the floor. The initials V. V. and under them the number 341 were rudely scrawled in ink upon it."
"“这是什么东西？”他举着卡片问道。","“What’s this?” he asked, holding it up."
"巴克好奇地看了看。“之前我还真没注意到这张卡片，”他说道。“肯定是凶手留下的吧。”","Barker looked at it with curiosity. “I never noticed it before,” he said. “The murderer must have left it behind him.”"
"“V. V.——341。我完全想不出这是什么意思。”警长的一双大手把卡片翻来翻去。“‘V. V.’是什么意思呢？某个人的姓名缩写，也许吧。您在那边找到什么了呢，伍德医生？”","“V. V.—341. I can make no sense of that.” The sergeant kept turning it over in his big fingers. “What’s V. V.? Somebody’s initials, maybe. What have you got there, Dr. Wood?”"
"医生在壁炉跟前的毯子上找到了一把大号的锤子，分量十足、工艺精湛。看到锤子之后，塞西尔·巴克指了指壁炉台上的一盒铜头钉。","It was a good-sized hammer which had been lying on the rug in front of the fireplace—a substantial, workmanlike hammer. Cecil Barker pointed to a box of brass-headed nails upon the mantelpiece."
"“就在昨天，道格拉斯先生把墙上的画挪了挪位置，”他说道。“我亲眼看见他站在那把椅子上，把椅子上方的那幅大画往墙上钉。锤子就是这么来的。”","“Mr. Douglas was altering the pictures yesterday,” he said. “I saw him myself, standing upon that chair and fixing the big picture above it. That accounts for the hammer.”"
"“咱们最好把它放回毯子上的原位吧，”警长一边说，一边迷惑不解地抓挠自己的脑袋。“要把这件事情查个水落石出，恐怕得用上警队里最好使的脑瓜子。伦敦的专家不来，这案子是结不了的。”说到这里，他举起提灯，慢慢地在房里走了一圈儿。“嘿！”他突然把窗帘扒拉到一边，兴奋不已地嚷了一声。“宅子里的窗帘是什么时候拉上的呢？”","“We’d best put it back on the rug where we found it,” said the sergeant, scratching his puzzled head in his perplexity. “It will want the best brains in the force to get to the bottom of this thing. It will be a London job before it is finished.” He raised the hand lamp and walked slowly round the room. “Hullo!” he cried, excitedly, drawing the window curtain to one side. “What o’clock were those curtains drawn?”"
"“掌灯的时候，”管家说道。“应该是四点刚过不久。”","“When the lamps were lit,” said the butler. “It would be shortly after four.”"
"“之前确实有人躲在这儿，错不了。”警长把提灯移向地面，墙角里有几个清清楚楚的泥巴靴印。“我不得不承认，巴克先生，这跟您的推测完全吻合。看情形，这个人闯进宅子的时间是在四点钟拉上窗帘之后，同时又在六点钟收起吊桥之前。他躲进了这个房间，因为这是他看到的第一个房间。房间里没有藏人的地方，所以他钻到了这道帘子后面。这些事实似乎都很清楚。他主要的目的兴许是偷东西，没想到让道格拉斯先生给撞见了，于是他杀死了道格拉斯先生，然后就逃之夭夭。 ”","“Someone had been hiding here, sure enough.” He held down the light, and the marks of muddy boots were very visible in the corner. “I’m bound to say this bears out your theory, Mr. Barker. It looks as if the man got into the house after four when the curtains were drawn, and before six when the bridge was raised. He slipped into this room, because it was the first that he saw. There was no other place where he could hide, so he popped in behind this curtain. That all seems clear enough. It is likely that his main idea was to burgle the house; but Mr. Douglas chanced to come upon him, so he murdered him and escaped.”"
"“我也是这么看的，”巴克说道。“不过，要我说，咱们这不是白白浪费宝贵的时间吗？咱们干吗不趁着这个家伙还没跑远，把周围的乡区搜查一遍呢？”","“That’s how I read it,” said Barker. “But I say, aren’t we wasting precious time? Couldn’t we start out and scour the country before the fellow gets away?”"
"警长思索了片刻。","The sergeant considered for a moment."
"“早上六点之前是没有火车的，他不可能坐火车逃走。他要是拖着滴答淌水的双腿走大路的话，肯定会引起别人的注意。不管怎么说，没有人来接手的话，我是绝对不能离开这儿的。还有啊，照我看，在我们把眼下的情形全都弄清楚之前，你们也通通不能离开。 ”","“There are no trains before six in the morning; so he can’t get away by rail. If he goes by road with his legs all dripping, it’s odds that someone will notice him. Anyhow, I can’t leave here myself until I am relieved. But I think none of you should go until we see more clearly how we all stand.” "
"医生已经把提灯拿了过去，这会儿正在近距离地验看尸体。“这个记号是怎么回事？”他问道。“它会跟这桩罪行有什么关联吗？”","The doctor had taken the lamp and was narrowly scrutinizing the body. “What’s this mark?” he asked. “Could this have any connection with the crime?”"
"死者的右臂从睡袍里支棱出来，手肘以下的部位露在了外面。靠近前臂中央的位置有一个古怪的褐色标记，图案是一个圆圈套着一个三角形。标记像浮雕一般从牛脂色的胳膊上凸了起来，看上去格外扎眼。","The dead man’s right arm was thrust out from his dressing gown, and exposed as high as the elbow. About halfway up the forearm was a curious brown design, a triangle inside a circle, standing out in vivid relief upon the lard-coloured skin."
"“这可不是刺上去的，”医生一边说，一边眯缝起眼睛，透过眼镜仔细察看，“我从来没见过这样的记号。这个标记肯定是以前的某个时候烙上去的，手法跟烙牲口一样。这是什么意思呢？”","“It’s not tattooed,” said the doctor, peering through his glasses. “I never saw anything like it. The man has been branded at some time as they brand cattle. What is the meaning of this?”"
"“是什么意思我倒说不好，”塞西尔·巴克说道，“不过，过去这十年当中，道格拉斯身上的这个标记我看见过好多次。”","“I don’t profess to know the meaning of it,” said Cecil Barker, “but I have seen the mark on Douglas many times this last ten years.”"
"“我也是，”管家说道。“这个标记我看见过很多次，都是在东家卷起袖管的时候。以前我经常都在琢磨，这到底是什么意思。”","“And so have I,” said the butler. “Many a time when the master has rolled up his sleeves I have noticed that very mark. I’ve often wondered what it could be.”"
"“这么说的话，它跟这桩罪行怎么也扯不上关系，”警长说道。“话说回来，这终归是一件非常古怪的事情。这件案子当中的事情全都非常古怪。我说，这又是怎么啦？”","“Then it has nothing to do with the crime, anyhow,” said the sergeant. “But it’s a rum thing all the same. Everything about this case is rum. Well, what is it now?”"
"管家刚刚发出了一声惊叫，这会儿正指着死者那只伸得长长的手。","The butler had given an exclamation of astonishment and was pointing at the dead man’s outstretched hand."
"“他们拿走了他的结婚戒指！”他倒吸了一口凉气。","“They’ve taken his wedding ring!” he gasped."
"“什么！”","“What!”"
"“真的，错不了。东家一直都把素面的金结婚戒指戴在左手的小指上，再把镶有天然块金的那枚戒指戴在结婚戒指的上面，盘蛇形状的戒指则戴在中指上。眼下呢，块金戒指和盘蛇戒指都还在，结婚戒指却不见了。”","“Yes, indeed. Master always wore his plain gold wedding ring on the little finger of his left hand. That ring with the rough nugget on it was above it, and the twisted snake ring on the third finger. There’s the nugget and there’s the snake, but the wedding ring is gone.”"
"“他说得没错，”巴克说道。","“He’s right,” said Barker."
"“你难道是说，”警长说道，“结婚戒指在另一枚戒指下面吗？”","“Do you tell me,” said the sergeant, “that the wedding ring was *below* the other?”"
"“一直都在！”","“Always!”"
"“也就是说，这个凶手，或者是别的什么人，先把你说的块金戒指取了下来，再把结婚戒指取了下来，然后又把块金戒指套了回去。”","“Then the murderer, or whoever it was, first took off this ring you call the nugget then the wedding ring, and afterwards put the nugget ring back again.”"
"“就是这样！”","“That is so!”"
"可敬的乡村警员开始大摇其头。“要我看，我们必须得让伦敦方面来接手这件案子，越快越好，”他说道。“怀特·梅森是个聪明人，本地还没出过怀特·梅森办不了的案子呢。要不了多久，他就会到这儿来帮我们。可我还是觉得，没有伦敦方面的帮助，这件事情完不了。不管怎么样，说出来也不怕你们笑话，对于我这样的人来说，这件活计真的是太复杂啦。”","The worthy country policeman shook his head. “Seems to me the sooner we get London on to this case the better,” said he. “White Mason is a smart man. No local job has ever been too much for White Mason. It won’t be long now before he is here to help us. But I expect we’ll have to look to London before we are through. Anyhow, I’m not ashamed to say that it is a deal too thick for the likes of me.”"
