"第一章 枪炮俱乐部","CHAPTER I THE GUN CLUB"
"巴比康和他的同伴们站在附近的一片高地上，监督整个操作过程。他们前面放着一尊大炮，工程师一发信号就开炮。差几分钟十二点的时候，少许的铁水开始往外流，贮液器一点点地被填满，当铁完全熔化后，铁水要在贮液器里停留一会儿，这样就能更容易地把杂质分离出来。","Barbicane and his colleagues, perched on a neighboring eminence, assisted at the operation.In front of them was a piece of artillery ready to give fire on the signal from the engineer.Some minutes before midday the first driblets of metal began to flow; the reservoirs filled little by little; and, by the time that the whole melting was completely accomplished, it was kept in abeyance for a few minutes in order to facilitate the separation of foreign substances."
"12点到了！突然一声炮响，一道火光射向天空。1,200个溶液槽同时打开，于是1,200条火蛇像一条条白热的曲线，涌向井中央。铁水流进900英尺深的井里，发出巨大的噪音。这是一个多么令人兴奋的壮观景象啊。铁浪把滚滚浓烟射向天空，砂模里的水分蒸发了，并穿过底架的排气孔变成厚厚的蒸气云窜了出来，在这个过程中，大地都颤抖了。这些人造云翻滚上升到1,000码的高空。一个在地平线的尽头流浪的野人，可能会认为佛罗里达州的地底下正在形成一座新的火山呢。但是，这既不是火山喷发、台风、暴风雨，亦或是恶劣天气的侵扰，也不是自然界所能产生的任何可怕现象。都不是。这些淡红色的水蒸气、火山般的万丈火焰、地震般的巨大震动、狂风暴雨般的轰鸣声，都是人类一手创造出来的，是人类亲手把铁水瀑布倾注到他们亲手挖掘的深渊里制造出的声音。","Twelve o’clock struck!A gunshot suddenly pealed forth and shot its flame into the air.Twelve hundred melting-troughs were simultaneously opened and twelve hundred fiery serpents crept toward the central well, unrolling their incandescent curves.There, down they plunged with a terrific noise into a depth of 900 feet.It was an exciting and a magnificent spectacle.The ground trembled, while these molten waves, launching into the sky their wreaths of smoke, evaporated the moisture of the mould and hurled it upward through the vent-holes of the stone lining in the form of dense vapor-clouds.These artificial clouds unrolled their thick spirals to a height of 1,000 yards into the air. A savage, wandering somewhere beyond the limits of the horizon, might have believed that some new crater was forming in the bosom of Florida, although there was neither any eruption, nor typhoon, nor storm, nor struggle of the elements, nor any of those terrible phenomena which nature is capable of producing.No, it was man alone who had produced these reddish vapors, these gigantic flames worthy of a volcano itself, these tremendous vibrations resembling the shock of an earthquake, these reverberations rivaling those of hurricanes and storms; and it was his hand which precipitated into an abyss, dug by himself, a whole Niagara of molten metal!"
"第十六章 哥伦比亚大炮","CHAPTER XVI THE COLUMBIAD"
"铸炮成功了吗？大家所能做的只剩下推测。事实上，既然砂模已经吸收了全部的铁水，那么大家完全有理由认为铸炮已经成功了。不过，不管怎么说，要想证实这个问题还需要很长的时间。","Had the casting succeeded?They were reduced to mere conjecture.There was indeed every reason to expect success, since the mould has absorbed the entire mass of the molten metal; still some considerable time must elapse before they could arrive at any certainty upon the matter."
"在这段时间里，枪炮俱乐部成员们的耐心受到了极大的考验。但是，他们什么也做不了。J. T. 马斯顿奇迹般地没有被烤焦。铸炮结束15天后，空中仍飘着一团巨大的烟柱，乱石岗周围200英尺的地方仍热得烫脚。想要再走近些是不可能的。他们能做的只有尽可能地耐心等待。","The patience of the members of the Gun Club was sorely tried during this period of time.But they could do nothing.J. T. Maston escaped roasting by a miracle.Fifteen days after the casting an immense column of smoke was still rising in the open sky and the ground burned the soles of the feet within a radius of two hundred feet round the summit of Stones Hill.It was impossible to approach nearer.All they could do was to wait with what patience they might."
"“现在已经是8月10日了，”一天早上马斯顿说，“离12月1日只有4个月了！我们来不及了！”巴比康什么也没说，但他是用沉默掩饰着强烈的怒火。","“Here we are at the 10th of August,” exclaimed J. T. Maston one morning, “only four months to the 1st of December!We shall never be ready in time!” Barbicane said nothing, but his silence covered serious irritation."
"不过，日常的观察显示，土壤的情况有了一定的变化。8月15日前后，喷射出来的水蒸气在密度和浓度上都有很大程度的降低。又过了几天，地面只冒出小股小股的烟了，这就是石头圈中央那个怪物的最后一丝气息。热的地区在一点点缩小，到了8月22日，巴比康、他的同事以及工程师就可以站在与乱石岗顶峰齐平的铁皮上了。","However, daily observations revealed a certain change going on in the state of the ground.About the 15th of August the vapors ejected had sensibly diminished in intensity and thickness.Some days afterward the earth exhaled only a slight puff of smoke, the last breath of the monster enclosed within its circle of stone.Little by little the belt of heat contracted, until on the 22nd of August, Barbicane, his colleagues, and the engineer were enabled to set foot on the iron sheet which lay level upon the summit of Stones Hill."
"“终于成功了！”枪炮俱乐部的主席长舒了一口气说道。","“At last!” exclaimed the president of the Gun Club, with an immense sigh of relief."
"当天，工程就重新开工了。为了清理大炮的炮筒，他们立刻着手挖掉炮筒内的砂模。手镐和螺旋钻一刻不停地工作着。黏土和沙子在热力的作用下，变得极其坚硬，但是，在机器的帮助下，挖掘出来的垃圾很快地被装上火车运走了。大家干得如此热火朝天，巴比康主席的美元论是如此有说服力，以至于到了９月３日，砂模的残迹已经完全不见了。","The work was resumed the same day. They proceeded at once to extract the interior mould, for the purpose of clearing out the boring of the piece.Pickaxes and boring irons were set to work without intermission.The clayey and sandy soils had acquired extreme hardness under the action of the heat; but, by the aid of the machines, the rubbish on being dug out was rapidly carted away on railway wagons; and such was the ardor of the work, so persuasive the arguments of Barbicane’s dollars, that by the 3rd of September all traces of the mould had entirely disappeared."
"随后，打磨炮膛的工作立即开始。几星期后，在威力强大的机器的协助下，这个巨大炮管的内壁就已呈完美的圆柱形，整个炮膛被磨得光滑无比。","Immediately the operation of boring was commenced; and by the aid of powerful machines, a few weeks later, the inner surface of the immense tube had been rendered perfectly cylindrical, and the bore of the piece had acquired a thorough polish."
"终于，在9月22日，这尊巨大武器的口径已经与规定的数值分毫不差，炮筒与地面完全垂直地竖立着，可以投入使用了。这时离巴比康最初的提案还不到一年时间。现在只需等待月球到达指定位置了，他们十分肯定，她是不会失约的。","At length, on the 22d of September, less than a twelvemonth after Barbicane’s original proposition, the enormous weapon, accurately bored, and exactly vertically pointed, was ready for work.There was only the moon now to wait for; and they were pretty sure that she would not fail in the rendezvous."
"J. T. 马斯顿欣喜若狂，当他向下注视炮筒的时候，差点没掉下去。要不是布鲁姆斯伯里上校一把拉住他，这位可敬的枪炮俱乐部的秘书就会成为现代版的艾罗斯特拉特，死在哥伦比亚大炮的底部了。","The ecstasy of J. T. Maston knew no bounds, and he narrowly escaped a frightful fall while staring down the tube.But for the strong hand of Colonel Blomsberry, the worthy secretary, like a modern Erostratus, would have found his death in the depths of the Columbiad."
"大炮已经竣工，对于它能否顺利完工已经不用再怀疑了。因此，10月6日，尼科尔上校不得不在自己的账簿上记上欠巴比康2,000美元。可以想象，尼科尔上校已经怒火中烧，几乎快要抓狂了。不过，他还有3,000、4,000、5,000美元三笔赌注，哪怕能够赢得其中两笔，他的处境就不算太坏。但是，他考虑的并不是钱的问题。他的对手成功地铸了一尊连60英尺厚的钢板都能击穿的大炮，这给了他一个可怕的打击。","The cannon was then finished; there was no possible doubt as to its perfect completion.So, on the 6th of October, Captain Nicholl opened an account between himself and President Barbicane, in which he debited himself to the latter in the sum of two thousand dollars.One may believe that the captain’s wrath was increased to its highest point, and must have made him seriously ill. However, he had still three bets of three, four, and five thousand dollars, respectively; and if he gained two out of these, his position would not be very bad. But the money question did not enter into his calculations; it was the success of his rival in casting a cannon against which iron plates sixty feet thick would have been ineffectual, that dealt him a terrible blow."
"9月23日之后，乱石岗敞开围栏，开始对公众开放，不难想象人们争先恐后赶来参观的场景。当地人和从外地来到坦帕城的人从来没有间断过，看起来就像队列游行一样，或者更确切地说，像朝拜一样。","After the 23rd of September the enclosure of Stones hill was thrown open to the public; and it will be easily imagined what was the concourse of visitors to this spot!There was an incessant flow of people to and from Tampa Town and the place, which resembled a procession, or rather, in fact, a pilgrimage."
"很明显，实验当天将会有数以百万的参观者，因为他们已经从世界各地来到了这座狭长的半岛。欧洲都快被迁移到美国了。","It was already clear to be seen that, on the day of the experiment itself, the aggregate of spectators would be counted by millions; for they were already arriving from all parts of the earth upon this narrow strip of promontory.Europe was emigrating to America."
"然而，我们必须承认，到目前为止众多参观者的好奇心还没有得到充分的满足。大多数人都指望能一睹铸炮的壮观场景，但是除了烟，他们什么也没看到。这对他们贪婪的双眼来说，实在不过瘾。但是，巴比康不允许任何人参观这项工作。继而，人群中怨声四起，大家嘟嘟囔囔地抱怨起来，指责主席太独断专行。人们声称他的做法“没有美国味儿”。乱石岗的外围差点发生暴乱，但是巴比康仍然没有改变主意。不过，到哥伦比亚大炮完工的时候，栅栏门就关不住了。此时要是再激起群众的不满，就是不识趣、甚至是太鲁莽了。因此，巴比康向所有参观者敞开了大门，不过，基于他的现实主义精神，他打算利用群众的好奇心捞点油水。","Up to that time, however, it must be confessed, the curiosity of the numerous comers was but scantily gratified.Most had counted upon witnessing the spectacle of the casting, and they were treated to nothing but smoke.This was sorry food for hungry eyes; but Barbicane would admit no one to that operation.Then ensued grumbling, discontent, murmurs; they blamed the president, taxed him with dictatorial conduct.His proceedings were declared “un-American.” There was very nearly a riot round Stones Hill; but Barbicane remained inflexible.When, however, the Columbiad was entirely finished, this state of closed doors could no longer be maintained; besides it would have been bad taste, and even imprudence, to affront the public feeling.Barbicane, therefore, opened the enclosure to all comers; but, true to his practical disposition, he determined to coin money out of the public curiosity."
"的确，能够好好看看这尊巨大的哥伦比亚大炮已经很了不起了，如果还能下到炮底，那对于美国人来说似乎就是人世间最幸福的事了。因此，不少好奇的参观者都想到这金属制成的深渊里参观一番。几只悬在蒸气起重机上的吊篮满足了他们的好奇心。那可真叫狂热啊！所有的女人、小孩、老人都把窥探巨炮的神秘当作自己的义务。下到炮底的费用定为每人五美元，尽管价格很高，但在实验开始前的两个月里，大量的参观者给枪炮俱乐部带来了近50万美元的收益！","It was something, indeed, to be enabled to contemplate this immense Columbiad; but to descend into its depths, this seemed to the Americans the ne plus ultra of earthly felicity.Consequently, there was not one curious spectator who was not willing to give himself the treat of visiting the interior of this great metallic abyss.Baskets suspended from steam-cranes permitted them to satisfy their curiosity.There was a perfect mania.Women, children, old men, all made it a point of duty to penetrate the mysteries of the colossal gun. The fare for the descent was fixed at five dollars per head; and despite this high charge, during the two months which preceded the experiment, the influx of visitors enabled the Gun Club to pocket nearly five hundred thousand dollars!"
"不用说，第一批参观哥伦比亚大炮的人是枪炮俱乐部的会员们。对于这么一个杰出的团体，这样的优待是理所应当的。仪式在9月25日举行。一只特别的吊篮把巴比康主席、J. T. 马斯顿、埃尔芬斯通中校、布鲁姆斯伯里上校以及其他俱乐部成员一起放了下去，一共是10个人。长炮筒的底端还是那么热！他们有点喘不过起来。但是，他们是多么高兴啊！多么欣喜若狂啊！哥伦比亚大炮的底部由大块的石头构成，石头上有一张摆放着六套餐具的桌子，一只射灯照亮了这里，光线和日光一样明亮。一道道仿佛从天而降的精美菜肴，接连不断地送到客人们面前，一瓶瓶法国最好的葡萄酒源源不断地供应给这地下900英尺的盛宴。","It is needless to say that the first visitors of the Columbiad were the members of the Gun Club.This privilege was justly reserved for that illustrious body.The ceremony took place on the 25th of September.A basket of honor took down the president, J. T. Maston, Major Elphinstone, General Morgan, Colonel Blomsberry, and other members of the club, to the number of ten in all. How hot it was at the bottom of that long tube of metal!They were half suffocated.But what delight!What ecstasy!A table had been laid with six covers on the massive stone which formed the bottom of the Columbiad, and lighted by a jet of electric light resembling that of day itself.Numerous exquisite dishes, which seemed to descend from heaven, were placed successively before the guests, and the richest wines of France flowed in profusion during this splendid repast, served nine hundred feet beneath the surface of the earth!"
"盛宴的气氛很活跃，甚至可以说是有点吵闹。大家频频地来回祝酒。他们为地球、为她的卫星、为枪炮俱乐部、为合众国、为月球、为黛安娜、为福柏、为塞勒涅、为“夜晚的和平使者”干杯！所有的欢呼声都向上传到了这只巨大声管顶端，音量被扩大得如同雷鸣。于是，乱石岗周围聚集的人群也和在哥伦比亚大炮底部聚餐的十个人一道，齐声欢呼。","The festival was animated, not to say somewhat noisy.Toasts flew backward and forward.They drank to the earth and to her satellite, to the Gun Club, the Union, the Moon, Diana, Phoebe, Selene, the “peaceful courier of the night!” All the hurrahs, carried upward upon the sonorous waves of the immense acoustic tube, arrived with the sound of thunder at its mouth; and the multitude ranged round Stones Hill heartily united their shouts with those of the ten revelers hidden from view at the bottom of the gigantic Columbiad."
"J. T. 马斯顿再也控制不住自己了。他到底是喊得最多，比划得最多，喝得最多，还是吃得最多，已经很难判断了。不管怎样，就算给他一个帝国，他也不愿意交换他现在这个位子。“哪怕现在有一门装好弹药的大炮，马上就要开炮把他炸成碎片送上太空，他也不换！”","J. T. Maston was no longer master of himself.Whether he shouted or gesticulated, ate or drank most, would be a difficult matter to determine.At all events, he would not have given his place up for an empire, “not even if the cannon—loaded, primed, and fired at that very moment—were to blow him in pieces into the planetary world.”"
"第十七章 一封电报","CHAPTER XVII A TELEGRAPHIC DISPATCH"
"枪炮俱乐部进行的这项伟大的工程终于接近尾声了，距离向月球发射炮弹的那一天还有两个月。相对于大家焦急的心情而言，这两个月简直就和两年一样长啊！迄今为止，每一天工程的每一个最小的细节都会登在各种杂志上，公众用充满期待的双眼关注着这些报道。","The great works undertaken by the Gun Club had now virtually come to an end; and two months still remained before the day for the discharge of the shot to the moon.To the general impatience these two months appeared as long as years!Hitherto the smallest details of the operation had been daily chronicled by the journals, which the public devoured with eager eyes."
"就在这个时候，一件最出人意料、最超乎寻常、最令人难以置信的事情发生了，它重新唤醒了人们悸动的心，把他们推入狂热的浪潮里。","Just at this moment a circumstance, the most unexpected, the most extraordinary and incredible, occurred to rouse afresh their panting spirits, and to throw every mind into a state of the most violent excitement."
"9月30日下午3点47分，从瓦伦西亚岛（爱尔兰）到纽芬兰和美国大陆的海底电缆传来了一份电报，电报被送到了巴比康主席的住处。","One day, the 30th of September, at 3:47 P.M., a telegram, transmitted by cable from Valentia (Ireland) to Newfoundland and the American Mainland, arrived at the address of President Barbicane."
"主席打开信封开始读电报，尽管他的自制力极强，但是读完这封只有二十几个字的电报，还是禁不住嘴唇发白，双眼模糊。","The president tore open the envelope, read the dispatch, and, despite his remarkable powers of self-control, his lips turned pale and his eyes grew dim, on reading the twenty words of this telegram."
"这封电报现在被放在枪炮俱乐部的档案室内，全文如下：","Here is the text of the dispatch, which figures now in the archives of the Gun Club:"
"法国，巴黎，9月30日，上午4时美国，佛罗里达州，坦帕城，巴比康","FRANCE, PARIS, 30 September, 4 A.M.Barbicane, Tampa Town, Florida, United States."
"请用圆锥体的炮弹代替球体炮弹。我要进入炮弹。我将乘亚特兰大号汽船赴美。米歇尔·阿当","Substitute for your spherical shell a cylindro-conical projectile.I shall go inside.Shall arrive by steamer Atlanta.MICHEL ARDAN."
"第十八章 亚特兰大号上的乘客","CHAPTER XVIII THE PASSENGER OF THE ATLANTA"
"假如这个令人震惊的消息不是通过电缆传来的，而是用普通的密封信封邮寄来的，巴比康就一刻都不会迟疑了。他就会绝口不提这个消息，这既是出于审慎，也是为了不再更改他的计划。这封电报可能是一个恶作剧，况且它还是个法国人发来的。什么人会想出这么个去月球旅行的主意呢？就算真有这样的人，那他也一定是个白痴，应该被关在疯人院，而不是呆在炮弹里。","If this astounding news, instead of flying through the electric wires, had simply arrived by post in the ordinary sealed envelope, Barbicane would not have hesitated a moment.He would have held his tongue about it, both as a measure of prudence, and in order not to have to reconsider his plans.This telegram might be a cover for some jest, especially as it came from a Frenchman.What human being would ever have conceived the idea of such a journey? and, if such a person really existed, he must be an idiot, whom one would shut up in a lunatic ward, rather than within the walls of the projectile."
"然而，信的内容很快就有人知道了，因为电报传送员丝毫没有保密意识。米歇尔·阿当的提议就这样立刻在合众国的几个州传开了。于是，巴比康没有理由再保持沉默了。他把此时在坦帕城的同僚召集到一起，没有提出任何自己的看法，只是把这份简洁的电报读了一遍。每个人都以各种方式对这封电报的内容表示疑问、怀疑和嘲笑，只有J. T. 马斯顿除外。他叫道：“不管怎么说，这倒是一个好主意！”","The contents of the dispatch, however, speedily became known; for the telegraphic officials possessed but little discretion, and Michel Ardan’s proposition ran at once throughout the several States of the Union.Barbicane, had, therefore, no further motives for keeping silence.Consequently, he called together such of his colleagues as were at the moment in Tampa Town, and without any expression of his own opinions simply read to them the laconic text itself.It was received with every possible variety of expressions of doubt, incredulity, and derision from every one, with the exception of J. T. Maston, who exclaimed, “It is a grand idea, however!”"
"巴比康最初提议向月球发射一颗炮弹的时候，每个人都认为这个计划易于操作、合理可行，因为它只不过是一个枪炮制造学的问题。而现在，当一个号称有理智的人打算进入炮弹旅行的时候，整件事就变成了一出闹剧，或者用一句俗语来说，就是“胡说八道”。","When Barbicane originally proposed to send a shot to the moon every one looked upon the enterprise as simple and practicable enough—a mere question of gunnery; but when a person, professing to be a reasonable being, offered to take passage within the projectile, the whole thing became a farce, or, in plainer language a humbug."
"但是，还有一个问题。这个人真的存在么？这封穿过大西洋深处传来的电报，这个法国人所乘坐的轮船的名字和他马上到达的日期，所有的信息都表明这个提议具有一定的真实性。他们必须弄清这件事情。三五成群的探究者们最终聚到一起，向巴比康主席的住所走去。而这位可敬的人物一直保持沉默，观望事态的发展。但是，他没有把群众的急躁考虑进去。此刻，他正沉着脸，看着聚集在他窗下的坦帕群众。群众们的窃窃私语和高声叫喊很快就迫使巴比康现身了。他来到群众面前，众人一安静下来，就有一位公民直截了当地问：“电报里提到的米歇尔·阿当，是不是已经启程赶往这里了？到底是不是？”","One question, however, remained.Did such a being exist?This telegram flashed across the depths of the Atlantic, the designation of the vessel on board which he was to take his passage, the date assigned for his speedy arrival, all combined to impart a certain character of reality to the proposal.They must get some clearer notion of the matter.Scattered groups of inquirers at length condensed themselves into a compact crowd, which made straight for the residence of President Barbicane.That worthy individual was keeping quiet with the intention of watching events as they arose.But he had forgotten to take into account the public impatience; and it was with no pleasant countenance that he watched the population of Tampa Town gathering under his windows.The murmurs and vociferations below presently obliged him to appear.He came forward, therefore, and on silence being procured, a citizen put point-blank to him the following question: “Is the person mentioned in the telegram, under the name of Michel Ardan, on his way here?Yes or no.”"
"“先生们，”巴比康回答道，”我知道的并不比你们多。“","“Gentlemen,” replied Barbicane, “I know no more than you do.”"
"“我们必须要知情。”人们不耐烦地喊道。","“We must know,” roared the impatient voices."
"“时间会告诉我们一切。”主席冷静地说。","“Time will show,” calmly replied the president."
"“但时间没有理由让整个国家的人悬着心。”群众代表回答道，“你根据电报的要求改变炮弹的设计图了么？”","“Time has no business to keep a whole country in suspense,” replied the orator.“Have you altered the plans of the projectile according to the request of the telegram?”"
"“还没有，先生们。但是你们说的没错！我们必须弄清楚事实。电报局有责任给我们提供最完整的信息。”","“Not yet, gentlemen; but you are right! we must have better information to go by. The telegraph must complete its information.”"
"“去电报局！”群众们喊道。","“To the telegraph!” roared the crowd."
"巴比康走下台阶，带领着庞大的队伍向电报局走去。几分钟后，大家把一封电报发给了利物浦船舶经纪人协会的理事长，要求他回答如下问题：","Barbicane descended; and heading the immense assemblage, led the way to the telegraph office.A few minutes later a telegram was dispatched to the secretary of the underwriters at Liverpool, requesting answers to the following queries:"
"“关于亚特兰大号——船是什么时候离开欧洲的？船上是否有一个叫米歇尔·阿当的法国人？”","“About the ship Atlanta—when did she leave Europe?Had she on board a Frenchman named Michel Ardan?”"
"两个小时后，巴比康收到了准确无误的消息，这个消息使得大家再也没有一丝怀疑的余地。","Two hours afterward Barbicane received information too exact to leave room for the smallest remaining doubt."
"“从利物浦出发的亚特兰大号轮船于10月2日启程，驶向坦帕城，船上有一名法国人，乘客名单表上他的名字是米歇尔·阿当。”","“The steamer Atlanta from Liverpool put to sea on the 2nd of October, bound for Tampa Town, having on board a Frenchman borne on the list of passengers by the name of Michel Ardan.”"
"当天晚上，巴比康给布理仕威尔公司写了一封信，要求他们在接到新的指令之前，暂停制造炮弹。10月10日上午9点，巴哈马运河上的信号装置在地平线上发出了一道浓烟。两个小时后，一艘大汽船和他们交换了信号。亚特兰大号的名字立刻在坦帕城传开了。四点钟，这艘英国轮船驶入了圣埃斯皮里图湾的水道。五点钟，船全速驶过希尔斯巴勒湾。六点钟，船抛锚停在坦帕港。铁锚还没有抓住海底的沙子，就有500艘船把亚特兰大号团团围住了。巴比康是第一个走上甲板的人，他的叫声里有着掩盖不住的激动：“米歇尔·阿当！”","That very evening he wrote to the house of Breadwill and Co., requesting them to suspend the casting of the projectile until the receipt of further orders.On the 10th of October, at nine A.M., the semaphores of the Bahama Canal signaled a thick smoke on the horizon.Two hours later a large steamer exchanged signals with them.The name of the Atlanta flew at once over Tampa Town.At four o’clock the English vessel entered the Bay of Espiritu Santo.At five it crossed the passage of Hillisborough Bay at full steam.At six she cast anchor at Port Tampa.The anchor had scarcely caught the sandy bottom when five hundred boats surrounded the Atlanta, and the steamer was taken by assault.Barbicane was the first to set foot on deck, and in a voice of which he vainly tried to conceal the emotion, called “Michel Ardan.”"
"“这儿呢！”船尾的一个人应道。","“Here!” replied an individual perched on the poop."
"巴比康双臂交叉，目不转睛地看着亚特兰大号上的这位乘客。","Barbicane, with arms crossed, looked fixedly at the passenger of the Atlanta."
"那人大约42岁，个头很高，但是有点驼背。他的大脑袋不时摇动着，甩着一头狮子鬃毛般的红发。他的脸盘不大，额头很宽，胡须像猫胡子一般短而硬，脸颊上满是短短的、淡黄的腮须。一双圆圆的眼睛目光迷离，还有些近视，这使得他的脸更像猫了。他的鼻子很挺，嘴角带着和蔼的微笑，高高的额头，一副聪明相，额上布满了皱纹，像是一块刚犁过的地。他的体格很健壮，还长着两条大长腿。他的手臂肌肉发达，浑身上下散发出一种果敢的气息，看上去是位坚强、乐观的朋友。他的衣服又肥又大，颈巾系得松松垮垮，敞开的领口露出强健的脖子。袖口的扣子从来不系，露出一双红润的手。","He was a man of about forty-two years of age, of large build, but slightly round-shouldered.His massive head momentarily shook a shock of reddish hair, which resembled a lion’s mane.His face was short with a broad forehead, and furnished with a moustache as bristly as a cat’s, and little patches of yellowish whiskers upon full cheeks.Round, wildish eyes, slightly near-sighted, completed a physiognomy essentially feline.His nose was firmly shaped, his mouth particularly sweet in expression, high forehead, intelligent and furrowed with wrinkles like a newly-plowed field.The body was powerfully developed and firmly fixed upon long legs.Muscular arms, and a general air of decision gave him the appearance of a hardy, jolly, companion.He was dressed in a suit of ample dimensions, loose neckerchief, open shirtcollar, disclosing a robust neck; his cuffs were invariably unbuttoned, through which appeared a pair of red hands."
"他在船桥上的人群中来来回回地走着，一刻也不停歇，正如水手们所说，他简直是“拖着锚走路”。他一边紧张贪婪地咬着指甲，一边指手画脚的，对每个人都很放肆。他就是造物者一时心血来潮创造出来的一个怪物，之后造物者又马上把造他的模子毁掉了。","On the bridge of the steamer, in the midst of the crowd, he bustled to and fro, never still for a moment, “dragging his anchors,” as the sailors say, gesticulating, making free with everybody, biting his nails with nervous avidity.He was one of those originals which nature sometimes invents in the freak of a moment, and of which she then breaks the mould."
"这位奇人最突出的怪癖是常常说自己是个十足的无知者，“像莎士比亚一样”。他还公开声称看不起所有的科学家。他口中的“那些家伙”，“只配在我们比赛时帮忙记记分数。”事实上，他是个非常放荡不羁的人，具有冒险精神，但称不上冒险家。他是个轻浮的家伙，一个伊卡罗斯般的人，只不过他有几对可以替换的翅膀。此外，他还随时准备冲锋陷阵、受伤挂彩，不过他每次从高处摔下都能双脚着地，像孩子玩的那种小玩偶一样。总之，他的座右铭是“我有我的主张”，最大的志趣就是为那些不可能的事着迷。","Among other peculiarities, this curiosity gave himself out for a sublime ignoramus, “like Shakespeare,” and professed supreme contempt for all scientific men. Those “fellows,” as he called them, “are only fit to mark the points, while we play the game.” He was, in fact, a thorough Bohemian, adventurous, but not an adventurer; a hare-brained fellow, a kind of Icarus, only possessing relays of wings.For the rest, he was ever in scrapes, ending invariably by falling on his feet, like those little figures which they sell for children’s toys.In a few words, his motto was “I have my opinions,” and the love of the impossible constituted his ruling passion."
"这就是亚特兰大号船上的那位乘客，他总是很激动，好像体内有一团火在燃烧。如果说哪两个人能形成鲜明的对比，那这两个人非米歇尔·阿当和美国人巴比康莫属。这两个人都胆识过人，但表现方式截然不同。","Such was the passenger of the Atlanta, always excitable, as if boiling under the action of some internal fire by the character of his physical organization.If ever two individuals offered a striking contrast to each other, these were certainly Michel Ardan and the Yankee Barbicane; both, moreover, being equally enterprising and daring, each in his own way."
"枪炮俱乐部的主席仔细打量着这位新的竞争对手，但是很快就被人群的呼喊和喝彩声打断了。群众的叫喊声是那样疯狂，他们都想亲自向米歇尔·阿当表达他们的热情，以至于阿当不得不和成千上万的群众握手，最后，他的手指都快被握断了，不得不逃回船舱里。","The scrutiny which the president of the Gun Club had instituted regarding this new rival was quickly interrupted by the shouts and hurrahs of the crowd.The cries became at last so uproarious, and the popular enthusiasm assumed so personal a form, that Michel Ardan, after having shaken hands some thousands of times, at the imminent risk of leaving his fingers behind him, was fain at last to make a bolt for his cabin."
"巴比康跟在他后面，一句话也没说。","Barbicane followed him without uttering a word."
"“我猜，你就是巴比康吧？”米歇尔·阿当说，那口吻好像他和巴比康已是20年的好朋友了。","“You are Barbicane, I suppose?” said Michel Ardan, in a tone of voice in which he would have addressed a friend of twenty years’ standing."
"“是的。”枪炮俱乐部的主席回答。","“Yes,” replied the president of the Gun Club."
"“太好了！你好，巴比康！一切进行得怎么样——很顺利吧？那就好。”","“All right! how d’ye do, Barbicane? how are you getting on— pretty well? that’s right.”"
"“那么，”巴比康开门见山地说，“你决定好要那样做了？”","“So,” said Barbicane without further preliminary, “you are quite determined to go.”"
"“我已经下定决心了。”","“Quite decided.”"
"“什么都阻止不了你？”","“Nothing will stop you?”"
"“什么都阻止不了。你已经根据我的电报内容修改你的炮弹了么？”","“Nothing.Have you modified your projectile according to my telegram.”"
"“我在等你来。但是，”巴比康又问，“你仔细考虑过了么？”","“I waited for your arrival.But,” asked Barbicane again, “have you carefully reflected?”"
"“仔细考虑？难道我还有时间浪费么？我找到一个能去月球旅行的机会，就得好好利用它。这才是重点所在。”","“Reflected? have I any time to spare?I find an opportunity of making a tour in the moon, and I mean to profit by it. There is the whole gist of the matter.”"
"巴比康怔怔地看着这个人，说到去月球旅行，他竟然是那么轻松，毫无焦虑。“但是，”巴比康说，“至少你得有个计划和具体的实施方案吧？”","Barbicane looked hard at this man who spoke so lightly of his project with such complete absence of anxiety.“But, at least,” said he, “you have some plans, some means of carrying your project into execution?”"
"“很好，我亲爱的巴比康，请允许说句话：我希望一次把我的计划讲给所有人听，说完就完了，不必再重复。所以，如果你不反对的话，就把你的朋友、同僚、全城的人、佛罗里达州的全部居民——如果你愿意，也可以是全美国的人——召集起来。明天我将把我的计划说给他们听，回应他们提出的任何异议。你大可放心，我会耐心等待。这样做合你心意吗？”","“Excellent, my dear Barbicane; only permit me to offer one remark: My wish is to tell my story once for all, to everybody, and then have done with it; then there will be no need for recapitulation.So, if you have no objection, assemble your friends, colleagues, the whole town, all Florida, all America if you like, and tomorrow I shall be ready to explain my plans and answer any objections whatever that may be advanced.You may rest assured I shall wait without stirring.Will that suit you?”"
"“当然。”巴比康回答。","“All right,” replied Barbicane."
"说完这话，主席离开船舱，把米歇尔·阿当的提议告诉众人。话音刚落，就响起了热烈的掌声，还有兴奋的欢呼声。所有的问题都解决了。明天，所有人都可以自由自在地欣赏这位欧洲英雄的风采了。不过，一些较为狂热的群众仍然不愿意离开亚特兰大号的甲板。他们在甲板上呆了一整夜。J. T. 马斯顿就是这些人中的一个，他用他的铁钩子勾住船尾的栏杆，看样子只有用起锚机才能把他弄走。","So saying, the president left the cabin and informed the crowd of the proposal of Michel Ardan.His words were received with clappings of hands and shouts of joy.They had removed all difficulties.Tomorrow every one would contemplate at his ease this European hero.However, some of the spectators, more infatuated than the rest, would not leave the deck of the Atlanta.They passed the night on board.Among others J. T. Maston got his hook fixed in the combing of the poop, and it pretty nearly required the capstan to get it out again."
