"第一章 一双手","Chapter 1 Hands"
"塞斯从长凳上站起来，伸出手。他不想结束谈话，可也想不出别的可说的。“这是我们最后一次见面了。”他低声说。","Seth arose from the bench and put out his hand.He did not want to bring the meeting to an end but could not think of anything more to say.“It’s the last time we’ll see each other,” he whispered."
"一阵伤感席上海伦的心头。她把手放在塞斯肩上，开始将他的脸拉下来对着自己仰着的脸。这个动作完全出于爱慕，也是一种令人心伤的遗憾，原本会发生在今夜暧昧气氛中的某种冒险如今再也不能实现了。“我想我得回去了。”她说，手猛地垂到身体一侧。她脑海中冒出一个念头。“你别跟着我，我想一个人。”她说道，“你回去同你妈妈谈谈。你最好现在就去。”塞斯犹豫着，他站在那里等着的时候，女孩子转过身从篱笆里穿出去跑了。他想去追她，可他只是站在那里看着，对她的举动感到困惑不解，就像他曾对她所在的这个小镇上的其他事感到困惑不解一样。他慢慢地朝房子走去，停在一棵大树的树阴下，看着他的母亲坐在一扇亮着灯光的窗边正忙着缝缝补补。今晚早些时候他曾感到的那种孤独再次来袭，也影响了他对刚刚所经历的那次历险的看法。“嘿！”他大喊一声，转过身看着海伦·怀特走的方向。“那就是事情最后会变成的样子。她会和其他人一样。我想，她会开始用一种可笑的方式来看待我。”他看着地面，反复考虑着这个想法。“当我在她周围的时候，她会觉得尴尬和奇怪。”他低声自语道，“会变成那样的。每件事都会变成那样。她会爱上某个人，可永远都不会是我。那会是其他的人——某个傻瓜——某个夸夸其谈的人——像乔治·威拉德那样的人。”","A wave of sentiment swept over Helen.Putting her hand upon Seth’s shoulder, she started to draw his face down toward her own upturned face.The act was one of pure affection and cutting regret that some vague adventure that had been present in the spirit of the night would now never be realized.“I think I’d better be going along,” she said, letting her hand fall heavily to her side.A thought came to her.“Don’t you go with me; I want to be alone,” she said.“You go and talk with your mother.You’d better do that now.”Seth hesitated and, as he stood waiting, the girl turned and ran away through the hedge.A desire to run after her came to him, but he only stood staring, perplexed and puzzled by her action as he had been perplexed and puzzled by all of the life of the town out of which she had come.Walking slowly toward the house, he stopped in the shadow of a large tree and looked at his mother sitting by a lighted window busily sewing.The feeling of loneliness that had visited him earlier in the evening returned and colored his thoughts of the adventure through which he had just passed.“Huh!” he exclaimed, turning and staring in the direction taken by Helen White.“That’s how things’ll turn out.She’ll be like the rest.I suppose she’ll begin now to look at me in a funny way.”He looked at the ground and pondered this thought.“She’ll be embarrassed and feel strange when I’m around,” he whispered to himself.“That’s how it’ll be.That’s how everything’ll turn out.When it comes to loving someone, it won’t never be me.It’ll be someone else—some fool—someone who talks a lot—someone like that George Willard.”"
"第十一章 坦迪","Chapter 11 Tandy"
"七岁前，她一直住在一座未经粉刷的老房子里，房子坐落于通往特鲁连山峰的一条荒凉的道路上。她的父亲没给予她多少疼爱，她的母亲也过世了。那位父亲将时间都用来谈论和思考宗教了。他宣称自己是个不可知论者，并且专心于消灭那些悄悄进入他邻居们头脑中的上帝思想，如此专心以至于他从未发现上帝在这个小女孩身上显灵。小女孩几乎已被遗忘，四处漂泊不定的，靠她已故母亲的亲戚们的善心过活。","Until she was seven years old she lived in an old unpainted house on an unused road that led off Trunion Pike.Her father gave her but little attention and her mother was dead.The father spent his time talking and thinking of religion.He proclaimed himself an agnostic and was so absorbed in destroying the ideas of God that had crept into the minds of his neighbors that he never saw God manifesting himself in the little child that, half forgotten, lived here and there on the bounty of her dead mother’s relatives."
"一个外乡人来到温斯堡，在这孩子身上看到了她父亲没有发现的东西。他是个高大的红头发青年，总是喝得醉醺醺的。有时，他同那位名叫汤姆·哈德的父亲坐在新威拉德旅社前面的一张椅子上。当汤姆高谈阔论，宣称上帝可能并不存在的时候，他就微微一笑，朝旁边的人眨眨眼睛。他和汤姆成了朋友，经常呆在一起。","A stranger came to Winesburg and saw in the child what the father did not see.He was a tall, red-haired young man who was almost always drunk.Sometimes he sat in a chair before the New Willard House with Tom Hard, the father.As Tom talked, declaring there could be no God, the stranger smiled and winked at the bystanders.He and Tom became friends and were much together."
"这位外乡人是克利夫兰的一个富商的儿子，来温斯堡是为了一个目的。他希望能改掉嗜酒的坏习惯，并认为逃离城市的社交生活，住在乡村里，会比较有可能改掉这个正在毁掉他的嗜好。","The stranger was the son of a rich merchant of Cleveland and had come to Winesburg on a mission.He wanted to cure himself of the habit of drink, and thought that by escaping from his city associates and living in a rural community he would have a better chance in the struggle with the appetite that was destroying him."
"他暂居温斯堡的生活不算成功。乏味的生活使他比以前喝得更厉害。但是，他也做成了一件事。他给汤姆·哈德的女儿起了一个饱含深意的名字。","His sojourn in Winesburg was not a success.The dullness of the passing hours led to his drinking harder than ever.But he did succeed in doing something.He gave a name rich with meaning to Tom Hard’s daughter."
"一个傍晚，这个外乡人从长时间的迷醉中清醒过来，沿着小镇的大街踉跄着往回走。汤姆·哈德坐在新威拉德旅社前的一张椅子里，他五岁的女儿坐在他的腿上。年轻的乔治·威拉德坐在他旁边的人行道路面上。这位外乡人倒在他们旁边的一张扶椅上。他的身体在颤抖，说话的时候声音也在发抖。","One evening when he was recovering from a long debauch the stranger came reeling along the main street of the town.Tom Hard sat in a chair before the New Willard House with his daughter, then a child of five, on his knees.Beside him on the board sidewalk sat young George Willard.The stranger dropped into a chair beside them.His body shook and when he tried to talk his voice trembled."
"夜已经深了，黑暗笼罩着小镇和旅社前那条沿着小山坡的底部铺设的铁路。远处，一列开往西部客车的汽笛发出一声长鸣。一条躺在路面上睡觉的狗被吵醒了，汪汪地大叫起来。外乡人开始瞎侃，对躺在那位不可知论者怀里的小孩做了一番预言。","It was late evening and darkness lay over the town and over the railroad that ran along the foot of a little incline before the hotel.Somewhere in the distance, off to the west, there was a prolonged blast from the whistle of a passenger engine.A dog that had been sleeping in the roadway arose and barked.The stranger began to babble and made a prophecy concerning the child that lay in the arms of the agnostic."
"“我是来这儿戒酒的。”他说，泪水开始从脸颊上流下来。他没有去看汤姆·哈德，而是向前倾着身体，凝视着夜色，仿佛在看着什么幻境。“我跑到乡下是来治病的，可是没治好。这是有原因的。”他转过头望着笔直地坐在父亲膝上的小女孩，她也回望着他。","“I came here to quit drinking,” he said, and tears began to run down his cheeks.He did not look at Tom Hard, but leaned forward and stared into the darkness as though seeing a vision.“I ran away to the country to be cured, but I am not cured.There is a reason.”He turned to look at the child who sat up very straight on her father’s knee and returned the look."
"这个外乡人拍拍汤姆·哈德的胳膊。“喝酒不是我唯一上瘾的事，”他说，“还有别的东西。我是个多情的人，可还没找到我所爱的东西。这一点很重要，如果你能完全理解我的意思。你看，这使得我的毁灭不可避免。但没人明白这些。”","The stranger touched Tom Hard on the arm.“Drink is not the only thing to which I am addicted,” he said.“There is something else.I am a lover and have not found my thing to love.That is a big point if you know enough to realize what I mean.It makes my destruction inevitable, you see.There are few who understand that.”"
"这位外乡人沉默下来，似乎被悲伤给击倒了，然而，客车汽笛发出的又一次长鸣将他惊醒。“我还没有失去信仰。我声明。我只是被扔到了一个我知道我的信仰不会被实现的地方。”他声嘶力竭地大叫道。他不再管那位父亲，而是紧紧地盯着孩子，开始对她说起话来。“有个女人出现了，”他说，声音立刻变得尖锐又热切。“你看，我错过了她。她没在我的时代出现。你也许就是那个女人。就好像是命运让我有一次机会站在她面前，在这样的一个傍晚，我已经用酒精把自己毁掉，而她却还只是个小孩子。”","The stranger became silent and seemed overcome with sadness, but another blast from the whistle of the passenger engine aroused him.“I have not lost faith.I proclaim that.I have only been brought to the place where I know my faith will not be realized,” he declared hoarsely.He looked hard at the child and began to address her, paying no more attention to the father.“There is a woman coming,” he said, and his voice was now sharp and earnest.“I have missed her, you see.She did not come in my time.You may be the woman.It would be like fate to let me stand in her presence once, on such an evening as this, when I have destroyed myself with drink and she is as yet only a child.”"
"这位外乡人的双肩剧烈地抖动着。他试图卷起一根烟，可烟纸却从他颤抖着的指间掉下去了。他变得有些恼怒，大骂起来。“他们觉得做女人、被人爱是件容易的事情，可我懂得更透彻。”他说道。他再一次转向小女孩。“我懂，”他叫着，“也许所有的男人中只有我懂。”","The shoulders of the stranger shook violently, and when he tried to roll a cigarette the paper fell from his trembling fingers.He grew angry and scolded.“They think it’s easy to be a woman, to be loved, but I know better,” he declared.Again he turned to the child.“I understand,” he cried.“Perhaps of all men I alone understand.”"
"他的眼神又飘向了夜色深深的街道。“我懂她，尽管她从没遇见过我。”他轻柔地说，“我明白她的奋斗和失败。就是因为她的失败，她对我而言才是个可爱的人。从她的失败中衍生出一种女性的新品质。我给它起了个名字。我叫它坦迪。我想到这个名字时还是个虔诚的梦想家，身体也还没变坏。这是一种勇于被爱的坚强品质。这是男人需要从女人身上获得、但却无法获得的品质。”这位外乡人起身，站在汤姆·哈德面前。他的身躯前后摇晃着，看上去就要摔倒了，可相反，他在人行道上跪下来，将小女孩的双手捧到自己醉醺醺的唇边。他痴迷地吻着这双手。“做坦迪吧，小家伙，”他恳求着，“你要坚强、勇敢。那才是你的路。勇敢面对一切。勇敢地去被爱。要胜于寻常男女。做坦迪吧。”","His glance again wandered away to the darkened street.“I know about her, although she has never crossed my path,” he said softly.“I know about her struggles and her defeats.It is because of her defeats that she is to me the lovely one.Out of her defeats has been born a new quality in woman.I have a name for it.I call it Tandy.I made up the name when I was a true dreamer and before my body became vile.It is the quality of being strong to be loved.It is something men need from women and that they do not get.’The stranger arose and stood before Tom Hard.His body rocked back and forth and he seemed about to fall, but instead he dropped to his knees on the sidewalk and raised the hands of the little girl to his drunken lips.He kissed them ecstatically.“Be Tandy, little one,” he pleaded.“Dare to be strong and courageous.That is the road.Venture anything.Be brave enough to dare to be loved.Be something more than man or woman.Be Tandy.”"
"外乡人站了起来，沿着街道跌跌撞撞地走了。一两天之后，他登上了一辆火车，返回了自己的故乡克利夫兰。在旅社前的那场谈话结束后的一个夏夜，汤姆·哈德将女儿送到一个亲戚家，他们邀请小女孩去过夜。他黑夜里走在树下的时候，早已忘记了那位异乡人滔滔不绝的话语，脑袋里又开始想着如何组织观点去摧毁人们心中对上帝的笃信。他叫女儿的名字，可她开始哭起来。","The stranger arose and staggered off down the street.A day or two later he got aboard a train and returned to his home in Cleveland.On the summer evening, after the talk before the hotel, Tom Hard took the girl child to the house of a relative where she had been invited to spend the night.As he went along in the darkness under the trees he forgot the babbling voice of the stranger and his mind returned to the making of arguments by which he might destroy men’s faith in God.He spoke his daughter’s name and she began to weep."
"“我不想叫那个，”她说道，“我想叫坦迪——坦迪·哈德。”小女孩哭得如此伤心，触动了汤姆·哈德，他试着安慰她。他抱着女儿停在一棵树下，开始安抚她。“现在乖一点儿。”他厉声说，可是小女孩不愿安静下来。她孩子气地任性起来，伤心地嚎啕大哭，声音打破了夜晚街上的宁静。“我要叫坦迪。我要叫坦迪。我要叫坦迪·哈德。”她喊着，摇着头，哭泣着，仿佛年幼的力量还不足以承担那个醉汉的话带给她的幻境。","“I don’t want to be called that,” she declared.“I want to be called Tandy—Tandy Hard.”The child wept so bitterly that Tom Hard was touched and tried to comfort her.He stopped beneath a tree and, taking her into his arms, began to caress her.“Be good, now,” he said sharply; but she would not be quieted.With childish abandon she gave herself over to grief, her voice breaking the evening stillness of the street.“I want to be Tandy.I want to be Tandy.I want to be Tandy Hard,” she cried, shaking her head and sobbing as though her young strength were not enough to bear the vision the words of the drunkard had brought to her."
"第十二章 上帝的力量","Chapter 12 The Strength Of God"
"受人尊敬的柯蒂斯·哈特曼是温斯堡基督教长老会的一名牧师，他任职已经有十年了。他四十岁，天性极为沉默寡言。对他而言，站在讲坛上面对众人布道永远是件苦差。因此，从周三清晨到周六傍晚，他只想着周日必须要做的两场布道。周日一大早，他就到教堂钟楼里一间名为书房的小房间里去祈祷。在他的祷告词中，有一条总是占主导地位。“哦，上帝啊，请赐予我力量与勇气来为你服务吧！”他跪在没铺地毯的地板上，低着头，为即将开始的使命殷殷恳求着。","The reverend Curtis Hartman was pastor of the Presbyterian Church of Winesburg, and had been in that position ten years.He was forty years old, and by his nature very silent and reticent.To preach, standing in the pulpit before the people, was always a hardship for him and from Wednesday morning until Saturday evening he thought of nothing but the two sermons that must be preached on Sunday.Early on Sunday morning he went into a little room called a study in the bell tower of the church and prayed.In his prayers there was one note that always predominated.“Give me strength and courage for Thy work, O Lord!” he pleaded, kneeling on the bare floor and bowing his head in the presence of the task that lay before him."
"哈特曼牧师个子很高，留着棕色的胡子。他的妻子是个神经兮兮的胖女人。她是俄亥俄州克利夫兰的一个内衣制造商的女儿。牧师本人在镇上非常受人喜爱。教会长老们喜欢他，因为他安静谦恭。银行家的妻子怀特太太则认为他博学而优雅。","The Reverend Hartman was a tall man with a brown beard.His wife, a stout, nervous woman, was the daughter of a manufacturer of underwear at Cleveland, Ohio.The minister himself was rather a favorite in the town.The elders of the church liked him because he was quiet and unpretentious and Mrs. White, the banker’s wife, thought him scholarly and refined."
"基督教长老会与温斯堡其他教会相比而言，保持着较为清高的地位。基督教长老会规模更大、气势更宏伟，牧师的薪水也更高。牧师甚至有自己的马车；在夏天的傍晚，有时他会同妻子驾车在镇里四处逛逛。他穿过大街，往来于七叶树街上，庄重地向人们鞠躬；而他的妻子则暗藏得意、异常激动，一面从眼角的余光中望着他，一面还在担心若是马惊了会脱缰跑了。","The Presbyterian Church held itself somewhat aloof from the other churches of Winesburg.It was larger and more imposing and its minister was better paid.He even had a carriage of his own and on summer evenings sometimes drove about town with his wife.Through Main Street and up and down Buckeye Street he went, bowing gravely to the people, while his wife, afire with secret pride, looked at him out of the corners of her eyes and worried lest the horse become frightened and run away."
"自柯蒂斯·哈特曼来到温斯堡，多年来一直诸事顺利。在他供职的教堂里，他不属于那种能让信徒们产生狂热的人，但另一方面，他也从不树敌。事实上，他非常虔诚，有时，因为不能去镇上大街小巷高唱上帝福音而悔恨很长时间。他很疑惑圣灵之火是否真的在他内心燃烧；他还梦想着那么一天，一股强大而温柔的崭新力量会像一阵大风吹进他的声音和灵魂。那时，人们会因上帝在他身上显灵而颤抖。“我是个可怜的家伙，那种事永远不会发生在我身上。”他沮丧地沉思着，接着，忍耐的微笑浮上嘴角。“哦，那么，我想我做得够多了。”他冷静地补充了一句。","For a good many years after he came to Winesburg things went well with Curtis Hartman.He was not one to arouse keen enthusiasm among the worshippers in his church but on the other hand he made no enemies.In reality he was much in earnest and sometimes suffered prolonged periods of remorse because he could not go crying the word of God in the highways and byways of the town.He wondered if the flame of the spirit really burned in him and dreamed of a day when a strong sweet new current of power would come like a great wind into his voice and his soul and the people would tremble before the spirit of God made manifest in him.“I am a poor stick and that will never really happen to me,” he mused dejectedly, and then a patient smile lit up his features.“Oh well, I suppose I’m doing well enough,” he added philosophically."
"每周日清晨，牧师都去教堂钟楼的房间祈求上帝赐予他更多的神力。那个房间只有一扇窗户。窗子狭长，像门一样倚着合叶向外开着。窗户是由若干小块的镶铅框的窗玻璃组成，上面画有一幅图案：基督将手放在一个孩子头上。夏日里一个周日的清晨，他坐在房间的书桌旁，面前摊开着一本很大的《圣经》，几张布道板散落在旁边。就在此时，他吃惊地发现，在隔壁房子楼上的房间里，一个女人躺在床上边抽烟边看书。柯蒂斯·哈特曼踮着脚来到窗边，轻轻地关上了窗户。他一想到女人居然抽烟就觉得恐怖万状，再想到自己刚刚从《圣经》上抬起眼就看到了一个女人裸露的肩膀和雪白的脖颈，不由得浑身发抖。他的头脑里混乱一片，于是他下楼来到讲坛上做了一个长长的布道，根本没考虑自己的姿势或者声音。这次布道因为清楚有力而引起了不同寻常的关注。“我想知道她是否在听，我的话是否给她的灵魂带去了启示。”他这样想着，开始希望在以后的周日清晨能够用自己的言辞感染她，让这位显然深陷于隐秘罪恶的女人清醒过来。","The room in the bell tower of the church, where on Sunday mornings the minister prayed for an increase in him of the power of God, had but one window.It was long and narrow and swung outward on a hinge like a door.On the window, made of little leaded panes, was a design showing the Christ laying his hand upon the head of a child.One Sunday morning in the summer as he sat by his desk in the room with a large Bible opened before him, and the sheets of his sermon scattered about, the minister was shocked to see, in the upper room of the house next door, a woman lying in her bed and smoking a cigarette while she read a book.Curtis Hartman went on tiptoe to the window and closed it softly.He was horror stricken at the thought of a woman smoking and trembled also to think that his eyes, just raised from the pages of the book of God, had looked upon the bare shoulders and white throat of a woman.With his brain in a whirl he went down into the pulpit and preached a long sermon without once thinking of his gestures or his voice.The sermon attracted unusual attention because of its power and clearness.“I wonder if she is listening, if my voice is carrying a message into her soul,” he thought and began to hope that on future Sunday mornings he might be able to say words that would touch and awaken the woman apparently far gone in secret sin."
"牧师从窗子里看到令他如此懊恼景象的那座房子紧挨着基督教长老会教堂，现在里面住着两位女士。伊丽莎白·斯威夫特阿姨是一位寡妇。她头发花白，样子很精干，在温斯堡国家银行里有存款。与她同住的是她的女儿凯特·斯威夫特，是一位教师。这位老师有三十岁了，她身材匀称，看起来整洁利落。她没有几个朋友，出了名的说话刻薄。柯蒂斯·哈特曼开始琢磨她，记起来她曾去过欧洲，还在纽约市住过两年。“或许她抽烟根本不算什么。”他想。他记起自己在大学时偶尔也读些小说，有一次落在他手中的一本书里面就连续好多页描写了善良却有些世俗的女子也会抽烟。于是，他怀着一番新的决心，一整周都在致力于他的布道。在一心想要打动那位新听众的耳朵和灵魂的热忱中，他将在讲坛上的困窘与周日清晨在书房里必做的祷告统统忘记了。","The house next door to the Presbyterian Church, through the windows of which the minister had seen the sight that had so upset him, was occupied by two women.Aunt Elizabeth Swift, a grey competent-looking widow with money in the Winesburg National Bank, lived there with her daughter Kate Swift, a school teacher.The school teacher was thirty years old and had a neat trim-looking figure.She had few friends and bore a reputation of having a sharp tongue.When he began to think about her, Curtis Hartman remembered that she had been to Europe and had lived for two years in New York City.“Perhaps after all her smoking means nothing,” he thought.He began to remember that when he was a student in college and occasionally read novels, good although somewhat worldly women, had smoked through the pages of a book that had once fallen into his hands.With a rush of new determination he worked on his sermons all through the week and forgot, in his zeal to reach the ears and the soul of this new listener, both his embarrassment in the pulpit and the necessity of prayer in the study on Sunday mornings."
"哈特曼牧师对女人的经验终究是有限的。他是印第安纳州曼西市一名马车匠的儿子，半工半读完成了大学学业。在他读书期间，内衣制造厂商的女儿和他分租一套房子。在经历了一番正式而漫长的求爱过程后，他同她结了婚，而求爱的过程大部分都是那个姑娘自己安排的。结婚当天，内衣制造商给了他的女儿五千美金作为嫁妆，并承诺在他的遗嘱里至少会留给她两倍于这个数额的钱。牧师认为自己的婚姻是幸运的，从不允许自己想其他女人。他也不愿意想其他女人。他就想安静虔诚地做好这份神职工作。","Reverend Hartman’s experience with women had been somewhat limited.He was the son of a wagon maker from Muncie, Indiana, and had worked his way through college.The daughter of the underwear manufacturer had boarded in a house where he lived during his school days and he had married her after a formal and prolonged courtship, carried on for the most part by the girl herself.On his marriage day the underwear manufacturer had given his daughter five thousand dollars and he promised to leave her at least twice that amount in his will.The minister had thought himself fortunate in marriage and had never permitted himself to think of other women.He did not want to think of other women.What he wanted was to do the work of God quietly and earnestly."
"牧师心里激起了一场斗争。从希望自己的布道能传达到凯特·斯威夫特的耳朵里，以便触及她的灵魂，到也开始想再看一眼那静静地躺在床上的雪白的身体。一个周日的清晨，他因为胡思乱想睡不着，便起身到街上去散步。当他沿着大街快走到老里士满房子的时候，他停了下来，从地上拾起一块石头，快步向钟楼的房间赶去。他用石头打破了窗户的一角，然后锁上门，坐在书桌旁，对着摊开的《圣经》等待着。当凯特·斯威夫特房间的窗帘被拉起来的时候，他可以透过那个洞望见她的床，可她并不在那儿。她也起床出去散步了，那只拉窗帘的手是伊丽莎白·斯威夫特阿姨的。","In the soul of the minister a struggle awoke.From wanting to reach the ears of Kate Swift, and through his sermons to delve into her soul, he began to want also to look again at the figure lying white and quiet in the bed.On a Sunday morning when he could not sleep because of his thoughts he arose and went to walk in the streets.When he had gone along Main Street almost to the old Richmond place he stopped and picking up a stone rushed off to the room in the bell tower.With the stone he broke out a corner of the window and then locked the door and sat down at the desk before the open Bible to wait.When the shade of the window to Kate Swift’s room was raised he could see, through the hole, directly into her bed, but she was not there.She also had arisen and had gone for a walk and the hand that raised the shade was the hand of Aunt Elizabeth Swift."
"得以从这“偷窥”的肉欲中解脱出来使这位牧师几乎喜极而泣，于是他回到自己的房子里歌颂上帝。然而，他心慌意乱之际却忘了将窗户上的洞填起来。那块从窗子角落被敲下来的玻璃正好是图案上那个静静站在上帝面前、满怀喜悦地望着基督面容的孩子赤裸的脚后跟。","The minister almost wept with joy at this deliverance from the carnal desire to “peep” and went back to his own house praising God.In an ill moment he forgot, however, to stop the hole in the window.The piece of glass broken out at the corner of the window just nipped off the bare heel of the boy standing motionless and looking with rapt eyes into the face of the Christ."
"柯蒂斯·哈特曼忘记了那个周日早晨的布道。他同他的会众交谈。在谈话中他说，人们认为牧师是另一类人，天生过着清白无过错的生活，这种想法是错误的。“从我的亲身经历中，我了解到，我们这些上帝教义的使徒也会受到那些烦扰你们的诱惑的困扰。”他郑重地说，“我就受过诱惑，并屈从于它。只有上帝之手托住我的头，才使我得以超脱。正如他使我解脱一样，他也会使你们得到解脱。不要灰心。在你们犯罪的时候抬头望向上苍，你们将会一再地得到拯救。”","Curtis Hartman forgot his sermon on that Sunday morning.He talked to his congregation and in his talk said that it was a mistake for people to think of their minister as a man set aside and intended by nature to lead a blameless life.“Out of my own experience I know that we, who are the ministers of God’s word, are beset by the same temptations that assail you,” he declared.“I have been tempted and have surrendered to temptation.It is only the hand of God, placed beneath my head, that has raised me up.As he has raised me so also will he raise you.Do not despair.In your hour of sin raise your eyes to the skies and you will be again and again saved.”"
"牧师毅然地将床上女人的念头从脑海中摒弃了，并开始在妻子面前表现得像一个爱人。一天晚上，他们一同驾车外出，他将马车赶出七叶树街。在福音山上，俯瞰着水库池塘，他在黑暗中搂住了萨拉·哈特曼的腰。早上他吃过早饭，准备回房子后面的书房时，他绕过餐桌，吻了妻子的脸颊。每当关于凯特·斯威夫特的念头出现，他便微笑着抬头望天。“主啊，请您宽恕我，”他喃喃自语道，“让我坚守在一心为您服务的小径上吧。”","Resolutely the minister put the thoughts of the woman in the bed out of his mind and began to be something like a lover in the presence of his wife.One evening when they drove out together he turned the horse out of Buckeye Street and in the darkness on Gospel Hill, above Waterworks Pond, put his arm about Sarah Hartman’s waist.When he had eaten breakfast in the morning and was ready to retire to his study at the back of his house he went around the table and kissed his wife on the cheek.When thoughts of Kate Swift came into his head, he smiled and raised his eyes to the skies.“Intercede for me, Master,” he muttered, “keep me in the narrow path intent on Thy work.”"
"现在，这位棕色胡子的牧师心里开始了真正的挣扎。他偶然发现凯特·斯威夫特习惯在夜里躺在床上看书。床边的书桌上立着一盏灯，灯光倾泻在她雪白的肩膀和裸露的脖子上。发现这个景象的夜晚，牧师在满是灰尘的房间的书桌边从九点一直坐到十一点多。直到她熄了灯，他才蹒跚地走出教堂，又花了两个多小时到街上散步和祈祷。他并不想去亲吻凯特·斯威夫特的肩膀和脖子，他也不允许自己动那样的念头。他也不知道自己想要什么。“我是上帝的孩子，他必定能把我从自我堕落中解救出来的。”他在街上游荡时，站在树林下的阴影里大喊道。他站在一棵树旁，望着流云遮蔽的天空。他开始频繁而亲密地同上帝谈话。“天父啊，请你不要抛弃我。赐予我力量明天去修补那个窗洞吧。让我抬起头再次望向苍穹吧。请在你的仆人需要你的时候，与我同在。”","And now began the real struggle in the soul of the brown-bearded minister.By chance he discovered that Kate Swift was in the habit of lying in her bed in the evenings and reading a book.A lamp stood on a table by the side of the bed and the light streamed down upon her white shoulders and bare throat.On the evening when he made the discovery the minister sat at the desk in the dusty room from nine until after eleven and when her light was put out stumbled out of the church to spend two more hours walking and praying in the streets.He did not want to kiss the shoulders and the throat of Kate Swift and had not allowed his mind to dwell on such thoughts.He did not know what he wanted.“I am God’s child and he must save me from myself,” he cried, in the darkness under the trees as he wandered in the streets.By a tree he stood and looked at the sky that was covered with hurrying clouds.He began to talk to God intimately and closely.“Please, Father, do not forget me.Give me power to go tomorrow and repair the hole in the window.Lift my eyes again to the skies.Stay with me, Thy servant, in his hour of need.”"
"牧师在寂静的街上来来回回地走着，数日甚至数周以来，他的灵魂一直深受困扰。他无法理解这突如其来的诱惑，也弄不懂它到来的原因。他开始有些责怪上帝了，他对自己说他已经竭力回归正道，并未去追逐罪恶。“在我整个年轻的岁月里，以及我在这里的全部生活中，我都在安静地做我的工作。”他申述着，“为什么现在我应当受到诱惑呢？我究竟做错了什么，竟要承受这般罪责？”","Up and down through the silent streets walked the minister and for days and weeks his soul was troubled.He could not understand the temptation that had come to him nor could he fathom the reason for its coming.In a way he began to blame God, saying to himself that he had tried to keep his feet in the true path and had not run about seeking sin.“Through my days as a young man and all through my life here I have gone quietly about my work,” he declared.“Why now should I be tempted?What have I done that this burden should be laid on me?”"
"那年的初秋和冬天，柯蒂斯·哈特曼曾有三次从自己的房子偷偷出来，进入钟楼的房间，坐在黑暗中望着凯特·斯威夫特躺在床上的身体，然后到街上去散步和祷告。他无法理解自己。他可以好几个星期几乎不想那位教师，并且告诉自己已经战胜了偷窥她身体的情欲了。但是接下来就会有事发生。当他坐在自己房子的书房里，努力为布道做准备时，他会变得紧张，开始在房里走来走去。“我要到街上去。”他对自己说，但即使他使自己跨进了教堂大门，他仍会固执地否认他到此的理由。“我就不补窗户上的那个洞，我要训练自己晚上来这里，即使那个女人出现在面前也不会抬一下眼睛。我不会在这件事情上被打倒。上帝为考验我的灵魂而设计了这个诱惑，我会摸索着走出黑暗，找到正义的光明。”","Three times during the early fall and winter of that year Curtis Hartman crept out of his house to the room in the bell tower to sit in the darkness looking at the figure of Kate Swift lying in her bed and later went to walk and pray in the streets.He could not understand himself.For weeks he would go along scarcely thinking of the school teacher and telling himself that he had conquered the carnal desire to look at her body.And then something would happen.As he sat in the study of his own house, hard at work on a sermon, he would become nervous and begin to walk up and down the room.“I will go out into the streets,” he told himself and even as he let himself in at the church door he persistently denied to himself the cause of his being there.“I will not repair the hole in the window and I will train myself to come here at night and sit in the presence of this woman without raising my eyes.I will not be defeated in this thing.The Lord has devised this temptation as a test of my soul and I will grope my way out of darkness into the light of righteousness.”"
"一月的一个夜晚，天气严寒，温斯堡的街上有了厚厚的积雪。柯蒂斯·哈特曼最后一次造访教堂钟楼的那个房间。他离家的时候已过九点，他走得那样急，都忘了穿上套鞋。大街上空无一人，只有守夜人霍普·希金斯。除了守夜人和坐在《温斯堡鹰报》办公室里打算写篇报道的年轻人乔治·威拉德，全镇的人都已沉入了梦乡。牧师沿着街道前往教堂，他踏着积雪，向前跋涉，心里想着这次他将完全屈从于罪恶了。“我想去看看那个女人，幻想亲吻她的肩膀，让自己爱想什么就想什么。”他痛苦地宣布着，泪水涌上了眼眶。他开始考虑不再做牧师，试着从事其他的行业。“我应当到某个城市去从商。”他断言，“如果我天性如此，无法抵制罪恶，那么我就把自己交给罪恶吧。起码，我不会做个伪君子。我传道的同时，脑袋里却想着一个并不属于我的女人的肩膀和脖子。”","One night in January when it was bitter cold and snow lay deep on the streets of Winesburg Curtis Hartman paid his last visit to the room in the bell tower of the church.It was past nine o’clock when he left his own house and he set out so hurriedly that he forgot to put on his overshoes.In Main Street no one was abroad but Hop Higgins the night watchman and in the whole town no one was awake but the watchman and young George Willard, who sat in the office of the Winesburg Eagle trying to write a story.Along the street to the church went the minister, plowing through the drifts and thinking that this time he would utterly give way to sin.“I want to look at the woman and to think of kissing her shoulders and I am going to let myself think what I choose,” he declared bitterly and tears came into his eyes.He began to think that he would get out of the ministry and try some other way of life.“I shall go to some city and get into business,” he declared.“If my nature is such that I cannot resist sin, I shall give myself over to sin.At least I shall not be a hypocrite, preaching the word of God with my mind thinking of the shoulders and neck of a woman who does not belong to me.”"
