"印度","India "
"隧道里面悬着几英尺长的冰柱，有桅杆那么粗，空气冷得刺骨。但是一出隧道，忽然间一片秀美无双的景色呈现在眼前—底下一片广袤、青翠的平原，平原上散布着村庄和湖泊，四周高山林立，前面最近处挡住了大半边天的就是富士山。这里和距离这座山脊约一英里的古乙女??，是欣赏富士山山体对称之美的最佳位置，这里也是观赏富士山纯朴风貌的最佳位置，它凌驾于群山之上，仪态宁静自然。这时山坡上的积雪比我几天前从火车上看到的更厚了；天空中还是没有一片云彩。我从未在强烈感受一种宏伟与静穆的同时而不心生敬畏。富士山既庄严崇高又富有人情。","In the tunnel the icicles were hanging several feet long and as big as masts, and the air was biting. But one emerged suddenly upon a prospect the wonder of which probably cannot be excelled—a vast plain far below, made up of verdure and villages and lakes, with distant surrounding heights, and immediately in front, filling half the sky, Fuji himself. It is from this point, and from the ancient Otome Pass, a mile or so away on the same ridge, that the symmetry of the mountain is most perfect; and here one can best appreciate the simplicity of it, the quiet natural ease with which it rises above its neighbours. There was more snow on the slopes than when I had seen it from the train a few days before; and the sky again was without a cloud. I have never been so conscious of majestic serenity, without any concomitant feeling of awe. Fuji is both sublime and human."
"别的国家没有这样的象征。当日本人想起日本时，他们的头脑中就会出现富士山的画面：归乡的游子挤到甲板上想第一眼看到它；离乡的游子噙着泪水看它慢慢消失在视线中。每个商店的橱窗里都陈列着能表现富士山的物品；每个房子里也有；茶匙上有富士山轮廓的雕刻，烟灰缸上有它的浮雕。你在哪里都能见到它的赝品，但是见到它后你不会介意的。","No other country has a symbol like this. When the Japanese think of Japan they visualise Fuji: returning exiles crowd the decks for the first glimpse of it; departing exiles with tears in their eyes watch it disappear. There is not a shop window but has Fuji in some representation; it is found in every house; its contours are engraved on teaspoons, embossed on ash-trays. You cannot escape from its counterfeits; but if you have seen it you do not mind. "
"回国的途中，无论是旧金山、芝加哥、波士顿，还是纽约的美国画廊里，我发现自己在那些挂着日本大师所作的水彩画的展厅里停留的时间最久（美国有很多非常好的收藏品，尤其是在波士顿），而站在绘有富士山的葛饰北斋和安藤广重的风景画旁的时间又最长。葛饰北斋尤其崇敬这座大山，在他一些最美的画作里，人们在彼此呼唤着过来欣赏它的新颖、神奇之处。就是他画下了从破浪的弧度下观赏到的富士山！几天前，我还在大英博物馆里欣赏到了这幅大胆的画作。欣赏的时候，仿佛我又回到了宫之下的那些日子里。","When on my way home I found myself in an American picture gallery, either in San Francisco, Chicago, Boston or New York, I lingered longest in the rooms where the coloured prints of the Japanese masters hang—and America has very fine collections, particularly in Boston— and I stood longest before those landscapes by Hokusai3 and Hiroshige4 in which Fuji occurs. Hokusai in particular venerated the mountain, and in many of his most beautiful pictures people are calling to each other to admire some new and marvellous aspect of it. It was he who drew Fuji as seen through the arch of a breaking wave! I was looking at the British Museum’s example of this daring print only a few days ago, and, doing so, living my Myanoshita days again. "
"日本有很多细小的东西，有很多太实利，太不尽如人意之处，但是那里也有富士山，它俯视一切，宁静、睿智、美好得无法形容，我若重游日本，那一定是受富士山的魅力所惑。1切尔滕纳姆，英国英格兰格洛斯特郡的自治市镇。2亨利·沃德·比彻（1813—1887），19世纪中后期著名的美国牧师、社会改革家。3葛饰北斋（1760—1849），日本浮世绘画家，他以富士山不同角度的样貌为题，画了《富岳三十六景》的一系列风景图，因而远近驰名，其中以《赤富士》和《神奈川冲浪里》最为知名。4安藤广重（1797—1858），日本浮世绘画家，作品多描绘风景名胜。与喜多川歌、葛饰北斋合称浮世绘三大家。","There is much in Japan that is petty, much that is too material and not a little that is disturbing; but Fuji is there too, dominating all, calm and wise and lovely beyond description, and it would be Fuji that lured me back. "
"美国","America  "
"国内民主","Democracy At Home  "
"我刚一登上开往旧金山的汽轮就体验到了现实的民主，当时一个美国乘务员正吩咐船上的一个服务员“带这个人去231号”。我不反对他称我为“人”，完全不介意；但因为长期被人叫做“先生”，这还是让我吃了一惊。这件事情发生在横滨。另一次是在旧金山的海关，我们正在排队等候领取收据，这时一个搬运工拖着一个滑轮手推车从我们队伍中横穿过去，满不在乎地叫嚷着：“让开，伙计们！”我知道这就是真正的民主。","My first experience of democracy-in-being followed swiftly upon boarding the steamboat for San Francisco, when “Show this man Number 231” was the American steward’s command to a cabin boy. I had no objection to being called a man: far from it; but after years of being called a gentleman it was startling. This happened at Yokohama; and when, in the Customs House at San Francisco, a porter wheeling a truck broke through a queue of us waiting to obtain our quittances, with the careless warning, “Out of the way, fellers!” I knew that here was democracy indeed.  "
"我承认我喜欢这种民主，尽管另一件事又让我吃了一惊，那时我突然看到一片草地上立着一个告示牌，上面写着：","I confess to liking it, although I was to be brought up with another jolt when a notice-board on a grass-plot suddenly confronted me, bearing the words:  "
"“注意：请勿践踏，说的就是你！”","“Illustration: KEEP OFF. THIS MEANS YOU.”  "
"但我喜欢这样。我喜欢这样的习俗：一旦你把名字填到酒店登记簿上，“卢卡斯先生”就在这里被所有人叫开了。这种友好的气氛让酒店更像家，或者至少不是军营。不过这种广泛的友谊有时却变得很正式。美国俱乐部成员之间远比我们英国更加注重礼节。在英国俱乐部，称呼“先生”会显得失礼，但是在美国俱乐部，我发现即使是相识已久的老朋友、老熟人之间的寒暄几乎都有些虚夸的迹象，当然也是很有礼节性的。我要说，美国人确实比我们更热情，更高兴彼此呆在一起，不那么挑剔、苛求。他们在一起讨论彼此弱点的情况确实比较少，这或许是因为美元的讨论价值要大得多，但是更有说服力的理由是美国是一个民主国家，按我的理解，民主理论就是每个人都是好人，除非有人能证明相反的情况。我并不是说处于君主政体统治下的我们的理论就是相反的，不过我觉得美国人似乎比我们更合群、更宽容。","But I like it. I like the tradition which, once your name is written in the hotel reception book, makes you instantly “Mr. Lucas” to every one in the place. There is a friendliness about it: the hotel is more of a home, or at any rate, less of a barrack, because of it. And yet this universal camaraderie has some odd lapses into formality. The members of clubs in America are far more ceremonious with each other than we are in England. In English clubs the prefix “Mr.” is a solecism, but in American clubs I have watched quite old friends and associates whose greetings have been marked almost by pomposity and certainly by ritual. Yet Americans, I should say, are heartier than we; more happy to be with each other; less critical and exacting. They certainly spend less time in discussing each other’s foibles. That may be because the dollar is so much more an absorbing theme, but more likely it is because America is a democracy, and the theory of democracy, as I understand it, is to assume that every man is a good fellow until the reverse is proved. I should not like to say that the theory of those of us who live under a monarchy is the opposite, but it seemed to me that Americans are more ready than we to be sociable and tolerant. "
"尽管我也尝试过，但还是无法很快说出那种快活的美国式寒暄，“很高兴见到您”或“很高兴认识您，卢卡斯先生”。为了给对方一个最好的回答，我思考了很久，最后想到了这句话：“我们不得不分别的时候我会感到遗憾的。”但我从来都不敢说出口，因为害怕对方怀疑我的真诚。","Try as I might I could never be quick enough to get in first with that delightful American greeting, “Pleased to meet you,” or “Glad to know you, Mr. Lucas.” I pondered long on the best retort and at last formulated this, but never dared to use it for fear that its genuineness might be suspected: “I shall be sorry when we have to part.” "
"旧金山","San Francisco "
"在旧金山我认识到—很快就认识到—要了解美国人就必须到美国去，同样要进一步了解自己的国家就必须离开那里。在国外的美国人不那么热情，不那么外向。他们要么过于克制，要么过于自信。这两种情绪都是因为身处异乡。在这两种情况下，他们都不像在国内那么自然。我想不在自己的国土上，人们都会因为过于紧张而不愿意表现出自己的民族特性或差异。在我们心里，也许牢牢插着一面无形的国旗。","It was in San Francisco that I learned—and very quickly—that it is as necessary to visit America in order to know what Americans are like as it is to leave one’s own country in order to know more about that. Americans when abroad are less hearty, less revealing. They are either suffering from a constraint or an over-assertiveness; and both moods may be due to not being at home. In neither case are they so natural as at home. I suppose that on soil not our own we all tend to be a little over-anxious to proclaim our nationality, to maintain the distinction. In our hearts can perhaps be too firmly planted the invisible flag of our country. "
"虽然这样，我还是很快就察觉到在美国的美国人和在英国的美国人之间的一个差异。我发现他们很简单，并不像我曾认为的那么复杂。现在，见过美国各地的美国人之后，甚至包括复杂、多元的纽约，我应该说简单是美国性格的基调。简单是美国人与欧洲人的最大区别。与这种简单完全一致的是美国人的急躁、求新和简洁。我们觉得他们总是希望把生活简化成公式，不愿表现出惊奇。这些特征很容易被当作一种疲倦的文化的象征。但实际上，这也是年轻的象征。","Be this as it may, I very quickly discerned a difference between Americans in America and in England. I found them simple where I had thought of them as the reverse, and now, after meeting others in various parts of the country, even in complex and composite New York, I should say that simplicity is the keynote of the American character. It is in his simplicity that the American differs most from the European. Such simplicity is perfectly consistent with the impatience, the desire for novelty, for brevity, of the American people. We think of them as always wishing to reduce life to formulae, as unwilling to express any surprise, and these tendencies may easily be considered as signs of a tiring civilisation. But in reality they are signs of youth too. "
"好路和坏路","Roads Good And Bad "
"我首先能回忆起来的是旧金山（不含个人因素），因为这里生机盎然、空气清新；这里的金门公园广阔、多样，我在公园里看到了贝多芬的半身像，但是没有布勒特·哈特的标志；还有伯克利大学图书馆的大阅览室，这所大学坐落于如此迷人的地方，笼罩在如此迷人的阳光之下，位于如此迷人的海湾河畔，真是令我惊异如何能在这样的地方安心学习；以及延伸几英里的完美的柏油碎石路，路旁装点着鲜艳的花菱草和淡紫色鸢尾花。当时是四月份。在美国其他地方，我再也没有见到能与这些路相媲美的公路。即使是华盛顿周围的道路，其状况也十分糟糕，开着机动车行驶在上面能体会到所有所谓的骑马的益处，而在阿迪朗达克，除了沿途都有“T·R”纹章的著名的西奥多·罗斯福纪念高速公路外，所有公路都很颠簸，能把人的内脏都震碎了。我在美国期间，将罗斯福故居购买为国有财产的运动正进行得如火如荼，但是这条纪念高速公路其实更让人欣赏。这是一个启迪，我希望永远不要让这条路失修。","San Francisco I shall chiefly recollect (apart from personal reasons) for the sparkling freshness and vigour of the air; for the extent and variety of Golden Gate Park1, where I found a bust of Beethoven, but no sign of Bret Harte2; for the vast reading-room in the library at Berkeley, a university which is so enchantingly situated, beneath such a sun, and in sight of such a bay, that I marvel that any work can be done there at all; and for the miles and miles of perfect tarmac roads fringed with burning eschscholtzias and gentle purple irises. That was in April. I found elsewhere in America no roads comparable with these. Even around Washington their condition was such that to ride in a motorcar was to experience all the alleged benefits of horseback, while in the Adirondacks, anywhere off the noble Theodore Roosevelt3 Memorial Highway, with its “T. R.” blazonings along the route, one’s liver was bent and broken. While I was in America the movement to purchase Roosevelt’s house as a national possession was in full swing, but this Memorial Highway strikes the imagination with more force. That was an inspiration, and I hope that the road will never be allowed to fall into disrepair. "
"大学、爱情和发音","Universities, Love And Pronunciation "
"加利福尼亚灿烂的天空下，我看到少男少女涌向伯克利大学的赫斯特露天剧场去听讲座。他们之间显而易见的、直率的亲密给我留下了深刻的印象。相较于英国同龄人中实行的男女分校制我更羡慕他们的这种优越。在英国，男女分校使少男少女们变得害羞而损坏了他们之间的亲密，这种做法即使不破坏也会有碍增进彼此间的真实了解，而男女之间理应有真实的了解，这样会使以后的生活更加轻松。","Watching the young men and maidens crowding to a lecture in the Hearst Amphitheatre at Berkeley4, under that glorious Californian sky, I was struck by the sensible, frank intimacy of them all, and envied them the advantages that must be theirs over the English methods of segregation at the same age, which, by creating shyness and destroying familiarity, tends to retard if not destroy the natural understanding which ought to subsist between them and if it did would often make life afterwards so much simpler. "
"我询问过伯克利大学的一位教授有多少人在校期间结婚，但是他说没有统计过。他只告诉我丘比特不会给学校当局带来麻烦，他还说胡佛先生和胡佛夫人就是在斯坦福就读时相识的。之后我又问了女生会的一名前会员，她说在大学每个人都有很多恋爱经历，也有很多失恋的经历。浪漫很少会持续到毕业后的人生。","I asked one of the professors to what extent marriages were made in Berkeley, but he had no statistics. All he could say was that Cupid was very little trouble to the authorities and that Mr. Hoover5 and Mrs. Hoover first met each other as students at Stanford. And then I asked an ex-member of one of the Sororities and she said that at college one was a good deal in love and a good deal out of it. The romance rarely persisted into later life. "
"她说到浪漫时，重音在第一个音节，而在大西洋另一边的人说这个词时则把重音放在第二个音节。为什么会有这种不合理的现象是一个不解之谜。这类区别会让人非常不安，尤其是你非要弄清楚不可的时候。我有一次这样的经历，那是跟芝加哥的一个人谈话，并想认真回答他关于大城市的穷人们生活在什么样的状况下的问题。据我的观察，英国穷人的处境比美国差得多。实际上，我在美国基本上看不到穷人—没有我们认为的那种贫穷。但是我无法回答他，因为“squalor”（贫穷）（这个词在我们的发音里和“moller”的韵相同）是唯一恰当的形容词，而他刚刚已经提到这个词，发音是美式发音（至少是他的美式发音），尾音是一个长长的“a”，于是我转移了话题。","She pronounced romance with the accent on the first syllable, whereas somewhere half-way across the Atlantic the accent passes to the second; and why such illogical things should be is a mystery. The differences can be very disconcerting, especially if one refuses to give way. I had an experience to the point when talking with some one in Chicago and wishing to answer carefully his question as to the conditions under which the poor of our great cities live. These are, in my observation, infinitely worse in England than in America. Indeed I hardly saw any poor in America at all—not poverty as we understand it. But I could not frame my reply because “squalor” (which we pronounce as though it rhymed with “mollor”) was the only fitting epithet and he had just used it himself, pronouncing it in the American way—or at any rate in his American way—with a long “a.” So I turned the subject. "
"两个国家都不能说自己的发音是标准的。美国“advertisement”的发音比我们的“advertisment”的发音更合理，因为我们也说“advertise”。但是还有，尽管美国人说“inquire”时发音跟我们相同，但是他们说“inquiry”时又不知为何把重音放到第一个音节，因此巴别塔又多建了一层；（上帝）最初的想法只是要打乱人间的语言，但他从未打算让两个友好的民族用不同的方式讲同一种语言。","Neither nation has any monopoly of reasonableness in pronunciation. The American way of saying “advertisement” is more sensible than ours of saying “advertisement,” since we say “advertise” too. But then, although the Americans say “inquire,” just as we do, they illogically put the stress on the first syllable when they talk about an “inquiry.” The Tower of Babel6 is thus carried up one storey higher. The original idea was merely to confuse languages; it cannot ever have been wished that two friendly peoples should speak the same language differently. "
"我已经从伯克利和斯坦福跑题跑得很远了。我不知道如果我有一个17岁的女儿我会如何教导她的行为，但是我非常确定如果我有一个这么大的儿子，我应该会在他完成国内的学业后把他送到美国大学去读两到三年。这样他才能真正成为盎格鲁—撒克逊世界的公民。","But I have wandered far from Berkeley and Stanford. I am not sure as to my course of conduct if I had a daughter of seventeen, but I am quite convinced that if I had a son of that age I should send him to an American university for two or three years after his English school. He should then become a citizen of the Anglo-Saxon world indeed. "
"禁酒的最初征兆","First Signs of Prohibition "
"我们第一次遭遇禁酒是在檀香山，很多乘客知道在酒店只能喝“软饮料”后都异常惊讶。我们再次记起这个新制度是在进入美国金门水域时，船上的酒吧正式关闭了。接下来，在旧金山，我们找到了一片真正的“干”地。关于这一点，让我说说在酒店结交的一个很有能耐的官员，我对他并不熟悉：这是一个戴着徽章的男孩，他为他徽章上“侍者领班”的光荣头衔感到欣喜。他私下让我见识了他的早熟（但这个词不够确切，因为所有的美国男孩也都是男人）和能耐，他提出给我提供禁果，以威士忌的形式，一瓶只收取25美元。然而，他说的不是dollars（美元）：跟他的大多数同胞一样，他的这个词（这个是他们最喜欢的一个词）的发音介于“dollars”和“dallars”之间。","We had met Prohibition first at Honolulu, not a few of the passengers receiving the shock of their lives on learning at the hotel that only “soft drinks” were permitted. Our second reminder of the new regime came as we entered American waters off the Golden Gate and the ship’s bar was formally closed. And then, in San Francisco, we found “dry” land indeed. In this connection let me say that in the hotel I made acquaintance with an official of great power who was new to me: the buttoned boy who rejoices in the proud title of Bell Captain. He gave me a private insight into his precocity (but that is not the word, for all boys in America are men too), and into his influence, by offering to supply me with forbidden fruit, in the shape of whisky, at the modest figure of $25 a bottle. He did not, however, say dollars: like most of his compatriots (and it is a favourite word with them) he said something between “dollars” and “dallars.” "
"几天后，我在芝加哥向一个警察问路，他同样友好地提出给我提供酒。听出了我的英国口音后，他马上就猜到了我最热切的愿望。然后我问他禁酒令对他巡逻区域内的人们有什么影响。他说有些酒鬼不太舒服，然而有些妻子却平静了许多。但是总体说来，他没有看到幸福指数在上升，多出来的钱花在了电影、衣服或“其他蠢事”上。我没有让他给我酒。我看了一部美式“暴力小说”，印象最深的就是放荡不羁的“苏珊·伦诺克斯”，此后我便对那些职业法律卫士们怀有一种恐惧。","I had, a few days later, in Chicago, a similarly friendly offer from a policeman of whom I had inquired the way. Recognizing an English accent, he had instantly divined what my dearest wish must be. I then asked him how prohibition was affecting the people on his beat. He said that a few drunkards were less comfortable and a few wives more serene; but for the most part he had seen no increase of happiness, and the extra money that it provided was spent either on the movies, dress, or “other foolishness.” I did not allow him to refresh me. After a course of American “tough fiction,” of which “Susan Lenox” remains most luridly in the memory, I had a terror of all professional upholders of the law. "
"罗伯特·路易斯·斯蒂文森","R. L. S. "
"我在旧金山的唐人街边上偶然见到了罗伯特·路易斯·斯蒂文森的纪念碑。我抄下了碑上的铭文，我又把它抄在这里，以免阅读这本游记的读者无法跟上本书的思路，因为我想它不只适用于加利福尼亚城。铭文虽然是对个人的忠告，但既然所有的国家不过是个人的集成，那么就很有必要复述一下这样的理想：","Coming by chance upon the Robert Louis Stevenson7 memorial at San Francisco, on the edge of Chinatown, I copied its inscription, and in case any reader of these notes may have forgotten its trend I copy it again here; for I do not suppose that its application was intended to cease with the Californian city. It is counsel addressed to the individual, but since nations are but individuals in quantity such ideals cannot be repeated amiss: "
"要诚实，要善良；挣得少就要花得更少；总的来说，","To be honest; to be kind; to earn a little; to spend a little less; to make "
"要让全家人因为自己的存在而感到更加幸福；该放弃的时候要果断放弃而不要愤恨不快；要交一些能坚持原则的朋友，最重要的是，在同样严酷的情况下，要同自己交朋友。—这是所有既坚忍又谨慎的人需要承担的责任。","upon the whole a family happier for his presence; to renounce when that shall be necessary and not to be embittered; to keep a few friends, but these without capitulation; above all, on the same grim condition, to keep friends with himself— here is a task for all that man has of fortitude and delicacy. "
"旧金山同萨拉纳克千差万别，斯蒂文森是连接它们的链条，而哈佛大学怀德纳纪念图书馆里收藏的已故哈里·怀德纳的一套斯蒂文森全集则是这根链条上的一环。我去萨拉纳克村庄的那天，四周开满了最甜的丁香花，花香久久弥漫在空中。村庄仍然是一个旅游胜地，收藏品里补进了一件又一件新到的纪念物。看到一个英国作家受到这样的礼遇确实令我很高兴。之后，在纽约的中央公园里我又看到了莎士比亚、彭斯和沃尔特·司各特爵士的雕像。","It is a far cry from San Francisco to Saranac, yet Stevenson is their connecting chain, with the late Harry Widener’s8 amazing collection of Stevensoniana, in his memorial library at Harvard, as a link. The Saranac cottage, which on the day of my visit was surrounded by the sweetest lilac blooms that ever perfumed the air, is still a place of pilgrimage, and one by one new articles of interest are being added to the collection. It was pleasant indeed to find an English author thus honoured. Later, in Central Park, New York, I was to find statues of Shakespeare, Burns9 and Sir Walter Scott10. "
"很奇怪，在简化拼写的发源地我惟一一次见到它是在阿迪朗达克山脉地区，在那他乡的温馨之家，即普拉西德湖俱乐部。那里的人被要求在出门前要关“紧”（tight被简化为tyt）门；那里的人们喝“咖啡”（coffee被简化为cofi）；那里最必要、最神秘的生命之职—医生，只能眼看着自己的神圣和威严在“医生”（physician被简化为fizisn）的称号中逐渐消失。","It was, oddly enough, in the Adirondacks that I came upon my only experience of simplified spelling in the land of its birth. It was in that pleasant home from home, the Lake Placid Club, where one is adjured to close the door “tyt” as one leaves a room; where one drinks “cofi ;” and where that most necessary and mysterious of the functionaries of life, the physician, is able to watch his divinity dwindle and his dignity disappear under the style “fizisn.” "
"故事和幽默家","Stories And Humourists "
"我在美国听过很多故事，那里的每个人都擅长讲故事，但是没有哪个故事能胜过在旧金山招待我的主人根据自己的经历所叙述的一个故事，这个故事是有史以来关于诚实答案的最完美典范。他说自己小时候常跟加利福尼亚山里的一位老猎手为伴。有一次，他们一起出猎的时候，他得知要召开信徒的野营集会。于是，他在好奇心的驱使下说服了鲁本跟他同去。他们坐在后排观看时，一个传福音的修女坐在老猎手旁边把手放在他的臂膀上，问他爱不爱基督。他犹豫了片刻，这样回答说：“嗯，夫人，我不敢说我爱他，我不敢那么说。不过，对于主，我可以这么","I heard many stories in America, where every one is a raconteur, but none was better than this, which my San Francisco host narrated, from his own experience, as the most perfect example of an honest answer ever given. When a boy, he said, he was much in the company of an old trapper in the Californian mountains. During one of their expeditions together he noticed that a camp meeting was to be held, and out of curiosity he persuaded Reuben to attend it with him. Perched on a back seat, they were watching the scene when an elderly Evangelical sister placed herself beside the old hunter, laid her hand on his arm, and asked him if he loved Jesus. He pondered for some moments and then replied thus: “Waal, ma’am, I can’t go so far as to say that I love Him. "
"说—我也没啥可反对他的。”","I can’t go so far as that. But, by gosh, I’ll say this—I ain’t got nothin’ agin Him.” "
"我听到的最有趣的脱口而出的回答来自阿迪朗达克的一个农民。我问道：“人们从战争中恢复过来了吗？”“是的，已经恢复了，”他说，并轻快地补充道,“一场了不起的大战，不是吗？”","The funniest spontaneous thing I heard said was the remark of a farmer in the Adirondacks in reply to my question “Had they recovered up there, from the recent war?” “Yes,” he said, “they had,” adding brightly, “Quite a war, wasn’t it?” "
"从说话的方式看，所有的美国人都是幽默家。就像所有的法国人都是智者是因为他们的语言中有警句式结构，美国人都是幽默家是因为他们的民族储备了大量唾手可得的形象的俚语和类比。我为这种因为依赖于通俗表达方式的储备而放弃追求个人的严谨和特色的作法而感到惋惜。它扼制了本应被鼓励的思考。成年人是无药可救了，不过作为父母总该为孩子们做点什么吧。我见过的美国最聪明的一个作家在讲述一个又一个辛辣讽刺的事件时，无意做任何努力使用这些约定俗成的词语以外的表达方式。用他手里的笔（或者更多的时候是手指下的打字机），他能精确地使用形容词。但是在谈话中讲到的故事里，他用“像萨姆·希尔一样”来形容人的疯狂，用“像地狱一样”来形容伤口的疼痛，用“像魔鬼一样”来形容背包的沉重。我们都笑了，但是他本应该还有更多作为艺术家的骄傲。","In a manner of speaking all Americans are humourists. Just as all French people are wits by reason of the epigrammatic structure of their language, so are all Americans humourists by reason of the national stores of picturesque slang and analogy to which they have access. I think that this tendency to resort to a common stock instead of striving after individual exactitude and colour is to be deplored. It discourages thought where thought should be encouraged. Adults are, of course, beyond redemption, but parents might at least do something about it with their children. One of the cleverest American writers whom I met made no effort whatever to get beyond these accepted phrases as he narrated one racy incident after another. With the pen in his hand (or, more probably, the typewriter under his fingers) his sense of epithet is precise; but in his conversational stories men were as mad as “Sam Hill,” injuries hurt “like hell,” and a knapsack was as heavy “as the devil.” We all laughed; but he should have had more of the artist’s pride. "
"我有幸见到三位美国职业幽默家，并同他们进行了交谈。他们分别是：埃文·科布，唐·马奎斯和奥利弗·赫福德，每个人都很自然，各有自己的特色。科布的笑话体现了他丰富的阅历和睿智的思想，不论他表现得多么滑稽，人们都能看得出他内在的约翰逊式的无所不知。说他的幽默是知识之树的开花结果并不夸张（这里所说的只是谈话中我对他们三个人的印象）。同样严肃的唐·马奎斯（所有杰出的幽默家的内心都是严肃的）有更多奇特的想法，更像个改革家，或者，无论如何，是个叛逆者。他对科布先生很不满，认为他虚伪，其作品很肤浅没有欣赏价值。也许有一天，唐·马奎斯会说服一位编辑出版他正在撰写的非正统作品，他曾从中挑选了一些并带着无比的热忱讲给我们听；不过我对此表示怀疑，因为它们太过锐利。但是这样繁忙的一个人会丢下自己的工作转而投入到宗教讽刺文学在我看来是一件非常有趣的事，因为没有什么比这更加无利可图了—除了满足那个做出这些思考的诚实的灵魂。","Three American professional humourists whom I had the good fortune to meet and be with for some time were Irvin Cobb11, Don Marquis12, and Oliver Herford13, each authentic and each so different. Beneath Mr. Cobb’s fun is a mass of ripe experience and sagacity. However playful he may be on the surface one is aware of an almost Johnsonian universality beneath. It would not be extravagant to call his humour the bloom on the fruit of the tree of knowledge (I am talking now only of the three as I found them in conversation). Don Marquis, while equally serious (and all the best humourists are serious at heart), has a more grotesque fancy and is more of a reformer, or, at any rate, a rebel. His dissatisfaction with hypocrisy provoked a scorn that Mr. Cobb is too elemental to entertain. Some day perhaps Don Marquis will induce an editor to print the exercises in unorthodoxy which he has been writing and which, in extract, he repeated to us with such unction; but I doubt it. They are too searching. But that so busy a man should turn aside from his work to dabble in religious satire seemed to me a very interesting thing; for nothing is so unprofitable—except to the honest soul of him who conceives it. "
"我记得唐·马奎斯的一个更为尖刻的故事写的是一个生活在城镇的流浪汉，他习惯了每天在柜台提供免费奶酪的时候走进商店，然后买上一丁点儿作为回报。当商店停止提供这种优惠时，这个流浪汉既愤怒又震惊。他这样总结店主（他多年的朋友）的吝啬：“你的灵魂，亨利，”他说，“太小，以至于把一百万个你这样的灵魂放在一只跳蚤的肚子里，它们之间还会因为离得太远而听不见彼此的叫喊。”","One of Don Marquis’s more racy stories which I recollect is of a loafer in a country town who had the habit of dropping into the store every day at the time the free cheese was set on the counter, and buying very little in return. When the time came for the privilege to be withdrawn the loafer was outraged and aghast. Addressing the storekeeper (his friend for years) he summed up his ungenerosity in these terms: “Your soul, Henry,” he said, “is so mean, that if there were a million souls like it in the belly of a fl ea, they’d be so far apart they couldn’t hear each other holler.” "
"而奥利弗·赫福德则鬼灵精怪，有一肚子的荒诞想法。他也许身在（而且确实身处，我很高兴这么说）这个世界，但绝不属于这个世界。这个奥利弗和帕克、茂丘西奥、兰姆、胡德及其他热爱荒诞、制造荒诞的人属于同一行列，而同时在不断“索要更多荒诞”的是我们自己。他刚刚出版了一本名为《这个眼花缭乱的地球》的书，并把它献给了威尔逊总统（“尽管他有很多缺点，但他还是引用了我的话”），书中他对宇宙进化论的探讨虽然不可信，但却非常犀利。这是我在美国读到的第一部本土作品。《一只波斯猫的鲁拜集》也许是奥利弗·赫福德最为著名的作品，而在《这个眼花缭乱的地球》中也有一只小猫。","As for Oliver Herford, he is an elf, a sprite, a creature of fantasy, who may be—and, I rejoice to say, is—in this world, but certainly is not of it. This Oliver is in the line of Puck14 and Mercutio15 and Lamb16 and Hood17 and other lovers and makers of nonsense, and it is we who ask for “more.” He had just brought out his irresponsible but very searching exercise in cosmogony, This Giddy Globe, dedicated to President Wilson (“with all his faults he quotes me still”) and this was the first indigenous work I read on American soil. Oliver Herford is perhaps best known by his Rubaiyat of a Persian Kitten, and there is a kitten also in “This Giddy Globe:” "
"“好哇！”小猫大喊，“好哇！”","“Hurray!” cried the Kitten, “Hurray!” "
"他快乐地扬帆，","As he merrily set the sails, "
"“今天我要乘船","“I sail o’er the ocean to-day "
"去看威尔士王子。”","To look at the Prince of Wales.” "
"当时的背景是1919年威尔士王子胜利出访纽约","—this was when the Prince was making his triumphant visit to New York in 1919— "
"“但是，小猫，”我沮丧地说，","“But, Kitten,” I said dismayed, "
"“即使你能抵挡愤怒的大风","“If you live through the angry gales "
"你知道的，你也会因为胆怯","You know you will be afraid "
"而不敢去见威尔士王子。”","To look at the Prince of Wales.” "
"小猫说：“没有这样的事","Said the Kitten, “No such thing! "
"他为什么会让我退缩","Why should he make me wince? "
"如果一只猫咪能见国王","If a Cat may look at a King "
"一只小猫就能去见王子。”","A Kitten may look at a Prince!” "
"这让我想到了一个故事，据说王子在表达他对第5大街的赞美时，被人称赞“说到了点子上”。除了“满口赞誉”，还有一个程度更深的短语可以用来称赞言辞的智慧和煽情，那就是“满耳溢美之词”。","This reminds me that the story goes that when the Prince expressed his admiration for Fifth Avenue he was congratulated upon having “said a mouthful.” Beyond a mouthful, as an encomium of sagacity or sensationalism in speech, there is but one advance and that is when one says “an earful.” "
"车厢","The Cars "
